ID,CMN,ENG,PoS,score
1,员工,vocalist,nouns,0.18
2,知道,understand,verbs,3.09
3,儿童,boy,nouns,2.47
4,疾病,fever,nouns,2.41
5,毛,woman,nouns,0.0
6,屏幕,phonology,nouns,0.0
7,膝盖,bone,nouns,0.87
8,手术,algebra,nouns,0.31
9,脊柱,neck,nouns,0.99
10,火山,magma,nouns,1.27
11,街,alley,nouns,3.06
12,自豪,arrogant,adjectives,3.3
13,貂,oil,nouns,0.0
14,紧紧地,incredibly,adverbs,0.0
15,法庭,justice,nouns,1.46
16,存在,winner,nouns,0.0
17,激情,emotion,nouns,2.9
18,孤独,poor,adjectives,0.18
19,便条,assignment,nouns,0.34
20,信用,borrower,nouns,0.56
21,手臂,wrist,nouns,0.66
22,稻草,task,nouns,0.0
23,退出,absorb,verbs,0.0
24,线,sunset,nouns,0.0
25,重大,minor,adjectives,0.13
26,生气,fury,nouns,4.62
27,朋友,buddy,nouns,4.46
28,癌症,sickness,nouns,3.23
29,空出,evict,verbs,1.11
30,给予,lend,verbs,2.39
31,争论,criticism,nouns,1.47
32,木材,log,nouns,3.35
33,参与,say,verbs,0.15
34,女人,secretary,nouns,0.4
35,游戏,trick,nouns,0.67
36,预言家,priest,nouns,0.79
37,冷淡,fragile,adjectives,0.0
38,错误,precise,adjectives,0.09
39,病理学,hematology,nouns,1.9
40,分析,evaluate,verbs,4.54
41,笔直,curved,adjectives,0.16
42,班级,college,nouns,0.4
43,足球,soccer,nouns,4.9
44,实现,succeed,verbs,2.66
45,攻击,blitz,nouns,3.23
46,打破,crack,verbs,2.42
47,页,paragraph,nouns,0.84
48,出现,become,verbs,0.22
49,伟大,awful,adjectives,0.08
50,苹果,lemon,nouns,0.24
51,大灾变,fire,nouns,0.6
52,天神,father,nouns,0.39
53,学校,grade,nouns,0.7
54,读,comprehend,verbs,1.21
55,灌木,flower,nouns,0.98
56,突变体,sociobiology,nouns,0.23
57,冬天,season,nouns,1.95
58,冷静地,subtly,adverbs,0.82
59,出租车,taxi,nouns,5.8
60,污染,president,nouns,0.12
61,恶魔,angel,nouns,0.25
62,巧妙的,calmly,adverbs,0.82
63,距离,perspective,nouns,0.82
64,米饭,bean,nouns,0.61
65,说谎,pretend,verbs,2.59
66,自然地,unnaturally,adverbs,0.22
67,之前,after,adverbs,0.22
68,暴风雨,hurricane,nouns,2.98
69,石,wood,nouns,0.08
70,淋透,reduce,verbs,0.0
71,野兽,animal,nouns,3.77
72,狭窄,dirty,adjectives,0.0
73,角,area,nouns,0.54
74,帽子,coat,nouns,0.79
75,信心十足地,secretly,adverbs,0.27
76,教授,doctor,nouns,1.53
77,被动地,actively,adverbs,0.22
78,银行家,lawyer,nouns,0.36
79,军官,deputy,nouns,1.52
80,狡诈,untrustworthy,adjectives,2.86
81,稻草,wife,nouns,0.09
82,按下,release,verbs,0.0
83,进入,owe,verbs,0.0
84,蓝色,red,adjectives,0.4
85,肉,sandwich,nouns,0.29
86,映像,image,nouns,2.5
87,赞成,permit,verbs,4.29
88,哭,sob,verbs,5.1
89,私人,personal,adjectives,4.09
90,晚餐,soup,nouns,0.77
91,满足,comprehend,verbs,0.3
92,股票,asset,nouns,3.04
93,需要,arrange,verbs,0.0
94,软管,car,nouns,0.04
95,忽略,ask,verbs,0.09
96,同音词,photophone,nouns,0.04
97,独立地,responsibly,adverbs,0.89
98,裙子,dance,nouns,0.09
99,呼吸,choke,verbs,0.32
100,瘦,slender,adjectives,4.92
101,给,put,verbs,0.29
102,沙拉,vinegar,nouns,0.13
103,搅拌,shake,verbs,1.53
104,离开,take,verbs,0.04
105,病人,session,nouns,0.26
106,让,allow,verbs,4.07
107,段,letter,nouns,0.21
108,刺激,dull,adjectives,0.13
109,纸,cardboard,nouns,2.84
110,来,go,verbs,0.54
111,线索,word,nouns,0.09
112,公国,princedom,nouns,1.65
113,雕塑家,mansion,nouns,0.0
114,轻蔑,scornful,adjectives,4.42
115,纸币,payment,nouns,0.85
116,宣告,declare,verbs,4.67
117,月,august,nouns,2.25
118,兄弟会,men,nouns,1.02
119,好心地,generously,adverbs,2.86
120,重新安葬,tomb,nouns,0.47
121,品质,umbrella,nouns,0.04
122,电视,cinema,nouns,1.92
123,大,flexible,adjectives,0.14
124,课程,stomach,nouns,0.0
125,运送,accept,verbs,0.0
126,无礼,crude,adjectives,1.04
127,爸爸,mother,nouns,0.78
128,阿姨,nephew,nouns,0.25
129,离开,separate,verbs,1.64
130,丈夫,man,nouns,2.31
131,警长,cop,nouns,3.72
132,公寓,hotel,nouns,0.79
133,沐浴,trick,nouns,0.0
134,精确地,inaccurately,adverbs,0.22
135,家伙,friend,nouns,1.05
136,救援,save,verbs,4.83
137,狂怒,anger,nouns,4.62
138,脊柱,body,nouns,0.87
139,情绪,passion,nouns,2.9
140,争论,convince,verbs,2.04
141,壁,castle,nouns,0.39
142,屋顶,floor,nouns,0.2
143,冷静地,peacefully,adverbs,3.61
144,可靠,responsibly,adverbs,3.23
145,接受,deliver,verbs,0.0
146,偷,take,verbs,1.54
147,牧师,prophet,nouns,0.79
148,离开,arrive,verbs,0.18
149,灵活,easy,adjectives,1.15
150,水,ice,nouns,2.02
151,同意,differ,verbs,0.04
152,男孩,kid,nouns,2.75
153,山,ledge,nouns,0.27
154,便宜,inexpensive,adjectives,4.53
155,有时,whenever,adverbs,0.55
156,上衣,hat,nouns,0.79
157,看来,simply,adverbs,0.82
158,高速公路,car,nouns,0.2
159,男人,fraternity,nouns,1.02
160,内疚,ashamed,adjectives,4.14
161,没用过,new,adjectives,4.09
162,拒绝,withdraw,verbs,0.86
163,出口,doorway,nouns,2.98
164,借款人,credit,nouns,0.56
165,聚会,convocation,nouns,3.29
166,蛋白质,handle,nouns,0.0
167,自信,attitude,nouns,1.59
168,直觉,sense,nouns,4.39
169,脏,narrow,adjectives,0.0
170,死,disintegrate,verbs,0.29
171,政治家,policeman,nouns,0.12
172,房间,building,nouns,0.4
173,机器,computer,nouns,2.33
174,忘记,retain,verbs,0.09
175,给,steal,verbs,0.22
176,非法,immoral,adjectives,2.05
177,高度,conversion,nouns,0.04
178,男子,father,nouns,2.19
179,容易,simple,adjectives,4.45
180,争论,attend,verbs,0.09
181,叶,seedling,nouns,0.75
182,聚集,attend,verbs,0.55
183,获得,take,verbs,3.34
184,大方,nice,adjectives,1.77
185,椅子,bed,nouns,0.45
186,枪,dawn,nouns,0.0
187,啤酒,champagne,nouns,1.73
188,舌头,muscle,nouns,0.74
189,玩,fight,verbs,0.18
190,安排,require,verbs,0.0
191,违反,crime,nouns,3.15
192,章节,night,nouns,0.0
193,书,bible,nouns,1.95
194,自然地,quietly,adverbs,0.32
195,和平地,chaotically,adverbs,0.04
196,汽车,street,nouns,0.52
197,腹部,belly,nouns,3.3
198,长,narrow,adjectives,0.29
199,知会,polish,verbs,0.0
200,清醒,rational,adjectives,3.22
201,意见,idea,nouns,3.25
202,球,costume,nouns,0.04
203,自行车,car,nouns,0.57
204,武器,helmet,nouns,0.33
205,女英雄,hero,nouns,3.62
206,获得,obtain,verbs,4.79
207,相信,know,verbs,1.46
208,参议院,constitution,nouns,0.48
209,加,build,verbs,1.19
210,女孩,guy,nouns,0.52
211,发动机,motor,nouns,2.88
212,踝,elbow,nouns,0.47
213,博物馆,mint,nouns,0.04
214,得到,lose,verbs,0.18
215,国王,nepotism,nouns,0.33
216,伙伴,friend,nouns,4.46
217,傻笑,laugh,verbs,3.47
218,游行,band,nouns,0.45
219,两次,once,adverbs,0.82
220,门口,exit,nouns,2.98
221,对手,opponent,nouns,5.19
222,球,cannon,nouns,0.31
223,特别,meaningfully,adverbs,2.46
224,发烧,illness,nouns,2.41
225,埋葬,cover,verbs,2.23
226,编织,move,verbs,0.19
227,发炎,disease,nouns,3.07
228,徽章,dignity,nouns,0.19
229,故事,topic,nouns,0.82
230,大,easy,adjectives,0.0
231,门,bell,nouns,0.12
232,红酒,brandy,nouns,2.05
233,生气,happy,adjectives,0.04
234,有攻击性的,rude,adjectives,1.45
235,头脑风暴,telescope,nouns,0.0
236,理解,know,verbs,3.09
237,跛行,walk,verbs,1.93
238,依赖,rely,verbs,4.62
239,不同意,agree,verbs,0.22
240,弯曲,angle,nouns,0.89
241,飞机,jet,nouns,4.12
242,道德,legend,nouns,0.12
243,呕吐,shut,verbs,0.0
244,笨,huge,adjectives,0.08
245,庆祝,ceremony,nouns,2.67
246,笨,stupid,adjectives,5.6
247,男人,warrior,nouns,0.55
248,收入,tax,nouns,0.47
249,说服,argue,verbs,2.04
250,杂志,article,nouns,2.04
251,准确地,actively,adverbs,0.36
252,脚趾,finger,nouns,0.59
253,友好,outgoing,adjectives,0.86
254,愤怒,violent,adjectives,1.84
255,绿洲,freedom,nouns,0.2
256,船,car,nouns,0.45
257,乱,ugly,adjectives,0.74
258,肚子,bedroom,nouns,0.0
259,毯,wood,nouns,0.0
260,大气层,pollution,nouns,0.24
261,了解,forgive,verbs,0.71
262,判断,testify,verbs,0.43
263,杆,flag,nouns,0.79
264,保护,keep,verbs,0.64
265,机灵,dumb,adjectives,0.13
266,加入,participate,verbs,3.71
267,拒绝,elect,verbs,0.0
268,便宜货,penny,nouns,0.16
269,新鲜,old,adjectives,0.13
270,减少,shrink,verbs,3.71
271,污染,atmosphere,nouns,0.24
272,对乙酰氨基酚,bronchitis,nouns,0.13
273,薪水,fee,nouns,1.03
274,模拟,robotics,nouns,0.78
275,煮,lose,verbs,0.0
276,从不,generously,adverbs,0.0
277,自己,confidence,nouns,0.74
278,蟋蟀,supporter,nouns,0.0
279,混合,dissolve,verbs,0.96
280,深深地,mostly,adverbs,0.33
281,毕业,finish,verbs,2.25
282,灰濛蒙,forecast,nouns,0.2
283,枪,sergeant,nouns,0.36
284,逮捕,suspect,verbs,0.26
285,正义,right,nouns,1.12
286,减少,restrict,verbs,2.27
287,犯罪,attack,nouns,1.3
288,副驾驶,cockpit,nouns,0.43
289,广口瓶,bottle,nouns,3.79
290,手,thumb,nouns,0.75
291,教育,teach,verbs,4.86
292,死,bury,verbs,1.43
293,悬崖,tail,nouns,0.0
294,儿子,father,nouns,0.54
295,机器,engine,nouns,2.27
296,杯子,cone,nouns,0.75
297,很可能,possibly,adverbs,3.67
298,节约,spend,verbs,0.36
299,身体,spine,nouns,0.87
300,跳跃,fence,nouns,0.0
301,大致,impatiently,adverbs,0.54
302,宣布,announce,verbs,4.98
303,幼稚,innocent,adjectives,4.38
304,显著的,obvious,adjectives,4.28
305,桥,car,nouns,0.09
306,电视,actor,nouns,0.36
307,篱笆,jumping,nouns,0.0
308,手腕,hand,nouns,1.66
309,现金,money,nouns,4.5
310,蛇,lizard,nouns,1.15
311,容器,mouse,nouns,0.0
312,团结,divide,verbs,0.22
313,今天,tonight,adverbs,1.95
314,合唱团,church,nouns,0.28
315,状况,situation,nouns,5.13
316,怒视,squint,verbs,0.72
317,逻辑,arithmetic,nouns,1.97
318,知道,comprehend,verbs,3.48
319,稻草,hymn,nouns,0.0
320,罕见,unusual,adjectives,4.44
321,意识,attention,nouns,3.33
322,果园,ostrich,nouns,0.0
323,认真地,sincerely,adverbs,2.33
324,河流,sea,nouns,1.73
325,组织,become,verbs,0.0
326,离开,wander,verbs,0.16
327,显然,obvious,adjectives,4.84
328,明显,noticeable,adjectives,4.28
329,日落,table,nouns,0.0
330,球状物,ball,nouns,4.35
331,争论,agreement,nouns,0.27
332,沐浴,log,nouns,0.0
333,编织,tie,verbs,1.92
334,摇动,collect,verbs,0.04
335,字,clue,nouns,0.09
336,发展,fertilizer,nouns,0.47
337,贫穷,lonely,adjectives,0.18
338,使满意,agree,verbs,1.34
339,正常,weird,adjectives,0.13
340,支持者,cricket,nouns,0.0
341,帅哥,guy,nouns,1.1
342,前进,promote,verbs,2.05
343,武士,man,nouns,0.55
344,汽车,carriage,nouns,2.23
345,老鼠,cat,nouns,0.29
346,花园,hose,nouns,0.07
347,人,animal,nouns,1.31
348,任务,woman,nouns,0.0
349,毛毛雨,rain,nouns,3.29
350,过道,corridor,nouns,4.95
351,行动,game,nouns,0.12
352,门,floor,nouns,0.04
353,游戏,action,nouns,0.12
354,城镇,city,nouns,3.48
355,方式,way,nouns,3.75
356,降低,reduce,verbs,3.99
357,诚实地,never,adverbs,0.0
358,减肥,salad,nouns,0.7
359,小说,writer,nouns,0.2
360,假设,pretend,verbs,1.52
361,查询,require,verbs,0.14
362,祈祷,ask,verbs,0.82
363,团结,tie,verbs,0.46
364,保持,borrow,verbs,0.12
365,泥土,mud,nouns,4.39
366,不负责任,immature,adjectives,2.25
367,开始,originate,verbs,4.11
368,拉比,teacher,nouns,1.32
369,办公室,worker,nouns,0.29
370,混合,beat,verbs,0.15
371,暴力,soft,adjectives,0.0
372,吵闹,noise,nouns,4.02
373,乏味,secure,adjectives,0.04
374,大多,mainly,adverbs,4.04
375,减去,lose,verbs,2.02
376,高速公路,task,nouns,0.0
377,大厦,room,nouns,0.4
378,柔软,violent,adjectives,0.0
379,难得,rare,adjectives,4.39
380,走,begin,verbs,0.86
381,加入,add,verbs,3.21
382,风暴,cloud,nouns,0.68
383,政府,lizard,nouns,0.0
384,连接,separate,verbs,0.22
385,个人,private,adjectives,4.09
386,演员,television,nouns,0.36
387,舒服地,easily,adverbs,2.27
388,大炮,gun,nouns,1.98
389,瞄准,hit,verbs,1.26
390,签证,globalism,nouns,0.55
391,车,car,nouns,5.76
392,自信,self,nouns,0.74
393,打,attract,verbs,0.0
394,作业,note,nouns,0.34
395,反驳,allow,verbs,0.0
396,高高兴兴地,deadly,adverbs,0.18
397,最近,currently,adverbs,2.71
398,湖,cloud,nouns,0.04
399,门,cellar,nouns,0.22
400,信念,concept,nouns,1.41
401,预测,overcast,nouns,0.2
402,机械师,worker,nouns,2.14
403,成功,achieve,verbs,2.66
404,水,drought,nouns,0.08
405,旧,mixed,adjectives,0.0
406,峡谷,valley,nouns,3.97
407,拒绝,accept,verbs,0.15
408,似乎,become,verbs,0.25
409,不确定,scared,adjectives,0.83
410,班,army,nouns,1.28
411,批评,argument,nouns,1.47
412,吞,drink,verbs,1.43
413,检查,inspect,verbs,4.87
414,耐力,band,nouns,0.0
415,城堡,wall,nouns,0.39
416,导演,cinematography,nouns,1.01
417,走,enter,verbs,1.34
418,付款,coin,nouns,1.16
419,积极地,accurately,adverbs,0.36
420,暗礁,beach,nouns,0.43
421,糖果,apple,nouns,0.08
422,应用,galaxy,nouns,0.0
423,装饰,envelope,nouns,0.32
424,奖学金,tuition,nouns,0.71
425,想要,desire,verbs,4.9
426,步行,limp,verbs,1.93
427,沟通,pray,verbs,0.67
428,松饼,parsley,nouns,0.0
429,监护人,adult,nouns,2.09
430,恶意软件,worm,nouns,0.53
431,给予,receive,verbs,0.04
432,椅子,sofa,nouns,2.44
433,活塞,engine,nouns,1.52
434,书,accident,nouns,0.0
435,本地,obviously,adverbs,0.0
436,菜单,order,nouns,1.03
437,码,meter,nouns,2.09
438,无政府,chaos,nouns,3.03
439,门,kitchen,nouns,0.04
440,忘记,forgive,verbs,0.35
441,书,story,nouns,2.08
442,肠子,nerve,nouns,0.63
443,微晶片,cursor,nouns,0.04
444,洗,rinse,verbs,4.21
445,油,mink,nouns,0.0
446,存在,door,nouns,0.0
447,降落,decrease,verbs,0.43
448,肚子,vein,nouns,0.14
449,猫,pet,nouns,2.95
450,忘记,learn,verbs,0.04
451,戏法,bath,nouns,0.0
452,募捐,development,nouns,0.08
453,孩子,boy,nouns,2.75
454,锡,aluminium,nouns,1.21
455,电影,television,nouns,1.92
456,发出恶臭,smell,verbs,3.08
457,充电器,disk,nouns,0.16
458,决定,conclude,verbs,3.11
459,选举,choice,nouns,2.17
460,深度,magnitude,nouns,1.52
461,财富,prestige,nouns,1.13
462,感情上,sadly,adverbs,1.38
463,生日,year,nouns,0.64
464,铝,tin,nouns,1.21
465,显然,roughly,adverbs,0.32
466,糟糕,humbly,adverbs,0.19
467,来,attend,verbs,3.17
468,小麦粉,bread,nouns,1.21
469,风格,elegance,nouns,2.56
470,注意,caution,nouns,3.72
471,世纪,liquor,nouns,0.0
472,点菜,menu,nouns,1.03
473,角度,distance,nouns,0.82
474,地带,area,nouns,4.82
475,一分钱,size,nouns,0.0
476,口香糖,peppermint,nouns,0.67
477,容易,tough,adjectives,0.08
478,澄清,explain,verbs,4.16
479,婴儿,daughter,nouns,2.29
480,运送,carry,verbs,1.68
481,实现,try,verbs,0.6
482,氦气,air,nouns,1.98
483,总是,twice,adverbs,0.07
484,直升机,plane,nouns,2.08
485,信封,decoration,nouns,0.32
486,作者,creator,nouns,3.84
487,得分,level,nouns,0.82
488,毛,gun,nouns,0.0
489,正式地,importantly,adverbs,1.5
490,电话,victim,nouns,0.0
491,付得起,cheap,adjectives,3.34
492,选择,chapter,nouns,0.04
493,授粉,stamen,nouns,0.71
494,喷气式飞机,plane,nouns,4.12
495,有礼貌地,discreetly,adverbs,1.25
496,拥有,absorb,verbs,0.42
497,联合,sugarcane,nouns,0.0
498,接受,recommend,verbs,0.14
499,云,lake,nouns,0.04
500,杯子,jar,nouns,1.84
501,脸颊,tongue,nouns,0.34
502,坏,immoral,adjectives,3.22
503,辩解,argue,verbs,3.29
504,艺术家,artwork,nouns,0.79
505,米饭,chicken,nouns,0.04
506,怪诞,strange,adjectives,4.94
507,动物,person,nouns,1.31
508,血液,virus,nouns,0.4
509,程序,food,nouns,0.0
510,找到,escape,verbs,0.0
511,有趣,serious,adjectives,0.0
512,饥饿,thirsty,adjectives,1.33
513,旗,vexillology,nouns,0.98
514,失去,get,verbs,0.18
515,放,hang,verbs,0.84
516,男人,husband,nouns,2.31
517,大,national,adjectives,0.12
518,季节,winter,nouns,1.95
519,愤怒,hesitant,adjectives,0.23
520,允许,let,verbs,4.07
521,说服,try,verbs,0.43
522,大气层,ozone,nouns,2.51
523,座位,bank,nouns,0.09
524,训斥,demand,verbs,0.13
525,国会,parliament,nouns,2.83
526,无穷,zero,nouns,0.31
527,小心地,securely,adverbs,2.2
528,征服,journey,nouns,0.8
529,蠢,dumb,adjectives,5.6
530,仁慈地,gently,adverbs,2.87
531,戏法,game,nouns,0.67
532,潜水,create,verbs,0.0
533,智力,logic,nouns,2.89
534,大笑,giggle,verbs,3.47
535,表哥,uncle,nouns,0.33
536,法庭,judge,nouns,0.91
537,海啸,sea,nouns,1.18
538,覆盖着,clothed,adjectives,2.79
539,神经,brain,nouns,1.18
540,谦虚,ashamed,adjectives,0.29
541,国民,known,adjectives,0.0
542,搜索,wander,verbs,0.52
543,从不,later,adverbs,0.36
544,疾病,cancer,nouns,3.23
545,雾,cloud,nouns,2.7
546,海滩,coast,nouns,2.84
547,尾巴,cliff,nouns,0.0
548,探索,ignore,verbs,0.0
549,无家可归,billionaire,nouns,0.27
550,肝脏,organ,nouns,2.21
551,游泳,meet,verbs,0.27
552,雾气,cloud,nouns,2.31
553,试验,test,nouns,4.21
554,猎狗,fox,nouns,0.75
555,相信,accept,verbs,1.39
556,冲洗,wash,verbs,4.21
557,餐,dinner,nouns,2.92
558,歇斯底里,confusion,nouns,2.13
559,募捐活动,event,nouns,1.72
560,渴,hungry,adjectives,1.33
561,创造者,author,nouns,3.84
562,分析,compare,verbs,2.63
563,关闭,vomit,verbs,0.0
564,手臂,vein,nouns,0.08
565,打败,win,verbs,3.77
566,开心,cheerful,adjectives,5.28
567,获得,reap,verbs,2.46
568,羞愧,sorrow,nouns,1.04
569,笔记本,gun,nouns,0.0
570,喝醉,sober,adjectives,0.13
571,坚固地,softly,adverbs,0.0
572,轻松,stressed,adjectives,0.04
573,父亲,parent,nouns,3.71
574,骨髓,blood,nouns,0.49
575,教,punish,verbs,0.28
576,今天晚上,today,adverbs,1.95
577,船,motor,nouns,0.45
578,争论,prove,verbs,1.79
579,海滩,island,nouns,1.14
580,残酷,nice,adjectives,0.0
581,二极管,capacitor,nouns,0.79
582,鸡,rice,nouns,0.04
583,乞求,borrow,verbs,1.12
584,狐狸,hound,nouns,0.75
585,争论,complain,verbs,1.89
586,新,unused,adjectives,4.09
587,评论说,criticize,verbs,1.48
588,知会,notify,verbs,4.07
589,得出结论,decide,verbs,3.11
590,精确地,accurately,adverbs,5.34
591,被动,violent,adjectives,0.0
592,和平地,proudly,adverbs,0.24
593,詞,page,nouns,0.27
594,营地,cabin,nouns,0.43
595,老鼠,management,nouns,0.0
596,终末,differently,adverbs,0.04
597,妻子,husband,nouns,0.91
598,湖,swamp,nouns,0.8
599,伤害,kick,verbs,0.87
600,旧,fresh,adjectives,0.13
601,显然,locally,adverbs,0.0
602,机灵,sly,adjectives,2.46
603,光标,slide,nouns,0.09
604,珍贵,sacred,adjectives,2.19
605,允许,erode,verbs,0.0
606,天神,devil,nouns,0.32
607,帝制,democracy,nouns,0.51
608,旅程,trip,nouns,4.66
609,甲板,floor,nouns,2.22
610,两次,multiple,adverbs,0.7
611,页,word,nouns,0.27
612,早餐,dinner,nouns,0.87
613,未成熟的,irresponsible,adjectives,2.25
614,钥匙,lock,nouns,0.6
615,港口,wrapper,nouns,0.0
616,大学,campus,nouns,2.41
617,手臂,neck,nouns,0.13
618,传说,moral,nouns,0.12
619,卖,deal,verbs,2.1
620,金,zinc,nouns,0.72
621,保留,forget,verbs,0.09
622,非法,lawful,adjectives,0.13
623,静脉,choice,nouns,0.04
624,闪电攻击,attack,nouns,3.23
625,速度,post,nouns,0.0
626,听,hear,verbs,4.25
627,分子,atom,nouns,2.11
628,晚上,day,nouns,0.15
629,乱七八糟,orderly,adjectives,0.18
630,山谷,canyon,nouns,3.97
631,智力,skill,nouns,2.15
632,薄荷,gum,nouns,0.67
633,智慧,intelligence,nouns,3.88
634,臭氧,atmosphere,nouns,2.51
635,避免,reject,verbs,1.2
636,图像,reflection,nouns,2.5
637,父亲,god,nouns,0.39
638,概念,belief,nouns,1.41
639,得罪,bother,verbs,1.88
640,说话,acknowledge,verbs,0.55
641,歌手,staff,nouns,0.18
642,门,fraternity,nouns,0.0
643,海岸,beach,nouns,2.84
644,台风,cyclone,nouns,3.67
645,平面,sheet,nouns,0.14
646,警察,politician,nouns,0.12
647,市长,president,nouns,1.69
648,洗澡,monastery,nouns,0.0
649,保护,cover,verbs,1.48
