ID,CMN,ENG,PoS,score
650,椅子,telescope,nouns,0.0
651,单身牢房,lock-up,nouns,1.43
652,犯罪,violation,nouns,3.15
653,肘,ankle,nouns,0.47
654,美,sonnet,nouns,0.16
655,鸟,turkey,nouns,1.77
656,母亲,guardian,nouns,2.53
657,鹰,bird,nouns,2.2
658,奇怪,ordinary,adjectives,0.08
659,指甲,thumb,nouns,0.61
660,幸福,luck,nouns,0.6
661,大笑,cry,verbs,0.22
662,蜜糖,dairy,nouns,0.33
663,明亮地,greatly,adverbs,0.27
664,值得,earn,verbs,1.91
665,放开,press,verbs,0.0
666,经常地,occasionally,adverbs,0.94
667,肺,liver,nouns,0.67
668,定义,dictionary,nouns,0.51
669,两次,always,adverbs,0.07
670,恶化,wipe,verbs,0.0
671,选择,want,verbs,0.68
672,带来,carry,verbs,2.5
673,保龄,bowler,nouns,1.12
674,棉,polyester,nouns,0.93
675,伞,heater,nouns,0.04
676,气球,bath,nouns,0.0
677,乳制品,honey,nouns,0.33
678,无礼,critical,adjectives,0.74
679,总和,union,nouns,0.51
680,棒球,fraternity,nouns,0.0
681,可笑,dull,adjectives,0.0
682,三角洲,sea,nouns,0.41
683,小炮舰,coast,nouns,0.08
684,案件,hardware,nouns,0.24
685,手机,telephone,nouns,4.04
686,解剖学,biology,nouns,2.71
687,保持,give,verbs,0.09
688,蕊,pollination,nouns,0.71
689,老鼠,deck,nouns,0.0
690,安全地,happily,adverbs,0.26
691,说谎,deny,verbs,0.9
692,打印,ignore,verbs,0.0
693,竿,curtain,nouns,0.29
694,钻石,money,nouns,0.7
695,歌曲,ballad,nouns,3.2
696,电动机,engine,nouns,2.88
697,解决,finish,verbs,1.86
698,追求,persuade,verbs,0.13
699,雷达,joystick,nouns,0.16
700,威士忌酒,gin,nouns,1.48
701,海滩,reef,nouns,0.43
702,迅速,quick,adjectives,5.47
703,饼干,princess,nouns,0.0
704,拥有,take,verbs,0.99
705,韵律,arithmetic,nouns,0.04
706,安慰,humiliate,verbs,0.13
707,理解,satisfy,verbs,0.3
708,问,help,verbs,0.24
709,发现,originate,verbs,0.56
710,工作,tool,nouns,0.26
711,割礼,foreskin,nouns,0.67
712,猴子,campaign,nouns,0.0
713,雨,blizzard,nouns,0.71
714,创建,draw,verbs,0.7
715,自豪,bold,adjectives,1.25
716,一次,twice,adverbs,0.82
717,主题,story,nouns,0.82
718,死亡,burial,nouns,0.8
719,毯子,bed,nouns,0.35
720,短小,dwarfish,adjectives,3.21
721,坚硬,tough,adjectives,3.28
722,好斗,combat,nouns,2.46
723,试着,intend,verbs,1.18
724,乐观地,possibly,adverbs,0.22
725,被动地,silently,adverbs,1.09
726,迷惑,learn,verbs,0.0
727,幼苗,leaf,nouns,0.75
728,享受,entertain,verbs,0.84
729,疯,sick,adjectives,0.61
730,巨大,tiny,adjectives,0.16
731,牛,horse,nouns,0.57
732,气旋,typhoon,nouns,3.67
733,母鸡,turkey,nouns,1.71
734,诚实,guilty,adjectives,0.04
735,给,allow,verbs,0.66
736,晚餐,meal,nouns,2.83
737,熵,information,nouns,0.66
738,作者,reader,nouns,0.49
739,领带,unite,verbs,0.46
740,谦逊,modest,adjectives,5.13
741,赢得,accomplish,verbs,2.43
742,次要,significant,adjectives,0.13
743,家牛,cow,nouns,3.89
744,大致,reliably,adverbs,0.09
745,抽屉,clothes,nouns,0.2
746,董事,boss,nouns,3.82
747,派对,mask,nouns,0.09
748,淹,save,verbs,0.04
749,说话,hear,verbs,0.27
750,家牛,yogurt,nouns,0.55
751,真实地,perfectly,adverbs,0.68
752,探索,discover,verbs,2.56
753,母亲,friend,nouns,0.75
754,冰,water,nouns,2.02
755,容器,bottle,nouns,2.46
756,诈骗,crime,nouns,2.56
757,正式,proper,adjectives,3.75
758,胆大,proud,adjectives,1.25
759,宣告,proclaim,verbs,4.98
760,拯救,rescue,verbs,4.83
761,兴奋,frightened,adjectives,0.39
762,英雄,heroine,nouns,3.62
763,想要,borrow,verbs,0.14
764,兄弟会,door,nouns,0.0
765,手,foot,nouns,0.72
766,合作,join,verbs,1.21
767,常规地,normally,adverbs,4.62
768,黏,wet,adjectives,1.27
769,电,case,nouns,0.04
770,脾气,doctor,nouns,0.0
771,帮助,protect,verbs,1.39
772,懒,precious,adjectives,0.04
773,电影,nihilism,nouns,0.28
774,礼物,writer,nouns,0.0
775,鼓励,discourage,verbs,0.22
776,纱,thread,nouns,2.19
777,丈夫,wife,nouns,0.91
778,庆祝,surprise,verbs,0.42
779,凹地,valley,nouns,1.73
780,死气沉沉的,happily,adverbs,0.18
781,紧紧,firmly,adverbs,3.65
782,先生,lady,nouns,0.45
783,喉,tongue,nouns,0.79
784,出租车,cab,nouns,5.8
785,音系学,screen,nouns,0.0
786,球,sphere,nouns,4.35
787,地区,corner,nouns,0.54
788,滨,coast,nouns,3.33
789,新,ancient,adjectives,0.13
790,妻子,hole,nouns,0.32
791,判决书,trial,nouns,1.52
792,挤压,hug,verbs,1.15
793,现实地,recently,adverbs,0.0
794,飞机场,piece,nouns,0.0
795,沙漠,dune,nouns,2.22
796,成为,accomplish,verbs,0.4
797,皮肤,bike,nouns,0.0
798,粘性,splash,nouns,0.2
799,工作者,office,nouns,0.29
800,坚硬,dense,adjectives,2.54
801,和平,soldier,nouns,0.04
802,父亲,brother,nouns,0.33
803,运输,car,nouns,2.23
804,灵魂,brother,nouns,0.0
805,坏,guilty,adjectives,0.73
806,离开,go,verbs,4.23
807,人,gun,nouns,0.0
808,发送,bring,verbs,0.08
809,上校,dentist,nouns,0.13
810,工具,job,nouns,0.26
811,八月,month,nouns,2.25
812,餐,supper,nouns,2.83
813,轨,fence,nouns,0.54
814,菠萝,smartphone,nouns,0.0
815,手,wrist,nouns,1.66
816,牙医,orthodontist,nouns,3.54
817,真实地,importantly,adverbs,0.27
818,总统,camera,nouns,0.0
819,圣歌,conquest,nouns,0.0
820,强烈地,officially,adverbs,0.47
821,偷,kidnap,verbs,1.2
822,好,spicy,adjectives,0.0
823,煮,mix,verbs,0.45
824,原子,carbon,nouns,0.88
825,布,clothes,nouns,1.95
826,河,valley,nouns,1.29
827,模糊,unclear,adjectives,4.78
828,货币,concurrency,nouns,0.08
829,演员,polyhedron,nouns,0.04
830,身体,arm,nouns,0.38
831,牛排,meat,nouns,3.73
832,作家,gift,nouns,0.0
833,帮手,teacher,nouns,1.48
834,数字,number,nouns,4.85
835,火,apocalypse,nouns,0.6
836,播放机,coach,nouns,0.15
837,离开,retreat,verbs,3.19
838,心情,anger,nouns,1.87
839,联合,sum,nouns,0.51
840,神圣,precious,adjectives,2.19
841,默默地,passively,adverbs,1.09
842,雪,storm,nouns,1.1
843,运动,activity,nouns,2.95
844,苗条,slim,adjectives,4.92
845,断绝亲子关系 or...,give,verbs,0.04
846,内疚,honest,adjectives,0.04
847,得到,buy,verbs,1.29
848,最近,recently,adverbs,5.15
849,书,text,nouns,2.43
850,碗,tail,nouns,0.0
851,眼睛,tear,nouns,0.3
852,某些,nervous,adjectives,0.0
853,一次,instantly,adverbs,0.39
854,棉,sweater,nouns,0.52
855,抓住,release,verbs,0.18
856,动物,beast,nouns,3.77
857,洞察力,intelligence,nouns,2.37
858,装饰,wall,nouns,0.47
859,获得,join,verbs,0.2
860,奇怪,odd,adjectives,5.33
861,帽子,box,nouns,0.04
862,货车,parcel,nouns,0.04
863,汽车,automobile,nouns,5.76
864,对抗,irritate,verbs,2.05
865,立方体,toy,nouns,0.09
866,牛,cattle,nouns,3.89
867,耐力,strength,nouns,2.7
868,教堂,choir,nouns,0.28
869,伤心,funny,adjectives,0.16
870,忘记,know,verbs,0.04
871,积极地,happily,adverbs,0.47
872,认真地,importantly,adverbs,1.37
873,拇指,nail,nouns,0.61
874,微妙地,loudly,adverbs,0.04
875,领导,manager,nouns,2.5
876,离开,enter,verbs,0.22
877,强硬,hard,adjectives,3.28
878,自豪地,peacefully,adverbs,0.24
879,薄雾,rain,nouns,1.29
880,长凳,chair,nouns,3.17
881,漂移,flow,verbs,1.84
882,天神,priest,nouns,0.33
883,谷仓,house,nouns,0.7
884,创建,imagine,verbs,1.05
885,海,delta,nouns,0.41
886,唱,float,verbs,0.0
887,坏,mediocre,adjectives,0.51
888,手臂,branch,nouns,0.51
889,简单,hard,adjectives,0.08
890,对手,adversary,nouns,5.19
891,粘人,insecure,adjectives,0.73
892,电梯,haul,verbs,2.07
893,哲学家,racing,nouns,0.0
894,表,sunset,nouns,0.0
895,灰尘,broom,nouns,0.29
896,病毒,blood,nouns,0.4
897,保持,cherish,verbs,0.88
898,理性的,sober,adjectives,3.22
899,浪费,worry,verbs,0.0
900,冷淡,rough,adjectives,0.04
901,好斗,curved,adjectives,0.09
902,原子,molecule,nouns,2.11
903,键盘,light,nouns,0.04
904,雪,ice,nouns,2.73
905,收缩,disappear,verbs,0.68
906,木,stone,nouns,0.08
907,听见,speak,verbs,0.27
908,节目,mathematician,nouns,0.0
909,伤心,proud,adjectives,0.14
910,紧急,quickly,adverbs,2.79
911,草,blade,nouns,0.34
912,遇见,greet,verbs,1.23
913,代码,symbol,nouns,2.34
914,货车,car,nouns,2.25
915,混合,drink,verbs,0.0
916,胜利,triumph,nouns,4.94
917,旅程,conquest,nouns,0.8
918,累,hungry,adjectives,0.34
919,当然,obviously,adverbs,3.25
920,射手,pathfinder,nouns,0.29
921,显然,surely,adverbs,3.25
922,否认,confession,nouns,0.27
923,饥饿,tired,adjectives,0.34
924,停止,prohibit,verbs,3.31
925,收费,despise,verbs,0.0
926,云,window,nouns,0.0
927,收缩,grow,verbs,0.13
928,外套,sweater,nouns,2.81
929,很少,never,adverbs,2.21
930,价值观,belief,nouns,3.08
931,状态,boy,nouns,0.14
932,三明治,meat,nouns,0.29
933,喷泉,spring,nouns,3.33
934,鼻子,throat,nouns,0.28
935,完全必要,necessary,adjectives,5.31
936,暴力,angry,adjectives,1.84
937,实现,receive,verbs,0.04
938,说服,argue,verbs,2.21
939,使惊奇,celebrate,verbs,0.42
940,唱,laugh,verbs,0.15
941,脏,sticky,adjectives,0.82
942,害怕,unsure,adjectives,0.83
943,僧侣,cross,nouns,0.21
944,搏斗,bite,verbs,1.21
945,空气,helium,nouns,1.98
946,古老,new,adjectives,0.13
947,一餐,waist,nouns,0.0
948,紧张,certain,adjectives,0.0
949,打,frame,nouns,0.04
950,冠军,winner,nouns,5.2
951,蝴蝶,rose,nouns,0.28
952,碗,plate,nouns,1.68
953,步行,stand,verbs,0.37
954,有意义地,specially,adverbs,2.46
955,未成形,uniform,adjectives,0.0
956,人口,people,nouns,2.54
957,傻,dumb,adjectives,4.75
958,新鲜,wide,adjectives,0.0
959,可靠地,passively,adverbs,0.0
960,告诉,remind,verbs,2.27
961,描绘,notify,verbs,0.0
962,拖着脚走,ride,verbs,0.0
963,笨,intelligent,adjectives,0.13
964,犹豫,wrathful,adjectives,0.23
965,大风,blanket,nouns,0.0
966,提高,drink,verbs,0.0
967,骨头,ankle,nouns,0.54
968,海岸,shore,nouns,3.33
969,辣,good,adjectives,0.0
970,字,dictionary,nouns,0.57
971,机器人技术,simulation,nouns,0.78
972,首词,syntax,nouns,0.42
973,自豪,strong,adjectives,0.58
974,血液学,pathology,nouns,1.9
975,男人,sentry,nouns,1.39
976,晚餐,breakfast,nouns,0.55
977,粗糙,ugly,adjectives,0.69
978,定理,theory,nouns,4.42
979,牙齿,mouth,nouns,0.74
980,肯定,certain,adjectives,5.28
981,邮包,truck,nouns,0.04
982,标识,club,nouns,0.0
983,说明,discuss,verbs,1.84
984,聪慧,dumb,adjectives,0.13
985,沙发,bed,nouns,1.02
986,生日,date,nouns,1.57
987,鸵鸟,orchard,nouns,0.0
988,进来,outgoing,adjectives,0.08
989,杀,defend,verbs,0.33
990,参与,join,verbs,3.71
991,夏天,winter,nouns,0.23
992,年级,school,nouns,0.7
993,差数,remainder,nouns,2.95
994,哭,laugh,verbs,0.22
995,立方体,dice,nouns,2.07
996,环球航行,baggage,nouns,0.07
997,尖,dull,adjectives,0.13
998,付款,treat,verbs,0.28
999,容易,flexible,adjectives,1.15
1000,迅速,fast,adjectives,5.19
1001,盒子,hat,nouns,0.04
1002,交流,conversation,nouns,4.22
1003,律师,banker,nouns,0.36
1004,欲望,want,verbs,4.9
1005,偷偷,confidently,adverbs,0.27
1006,焦躁不安,young,adjectives,0.04
1007,中性,calm,adjectives,0.9
1008,锤,teeth,nouns,0.0
1009,能力,strength,nouns,2.61
1010,不公平地,unreasonably,adverbs,3.46
1011,沐浴,room,nouns,0.12
1012,牛肉,cattle,nouns,3.0
1013,汽车,tank,nouns,0.63
1014,水,coronation,nouns,0.04
1015,年,century,nouns,1.27
1016,打碎,smash,verbs,3.84
1017,医生,professor,nouns,1.53
1018,模仿,capture,verbs,0.12
1019,作曲家,writer,nouns,2.81
1020,苹果,sauce,nouns,0.47
1021,苏丹,ministry,nouns,0.15
1022,宪法,emperor,nouns,0.12
1023,罐子,cup,nouns,1.84
1024,忽略,leave,verbs,0.75
1025,卧室,bicycle,nouns,0.0
1026,蜥蜴,government,nouns,0.0
1027,卖,borrow,verbs,0.32
1028,真诚地,seriously,adverbs,2.33
1029,理想地,realistically,adverbs,0.36
1030,肥皂泡沫,bubble,nouns,3.41
1031,摔碎,shatter,verbs,3.84
1032,皮炎,eczema,nouns,3.27
1033,肌肉,tongue,nouns,1.22
1034,简单,easy,adjectives,4.45
1035,推,pull,verbs,0.27
1036,煤,charcoal,nouns,2.39
1037,服从,punish,verbs,0.09
1038,喝,raise,verbs,0.0
1039,晚饭,meal,nouns,2.92
1040,碳,atom,nouns,0.88
1041,借,owe,verbs,0.22
1042,吸收,learn,verbs,2.38
1043,创建,destroy,verbs,0.22
1044,正直地,maturely,adverbs,0.93
1045,交流,television,nouns,0.19
1046,判断,decide,verbs,3.19
1047,明亮,star,nouns,0.45
1048,通知,acknowledge,verbs,0.54
1049,日志,formula,nouns,0.07
1050,墙壁,decoration,nouns,0.47
1051,小巷,street,nouns,3.06
1052,踝,bone,nouns,0.54
1053,争论,demand,verbs,0.33
1054,豆,rice,nouns,0.61
1055,哨兵,man,nouns,1.39
1056,进入,leave,verbs,0.22
1057,描绘,decide,verbs,0.0
1058,运动员,runner,nouns,2.75
1059,紧张地,anxiously,adverbs,4.56
1060,说,participate,verbs,0.15
1061,阻碍,strive,verbs,0.0
1062,床,chair,nouns,0.45
1063,合理的解释,argue,verbs,2.25
1064,叔叔,cousin,nouns,0.33
1065,后缀,affix,nouns,2.04
1066,哥哥,boy,nouns,1.94
1067,接受,receive,verbs,1.34
1068,溶解,mix,verbs,0.96
1069,合作伙伴,boy,nouns,0.3
1070,电话,cellphone,nouns,4.04
1071,立即,soon,adverbs,2.41
1072,派对,people,nouns,0.48
1073,草,moss,nouns,1.63
1074,撤退,leave,verbs,3.19
1075,秒,minute,nouns,1.58
1076,数字,cytoplasm,nouns,0.0
1077,犯罪,theft,nouns,2.84
1078,意见,choice,nouns,1.08
1079,罐,bottle,nouns,1.93
1080,微妙地,currently,adverbs,0.0
1081,不同,normal,adjectives,0.0
1082,谈判,diplomacy,nouns,2.22
1083,陷害,hit,nouns,0.04
1084,足球,fun,nouns,0.04
1085,手臂,leg,nouns,0.54
1086,穿着衣服的,covered,adjectives,2.79
1087,必须,unnecessary,adjectives,0.13
1088,蝙蝠,vampire,nouns,0.55
1089,带来,complain,verbs,0.09
1090,俱乐部,mark,nouns,0.0
1091,猫,mouse,nouns,0.29
1092,男人,girl,nouns,0.52
1093,宗教,secularist,nouns,0.15
1094,忙碌,lazy,adjectives,0.04
1095,护士,scientist,nouns,0.21
1096,承诺,swear,verbs,4.38
1097,自行车,bedroom,nouns,0.0
1098,邮件,speed,nouns,0.0
1099,幻想,reality,nouns,0.74
1100,坚固地,tightly,adverbs,3.65
1101,谨慎地,politely,adverbs,1.25
1102,混乱,class,nouns,0.0
1103,严肃,funny,adjectives,0.0
1104,单种栽培,agriculture,nouns,1.13
1105,否认,lie,verbs,0.9
1106,折断,crunch,verbs,1.66
1107,可能,likely,adverbs,3.67
1108,爆玉米花,cinema,nouns,0.34
1109,人,dollar,nouns,0.0
1110,精彩,beautiful,adjectives,2.83
1111,房间,bath,nouns,0.12
1112,屏蔽,buckler,nouns,0.56
1113,子程序,compiler,nouns,0.68
1114,鸟,hawk,nouns,2.2
1115,防御,protect,verbs,4.0
1116,柠檬,tea,nouns,0.08
1117,狭窄,broad,adjectives,0.13
1118,发抖,freeze,verbs,0.68
1119,腰,stomach,nouns,2.0
1120,察觉,hear,verbs,1.32
1121,花朵,endurance,nouns,0.23
1122,教堂,cable,nouns,0.0
1123,汽车,factory,nouns,0.09
1124,哥哥,father,nouns,0.33
1125,手术,heart,nouns,0.16
1126,发送,attend,verbs,0.0
1127,最近,realistically,adverbs,0.0
1128,清醒,snore,verbs,0.22
1129,之后,before,adverbs,0.22
1130,停,whistle,verbs,0.0
1131,今天晚上,tomorrow,adverbs,0.25
1132,离开,wait,verbs,0.18
1133,限制,reduce,verbs,2.27
1134,星系,app,nouns,0.0
1135,性能,cameo,nouns,0.73
1136,乘,add,verbs,0.61
1137,天空,sun,nouns,0.77
1138,医生,temper,nouns,0.0
1139,器官,liver,nouns,2.21
1140,总统,politician,nouns,2.89
1141,僵硬,easy,adjectives,0.09
1142,感染,inflection,nouns,0.0
1143,昆虫,bee,nouns,2.42
1144,牛仔裤,woman,nouns,0.04
1145,侄子,aunt,nouns,0.25
1146,尺寸,cent,nouns,0.0
1147,同意,please,verbs,1.34
1148,忍耐力,flower,nouns,0.23
1149,可能,optimistically,adverbs,0.22
1150,沉闷,dull,adjectives,2.13
1151,牛,goat,nouns,0.65
1152,芝士,bread,nouns,0.21
1153,真诚地,honestly,adverbs,4.54
1154,必须,important,adjectives,3.91
1155,幸福,peace,nouns,2.25
1156,检查,examine,verbs,4.87
1157,课程,action,nouns,1.02
1158,管弦乐队,band,nouns,3.34
1159,派,chocolate,nouns,0.49
1160,练习,repeat,verbs,1.94
1161,手套,ball,nouns,0.36
1162,女演员,actor,nouns,3.52
1163,声明,announce,verbs,4.67
1164,炒,bake,verbs,1.16
1165,傍晚,dusk,nouns,4.5
1166,娱乐,enjoy,verbs,0.84
1167,管理,job,nouns,0.65
1168,挂,put,verbs,0.84
1169,地震,tremor,nouns,3.5
1170,罕见,dumb,adjectives,0.0
1171,打,blend,verbs,0.15
1172,一分钱,wife,nouns,0.18
1173,规则,convention,nouns,2.66
1174,解释,prove,verbs,2.79
1175,羞耻,upset,adjectives,0.52
1176,得到,put,verbs,0.04
1177,协议,hole,nouns,0.0
1178,重复,practice,verbs,1.94
1179,给,keep,verbs,0.09
1180,语言,communication,nouns,1.36
1181,徽章,glass,nouns,0.08
1182,吸引,hit,verbs,0.0
1183,打中,miss,verbs,0.18
1184,肉,bacon,nouns,2.44
1185,大象,compass,nouns,0.04
1186,棒球,basketball,nouns,0.59
1187,歌曲,performer,nouns,0.37
1188,辣,weak,adjectives,0.0
1189,指控,lie,verbs,0.21
1190,第五,top,adjectives,0.04
1191,协议,pact,nouns,4.82
1192,救,protect,verbs,2.65
1193,鼻子,head,nouns,0.28
1194,肚皮,abdomen,nouns,3.3
1195,肉,steak,nouns,3.73
1196,周末,race,nouns,0.0
1197,钟,tower,nouns,0.4
1198,借,beg,verbs,1.12
1199,参加竞选,monkey,nouns,0.0
1200,美丽,wonderful,adjectives,2.83
1201,沙子,foot,nouns,0.04
1202,包皮,circumcision,nouns,0.67
1203,善良,generous,adjectives,1.77
1204,风,squall,nouns,2.52
1205,坦克,car,nouns,0.63
1206,捏,punch,verbs,0.45
1207,等待,pause,verbs,2.87
1208,愤怒,mood,nouns,1.87
1209,宾客,friend,nouns,2.55
1210,叔叔,aunt,nouns,1.17
1211,镜片,camera,nouns,0.72
1212,消失,shrink,verbs,0.68
1213,南,north,nouns,0.4
1214,保护,help,verbs,1.39
1215,纸,poster,nouns,1.8
1216,保留,destroy,verbs,0.09
1217,离开,ignore,verbs,0.75
1218,竞争,finish,verbs,0.69
1219,普通,incredible,adjectives,0.04
1220,清洁,spotless,adjectives,5.14
1221,建立,create,verbs,4.17
1222,贫困,wealth,nouns,0.12
1223,工作,management,nouns,0.65
1224,公司,business,nouns,4.36
1225,肉桂,candy,nouns,0.21
1226,舌头,cheek,nouns,0.34
1227,倒,drip,verbs,0.91
1228,找到,acquire,verbs,2.36
1229,乐趣,game,nouns,1.04
1230,尖叫,yell,verbs,3.62
1231,粗糙,rude,adjectives,1.04
1232,借,want,verbs,0.14
1233,拿,receive,verbs,1.28
1234,雪,weather,nouns,1.32
1235,收到,send,verbs,0.36
1236,学习,listen,verbs,0.66
1237,骑,shuffle,verbs,0.0
1238,飞机,airport,nouns,0.74
1239,似乎,pretend,verbs,0.82
1240,风暴,snow,nouns,1.1
1241,平庸,boring,adjectives,1.38
1242,在别处,home,adverbs,0.33
1243,十四行诗,beauty,nouns,0.16
1244,获得,get,verbs,4.91
1245,手册,guidebook,nouns,3.45
1246,绊倒,fall,verbs,3.12
1247,玻璃,badge,nouns,0.08
1248,熔化,dissolve,verbs,3.45
1249,逃走,flee,verbs,5.17
1250,给,know,verbs,0.04
1251,拿,possess,verbs,0.99
1252,总统,pupil,nouns,0.0
1253,合法,safe,adjectives,0.66
1254,粗暴,frigid,adjectives,0.04
1255,理解,read,verbs,1.21
1256,发出气味,stink,verbs,3.08
1257,掩盖,bury,verbs,2.23
1258,丑陋,crude,adjectives,0.69
1259,选择,decide,verbs,3.99
1260,尝试,achieve,verbs,0.6
1261,虫害,pesticide,nouns,0.49
1262,故事,pencil,nouns,0.14
1263,使气馁,encourage,verbs,0.22
1264,悲伤,shame,nouns,1.04
1265,巧克力,pie,nouns,0.49
1266,图表,graph,nouns,3.44
1267,换算,altitude,nouns,0.04
1268,蚂蚁,fly,nouns,0.63
1269,磁盘,charger,nouns,0.16
1270,朋友,mother,nouns,0.75
1271,香芹,muffin,nouns,0.0
1272,放,get,verbs,0.04
1273,带来,send,verbs,0.08
1274,云,weather,nouns,1.52
1275,学习,absorb,verbs,2.38
1276,劝告,suggest,verbs,3.42
1277,布,linen,nouns,2.42
1278,交易,sell,verbs,2.1
1279,混乱,anarchy,nouns,3.03
1280,苔藓,grass,nouns,1.63
1281,简单,stiff,adjectives,0.09
1282,主机板,mainboard,nouns,2.98
1283,不可能,feasible,adjectives,0.18
