ID,CMN,FRA,PoS,score
1,环,ceinture,nouns,2.89
2,得到,mettre,verbs,0.25
3,总统,élève,nouns,0.6
4,成年人,tuteur,nouns,2.77
5,咬,combattre,verbs,1.77
6,最近,actuellement,adverbs,3.54
7,跑,chevaucher,verbs,0.93
8,海滩,côte,nouns,3.4
9,医生,médecin,nouns,5.31
10,徘徊,parcourir,verbs,2.85
11,地窖,porte,nouns,0.78
12,使气馁,échouer,verbs,2.5
13,背景,papier peint,nouns,3.2
14,接受,être d'accord,verbs,3.92
15,通知,reconnaître,verbs,0.65
16,通常,rarement,adverbs,1.03
17,有攻击性的,grossier,adjectives,1.78
18,锡,métal,nouns,3.17
19,花朵,longévité,nouns,0.43
20,肉,lard,nouns,3.29
21,酒,bière,nouns,4.44
22,不可能,amical,adverbs,0.09
23,外国人,traducteur,nouns,0.98
24,岛,péninsule,nouns,3.62
25,收缩,croître,verbs,0.89
26,蛋白质,poignée,nouns,0.1
27,暴力,doux,adjectives,0.65
28,判断,décider,verbs,3.6
29,枪,canon,nouns,2.42
30,相机,ouvrier,nouns,0.1
31,衣服,tiroir,nouns,0.74
32,冲洗,laver,verbs,4.67
33,相反,unique,adjectives,0.75
34,妻子,baignoire,nouns,0.05
35,断绝亲子关系 or...,donner,verbs,0.1
36,后部,queue,nouns,2.96
37,毁灭,créer,verbs,0.93
38,强大,faible,adjectives,0.7
39,存在,porte,nouns,0.15
40,橡木,érable,nouns,2.93
41,暴力,passif,adjectives,0.35
42,朋友,invité,nouns,3.04
43,需求,réprimander,verbs,0.54
44,服从,écouter,verbs,3.5
45,给,désavouer,verbs,0.1
46,订婚,rendez-vous,nouns,2.79
47,自豪的,humblement,adverbs,1.13
48,肩,corps,nouns,1.47
49,代码,symbole,nouns,3.16
50,忽略,explorer,verbs,0.3
51,一般,systématiquement,adverbs,3.65
52,使气馁,contrarier,verbs,2.29
53,容易地,confortablement,adverbs,1.63
54,知道,donner,verbs,0.3
55,金属,aluminium,nouns,3.15
56,豆,bacon,nouns,0.65
57,自豪,fort,adjectives,1.18
58,教学大纲,examen,nouns,1.18
59,某些,nerveux,adjectives,0.15
60,老师,rabbin,nouns,1.31
61,啤酒,alcool,nouns,4.44
62,主题,récit,nouns,1.32
63,通常,irrégulièrement,adverbs,0.92
64,风暴,nuage,nouns,1.46
65,说明,discuter,verbs,2.45
66,真实,malhonnête,adjectives,0.55
67,汽车,réservoir,nouns,1.02
68,空气,hélium,nouns,2.67
69,被动地,activement,adverbs,1.03
70,频繁,ignorant,adjectives,0.49
71,天气,nuage,nouns,2.34
72,伤心地,émotionnellement,adverbs,1.66
73,大厦,sculpteur,nouns,0.3
74,雪,météo,nouns,1.92
75,书,bible,nouns,3.03
76,机械师,ouvrier,nouns,2.98
77,巫师,câble,nouns,0.0
78,理解,lire,verbs,0.87
79,小心地,fermement,adverbs,2.08
80,打碎,fracasser,verbs,4.41
81,搂抱,étreindre,verbs,5.29
82,离开,rencontrer,verbs,0.53
83,不公平地,déraisonnablement,adverbs,2.95
84,社会生物学,mutant,nouns,0.47
85,选择,décider,verbs,4.46
86,提醒,dire,verbs,3.16
87,歌手,employé,nouns,0.38
88,末期地,principalement,adverbs,0.0
89,说话,chuchoter,verbs,3.5
90,完结,fini,adjectives,5.46
91,开心,jeune,adjectives,0.39
92,感觉,intuition,nouns,4.04
93,行星,lune,nouns,2.62
94,老鼠,rat,nouns,5.02
95,包含,impliquer,verbs,5.04
96,发烧,maladie,nouns,2.88
97,愤怒,hésitant,adjectives,0.63
98,牛,bétail,nouns,3.82
99,自由,oasis,nouns,0.24
100,创建,détruire,verbs,0.93
101,天空,univers,nouns,2.78
102,保龄球选手,bowling,nouns,1.35
103,迷惑,apprendre,verbs,0.5
104,快乐,heureux,adjectives,5.27
105,狡猾,dur,adjectives,0.39
106,作曲家,écrivain,nouns,3.17
107,工作,outil,nouns,0.58
108,碟,bol,nouns,2.36
109,情况,circonstance,nouns,5.19
110,上校,dentiste,nouns,0.34
111,分解,factorisation,nouns,2.82
112,指甲,tête,nouns,0.6
113,湿,collant,adjectives,1.95
114,攻击,aggraver,verbs,0.83
115,创建,plonger,verbs,0.1
116,门口,porte,nouns,3.37
117,妻子,mère,nouns,2.79
118,帅哥,type,nouns,1.41
119,医生,orthodontiste,nouns,3.58
120,唇,hanche,nouns,0.55
121,年轻,heureux,adjectives,0.39
122,俱乐部,marque,nouns,0.25
123,大致,fiablement,adverbs,0.54
124,教堂,mosaïque,nouns,0.4
125,环境,épée,nouns,0.23
126,建立,ajouter,verbs,1.25
127,汽车,tuyau,nouns,0.15
128,分析,évaluer,verbs,4.68
129,足球,football américain,nouns,4.23
130,门,présence,nouns,0.15
131,耐力,groupe,nouns,0.1
132,培根,viande,nouns,3.29
133,狡猾,étrange,adjectives,1.22
134,唱,flotter,verbs,0.1
135,显然,discrètement,adverbs,0.73
136,球,canon,nouns,0.45
137,鸡尾酒,alcool,nouns,3.58
138,追逐,suivre,verbs,2.76
139,听,obéir,verbs,3.5
140,瞇,éblouir,verbs,0.33
141,腐烂,détruire,verbs,3.27
142,闪电攻击,attaque,nouns,3.17
143,安排,nécessiter,verbs,0.2
144,祈祷,communiquer,verbs,0.82
145,猴子,campagne,nouns,0.05
146,订婚,bague,nouns,1.79
147,出口,porte,nouns,3.47
148,不确定,effrayé,adjectives,0.96
149,身体,poitrine,nouns,2.25
150,公开地,massivement,adverbs,1.1
151,监护人,adulte,nouns,2.77
152,米,pouce,nouns,2.68
153,才能,aptitude,nouns,5.54
154,发现,comprendre,verbs,3.41
155,大规模,gros,adjectives,3.81
156,狭窄,blanc,adjectives,0.23
157,相机,président,nouns,0.05
158,情人,compagnon,nouns,4.74
159,带来,restaurer,verbs,0.15
160,走廊,salle de cours,nouns,0.73
161,流,dériver,verbs,2.2
162,雕塑,statue,nouns,5.28
163,人,ballon,nouns,0.0
164,子程序,compilateur,nouns,1.36
165,兄弟会,homme,nouns,1.58
166,地图,carré,nouns,0.54
167,容易,simple,adjectives,4.98
168,纯,modeste,adjectives,1.26
169,尾巴,falaise,nouns,0.05
170,承认,notifier,verbs,0.65
171,拉比,ministre,nouns,0.8
172,说,vérifier,verbs,0.5
173,喜悦,fierté,nouns,2.51
174,害怕,timide,adjectives,1.56
175,困难,facile,adjectives,0.74
176,擦亮,informer,verbs,0.1
177,阳光,pomme,nouns,0.39
178,男孩,frère,nouns,2.44
179,倒,goutter,verbs,1.17
180,上衣,chapeau,nouns,1.83
181,小木屋,chalet,nouns,3.01
182,教,éduquer,verbs,4.54
183,婚外,tabou,adjectives,1.77
184,打,attirer,verbs,0.55
185,最近,récemment,adverbs,5.53
186,盒子,chapeau,nouns,0.65
187,大声地,doucement,adverbs,0.55
188,咬,lire,verbs,0.0
189,必须,important,adjectives,4.26
190,胜利者,homme,nouns,0.83
191,西洋棋,échouage,nouns,0.89
192,床,berceau,nouns,3.59
193,大教堂,plafond,nouns,0.29
194,减少,abaisser,verbs,4.31
195,踝,fenêtre,nouns,0.0
196,女孩,bonne,nouns,1.5
197,望远镜,chaise,nouns,0.2
198,故事,sujet,nouns,1.32
199,手套,balle,nouns,0.79
200,伤心,fier,adjectives,0.79
201,溅,viscosité,nouns,0.34
202,骑,courir,verbs,0.93
203,节约,dépenser,verbs,0.57
204,图表,graphique,nouns,2.59
205,出租车,autobus,nouns,2.59
206,很少地,d'habitude,adverbs,1.03
207,脚,sable,nouns,0.34
208,给,savoir,verbs,0.3
209,香烟,tabac,nouns,4.66
210,棒球,fraternité,nouns,0.2
211,信念,valeur,nouns,3.27
212,过道,corridor,nouns,4.83
213,重大,mineur,adjectives,0.79
214,有时,uniformément,adverbs,0.35
215,倾向,influencer,verbs,2.68
216,不同,en phase terminale,adverbs,0.0
217,模拟,robotique,nouns,1.02
218,岛,tâche,nouns,0.05
219,鸢尾花,acétylcholine,nouns,nan
220,笨,rare,adjectives,0.15
221,未成形,uniforme,adjectives,0.5
222,乐队,orchestre,nouns,3.75
223,飞行,aviation,nouns,2.9
224,地震,secousse,nouns,4.54
225,岛,plage,nouns,1.94
226,海报,papier,nouns,2.65
227,明亮地,légèrement,adverbs,0.3
228,句法,mot-clé,nouns,0.88
229,直升机,avion,nouns,2.92
230,责怪,accuser,verbs,4.03
231,听,entendre,verbs,4.48
232,聚酯纤维,coton,nouns,1.75
233,作家,don,nouns,0.25
234,白兰地,vin,nouns,3.21
235,描绘,notifier,verbs,0.7
236,忙碌,paresseux,adjectives,0.49
237,古怪,étrange,adjectives,5.72
238,城堡,mur,nouns,0.97
239,长大,immature,adjectives,0.88
240,罪犯,délinquant,nouns,4.91
241,路,voie-rapide,nouns,3.76
242,火鸡,poule,nouns,2.83
243,甜,électrique,adjectives,0.2
244,男孩,enfant,nouns,3.65
245,操纵杆,radar,nouns,0.15
246,怒视,loucher,verbs,0.33
247,弯曲,droit,adjectives,0.89
248,旧,mixte,adjectives,0.05
249,选举,rejeter,verbs,0.55
250,州,maison,nouns,0.05
251,混合,remuer,verbs,4.17
252,洞,accord,nouns,0.0
253,喷气式飞机,avion,nouns,3.92
254,房屋,clé,nouns,0.75
255,模仿,capturer,verbs,0.25
256,检查,enquêter,verbs,3.31
257,容易,gros,adjectives,0.2
258,港口,emballage,nouns,0.45
259,猫,lapin,nouns,1.23
260,全然地,complètement,adverbs,3.88
261,埋葬,mourir,verbs,2.15
262,大脑,esprit,nouns,4.17
263,敬佩,adorer,verbs,4.47
264,使满意,divertir,verbs,1.02
265,暴力,fâché,adjectives,2.06
266,协议,trou,nouns,0.0
267,坏,terrible,adjectives,3.82
268,枫木,chêne,nouns,2.93
269,偏见,chauvin,nouns,0.84
270,薪水,argent,nouns,4.38
271,自行车,revêtement,nouns,0.2
272,容器,wagon,nouns,0.29
273,知会,polir,verbs,0.1
274,认真地,sincèrement,adverbs,2.46
275,牙医,colonel,nouns,0.34
276,手臂,muscle,nouns,1.89
277,高兴,heureux,adjectives,5.42
278,任务,affectation,nouns,2.77
279,满足,saisir,verbs,0.57
280,忘记,rappeler,verbs,0.93
281,河流,mer,nouns,2.44
282,溶解,fondre,verbs,4.46
283,装作,imaginer,verbs,0.89
284,撕开,porter,verbs,0.19
285,小麦,céréale,nouns,3.68
286,迅速,vite,adjectives,5.22
287,红酒,liqueur,nouns,3.4
288,大致,évidemment,adverbs,0.73
289,拥抱,câliner,verbs,5.29
290,小心地,prudemment,adverbs,3.88
291,画画,émeute,nouns,0.2
292,接受,rejeter,verbs,1.13
293,纸,carton,nouns,3.55
294,鼓励,décourager,verbs,1.03
295,肉,boeuf,nouns,3.62
296,打,cadre,nouns,0.15
297,友好,extraverti,adjectives,1.49
298,了解,écouter,verbs,2.03
299,红酒,alcool,nouns,3.67
300,好心地,aimablement,adverbs,5.17
301,不可說出口的,extraconjugal,adjectives,1.77
302,开心,furieux,adjectives,1.1
303,坚固地,doucement,adverbs,0.7
304,查询,exiger,verbs,0.58
305,并发,cours,nouns,0.7
306,降低,réduire,verbs,4.31
307,极好,génial,adjectives,5.32
308,全球化,visa,nouns,0.96
309,眼泪,œil,nouns,1.13
310,布,vêtement,nouns,2.78
311,圣歌,conquête,nouns,0.4
312,心情,colère,nouns,2.73
313,紧紧地,incroyablement,adverbs,0.2
314,需要,se renseigner,verbs,0.58
315,看,chercher,verbs,1.75
316,使心烦,décourager,verbs,2.29
317,总统,pollution,nouns,0.25
318,错误,précis,adjectives,0.34
319,走,vendre,verbs,0.2
320,铅笔,histoire,nouns,0.34
321,喝,mélanger,verbs,0.4
322,打鼾,réveiller,verbs,0.88
323,半岛,île,nouns,3.62
324,樱桃,fraise,nouns,2.17
325,旋律,rythme,nouns,3.87
326,医院,lit,nouns,1.03
327,乐观地,éventuellement,adverbs,0.53
328,得到,acquérir,verbs,5.12
329,完成,achevé,adjectives,5.46
330,天气,neige,nouns,1.92
331,笔直,incurvé,adjectives,0.89
332,犯罪,attaque,nouns,1.66
333,崇拜,admirer,verbs,4.47
334,扼杀,brûler,verbs,0.48
335,给予,emprunter,verbs,2.08
336,机械地,idéalement,adverbs,0.24
337,很可能,peut-être,adverbs,4.68
338,钱,salaire,nouns,4.38
339,混合,boire,verbs,0.4
340,疯狂,insensé,adjectives,5.49
341,攻击,blitz,nouns,3.17
342,闻,gâcher,verbs,0.1
343,公共汽车,taxi,nouns,2.59
344,河,ruisseau,nouns,4.03
345,聚集,assister,verbs,0.63
346,发出恶臭,sentir,verbs,3.27
347,总统,maire,nouns,2.4
348,油,vison,nouns,0.1
349,自由,liberté,nouns,4.09
350,章,choix,nouns,0.45
351,不同,débattre,verbs,0.94
352,离开,entrer,verbs,0.38
353,不道德,illégal,adjectives,2.69
354,父亲,parent,nouns,4.48
355,燕麦,champ,nouns,1.18
356,非法,immoral,adjectives,2.69
357,辩解,débattre,verbs,3.31
358,呛,respirer,verbs,1.32
359,衣服,chiffon,nouns,1.88
360,紧急情况,accident,nouns,3.55
361,学校,droit,nouns,1.03
362,装作,supposer,verbs,2.63
363,幸福,paix,nouns,2.79
364,做,gagner,verbs,0.48
365,长,étroit,adjectives,0.98
366,工具,emploi,nouns,0.58
367,一般,anormalement,adverbs,0.75
368,修道院,douche,nouns,0.1
369,罐,bouteille,nouns,2.97
370,创新,créatif,adjectives,5.3
371,杆,drapeau,nouns,1.64
372,累,ennuyeux,adjectives,0.89
373,梦想,ciel,nouns,0.49
374,精确,faux,adjectives,0.34
375,哥哥,garçon,nouns,2.44
376,衣服,tissu,nouns,2.78
377,士兵,garçon,nouns,2.04
378,媒介,nouvelle,nouns,2.79
379,松饼,persil,nouns,0.3
380,公爵,république,nouns,0.3
381,友好,improbable,adverbs,0.09
382,通常,quotidiennement,adverbs,2.69
383,刺激,contrarier,verbs,4.69
384,牙医,orthodontiste,nouns,4.54
385,学习,confondre,verbs,0.5
386,卧室,estomac,nouns,0.05
387,搜索,se renseigner,verbs,4.16
388,恶化,essuyer,verbs,0.2
389,男孩,soldat,nouns,2.04
390,公开,confidentiel,adjectives,0.49
391,使灰心,décourager,verbs,4.02
392,运送,accepter,verbs,0.55
393,身体,nerf,nouns,1.71
394,律师,avocat,nouns,3.69
395,女人,tâche,nouns,0.05
396,刀口,herbe,nouns,0.1
397,感染,inflexion,nouns,0.15
398,警长,flic,nouns,3.91
399,协议,condition,nouns,2.29
400,交付,prendre,verbs,0.54
401,流感,fièvre,nouns,2.65
402,男人,mari,nouns,3.55
403,走廊,allée,nouns,4.54
404,史学家,historien,nouns,4.92
405,惩罚,enseigner,verbs,0.63
406,天花板,cathédrale,nouns,0.29
407,新鲜,nouveau,adjectives,4.0
408,和平地,chaotiquement,adverbs,0.5
409,传感器,radiateur,nouns,0.68
410,哲学家,course,nouns,0.15
411,羞愧,coupable,adjectives,3.68
412,宾客,ami,nouns,3.04
413,膝盖,os,nouns,2.03
414,大气层,ozone,nouns,3.37
415,移动,tisser,verbs,0.15
416,天空,soleil,nouns,1.66
417,椅子,canapé,nouns,2.84
418,手指,paume,nouns,2.01
419,飞机,hélicoptère,nouns,2.92
420,情感,humeur,nouns,3.49
421,坚固地,calmement,adverbs,0.68
422,星期,week-end,nouns,2.63
423,沙文主义,préjudice,nouns,0.84
424,教堂,cathédrale,nouns,5.13
425,光,clavier,nouns,0.15
426,行李,circumnavigation,nouns,0.5
427,头脑风暴,télescope,nouns,0.05
428,连接,rejoindre,verbs,1.41
429,意见,idée,nouns,4.26
430,泉,geyser,nouns,3.86
431,懊恼,colère,nouns,3.03
432,允许,laisser,verbs,4.18
433,理论,théorème,nouns,4.05
434,苹果,régime,nouns,0.96
435,毁灭,sauver,verbs,0.69
436,栅栏,cage,nouns,2.31
437,价值,taux,nouns,3.87
438,生气,heureux,adjectives,0.7
439,片,aéroport,nouns,0.1
440,钟,tour,nouns,1.12
441,疯狂,content,adjectives,0.93
442,鸡,dîner,nouns,0.98
443,阻碍,lutter,verbs,0.4
444,捕获,imiter,verbs,0.25
445,古怪,bizarre,adjectives,5.87
446,忘记,ignorer,verbs,3.49
447,女人,fourrure,nouns,0.25
448,褪色,éroder,verbs,0.62
449,情绪,passion,nouns,3.49
450,锁匙,couronne,nouns,0.05
451,快,rapide,adjectives,5.22
452,生活方式,civilisation,nouns,2.26
453,小说,biographie,nouns,2.47
454,绿洲,liberté,nouns,0.24
455,屏幕,phonologie,nouns,0.05
456,朋友,professeur,nouns,1.11
457,证明,débattre,verbs,2.17
458,打扰,aggraver,verbs,0.2
459,电影,théâtre,nouns,2.21
460,云,brouillard,nouns,2.88
461,提醒,vendre,verbs,0.2
462,身体,épaule,nouns,1.47
463,轻轻地,brillamment,adverbs,0.3
464,决定,représenter,verbs,0.75
465,海岸,canonnière,nouns,0.24
466,大致,impatiemment,adverbs,0.4
467,在别处,à domicile,adverbs,1.08
468,加,diviser,verbs,1.13
469,清洁,impeccable,adjectives,5.16
470,攻击,blesser,verbs,2.79
471,洗,rincer,verbs,4.67
472,血液,corps,nouns,1.66
473,今天,ce soir,adverbs,2.73
474,食物,programme,nouns,0.55
475,推荐,accepter,verbs,0.64
476,盐,eau,nouns,0.83
477,故事,livre,nouns,2.77
478,毕业,terminer,verbs,2.73
479,说服,essayer,verbs,0.82
480,努力,saisir,verbs,0.4
481,游标,frites,nouns,0.15
482,首领,maire,nouns,3.23
483,星,intensité,nouns,0.79
484,起泡,illustration,nouns,0.15
485,重要的,officiellement,adverbs,0.85
486,杯子,cône,nouns,0.71
487,步行,boiter,verbs,2.92
488,轻轻的,fermement,adverbs,0.7
489,纸,affiche,nouns,2.65
490,窗口,nuage,nouns,0.4
491,牛仔裤,femme,nouns,0.1
492,谷物,blé,nouns,3.68
493,神经,corps,nouns,1.71
494,宣告,proclamer,verbs,5.17
495,文学,livre,nouns,2.6
496,枯燥,marrant,adjectives,0.25
497,神经,cerveau,nouns,2.01
498,混乱,classe,nouns,0.15
499,促进,avancer,verbs,2.17
500,停,siffler,verbs,0.25
501,四轮货运马车,récipient,nouns,0.29
502,活动,mouvement,nouns,3.31
503,马,poulain,nouns,3.88
504,不耐烦,inquiet,adjectives,2.97
505,搜索,chasser,verbs,1.36
506,离开,apparaître,verbs,0.1
507,争论,hurler,verbs,1.6
508,杯子,bocal,nouns,2.4
509,儿子,garçon,nouns,3.75
510,密度大,difficile,adjectives,2.22
511,任务,travail,nouns,4.03
512,可靠地,passivement,adverbs,0.35
513,正直地,mûrement,adverbs,1.2
514,头,ongle,nouns,0.6
515,日落,chaîne,nouns,0.0
516,杀,pendre,verbs,3.41
517,机械,électrique,adjectives,2.48
518,舞蹈,robe,nouns,0.54
519,年龄,beauté,nouns,0.78
520,借,supplier,verbs,1.1
521,柔韧,grand,adjectives,0.29
522,流星,gravité,nouns,0.7
523,雪茄,pipe,nouns,2.51
524,忽略,demander,verbs,0.64
525,失败,compter,verbs,0.29
526,冷淡,rugueux,adjectives,0.2
527,统治者,roi,nouns,4.95
528,幻想,réalité,nouns,1.5
529,大厦,pièce,nouns,0.89
530,一尘不染,propre,adjectives,5.16
531,穆斯林,évêque,nouns,1.17
532,目前,récemment,adverbs,3.54
533,谦虚,pur,adjectives,1.26
534,骨头,genou,nouns,2.03
535,书,article,nouns,3.08
536,反驳,permettre,verbs,0.25
537,争论,se plaindre,verbs,2.09
538,出席,envoyer,verbs,0.25
539,聪明,intelligent,adjectives,4.99
540,乞求,emprunter,verbs,1.1
541,听见,parler,verbs,1.18
542,公平,injustement,adverbs,0.98
543,探索,ignorer,verbs,0.3
544,伤心,marrant,adjectives,0.65
545,角,surface,nouns,0.78
546,现实,fantastique,nouns,1.5
547,教堂,câble,nouns,0.05
548,作弊,tromper,verbs,3.26
549,积极地,exactement,adverbs,0.57
550,忽略,imprimer,verbs,0.1
551,深度,magnitude,nouns,1.31
552,数字,nombre,nouns,4.88
553,创造者,auteur,nouns,4.55
554,职业,lycée,nouns,0.65
555,保护,sauver,verbs,3.08
556,和蔼,cruel,adjectives,0.55
557,签证,globalisation,nouns,0.96
558,使惊奇,fêter,verbs,0.72
559,图像,reflet,nouns,3.69
560,小炮舰,côte,nouns,0.24
561,潜水,créer,verbs,0.1
562,机器,moteur,nouns,2.98
563,重要,crucial,adjectives,5.21
564,坏,immoral,adjectives,3.56
565,羞愧,chagrin,nouns,1.7
566,白兰地酒,alcool,nouns,3.62
567,书,accident,nouns,0.3
568,发出气味,puer,verbs,3.27
569,草莓,cerise,nouns,2.17
570,桥,carte,nouns,0.43
571,政府,lézard,nouns,0.0
572,给,permettre,verbs,1.2
573,残酷,dur,adjectives,4.08
574,工人,mécanicien,nouns,2.98
575,昆虫,abeille,nouns,3.3
576,可行,impossible,adjectives,0.98
577,救,protéger,verbs,3.08
