ID,CMN,POL,PoS,score
1,安全,nużący,adjectives,0.0
2,坏,niemoralny,adjectives,2.96
3,马,źrebak,nouns,3.42
4,伤心,straszny,adjectives,0.38
5,数,cyfra,nouns,4.57
6,雇主,pracownik,nouns,0.5
7,群落生境,biologia,nouns,0.79
8,校园,uniwersytet,nouns,3.06
9,文章,czasopismo,nouns,1.69
10,片,lotnisko,nouns,0.0
11,瓶子,pojemnik,nouns,2.71
12,电梯,pudełko,nouns,0.1
13,飞机场,kawałek,nouns,0.0
14,深度地,znacząco,adverbs,2.33
15,枪,świt,nouns,0.0
16,出租车,taksówka,nouns,5.91
17,盒子,winda,nouns,0.1
18,球,kosz,nouns,0.34
19,脆弱,bezradny,adjectives,1.46
20,成年人,rodzic,nouns,2.74
21,改变,zmienić,verbs,3.56
22,小巷,ulica,nouns,3.24
23,砖,ściana,nouns,0.67
24,订婚,poślubić,verbs,1.63
25,杀,niszczyć,verbs,2.54
26,预测,zakładać,verbs,4.02
27,逻辑,inteligencja,nouns,2.75
28,自信,pewny,adjectives,3.75
29,修道院,prysznic,nouns,0.0
30,溅,lepkość,nouns,0.04
31,货币,współbieżność,nouns,0.04
32,枪,trik,nouns,0.1
33,病人,sesja,nouns,0.18
34,人,dolar,nouns,0.0
35,肩,ciało,nouns,0.86
36,认真地,szczerze,adverbs,2.41
37,旋律,rytm,nouns,2.92
38,知道,rozumieć,verbs,3.41
39,父亲,brat,nouns,0.34
40,帽子,płaszcz,nouns,0.83
41,需求,ganić,verbs,0.79
42,表哥,wujek,nouns,0.78
43,相机,robotnik,nouns,0.2
44,笨,rzadki,adjectives,0.0
45,新,niedawny,adjectives,3.17
46,冰,śnieg,nouns,2.27
47,责怪,oskarżać,verbs,3.93
48,先生,dama,nouns,0.73
49,笨,uparty,adjectives,1.17
50,分离,rozdzielić,verbs,3.39
51,地区,strefa,nouns,5.02
52,门,okno,nouns,0.72
53,焦躁不安,młody,adjectives,0.4
54,智慧,inteligencja,nouns,4.21
55,吸引,uderzyć,verbs,0.0
56,苹果,cukierek,nouns,0.24
57,想要,pragnąć,verbs,4.74
58,走,zezwalać,verbs,0.1
59,枪,nóż,nouns,1.4
60,沐浴,polano,nouns,0.0
61,货车,samochód,nouns,3.26
62,溪流,rzeka,nouns,3.02
63,猴子,kampania,nouns,0.0
64,中性,spokojny,adjectives,0.84
65,公开地,ogromnie,adverbs,0.65
66,覆盖着的,odkryty,adjectives,0.14
67,羊肉,owca,nouns,4.18
68,家,stan,nouns,0.0
69,泉,gejzer,nouns,3.36
70,长大,niedojrzały,adjectives,0.18
71,走,sprzedawać,verbs,0.0
72,开襟毛衣,koszula,nouns,1.38
73,远足,wspinać się,verbs,0.73
74,医生,usposobienie,nouns,0.0
75,必须,niezbędny,adjectives,5.47
76,故事,piosenka,nouns,0.63
77,忙碌,leniwy,adjectives,0.04
78,好斗,walka,nouns,2.9
79,停,gwizdać,verbs,0.05
80,活塞,silnik,nouns,1.59
81,地图,kwadrat,nouns,0.14
82,刺激,zgadywać,verbs,0.2
83,收藏,oszczędzać,verbs,4.63
84,仆人,niewolnik,nouns,3.38
85,给予,wkład,nouns,2.02
86,小牛,byk,nouns,2.59
87,纸,plakat,nouns,1.71
88,牛,koń,nouns,1.03
89,木,koc,nouns,0.0
90,画廊,prawnik,nouns,0.0
91,主意,projekt,nouns,2.85
92,纽扣,ubrania,nouns,0.53
93,地区,narożnik,nouns,0.47
94,幻想,rzeczywistość,nouns,0.55
95,优雅地,pięknie,adverbs,3.09
96,铅笔,opowieść,nouns,0.18
97,硬纸板,papier,nouns,3.25
98,软管,samochód,nouns,0.29
99,征服,hymn,nouns,0.0
100,后缀,afiks,nouns,2.08
101,击中,karać,verbs,0.6
102,开心,obłąkany,adjectives,0.46
103,使惊奇,celebrować,verbs,0.43
104,指甲,ręka,nouns,0.28
105,喷嘴,płyn,nouns,0.0
106,创建,nurkować,verbs,0.0
107,活动,giętki,adjectives,0.92
108,英寸,metr,nouns,1.78
109,代码,symbol,nouns,2.46
110,编译器,podprogram,nouns,1.36
111,钱,pensja,nouns,3.78
112,独立地,odpowiedzialnie,adverbs,0.95
113,工具,praca,nouns,0.53
114,狗,kot,nouns,0.28
115,眼泪,oko,nouns,0.53
116,贫困,bogactwo,nouns,0.1
117,体操,szermierka,nouns,0.85
118,美人,wiek,nouns,0.18
119,衣服,guzik,nouns,0.53
120,提高,podnieść,verbs,3.02
121,摇床,żłób,nouns,2.5
122,面包,mąka,nouns,1.17
123,教,edukować,verbs,4.74
124,呼吸,dusić,verbs,0.32
125,苦难,rozpacz,nouns,1.83
126,今天,dzisiaj wieczorem,adverbs,2.33
127,疯狂,zadowolony,adjectives,0.28
128,鸡,kolacja,nouns,0.34
129,主题,hasztag,nouns,2.5
130,退出,przejść na emeryturę,verbs,1.91
131,信息,entropia,nouns,0.38
132,出租车,samochód,nouns,3.48
133,空气,cząsteczka,nouns,0.68
134,尾巴,tył,nouns,3.06
135,完全必要,konieczny,adjectives,5.47
136,男孩,dziecko,nouns,3.43
137,游戏,akcja,nouns,0.7
138,步行,stać  ,verbs,0.18
139,女仆,pomocnik,nouns,2.02
140,发展,kwestowanie,nouns,0.1
141,女孩,facet,nouns,0.14
142,机灵,tępy,adjectives,0.09
143,酒,jałowcówka,nouns,3.81
144,有创造力,nowatorski,adjectives,4.5
145,大,narodowy,adjectives,0.0
146,谷,depresja,nouns,1.93
147,装饰,koperta,nouns,0.42
148,天空,słońce,nouns,1.1
149,联合,kombinacja,nouns,1.82
150,谦逊,skromny,adjectives,4.58
151,参与,powiedzieć,verbs,0.0
152,冻结,drżeć,verbs,0.43
153,数学家,widowisko,nouns,0.0
154,脑,nerw,nouns,1.26
155,大规模,otwarcie,adverbs,0.65
156,电车,pociąg,nouns,1.76
157,细胞质,cyfra,nouns,0.0
158,值得,zarabiać,verbs,1.19
159,全能,supremacja,nouns,1.07
160,嘴巴,ząb,nouns,0.72
161,蛇,jaszczurka,nouns,0.76
162,故障,system,nouns,0.05
163,文学,słowo,nouns,2.0
164,病毒,krew,nouns,0.34
165,肉,chleb,nouns,0.09
166,最近,niedawno,adverbs,5.58
167,骰子,sześcian,nouns,1.93
168,鳄鱼,jaszczurka,nouns,0.88
169,街,zaułek,nouns,3.24
170,球,rakieta,nouns,0.28
171,员工,pracodawca,nouns,0.5
172,笨,głupi,adjectives,5.66
173,很少地,zwykle,adverbs,0.23
174,云,jezioro,nouns,0.24
175,哭泣,płakać,verbs,5.51
176,平淡,ekscytujący,adjectives,0.09
177,主要,przeważnie,adverbs,4.4
178,自信,własna osoba,nouns,0.73
179,收到,złapać,verbs,0.34
180,主意,wizerunek,nouns,0.0
181,除,mnożyć,verbs,0.38
182,床,krzesło,nouns,0.33
183,冬天,lato,nouns,0.39
184,沙发,krzesło,nouns,1.64
185,混合,bić,verbs,0.25
186,奇怪,osobliwy,adjectives,5.08
187,建议,polecić,verbs,3.66
188,脏,niesamowity,adjectives,0.0
189,腿,ramię,nouns,0.57
190,似乎,udawać,verbs,0.69
191,杯子,słoik,nouns,1.7
192,电视,aktor,nouns,0.72
193,忽略,eksplorować,verbs,0.0
194,担心,marnować,verbs,0.0
195,续集,kamera,nouns,0.04
196,从不,później,adverbs,0.39
197,便宜,przystępny,adjectives,3.46
198,毁灭,rozpadać się,verbs,2.12
199,磁盘,komputer,nouns,0.93
200,一般,rutynowo,adverbs,3.9
201,反驳,zezwalać,verbs,0.0
202,必须,niepotrzebny,adjectives,0.09
203,老鹰,sokół,nouns,2.49
204,舌头,mięsień,nouns,0.65
205,蜜蜂,królowa,nouns,0.35
206,闻,psuć,verbs,0.6
207,表,zachód słońca,nouns,0.0
208,家牛,jogurt,nouns,0.43
209,本来,kreatywnie,adverbs,0.2
210,雪,burza,nouns,0.86
211,坚固地,miękko,adverbs,0.0
212,电影,teatr,nouns,1.41
213,衣服,schowek,nouns,0.33
214,收费,gardzić,verbs,0.1
215,逃逸,znaleźć,verbs,0.0
216,乏味,pewny,adjectives,0.0
217,兄弟会,drzwi,nouns,0.05
218,钱包,torebka,nouns,1.05
219,惩罚,uderzyć,verbs,0.6
220,走,zaczynać,verbs,0.09
221,抓住,otrzymywać,verbs,0.34
222,避免,zaprzeczać,verbs,0.48
223,储蓄者,oszczędność,nouns,0.73
224,腰部,posiłek,nouns,0.05
225,监护人,dorosły,nouns,2.82
226,辣,dobry,adjectives,0.25
227,法官,sędzia pokoju,nouns,3.63
228,主板,płyta matka,nouns,3.33
229,恢复,zastąpić,verbs,0.65
230,狐狸,ogar,nouns,0.46
231,发动机,tłok,nouns,1.59
232,容易,giętki,adjectives,0.43
233,进入,wychodzić,verbs,0.43
234,给,zachować,verbs,0.19
235,偷,brać,verbs,1.1
236,标志,symbol,nouns,5.35
237,税,dochód,nouns,0.52
238,哭,łkać,verbs,5.41
239,缺乏信心,potrzebujący,adjectives,0.24
240,伤害,kopać,verbs,0.96
241,故事,ołówek,nouns,0.18
242,奇怪,normalny,adjectives,0.09
243,蝴蝶,róża,nouns,0.38
244,在家里,daleko,adverbs,0.18
245,管理,praca,nouns,0.63
246,年级,szkoła,nouns,0.9
247,狭窄,brudny,adjectives,0.0
248,静脉,wybór,nouns,0.04
249,关键,ważny,adjectives,5.07
250,公主,wyspa,nouns,0.0
251,拒绝,obierać,verbs,0.2
252,箭头,cel,nouns,0.52
253,募捐活动,wydarzenie,nouns,1.08
254,三文治,obiad,nouns,0.29
255,身体,klatka piersiowa,nouns,1.9
256,母亲,przyjaciel,nouns,0.39
257,没有覆蓋的,zakryty,adjectives,0.14
258,得出结论,decydować,verbs,2.78
259,直升机,samolot,nouns,2.08
260,失败,bankructwo,nouns,1.66
261,作业,notatka,nouns,0.53
262,运送,nieść,verbs,2.58
263,美丽地,elegancko,adverbs,3.09
264,听,postrzegać,verbs,0.79
265,老鼠,pokład,nouns,0.0
266,成长,kurczyć się,verbs,0.09
267,幼儿床,kołyska,nouns,2.5
268,受惊,podekscytowany,adjectives,0.48
269,得到,stracić,verbs,0.18
270,允许,dać,verbs,1.35
271,杆,flaga,nouns,0.79
272,积极地,precyzyjnie,adverbs,0.62
273,原子,cząsteczka,nouns,2.92
274,条件,pakt,nouns,1.94
275,百科全书,słownik,nouns,1.86
276,毁灭,konstruować,verbs,0.18
277,僵硬,łatwy,adjectives,0.09
278,统计资料,tenis,nouns,0.05
279,坦白,wyparcie,nouns,0.15
280,篮子,piłka,nouns,0.34
281,多面体,aktor,nouns,0.0
282,打破,pękać,verbs,2.6
283,黎明,dzień,nouns,2.32
284,笼子,pręt,nouns,1.11
285,大厦,pokój,nouns,0.54
286,保持,zatrzymywać,verbs,3.34
287,下面,bok,nouns,0.29
288,面包,ser,nouns,0.18
289,借,sprzedawać,verbs,0.28
290,沐浴,trik,nouns,0.0
291,硬币,płatność,nouns,1.4
292,害羞,przestraszony,adjectives,1.46
293,机械地,idealnie,adverbs,0.39
294,安全地,ostrożnie,adverbs,3.13
295,电影,nihilizm,nouns,0.28
296,生日,data,nouns,1.67
297,没打中,uderzyć,verbs,0.23
298,果园,struś,nouns,0.0
299,汽车,ulica,nouns,0.29
300,矿,skała,nouns,1.21
301,感觉到,wierzyć,verbs,1.05
302,对手,przeciwnik,nouns,5.1
303,树,łódź,nouns,0.1
304,任务,szosa,nouns,0.05
305,船,drzewo,nouns,0.1
306,争论,debatować,verbs,3.44
307,大致,niecierpliwie,adverbs,0.6
308,练习,powtarzać,verbs,2.42
309,燕麦,pole,nouns,0.82
310,小炮舰,wybrzeże,nouns,0.04
311,电话,ofiara,nouns,0.0
312,镜片,aparat,nouns,0.53
313,蜜蜂,mrówka,nouns,0.57
314,房间,cela,nouns,2.24
315,拿,otrzymywać,verbs,1.92
316,走,przyjść,verbs,1.18
317,慷慨地,nigdy,adverbs,0.0
318,北方,zachód,nouns,0.49
319,意见,wybór,nouns,0.9
320,凯旋,zwycięstwo,nouns,5.32
321,冷静,neutralny,adjectives,0.84
322,怪兽,demon,nouns,3.46
323,旅程,podbój,nouns,0.53
324,抓住,uwalniać,verbs,0.14
325,征服,podróż,nouns,0.53
326,逻辑,arytmetyka,nouns,1.4
327,冷静地,stanowczo,adverbs,0.53
328,害怕,nieśmiały,adjectives,1.46
329,貂,futro,nouns,0.72
330,公共汽车,pojazd,nouns,3.2
331,用拳猛击,uszczypnąć,verbs,0.28
332,书,biblia,nouns,2.78
333,宽大,wąski,adjectives,0.14
334,死亡,tragedia,nouns,2.54
335,新,stary,adjectives,0.14
336,牛,bydło,nouns,4.22
337,脚,ręka,nouns,0.57
338,晚餐,kurczak,nouns,0.34
339,留,dostać,verbs,0.04
340,坠落,boleć,verbs,0.43
341,手机,ananas,nouns,0.0
342,军队,legion,nouns,3.73
343,象征,znak,nouns,5.35
344,屋顶,okno,nouns,0.24
345,结婚,angażować,verbs,1.63
346,一致地,czasem,adverbs,0.0
347,任务,słoma,nouns,0.0
348,蓝色,czerwony,adjectives,0.09
349,书,tekst,nouns,2.27
350,好,pikantny,adjectives,0.25
351,找到,zniknąć,verbs,0.0
352,云,pogoda,nouns,1.49
353,王子,król,nouns,1.7
354,好的,mierny,adjectives,0.28
355,信用,pożyczkobiorca,nouns,1.11
356,问,pomagać,verbs,0.09
357,普通,dziwny,adjectives,0.04
358,一尘不染,czysty,adjectives,5.11
359,普通,zimny,adjectives,0.0
360,穿,drzeć,verbs,0.09
361,神经官能症,umysł,nouns,0.39
362,不清楚,mętny,adjectives,4.14
363,交流,telewizja,nouns,0.6
364,普通,nieprawdopodobny,adjectives,0.05
365,残酷,srogi,adjectives,4.18
366,雪,lód,nouns,2.27
367,意外,książka,nouns,0.0
368,篮球,baseball,nouns,1.17
369,保护,zachować,verbs,0.98
370,自豪地,pokojowo,adverbs,0.09
371,晚上,rozdział,nouns,0.0
372,有攻击性的,niegrzeczny,adjectives,1.83
373,孩子,córka,nouns,2.66
374,诗,rytm,nouns,0.48
375,难看,niechlujny,adjectives,0.92
376,幸运,zawstydzony,adjectives,0.1
377,忽略,zostawić,verbs,0.93
378,毛毛虫,jedwabnik,nouns,2.45
379,书,opowieść,nouns,2.52
380,借,dać,verbs,1.89
381,敬重,honor,nouns,1.22
382,当然,oczywiście,adverbs,3.56
383,钟,wieża,nouns,0.57
384,母亲,tata,nouns,0.78
385,找到,nabyć,verbs,1.89
386,深度,wielkość,nouns,1.11
387,分界线,granica,nouns,3.29
388,肚子,sypialnia,nouns,0.0
389,容易,prosty,adjectives,4.88
390,男人,wartownik,nouns,1.55
391,仁慈地,miło,adverbs,4.37
392,煮,wymieszać,verbs,0.34
393,深深地,przeważnie,adverbs,0.18
394,嘴巴,warga,nouns,3.13
395,声学,dźwięk,nouns,1.2
396,门,dzwon,nouns,0.1
397,朋友,kumpel,nouns,4.25
398,宠物,kot,nouns,3.28
399,真诚地,zwykle,adverbs,0.3
400,拥抱,udusić,verbs,0.0
401,猫,zwięrzę domowe,nouns,3.28
402,强大,słaby,adjectives,0.0
403,键盘,światło,nouns,0.04
404,病原,zarazek,nouns,3.68
405,电脑,maszyna,nouns,3.31
406,床,meble,nouns,3.22
407,从不,chojnie,adverbs,0.0
408,星期,weekend,nouns,1.58
409,清醒,racjonalny,adjectives,3.66
410,工作,narzędzie,nouns,0.53
411,皇帝,gubernator,nouns,0.58
412,接受,otrzymywać,verbs,1.35
413,撤退,zstępować,verbs,0.8
414,自然地,chicho,adverbs,0.28
415,类别,chaos,nouns,0.05
416,麻布,tkanina,nouns,3.6
417,无礼,krytyczny,adjectives,0.62
418,胆大,dumny,adjectives,1.06
419,影片,ekranizacja,nouns,4.34
420,闻名,popularny,adjectives,4.37
421,付款,moneta,nouns,1.4
422,蚕,gąsienica,nouns,2.45
423,蝙蝠,wampir,nouns,0.68
424,乳制品,miód,nouns,0.23
425,停止,kontrolować,verbs,0.39
426,接受,zaprzeczać,verbs,0.0
427,指南,podręcznik,nouns,2.86
428,捏,walnąć,verbs,0.28
429,交付,brać,verbs,0.24
430,柠檬,jabłko,nouns,0.29
431,排外主义,rasizm,nouns,2.89
432,需要,ustalać,verbs,0.25
433,磨坊,nasienie,nouns,0.14
434,朋友,matka,nouns,0.39
435,总统,uczeń,nouns,0.0
436,选举,wybór,nouns,2.62
437,心烦,zawstydzony,adjectives,0.48
438,按下,uwalniać,verbs,0.0
439,暴动,rysunek,nouns,0.04
440,羊,bydło,nouns,1.33
441,授粉,pręcik,nouns,0.46
442,阿姨,siostrzeniec,nouns,0.58
443,公共的,prywatny,adjectives,0.09
444,真诚地,poważnie,adverbs,2.41
445,锁匙,dom ,nouns,0.1
446,叔叔,kuzyn,nouns,0.78
447,关键地,zasadniczo,adverbs,0.78
448,准许,aprobować,verbs,3.91
449,装作,kłamać,verbs,2.58
450,小心地,przezornie,adverbs,4.38
451,神,ofiara,nouns,0.0
452,共和国,książę,nouns,0.0
453,非法,prawowity,adjectives,0.09
454,食物,program,nouns,0.0
455,日志,formuła,nouns,0.45
456,水,sól,nouns,0.48
457,棒球,braterstwo,nouns,0.0
458,家长,dorosły,nouns,2.74
459,十四行诗,piękno,nouns,0.15
460,肉,wołowina,nouns,3.97
461,清洁,niechlujny,adjectives,0.04
462,诈骗,przestępstwo,nouns,3.56
463,教堂,kabel,nouns,0.05
464,大,szeroki,adjectives,2.69
465,服从,zachowywać się,verbs,3.35
466,明天,dzisiaj wieczorem,adverbs,0.14
467,休会,skończyć,verbs,0.19
468,周末,tydzień,nouns,1.58
469,旗帜学,flaga,nouns,0.92
470,午饭,kanapka,nouns,0.29
471,新郎,panna młoda,nouns,0.78
472,柄,białko,nouns,0.0
473,早餐,kolacja,nouns,0.66
474,工作者,biuro,nouns,0.33
475,肝脏,organ,nouns,3.02
476,现实,fantazja,nouns,0.55
477,喇叭,samochód,nouns,0.19
478,联合,suma,nouns,0.62
479,电影,opera,nouns,1.1
480,现实地,niedawno,adverbs,0.0
481,狡诈,niewiarygodny,adjectives,2.09
482,课程,żołądek,nouns,0.0
483,椅子,teleskop,nouns,0.0
484,恢复,reperować,verbs,2.14
485,羞耻,zmartwiony,adjectives,0.48
486,主题,książka,nouns,1.35
487,洞,żona,nouns,0.32
488,总统,polityk,nouns,3.54
489,合作伙伴,chłopiec,nouns,0.78
490,城市,miasteczko,nouns,3.86
491,山谷,kanion,nouns,3.65
492,钢笔,alfabet,nouns,0.05
493,拥抱,tulić,verbs,5.24
494,豆,kawa ,nouns,0.73
495,子程序,kompilator,nouns,1.36
496,保持,przytulić,verbs,0.5
497,房间,budynek,nouns,0.54
498,喜爱,nienawidzić,verbs,0.09
499,难以置信地,ciasno,adverbs,0.3
500,页,akapit,nouns,0.75
501,每当,czasem,adverbs,0.93
502,给,zezwalać,verbs,1.35
503,云,burza,nouns,0.81
504,手机,telefon,nouns,4.97
505,客串角色,występ,nouns,0.2
506,情况,okoliczność,nouns,4.99
507,愤怒,gwałtowny,adjectives,2.21
508,不合理,niesprawiedliwie,adverbs,2.25
509,累,nudny,adjectives,0.24
510,红酒,brandy,nouns,2.06
511,评论说,krytykować,verbs,1.17
512,强大,potężny,adjectives,4.38
513,段,strona,nouns,0.75
514,望远镜,krzesło,nouns,0.0
515,篱笆,poręcz,nouns,0.3
516,理解,wiedzieć,verbs,3.41
517,服从,karać,verbs,0.49
518,小马,koń,nouns,3.42
519,卡,brydż,nouns,0.68
520,心脏,chirurgia,nouns,0.24
521,副驾驶,kokpit,nouns,0.42
522,周末,wyścig,nouns,0.0
523,显著的,oczywisty,adjectives,3.69
524,害怕,nerwowy,adjectives,1.8
525,防御,chronić,verbs,4.55
526,冷,zwyczajny,adjectives,0.0
527,乱,czysty,adjectives,0.04
528,重大,pomniejszy,adjectives,0.09
529,现代,starożytny,adjectives,0.0
530,董事,szef,nouns,4.68
531,裙子,taniec,nouns,0.09
532,救,chronić,verbs,2.88
533,鸵鸟,sad,nouns,0.0
534,餐,kolacja,nouns,3.25
535,视力,percepcja,nouns,1.23
536,争论,uczęszczać,verbs,0.09
537,字典,encyklopedia,nouns,1.86
538,酒店,mieszkanie,nouns,0.96
539,使心烦,zniechęcać,verbs,1.83
540,默默地,pasywnie,adverbs,0.77
541,严肃,śmieszny,adjectives,0.0
542,威士忌酒,alkohol,nouns,3.37
543,床,sypialnia,nouns,1.11
544,白天,świt,nouns,2.32
545,肉,stek,nouns,4.04
546,猫,królik,nouns,0.83
547,说,wyrażać,verbs,3.38
548,接受,polecać,verbs,0.34
549,书,wypadek,nouns,0.0
550,大灾变,ogień,nouns,0.96
551,星,jasność,nouns,0.69
552,旅程,wycieczka,nouns,4.64
553,创建,niszczyć,verbs,0.18
554,显然,najwyraźniej,adverbs,2.31
555,好心地,życzliwie,adverbs,4.37
556,污染,prezydent,nouns,0.1
557,哨,zatrzymywać,verbs,0.05
558,赚,robić,verbs,0.63
559,确定,pewny,adjectives,4.64
560,意识,uwaga,nouns,2.67
561,脖子,kość,nouns,0.34
562,行李,opłynięcie,nouns,0.0
563,尾巴,klif,nouns,0.0
564,大声地,cicho,adverbs,0.0
565,雕像,rzeźba,nouns,5.23
566,承认,akceptować,verbs,3.99
567,月,sierpień,nouns,2.35
568,击剑,gimnastyka,nouns,0.85
569,自由,cenzura,nouns,0.04
570,获得,uzyskać,verbs,4.33
571,戏法,rozmiar,nouns,0.0
572,女人,zadanie,nouns,0.0
573,聪慧,bystry,adjectives,5.14
574,纸,karton,nouns,3.25
575,军队,marynarka,nouns,3.71
576,成为,pojawić się,verbs,0.93
577,成为,organizować,verbs,0.05
578,说服,próbować,verbs,0.97
579,成功,nawalić,verbs,0.18
580,机场,samolot,nouns,1.1
581,农业,roślina,nouns,0.79
582,可怕,smutny,adjectives,0.38
583,老鼠,pojemnik,nouns,0.05
584,同意,różnić się,verbs,0.0
585,胸部,ciało,nouns,1.9
586,摩天大楼,pałac,nouns,0.68
587,盒子,cygaro,nouns,0.04
588,恶化,wycierać,verbs,0.2
589,紧张,przestraszony,adjectives,1.8
590,消失,znaleźć,verbs,0.0
591,维他命,żelazo,nouns,0.96
592,流星,grawitacja,nouns,0.15
593,星星,planeta,nouns,2.63
594,捏碎,trzasnąć,verbs,1.45
595,伟大,okropny,adjectives,0.04
596,门,korytarz,nouns,0.28
597,聪明,inteligentny,adjectives,5.14
598,公爵,republika,nouns,0.0
599,吸血鬼,nietoperz,nouns,0.68
600,援助,asystować,verbs,4.22
601,女儿,dzieciak,nouns,2.66
602,钱,diament,nouns,0.8
603,非自然,naturalnie,adverbs,0.18
604,木材,polano,nouns,4.0
605,肩,głowa,nouns,0.44
606,巧克力,placek,nouns,0.43
607,枫木,dąb,nouns,2.08
608,安慰,poniżać,verbs,0.09
609,温和地,życzliwie,adverbs,2.78
610,缺席,obecność,nouns,0.09
611,羞愧,smutek,nouns,0.75
612,不同,normalny,adjectives,0.1
613,谦虚,giętki,adjectives,0.32
614,棒球,koszykówka,nouns,1.17
615,壁,zamek,nouns,0.28
616,酱,jabłko,nouns,0.14
617,羞耻,pomyślny,adjectives,0.1
618,理性的,trzeźwy,adjectives,3.66
