ID,CMN,POL,PoS,score
619,最近,realistycznie,adverbs,0.0
620,电视,scenarzysta,nouns,0.33
621,章,ogon,nouns,0.0
622,选择,decydować,verbs,4.16
623,神经,ciało,nouns,1.11
624,吉他,pstrąg,nouns,0.0
625,锥形蛋筒,filiżanka,nouns,0.41
626,真实,nieuczciwy,adjectives,0.04
627,被动地,cicho,adverbs,0.77
628,混乱,lekcja,nouns,0.05
629,充电器,dysk,nouns,0.24
630,满足,zadowalać,verbs,4.68
631,手臂,ciało,nouns,0.97
632,祈祷,komunikować,verbs,0.52
633,选择,opinia,nouns,0.9
634,加冕礼,woda,nouns,0.04
635,球,rękawica,nouns,0.19
636,家牛,krowa,nouns,4.22
637,人,pistolet,nouns,0.0
638,河,strumień,nouns,3.02
639,借,zachować,verbs,0.0
640,天神,ksiądz,nouns,0.43
641,发现,zdać sobie sprawę,verbs,3.96
642,宪法,cesarz,nouns,0.04
643,岛,plaża,nouns,1.48
644,讨厌,lubić,verbs,0.09
645,约定,zobowiązanie,nouns,1.59
646,古老,współczesny,adjectives,0.0
647,犯罪,atak,nouns,1.46
648,煮,stracić,verbs,0.0
649,手套,piłka,nouns,0.19
650,渴,głodny,adjectives,1.41
651,校验,uzasadniać,verbs,1.03
652,顶,bok,nouns,0.29
653,望远镜,burza mózgów,nouns,0.0
654,日落,wschód słońca,nouns,0.43
655,老鼠,kot,nouns,0.29
656,怀疑,aresztować,verbs,0.78
657,货车,pakunek,nouns,0.55
658,无穷,zero,nouns,0.25
659,手腕,ręka,nouns,1.9
660,柑橘,pomarańcza,nouns,3.33
661,歌谣,piosenka ,nouns,3.4
662,有时,pewnie,adverbs,0.0
663,圣人,grzesznik,nouns,0.04
664,湿,klejący,adjectives,1.3
665,复杂,dojrzały,adjectives,0.97
666,行动,gra,nouns,0.7
667,网球,statystyka,nouns,0.05
668,演员,piosenka,nouns,0.63
669,正式,silnie,adverbs,0.67
670,器官,nerka,nouns,3.93
671,画画,zamieszki,nouns,0.04
672,挂,kłaść,verbs,0.6
673,马,wół,nouns,1.03
674,跑,jeździć,verbs,0.28
675,尾巴,miska,nouns,0.0
676,摄影,reżyser,nouns,1.14
677,王座,miecz,nouns,0.28
678,草原,łąka,nouns,3.86
679,足球,zabawa,nouns,0.65
680,肚子,ciało,nouns,1.36
681,不显眼地,oczywiście,adverbs,0.18
682,放开,naciskać,verbs,0.0
683,伤害,upaść,verbs,0.43
684,编织,ruszać,verbs,0.0
685,谦逊地,dumnie,adverbs,0.33
686,乘法,dzielenie,nouns,0.56
687,好斗,wygięty,adjectives,0.09
688,拿,chwytać,verbs,2.31
689,理想地,mechanicznie,adverbs,0.39
690,地板,drzwi,nouns,0.2
691,做,rezygnować,verbs,0.0
692,等待,zostać,verbs,1.49
693,大多,głównie,adverbs,4.4
694,钩针编织,mundur,nouns,0.23
695,尝试,przekonywać,verbs,0.97
696,兄弟会,mężczyźni,nouns,1.23
697,淫贱,brudny,adjectives,0.37
698,伤心,śmieszny,adjectives,0.04
699,对手,oponent,nouns,5.1
700,鼓,róg,nouns,0.29
701,雨,grad,nouns,1.23
702,果汁,milkshake,nouns,0.53
703,导演,kinematografia,nouns,1.14
704,常规地,normalnie,adverbs,3.9
705,牛排,mięso,nouns,4.04
706,埋葬,przykryć,verbs,2.58
707,身体,bark,nouns,0.86
708,博物馆,mennica,nouns,0.05
709,羞愧,skromny,adjectives,0.83
710,故事,książka,nouns,2.52
711,云,opary,nouns,1.8
712,战斗,wojowniczość,nouns,2.9
713,资料,gazeta,nouns,1.67
714,困扰,wystraszyć,verbs,0.83
715,发生,robić,verbs,0.25
716,总是,dwukrotnie,adverbs,0.05
717,艺术家,dzieło sztuki,nouns,0.91
718,甲板,mysz,nouns,0.0
719,大致,oczywiście,adverbs,0.38
720,终末,inaczej,adverbs,0.3
721,老板,dyrektor,nouns,4.68
722,肠子,nerw,nouns,0.34
723,沉思,myśleć,verbs,3.17
724,阳光,niebo,nouns,1.1
725,聚集,uczęszczać,verbs,1.23
726,神职人员,mnich,nouns,2.52
727,提高,pić,verbs,0.1
728,女演员,aktor,nouns,2.98
729,八月,miesiąc,nouns,2.35
730,制服,nieukształtowany,adjectives,0.05
731,窗帘,pręt,nouns,0.14
732,探路者,łucznik,nouns,0.89
733,律师,bankier,nouns,0.29
734,蟋蟀,kibic,nouns,0.2
735,收入,podatek,nouns,0.52
736,教练,gracz,nouns,0.35
737,音乐,melodia,nouns,3.77
738,猛烈地,smutno,adverbs,0.09
739,收集,organizować,verbs,1.69
740,安排,wymagać,verbs,0.25
741,收缩,redukować,verbs,3.33
742,发现,eksplorować,verbs,3.06
743,航空电子学,aeronautyka,nouns,2.69
744,身体,bielizna,nouns,0.15
745,头脑,mózg,nouns,4.03
746,破产,porażka,nouns,1.66
747,聪明,tępy,adjectives,0.04
748,老师,student,nouns,0.33
749,重要,konieczny,adjectives,4.01
750,掩盖,chronić,verbs,1.64
751,昂贵,nieśmiały,adjectives,0.0
752,呕吐,zamykać,verbs,0.0
753,牧师,prorok,nouns,0.24
754,公主,panna młoda,nouns,0.24
755,巨大,malutki,adjectives,0.09
756,真诚地,uczciwie,adverbs,4.5
757,问,błagać,verbs,0.76
758,新闻,plotka,nouns,1.94
759,批评,argument,nouns,1.04
760,木,polano,nouns,4.39
761,努力,przejąć,verbs,0.0
762,惩罚,uczyć,verbs,0.28
763,苹果,dieta,nouns,0.41
764,血液,mięso,nouns,0.48
765,公主,król,nouns,0.6
766,报纸,słowo,nouns,1.02
767,之前,po,adverbs,0.38
768,沙拉,ocet,nouns,0.24
769,宗教,sekularysta,nouns,0.0
770,门口,drzwi,nouns,4.02
771,羞辱,pocieszać,verbs,0.09
772,锁,klucz,nouns,0.61
773,起泡,ilustracja,nouns,0.0
774,被动,gwałtowny,adjectives,0.0
775,肚子,żyła,nouns,0.29
776,氦气,powietrze,nouns,1.92
777,大薄片,płaszczyzna,nouns,0.39
778,有趣,smutny,adjectives,0.04
779,了解,wybaczać,verbs,1.32
780,生日,rok,nouns,0.71
781,能量,bateria,nouns,1.86
782,正文,książka,nouns,2.27
783,残酷,miły,adjectives,0.0
784,血液,wirus,nouns,0.34
785,钱,perła,nouns,0.1
786,侵蚀,zezwalać,verbs,0.0
787,电动机,łódź,nouns,0.43
788,天气,chmura,nouns,1.49
789,手臂,noga,nouns,0.57
790,正常,dziwaczny,adjectives,0.09
791,大,ciężki,adjectives,0.82
792,世纪,rok,nouns,1.35
793,暴风雨,huragan,nouns,2.52
794,做,zdarzyć się,verbs,0.25
795,瘦,smukły,adjectives,4.88
796,友好,nieprawdopodobny,adverbs,0.14
797,肌肉,ramię,nouns,1.24
798,否认,przyznawać,verbs,0.18
799,珍珠,pieniądze,nouns,0.1
800,副驾驶,glina,nouns,0.04
801,戏法,gra,nouns,0.82
802,北,południe,nouns,0.19
803,未成形,jednolity,adjectives,0.05
804,坏,okropny,adjectives,3.92
805,错误,precyzyjny,adjectives,0.09
806,女士,dżentelmen,nouns,0.73
807,手,stopa,nouns,0.57
808,酒,stulecie,nouns,0.05
809,生活,przeżyć,verbs,2.78
810,选择,żyła,nouns,0.04
811,同意,nie zgadzać się,verbs,0.18
812,付款,kupować,verbs,2.56
813,撕开,nosić,verbs,0.09
814,留,odchodzić,verbs,0.09
815,绿洲,wolność,nouns,0.34
816,严酷,okrutny,adjectives,4.18
817,沙发,baseball,nouns,0.0
818,小心地,bezpiecznie,adverbs,3.13
819,苹果,sok,nouns,1.02
820,牙,młotek,nouns,0.0
821,桥,karta,nouns,0.68
822,兴奋,wystraszony,adjectives,0.48
823,知道,dać,verbs,0.1
824,死亡,katastrofa,nouns,2.08
825,杀,powiesić,verbs,2.41
826,给,wiedzieć,verbs,0.1
827,无辜,wolny,adjectives,0.6
828,糖果,cynamon,nouns,0.14
829,父亲,córka,nouns,0.29
830,理解,satysfakcjonować,verbs,0.38
831,叔叔,mężczyzna,nouns,1.98
832,手臂,żyła,nouns,0.1
833,团结,zaślubić,verbs,1.17
834,协议,pakt,nouns,4.72
835,卖,przypominać,verbs,0.0
836,毛线衣,bawełna,nouns,0.81
837,经常地,czasami,adverbs,0.62
838,结婚,jednoczyć,verbs,1.17
839,辩论,argumentować,verbs,3.44
840,支持者,krykiet,nouns,0.2
841,和蔼,okrutny,adjectives,0.0
842,菜单,zamówienie,nouns,1.23
843,疾病,rak,nouns,3.96
844,稻草,hymn,nouns,0.0
845,植物群,natura,nouns,2.46
846,有礼貌地,dyskretnie,adverbs,0.92
847,未预见到,nieoczekiwany,adjectives,5.14
848,明显,zauważalny,adjectives,3.69
849,相机,kontynuacja,nouns,0.04
850,军团,armia,nouns,3.73
851,倾向,wpłynąć,verbs,2.63
852,塔,dzwon,nouns,0.57
853,大气层,ozon,nouns,2.42
854,花,krzak,nouns,0.87
855,大象,kompas,nouns,0.04
856,收割,zyskać,verbs,2.08
857,拥抱,trzymać,verbs,0.5
858,百万富翁,dolar,nouns,0.25
859,接受,odmawiać,verbs,0.18
860,哥哥,chłopiec,nouns,1.64
861,精灵,lampa,nouns,0.3
862,贡献,ofiara,nouns,2.02
863,祈祷,pytać,verbs,0.33
864,野兽,zwierzę,nouns,3.02
865,白兰地,wino,nouns,2.06
866,优胜者,obecność,nouns,0.05
867,主要地,nieuleczalnie,adverbs,0.0
868,到达,odchodzić,verbs,0.14
869,卧室,łazienka,nouns,0.53
870,醋,sałatka,nouns,0.24
871,湖,bagno,nouns,0.53
872,蚂蚁,pszczoła,nouns,0.57
873,衣服,kurtka,nouns,2.74
874,难以置信,zwykły,adjectives,0.05
875,离开,spotykać,verbs,0.18
876,购买,płacić,verbs,2.56
877,吸收,wycofać,verbs,0.0
878,司机,pilot,nouns,1.77
879,邮包,ciężarówka,nouns,0.55
880,狗,koń,nouns,0.71
881,文明,styl życia,nouns,1.21
882,化学,teoria,nouns,0.77
883,波浪,pogoda,nouns,0.1
884,枪,działo,nouns,1.56
885,新,świeży,adjectives,4.25
886,丈夫,mężczyzna,nouns,2.55
887,植物,rolnictwo,nouns,0.79
888,相像,podobny,adjectives,3.1
889,非常,jasno,adverbs,0.25
890,季节,zima,nouns,2.94
891,加入,dodać,verbs,3.37
892,指甲,głowa,nouns,0.15
893,加入,nabyć,verbs,0.15
894,接受,zgądzać się,verbs,4.32
895,怪异,dziwny,adjectives,4.98
896,玩具,sześcian,nouns,0.14
897,戏法,wanna,nouns,0.0
898,使满意,satysfakcjonować,verbs,4.68
899,分子,atom,nouns,2.92
900,想,pamiętać,verbs,0.48
901,红酒,alkohol,nouns,3.42
902,职业,koledż,nouns,0.04
903,手,nadgarstek,nouns,1.9
904,女儿,ojciec,nouns,0.29
905,坚硬,hardy,adjectives,3.24
906,农业,monokultura,nouns,1.44
907,灵活,skromny,adjectives,0.32
908,安全,wygoda,nouns,0.65
909,地心引力,meteor,nouns,0.15
910,平滑,ostry,adjectives,0.24
911,乐观地,możliwie,adverbs,0.63
912,角,obszar,nouns,0.47
913,乐器,skrzypce,nouns,3.93
914,今天晚上,jutro,adverbs,0.14
915,新鲜,stary,adjectives,0.09
916,兄弟会,baseball,nouns,0.0
917,饥饿,spragniony,adjectives,1.41
918,预热,odgrzewać,nouns,1.12
919,衣服,szuflada,nouns,0.2
920,杯子,rożek,nouns,0.41
921,污染,atmosfera,nouns,0.29
922,背景,tapeta,nouns,3.1
923,满载,ciężki,adjectives,0.86
924,喉咙,nos,nouns,0.44
925,音乐,flet,nouns,0.9
926,同意,akceptować,verbs,4.32
927,打,rama,nouns,0.04
928,警察,polityk,nouns,0.1
929,日期,urodziny,nouns,1.67
930,搜索,patrzeć,verbs,0.65
931,书,informacja,nouns,1.45
932,门,otwór drzwiowy,nouns,4.02
933,电影,popcorn,nouns,0.43
934,大象,dinozaur,nouns,0.34
935,教堂,chór,nouns,0.59
936,雾气,chmura,nouns,1.8
937,音系学,ekran,nouns,0.0
938,忘记,uczyć się,verbs,0.0
939,款待,płacić,verbs,0.29
940,大炮,bal,nouns,0.05
941,哨兵,mężczyzna,nouns,1.55
942,沉闷,nudny,adjectives,1.99
943,国王,książę,nouns,1.7
944,男人,braterstwo,nouns,1.23
945,某些,nerwowy,adjectives,0.0
946,男孩,partner,nouns,0.78
947,满足,rozumieć,verbs,0.38
948,雾,chmura,nouns,2.08
949,刺激,nudny,adjectives,0.09
950,耐力,siła,nouns,2.58
951,头,nos,nouns,0.54
952,移动,tkać,verbs,0.0
953,树木,klon,nouns,3.53
954,谨慎地,grzecznie,adverbs,0.92
955,出席,przyjść,verbs,2.99
956,机械师,robotnik,nouns,2.28
957,想要,pożyczać,verbs,0.39
958,留,czekać,verbs,1.49
959,加,złączyć,verbs,3.37
960,枪,sierżant,nouns,0.19
961,瞄准,uderzyć,verbs,1.71
962,小心地,niebezpiecznie,adverbs,0.18
963,运动,aktywność,nouns,3.51
964,厨房,łazienka,nouns,0.39
965,立方体,kości,nouns,1.93
966,离开,wycofywać się,verbs,3.42
967,打碎,rozwalić,verbs,4.46
968,日出,zachód słońca,nouns,0.43
969,暴力,radykalny,adjectives,2.22
970,鳟鱼,gitara,nouns,0.0
971,除法,mnożenie,nouns,0.56
972,国境,odgraniczenie,nouns,3.29
973,一分钱,ludzie,nouns,0.05
974,厨房,drzwi,nouns,0.1
975,杯子,łyżka,nouns,0.24
976,手臂,nadgarstek,nouns,0.55
977,监护人,matka,nouns,3.06
978,狂怒,gniew,nouns,4.2
979,出席,gromadzić się,verbs,1.23
980,徘徊,szukać,verbs,0.79
981,牛奶,sok,nouns,0.62
982,发送,iść,verbs,0.04
983,易损坏,oziębły,adjectives,0.15
984,收到,brać,verbs,1.92
985,拒绝,akceptować,verbs,0.11
986,自然地,nienaturalnie,adverbs,0.18
987,巫师,kabel,nouns,0.0
988,州长,cesarz,nouns,0.58
989,粗糙地,pobieżnie,adverbs,0.66
990,罕见,tępy,adjectives,0.0
991,罕见,niezwykły,adjectives,4.49
992,屋顶,podłoga,nouns,0.34
993,赢得,zrealizować,verbs,2.09
994,发誓,obiecywać,verbs,4.21
995,傻,tępy,adjectives,4.98
996,停止,zabraniać,verbs,2.34
997,饼干,księżniczka,nouns,0.0
998,办公室,robotnik,nouns,0.33
999,法律,szkoła,nouns,0.28
1000,工作者,pracodawca,nouns,0.43
1001,河谷,rzeka,nouns,1.17
1002,运输,samochód,nouns,2.25
1003,伞,grzejnik,nouns,0.04
1004,谷仓,dom,nouns,0.57
1005,鸟,kura,nouns,2.37
1006,癌症,choroba,nouns,3.96
1007,滴,nalewać,verbs,1.06
1008,啤酒,szampan,nouns,1.93
1009,字典,słowo,nouns,0.63
1010,生物学,anatomia,nouns,2.47
1011,毛毛雨,deszcz,nouns,3.48
1012,海滩,wyspa,nouns,1.48
1013,一分钱,żona,nouns,0.23
1014,芝士,chleb,nouns,0.18
1015,座舱,drugi pilot,nouns,0.42
1016,火,apokalipsa,nouns,0.96
1017,口香糖,mięta,nouns,0.47
1018,检查,zbadać,verbs,3.06
1019,甜,elektryczny,adjectives,0.0
1020,意外,awaria,nouns,3.35
1021,创造性地,początkowo,adverbs,0.2
1022,发烧,schorzenie,nouns,1.83
1023,抖动,mieszać,verbs,1.96
1024,狭窄,szeroki,adjectives,0.09
1025,审查,swoboda,nouns,0.04
1026,活动,ruch,nouns,3.51
1027,猎鹰,orzeł,nouns,2.49
1028,家长,ojciec,nouns,4.73
1029,救,topić,verbs,0.04
1030,不道德,zły,adjectives,2.96
1031,说,uczestniczyć,verbs,0.0
1032,气球,wanna,nouns,0.0
1033,晚饭,posiłek,nouns,3.25
1034,大多,głęboko,adverbs,0.18
1035,兔子,kot,nouns,0.83
1036,怪诞,dziwny,adjectives,4.57
1037,紧张,pewien,adjectives,0.0
1038,打,miksować,verbs,0.25
1039,指控,winić,verbs,3.93
1040,给予,zaprzeczać,verbs,0.0
1041,马上,raz,adverbs,0.1
1042,拇指,paznokieć,nouns,0.78
1043,今天晚上,dzisiaj,adverbs,2.33
1044,简单,trudny,adjectives,0.09
1045,允许,iść,verbs,0.1
1046,母鸡,ptak,nouns,2.37
1047,抓住,ścigać,verbs,1.54
1048,智力,mądrość,nouns,4.21
1049,海岸,kanonierka,nouns,0.04
1050,相信,akceptować,verbs,1.25
1051,紫罗兰,kwiat,nouns,3.42
1052,船,samochód,nouns,0.48
1053,啤酒,napój,nouns,2.77
1054,参加竞选,małpa,nouns,0.0
1055,便宜货,pens,nouns,0.1
1056,球,kula,nouns,3.25
1057,酒,koktajl,nouns,2.98
1058,订婚,pierścień,nouns,0.94
1059,射手,zwiadowca,nouns,0.89
1060,变成,wydawać się,verbs,0.39
1061,毛,pistolet,nouns,0.0
1062,电容器,dioda,nouns,0.43
1063,抱怨,kłócić się,verbs,1.79
1064,叔叔,ciotka,nouns,0.82
1065,争论,krytyka,nouns,1.04
1066,世纪,dekada,nouns,0.44
1067,简单,łatwy,adjectives,4.88
1068,骑,tasować,verbs,0.0
1069,桥,samochód,nouns,0.09
1070,棒球,kanapa,nouns,0.0
1071,订婚,mianowanie,nouns,1.59
1072,笔记本,laptop,nouns,4.64
1073,模仿,pojmać,verbs,0.0
1074,大口地吃,sączyć,verbs,0.63
1075,弯曲,agresywny,adjectives,0.09
1076,紧急情况,wypadek,nouns,3.35
1077,进入,być dłużnym,verbs,0.0
1078,起源,zaczynać,verbs,3.66
1079,在别处,w domu,adverbs,0.18
1080,承诺,przysięgać,verbs,4.21
1081,武士,mężczyzna,nouns,0.93
1082,袋,portmonetka,nouns,1.05
1083,节目,matematyk,nouns,0.0
1084,城镇,miasto,nouns,3.86
1085,偏见,skłaniać,verbs,2.63
1086,违反,przestępstwo,nouns,3.48
1087,铁,witamina,nouns,0.96
1088,文章,praca domowa,nouns,1.66
1089,妻子,kobieta,nouns,2.65
1090,井井有条,chaotyczny,verbs,0.18
1091,神经,mózg,nouns,1.26
1092,擦,pogorszyć się,verbs,0.2
1093,奇怪地,inaczej,adverbs,1.08
1094,医生,lekarz,nouns,5.11
1095,感觉,intuicja,nouns,4.09
1096,付得起,tani,adjectives,3.46
1097,主题,opowieść,nouns,0.77
1098,腐烂,niszczyć,verbs,2.12
1099,威士忌酒,szampan,nouns,1.78
1100,学校,ocena,nouns,0.9
1101,图像,odbicie,nouns,2.94
1102,包装纸,port,nouns,0.05
1103,搏斗,zabić,verbs,1.14
1104,做,niszczyć,verbs,0.09
1105,码,metr,nouns,2.33
1106,必须,ważny,adjectives,4.01
1107,草,korzeń,nouns,0.38
1108,乘,dzielić,verbs,0.38
1109,拿,kraść,verbs,1.1
1110,大厦,rzeźbiarz,nouns,0.0
1111,下面,wierzch,nouns,0.04
1112,尝试,powieść się,verbs,0.18
1113,班级,koledż,nouns,0.39
1114,定义,słownik,nouns,1.07
1115,善良,hojny,adjectives,1.4
1116,非一般,rzadki,adjectives,4.49
1117,钢琴,harmonia,nouns,0.43
1118,算术,logika,nouns,1.4
1119,手臂,mięsień,nouns,1.24
1120,单身牢房,pokój,nouns,2.24
1121,离开,wędrować,verbs,0.39
1122,总统,aparat,nouns,0.0
1123,数字,liczba,nouns,4.57
1124,偷,kupować,verbs,0.28
1125,弯曲,kąt,nouns,0.85
1126,应用,galaktyka,nouns,0.0
1127,狭窄,długi,adjectives,0.24
1128,可靠地,pasywnie,adverbs,0.1
1129,鼻子,gardło,nouns,0.44
1130,傲慢,dumny,adjectives,2.56
1131,离开,przybywać,verbs,0.14
1132,戒除,zaczynać,verbs,0.0
1133,很可能,możlwie,adverbs,4.48
1134,重要的,oficjalnie,adverbs,1.3
1135,闻名,narodowy,adjectives,0.25
1136,笔记本,pistolet,nouns,0.0
1137,岛,zadanie,nouns,0.0
1138,芥末,nasienie,nouns,0.28
1139,河流,morze,nouns,1.74
1140,夺取,brać,verbs,2.31
1141,传感器,kaloryfer,nouns,0.23
1142,肥料,wzrost,nouns,0.57
1143,行政管理,kierownictwo,nouns,3.76
1144,折断,chrzęścić,verbs,1.45
1145,悲伤,szczęscie,nouns,0.0
1146,混合,mieszać,verbs,3.58
1147,不公平,sprawiedliwie,adverbs,0.18
1148,篱笆,skakanie,nouns,0.1
1149,尾巴,rozdział,nouns,0.0
1150,手册,przewodnik,nouns,2.86
1151,容器,wóz,nouns,0.14
1152,手掌,palec,nouns,1.61
1153,马,klacz,nouns,3.33
1154,单种栽培,rolnictwo,nouns,1.44
1155,营地,domek,nouns,0.34
1156,外国人,obcy,nouns,4.26
1157,大笑,śpiewać,verbs,0.1
1158,风暴,śnieg,nouns,0.86
1159,尖,gładki,adjectives,0.24
1160,谈判,dyplomacja,nouns,2.16
1161,身体,kręgosłup,nouns,1.08
1162,撤离,ustalać,verbs,0.0
1163,伤心地,emocjonalnie,adverbs,0.91
1164,球,działo,nouns,0.05
1165,女人,żona,nouns,2.65
1166,长,wąski,adjectives,0.24
1167,竿,zasłona,nouns,0.14
1168,女人,futro,nouns,0.0
1169,轻视,wzgardliwy,adjectives,4.08
1170,糟糕,zły,adjectives,3.92
1171,花,przekonanie,nouns,0.09
1172,抽屉,ubrania,nouns,0.2
1173,付款,traktować,verbs,0.29
1174,喇叭,bęben,nouns,0.29
1175,岛,księżniczka,nouns,0.0
1176,牛,koza,nouns,0.78
1177,壁橱,ubrania,nouns,0.33
1178,悄悄地,naturalnie,adverbs,0.28
1179,打扰,urazić,verbs,1.96
1180,肉,krew,nouns,0.48
1181,需要,dowiadywać się,verbs,0.34
1182,坚强,dumny,adjectives,0.68
1183,指甲,kciuk,nouns,0.78
1184,蔑视,obciążać,verbs,0.1
1185,地窖,drzwi,nouns,0.28
1186,离开,ignorować,verbs,0.93
1187,允许,obalać,verbs,0.0
1188,生活方式,cywilizacja,nouns,1.21
1189,划分,łączyć,verbs,0.18
1190,奇怪,zwykły,adjectives,0.04
1191,蜥蜴,krokodyl,nouns,0.88
1192,最佳,piąty,adjectives,0.04
1193,粘性,plusk,nouns,0.04
1194,遇见,odchodzić,verbs,0.18
1195,男人,triumfator,nouns,0.33
1196,汽车,czołg,nouns,0.52
1197,保持,chronić,verbs,0.98
1198,洗手间,sypialnia,nouns,0.53
1199,拿,zostawić,verbs,0.0
1200,选举权,wyjście,nouns,0.23
1201,保持,stracić,verbs,0.09
1202,理想地,realistycznie,adverbs,0.54
1203,字,słownik,nouns,0.63
1204,器官,wątroba,nouns,3.02
1205,雨,mżawka,nouns,3.48
1206,锚,łódź,nouns,0.78
1207,水晶,szkło,nouns,1.46
1208,小说,pisarz,nouns,0.34
1209,消逝,znikać,verbs,4.03
1210,准确地,dokładnie,adverbs,5.72
1211,拥有,absorbować,verbs,0.88
1212,妻子,mąż,nouns,0.48
1213,亿万富翁,bezdomny,nouns,0.0
1214,大学,kampus,nouns,3.06
1215,长笛,muzyka,nouns,0.9
1216,不公平,okrutny,adjectives,1.07
1217,开心,wesoły,adjectives,5.12
1218,清醒,chrapać,verbs,0.23
1219,溺爱,śmierdzieć,verbs,0.6
1220,剩余,różnica,nouns,1.98
1221,忘记,przypominać,verbs,0.18
1222,管弦乐队,zespół,nouns,3.81
1223,土豆,masło,nouns,0.34
1224,匆匆地写,pisać,verbs,3.03
1225,减少,przemoczyć,verbs,0.0
1226,小学生,prezydent,nouns,0.0
1227,算术,rytm,nouns,0.04
1228,不同的,dziwacznie,adverbs,1.08
