ID,CMN,YUE,PoS,score
1,悲痛,痛苦,nouns,5.0
2,导演,攝影,nouns,1.23
3,棉,冷衫,nouns,0.64
4,宣告,宣布,verbs,4.5
5,岛,海軍,nouns,0.04
6,车,高速公路,nouns,0.5
7,暗礁,海灘,nouns,0.23
8,脏,黏,adjectives,0.59
9,容易地,舒服地,adverbs,1.23
10,毁灭,殺,verbs,2.77
11,骨头,頸,nouns,0.36
12,年,生日,nouns,0.82
13,工具,工作,nouns,0.32
14,制服,未成形,adjectives,0.0
15,唇,臀部,nouns,0.09
16,气球,人,nouns,0.0
17,肌肉,手臂,nouns,0.86
18,桥,汽車,nouns,0.23
19,啜,大口地吃,verbs,0.46
20,听,聽見,verbs,4.13
21,咖啡,豆,nouns,0.46
22,想像,創建,verbs,0.45
23,大门,門,nouns,5.55
24,有趣,嚴肅,adjectives,0.09
25,默默地,被動地,adverbs,0.64
26,铁,維他命,nouns,0.54
27,字,字典,nouns,0.59
28,神经,腦,nouns,1.46
29,援助,協助,verbs,3.91
30,播放机,教練,nouns,0.0
31,防守,殺,verbs,0.18
32,审判,判決書,nouns,2.37
33,酒,紅酒,nouns,3.59
34,飑,風,nouns,2.77
35,残忍,不公平,adjectives,0.55
36,开始,走,verbs,0.09
37,旅程,征服,nouns,0.32
38,打鼾,醒覺,verbs,0.18
39,蚂蚁,蜜蜂,nouns,1.04
40,艺术品,藝術家,nouns,0.82
41,迷惑,學習,verbs,0.0
42,联合,總數,nouns,0.55
43,新鲜,舊,adjectives,0.09
44,感染,詞性變化,nouns,0.09
45,轻视,輕蔑,adjectives,4.09
46,盒子,資源,nouns,0.04
47,困难,努力,nouns,0.14
48,人群,遊行,nouns,0.68
49,手术,代數,nouns,0.04
50,气旋,颱風,nouns,3.13
51,神圣,珍貴,adjectives,1.31
52,判断,指控,verbs,0.5
53,情侣,一對,nouns,3.22
54,坚硬,密度大,adjectives,2.73
55,屋顶,天花板,nouns,3.23
56,安全地,高高興興地,adverbs,0.54
57,接受,推介,verbs,0.14
58,邮包,貨車,nouns,0.14
59,毯,木,nouns,0.0
60,击中,懲罰,verbs,0.0
61,男人,武士,nouns,0.78
62,数字,細胞質,nouns,0.0
63,选择,挑選,verbs,3.96
64,运输,電梯,verbs,0.95
65,笨,傻,adjectives,5.0
66,雪,天氣,nouns,1.09
67,瓶子,廣口瓶,nouns,3.86
68,困扰,嚇,verbs,0.32
69,依靠,依賴,verbs,4.37
70,购买,付款,verbs,3.09
71,交换,貨幣,nouns,0.78
72,办公室,工作者,nouns,0.36
73,求情,問,verbs,0.14
74,侮辱,得罪,verbs,3.18
75,电池,能量,nouns,2.09
76,天使,惡魔,nouns,0.27
77,难以置信地,緊緊地,adverbs,0.14
78,十四行诗,美,nouns,0.04
79,聚酯纤维,棉,nouns,0.72
80,节奏,旋律,nouns,3.46
81,困难,容易,adjectives,0.25
82,好心地,慷慨地,adverbs,3.04
83,直觉,感覺,nouns,4.09
84,人,槍,nouns,0.28
85,案件,硬件,nouns,0.18
86,病菌,病原,nouns,3.13
87,果汁,牛奶,nouns,0.59
88,母亲,爸爸,nouns,1.14
89,警长,警察,nouns,3.77
90,新鲜,新,adjectives,3.32
91,强硬,堅硬,adjectives,3.37
92,模式,時裝,nouns,0.04
93,暴风雨,颶風,nouns,2.96
94,没打中,打中,verbs,0.22
95,定理,理論,nouns,4.18
96,线索,字,nouns,0.23
97,洞察力,事實,nouns,0.41
98,吸收,退出,verbs,0.04
99,演出,敬禮,verbs,0.0
100,疯狂,瘋,adjectives,5.27
101,谦虚,純,adjectives,0.59
102,傻笑,大笑,verbs,3.27
103,离开,驅逐,verbs,2.54
104,获胜者,候選人,nouns,1.5
105,长,短,adjectives,0.23
106,男孩子,兒子,nouns,2.87
107,哥哥,兒子,nouns,0.77
108,奇怪地,不同的,adverbs,0.27
109,灵魂,兄弟,nouns,0.0
110,发生,出現,verbs,2.5
111,枪,軍士,nouns,0.36
112,花,信念,nouns,0.09
113,许多,豐富,nouns,3.91
114,地板,天花板,nouns,0.22
115,离开,到達,verbs,0.14
116,原木,木材,nouns,3.72
117,膝盖,手臂,nouns,0.36
118,男人,嫌疑人,nouns,0.46
119,关键地,實質上,adverbs,0.55
120,交流,電視,nouns,0.04
121,游戏,樂趣,nouns,0.45
122,谷仓,屋,nouns,0.64
123,轻蔑,輕視,adjectives,4.09
124,毛线衣,棉,nouns,0.64
125,刺激,平淡,adjectives,0.27
126,奇怪,怪誕,adjectives,4.5
127,手臂,手腕,nouns,0.41
128,努力,困難,nouns,0.14
129,生物学家,顯微鏡,nouns,0.45
130,满足,使滿意,verbs,4.81
131,生物学,群落生境,nouns,0.72
132,恢复,帶來,verbs,0.22
133,团结,劃分,verbs,0.18
134,离开,等待,verbs,0.18
135,可行,不可能,adjectives,0.23
136,大象,指南針,nouns,0.09
137,喷嘴,流體,nouns,0.14
138,击剑,體操,nouns,0.73
139,信念,花,nouns,0.09
140,找,搜索,verbs,4.23
141,情况,狀態,nouns,3.68
142,到达,離開,verbs,0.14
143,制作者,創造者,nouns,3.77
144,搏斗,不同意,verbs,0.0
145,牙医,正牙醫生,nouns,4.37
146,从不,誠實地,adverbs,0.0
147,搏斗,玩,verbs,0.36
148,钱,現金,nouns,4.59
149,证明,事實,nouns,0.96
150,昆虫,蜜蜂,nouns,3.23
151,和声,鋼琴,nouns,0.59
152,并发,貨幣,nouns,0.04
153,城堡,壁,nouns,0.41
154,蕊,授粉,nouns,0.82
155,走廊,課堂,nouns,0.18
156,取得,獲得,verbs,4.41
157,普通,難以置信,adjectives,0.0
158,纸,硬紙板,nouns,2.77
159,培根,豆,nouns,0.0
160,杀,防守,verbs,0.18
161,看来,簡直,adverbs,0.91
162,打碎,摔碎,verbs,3.96
163,资料,書,nouns,1.5
164,宽广,大,adjectives,3.09
165,刺激,對抗,verbs,2.2
166,韵律,詩,nouns,0.54
167,明亮地,輕輕地,adverbs,0.14
168,募捐,發展,nouns,0.14
169,成年人,小孩,nouns,0.55
170,成熟,複雜,adjectives,0.5
171,严肃,有趣,adjectives,0.09
172,表达,說,verbs,2.86
173,工作者,辦公室,nouns,0.36
174,犯罪,攻擊,nouns,0.91
175,发热,流感,nouns,1.54
176,混乱,歇斯底里,nouns,2.5
177,暴动,畫畫,nouns,0.09
178,资产,股票,nouns,2.91
179,平淡,沉悶,adjectives,2.5
180,床,傢俱,nouns,3.14
181,鼓,喇叭,nouns,0.32
182,溶解,熔化,verbs,4.41
183,媒介,新聞,nouns,2.54
184,血液,骨髓,nouns,0.5
185,走廊,過道,nouns,4.18
186,笨,稀罕,adjectives,0.14
187,拒绝,接受,verbs,0.45
188,肉,牛肉,nouns,3.46
189,保留,忘記,verbs,0.14
190,内疚,羞愧,adjectives,4.31
191,订婚,結婚,verbs,2.63
192,酱,蘋果,nouns,0.27
193,优胜者,冠軍,nouns,4.96
194,父亲,天神,nouns,0.14
195,人群,暴民,nouns,0.68
196,合金,鋼,nouns,3.5
197,梦想,天空,nouns,0.09
198,身体,血液,nouns,0.82
199,俱乐部,社會,nouns,0.04
200,温和,適中,adjectives,3.5
201,安然,冷靜地,adverbs,3.09
202,不同,同意,verbs,0.04
203,成长,增加,verbs,0.82
204,通常,很少地,adverbs,0.22
205,评估,分析,verbs,4.45
206,珍爱,保持,verbs,0.27
207,田,燕麥,nouns,0.64
208,姊妹,兄弟,nouns,1.77
209,妻子,沖涼,nouns,0.04
210,笔记本,槍,nouns,0.0
211,走,賣,verbs,0.04
212,豆,咖啡,nouns,0.46
213,霸权,全能,nouns,0.59
214,学习,吸收,verbs,3.0
215,现金,錢,nouns,4.59
216,加,建立,verbs,0.82
217,说明,澄清,verbs,3.64
218,被动地,可靠地,adverbs,0.0
219,品质,遮,nouns,0.04
220,一致地,有時,adverbs,0.04
221,市长,總統,nouns,2.5
222,疯狂,極好,adjectives,0.18
223,肉,麵包,nouns,0.27
224,皇帝,州長,nouns,0.5
225,数,數字,nouns,4.28
226,闪电攻击,攻擊,nouns,3.27
227,粗糙,核突,adjectives,0.64
228,挑选,選擇,verbs,3.96
229,被动,暴力,adjectives,0.04
230,重要,必須,adjectives,3.5
231,泥土,泥,nouns,5.41
232,统治,克服,verbs,0.09
233,钱,資本,nouns,3.64
234,木炭,煤,nouns,2.72
235,来源,盒子,nouns,0.04
236,经理,領導,nouns,2.5
237,主教,大主教,nouns,4.18
238,问,乞求,verbs,0.64
239,世纪,酒,nouns,0.04
240,房间,床,nouns,0.22
241,书,主題,nouns,1.14
242,摄影,導演,nouns,1.23
243,水,乾旱,nouns,0.04
244,公爵,共和國,nouns,0.18
245,父亲,哥哥,nouns,0.91
246,文化,社會,nouns,0.95
247,走,允許,verbs,0.0
248,卧室,床,nouns,1.14
249,容易,困難,adjectives,0.14
250,象征,標誌,nouns,4.41
251,帽子,盒子,nouns,0.0
252,空气,分子,nouns,0.55
253,肢体,腿,nouns,2.23
254,故事,話題,nouns,0.78
255,歌手,員工,nouns,0.36
256,成功,實現,verbs,1.59
257,描绘,假扮,verbs,0.04
258,交换,替換,nouns,4.37
259,学院,職業,nouns,0.09
260,脚,手,nouns,1.14
261,乘,加,verbs,0.59
262,打算,试着,verbs,1.19
263,做,戒除,verbs,0.04
264,文学,書,nouns,2.5
265,糖类,蔗糖,nouns,2.72
266,找到,消失,verbs,0.0
267,门,廚房,nouns,0.18
268,深度,大小,nouns,0.54
269,同意,拗撬,verbs,0.18
270,男子,父親,nouns,2.54
271,十,時代,nouns,0.09
272,狭窄,髒,adjectives,0.0
273,肩,頭,nouns,0.36
274,公共汽车,車輛,nouns,2.59
275,自行车,睡房,nouns,0.0
276,骨头,牙齒,nouns,1.32
277,大自然,植物群,nouns,1.54
278,保持,給,verbs,0.18
279,医生,教授,nouns,0.78
280,争论,同意,verbs,0.18
281,人群,束,nouns,0.0
282,明显,顯然,adjectives,5.0
283,军队,海軍,nouns,3.59
284,服从,懲罰,verbs,0.23
285,羞愧,悲傷,nouns,1.68
286,木,毯,nouns,0.0
287,乱,核突,adjectives,0.69
288,男人,女孩,nouns,0.46
289,车,胎壓計,nouns,0.14
290,肘,踝,nouns,0.59
291,策略家,陰謀家,nouns,2.82
292,班,軍隊,nouns,0.36
293,减少,降落,verbs,0.09
294,汽车,坦克,nouns,0.69
295,察觉,聽,verbs,1.09
296,婚外,不宜說出口的,adjectives,1.09
297,说谎,否認,verbs,0.55
298,混合,溶解,verbs,0.36
299,预言家,牧師,nouns,0.41
300,总是,兩次,adverbs,0.14
301,纸,木,nouns,0.45
302,闻名,國民,adjectives,0.0
303,风暴,雲,nouns,1.23
304,喝醉,清醒,adjectives,0.18
305,乞求,懇求,verbs,3.77
306,稀有,異國情調,adjectives,0.09
307,教堂,馬賽克,nouns,0.0
308,篮球,棒球,nouns,1.19
309,完成,解決,verbs,2.23
310,阻碍,努力,verbs,0.0
311,地区,地帶,nouns,4.32
312,情绪,激情,nouns,2.63
313,骨髓,血液,nouns,0.5
314,周末,種族,nouns,0.0
315,地带,地區,nouns,4.32
316,圣歌,聖經,nouns,2.5
317,意见,選擇,nouns,1.0
318,马车,四輪貨運馬車,nouns,3.87
319,沙发,棒球,nouns,0.0
320,草,刀口,nouns,0.0
321,日期,日曆,nouns,3.32
322,猫,兔子,nouns,1.09
323,覆盖着的,沒有冚住的,adjectives,0.14
324,捏,用拳猛擊,verbs,0.5
325,河流,大海,nouns,2.13
326,推荐,接受,verbs,0.14
327,澄清,說明,verbs,3.64
328,肌肉,舌頭,nouns,0.54
329,等待,暫停,verbs,1.64
330,男孩,士兵,nouns,1.68
331,煮,混合,verbs,0.32
332,米饭,豆,nouns,0.5
333,离开,攞,verbs,0.04
334,种子,芥末,nouns,0.82
335,否认,坦白,nouns,0.23
336,复杂,成熟,adjectives,0.5
337,搅拌,混合,verbs,4.0
338,加,加入,verbs,3.69
339,除,加,verbs,0.59
340,协议,條件,nouns,1.91
341,钥匙,鎖,nouns,0.91
342,艰难,困難,adjectives,5.0
343,尝试,實現,verbs,0.59
344,连接,分離,verbs,0.18
345,足球,有趣,nouns,0.22
346,鸡,米飯,nouns,0.23
347,任命,選舉,verbs,0.36
348,赢,打敗,verbs,4.04
349,有趣,足球,nouns,0.22
350,广场,地圖,nouns,0.32
351,山谷,峽谷,nouns,4.22
352,竞争,完成,verbs,0.09
353,离开,見面,verbs,0.18
354,重新安葬,墳墓,nouns,0.82
355,臀部,嘴唇,nouns,0.09
356,对抗,刺激,verbs,2.2
357,狐狸,獵狗,nouns,1.0
358,完成,競爭,verbs,0.09
359,第五,最佳,adjectives,0.14
360,咬,搏鬥,verbs,1.09
361,黄昏,傍晚,nouns,4.87
362,不经常,經常,adverbs,0.22
363,溪流,河,nouns,3.41
364,好的,平庸,adjectives,0.27
365,实现,收到,verbs,0.14
366,获得,搵到,verbs,2.37
367,嫌疑人,男人,nouns,0.46
368,讨厌,蔑視,verbs,2.82
369,教堂,尖頂,nouns,0.69
370,凳子,椅子,nouns,4.96
371,停,哨,verbs,0.14
372,赚,值得,verbs,0.72
373,加剧,打稿,verbs,0.0
374,天花板,屋頂,nouns,3.23
375,钱,鑽石,nouns,0.96
376,不同的,奇怪地,adverbs,0.27
377,无礼,粗糙,adjectives,0.5
378,冷静地,安然,adverbs,3.09
379,照耀,發光,verbs,3.59
380,碟,碗,nouns,2.09
381,派对,人們,nouns,0.5
382,信封,裝飾,nouns,0.32
383,衣服,布,nouns,2.27
384,无礼,批評,adjectives,0.64
385,知道,給,verbs,0.04
386,除法,乘法,nouns,1.41
387,开心,嬲,adjectives,0.14
388,诚实地,真誠地,adverbs,4.18
389,岛,任務,nouns,0.0
390,有价值,特別,adjectives,0.64
391,秒,分鐘,nouns,2.63
392,乘法,除法,nouns,1.41
393,大气层,臭氧,nouns,3.0
394,学校,法律,nouns,0.36
395,原谅,明白,verbs,0.5
396,线,紗,nouns,2.13
397,使气馁,使灰心,verbs,4.78
398,推,責怪,verbs,0.41
399,兔子,貓,nouns,1.09
400,呼吸,嗆,verbs,0.69
401,高速公路,路,nouns,3.5
402,碗,尾巴,nouns,0.0
403,本地,緊密地,adverbs,0.09
404,好心地,仁慈地,adverbs,4.59
405,头盔,武器,nouns,0.95
406,发射,发送,verbs,2.46
407,酸奶,家牛,nouns,0.46
408,争论,不同,verbs,0.23
409,急,害怕,adjectives,0.23
410,预测,灰濛蒙,nouns,0.14
411,离开,走開,verbs,3.77
412,找到,獲得,verbs,2.37
413,出租车,巴士,nouns,2.32
414,软线,電線,nouns,0.81
415,深深地,大多,adverbs,0.59
416,杯子,匙羹,nouns,0.55
417,苹果,陽光,nouns,0.09
418,裙子,舞蹈,nouns,0.09
419,学生,教授,nouns,0.27
420,喧闹声,搖鈴,nouns,1.73
421,讨厌,喜愛,verbs,0.18
422,自信,態度,nouns,1.04
423,作弊,欺騙,verbs,2.73
424,收费,蔑視,verbs,0.0
425,神话,諷刺,nouns,0.46
426,人物,人,nouns,4.27
427,草药,大麻,nouns,2.41
428,早上,白天,nouns,5.37
429,晚餐,早餐,nouns,1.36
430,议会,國會,nouns,3.0
431,血液,身體,nouns,0.82
432,四轮货运马车,容器,nouns,0.14
433,混合,打,verbs,0.0
434,拉比,部長,nouns,0.09
435,大概,也許,adverbs,3.78
436,稻草,妻子,nouns,0.09
437,训斥,需求,verbs,0.09
438,锡,金屬,nouns,2.5
439,很少地,平時,adverbs,0.22
440,困难,艱難,adjectives,5.0
441,小心地,危險地,adverbs,0.27
442,运送,攜帶,verbs,2.72
443,外国人,異族,nouns,4.04
444,指控,判斷,verbs,0.5
445,足球,英式足球,nouns,4.72
446,每周,每月,adjectives,1.54
447,牛,家牛,nouns,3.82
448,争论,批評,nouns,1.73
449,船,錨,nouns,0.59
450,猫,狗,nouns,0.55
451,威胁,危險,nouns,4.0
452,允许,合法,adjectives,3.0
453,锚,船,nouns,0.59
454,检查,西洋棋,nouns,0.09
455,搜索,徘徊,verbs,0.32
456,分钟,秒,nouns,2.63
457,知道,相信,verbs,0.68
458,有礼貌,合乎體統,adjectives,3.54
459,剩余,差數,nouns,2.54
460,仁慈地,温和地,adverbs,3.59
461,直升机,飛機,nouns,2.41
462,屏幕,音系學,nouns,0.0
463,胎压计,車,nouns,0.14
464,方法,方式,nouns,4.36
465,饮品,啤酒,nouns,2.41
466,开心,高興,adjectives,5.46
467,借,乞求,verbs,0.86
468,联合,甘蔗,nouns,0.0
469,天神,父親,nouns,0.14
470,合乎体统,正式,adjectives,3.46
471,陷害,打,nouns,0.18
472,人造,假,adjectives,3.18
473,窗台,山,nouns,0.0
474,高高兴兴地,安全地,adverbs,0.54
475,季节,冬天,nouns,2.31
476,允许,走,verbs,0.0
477,午饭,三文治,nouns,0.55
478,欲望,想要,verbs,3.86
479,器官,腎,nouns,3.91
480,胜利,凱旋,nouns,4.46
481,合理的解释,想,verbs,0.18
482,定位,搵到,verbs,0.69
483,伤心,可怕,adjectives,0.36
484,贫困,財富,nouns,0.14
485,手臂,腿,nouns,0.41
486,自豪,傲慢,adjectives,3.0
487,冬天,季節,nouns,2.31
488,智力,技巧,nouns,2.27
489,奖章,運動鞋,nouns,0.09
490,大薄片,平面,nouns,0.5
491,幼儿园,幼兒,nouns,1.0
492,活塞,發動機,nouns,0.95
493,标志,象徵,nouns,4.41
494,伞,品質,nouns,0.04
495,开始,啟,verbs,4.0
496,代替,恢復,verbs,0.41
497,种子,磨坊,nouns,0.23
498,建造,毀滅,nouns,0.34
499,理论,化學,nouns,0.5
500,锥形蛋筒,杯子,nouns,0.45
501,目标,箭頭,nouns,0.86
502,传感器,散熱器,nouns,0.54
503,忽略,打印,verbs,0.0
504,积极地,被動地,adverbs,0.22
505,小山,懸崖,nouns,0.32
506,坏,偉大,adjectives,0.04
507,艺术家,藝術品,nouns,0.82
508,公式,日誌,nouns,0.0
509,吉他,鼓,nouns,0.54
510,同音词,光線電話機,nouns,0.0
511,身体,肚,nouns,2.04
512,尝试,說服,verbs,0.36
513,力量,能力,nouns,3.04
514,救援,拯救,verbs,5.04
515,假,真實,adjectives,0.27
516,汽车,車,nouns,5.91
517,画,創建,verbs,0.32
518,伙伴,朋友,nouns,4.13
519,禁止,停止,verbs,2.87
520,杯子,錐形蛋筒,nouns,0.45
521,唱,浮動,verbs,0.0
522,雇主,員工,nouns,0.18
523,争论,協議,nouns,0.32
524,恳求,乞求,verbs,3.77
525,沐浴,房間,nouns,0.32
526,猫,老鼠,nouns,0.27
527,合法,允許,adjectives,3.0
528,家长,大人,nouns,3.23
529,公式,等式,nouns,2.82
530,鹰,鳥,nouns,2.77
531,告诉,提醒,verbs,2.63
532,异国情调,稀有,adjectives,0.09
533,系统,故障,nouns,0.04
534,等式,公式,nouns,2.82
535,不耐烦地,大致,adverbs,0.18
536,美丽地,優雅地,adverbs,3.32
537,儿童,男孩,nouns,2.63
538,文学,詞,nouns,2.27
539,发展,募捐,nouns,0.14
540,儿童,人,nouns,2.09
541,天文,大規模,adjectives,0.22
542,征服,戰役,nouns,0.64
543,士兵,和平,nouns,0.09
544,奇特地,令人驚訝,adverbs,2.87
545,正常,不同,adjectives,0.04
546,医生,正牙醫生,nouns,3.41
547,珍贵,懶,adjectives,0.09
548,窗口,踝,nouns,0.09
549,好,辣,adjectives,0.04
550,无畏舰,主力艦,nouns,2.5
551,疾病,危險,nouns,0.59
552,发送,走,verbs,0.04
553,黏,脏,adjectives,0.59
554,开心,快樂,adjectives,5.32
555,电车,火車,nouns,2.23
556,皇帝,憲法,nouns,0.22
557,徘徊,搜索,verbs,0.32
558,经常,有時候,adverbs,2.68
559,参加竞选,猴子,nouns,0.09
560,拒绝,譴責,verbs,0.14
561,批评,爭論,nouns,1.73
562,下面,側面,nouns,0.27
563,手套,球,nouns,0.18
564,蜥蜴,蛇,nouns,0.86
565,窗口,屋頂,nouns,0.41
566,坏,內疚,adjectives,0.32
567,枪,大炮,nouns,1.91
568,律师,大狀,nouns,3.77
569,老板,董事,nouns,4.09
570,床,毯子,nouns,0.14
571,提醒,忘記,verbs,0.22
572,总统,相機,nouns,0.0
573,谨慎,注意,nouns,3.63
574,练习,重複,verbs,2.32
575,追求,說服,verbs,0.23
576,剧院,電池,nouns,0.09
577,幼儿床,床,nouns,3.27
578,两次,多,adverbs,0.18
579,个人,私人,adjectives,4.04
580,宪法,參議院,nouns,0.82
581,收缩,成長,verbs,0.09
582,理解,讀,verbs,0.64
583,周末,星期,nouns,2.54
584,实质上,必然,adverbs,0.5
585,经常,不經常,adverbs,0.22
586,叫喊,拗撬,verbs,0.68
587,法官,裁判官,nouns,3.82
588,英寸,碼,nouns,2.91
589,做,建造,verbs,2.77
590,演员,歌曲,nouns,0.18
591,联合,組合,nouns,2.91
592,盐,水,nouns,0.18
593,尝试,想,verbs,0.64
594,降落,減少,verbs,0.09
595,军士,槍,nouns,0.36
596,早餐,晚餐,nouns,1.36
597,黎明,槍,nouns,0.0
598,宠物,貓,nouns,3.04
599,坚固地,緊緊,adverbs,3.23
600,儿子,哥哥,nouns,0.77
601,教练,播放機,nouns,0.0
602,韵律,韻律,nouns,4.5
603,柠檬,茶,nouns,0.18
604,相机,工作者,nouns,0.22
605,舞蹈,裙,nouns,0.09
606,选举,任命,verbs,0.36
607,糟糕,謙遜地,adverbs,0.14
608,狮子,貓,nouns,1.27
609,受害者,電話,nouns,0.04
610,金属,錫,nouns,2.5
611,狀師,律師,nouns,3.77
612,带来,來,verbs,2.04
613,汽车,軟管,nouns,0.14
614,雨,毛毛雨,nouns,3.81
615,得分,水平,nouns,0.69
616,肉,三明治,nouns,0.27
617,毁灭,保留,verbs,0.14
618,房间,大厦,nouns,0.23
619,事实,洞察力,nouns,0.41
620,尺寸,一分錢,nouns,0.04
621,考古学,人類學,nouns,1.64
622,主题,書,nouns,1.14
623,松饼,香芹,nouns,0.04
624,服从,守規矩,verbs,3.68
625,家伙,夥伴,nouns,2.46
626,毛,女人,nouns,0.0
627,地区,角,nouns,0.27
628,出现,出席,verbs,3.22
629,忽略,避免,verbs,0.55
630,速度,郵件,nouns,0.0
631,促进,前進,verbs,1.32
632,肘,骨頭,nouns,0.27
633,酒,威士忌酒,nouns,3.82
634,球,籃子,nouns,0.14
635,兄弟会,棒球,nouns,0.14
636,学习,迷惑,verbs,0.0
637,雨,薄霧,nouns,0.73
638,砖,牆,nouns,0.73
639,大致,稍微地,adverbs,1.5
640,蓝色,紅色,adjectives,0.18
641,糟糕,偉大,adjectives,0.14
642,一次,兩次,adverbs,0.41
643,颚,骨頭,nouns,1.77
644,探路者,射手,nouns,0.18
645,自然地,悄悄地,adverbs,0.55
646,逮捕,懷疑,verbs,0.36
647,电动机,船,nouns,0.23
648,球,大炮,nouns,0.09
649,泥,泥土,nouns,5.41
650,离开,分離,verbs,2.77
651,智慧,智力,nouns,3.96
652,作者,創造者,nouns,3.82
653,可怕,壞,adjectives,0.36
654,束,人群,nouns,0.0
655,学习,忘記,verbs,0.04
656,电梯,汽車,nouns,0.09
657,鳟鱼,吉他,nouns,0.0
658,失去,煮,verbs,0.04
659,可怕,傷心,adjectives,0.36
660,见面,聚集,verbs,0.73
661,弯曲,角度,nouns,1.46
662,保留,保持,verbs,3.54
663,无形,不定形,adjectives,2.96
664,帮手,老師,nouns,0.64
665,血液,病毒,nouns,0.36
666,正式地,重要的,adverbs,0.91
667,预测,假設,verbs,4.84
668,日落,線,nouns,0.0
669,稀少,難得,adjectives,3.82
670,大口地吃,啜,verbs,0.46
671,和平地,混亂,adverbs,0.0
672,甲板,船,nouns,0.82
673,手,拇指,nouns,1.0
674,侧面,頂,nouns,0.36
675,尾巴,碗,nouns,0.0
676,电,案件,nouns,0.04
677,走,發送,verbs,0.04
678,牛扒,雞,nouns,0.14
679,成年人,嬰兒,nouns,0.46
680,吉他,鱒魚,nouns,0.0
681,角度,距離,nouns,0.41
682,乐队,管弦樂隊,nouns,3.78
683,台风,氣旋,nouns,3.13
684,小学生,學生,nouns,3.5
685,不可能,可行,adjectives,0.23
686,笨,愚笨,adjectives,5.32
687,注意,興趣,nouns,0.59
688,手臂,肩膀,nouns,1.0
689,否认,說謊,verbs,0.55
690,高高兴兴地,死氣沈沈的,adverbs,0.22
691,叫喊,尖叫,verbs,3.64
692,窄小,寬大,adjectives,0.23
693,共和国,公爵,nouns,0.18
694,轻松,冷靜,adjectives,0.64
695,心靈,天神,nouns,0.0
696,教堂,合唱團,nouns,0.41
697,装饰,牆壁,nouns,0.5
698,信心十足地,偷偷,adverbs,0.0
699,摔倒,絆倒,verbs,3.59
700,薪水,費用,nouns,1.04
701,伟大,精彩,adjectives,0.77
702,傍晚,黃昏,nouns,4.87
703,街,汽車,nouns,0.46
704,血液学,病理學,nouns,2.41
705,联合,雜,adjectives,0.09
706,病人,複診,nouns,0.5
707,座位,銀行,nouns,0.09
708,正牙医生,醫生,nouns,3.41
709,意志,意圖,nouns,0.91
710,香芹,瑪芬,nouns,0.04
711,怪兽,惡魔,nouns,3.0
712,暴力,激進,adjectives,2.77
713,老鼠,甲板,nouns,0.04
714,恶意软件,蠕蟲,nouns,0.55
715,指甲,拇指,nouns,1.18
716,油,貂,nouns,0.04
717,死,埋葬,verbs,1.54
718,出租车,的士,nouns,5.96
719,出席,到達,verbs,3.0
720,游行,人群,nouns,0.68
721,信念,價值觀,nouns,3.46
722,门,大門,nouns,5.55
723,巧妙的,冷靜地,adverbs,0.73
724,发出恶臭,發出氣味,verbs,2.55
725,头脑,大腦,nouns,4.5
