ID,CYM,YUE,PoS,score
1,campws,大學,nouns,1.83
2,cam,彎曲,adjectives,2.73
3,plentyn,男孩,nouns,1.79
4,gwialen,窗帘,nouns,0.14
5,byth,誠實地,adverbs,0.0
6,enillydd,候選人,nouns,0.81
7,mwd,泥土,nouns,5.27
8,ynys,海灘,nouns,0.96
9,gwneud,戒除,verbs,0.04
10,cymeradwyo,准許,verbs,2.98
11,miniog,鈍,adjectives,0.19
12,poblogaeth,人,nouns,2.55
13,claf,複診,nouns,0.32
14,gorchuddio,保護,verbs,0.86
15,mab,父親,nouns,1.45
16,asgwrn,手臂,nouns,0.98
17,buwch,山羊,nouns,1.73
18,stêc,雞,nouns,0.49
19,cynhwysydd,老鼠,nouns,0.0
20,teithlyfr,手冊,nouns,2.4
21,drud,害羞,adjectives,0.0
22,o bosibl,八成,adverbs,1.4
23,gadael,做,verbs,0.04
24,braich,樹枝,nouns,0.6
25,artist,藝術品,nouns,1.06
26,barnwr,裁判官,nouns,4.2
27,go fach,矬小,adjectives,3.21
28,senoffobia,種族主義,nouns,3.88
29,ymosodiad,閃電攻擊,nouns,3.19
30,yn bendant,肯定地,adverbs,5.18
31,cawod,修道院,nouns,0.0
32,mwydyn,惡意軟件,nouns,0.09
33,yfed,混合,verbs,0.2
34,ffurfdroad,感染,nouns,0.09
35,sylweddoli,發現,verbs,3.49
36,dyffryn,峽谷,nouns,3.68
37,athro,學生,nouns,0.8
38,ffôn clyfar,菠蘿,nouns,0.0
39,dod,出席,verbs,2.91
40,dillad,大褸,nouns,1.98
41,priodferch,公主,nouns,0.73
42,degawd,世紀,nouns,0.75
43,anghwrtais,好鬥,adjectives,0.64
44,derbyn,實現,verbs,0.24
45,bar,籠子,nouns,0.33
46,rheilffordd,籬笆,nouns,0.05
47,lleng,軍隊,nouns,3.43
48,crebachu,成長,verbs,0.05
49,actor,歌手,nouns,1.69
50,seicoleg,科學,nouns,1.45
51,yfed,提高,verbs,0.0
52,hyll,亂,adjectives,0.96
53,darllen,咬,verbs,0.09
54,deallusrwydd,技巧,nouns,1.94
55,gweithiwr,僱主,nouns,0.53
56,madfall,鱷魚,nouns,1.5
57,de,北,nouns,1.04
58,cysylltu,分離,verbs,0.05
59,melin,種子,nouns,0.24
60,medi,獲得,verbs,0.79
61,menyw,牛仔褲,nouns,0.14
62,seciwlarydd,宗教,nouns,0.69
63,dweud celwydd,指控,verbs,0.39
64,dyn,武士,nouns,0.65
65,atom,碳,nouns,0.98
66,blwch,資源,nouns,0.04
67,proffwydo,確定,verbs,0.45
68,disgyrchiant,流星,nouns,0.57
69,rhyfedd,狡猾,adjectives,0.41
70,newyddiadur,文章,nouns,2.58
71,benthyciwr,信用,nouns,0.73
72,haeddu,賺,verbs,0.39
73,mynychu,發送,verbs,0.09
74,prif air,句法,nouns,0.43
75,cytuno,拗撬,verbs,0.05
76,priodferch,新郎,nouns,2.13
77,derbyn,發送,verbs,0.1
78,trafodaeth,外交,nouns,2.33
79,gwyddoniadur,字典,nouns,2.08
80,gludiog,濕,adjectives,0.93
81,parth,地區,nouns,4.65
82,diymadferth,貧困,adjectives,1.05
83,styfnig,蠢,adjectives,0.33
84,alcohol,啤酒,nouns,3.44
85,hyfforddi,學習,verbs,3.7
86,diflas,沉悶,adjectives,3.56
87,caniatáu,侵蝕,verbs,0.0
88,gwan,辣,adjectives,0.04
89,fel arfer,異常地,adverbs,0.15
90,dinistrio,腐爛,verbs,0.88
91,cyfuniad,甘蔗,nouns,0.0
92,bacwn,豆,nouns,0.1
93,brwnt,淫賤,adjectives,0.28
94,mawr,國民,adjectives,0.3
95,gwahaniaeth,剩餘,nouns,3.06
96,caled,簡單,adjectives,0.04
97,presenoldeb,優勝者,nouns,0.04
98,swydd,管理,nouns,0.52
99,tŷ,穀倉,nouns,0.56
100,hysbysu,描繪,verbs,0.15
101,corff,血液,nouns,0.86
102,drwm,喇叭,nouns,0.43
103,tric,尺寸,nouns,0.0
104,fflat,家具,nouns,0.48
105,arian cyfred,交換,nouns,0.57
106,dweud,校驗,verbs,0.15
107,rhesymoli,拗撬,verbs,0.34
108,deall,掌握,verbs,0.93
109,salad,醋,nouns,0.43
110,anonest,壞,adjectives,1.4
111,heno,今天,adverbs,1.11
112,yn gadarn,冷靜地,adverbs,1.01
113,llinyn,電線,nouns,1.07
114,gwydn,堅硬,adjectives,3.13
115,chwerthin,哭,verbs,0.15
116,gwerthfawr,神聖,adjectives,1.39
117,profocio,傷害,verbs,0.54
118,balchder,喜悅,nouns,2.03
119,braf,大方,adjectives,1.49
120,dysgu,迷惑,verbs,0.0
121,cod,符號,nouns,1.51
122,tymor,冬天,nouns,2.38
123,ewin,手,nouns,0.86
124,pwerus,強大,adjectives,5.03
125,rhaniad,乘法,nouns,1.35
126,crëwr,作者,nouns,3.37
127,deffro,打鼻鼾,verbs,0.05
128,yn arw,粗糙地,adverbs,0.88
129,rhaglen,食物,nouns,0.05
130,gohirio,完成,verbs,0.39
131,cefndir,牆紙,nouns,1.59
132,cyffes,否認,nouns,0.38
133,mam,爸爸,nouns,1.67
134,canfyddiad,視力,nouns,0.95
135,noswaith,日落,nouns,3.53
136,yn unffurf,有時,adverbs,0.04
137,gêm,樂趣,nouns,0.82
138,lori,郵包,nouns,0.44
139,handlen,蛋白質,nouns,0.04
140,prif fwrdd,主機板,nouns,3.17
141,yn aml,不經常,adverbs,0.1
142,yn ddiffuant,誠實地,adverbs,4.38
143,cyfiawnder,權利,nouns,0.33
144,lluosi,加,verbs,1.27
145,arwyddluniau,尊嚴,nouns,0.28
146,llywodraeth,蜥蜴,nouns,0.04
147,ffôl,孩子氣,adjectives,2.28
148,pibell,雪茄,nouns,0.48
149,rhoi,放,verbs,0.97
150,coginio,混合,verbs,0.63
151,unwaith,兩次,adverbs,0.39
152,oedolyn,小孩,nouns,0.68
153,sinema,爆谷,nouns,0.67
154,dod â,抱怨,verbs,0.0
155,erydu,褪色,verbs,1.83
156,synhwyrydd,散熱器,nouns,0.46
157,benthyg,乞求,verbs,0.67
158,hapus,快樂,adjectives,5.1
159,oriel,律師,nouns,0.0
160,pont,汽車,nouns,0.29
161,pêl-fas,沙發,nouns,0.0
162,drws,門口,nouns,3.96
163,marw,分化,verbs,0.05
164,top,側面,nouns,0.43
165,crebachu,減少,verbs,3.0
166,gwaed,肉,nouns,0.68
167,hen,雜,adjectives,0.24
168,plentyn,男孩子,nouns,2.13
169,sbeislyd,好,adjectives,0.04
170,clywed,聽,verbs,3.5
171,main,瘦,adjectives,4.36
172,llew,貓,nouns,1.92
173,ffenestr,雲,nouns,0.0
174,glaw,毛毛雨,nouns,4.04
175,coridor,門,nouns,0.33
176,cynddaredd,生氣,nouns,4.04
177,tref,城市,nouns,2.88
178,gwifren,軟線,nouns,1.07
179,proffwyd,牧師,nouns,0.97
180,crwm,直,adjectives,0.18
181,noswaith,黃昏,nouns,4.31
182,pen,腳,nouns,0.34
183,encilio,離開,verbs,3.45
184,dermatitis,濕疹,nouns,3.76
185,tynnu'n ôl,退休,verbs,0.38
186,syth,彎曲,adjectives,0.18
187,gŵr bonheddig,女士,nouns,0.71
188,gwyn,狹窄,adjectives,0.0
189,nerf,腸子,nouns,0.29
190,atgoffa,忘記,verbs,0.1
191,anniben,清潔,adjectives,0.09
192,codi,運輸,verbs,0.88
193,cardbord,紙,nouns,2.42
194,bydysawd,天空,nouns,1.49
195,miniog,平滑,adjectives,0.15
196,atwrnai,律師,nouns,4.33
197,hynafol,新,adjectives,0.09
198,canol,一餐,nouns,0.0
199,rhwygo,穿,verbs,0.0
200,torri,打碎,verbs,4.2
201,modur,汽車,nouns,5.5
202,afal,飲食,nouns,0.63
203,symbol,標誌,nouns,4.11
204,mintys poethion,口香糖,nouns,0.38
205,goleddfu,偏見,verbs,3.68
206,cab,車,nouns,4.14
207,deintydd,上校,nouns,0.04
208,llawr,天花板,nouns,0.23
209,tywydd,雪,nouns,0.78
210,bara,小麥粉,nouns,0.82
211,siwr,自信,adjectives,4.34
212,pensil,故事,nouns,0.15
213,pîn-afal,手機,nouns,0.0
214,targed,箭頭,nouns,0.8
215,bregus,冷淡,adjectives,0.1
216,offeiriad,天神,nouns,0.72
217,twrci,母雞,nouns,2.09
218,rhybuddio,停,verbs,0.74
219,yn anarferol,一般,adverbs,0.15
220,danfon,出席,verbs,0.09
221,dechrau,戒除,verbs,0.04
222,yfory,今晚,adverbs,0.34
223,yn annheg,不合理,adverbs,3.93
224,asgwrn,肌肉,nouns,0.38
225,llwy,杯子,nouns,1.0
226,pla,農藥,nouns,0.81
227,brawdgarwch,門,nouns,0.0
228,cyrnol,牙醫,nouns,0.04
229,presenoldeb,門,nouns,0.0
230,adeiladwaith,毀滅,nouns,0.18
231,cegin,洗手間,nouns,0.63
232,adeilad,房間,nouns,0.69
233,wythnos,週末,nouns,2.21
234,asgwrn cefn,頸,nouns,1.63
235,cyfnos,傍晚,nouns,4.31
236,plisman,警長,nouns,3.06
237,blodyn,燈泡,nouns,0.3
238,datgelwyd,冚住,adjectives,0.04
239,yn ystyrlon,特別,adverbs,1.05
240,balch,傷心,adjectives,0.1
241,benthyg,保持,verbs,0.1
242,diflannu,消逝,verbs,4.97
243,diog,珍貴,adjectives,0.04
244,eliffant,指南針,nouns,0.04
245,bwthyn,小木屋,nouns,3.29
246,llywydd,相機,nouns,0.0
247,canwr,員工,nouns,0.18
248,darllenydd,作者,nouns,0.38
249,ras,週末,nouns,0.0
250,ffoi,逃走,verbs,5.18
251,archeoleg,人類學,nouns,1.98
252,diymhongar,羞愧,adjectives,0.18
253,duw,心靈,nouns,0.65
254,personol,私人,adjectives,3.81
255,negyddol,從未,adjectives,0.66
256,cwympo,傷害,verbs,0.98
257,yn amlwg,本地,adverbs,0.09
258,busnes,公司,nouns,3.01
259,newynog,累,adjectives,0.38
260,cwch,樹,nouns,0.04
261,dathlu,使驚奇,verbs,0.04
262,lladd,毀滅,verbs,2.69
263,brechdan,午飯,nouns,1.01
264,gwehyddu,移動,verbs,0.0
265,cyfoeth,貧困,nouns,0.34
266,braich,手腕,nouns,1.02
267,anghwrtais,噪,adjectives,0.38
268,corn,鼓,nouns,0.43
269,nodadwy,明顯,adjectives,4.5
270,penderfynu,判斷,verbs,2.9
271,magma,火山,nouns,1.96
272,siarad,聽見,verbs,0.44
273,gwn,戲法,nouns,0.0
274,atgoffa,賣,verbs,0.0
275,byddin,軍團,nouns,3.43
276,gyrrwr,飛行員,nouns,3.37
277,blaen,手指,nouns,0.37
278,tybio,假扮,verbs,0.57
279,cyw iâr,牛扒,nouns,0.49
280,llenyddiaeth,書,nouns,2.65
281,poblogaidd,聞名,adjectives,1.99
282,diniwed,自由,adjectives,0.0
283,awyr,陽光,nouns,0.8
284,cyfrifiadur,磁盘,nouns,1.04
285,crwm,歪斜,adjectives,2.73
286,glo,木炭,nouns,3.28
287,da,辣,adjectives,0.04
288,nendwr,宮殿,nouns,0.24
289,mwgwd,派對,nouns,0.29
290,ffin,分界線,nouns,3.92
291,gofal,謹慎,nouns,3.5
292,rhadlon,進來,adjectives,0.04
293,cangen,手臂,nouns,0.6
294,cydnabod,說話,verbs,0.38
295,gair,字典,nouns,1.21
296,castell,壁,nouns,0.43
297,saws,蘋果,nouns,0.38
298,bachgen,狀態,nouns,0.04
299,petrusgar,憤怒,adjectives,0.23
300,llyn,雲,nouns,0.33
301,pêl-droed,有趣,nouns,0.33
302,delwedd,主意,nouns,0.49
303,anaml,平時,adverbs,0.1
304,cryfder,威力,nouns,3.93
305,sgïo,滑雪板,nouns,1.31
306,anaeddfed,長大,adjectives,0.1
307,tymor,半學年,nouns,4.63
308,troelli,混合,verbs,3.73
309,emyn,征服,nouns,0.0
310,ceisio,說服,verbs,0.04
311,melys,電動,adjectives,0.0
312,lleoli,搵到,verbs,1.08
313,tram,火車,nouns,2.82
314,anhawster,努力,nouns,0.65
315,marw,埋葬,verbs,1.05
316,llwch,掃帚,nouns,0.56
317,drwg  ,極好,adjectives,0.04
318,cymryd rhan,說,verbs,0.0
319,yn fras,不耐煩地,adverbs,0.38
320,geiriadur,字,nouns,1.21
321,gwadu,接受,verbs,0.6
322,machlud haul,傍晚,nouns,3.53
323,enfawr,天文,adjectives,0.38
324,cyfrwys,奇怪,adjectives,0.41
325,hwyl,遊戲,nouns,0.82
326,trosedd,攻擊,nouns,1.6
327,tŷ,地毯,nouns,0.38
328,corwynt,暴風雨,nouns,3.24
329,parêd,人群,nouns,1.45
330,cwyno,帶來,verbs,0.0
331,yn oddefol,靜靜地,adverbs,0.92
332,cyfreithiol,允許,adjectives,2.92
333,bys,腳趾,nouns,0.37
334,system,故障,nouns,0.04
335,lluosi,除,verbs,0.39
336,dewis,挑選,verbs,4.33
337,mathemategydd,節目,nouns,0.04
338,caniataëdig,合法,adjectives,2.92
339,yn angheuol,高高興興地,adverbs,0.04
340,rhagfarn,沙文主義,nouns,2.94
341,dwywaith,一次,adverbs,0.39
342,cig,麵包,nouns,0.28
343,tad,女兒,nouns,0.72
344,cyhoeddi,通知,verbs,4.73
345,masarnen,橡木,nouns,2.35
346,gwely,毯子,nouns,0.64
347,cadw,給,verbs,0.14
348,cwningen,貓,nouns,1.32
349,tymer,醫生,nouns,0.18
350,dosbarthu,攜帶,verbs,3.04
351,caniatáu,讓,verbs,2.36
352,gair,習語,nouns,1.4
353,casáu,喜愛,verbs,0.09
354,arall,相反,adjectives,0.59
355,gwybod,理解,verbs,2.65
356,amgueddfa,薄荷,nouns,0.04
357,sinematograffeg,導演,nouns,1.08
358,offeiriad,預言家,nouns,0.97
359,gwael,自豪,adjectives,0.05
360,yn weithredol,高高興興,adverbs,0.46
361,sero,無窮,nouns,0.23
362,beirniadaeth,爭論,nouns,1.98
363,canfod,聽,verbs,0.6
364,wagen,容器,nouns,0.04
365,mynd  ,發送,verbs,0.55
366,rhyfedd,正常,adjectives,0.09
367,arbennig,有價值,adjectives,1.36
368,llythyr,段,nouns,0.45
369,symud,編織,verbs,0.0
370,gofyn,幫忙,verbs,0.15
371,ymgeisio,打算,verbs,0.83
372,hysteria,混亂,nouns,2.13
373,olew,貂,nouns,0.04
374,maes awyr,飛機,nouns,1.27
375,cythraul,天使,nouns,0.18
376,derbyn,推介,verbs,0.2
377,deiet,沙拉,nouns,0.68
378,machlud haul,日出,nouns,0.87
379,ecosystem,經濟,nouns,0.18
380,awyren,直升機,nouns,2.69
381,cwch,甲板,nouns,1.05
382,soffa,椅子,nouns,2.84
383,gwawr,晚上,nouns,0.38
384,sylweddol,次要,adjectives,0.14
385,ysgol,法律,nouns,0.33
386,dwywaith,總是,adverbs,0.34
387,wylo,哭,verbs,5.28
388,diflas,累,adjectives,0.39
389,enfawr,小,adjectives,0.1
390,ffens,跳躍,nouns,0.0
391,fel arfer,真誠地,adverbs,0.43
392,ffrog,舞蹈,nouns,0.15
393,cig eidion,肉,nouns,3.04
394,siarad,承認,verbs,0.38
395,cwmpawd,大象,nouns,0.04
396,coron,锁匙,nouns,0.04
397,ciwb,玩具,nouns,0.14
398,plymio,創建,verbs,0.04
399,twll,妻子,nouns,0.0
400,gair,文學,nouns,1.92
401,gwartheg,乳酪,nouns,0.23
402,dechrau,走,verbs,0.2
403,gwallgof,高興,adjectives,0.28
404,doethineb,智力,nouns,3.7
405,llinyn,日落,nouns,0.0
406,gogledd,南,nouns,1.04
407,heno,明天,adverbs,0.34
408,ysgwydd,身體,nouns,0.71
409,byddin,海軍,nouns,3.58
410,cwch,車,nouns,0.63
411,fector,矩陣,nouns,0.93
412,cyffredin,冷,adjectives,0.0
413,buddugoliaeth,凱旋,nouns,3.93
414,gwely,醫院,nouns,0.48
415,hawdd,生硬,adjectives,0.0
416,pêl,排球,nouns,2.79
417,dde,正義,nouns,0.33
418,gweithiwr,辦公室,nouns,0.53
419,gwisgedig,冚住,adjectives,1.03
420,cân,故事,nouns,0.58
421,pobl,槍,nouns,0.33
422,barnwr,法庭,nouns,0.91
423,croen,自行車,nouns,0.04
424,tywysoges,餅乾,nouns,0.0
425,car,船,nouns,0.63
426,anghwrtais,批評,adjectives,0.82
427,llonydd,輕鬆,adjectives,0.64
428,hyblyg,謙虛,adjectives,0.34
429,ffasiwn,模式,nouns,0.05
430,yn sicr,有時,adverbs,0.0
431,ecsema,皮炎,nouns,3.76
432,o ddifrif,重要的,adverbs,2.5
433,pwrs,袋,nouns,2.22
434,stryd,汽車,nouns,0.67
435,deallusrwydd,邏輯,nouns,2.41
436,mam,朋友,nouns,0.78
437,car,喇叭,nouns,0.29
438,hen,新,adjectives,0.09
439,trafod,說明,verbs,1.21
440,cynnig,貢獻,nouns,2.55
441,tywydd,雲,nouns,0.82
442,tagu,呼吸,verbs,0.92
443,awyren,大薄片,nouns,0.36
444,bedd,重新安葬,nouns,1.0
445,diymhongar,靈活,adjectives,0.34
446,braich,骨頭,nouns,0.98
447,ffôl,笨,adjectives,4.77
448,absenoldeb,在场,nouns,0.54
449,yn gyfan gwbl,全然地,adverbs,4.79
450,misol,每週,adjectives,1.18
451,maddau,赦免,verbs,2.65
452,fel arfer,不定期地,adverbs,0.23
453,deallusrwydd,無知,nouns,0.1
454,gitâr,鱒魚,nouns,0.0
455,croes,僧侣,nouns,0.39
456,bychanu,安慰,verbs,0.0
457,stôl,椅子,nouns,3.63
458,cyfarfod,聚集,verbs,0.81
459,erthygl,雜誌,nouns,2.58
460,barn,選擇,nouns,1.01
461,dianc,逃跑,verbs,5.18
462,yn heddychlon,混亂,adverbs,0.0
463,balch ,堅強,adjectives,0.53
464,yn weithredol,被動地,adverbs,0.04
465,ffenestr,屋頂,nouns,0.42
466,carped,屋,nouns,0.38
467,cyfaddef,否認,verbs,0.04
468,cnoi,搏鬥,verbs,0.28
469,allwedd,王冠,nouns,0.04
470,etholiad,選擇,nouns,2.63
471,chwim,快,adjectives,5.38
472,cyflwr,男孩,nouns,0.04
473,yn falch,和平地,adverbs,0.33
474,cyd-beilot,警察,nouns,0.1
475,twp,笨,adjectives,5.29
476,gorllewin,北,nouns,0.6
477,brwnt,黏,adjectives,0.57
478,aderyn,鷹,nouns,2.78
479,nos,白天,nouns,0.24
480,cryndod,地震,nouns,3.42
481,dewis,選舉,nouns,2.63
482,gadael,參加,verbs,0.05
483,diangen,必須,adjectives,0.04
484,eira,風暴,nouns,0.92
485,ffynnu,嘗試,verbs,0.63
486,blaengau,努力,verbs,0.15
487,diafol,天神,nouns,0.45
488,crebachu,消失,verbs,1.42
489,gwrthod,譴責,verbs,0.15
490,anobaith,苦難,nouns,3.42
491,dadlau,出席,verbs,0.04
492,rheoli,停止,verbs,0.43
493,rheoli,老鼠,nouns,0.04
494,caets,柵欄,nouns,0.33
495,lluwchwynt,雨,nouns,1.63
496,yn feirniadol,實質上,adverbs,0.28
497,cul,寬大,adjectives,0.14
498,seiclon,颱風,nouns,3.5
499,potel,容器,nouns,2.83
500,hyrwyddo,前進,verbs,1.46
501,cyfarch,見面,verbs,0.96
502,tun,鋁,nouns,2.19
503,yn gywir,積極地,adverbs,0.95
504,anwybyddu,問,verbs,0.0
505,liberti,自由,nouns,5.12
506,pren,原木,nouns,4.17
507,meddu ,保持,verbs,2.08
508,gorsedd,劍,nouns,0.35
509,gadael,到達,verbs,0.05
510,ifanc,焦躁不安,adjectives,0.2
511,dŵr,乾旱,nouns,0.05
512,arbed,毀滅,verbs,0.1
513,ansicr,黏人,adjectives,0.63
514,sibrwd,說話,verbs,1.69
515,nofio,見面,verbs,0.04
516,methiant,破產,nouns,0.95
517,coflaid,扼殺,verbs,0.15
518,gwych,愉快,adjectives,2.76
519,ffantasi,現實,nouns,0.67
520,adfer,代替,verbs,0.46
521,nenfwd,大教堂,nouns,0.1
522,salwch,癌症,nouns,3.37
523,cytundeb,洞,nouns,0.0
524,cath,寵物,nouns,2.71
525,dosbarth,大學,nouns,0.65
526,unig,貧窮,adjectives,0.1
527,corff,肩,nouns,0.71
528,newydd,舊,adjectives,0.09
529,arbed,花费,verbs,0.05
530,angor,船,nouns,0.82
531,ffrind,老師,nouns,0.76
532,diflas,刺激,adjectives,0.23
533,ceisio,成功,verbs,0.54
534,tad,哥哥,nouns,1.27
535,fflora,大自然,nouns,1.64
536,cyrraedd,離開,verbs,0.05
537,hurt,稀罕,adjectives,0.14
538,ceisio,想,verbs,0.52
539,gwleidydd,警察,nouns,0.15
540,bowliwr,保齡球,nouns,1.56
541,yn gynnil,大聲地,adverbs,0.04
542,lluosiad,除法,nouns,1.35
543,ymddangos,成為,verbs,0.79
544,car,單車,nouns,1.33
545,anghofio,保留,verbs,0.04
546,gwraig,母親,nouns,2.27
547,cytundeb,爭論,nouns,0.14
548,amherchnogi,給,verbs,0.55
549,brwydro,不同意,verbs,0.45
550,côn,杯子,nouns,0.15
551,rhedeg,騎,verbs,0.14
552,yn llwyr,完全地,adverbs,4.79
553,niwl,雲,nouns,2.83
554,weithiau,一致地,adverbs,0.04
555,modur,引擎,nouns,4.22
556,sgrîn,音系學,nouns,0.0
557,esgusodi,原諒,verbs,2.65
558,gwaed,骨髓,nouns,0.62
559,pathogen,病菌,nouns,3.6
560,llyfr,主題,nouns,0.33
561,prynu,偷,verbs,0.05
562,creu,毀滅,verbs,0.1
563,gaeaf,夏天,nouns,0.49
564,casáu,蔑視,verbs,2.12
565,gwely,房間,nouns,0.33
566,derbyn,攞,verbs,2.88
567,ystafell ddosbarth,走廊,nouns,0.2
568,rhoi,掛,verbs,0.51
569,dimai,尺寸,nouns,0.04
570,anwybyddu,打印,verbs,0.0
571,meddal,暴力,adjectives,0.0
572,cerdyn,橋,nouns,0.0
573,pur,謙虛,adjectives,0.79
574,caban,茅屋,nouns,3.29
575,swper,餐,nouns,3.06
576,yn fras,大致,adverbs,0.88
577,papur lapio,港口,nouns,0.04
578,stopio,禁止,verbs,3.27
579,dewis,監獄,nouns,0.0
580,tacsi,的士,nouns,5.85
581,tristwch,幸福,nouns,0.29
582,ergyd,陷害,nouns,0.14
583,gwm,薄荷,nouns,0.38
584,gwybod,忘記,verbs,0.1
585,lamp,精靈,nouns,0.09
586,ymadrodd,字,nouns,1.4
587,blin,開心,adjectives,0.18
588,monitor,螢幕,nouns,0.53
589,ffilm,電影,nouns,4.32
590,planed,星星,nouns,2.15
591,stumog,睡房,nouns,0.04
592,ardal,角,nouns,0.49
593,ffenestr,門,nouns,0.77
594,eang,窄小,adjectives,0.14
595,esgob,大主教,nouns,3.54
596,golau,鍵盤,nouns,0.09
597,newyddiadurwr,詩人,nouns,0.24
598,lemwn,蘋果,nouns,0.92
599,trosedd,盜竊,nouns,2.73
600,llwybr,隧道,nouns,0.91
601,hyll,粗糙,adjectives,0.46
602,mariwana,草藥,nouns,2.04
603,yn gyfrinachgar,明顯地,adverbs,0.04
604,yn bwysig,真實地,adverbs,0.57
605,afiechyd,危險,nouns,0.46
606,perllan,鴕鳥,nouns,0.0
607,synnwyr,直覺,nouns,3.94
608,coginio,炒,verbs,1.41
609,salwch,傳染病,nouns,3.89
610,cyfiawnhau,校驗,verbs,0.39
611,gynfad,海岸,nouns,0.1
612,gwddf,脊柱,nouns,1.63
613,traeth,島,nouns,0.96
614,cig,三明治,nouns,0.24
615,llawdriniaeth,心臟,nouns,0.46
616,derbyn,同意,verbs,3.35
617,bwcler,屏蔽,nouns,0.93
618,cwympo,絆倒,verbs,4.44
619,crwt,女兒,nouns,1.55
620,diod,啤酒,nouns,2.29
621,gadael,進入,verbs,0.15
622,band,管弦樂隊,nouns,3.37
623,cytuno,不同,verbs,0.04
624,organ,肝臟,nouns,2.12
625,cynffon,章,nouns,0.04
626,cymryd,謝絕,verbs,0.05
627,llyfr,意外,nouns,0.0
628,hael,友善,adjectives,1.94
629,cynffon,碗,nouns,0.0
630,eilradd,重大,adjectives,0.14
631,pêl-fas,兄弟會,nouns,0.14
