ID,ENG,FRA,PoS,score
1721,home,à l'extérieur,adverbs,1.05
1722,modest,pur,adjectives,1.07
1723,polyhedron,acteur,nouns,0.04
1724,take,porter,verbs,1.41
1725,friend,mère,nouns,1.46
1726,basilica,mosaïque,nouns,0.59
1727,hurricane,orage,nouns,3.46
1728,carpet,maison,nouns,0.69
1729,misery,désespoir,nouns,4.2
1730,reliably,passivement,adverbs,0.35
1731,philosopher,course,nouns,0.15
1732,number,chiffre,nouns,5.18
1733,cigar,boîte,nouns,0.77
1734,chess,échouage,nouns,0.88
1735,clever,stupide,adjectives,0.79
1736,stink,sentir,verbs,3.81
1737,sea,océan,nouns,4.97
1738,appear,assister,verbs,1.02
1739,bottle,pot,nouns,3.21
1740,plate,bol,nouns,2.22
1741,hole,accord,nouns,0.0
1742,rare,stupide,adjectives,0.15
1743,clearly,certainement,adverbs,3.7
1744,wrapper,port,nouns,0.45
1745,soccer,football,nouns,4.87
1746,people,centime,nouns,0.05
1747,rinse,laver,verbs,4.24
1748,globe,monde,nouns,4.4
1749,bold,fier,adjectives,2.19
1750,satisfy,saisir,verbs,0.42
1751,suspect,homme,nouns,0.82
1752,deteriorate,essuyer,verbs,0.2
1753,smell,gâcher,verbs,0.14
1754,alike,similaire,adjectives,5.57
1755,define,clarifier,verbs,3.67
1756,management,emploi,nouns,1.53
1757,precisely,inexactement,adverbs,0.79
1758,stop,conduire,verbs,0.75
1759,bath,astuce,nouns,0.0
1760,aid,assister,verbs,5.46
1761,intuition,sentiment,nouns,4.35
1762,lower,réduire,verbs,4.47
1763,definitely,sûrement,adverbs,5.35
1764,firmly,doucement,adverbs,0.7
1765,ballad,chanson,nouns,4.05
1766,grass,lame,nouns,0.44
1767,precisely,exactement,adverbs,5.52
1768,liberty,liberté,nouns,4.62
1769,motherboard,carte graphique,nouns,3.15
1770,guitar,truite,nouns,0.05
1771,roughly,impatiemment,adverbs,0.94
1772,box,cabine,nouns,1.93
1773,prey,dieu,nouns,0.05
1774,renounce,renier,verbs,3.72
1775,angry,heureux,adjectives,0.74
1776,accurately,activement,adverbs,0.29
1777,uniform,informe,adjectives,0.5
1778,funny,terne,adjectives,0.25
1779,threat,danger,nouns,5.18
1780,hallway,corridor,nouns,5.51
1781,actress,acteur,nouns,4.25
1782,cat,lion,nouns,2.33
1783,accomplish,gagner,verbs,2.19
1784,mixed,combiné,adjectives,4.81
1785,cheerful,délicieux,adjectives,2.0
1786,accuse,reprocher,verbs,4.43
1787,advance,promouvoir,verbs,2.49
1788,recently,concrètement,adverbs,0.15
1789,anatomy,biologie,nouns,3.08
1790,plant,agriculture,nouns,1.56
1791,floor,terrasse,nouns,2.34
1792,basket,ballon,nouns,0.65
1793,succeed,atteindre,verbs,3.86
1794,fire,apocalypse,nouns,1.04
1795,leave,arriver,verbs,0.24
1796,do,se produire,verbs,1.25
1797,island,marine,nouns,0.65
1798,bath,pièce,nouns,0.82
1799,acetylcholine,iris,nouns,nan
1800,swear,promettre,verbs,5.13
1801,put,pendre,verbs,0.89
1802,terminally,principalement,adverbs,0.04
1803,course,estomac,nouns,0.1
1804,ceiling,toit,nouns,4.04
1805,theory,chimie,nouns,1.09
1806,achieve,recevoir,verbs,0.19
1807,sunset,chaîne,nouns,0.0
1808,mark,club,nouns,0.25
1809,box,source,nouns,0.0
1810,college,profession,nouns,0.79
1811,salt,eau,nouns,0.72
1812,increase,croître,verbs,5.27
1813,altitude,conversion,nouns,0.2
1814,notify,reconnaître,verbs,1.19
1815,biotope,biologie,nouns,1.4
1816,narrow,blanc,adjectives,0.05
1817,potato,beurre,nouns,0.96
1818,large,énorme,adjectives,4.76
1819,mouse,réceptacle,nouns,0.05
1820,person,animal,nouns,1.06
1821,spring,geyser,nouns,3.38
1822,book,sujet,nouns,0.77
1823,beautifully,élégamment,adverbs,3.56
1824,island,princesse,nouns,0.25
1825,naive,innocent,adjectives,5.07
1826,enter,aller,verbs,2.34
1827,aviation,vol,nouns,2.86
1828,simply,apparemment,adverbs,1.07
1829,big,vaste,adjectives,3.11
1830,announce,déclarer,verbs,5.43
1831,boy,riz,nouns,0.05
1832,month,août,nouns,2.65
1833,sell,aller,verbs,0.2
1834,fragile,frigide,adjectives,0.2
1835,achieve,essayer,verbs,0.89
1836,search,chasser,verbs,2.62
1837,coffee,haricot,nouns,0.69
1838,yogurt,bétail,nouns,0.42
1839,bad,immoral,adjectives,3.96
1840,bargain,centime,nouns,0.27
1841,deserve,gagner,verbs,2.47
1842,band,alcool,nouns,0.15
1843,theory,hypothèse,nouns,4.76
1844,guy,tombeur,nouns,1.69
1845,cattle,boeuf,nouns,3.79
1846,oasis,liberté,nouns,0.35
1847,press,libérer,verbs,0.2
1848,righteously,mûrement,adverbs,1.04
1849,owe,prêter,verbs,0.54
1850,try,atteindre,verbs,0.89
1851,large,flexible,adjectives,0.15
1852,watch,observer,verbs,5.46
1853,size,magnitude,nouns,4.31
1854,honest,coupable,adjectives,0.6
1855,brother,âme,nouns,0.3
1856,course,action,nouns,2.15
1857,dumb,stupide,adjectives,5.69
1858,give,désavouer,verbs,0.14
1859,camp,chalet,nouns,0.99
1860,go,commencer,verbs,1.42
1861,pathogen,germe,nouns,3.93
1862,chocolate,tarte,nouns,1.27
1863,grass,mousse,nouns,2.21
1864,glare,loucher,verbs,0.69
1865,think,décider,verbs,2.12
1866,smash,briser,verbs,4.33
1867,circumnavigation,bagage,nouns,0.57
1868,receive,donner,verbs,0.79
1869,neck,colonne vertébrale,nouns,2.12
1870,radiator,capteur,nouns,0.61
1871,storm,ouragan,nouns,3.46
1872,leave,aller,verbs,4.44
1873,sweater,veste,nouns,3.12
1874,key,maison,nouns,0.86
1875,want,désirer,verbs,5.66
1876,cinnamon,bonbon,nouns,0.86
1877,era,décennie,nouns,2.48
1878,elephant,dinosaure,nouns,0.96
1879,never,plus tard,adverbs,1.27
1880,wash,rincer,verbs,4.24
1881,log,bois,nouns,3.21
1882,hurry,se ruer,verbs,5.0
1883,surely,évidemment,adverbs,3.75
1884,opening,brèche,nouns,4.86
1885,thread,brin,nouns,3.16
1886,chair,canapé,nouns,3.09
1887,retain,oublier,verbs,0.75
1888,strive,saisir,verbs,0.4
1889,hallway,salle de cours,nouns,0.64
1890,exam,programme,nouns,1.36
1891,therapy,comportementalisme,nouns,1.57
1892,organize,collecter,verbs,1.35
1893,announce,proclamer,verbs,5.42
1894,camera,ouvrier,nouns,0.05
1895,rationalize,débattre,verbs,2.67
1896,bad,génial,adjectives,0.34
1897,bicycle,chambre à coucher,nouns,0.05
1898,mediocre,ennuyeux,adjectives,2.48
1899,run,chevaucher,verbs,0.94
1900,wonderful,délicieux,adjectives,4.35
1901,examine,inspecter,verbs,5.4
1902,home,état,nouns,0.32
1903,choice,chapitre,nouns,0.4
1904,prohibit,arrêter,verbs,3.02
1905,dirty,incroyable,adjectives,0.35
1906,teacher,rabbin,nouns,1.91
1907,story,crayon,nouns,0.2
1908,recently,dernièrement,adverbs,5.22
1909,bull,veau,nouns,2.36
1910,firmly,solidement,adverbs,4.58
1911,save,protéger,verbs,3.28
1912,balloon,peuple,nouns,0.0
1913,rare,rare,adjectives,4.35
1914,plane,feuille,nouns,0.05
1915,carefully,dangereusement,adverbs,0.4
1916,teeth,marteau,nouns,0.0
1917,cabin,campement,nouns,0.99
1918,automobile,voiture,nouns,5.85
1919,borrow,supplier,verbs,1.13
1920,surely,certainement,adverbs,5.35
1921,escape,trouver,verbs,0.3
1922,elbow,os,nouns,1.65
1923,ceiling,cathédrale,nouns,0.25
1924,hit,attirer,verbs,0.55
1925,term,semestre,nouns,4.35
1926,purely,complètement,adverbs,2.75
1927,shrink,disparaître,verbs,1.44
1928,spoon,tasse,nouns,1.29
1929,hymn,conquête,nouns,0.4
1930,cannon,ballon,nouns,0.76
1931,known,bon,adjectives,0.92
1932,cardboard,papier,nouns,3.39
1933,conversation,communication,nouns,4.01
1934,hen,oiseau,nouns,2.27
1935,disease,danger,nouns,0.85
1936,destroy,sauver,verbs,0.6
1937,straw,femme,nouns,0.0
1938,news,éditorial,nouns,2.66
1939,foot,main,nouns,1.75
1940,peacefully,fièrement,adverbs,0.6
1941,judge,décider,verbs,3.79
1942,nihilism,film,nouns,0.15
1943,baseball,fraternité,nouns,0.2
1944,waist,repas,nouns,0.15
1945,animal,personne,nouns,1.06
1946,think,se renseigner,verbs,1.1
1947,coronation,eau,nouns,0.25
1948,meal,taille,nouns,0.15
1949,harbor,emballage,nouns,0.45
1950,check,échec,nouns,0.88
1951,calm,détendu,adjectives,5.38
1952,erode,permettre,verbs,0.15
1953,lose,obtenir,verbs,0.7
1954,literature,livre,nouns,2.87
1955,whenever,parfois,adverbs,0.52
1956,scared,incertain,adjectives,0.98
1957,happy,enjoué,adjectives,4.91
1958,private,personnel,adjectives,4.66
1959,imitate,capturer,verbs,0.36
1960,roof,plafond,nouns,4.04
1961,job,gestion,nouns,1.53
1962,museum,menthe,nouns,0.04
1963,journalist,poète,nouns,1.21
1964,lawyer,procureur,nouns,3.05
1965,army,légion,nouns,3.42
1966,regular,moyen,adjectives,3.8
1967,weak,puissant,adjectives,0.74
1968,sky,rêve,nouns,0.48
1969,dinner,poulet,nouns,1.19
1970,demand,réprimander,verbs,0.49
1971,sea,rivière,nouns,2.09
1972,lawyer,galerie,nouns,0.05
1973,realistically,récemment,adverbs,0.15
1974,innovative,créatif,adjectives,5.07
1975,stumble,tomber,verbs,3.92
1976,obviously,sûrement,adverbs,3.75
1977,lie,accuser,verbs,0.57
1978,monastery,douche,nouns,0.1
1979,juice,cuillère,nouns,0.5
1980,bush,fleur,nouns,2.05
1981,balloon,bain,nouns,0.1
1982,require,organiser,verbs,0.2
1983,reliably,grossièrement,adverbs,0.45
1984,cathedral,plafond,nouns,0.25
1985,win,battre,verbs,3.49
1986,leave,rester,verbs,0.96
1987,ugly,désordonné,adjectives,0.68
1988,catch,chasser,verbs,1.12
1989,tail,falaise,nouns,0.05
1990,mix,remuer,verbs,4.21
1991,maturely,justement,adverbs,1.04
1992,awareness,attention,nouns,3.71
1993,sociobiology,mutant,nouns,0.25
1994,argue,persuader,verbs,1.48
1995,danger,menace,nouns,5.18
1996,seriously,sincèrement,adverbs,1.98
1997,choose,décider,verbs,4.63
1998,steeple,chapelle,nouns,2.12
1999,unnaturally,naturellement,adverbs,0.79
2000,historian,historiographe,nouns,3.92
2001,attention,conscience,nouns,3.71
2002,worker,bureau,nouns,0.57
2003,chapter,choix,nouns,0.4
2004,pursue,persuader,verbs,0.39
2005,hug,câliner,verbs,5.24
2006,clarify,définir,verbs,3.67
2007,scientist,infirmier,nouns,0.81
2008,receive,atteindre,verbs,0.19
2009,inform,polir,verbs,0.1
2010,highway,route,nouns,3.75
2011,personal,privé,adjectives,4.66
2012,importantly,sérieusement,adverbs,2.01
2013,change,altérer,verbs,5.56
2014,fall,trébucher,verbs,3.92
2015,judge,magistrat,nouns,4.74
2016,helper,enseignant,nouns,2.33
2017,friend,professeur,nouns,0.85
2018,expand,croître,verbs,4.75
2019,remain,retenir,verbs,1.19
2020,proud,triste,adjectives,0.65
2021,tough,facile,adjectives,0.74
2022,poet,journaliste,nouns,1.21
2023,celebrate,surprendre,verbs,0.69
2024,cable,sorcier,nouns,0.0
2025,precious,paresseux,adjectives,0.1
2026,seem,prétendre,verbs,1.69
2027,accept,recevoir,verbs,2.38
2028,dinner,repas,nouns,3.56
2029,globalism,visa,nouns,0.79
2030,cheap,sale,adjectives,0.19
2031,beg,demander,verbs,3.11
2032,doctor,caractère,nouns,0.0
2033,great,mal,adjectives,0.34
2034,yell,débattre,verbs,1.94
2035,pie,chocolat,nouns,1.27
2036,prove,débattre,verbs,2.23
2037,funny,triste,adjectives,0.71
2038,dishonest,véridique,adjectives,0.54
2039,table,coucher de soleil,nouns,0.0
2040,instantly,autrefois,adverbs,1.04
2041,accomplish,réussir,verbs,5.29
2042,rough,frigide,adjectives,0.15
2043,bury,mourir,verbs,1.49
2044,crib,berceau,nouns,5.52
2045,safe,légal,adjectives,1.44
2046,vomit,fermer,verbs,0.05
2047,accurately,précisément,adverbs,5.52
2048,apocalypse,feu,nouns,1.04
2049,drizzle,pluie,nouns,3.96
2050,arm,veine,nouns,0.79
2051,robotics,simulation,nouns,1.25
2052,new,frais,adjectives,3.54
2053,birthday,anniversaire,nouns,2.29
2054,competence,aptitude,nouns,5.21
2055,rhythm,arithmétique,nouns,0.1
2056,happen,faire,verbs,1.25
2057,bacon,petit déjeuner,nouns,1.11
2058,pretend,imaginer,verbs,2.19
2059,men,fraternité,nouns,1.25
2060,aggressive,grossier,adjectives,1.96
2061,fully,au fond,adverbs,0.74
2062,motor,turbine,nouns,3.5
2063,justify,débattre,verbs,2.79
2064,gulp,siroter,verbs,2.17
2065,critical,grossier,adjectives,0.77
2066,north,ouest,nouns,1.75
2067,amazingly,fantastiquement,adverbs,5.19
2068,messy,propre,adjectives,0.79
2069,agreement,pacte,nouns,5.3
2070,specially,significativement,adverbs,2.11
2071,teach,punir,verbs,0.35
2072,old,frais,adjectives,0.19
2073,sly,intelligent,adjectives,2.41
2074,race,week-end,nouns,0.25
2075,peacefully,chaotiquement,adverbs,0.54
2076,never,négatif,adjectives,0.96
2077,explain,clarifier,verbs,5.23
2078,champion,gagnant,nouns,5.07
2079,cursor,frites,nouns,0.1
2080,give,recevoir,verbs,0.79
2081,belief,opinion,nouns,4.21
2082,involve,inclure,verbs,4.25
2083,skirt,montre,nouns,0.35
2084,people,pistolet,nouns,0.2
2085,sister,frère,nouns,2.4
2086,sincerely,sérieusement,adverbs,1.98
2087,bath,journal,nouns,0.0
2088,strange,bizarre,adjectives,5.69
2089,clean,impeccable,adjectives,5.39
2090,sailor,capitaine,nouns,2.74
2091,please,plaider,verbs,0.46
2092,grief,agonie,nouns,2.67
2093,telephone,cabine,nouns,1.02
2094,stop,siffler,verbs,0.25
2095,shower,couvent,nouns,0.1
2096,mountain,corniche,nouns,1.27
2097,umbrella,calibre,nouns,0.05
2098,trout,guitare,nouns,0.05
2099,burn,étouffer,verbs,0.35
2100,obvious,apparent,adjectives,4.63
2101,seldom,souvent,adverbs,0.96
2102,car,taxi,nouns,3.42
2103,infection,inflexion,nouns,0.15
2104,people,fête,nouns,0.94
2105,criticism,dispute,nouns,2.33
2106,house,tapis,nouns,0.69
2107,earn,mériter,verbs,2.47
2108,nail,tête,nouns,0.6
2109,foot,base,nouns,2.74
2110,anxious,impatient,adjectives,2.04
2111,manuscript,article,nouns,2.07
2112,happy,furieux,adjectives,0.65
2113,bird,poule,nouns,2.27
2114,flu,fièvre,nouns,2.56
2115,lamb,mouton,nouns,4.67
2116,wife,trou,nouns,0.1
2117,log,bois,nouns,3.04
2118,arrest,suspecter,verbs,0.88
2119,butterfly,rose,nouns,0.35
2120,expensive,timide,adjectives,0.1
2121,lend,donner,verbs,3.29
2122,disease,infection,nouns,3.87
2123,easy,flexible,adjectives,1.83
2124,daughter,gamin,nouns,1.55
2125,cable,chapelle,nouns,0.05
2126,daughter,bébé,nouns,2.23
2127,age,beauté,nouns,0.67
2128,film,nihilisme,nouns,0.15
2129,acquire,joindre,verbs,0.76
2130,hero,héroïne,nouns,3.96
2131,blame,accuser,verbs,4.43
2132,scared,timide,adjectives,1.79
2133,mist,nuage,nouns,3.08
2134,plead,satisfaire,verbs,0.46
2135,please,satisfaire,verbs,4.05
2136,chase,suivre,verbs,2.78
2137,party,gens,nouns,0.94
2138,task,autoroute,nouns,0.05
2139,cheerful,heureux,adjectives,4.91
2140,acoustics,son,nouns,3.7
2141,sultan,ministère,nouns,0.66
2142,star,intensité,nouns,0.96
2143,neurosis,esprit,nouns,1.27
2144,die,enterrer,verbs,1.49
2145,battery,théâtre,nouns,0.05
2146,staff,chanteur,nouns,0.2
2147,minor,important,adjectives,0.74
2148,telescope,chaise,nouns,0.2
2149,rude,bruyant,adjectives,1.19
2150,bone,coude,nouns,1.65
2151,prestige,richesse,nouns,2.16
2152,broad,étroit,adjectives,0.59
2153,terminally,différemment,adverbs,0.04
2154,ordinary,incroyable,adjectives,0.69
2155,push,critiquer,verbs,0.2
2156,couch,baseball,nouns,0.05
2157,forget,apprendre,verbs,0.79
2158,pencil,histoire,nouns,0.2
2159,cautiously,soigneusement,adverbs,4.04
2160,information,livre,nouns,1.56
2161,campaign,singe,nouns,0.05
2162,muslim,évêque,nouns,0.96
2163,daily,normalement,adverbs,2.41
2164,gullible,stupide,adjectives,3.29
2165,freedom,possibilité,nouns,4.62
2166,crochet,uniforme,nouns,0.05
2167,negative,jamais,adjectives,0.96
2168,motor,bateau,nouns,1.21
2169,squad,armée,nouns,2.26
2170,difficulty,effort,nouns,3.46
2171,money,perle,nouns,0.92
2172,take,voler,verbs,2.69
2173,jar,bouteille,nouns,3.21
2174,baby,fille,nouns,2.23
2175,pollution,président,nouns,0.36
2176,learn,oublier,verbs,0.79
2177,fame,richesse,nouns,1.86
2178,movement,activité,nouns,3.44
2179,put,obtenir,verbs,0.29
2180,sheep,agneau,nouns,4.67
2181,cab,voiture,nouns,3.42
2182,essay,livre,nouns,1.15
2183,disown,donner,verbs,0.14
2184,bedroom,vélo,nouns,0.05
2185,fast,rapide,adjectives,5.34
2186,attend,envoyer,verbs,0.25
2187,splash,viscosité,nouns,0.45
2188,fabric,lin,nouns,2.58
2189,pardon,excuser,verbs,5.29
2190,peace,bonheur,nouns,2.76
2191,nice,cruel,adjectives,0.55
2192,director,patron,nouns,2.79
2193,necessarily,fondamentalement,adverbs,4.03
2194,necessary,essentiel,adjectives,5.34
2195,fun,football,nouns,0.35
2196,care,attention,nouns,4.54
2197,deny,mentir,verbs,1.82
2198,log,bain,nouns,0.0
2199,persuade,se disputer,verbs,1.48
2200,mind,cerveau,nouns,3.56
2201,bring,restaurer,verbs,0.17
2202,arm,branche,nouns,1.31
2203,aggression,hostilité,nouns,4.09
2204,dumb,intelligent,adjectives,0.79
2205,argue,se plaindre,verbs,1.9
2206,conquest,bataille,nouns,2.87
2207,deliver,prendre,verbs,0.76
2208,business,société,nouns,3.39
2209,navy,île,nouns,0.65
2210,copilot,flic,nouns,0.44
2211,help,demander,verbs,0.76
2212,hang,mettre,verbs,0.89
2213,underwear,corps,nouns,1.0
2214,lip,hanche,nouns,0.59
2215,delightful,merveilleux,adjectives,4.35
2216,case,électricité,nouns,0.65
2217,mundane,ordinaire,adjectives,5.44
2218,divide,ajouter,verbs,1.05
2219,gather,assister,verbs,0.62
2220,confident,sûr,adjectives,5.26
2221,cruel,agréable,adjectives,0.55
2222,chauvinist,préjudice,nouns,0.75
2223,apple,régime,nouns,0.79
2224,handle,protéine,nouns,0.1
2225,magistrate,juge,nouns,4.74
2226,necessary,important,adjectives,4.35
2227,remain,partir,verbs,0.96
2228,bury,couvrir,verbs,2.65
2229,bed,berceau,nouns,3.55
2230,mainly,surtout,adverbs,4.74
2231,pen,alphabet,nouns,0.59
2232,tease,blesser,verbs,1.36
2233,engagement,bague,nouns,1.85
2234,immediately,bientôt,adverbs,3.2
2235,complete,fini,adjectives,5.92
2236,acquire,obtenir,verbs,5.35
2237,liquor,siècle,nouns,0.05
2238,satisfy,faire plaisir,verbs,4.05
2239,trick,taille,nouns,0.0
2240,ignore,demander,verbs,0.55
2241,cook,frire,verbs,2.85
2242,subtract,perdre,verbs,2.26
2243,create,faire,verbs,4.95
2244,church,cathédrale,nouns,4.2
2245,bored,terne,adjectives,1.74
2246,strength,persévérance,nouns,3.17
2247,republic,duc,nouns,0.34
2248,obviously,grossièrement,adverbs,0.49
2249,inform,notifier,verbs,5.2
2250,beg,emprunter,verbs,1.13
2251,ankle,fenêtre,nouns,0.0
2252,here,maintenant,adverbs,1.76
2253,incredibly,grandement,adverbs,2.37
2254,ordinary,froid,adjectives,0.2
2255,dream,ciel,nouns,0.48
2256,forgive,pardonner,verbs,5.29
2257,river,ruisseau,nouns,4.06
2258,bible,hymne,nouns,0.73
2259,inaccurately,précisément,adverbs,0.79
2260,aggravate,agresser,verbs,1.07
2261,diet,salade,nouns,1.27
2262,compass,éléphant,nouns,0.0
2263,finished,achevé,adjectives,5.92
2264,dull,ennuyé,adjectives,1.74
2265,bad,affreux,adjectives,3.65
2266,psychology,science,nouns,2.0
2267,calmly,subtilement,adverbs,1.34
2268,ledge,montagne,nouns,1.27
2269,aeronautics,avionique,nouns,3.99
2270,allow,réfuter,verbs,0.25
2271,cooked,bouilli,adjectives,3.22
2272,lens,appareil photo,nouns,1.75
2273,promote,avancer,verbs,2.49
2274,president,élève,nouns,0.6
2275,hit,cadre,nouns,0.1
2276,post,vitesse,nouns,0.0
2277,buddy,ami,nouns,5.26
2278,passive,violent,adjectives,0.35
2279,organize,organiser,verbs,4.99
2280,perception,vision,nouns,4.27
2281,slender,svelte,adjectives,5.49
2282,car,rue,nouns,1.04
2283,flee,s'échapper,verbs,5.25
2284,worker,employeur,nouns,2.09
