ID,ENG,HEB,PoS,score
1332,appear,לעזוב,verbs,0.34
1333,hang,להניח,verbs,0.94
1334,whip,להכות,verbs,3.33
1335,book,סיפור,nouns,1.91
1336,cover,לקבור,verbs,2.35
1337,brightly,מאוד,adverbs,0.42
1338,remind,למכור,verbs,0.0
1339,find,לאבד,verbs,0.5
1340,fun,משחק,nouns,1.46
1341,later,לעולם לא,adverbs,0.62
1342,valuable,מיוחד,adjectives,2.82
1343,liberty,חרות,nouns,5.42
1344,hug,להחזיק,verbs,1.85
1345,map,כיכר,nouns,0.45
1346,replacement,החלפה,nouns,3.4
1347,source,קופסה,nouns,0.0
1348,retreat,לעזוב,verbs,3.16
1349,engagement,טבעת,nouns,1.71
1350,new,לא משומש,adjectives,4.27
1351,cat,עכבר,nouns,0.91
1352,mixed,ישן,adjectives,0.0
1353,honey,מחלבה,nouns,0.41
1354,old,טרי,adjectives,0.54
1355,word,ספרות,nouns,1.56
1356,racket,רעש,nouns,4.13
1357,blood,גוף,nouns,0.71
1358,chemistry,תיאוריה,nouns,0.29
1359,often,לעיתים רחוקות,adverbs,0.67
1360,seem,להפוך,verbs,0.17
1361,give,לדעת,verbs,0.04
1362,wealth,תהילה,nouns,1.46
1363,gather,לאסוף,verbs,4.92
1364,weather,ענן,nouns,1.02
1365,differ,להסכים,verbs,0.59
1366,pen,אלפבית,nouns,0.44
1367,tank,מכונית,nouns,1.06
1368,actively,במדוייק,adverbs,0.69
1369,bone,זרוע,nouns,0.77
1370,decide,לחשוב,verbs,1.22
1371,go,לאפשר,verbs,0.09
1372,wind,סופה,nouns,2.37
1373,aviation,טיסה,nouns,2.91
1374,search,לתשאל,verbs,2.0
1375,glove,כדור,nouns,0.77
1376,princess,לחמניה,nouns,0.0
1377,upset,לדכא,verbs,0.64
1378,palm,אצבע,nouns,1.19
1379,choose,להחליט,verbs,3.73
1380,uncovered,מכוסה,adjectives,0.54
1381,sound,אקוסטיקה,nouns,2.8
1382,diet,תפוח,nouns,0.69
1383,cup,כף,nouns,1.09
1384,trip,מסע,nouns,4.71
1385,doorway,דלת,nouns,2.36
1386,door,נוכחות,nouns,0.15
1387,giggle,לצחוק,verbs,4.13
1388,ignore,לעזוב,verbs,1.02
1389,scream,לצרוח,verbs,4.0
1390,business,תאגיד,nouns,3.49
1391,fee,תשלום,nouns,3.19
1392,dull,מצחיק,adjectives,0.45
1393,flexible,גדול,adjectives,0.1
1394,cinema,פופקורן,nouns,0.61
1395,door,פעמון,nouns,0.67
1396,saint,חוטא,nouns,0.53
1397,rush,להזדרז,verbs,5.0
1398,money,יהלום,nouns,0.71
1399,run,לרכב,verbs,0.69
1400,protect,לעזור,verbs,1.59
1401,seldom,לעולם לא,adverbs,2.13
1402,hound,שועל,nouns,1.33
1403,head,רגל,nouns,0.59
1404,poet,עיתונאי,nouns,1.11
1405,activity,תנועה,nouns,2.54
1406,lion,חתול,nouns,1.94
1407,begin,התחיל,verbs,5.24
1408,crime,תקיפה,nouns,2.15
1409,book,כתב יד,nouns,2.21
1410,argue,להוכיח,verbs,1.77
1411,fault,מערכת,nouns,0.32
1412,passively,באופן אמין,adverbs,0.5
1413,acoustics,קול ,nouns,2.8
1414,hospital,מיטה,nouns,0.5
1415,ball,תחפושת,nouns,0.2
1416,violent,רך,adjectives,0.35
1417,attach,להפריד,verbs,0.54
1418,horse,סוסון,nouns,2.45
1419,bring,להגיע,verbs,0.29
1420,yard,מטר,nouns,2.51
1421,roof,חלון,nouns,0.71
1422,fluid,זרבובית,nouns,0.49
1423,logic,אינטליגנציה,nouns,2.7
1424,special,בעל ערך,adjectives,2.82
1425,obvious,בולט,adjectives,3.84
1426,optimistically,ייתכן,adverbs,0.54
1427,school,חוק,nouns,0.57
1428,root,דשא,nouns,0.96
1429,walk,לצלוע,verbs,1.41
1430,jail,בחירה,nouns,0.35
1431,shrink,לצמוח,verbs,0.69
1432,adult,תינוק,nouns,0.85
1433,card,ברידג',nouns,0.7
1434,coat,בגדים,nouns,1.77
1435,destroy,להציל,verbs,0.3
1436,cat,ארנב,nouns,0.96
1437,punish,להכות,verbs,1.26
1438,perhaps,כנראה,adverbs,3.75
1439,cottage,ביתן,nouns,3.64
1440,gullible,טיפשי,adjectives,2.49
1441,coach,שחקן,nouns,0.81
1442,writer,רומן,nouns,0.91
1443,peacefully,בגאווה,adverbs,0.26
1444,topic,סולמית,nouns,0.58
1445,light,מקלדת,nouns,0.0
1446,spoon,מיץ,nouns,0.25
1447,man,לוחם,nouns,1.17
1448,uniform,קרושה,nouns,0.15
1449,legion,צבא,nouns,3.02
1450,bath,בלון,nouns,0.05
1451,car,אופניים,nouns,1.25
1452,cheek,לשון,nouns,0.99
1453,army,צי,nouns,2.74
1454,side,פסגה,nouns,0.41
1455,grass,להב,nouns,0.59
1456,apartment,רהיט,nouns,0.66
1457,sick,משוגע,adjectives,0.76
1458,lake,ביצה,nouns,1.27
1459,succeed,לנסות,verbs,1.23
1460,grass,שורש,nouns,0.96
1461,demon,מפלצת,nouns,4.41
1462,lose,לשמור,verbs,0.35
1463,discussion,טיעון,nouns,2.14
1464,holiday,לוח שנה,nouns,0.86
1465,make,לבנות,verbs,3.3
1466,date,יום הולדת,nouns,1.65
1467,bother,לפגוע,verbs,1.83
1468,mad,מעולה,adjectives,0.3
1469,car,כביש,nouns,0.85
1470,blanket,סערה,nouns,0.4
1471,yogurt,בקר,nouns,0.77
1472,tradition,עבודת יד,nouns,0.71
1473,horse,סוסה,nouns,3.08
1474,give,להניח,verbs,0.56
1475,fry,להרתיח,verbs,1.62
1476,needy,חסר ישע,adjectives,2.62
1477,cocktail,אלכוהול,nouns,2.17
1478,tough,קל,adjectives,0.54
1479,salary,עמלה,nouns,1.07
1480,dirty,זול,adjectives,0.44
1481,attend,לשלוח,verbs,0.45
1482,sand,רגל,nouns,0.25
1483,noise,רעשן,nouns,2.37
1484,club,סימן,nouns,0.0
1485,story,ספר,nouns,1.91
1486,safely,בשמחה,adverbs,0.33
1487,algebra,פעולה,nouns,0.81
1488,big,רחב,adjectives,2.41
1489,become,להופיע,verbs,0.09
1490,mood,רגש,nouns,3.25
1491,diplomacy,הדיינות,nouns,2.21
1492,harm,כאב,nouns,2.26
1493,beach,אי,nouns,1.15
1494,cat,חיית מחמד,nouns,2.62
1495,fox,כלב,nouns,1.33
1496,person,חיה,nouns,1.01
1497,behave,לציית,verbs,1.81
1498,valley,דיכאון,nouns,0.5
1499,adult,ילד,nouns,0.89
1500,seed,חרדל,nouns,1.04
1501,securely,בזהירות,adverbs,1.98
1502,gale,שמיכה,nouns,0.4
1503,waist,קיבה,nouns,1.41
1504,find,לרכוש,verbs,1.92
1505,hardware,מקרה,nouns,0.41
1506,bottle,פחית,nouns,1.6
1507,unforeseen,בלתי צפוי,adjectives,5.51
1508,terrific,רע,adjectives,0.34
1509,man,בעל,nouns,2.26
1510,slim,צנום,adjectives,5.04
1511,cat,כלב,nouns,1.06
1512,stumble,ליפול,verbs,3.82
1513,vein,בטן,nouns,0.4
1514,beer,שמפניה,nouns,1.6
1515,quickly,בדחיפות,adverbs,3.21
1516,lover,חבר,nouns,2.08
1517,drench,להקטין,verbs,0.25
1518,remain,לשמור,verbs,0.74
1519,vomit,לסגור,verbs,0.05
1520,alcohol,בירה,nouns,1.95
1521,division,כפל,nouns,1.38
1522,entertain,להנות,verbs,1.19
1523,lemon,תה,nouns,0.49
1524,muscle,לשון,nouns,1.51
1525,beverage,בירה,nouns,1.84
1526,evaluate,ללמוד,verbs,0.57
1527,shore,חוף,nouns,3.48
1528,news,רכילות,nouns,2.17
1529,dinner,תרנגולת,nouns,0.74
1530,motor,סירה,nouns,0.96
1531,odd,משונה,adjectives,4.23
1532,stop,לשרוק,verbs,0.1
1533,monk,כומר,nouns,3.46
1534,father,בן,nouns,1.31
1535,messy,מסודר,adjectives,0.54
1536,idea,תכנית,nouns,2.87
1537,boat,עוגן,nouns,0.85
1538,borrower,אשראי,nouns,0.91
1539,argue,להתווכח,verbs,2.22
1540,cook,לטגן,verbs,2.21
1541,scare,לרדוף,verbs,1.34
1542,joy,גאווה,nouns,1.81
1543,self,ביטחון,nouns,0.81
1544,gossip,חדשות,nouns,2.17
1545,make,ליצור,verbs,4.25
1546,try,לשכנע,verbs,0.71
1547,zinc,זהב,nouns,1.16
1548,decade,עידן,nouns,2.13
1549,please,להסכים,verbs,0.84
1550,nose,ראש,nouns,0.89
1551,agree,לקבל,verbs,2.47
1552,ideally,באופן מציאותי,adverbs,0.77
1553,adversary,מתנגד,nouns,4.74
1554,colt,סוס,nouns,2.45
1555,archbishop,בישוף,nouns,3.44
1556,possibly,באופטימיות,adverbs,0.54
1557,ashamed,עצוב,adjectives,0.94
1558,jacket,סוודר,nouns,2.32
1559,suspect,לעצור,verbs,0.48
1560,lose,להיכשל,verbs,2.54
1561,water,מלח,nouns,0.63
1562,weak,חזק,adjectives,0.54
1563,weekend,שבוע,nouns,1.16
1564,dog,חתול,nouns,1.06
1565,bath,חדר,nouns,0.72
1566,infection,נטייה,nouns,0.05
1567,forget,להזכיר,verbs,0.54
1568,box,תא,nouns,2.38
1569,floor,דלת,nouns,0.54
1570,make,להרוס,verbs,0.54
1571,swallow,לשתות,verbs,1.79
1572,shelter,צריף,nouns,1.81
1573,occasionally,בקביעות,adverbs,1.36
1574,manuscript,מאמר,nouns,1.92
1575,bite,לקרוא,verbs,0.0
1576,body,כתף,nouns,0.99
1577,maid,נערה,nouns,0.62
1578,explore,לגלות,verbs,2.5
1579,soon,מיד,adverbs,2.4
1580,guilty,רע,adjectives,1.14
1581,purely,לגמרי,adverbs,2.06
1582,weird,מוזר,adjectives,5.07
1583,rattle,רעש,nouns,2.37
1584,roof,תקרה,nouns,3.75
1585,herb,מריחואנה,nouns,2.34
1586,bacon,בשר,nouns,2.04
1587,machine,מחשב,nouns,2.21
1588,gift,סופר,nouns,0.65
1589,bible,ספר,nouns,1.57
1590,antagonize,לעצבן,verbs,4.61
1591,mustard,גרגיר,nouns,1.04
1592,scribble,לכתוב,verbs,2.6
1593,seedling,עלה,nouns,1.25
1594,hate,לתעב,verbs,5.3
1595,elephant,דינוזאור,nouns,0.67
1596,wide,טרי,adjectives,0.0
1597,camp,ביתן,nouns,0.99
1598,grief,ייסורים,nouns,3.08
1599,sensor,רדיאטור,nouns,0.52
1600,admire,להעריץ,verbs,3.22
1601,fence,קפיצה,nouns,0.35
1602,observe,להסתכל,verbs,5.32
1603,reburial,קבר,nouns,0.91
1604,body,גב,nouns,1.04
1605,keep,להשאיל,verbs,0.67
1606,car,מפעל,nouns,0.45
1607,never,בנדיבות,adverbs,0.45
1608,tear,עין,nouns,0.82
1609,flee,לברוח,verbs,4.95
1610,wonderful,מעולה,adjectives,4.34
1611,telescope,כיסא,nouns,0.15
1612,taxi,מונית,nouns,5.54
1613,crime,גניבה,nouns,2.26
1614,beef,בשר,nouns,2.41
1615,fraud,פשע,nouns,2.3
1616,highway,כביש,nouns,3.95
1617,do,להפסיק,verbs,0.39
1618,fail,להפסיד,verbs,2.54
1619,task,אי,nouns,0.0
1620,receive,לשלוח,verbs,0.49
1621,wander,לנדוד,verbs,4.72
1622,formula,יומן,nouns,0.28
1623,astronomer,גלקסיה,nouns,1.02
1624,forget,להתעלם,verbs,1.08
1625,kitchen,דלת,nouns,0.49
1626,combine,קנה סוכר,nouns,0.25
1627,mechanically,באופן אידיאלי,adverbs,0.15
1628,guitar,פורל,nouns,0.05
1629,archer,גשש,nouns,0.26
1630,soft,אלים,adjectives,0.35
1631,muslim,בישוף,nouns,0.81
1632,image,השתקפות,nouns,1.86
1633,bronchitis,פרצטמול,nouns,0.69
1634,hostility,תוקפנות,nouns,4.34
1635,illegal,מושחת,adjectives,2.06
1636,teacher,רב,nouns,2.06
1637,capital,כסף,nouns,3.74
1638,novel,סופר,nouns,0.91
1639,ray,שמש,nouns,1.07
1640,bone,מרפק,nouns,1.4
1641,persuade,לרדוף,verbs,0.29
1642,rude,תוקפני,adjectives,1.36
1643,understand,לקלוט,verbs,3.99
1644,break,לסדוק,verbs,3.23
1645,proud,חזק,adjectives,0.46
1646,unite,להינשא,verbs,3.12
1647,dinner,מרק,nouns,1.44
1648,app,גלקסי,nouns,0.3
1649,frustration,כעס,nouns,3.55
1650,viscosity,התזה,nouns,0.41
1651,bathroom,חדר שינה,nouns,1.01
1652,bride,חתן,nouns,1.54
1653,join,לעזוב,verbs,0.54
1654,alley,רחוב,nouns,3.23
1655,beach,ים,nouns,1.61
1656,dumb,נדיר,adjectives,0.1
1657,sheep,טלה,nouns,4.02
1658,sequel,מצלמה,nouns,0.0
1659,lightly,בבהירות,adverbs,0.97
1660,vision,תפיסה,nouns,3.22
1661,leaf,עץ,nouns,1.11
1662,dawn,יום,nouns,2.21
1663,shy,יקר,adjectives,0.05
1664,bride,נסיכה,nouns,0.69
1665,molecule,מטריצה,nouns,0.14
1666,apple,מיץ,nouns,1.04
1667,tree,סירה,nouns,0.55
1668,mutant,סוציוביולוגיה,nouns,0.4
1669,homophone,פוטופון,nouns,0.54
1670,chapter,בחירה,nouns,0.1
1671,session,מטופל,nouns,0.63
1672,decoration,קיר,nouns,0.51
1673,immoral,רע,adjectives,2.91
1674,money,הון,nouns,3.74
1675,press,לשחרר,verbs,0.45
1676,girl,עוזרת,nouns,0.62
1677,silently,באופן פסיבי,adverbs,1.32
1678,gun,מחברת,nouns,0.0
1679,strawberry,דובדבן,nouns,1.33
1680,analyze,להשוות,verbs,2.27
1681,happily,בבטחה,adverbs,0.33
1682,bed,חדר שינה,nouns,1.36
1683,bread,בשר,nouns,0.49
1684,great,נורא,adjectives,0.44
1685,swamp,אגם,nouns,1.27
1686,room,מיטה,nouns,0.64
1687,parade,המון,nouns,1.73
1688,sometimes,באופן אחיד,adverbs,0.25
1689,company,עסק,nouns,3.71
1690,modest,גמיש,adjectives,0.1
1691,hug,להתרכבל,verbs,4.34
1692,day,לילה,nouns,0.66
1693,wife,קש,nouns,0.1
1694,juice,תפוח,nouns,1.04
1695,satisfy,לרצות,verbs,3.21
1696,justice,בית דין,nouns,2.1
1697,money,פנינה,nouns,0.57
1698,discourage,לעודד,verbs,0.54
1699,companion,חבר,nouns,5.29
1700,meteor,כבידה,nouns,0.61
1701,terrific,משוגע,adjectives,0.3
1702,film,ניהיליזם,nouns,0.15
1703,alloy,פלדה,nouns,2.37
1704,create,לצלול,verbs,0.1
1705,furniture,דירה,nouns,0.66
1706,cinema,טלויזיה,nouns,1.99
1707,guitar,כינור,nouns,1.39
1708,orderly,מבולגן,adjectives,0.54
1709,rice,שעועית,nouns,1.14
1710,prove,להסביר,verbs,2.06
1711,fade,לשחוק,verbs,2.62
1712,event,התרמה,nouns,1.79
1713,stiff,קל,adjectives,0.4
1714,participate,לשתף,verbs,2.13
1715,helmet,נשק,nouns,0.94
1716,germ,פתוגן,nouns,3.78
1717,foot,יד,nouns,1.15
1718,opinion,רעיון,nouns,2.74
1719,body,בטן,nouns,1.33
1720,dictionary,הגדרה,nouns,0.99
1721,priest,אל,nouns,0.84
1722,stop,לנהוג,verbs,0.45
1723,fun,כדורגל,nouns,0.4
1724,danger,איום,nouns,4.38
1725,galaxy,אפליקציה,nouns,0.3
1726,fight,לנשוך,verbs,0.94
1727,wealth,עוני,nouns,0.61
1728,winter,קיץ,nouns,0.89
1729,coin,תשלום,nouns,1.52
1730,reap,להרוויח,verbs,2.34
1731,theatre,סוללה,nouns,0.0
1732,celebration,טקס,nouns,3.14
1733,telescope,סיעור מוחות,nouns,0.0
1734,tiny,עצום,adjectives,0.57
1735,solve,לסיים,verbs,1.99
1736,seriously,בכנות,adverbs,1.38
1737,music,חליל,nouns,1.2
1738,hit,להעניש,verbs,1.26
1739,aluminium,בדיל,nouns,1.79
1740,scholarship,שכר לימוד,nouns,0.99
1741,want,לבחור,verbs,0.91
1742,mathematician,הצגה,nouns,0.05
1743,mink,פרווה,nouns,2.55
1744,task,קש,nouns,0.0
1745,portray,להודיע,verbs,0.45
1746,convocation,אסיפה,nouns,4.42
1747,mink,שמן,nouns,0.15
1748,slide,מצביע,nouns,0.2
1749,mountain,אדן,nouns,0.47
1750,understand,להקשיב,verbs,1.44
1751,defend,לשמור,verbs,4.1
1752,new,ישן,adjectives,0.54
1753,intuition,חוש,nouns,4.64
1754,incredible,רגיל,adjectives,0.44
1755,clothes,מעיל,nouns,1.67
1756,honey,סוכר,nouns,1.29
1757,worker,משרד,nouns,0.71
1758,greet,להיפגש,verbs,1.36
1759,enjoy,לבדר,verbs,1.19
1760,creator,יוצר,nouns,5.37
1761,amorphous,חסר צורה,adjectives,5.0
1762,frame,מכה,nouns,0.0
1763,translator,זר,nouns,0.45
1764,crowd,המון,nouns,4.47
1765,snap,לחרוק,verbs,0.76
1766,sugar,דבש,nouns,1.29
1767,salad,חומץ,nouns,0.59
1768,motel,אכסניה,nouns,4.11
1769,key,כתר,nouns,0.0
1770,apple,אור,nouns,0.0
1771,notebook,אקדח,nouns,0.0
1772,crowd,מצעד,nouns,1.73
1773,foreskin,ברית מילה,nouns,1.19
1774,seriously,בחשיבות,adverbs,2.36
1775,monoculture,חקלאות,nouns,1.09
1776,chapter,לילה,nouns,0.05
1777,father,גבר,nouns,2.46
1778,alcohol,יין,nouns,1.99
1779,flower,פקעת,nouns,1.33
1780,mouth,שפה,nouns,1.47
1781,hold,לחבק,verbs,1.85
1782,require,לסדר,verbs,0.15
1783,quit,לעשות,verbs,0.39
1784,competence,יכולת,nouns,4.72
1785,condition,חוזה,nouns,1.04
1786,happy,צעיר,adjectives,0.39
1787,hug,לחנוק,verbs,0.92
1788,anger,זעם,nouns,5.12
1789,belief,דעה,nouns,4.01
1790,sacred,יקר ערך,adjectives,2.51
1791,impatient,חרד,adjectives,1.64
1792,comfortably,בקלות,adverbs,2.3
1793,speak,להקשיב,verbs,0.54
1794,tobacco,סיגריה,nouns,1.92
1795,easy,מורכב,adjectives,0.49
1796,door,קומה,nouns,0.54
1797,author,יוצר,nouns,3.79
1798,nice,אכזרי,adjectives,0.4
1799,understand,לדעת,verbs,2.7
1800,combine,לשלב,verbs,4.3
1801,straw,המנון,nouns,0.0
1802,join,לחבר,verbs,4.86
1803,stir, לנער,verbs,1.77
1804,wealth,יוקרה,nouns,2.06
1805,disk,מטען,nouns,0.27
1806,neck,עצם,nouns,0.67
1807,opening,מרווח,nouns,3.9
1808,proclaim,להודיע,verbs,4.96
1809,glow,לזרוח,verbs,3.91
1810,actor,שחקנית,nouns,3.54
1811,cube,צעצוע,nouns,0.75
1812,reality,אשליה,nouns,0.61
1813,quick,מהיר,adjectives,5.57
1814,decrease,לרדת,verbs,1.04
1815,bath,רעיה,nouns,0.05
1816,head,אף,nouns,0.89
1817,roughly,באופן אמין,adverbs,0.2
1818,leave,לנסוג,verbs,3.16
1819,predict,להניח,verbs,0.77
1820,terminally,אחרת,adverbs,0.14
1821,waist,ארוחה,nouns,0.4
1822,today,הלילה,adverbs,1.52
1823,storm,הוריקן,nouns,3.46
1824,public,פרטי,adjectives,0.54
1825,once,פעמיים,adverbs,1.35
1826,investigate,לבחון,verbs,3.7
1827,meat,לחם,nouns,0.49
1828,stupid,פתי,adjectives,2.49
1829,payment,מטבע,nouns,1.52
1830,mechanic,עובד,nouns,1.91
1831,turkey,ציפור,nouns,1.85
1832,soldier,שלום,nouns,0.4
1833,carry,להביא,verbs,2.0
1834,ugly,מבולגן,adjectives,0.98
1835,cooked,מורתח,adjectives,2.87
1836,hysteria,בלבול,nouns,1.41
1837,inquire,לחשוב,verbs,1.1
1838,notify,לתאר,verbs,0.45
1839,minor,משמעותי,adjectives,0.49
1840,bias,דעה,nouns,2.49
1841,multiplication,חילוק,nouns,1.38
1842,encyclopedia,מילון,nouns,2.08
1843,disc,מחשב,nouns,0.84
1844,loudly,נורא,adverbs,0.48
1845,archaeology,אנתרופולוגיה,nouns,1.38
1846,threat,סכנה,nouns,4.38
1847,system,אשמה,nouns,0.32
1848,argue,לצעוק,verbs,1.89
1849,precise,שגוי,adjectives,0.5
1850,deny,לתת,verbs,0.05
1851,president,מצלמה,nouns,0.05
1852,narrow,ארוך,adjectives,1.05
1853,cloth,בגדים,nouns,2.04
1854,logic,חשבון,nouns,1.58
1855,philosopher,מרוץ,nouns,0.0
1856,capability,כשירות,nouns,4.72
1857,calm,ניטרלי,adjectives,1.61
1858,swim,להיפגש,verbs,0.32
1859,separate,לחבר,verbs,0.54
1860,nephew,דודה,nouns,0.77
1861,cent,אנשים,nouns,0.65
1862,define,להבהיר,verbs,2.83
1863,become,לעשות,verbs,0.62
1864,deteriorate,לנגב,verbs,0.0
1865,bad,מצוין,adjectives,0.34
1866,create,לעשות,verbs,4.25
1867,powerful,חלש,adjectives,0.54
1868,fully,בעיקרון,adverbs,0.59
1869,log,נוסחה,nouns,0.28
1870,hypothesis,תיאוריה,nouns,4.86
1871,bread,קמח,nouns,1.09
1872,spend,לחסוך,verbs,0.54
1873,bag,ארנק,nouns,3.01
1874,know,להאמין,verbs,1.45
1875,cellar,דלת,nouns,0.49
1876,phone,קורבן,nouns,0.15
1877,stud,בחור,nouns,1.49
1878,meat,סטייק,nouns,3.44
1879,muscle,עצם,nouns,0.57
1880,science,פסיכולוגיה,nouns,1.56
1881,vinegar,סלט,nouns,0.59
1882,sauce,תפוח,nouns,0.73
1883,kidney,איבר,nouns,2.05
1884,mighty,חזק,adjectives,5.3
1885,church,מקהלה,nouns,0.94
1886,absorb,ללמוד,verbs,1.83
1887,remember,לחשוב,verbs,1.27
1888,responsibly,באופן אמין,adverbs,2.81
1889,class,כאוס,nouns,0.1
1890,fashion,צורה,nouns,1.27
1891,union,קומבינציה,nouns,2.6
1892,father,בת,nouns,0.77
1893,leave,לנדוד,verbs,0.81
1894,racket,כדור,nouns,0.99
1895,pie,שוקולד,nouns,0.77
1896,melody,מוסיקה,nouns,3.07
1897,sad,גאה,adjectives,0.25
1898,restless,צעיר,adjectives,0.24
1899,bathroom,מטבח,nouns,1.02
1900,go,לשלוח,verbs,0.51
1901,cab,אוטובוס,nouns,1.69
1902,quietly,בטבעיות,adverbs,0.24
1903,require,לברר,verbs,0.55
1904,underwear,גוף,nouns,0.35
1905,decide,לשפוט,verbs,2.64
1906,globe,עולם,nouns,3.9
1907,key,בית,nouns,0.77
1908,corridor,פרוזדור,nouns,5.76
1909,persuade,להתווכח,verbs,1.98
1910,radar,ג'ויסטיק,nouns,0.22
1911,completely,באופן שולי,adverbs,0.44
1912,body,חזה,nouns,1.23
1913,ecosystem,כלכלה,nouns,0.69
1914,truck,מכונית,nouns,2.29
1915,calmly,בשלווה,adverbs,4.75
1916,valley,קניון,nouns,3.92
1917,boat,מכונית,nouns,1.07
1918,short,ארוך,adjectives,0.54
1919,sweet,חשמלי,adjectives,0.0
1920,fur,מינק,nouns,2.55
1921,warrior,גבר,nouns,1.17
1922,prosecutor,עורך דין,nouns,2.7
1923,illegal,חוקי,adjectives,0.54
1924,lens,מצלמה,nouns,1.45
1925,strangely,באופן חריג,adverbs,4.93
1926,will,כוונה,nouns,3.99
1927,employee,מעסיק,nouns,0.96
1928,capture,לחקות,verbs,0.27
1929,metal,פח,nouns,1.66
1930,employer,עובד,nouns,1.79
1931,broom,אבק,nouns,0.77
1932,cent,גודל,nouns,0.1
1933,trout,גיטרה,nouns,0.05
1934,shapeless,אמורפי,adjectives,5.0
1935,cry,לייבב,verbs,4.59
1936,imagine,ליצור,verbs,1.49
1937,teacher,מדריך,nouns,4.27
1938,deny,לשקר,verbs,1.27
1939,perception,חזון,nouns,3.22
1940,slave,משרת,nouns,3.79
1941,sing,לצחוק,verbs,0.51
1942,bone,קרסול,nouns,1.21
1943,leave,להמתין,verbs,0.2
1944,artist,יצירה,nouns,1.14
1945,plead,להתחנן,verbs,4.68
1946,log,אמבטיה,nouns,0.1
1947,home,מדינה,nouns,0.92
1948,battle,כיבוש,nouns,2.06
1949,winner,אלוף,nouns,4.22
1950,plane,שדה תעופה,nouns,0.89
1951,conquest,מסע,nouns,1.23
1952,century,עשור,nouns,1.15
1953,bee,חרק,nouns,1.88
1954,win,להביס,verbs,3.69
1955,roughly,בקוצר רוח,adverbs,0.64
1956,syntax,מילת מפתח,nouns,0.64
1957,bizarre,מוזר,adjectives,5.27
1958,man,אישה,nouns,0.96
1959,digit,ציטופלזמה,nouns,0.25
1960,volcano,מגמה,nouns,1.3
1961,chicken,אורז,nouns,0.59
1962,nozzle,נוזל,nouns,0.49
1963,ant,דבורה,nouns,1.11
1964,game,טריק,nouns,1.09
1965,closely,באזור,adverbs,3.26
1966,man,דוד,nouns,1.09
1967,squeeze,לחבק,verbs,1.43
1968,mare,סוס,nouns,3.08
1969,retain,לשכוח,verbs,0.45
1970,choice,פרק,nouns,0.1
1971,decline,לסרב,verbs,5.04
1972,knife,אקדח,nouns,1.36
1973,surgery,לב,nouns,0.53
1974,atmosphere,אוזון,nouns,2.89
1975,smartphone,אננס,nouns,0.0
1976,softly,בקול רם,adverbs,0.29
1977,soul,אח,nouns,0.1
1978,nose,גרון,nouns,0.84
1979,avionics,אווירונאוטיקה,nouns,2.69
1980,believe,להרגיש,verbs,1.79
1981,hashtag,נושא,nouns,0.58
1982,snake,לטאה,nouns,1.64
1983,bird,נץ,nouns,2.25
1984,live,לשרוד,verbs,2.89
