ID,ENG,YUE,PoS,score
1,choice,章,nouns,0.04
2,maid,女孩,nouns,0.49
3,tribunal,正義,nouns,2.32
4,creator,製作者,nouns,4.81
5,parcel,貨車,nouns,0.09
6,robotics,模擬,nouns,0.72
7,leave,參加,verbs,0.04
8,scornful,輕蔑,adjectives,4.05
9,clearly,肯定地,adverbs,4.09
10,mighty,強大,adjectives,5.33
11,inform,通知,verbs,4.98
12,candy,肉桂,nouns,0.29
13,baseball,兄弟會,nouns,0.14
14,opinion,選擇,nouns,1.0
15,tightly,堅固地,adverbs,3.42
16,multiplication,除法,nouns,1.38
17,kid,男孩子,nouns,2.25
18,come,到達,verbs,2.33
19,awareness,注意,nouns,3.37
20,arm,樹枝,nouns,0.46
21,quick,迅速,adjectives,5.61
22,try,實現,verbs,0.37
23,bubble,肥皂泡沫,nouns,3.5
24,salad,減肥,nouns,0.7
25,fantasy,現實,nouns,0.55
26,artwork,藝術家,nouns,0.79
27,brilliant,棒,adjectives,4.04
28,night,黎明,nouns,0.42
29,altitude,換算,nouns,0.04
30,go,賣,verbs,0.04
31,roof,天花板,nouns,3.48
32,hysteria,混亂,nouns,1.99
33,cent,尺寸,nouns,0.04
34,men,兄弟會,nouns,1.34
35,generous,善良,adjectives,1.81
36,gunboat,海岸,nouns,0.08
37,elevator,汽車,nouns,0.13
38,lend,欠,verbs,0.27
39,sandwich,肉,nouns,0.21
40,hematology,病理學,nouns,2.13
41,flour,麵包,nouns,0.67
42,car,坦克,nouns,0.68
43,princess,新娘,nouns,0.32
44,shy,害怕,adjectives,1.92
45,weekend,種族,nouns,0.0
46,top,第五,adjectives,0.09
47,journey,征服,nouns,0.66
48,suffix,詞綴,nouns,0.95
49,sky,宇宙,nouns,1.39
50,enjoy,娛樂,verbs,0.89
51,moss,草,nouns,2.08
52,lawyer,大狀,nouns,4.92
53,learn,吸收,verbs,2.47
54,confidence,態度,nouns,1.37
55,sharp,平滑,adjectives,0.0
56,fertilizer,發展,nouns,0.51
57,turkey,鳥,nouns,2.09
58,boy,合作夥伴,nouns,0.35
59,steeple,教堂,nouns,1.09
60,stomach,腰,nouns,2.28
61,caterpillar,蠶,nouns,2.16
62,cover,埋葬,verbs,2.23
63,conclude,決定,verbs,3.16
64,pride,喜悅,nouns,1.99
65,weather,雲,nouns,0.74
66,mixed,舊,adjectives,0.14
67,copilot,座艙,nouns,0.25
68,pathology,血液學,nouns,2.13
69,politely,謹慎地,adverbs,1.52
70,top,側面,nouns,0.38
71,vocalist,員工,nouns,0.18
72,man,武士,nouns,0.77
73,envelope,裝飾,nouns,0.0
74,listen,學習,verbs,0.56
75,happy,高興,adjectives,5.26
76,immature,長大,adjectives,0.08
77,car,車,nouns,5.85
78,blanket,床,nouns,0.4
79,goat,牛,nouns,1.56
80,arrogant,自豪,adjectives,3.39
81,ray,陽光,nouns,0.59
82,glove,球,nouns,0.36
83,gauge,車,nouns,0.0
84,town,城市,nouns,3.25
85,reduce,限制,verbs,1.41
86,dirty,淫賤,adjectives,0.32
87,sincerely,平時,adverbs,0.23
88,sell,交易,verbs,1.15
89,shake,攪拌,verbs,0.85
90,always,兩次,adverbs,0.21
91,pollution,總統,nouns,0.12
92,radiator,傳感器,nouns,0.48
93,maid,幫手,nouns,2.28
94,shine,發光,verbs,3.54
95,jacket,針織套衫,nouns,2.68
96,emergency,意外,nouns,2.95
97,hurry,趕,verbs,4.57
98,send,發射,verbs,2.0
99,letter,段,nouns,0.12
100,greatly,极其,adverbs,3.18
101,vein,肚,nouns,0.14
102,vein,容器,nouns,1.07
103,say,表達,verbs,2.84
104,sinner,聖,nouns,0.12
105,shy,昂貴,adjectives,0.0
106,today,今晚,adverbs,1.14
107,bath,妻子,nouns,0.04
108,house,鎖匙,nouns,0.29
109,new,新鮮,adjectives,2.86
110,shore,海岸,nouns,3.47
111,bad,不誠實,adjectives,1.12
112,chair,望遠鏡,nouns,0.04
113,reject,接受,verbs,0.22
114,intelligence,無知,nouns,0.08
115,schemer,策略家,nouns,2.87
116,quietly,自然地,adverbs,0.32
117,balloon,人,nouns,0.0
118,cooperate,參加,verbs,1.02
119,bad,平庸,adjectives,0.46
120,start,開始,verbs,4.36
121,south,北,nouns,0.95
122,phonology,屏幕,nouns,0.0
123,alley,街,nouns,2.92
124,dress,舞蹈,nouns,0.0
125,cry,哭泣,verbs,4.82
126,polish,通知,verbs,0.0
127,wizard,電纜,nouns,0.0
128,drunk,清醒,adjectives,0.13
129,go,發送,verbs,0.15
130,kindly,温和地,adverbs,3.1
131,communication,偈,nouns,3.31
132,lung,肝,nouns,0.62
133,game,樂趣,nouns,1.04
134,key,房屋,nouns,0.29
135,reheat,預熱,nouns,1.75
136,window,踝,nouns,0.09
137,enjoy,討厭,verbs,0.09
138,clever,笨,adjectives,0.32
139,grow,收縮,verbs,0.04
140,pour,滴,verbs,0.91
141,portray,通知,verbs,0.0
142,loudly,輕輕的,adverbs,0.18
143,guilty,壞,adjectives,0.96
144,lose,煮,verbs,0.04
145,accept,拒絕,verbs,0.38
146,calm,中性,adjectives,1.08
147,branch,手臂,nouns,0.46
148,cancer,疾病,nouns,3.09
149,jeans,女人,nouns,0.09
150,grass,刀口,nouns,0.34
151,incredible,普通,adjectives,0.04
152,pipe,雪茄,nouns,0.82
153,understand,知道,verbs,3.41
154,story,歌曲,nouns,0.29
155,husband,男人,nouns,1.95
156,pearl,錢,nouns,0.34
157,god,牧師,nouns,0.51
158,screen,音系學,nouns,0.0
159,definitely,肯定地,adverbs,4.57
160,dwarfish,短小,adjectives,3.75
161,city,城鎮,nouns,3.25
162,peninsula,島,nouns,1.81
163,away,在家裡,adverbs,0.24
164,narrow,寬大,adjectives,0.13
165,woman,男人,nouns,0.47
166,righteously,成熟地,adverbs,0.52
167,sand,腳,nouns,0.04
168,aim,打中,verbs,0.85
169,control,停止,verbs,0.55
170,lazy,忙碌,adjectives,0.09
171,log,沖涼,nouns,0.0
172,hound,狐狸,nouns,1.02
173,muslim,主教,nouns,0.24
174,terminally,不同,adverbs,0.08
175,learn,聽,verbs,0.56
176,recommend,接受,verbs,0.0
177,player,教練,nouns,0.15
178,hawk,鳥,nouns,2.88
179,glass,徽章,nouns,0.13
180,evacuate,確定,verbs,0.0
181,happen,做,verbs,0.43
182,begin,起源,verbs,3.75
183,fresh,寬,adjectives,0.0
184,snow,天氣,nouns,0.69
185,herb,大麻,nouns,1.94
186,season,冬天,nouns,1.99
187,awake,打鼻鼾,verbs,0.04
188,smother,擁抱,verbs,0.62
189,colonel,牙醫,nouns,0.08
190,blood,肉,nouns,0.75
191,examine,調查,verbs,4.09
192,justify,校驗,verbs,0.59
193,logic,算術,nouns,2.2
194,spring,噴泉,nouns,3.15
195,shrink,減少,verbs,3.58
196,map,廣場,nouns,0.18
197,unique,相反,adjectives,0.52
198,mostly,深深地,adverbs,0.56
199,employee,僱主,nouns,0.33
200,hill,懸崖,nouns,0.52
201,mouse,甲板,nouns,0.04
202,ballad,歌曲,nouns,3.79
203,temper,醫生,nouns,0.18
204,rule,慣例,nouns,2.84
205,reap,獲得,verbs,1.82
206,cell,鎖起來,nouns,1.43
207,president,政治家,nouns,2.89
208,honestly,從未,adverbs,0.0
209,birthday,年,nouns,0.73
210,might,力量,nouns,4.11
211,universe,天空,nouns,1.39
212,negative,從未,adjectives,0.61
213,screenwriter,電視,nouns,0.68
214,animal,野獸,nouns,3.73
215,fever,流感,nouns,1.46
216,past,前情,nouns,2.66
217,escape,逃跑,verbs,4.98
218,birthday,日期,nouns,1.8
219,kidney,器官,nouns,2.73
220,philosopher,賽跑,nouns,0.09
221,crude,無禮貌,adjectives,1.08
222,machine,引擎,nouns,2.17
223,slide,光標,nouns,0.14
224,sweet,電動,adjectives,0.0
225,cheese,麵包,nouns,0.35
226,bone,肌肉,nouns,0.26
227,violin,樂器,nouns,1.65
228,butter,土豆,nouns,0.16
229,car,橋,nouns,0.14
230,father,男人,nouns,2.28
231,concept,信念,nouns,1.27
232,lie,指控,verbs,0.16
233,curtain,竿,nouns,0.29
234,take,擁有,verbs,2.22
235,nihilism,電影,nouns,0.09
236,music,長笛,nouns,1.27
237,industry,商業,nouns,3.28
238,judge,決定,verbs,3.19
239,drink,吞,verbs,1.34
240,path,隧道,nouns,0.68
241,bath,戲法,nouns,0.04
242,create,想像,verbs,0.78
243,condition,男孩,nouns,0.04
244,symbol,密碼,nouns,1.34
245,shoulder,手臂,nouns,1.25
246,film,電影,nouns,5.21
247,bell,門,nouns,0.39
248,statistics,網球,nouns,0.0
249,border,分界線,nouns,4.29
250,sign,象徵,nouns,4.29
251,size,量,nouns,4.08
252,juice,蘋果,nouns,0.75
253,area,角,nouns,0.35
254,fee,工資,nouns,1.17
255,convince,拗撬,verbs,1.08
256,broom,灰塵,nouns,0.57
257,cat,寵物,nouns,2.63
258,truly,完美地,adverbs,0.64
259,bicycle,汽車,nouns,1.12
260,lake,沼澤,nouns,1.85
261,combine,混合,verbs,4.02
262,attack,傷害,verbs,2.77
263,walk,站立,verbs,0.37
264,shame,悲傷,nouns,1.72
265,stock,資產,nouns,3.41
266,accident,大災難,nouns,3.03
267,muscle,手臂,nouns,0.62
268,horse,小馬,nouns,3.07
269,mad,開心,adjectives,0.5
270,idea,形象,nouns,0.43
271,viscosity,濺,nouns,0.15
272,bacon,早餐,nouns,0.54
273,proud,傲慢,adjectives,3.39
274,beach,海岸,nouns,3.21
275,giggle,大笑,verbs,3.65
276,sadly,猛烈地,adverbs,0.08
277,slave,僕人,nouns,3.54
278,rose,蝴蝶,nouns,0.04
279,wash,沖洗,verbs,3.88
280,compete,完成,verbs,0.78
281,size,戲法,nouns,0.0
282,luck,幸福,nouns,0.65
283,assignment,便條,nouns,0.34
284,horn,車,nouns,0.55
285,air,分子,nouns,0.59
286,mix,溶解,verbs,0.78
287,prohibit,停止,verbs,3.09
288,wrist,手臂,nouns,0.98
289,keep,失去,verbs,0.04
290,rock,礦,nouns,0.73
291,chess,檢查,nouns,0.07
292,meteor,地心吸力,nouns,0.39
293,mother,爸爸,nouns,1.36
294,button,衣服,nouns,0.72
295,elect,拒絕,verbs,0.0
296,alter,更改,verbs,4.9
297,liver,器官,nouns,2.21
298,theorem,理論,nouns,4.69
299,explain,澄清,verbs,4.25
300,wrong,精確,adjectives,0.14
301,funny,嚴肅,adjectives,0.09
302,cruel,嚴酷,adjectives,3.6
303,flight,航空,nouns,3.19
304,story,話題,nouns,0.96
305,corner,地區,nouns,0.35
306,atom,碳,nouns,1.29
307,ball,球狀物,nouns,4.25
308,job,管理,nouns,0.74
309,perfectly,真實地,adverbs,0.64
310,madly,可悲的是,adverbs,0.08
311,door,走廊,nouns,0.22
312,box,資源,nouns,0.04
313,spicy,好,adjectives,0.04
314,weird,古怪,adjectives,5.25
315,composer,作家,nouns,2.67
316,cruel,和藹,adjectives,0.0
317,tough,堅硬,adjectives,3.46
318,camera,續集,nouns,0.04
319,peace,士兵,nouns,0.04
320,sword,環境,nouns,0.0
321,hose,花園,nouns,0.12
322,amazing,脏,adjectives,0.0
323,aunt,叔叔,nouns,1.12
324,fence,軌,nouns,0.54
325,pull,推,verbs,0.18
326,kindly,好心地,adverbs,4.7
327,fight,咬,verbs,0.57
328,course,行動,nouns,1.12
329,saving,儲蓄者,nouns,1.43
330,jar,杯子,nouns,1.94
331,reef,海灘,nouns,0.48
332,fragile,冷淡,adjectives,0.0
333,forget,保留,verbs,0.04
334,suspect,逮捕,verbs,0.26
335,attend,發送,verbs,0.09
336,cheerful,開心,adjectives,4.96
337,poem,韻律,nouns,0.48
338,put,得到,verbs,0.04
339,coronation,水,nouns,0.0
340,alphabet,鋼筆,nouns,0.04
341,forecast,灰濛蒙,nouns,0.24
342,probably,也許,adverbs,3.61
343,cheat,欺騙,verbs,3.02
344,negatively,非自然,adverbs,0.44
345,solve,完成,verbs,2.45
346,foreskin,割禮,nouns,1.17
347,basket,球,nouns,0.09
348,reliably,負責任,adverbs,3.0
349,know,理解,verbs,3.12
350,miss,打中,verbs,0.04
351,concurrency,貨幣,nouns,0.04
352,certain,緊張,adjectives,0.04
353,modest,靈活,adjectives,0.14
354,release,抓住,verbs,0.27
355,wife,女人,nouns,1.59
356,parent,父親,nouns,3.08
357,truthful,不誠實,adjectives,0.08
358,guidebook,手冊,nouns,3.58
359,rail,籬笆,nouns,0.54
360,stir,混合,verbs,4.04
361,accident,緊急情況,nouns,2.95
362,horse,狗,nouns,0.8
363,ordinary,平凡,adjectives,5.04
364,noticeable,明顯,adjectives,4.64
365,devious,靠不住的,adjectives,3.09
366,charger,磁盤,nouns,0.12
367,crystal,玻璃,nouns,2.25
368,choke,呼吸,verbs,0.36
369,deny,給予,verbs,0.0
370,emotion,心情,nouns,3.25
371,band,耐力,nouns,0.0
372,winner,候選人,nouns,0.79
373,big,國民,adjectives,0.12
374,protect,保持,verbs,0.78
375,rain,毛毛雨,nouns,3.75
376,gale,毯,nouns,0.0
377,bank,座位,nouns,0.0
378,tree,船,nouns,0.04
379,motherboard,主板,nouns,3.21
380,arm,手腕,nouns,0.98
381,stop,控制,verbs,0.55
382,notebook,手提電腦,nouns,1.02
383,obvious,顯著的,adjectives,4.64
384,sunshine,蘋果,nouns,0.0
385,reburial,墳墓,nouns,0.66
386,hurt,戲弄,verbs,0.45
387,friendly,不會,adverbs,0.0
388,chicken,晚餐,nouns,0.48
389,anchor,船,nouns,0.47
390,journey,旅行,nouns,5.07
391,intelligence,洞察力,nouns,2.46
392,whenever,有時,adverbs,0.49
393,behaviorism,治療,nouns,0.42
394,atmosphere,污染,nouns,0.47
395,app,星系,nouns,0.0
396,evaluate,分析,verbs,4.54
397,unclear,模糊,adjectives,4.92
398,snow,雪崩,nouns,2.0
399,knee,骨頭,nouns,0.65
400,positively,大概,adverbs,0.55
401,promote,前進,verbs,1.65
402,blood,身體,nouns,0.52
403,negotiation,外交,nouns,2.45
404,leg,手臂,nouns,0.49
405,smooth,尖,adjectives,0.0
406,club,標識,nouns,0.04
407,belief,價值觀,nouns,2.99
408,begin,啟,verbs,4.36
409,enter,欠,verbs,0.0
410,neglect,斷絕父子關係,verbs,0.55
411,computer,機器,nouns,2.33
412,formula,等式,nouns,3.96
413,sick,瘋,adjectives,0.2
414,chaos,類別,nouns,0.0
415,wipe,惡化,verbs,0.09
416,dreary,枯燥,adjectives,4.48
417,bread,芝士,nouns,0.35
418,sum,結合,nouns,0.42
419,band,遊行,nouns,0.49
420,get,失去,verbs,0.04
421,friendly,大方,adjectives,1.79
422,kitchen,洗手間,nouns,0.45
423,remain,離開,verbs,0.16
424,mother,朋友,nouns,0.79
425,enter,離開,verbs,0.08
426,thumb,指甲,nouns,1.34
427,management,老鼠,nouns,0.04
428,polyhedron,演員,nouns,0.32
429,often,不經常,adverbs,0.16
430,keep,保留,verbs,4.38
431,hit,陷害,nouns,0.14
432,smallish,矬小,adjectives,3.75
433,broad,大,adjectives,2.77
434,lemon,茶,nouns,0.18
435,gun,毛,nouns,0.04
436,turkey,母雞,nouns,1.67
437,dull,刺激,adjectives,0.22
438,bath,原木,nouns,0.0
439,genie,燈,nouns,0.47
440,germ,病原,nouns,3.53
441,clothes,抽屜,nouns,0.38
442,put,給,verbs,0.47
443,absorb,擁有,verbs,0.33
444,definition,字典,nouns,0.74
445,north,西方,nouns,0.55
446,poet,記者,nouns,0.35
447,fence,跳躍,nouns,0.0
448,iron,維他命,nouns,0.75
449,ask,幫忙,verbs,0.15
450,therapy,行動主義,nouns,0.42
451,army,軍團,nouns,3.25
452,tremor,地震,nouns,3.28
453,argue,同意,verbs,0.04
454,other,相反,adjectives,0.36
455,bible,書,nouns,1.18
456,personal,私人,adjectives,3.87
457,lie,否認,verbs,0.8
458,engagement,戒指,nouns,1.29
459,expensive,害羞,adjectives,0.0
460,elastic,靈活的,adjectives,4.01
461,please,求情,verbs,0.54
462,strongly,正式,adverbs,0.47
463,formula,日誌,nouns,0.07
464,neat,乾淨,adjectives,3.83
465,race,週末,nouns,0.0
466,devil,天神,nouns,0.32
467,smash,撞,verbs,2.73
468,spine,身體,nouns,0.47
469,generously,從未,adverbs,0.04
470,room,單身牢房,nouns,0.99
471,analyze,比較,verbs,2.95
472,despair,苦難,nouns,4.17
473,story,書,nouns,2.31
474,mayor,首領,nouns,2.29
475,globe,世界,nouns,4.04
476,wave,天氣,nouns,0.04
477,passive,暴力,adjectives,0.04
478,throat,鼻子,nouns,0.37
479,bed,房間,nouns,0.37
480,candy,蘋果,nouns,0.13
481,wife,沖涼,nouns,0.04
482,movable,靈活,adjectives,2.91
483,squint,怒視,verbs,0.59
484,rely,依賴,verbs,4.89
485,absorb,退出,verbs,0.04
486,motor,船,nouns,0.4
487,orchestra,樂隊,nouns,3.21
488,people,人口,nouns,2.77
489,dull,沈悶,adjectives,4.48
490,mood,情感,nouns,3.25
491,wall,裝飾,nouns,0.33
492,bridge,卡,nouns,0.0
493,mix,攪拌,verbs,4.04
494,obey,懲罰,verbs,0.14
495,suggest,提議,verbs,4.59
496,sincerely,誠實地,adverbs,4.63
497,article,雜誌,nouns,2.18
498,mainly,末期,adverbs,0.08
499,new,沒用過,adjectives,4.5
500,snowboard,滑雪,nouns,1.02
501,sauce,蘋果,nouns,0.56
502,violent,被動,adjectives,0.04
503,national,大,adjectives,0.12
504,protect,防御,verbs,3.73
505,capacitor,二極管,nouns,1.84
506,bag,錢包,nouns,2.94
507,hard,困難,adjectives,5.7
508,absence,在场,nouns,0.21
509,globalism,簽證,nouns,0.37
510,sequel,相機,nouns,0.04
511,book,聖經,nouns,1.18
512,flag,旗幟學,nouns,1.07
513,demand,拗撬,verbs,0.23
514,myth,諷刺,nouns,0.35
515,sucrose,醣類,nouns,1.97
516,attack,犯罪,nouns,1.3
517,whisper,說話,verbs,1.36
518,campus,大學,nouns,2.18
519,great,精彩,adjectives,4.04
520,vinegar,沙拉,nouns,0.27
521,live,生存,verbs,3.36
522,accuse,責怪,verbs,3.49
523,airport,片,nouns,0.0
524,supremacy,全能,nouns,0.93
525,football,英式足球,nouns,5.36
526,artist,藝術品,nouns,0.79
527,reality,幻想,nouns,0.55
528,sea,三角洲,nouns,0.59
529,partner,男孩,nouns,0.35
530,theft,犯罪,nouns,2.84
531,thread,紗,nouns,2.87
532,mundane,普通,adjectives,5.04
533,wealth,貧困,nouns,0.25
534,rabbi,老師,nouns,1.46
535,simulation,機器人技術,nouns,0.72
536,leave,攞,verbs,0.08
537,sheep,牛,nouns,1.73
538,tightly,難以置信地,adverbs,0.14
539,push,拉,verbs,0.18
540,boat,錨,nouns,0.47
541,build,創建,verbs,3.75
542,stupid,笨,adjectives,5.32
543,innovative,有創意,adjectives,4.54
544,person,動物,nouns,0.49
545,acetaminophen,支氣管炎,nouns,0.04
546,cry,大笑,verbs,0.08
547,profession,學院,nouns,0.23
548,page,段,nouns,0.57
549,bridge,汽車,nouns,0.14
550,muscle,舌頭,nouns,0.95
551,bacon,肉,nouns,2.12
552,engine,活塞,nouns,1.29
553,snake,蜥蜴,nouns,1.1
554,money,珍珠,nouns,0.34
555,cellar,門,nouns,0.13
556,bring,恢復,verbs,0.26
557,exam,教學大綱,nouns,1.01
558,decline,拒絕,verbs,4.5
559,scared,不肯定,adjectives,0.7
560,bottom,側面,nouns,0.37
561,rain,冰雹,nouns,1.33
562,ancient,現代,adjectives,0.13
563,brightly,輕輕地,adverbs,0.71
564,long,狹窄,adjectives,0.47
565,circumstance,情況,nouns,5.27
566,television,電影,nouns,2.1
567,gathering,大型會議,nouns,3.47
568,boat,電動機,nouns,0.4
569,know,給,verbs,0.08
570,bath,房間,nouns,0.35
571,infection,感染,nouns,3.28
572,independently,負責可靠地,adverbs,0.98
573,shoulder,頭,nouns,0.74
574,volleyball,球,nouns,2.44
575,band,酒,nouns,0.0
576,large,柔韌,adjectives,0.04
577,brother,姊妹,nouns,1.57
578,crucial,重要,adjectives,4.63
579,decoration,牆壁,nouns,0.33
580,microscope,生物學家,nouns,0.44
581,destroy,建造,verbs,0.27
582,helium,空氣,nouns,0.98
583,carefully,危險地,adverbs,0.09
584,performance,客串角色,nouns,0.69
585,imitate,捕獲,verbs,0.12
586,book,資料,nouns,0.96
587,melody,節奏,nouns,2.56
588,legal,允許,adjectives,3.88
589,cloud,風暴,nouns,1.09
590,well,聞名,adjectives,0.77
591,bench,椅子,nouns,2.99
592,beef,肉,nouns,2.79
593,hard,密度大,adjectives,2.73
594,terrific,瘋狂,adjectives,0.0
595,achieve,完成,verbs,4.73
596,explore,無視,verbs,0.0
597,boy,米飯,nouns,0.04
598,timber,原木,nouns,2.99
599,cigar,煙鬥,nouns,0.82
600,go,進入,verbs,1.21
601,year,生日,nouns,0.73
602,car,街,nouns,0.71
603,send,帶來,verbs,0.13
604,ball,排球,nouns,2.44
605,tail,碗,nouns,0.0
606,critical,無禮貌,adjectives,0.74
607,bean,米飯,nouns,0.66
608,happy,瘋狂,adjectives,0.5
609,cliff,小山,nouns,0.52
610,room,沖涼,nouns,0.35
611,lawyer,畫廊,nouns,0.0
612,dumb,聰明,adjectives,0.08
613,acquire,得到,verbs,4.86
614,museum,薄荷,nouns,0.08
615,aunt,侄子,nouns,0.7
616,monster,惡魔,nouns,3.59
617,accomplish,達到,verbs,4.73
618,inquire,搜索,verbs,2.98
619,rescue,拯救,verbs,5.14
620,milk,果汁,nouns,0.58
621,information,熵,nouns,0.47
622,brain,神經,nouns,0.82
623,mad,高興,adjectives,0.28
624,plant,農業,nouns,1.11
625,easily,大致地,adverbs,0.32
626,launch,发送,verbs,2.0
627,subtly,大聲地,adverbs,0.08
628,mosaic,教堂,nouns,0.19
629,young,開心,adjectives,0.08
630,leave,徘徊,verbs,0.21
631,freeze,發抖,verbs,0.54
632,peppermint,口香糖,nouns,0.52
633,kill,防守,verbs,0.15
634,modern,古老,adjectives,0.13
635,freedom,綠洲,nouns,0.15
636,biography,小說,nouns,1.17
637,semester,學期,nouns,4.53
638,girl,小孩,nouns,2.15
639,messy,井然有序,adjectives,0.13
