ID,ENG,YUE,PoS,score
1875,softly,大聲地,adverbs,0.18
1876,handicraft,傳統,nouns,0.43
1877,home,州,nouns,0.32
1878,flexible,大,adjectives,0.04
1879,dinner,雞,nouns,0.48
1880,join,離開,verbs,0.04
1881,mind,神經官能症,nouns,0.65
1882,sly,堅固,adjectives,0.0
1883,forgive,忘記,verbs,0.12
1884,newspaper,字,nouns,0.57
1885,important,關鍵,adjectives,4.63
1886,headword,句法,nouns,0.47
1887,require,查詢,verbs,0.04
1888,cat,獅子,nouns,1.71
1889,aviation,飛行,nouns,3.19
1890,decrease,降落,verbs,0.34
1891,card,橋,nouns,0.0
1892,punish,教,verbs,0.23
1893,cigarette,煙草,nouns,2.9
1894,tunnel,路徑,nouns,0.68
1895,ecosystem,經濟,nouns,0.33
1896,contemptuous,輕視,adjectives,4.05
1897,modest,羞愧,adjectives,0.29
1898,smash,打碎,verbs,3.88
1899,yard,米,nouns,2.05
1900,woman,任務,nouns,0.04
1901,testify,判斷,verbs,0.34
1902,groom,新娘,nouns,1.96
1903,situation,狀態,nouns,2.81
1904,relaxed,強調,adjectives,0.22
1905,cinema,電視,nouns,2.1
1906,kill,毀滅,verbs,2.33
1907,emperor,州長,nouns,1.25
1908,theory,化學,nouns,0.33
1909,cold,普通,adjectives,0.0
1910,blend,聯合,verbs,4.02
1911,biology,群落生境,nouns,0.48
1912,achieve,嘗試,verbs,0.37
1913,reject,退出,verbs,0.55
1914,cautiously,小心地,adverbs,4.75
1915,air,氦氣,nouns,0.98
1916,private,個人,adjectives,3.87
1917,get,留,verbs,0.55
1918,sickness,癌症,nouns,3.09
1919,car,的士,nouns,3.51
1920,stone,木,nouns,0.36
1921,cell,房間,nouns,0.99
1922,raise,喝,verbs,0.0
1923,scholarship,學費,nouns,0.71
1924,approve,准許,verbs,4.06
1925,guy,女孩,nouns,0.71
1926,rely,失敗,verbs,0.04
1927,easy,大,adjectives,0.0
1928,uncovered,冚住,adjectives,0.08
1929,unite,領帶,verbs,0.46
1930,man,哨兵,nouns,0.89
1931,completely,輕微,adverbs,0.08
1932,ankle,骨頭,nouns,0.54
1933,rude,噪,adjectives,0.62
1934,crude,核突,adjectives,0.87
1935,sometimes,每當,adverbs,0.49
1936,volcano,岩漿,nouns,1.41
1937,supporter,蟋蟀,nouns,0.04
1938,symbol,標誌,nouns,4.29
1939,chapter,選擇,nouns,0.04
1940,god,獵物,nouns,0.0
1941,sky,夢想,nouns,0.07
1942,keep,給,verbs,0.09
1943,plane,機場,nouns,0.51
1944,search,徘徊,verbs,0.56
1945,go,允許,verbs,0.04
1946,create,潛水,verbs,0.04
1947,dirty,狹窄,adjectives,0.0
1948,melody,音樂,nouns,2.68
1949,drink,混合,verbs,0.04
1950,clarify,說明,verbs,4.25
1951,teacher,教練,nouns,3.86
1952,limp,步行,verbs,1.98
1953,deliver,攞,verbs,0.81
1954,proudly,和平地,adverbs,0.43
1955,wrapper,港口,nouns,0.04
1956,great,壞,adjectives,0.08
1957,head,腳,nouns,0.18
1958,known,好,adjectives,0.77
1959,king,公主,nouns,1.43
1960,weak,辣,adjectives,0.04
1961,defend,殺,verbs,0.15
1962,owe,進入,verbs,0.0
1963,coat,衣服,nouns,1.95
1964,floor,屋頂,nouns,0.29
1965,ruler,國王,nouns,3.75
1966,lion,貓,nouns,1.71
1967,mild,尖,adjectives,0.0
1968,smart,笨,adjectives,0.08
1969,staff,歌手,nouns,0.18
1970,telescope,頭腦風暴,nouns,0.04
1971,big,寬廣,adjectives,2.77
1972,strive,阻礙,verbs,0.0
1973,fry,烘烤,verbs,1.88
1974,gun,筆記本,nouns,0.0
1975,repeat,練習,verbs,2.53
1976,simply,看來,adverbs,0.64
1977,laptop,筆記本,nouns,1.02
1978,decoration,信封,nouns,0.0
1979,stop,駕駛,verbs,0.04
1980,receive,實現,verbs,0.18
1981,ashamed,幸運,adjectives,0.04
1982,head,肩,nouns,0.74
1983,house,公寓,nouns,3.51
1984,parsley,瑪芬,nouns,0.04
1985,graduate,完成,verbs,1.48
1986,helper,女僕,nouns,2.28
1987,clothes,大褸,nouns,1.95
1988,ugly,亂,adjectives,0.79
1989,shoulder,身體,nouns,0.55
1990,mink,油,nouns,0.04
1991,train,電車,nouns,2.71
1992,esteem,榮譽,nouns,2.98
1993,sticky,脏,adjectives,0.78
1994,serious,有趣,adjectives,0.09
1995,happy,年輕,adjectives,0.08
1996,teach,懲罰,verbs,0.23
1997,camera,工作者,nouns,0.18
1998,offender,罪犯,nouns,4.81
1999,dairy,蜜糖,nouns,0.29
2000,grasp,握緊,verbs,3.09
2001,add,建立,verbs,1.01
2002,kidnap,偷,verbs,1.1
2003,obviously,肯定地,adverbs,3.84
2004,evening,黃昏,nouns,4.45
2005,dull,好笑,adjectives,0.04
2006,news,社論,nouns,2.28
2007,complete,完成,adjectives,5.15
2008,explain,討論,verbs,1.25
2009,crocodile,蜥蜴,nouns,2.0
2010,accurately,精確地,adverbs,4.98
2011,door,鐘,nouns,0.39
2012,cop,副駕駛,nouns,0.08
2013,bean,咖啡,nouns,0.62
2014,hesitant,憤怒,adjectives,0.18
2015,hit,懲罰,verbs,0.31
2016,construction,毀滅,nouns,0.21
2017,apparent,明顯,adjectives,4.93
2018,fail,依靠,verbs,0.04
2019,campaign,猴子,nouns,0.09
2020,head,鼻子,nouns,0.28
2021,aluminium,錫,nouns,1.98
2022,fact,洞察力,nouns,1.25
2023,come,走,verbs,0.45
2024,parliament,國會,nouns,3.09
2025,ant,蜜蜂,nouns,1.13
2026,pretend,講大話,verbs,2.92
2027,lemma,音節,nouns,0.57
2028,emperor,憲法,nouns,0.26
2029,flag,杆,nouns,0.52
2030,withdraw,拒絕,verbs,0.55
2031,bronchitis,對乙酰氨基酚,nouns,0.04
2032,ideally,現實地,adverbs,0.32
2033,pesticide,蟲害,nouns,0.68
2034,pinch,用拳猛擊,verbs,0.59
2035,guardian,成人,nouns,2.13
2036,bone,踝,nouns,0.54
2037,desert,沙丘,nouns,1.99
2038,king,王子,nouns,2.14
2039,worker,機器匠,nouns,1.92
2040,chair,長凳,nouns,2.99
2041,cannon,槍,nouns,2.16
2042,vexillology,旗,nouns,1.07
2043,policeman,政治家,nouns,0.12
2044,admit,否認,verbs,0.08
2045,currency,交換,nouns,0.96
2046,island,海軍,nouns,0.0
2047,instantly,一次,adverbs,0.47
2048,growth,肥料,nouns,0.51
2049,water,冰,nouns,2.02
2050,surely,清楚地,adverbs,4.09
2051,softly,堅固地,adverbs,0.04
2052,celebrate,使驚奇,verbs,0.23
2053,bite,搏鬥,verbs,0.57
2054,shake,收集,verbs,0.0
2055,toy,立方體,nouns,0.09
2056,stop,警告,verbs,0.47
2057,union,總數,nouns,0.42
2058,novel,作家,nouns,0.38
2059,spoon,果汁,nouns,0.18
2060,snow,冰,nouns,3.23
2061,obviously,不顯眼地,adverbs,0.08
2062,excited,受驚,adjectives,0.34
2063,deny,承認,verbs,0.08
2064,school,年級,nouns,0.43
2065,light,鍵盤,nouns,0.09
2066,here,現在,adverbs,0.99
2067,rhythm,算術,nouns,0.0
2068,bike,皮膚,nouns,0.04
2069,multiply,除,verbs,0.24
2070,pretend,似乎,verbs,0.87
2071,old,雜,adjectives,0.14
2072,sheriff,警察,nouns,3.67
2073,disprove,允許,verbs,0.0
2074,king,裙帶關係,nouns,0.2
2075,disintegrate,死,verbs,0.15
2076,uncle,表哥,nouns,0.93
2077,syntax,首詞,nouns,0.47
2078,crime,詐騙,nouns,2.48
2079,gun,大炮,nouns,2.16
2080,cattle,牛肉,nouns,2.63
2081,nicely,仁慈地,adverbs,4.7
2082,subroutine,編譯器,nouns,0.49
2083,speak,聽見,verbs,0.13
2084,shiver,凍結,verbs,0.54
2085,fame,財富,nouns,0.94
2086,brother,兒子,nouns,0.79
2087,unnecessary,必須,adjectives,0.08
2088,loudly,猛烈地,adverbs,1.25
2089,pineapple,手機,nouns,0.0
2090,send,接收,verbs,0.08
2091,roughly,明顯地,adverbs,0.59
2092,create,畫,verbs,0.84
2093,deteriorate,抹,verbs,0.09
2094,speak,承認,verbs,0.55
2095,easy,困難,adjectives,0.08
2096,door,地板,nouns,0.22
2097,hero,女英雄,nouns,3.62
2098,nerve,腦,nouns,0.82
2099,yell,拗撬,verbs,1.02
2100,factory,汽車,nouns,0.0
2101,follow,追逐,verbs,2.65
2102,reduce,收縮,verbs,3.58
2103,couch,床,nouns,1.98
2104,stomach,靜脈,nouns,0.14
2105,swear,承諾,verbs,4.25
2106,homophone,光線電話機,nouns,0.04
2107,reduce,淋透,verbs,0.04
2108,save,淹,verbs,0.04
2109,observe,觀看,verbs,4.79
2110,obey,守規矩,verbs,2.79
2111,cloud,薄霧,nouns,2.61
2112,thirsty,飢餓,adjectives,1.47
2113,want,選擇,verbs,0.4
2114,movie,戲,nouns,5.21
2115,popcorn,電影,nouns,0.43
2116,flexible,容易,adjectives,2.02
2117,area,地帶,nouns,4.5
2118,orderly,亂七八糟,adjectives,0.13
2119,dice,立方體,nouns,2.3
2120,comfort,羞辱,verbs,0.04
2121,liquor,世紀,nouns,0.04
2122,destroy,腐爛,verbs,0.69
2123,receive,發送,verbs,0.08
2124,normal,奇怪,adjectives,0.13
2125,explore,發現,verbs,2.52
2126,receive,接受,verbs,1.21
2127,ice,雪,nouns,3.23
2128,choose,想,verbs,0.4
2129,belly,腹部,nouns,2.98
2130,insult,得罪,verbs,4.12
2131,rain,薄霧,nouns,1.21
2132,statue,雕塑,nouns,4.69
2133,strategist,陰謀家,nouns,2.87
2134,endurance,樂隊,nouns,0.0
2135,cat,兔子,nouns,1.13
2136,ceremony,慶祝,nouns,2.86
2137,bad,內疚,adjectives,0.96
2138,furniture,床,nouns,2.05
2139,carbon,原子,nouns,1.29
2140,buckler,屏蔽,nouns,0.6
2141,chair,床,nouns,1.18
2142,priest,預言家,nouns,0.93
2143,difficult,艱難,adjectives,5.7
2144,bird,鷹,nouns,2.88
2145,priest,僧侶,nouns,3.25
2146,twice,總是,adverbs,0.21
2147,easy,靈活,adjectives,2.02
2148,guitar,鼓,nouns,0.68
2149,importantly,正式地,adverbs,1.41
2150,angry,開心,adjectives,0.18
2151,old,新鮮,adjectives,0.04
2152,punch,捏,verbs,0.59
2153,lizard,政府,nouns,0.04
2154,wood,紙,nouns,0.69
2155,fry,煮,verbs,1.56
2156,condition,協議,nouns,1.12
2157,dumb,稀罕,adjectives,0.14
2158,guilty,羞愧,adjectives,4.09
2159,short,長,adjectives,0.18
2160,agriculture,植物,nouns,1.11
2161,narrow,髒,adjectives,0.0
2162,ignore,探索,verbs,0.0
2163,ceramic,陶藝,nouns,3.25
2164,chips,遊標,nouns,0.04
2165,intelligence,邏輯,nouns,2.75
2166,clean,整齊,adjectives,3.83
2167,hymn,征服,nouns,0.0
2168,door,兄弟會,nouns,0.0
2169,dinner,餐,nouns,2.92
2170,daughter,父親,nouns,0.4
2171,possibly,樂觀地,adverbs,0.32
2172,leaf,樹,nouns,0.68
2173,sweater,褸,nouns,2.68
2174,tiny,巨大,adjectives,0.12
2175,reject,避免,verbs,0.56
2176,toe,手指,nouns,0.78
2177,hat,大褸,nouns,0.33
2178,grass,苔蘚,nouns,2.08
2179,number,數字,nouns,4.58
2180,shield,小圆盾,nouns,0.6
2181,difficult,容易,adjectives,0.22
2182,simple,困難,adjectives,0.13
2183,tonight,明天,adverbs,0.25
2184,make,毀滅,verbs,0.18
2185,victim,電話,nouns,0.04
2186,silently,被動地,adverbs,1.09
2187,boat,車,nouns,0.49
2188,body,肩,nouns,0.55
2189,sometimes,一致地,adverbs,0.04
2190,speed,郵件,nouns,0.0
2191,perhaps,大概,adverbs,3.61
2192,psychology,科學,nouns,1.16
2193,glass,水晶,nouns,2.25
2194,believe,接受,verbs,2.3
2195,butterfly,玫瑰,nouns,0.04
2196,check,西洋棋,nouns,0.07
2197,bad,偉大,adjectives,0.08
2198,leader,經理,nouns,3.0
2199,movement,活動,nouns,2.86
2200,magistrate,法官,nouns,4.23
2201,storm,雪,nouns,1.05
2202,flesh,血液,nouns,0.75
2203,august,月,nouns,2.18
2204,underwear,身體,nouns,0.52
2205,monoculture,農業,nouns,1.45
2206,charge,蔑視,verbs,0.0
2207,trick,遊戲,nouns,0.52
2208,entertain,享受,verbs,0.89
2209,atmosphere,臭氧,nouns,2.87
2210,calmly,巧妙的,adverbs,1.0
2211,prove,解釋,verbs,2.66
2212,lie,假扮,verbs,2.92
2213,condition,情況,nouns,2.81
2214,agreement,爭論,nouns,0.13
2215,truck,郵包,nouns,0.09
2216,muscle,骨頭,nouns,0.26
2217,gossip,新聞,nouns,1.53
2218,trial,測試,nouns,4.29
2219,deal,賣,verbs,1.15
2220,street,小巷,nouns,2.92
2221,dusk,傍晚,nouns,4.45
2222,bold,自豪,adjectives,1.66
2223,weave,移動,verbs,0.19
2224,attend,拗撬,verbs,0.04
2225,portray,假扮,verbs,0.51
2226,crib,搖床,nouns,4.62
2227,word,報紙,nouns,0.57
2228,strength,耐力,nouns,2.83
2229,president,小學生,nouns,0.04
2230,apple,陽光,nouns,0.0
2231,choir,教堂,nouns,0.51
2232,never,慷慨地,adverbs,0.04
2233,conquest,戰役,nouns,1.48
2234,stand,步行,verbs,0.37
2235,monarchy,民主,nouns,0.46
2236,happy,快樂,adjectives,4.96
2237,walk,跛行,verbs,1.98
2238,deck,船,nouns,0.65
2239,deny,接受,verbs,0.54
2240,amorphous,無形,adjectives,3.98
2241,gently,仁慈地,adverbs,3.1
2242,seat,銀行,nouns,0.0
2243,snow,風暴,nouns,1.05
2244,gentleman,女士,nouns,0.72
2245,flexible,鬆動,adjectives,1.54
2246,bring,抱怨,verbs,0.0
2247,cash,錢,nouns,5.0
2248,accept,相信,verbs,2.3
2249,sob,哭,verbs,4.82
2250,blister,插圖,nouns,0.04
2251,earthquake,震,nouns,3.28
2252,ministry,蘇丹,nouns,0.2
2253,competence,能力,nouns,4.27
2254,discourage,失敗,verbs,0.29
2255,hear,說話,verbs,0.13
2256,untrustworthy,狡詐,adjectives,3.09
2257,notebook,槍,nouns,0.0
2258,cheek,舌頭,nouns,0.52
2259,teacher,拉比,nouns,1.46
2260,circumcision,包皮,nouns,1.17
2261,difference,剩餘,nouns,3.13
2262,metal,錫,nouns,1.95
2263,logic,智力,nouns,2.75
2264,say,參與,verbs,0.15
2265,anatomy,生物學,nouns,2.66
2266,aggression,敵意,nouns,3.92
2267,divide,加,verbs,0.52
2268,argue,說服,verbs,1.08
2269,century,十年,nouns,0.89
2270,antagonize,刺激,verbs,4.05
2271,metal,鋁,nouns,1.9
2272,car,高速公路,nouns,0.61
2273,mark,俱樂部,nouns,0.04
2274,course,肚,nouns,0.0
2275,joystick,雷達,nouns,0.21
2276,fabric,麻布,nouns,2.38
2277,hungry,渴,adjectives,1.47
2278,wallpaper,背景,nouns,2.63
2279,search,查詢,verbs,2.98
2280,list,陣列,nouns,1.29
2281,body,手臂,nouns,0.56
2282,scared,緊張,adjectives,2.84
2283,flower,燈泡,nouns,0.39
2284,inaccurately,精確地,adverbs,0.08
2285,buddy,朋友,nouns,4.59
2286,stomach,課程,nouns,0.0
2287,sonnet,美,nouns,0.12
2288,lower,减少,verbs,3.9
2289,shrink,成長,verbs,0.04
2290,passion,情緒,nouns,2.35
2291,winner,存在,nouns,0.04
2292,highway,路,nouns,3.48
2293,take,交付,verbs,0.81
2294,tobacco,香煙,nouns,2.9
2295,fox,獵狗,nouns,1.02
2296,wet,黏,adjectives,1.04
2297,incredibly,非常,adverbs,3.18
2298,peacefully,冷靜地,adverbs,3.79
2299,broad,狹窄,adjectives,0.18
2300,bowling,保齡球選手,nouns,1.44
2301,legion,軍隊,nouns,3.25
2302,bowl,碟,nouns,1.95
2303,importantly,真實地,adverbs,0.49
2304,riot,畫畫,nouns,0.04
2305,molecule,基質,nouns,0.49
2306,shower,修道院,nouns,0.0
2307,television,演員,nouns,0.49
2308,stir,抖動,verbs,0.85
2309,drip,倒,verbs,0.91
2310,bake,炒,verbs,1.88
2311,winner,冠軍,nouns,4.61
2312,feasible,不可能,adjectives,0.13
2313,repress,宣佈放棄,verbs,0.48
2314,pole,旗,nouns,0.52
2315,meat,三明治,nouns,0.21
2316,bishop,大主教,nouns,3.93
2317,window,屋頂,nouns,0.43
2318,street,汽車,nouns,0.71
2319,forgive,接受,verbs,0.82
2320,tonight,今天,adverbs,1.14
2321,cab,巴士,nouns,1.81
2322,tail,懸崖,nouns,0.04
2323,appear,離開,verbs,0.08
2324,apartment,屋,nouns,3.51
2325,acid,鹼,nouns,1.09
2326,university,校園,nouns,2.18
2327,appear,成為,verbs,0.18
2328,night,章節,nouns,0.0
2329,rare,難得,adjectives,4.12
2330,regular,無知,adjectives,0.12
2331,wife,稻草,nouns,0.0
2332,specially,有意義地,adverbs,1.42
2333,bee,螞蟻,nouns,1.13
2334,ice,水,nouns,2.02
2335,virus,血液,nouns,0.58
2336,trick,槍,nouns,0.0
2337,dull,沉悶,adjectives,2.45
2338,key,鎖,nouns,0.69
2339,linen,布,nouns,2.38
2340,exchange,貨幣,nouns,0.96
2341,tragedy,死亡,nouns,1.36
2342,acetylcholine,鳶尾花,nouns,0.0
2343,compare,分析,verbs,2.95
2344,borrow,乞求,verbs,0.9
2345,strength,威力,nouns,4.11
2346,demon,天使,nouns,0.25
2347,student,老師,nouns,0.61
2348,young,焦躁不安,adjectives,0.08
2349,target,箭頭,nouns,0.69
2350,key,王冠,nouns,0.04
2351,calmly,堅固地,adverbs,0.72
2352,foolish,笨,adjectives,4.48
2353,roof,地板,nouns,0.29
2354,god,父親,nouns,0.43
2355,save,花费,verbs,0.04
2356,inquire,需要,verbs,0.04
2357,scream,叫喊,verbs,3.71
2358,sultan,部,nouns,0.2
2359,west,北,nouns,0.55
2360,justice,權利,nouns,1.12
2361,finger,腳趾,nouns,0.78
2362,handbook,指南,nouns,3.58
2363,story,鉛筆,nouns,0.0
2364,friend,夥伴,nouns,4.59
2365,potato,牛油,nouns,0.16
2366,manner,方法,nouns,3.84
2367,divide,團結,verbs,0.04
2368,construct,做,verbs,3.54
2369,god,魔鬼,nouns,0.32
2370,lonely,貧窮,adjectives,0.04
2371,bean,煙肉,nouns,0.04
2372,cloth,衣服,nouns,2.06
2373,change,改變,verbs,4.9
2374,bowl,小巷,nouns,0.04
2375,rude,批評,adjectives,0.74
2376,car,喇叭,nouns,0.55
2377,restore,帶來,verbs,0.26
2378,sharp,鈍,adjectives,0.13
2379,curved,好鬥,adjectives,0.0
2380,dawn,晚上,nouns,0.42
2381,job,工具,nouns,0.21
2382,salt,水,nouns,0.07
2383,never,稍後,adverbs,0.27
2384,suspect,男人,nouns,0.26
2385,swim,見面,verbs,0.32
2386,bone,膝蓋,nouns,0.65
2387,decide,想,verbs,1.09
2388,terminally,主要,adverbs,0.08
2389,biology,解剖學,nouns,2.66
2390,move,編織,verbs,0.19
2391,give,收到,verbs,0.22
2392,horse,母馬,nouns,3.2
2393,lunch,三文治,nouns,1.34
2394,dictionary,字,nouns,0.71
2395,vein,手臂,nouns,0.13
2396,attack,閃電攻擊,nouns,3.04
2397,yarn,線,nouns,2.87
2398,song,歌謠,nouns,3.79
2399,try,想,verbs,0.36
2400,notify,通知,verbs,4.98
2401,organize,收集,verbs,1.14
2402,strange,古怪,adjectives,5.37
2403,watch,裙子,nouns,0.09
2404,combine,甘蔗,nouns,0.0
2405,allowed,合法,adjectives,3.88
2406,dirty,非常好,adjectives,0.0
2407,mediocre,壞,adjectives,0.46
2408,sunshine,射線,nouns,0.59
2409,fail,使氣餒,verbs,0.29
2410,trout,吉他,nouns,0.0
2411,distance,角度,nouns,0.96
2412,crime,盜竊,nouns,2.84
2413,hotel,公寓,nouns,1.38
2414,word,習語,nouns,1.31
2415,congress,議會,nouns,3.09
2416,cover,掩飾,verbs,2.81
2417,task,女人,nouns,0.04
2418,rabbit,貓,nouns,1.13
2419,contemplate,想,verbs,4.03
2420,ostrich,果園,nouns,0.0
2421,finish,競爭,verbs,0.78
2422,horse,牛,nouns,1.25
2423,pact,協議,nouns,4.37
2424,lifestyle,文明,nouns,0.63
2425,pest,農藥,nouns,0.68
2426,weather,波浪,nouns,0.04
2427,shapeless,不定形,adjectives,3.98
2428,boring,累,adjectives,0.2
2429,ordinary,冷,adjectives,0.0
2430,aluminium,金屬,nouns,1.9
2431,mouse,管理,nouns,0.04
2432,stumble,跌倒,verbs,3.71
2433,adult,監護人,nouns,2.13
2434,funny,枯燥,adjectives,0.04
2435,wall,城堡,nouns,0.25
2436,bias,傾向,verbs,2.64
2437,sing,大笑,verbs,0.33
2438,leave,出現,verbs,0.08
2439,precious,懶,adjectives,0.04
2440,engine,摩打,nouns,3.93
2441,topic,書,nouns,0.07
2442,neck,手臂,nouns,0.32
2443,messy,清潔,adjectives,0.13
2444,do,戒除,verbs,0.08
2445,sphere,球,nouns,4.25
2446,teeth,鎚,nouns,0.04
2447,coffee,豆,nouns,0.62
2448,tsunami,海,nouns,1.36
2449,national,聞名,adjectives,0.0
2450,burial,死亡,nouns,1.8
2451,doctor,脾氣,nouns,0.18
2452,actor,電視,nouns,0.49
2453,tower,鐘,nouns,0.26
2454,protect,幫助,verbs,2.17
2455,weep,哭,verbs,4.8
2456,cinematography,導演,nouns,1.06
2457,brow,眼睛,nouns,0.85
2458,plead,乞求,verbs,4.16
2459,sly,機靈,adjectives,2.78
2460,boundary,國境,nouns,4.29
2461,triumph,勝利,nouns,4.75
2462,blood,病毒,nouns,0.58
2463,day,黎明,nouns,2.43
2464,pathogen,病菌,nouns,3.53
2465,quickly,紧急,adverbs,3.56
2466,dissolve,混合,verbs,0.78
2467,tax,收入,nouns,0.33
2468,pure,謙虛,adjectives,0.41
2469,quit,做,verbs,0.08
2470,mouse,貓,nouns,0.29
2471,bored,平淡,adjectives,2.45
2472,read,咬,verbs,0.09
2473,forgive,明白,verbs,0.56
2474,money,資本,nouns,3.41
2475,electricity,案件,nouns,0.0
2476,ignore,打印,verbs,0.0
2477,vehicle,巴士,nouns,2.05
2478,despise,收費,verbs,0.0
2479,child,男孩,nouns,2.02
2480,engine,機器,nouns,2.17
2481,usually,很少地,adverbs,0.16
2482,fry,煮沸,verbs,0.99
2483,antecedent,過去,nouns,2.66
2484,leave,進入,verbs,0.08
2485,known,流行,adjectives,2.39
2486,college,職業,nouns,0.23
