ID,ENG,YUE,PoS,score
2487,coat,帽子,nouns,0.33
2488,accuse,說謊,verbs,0.16
2489,cherish,保持,verbs,0.7
2490,discreetly,有禮貌地,adverbs,1.52
2491,tired,無聊,adjectives,0.2
2492,strong,自豪,adjectives,0.49
2493,belief,概念,nouns,1.27
2494,income,税,nouns,0.33
2495,basilica,馬賽克,nouns,0.19
2496,instructor,老師,nouns,3.86
2497,accident,書,nouns,0.0
2498,hug,摟抱,verbs,4.91
2499,happiness,悲傷,nouns,0.13
2500,crooked,彎曲,adjectives,2.73
2501,stubborn,蠢,adjectives,0.38
2502,cow,家牛,nouns,4.16
2503,writer,禮物,nouns,0.04
2504,skirt,手錶,nouns,0.09
2505,dangerously,小心地,adverbs,0.09
2506,reduce,降低,verbs,3.9
2507,lightly,明亮地,adverbs,0.71
2508,drift,流,verbs,1.57
2509,meat,煙肉,nouns,2.12
2510,care,謹慎,nouns,4.0
2511,child,成人,nouns,0.47
2512,protein,柄,nouns,0.04
2513,carbohydrate,蔗糖,nouns,1.97
2514,church,合唱團,nouns,0.51
2515,marginally,十足地,adverbs,0.08
2516,fraud,犯罪,nouns,2.48
2517,steel,合金,nouns,2.71
2518,exit,選舉權,nouns,0.04
2519,floor,天花板,nouns,0.29
2520,irregularly,平時,adverbs,0.29
2521,rhythm,旋律,nouns,2.56
2522,give,放,verbs,0.47
2523,victory,凱旋,nouns,4.75
2524,gun,戲法,nouns,0.0
2525,run,騎,verbs,0.28
2526,sentry,男人,nouns,0.89
2527,weekly,每月,adjectives,1.11
2528,explain,證明,verbs,2.66
2529,find,逃逸,verbs,0.0
2530,sell,借,verbs,0.08
2531,yell,尖叫,verbs,3.71
2532,saint,罪人,nouns,0.12
2533,boy,狀態,nouns,0.04
2534,capability,力量,nouns,2.75
2535,ceiling,大教堂,nouns,0.04
2536,shut,嘔吐,verbs,0.0
2537,bedroom,肚,nouns,0.04
2538,body,血液,nouns,0.52
2539,forget,提醒,verbs,0.08
2540,chapter,晚上,nouns,0.0
2541,whistle,停,verbs,0.14
2542,brain,頭腦,nouns,3.89
2543,cent,人,nouns,0.14
2544,bad,極好,adjectives,0.08
2545,ashamed,內疚,adjectives,4.09
2546,sad,搞笑,adjectives,0.16
2547,hurricane,暴風雨,nouns,3.29
2548,apple,醬,nouns,0.56
2549,pointer,幻灯片,nouns,0.14
2550,theory,定理,nouns,4.69
2551,attract,打,verbs,0.0
2552,canyon,山谷,nouns,4.11
2553,monastery,沖涼,nouns,0.0
2554,join,加,verbs,3.17
2555,easy,脆弱,adjectives,0.52
2556,vector,矩陣,nouns,1.27
2557,ozone,大氣層,nouns,2.87
2558,obvious,顯然,adjectives,4.93
2559,organ,腎,nouns,2.73
2560,boy,哥哥,nouns,2.3
2561,real,假,adjectives,0.18
2562,scared,害羞,adjectives,1.92
2563,beef,家牛,nouns,2.63
2564,finger,手掌,nouns,1.12
2565,steal,給,verbs,0.08
2566,elbow,踝,nouns,0.51
2567,home,在別處,adverbs,0.24
2568,seldom,經常,adverbs,0.16
2569,bus,車輛,nouns,2.05
2570,intelligence,智慧,nouns,3.92
2571,rice,男孩,nouns,0.04
2572,gift,作家,nouns,0.04
2573,penny,便宜貨,nouns,0.21
2574,flower,忍耐力,nouns,0.04
2575,organize,成為,verbs,0.09
2576,carefully,安全地,adverbs,2.52
2577,overt,未公開,adjectives,0.36
2578,mine,岩石,nouns,0.73
2579,deadly,高高興興地,adverbs,0.04
2580,winner,目標,nouns,0.33
2581,conquest,聖歌,nouns,0.0
2582,make,建造,verbs,3.54
2583,water,鹽,nouns,0.07
2584,plenty,豐富,nouns,4.32
2585,hear,察覺,verbs,1.15
2586,certain,肯定,adjectives,5.23
2587,candidate,獲勝者,nouns,0.79
2588,give,保持,verbs,0.09
2589,pupil,總統,nouns,0.04
2590,destruction,建造,nouns,0.21
2591,demand,訓斥,verbs,0.04
2592,ride,跑,verbs,0.28
2593,gun,刀,nouns,1.42
2594,sadness,幸福,nouns,0.13
2595,old,新,adjectives,0.13
2596,caliber,遮,nouns,0.0
2597,leave,撤退,verbs,3.46
2598,hate,喜愛,verbs,0.09
2599,party,人們,nouns,0.71
2600,crib,床,nouns,3.23
2601,sun,天空,nouns,0.77
2602,caution,注意,nouns,4.0
2603,exit,門口,nouns,2.88
2604,succeed,贏,verbs,3.63
2605,dad,母親,nouns,1.36
2606,arm,骨頭,nouns,0.29
2607,offend,侮辱,verbs,4.12
2608,acquire,搵到,verbs,2.54
2609,camp,艙,nouns,0.52
2610,misery,絕望,nouns,4.17
2611,dream,天空,nouns,0.07
2612,leave,無視,verbs,0.71
2613,juice,奶昔,nouns,0.67
2614,flexible,謙虛,adjectives,0.14
2615,moral,傳說,nouns,0.16
2616,storm,颶風,nouns,3.29
2617,cinnamon,糖果,nouns,0.29
2618,actively,被動地,adverbs,0.08
2619,fresh,新,adjectives,2.86
2620,foreigner,翻譯者,nouns,0.29
2621,breathe,嗆,verbs,0.36
2622,homework,文章,nouns,2.17
2623,hand,拇指,nouns,1.4
2624,cytoplasm,數字,nouns,0.0
2625,unite,劃分,verbs,0.04
2626,sugarcane,聯合,nouns,0.0
2627,bedroom,床,nouns,1.39
2628,understand,原諒,verbs,0.56
2629,waist,肚,nouns,2.28
2630,doorway,出口,nouns,2.88
2631,weave,绑,verbs,1.5
2632,accept,推介,verbs,0.0
2633,door,存在,nouns,0.0
2634,people,氣球,nouns,0.0
2635,pray,溝通,verbs,0.48
2636,road,高速公路,nouns,3.48
2637,finished,完結,adjectives,5.15
2638,knife,槍,nouns,1.42
2639,wife,一分錢,nouns,0.0
2640,nice,残酷,adjectives,0.0
2641,rhythm,詩,nouns,0.48
2642,action,遊戲,nouns,0.48
2643,lawyer,檢察官,nouns,3.32
2644,join,合作,verbs,1.02
2645,orchard,鴕鳥,nouns,0.0
2646,piano,和聲,nouns,0.43
2647,learn,忘記,verbs,0.08
2648,red,藍色,adjectives,0.4
2649,avionics,航空學,nouns,3.37
2650,breakfast,煙肉,nouns,0.54
2651,oat,田,nouns,0.41
2652,bedroom,單車,nouns,0.0
2653,dumb,巨大,adjectives,0.13
2654,recently,現實地,adverbs,0.32
2655,plead,請,verbs,0.54
2656,furniture,公寓,nouns,0.33
2657,meaningfully,特別,adverbs,1.42
2658,cameo,性能,nouns,0.69
2659,irritate,對抗,verbs,2.11
2660,writer,小說,nouns,0.38
2661,skiing,滑雪板,nouns,1.02
2662,seem,假扮,verbs,0.87
2663,cattle,牛,nouns,4.16
2664,hate,批評,verbs,0.62
2665,new,舊,adjectives,0.13
2666,fight,玩,verbs,0.18
2667,mind,大腦,nouns,3.89
2668,eye,眉頭,nouns,0.85
2669,economy,生態系統,nouns,0.33
2670,nature,植物群,nouns,1.91
2671,chase,抓住,verbs,0.55
2672,liver,肺,nouns,0.62
2673,hail,雨,nouns,1.33
2674,dull,尖,adjectives,0.13
2675,calendar,假日,nouns,0.43
2676,book,主題,nouns,0.27
2677,stop,禁止,verbs,3.09
2678,safe,合法,adjectives,0.79
2679,nail,拇指,nouns,1.34
2680,bread,肉,nouns,0.22
2681,peacefully,混亂,adverbs,0.04
2682,unformed,制服,adjectives,0.0
2683,football,有趣,nouns,0.18
2684,fraternity,門,nouns,0.0
2685,choice,靜脈,nouns,0.04
2686,exciting,平淡,adjectives,0.22
2687,aggravate,攻擊,verbs,0.47
2688,offering,貢獻,nouns,3.5
2689,coast,小炮艦,nouns,0.08
2690,sister,兄弟,nouns,1.57
2691,bring,發送,verbs,0.13
2692,ring,訂婚,nouns,1.29
2693,piece,飛機場,nouns,0.0
2694,lucky,慚愧,adjectives,0.04
2695,month,八月,nouns,2.18
2696,animal,人,nouns,0.49
2697,openly,大規模,adverbs,0.23
2698,allow,侵蝕,verbs,0.0
2699,humble,謙虛,adjectives,5.18
2700,presence,門,nouns,0.0
2701,possess,吸收,verbs,0.33
2702,take,離開,verbs,0.08
2703,car,電梯,nouns,0.13
2704,mother,監護人,nouns,2.62
2705,car,貨車,nouns,2.02
2706,liquor,樂隊,nouns,0.0
2707,float,唱,verbs,0.0
2708,flower,灌木,nouns,1.56
2709,baseball,籃球,nouns,1.14
2710,glad,瘋狂,adjectives,0.28
2711,ceiling,屋頂,nouns,3.48
2712,add,除,verbs,0.52
2713,stupid,頑固,adjectives,0.38
2714,hole,妻子,nouns,0.0
2715,cup,罐子,nouns,1.94
2716,topic,故事,nouns,0.96
2717,precisely,不準確地,adverbs,0.08
2718,mountain,窗台,nouns,0.27
2719,later,從未,adverbs,0.27
2720,instrument,小提琴,nouns,1.65
2721,clue,字,nouns,0.14
2722,cardboard,紙,nouns,2.62
2723,communication,語言,nouns,1.72
2724,meal,腰部,nouns,0.0
2725,meal,晚餐,nouns,2.61
2726,smell,發出惡臭,verbs,3.08
2727,chocolate,派,nouns,0.41
2728,oasis,自由,nouns,0.15
2729,camera,鏡片,nouns,0.91
2730,communicate,祈禱,verbs,0.48
2731,happiness,和平,nouns,2.48
2732,acknowledge,接受,verbs,2.81
2733,editorial,新聞,nouns,2.28
2734,inflection,感染,nouns,0.09
2735,rational,清醒,adjectives,2.58
2736,frame,打,nouns,0.14
2737,unmentionable,婚外,adjectives,0.3
2738,ignorant,頻繁,adjectives,0.12
2739,truck,汽車,nouns,2.02
2740,arm,頸,nouns,0.32
2741,barn,屋,nouns,0.79
2742,princess,國王,nouns,1.43
2743,tomb,重新安葬,nouns,0.66
2744,deck,老鼠,nouns,0.04
2745,skill,智力,nouns,1.97
2746,boil,炒,verbs,0.99
2747,biscuit,公主,nouns,0.0
2748,clothes,布料,nouns,2.06
2749,application,申請人,nouns,0.62
2750,dog,貓,nouns,0.63
2751,extramarital,不宜說出口的,adjectives,0.3
2752,husband,老婆,nouns,1.86
2753,daughter,嬰兒,nouns,1.88
2754,century,年,nouns,0.68
2755,employer,員工,nouns,0.33
2756,bed,傢俱,nouns,2.05
2757,supper,餐,nouns,2.61
2758,bride,公主,nouns,0.32
2759,basically,充分,adverbs,0.4
2760,incredibly,緊緊地,adverbs,0.14
2761,mix,煮,verbs,0.49
2762,punish,擊中,verbs,0.31
2763,sunset,表,nouns,0.0
2764,know,忘記,verbs,0.08
2765,evaluate,學習,verbs,0.32
2766,once,兩次,adverbs,0.59
2767,tin,金屬,nouns,1.95
2768,opening,缺口,nouns,4.06
2769,senate,憲法,nouns,0.57
2770,anger,狂怒,nouns,4.71
2771,drench,减少,verbs,0.04
2772,computer,磁盘,nouns,0.98
2773,people,派對,nouns,0.71
2774,note,付款,nouns,0.58
2775,leave,見面,verbs,0.0
2776,room,床,nouns,0.37
2777,comprehend,滿足,verbs,0.07
2778,son,男孩子,nouns,2.05
2779,democracy,帝制,nouns,0.46
2780,bird,火雞,nouns,2.09
2781,mad,極好,adjectives,0.0
2782,palace,高樓大廈,nouns,0.25
2783,help,問,verbs,0.15
2784,tail,章,nouns,0.04
2785,decompose,毀滅,verbs,0.69
2786,realize,發現,verbs,3.33
2787,legend,道德,nouns,0.16
2788,competence,能力,nouns,4.31
2789,judge,裁判官,nouns,4.23
2790,airport,飛機,nouns,0.51
2791,baby,女兒,nouns,1.88
2792,descend,撤退,verbs,0.82
2793,add,加入,verbs,3.17
2794,arm,腿,nouns,0.49
2795,winter,夏天,nouns,0.28
2796,trainers,獎章,nouns,0.08
2797,information,書,nouns,0.96
2798,securely,小心地,adverbs,2.52
2799,castle,壁,nouns,0.25
2800,cloud,霧氣,nouns,2.58
2801,abnormally,一般,adverbs,0.04
2802,dive,創建,verbs,0.04
2803,pray,問,verbs,0.72
2804,difficult,簡單,adjectives,0.18
2805,curved,歪斜,adjectives,2.73
2806,give,斷絕父子關係,verbs,0.08
2807,drum,吉他,nouns,0.68
2808,white,狹窄,adjectives,0.0
2809,tongue,肌肉,nouns,0.95
2810,new,古老,adjectives,0.13
2811,arm,膝蓋,nouns,0.22
2812,meat,牛肉,nouns,2.79
2813,poorly,謙遜地,adverbs,0.33
2814,sky,陽光,nouns,0.77
2815,agriculture,單一耕作,nouns,1.45
2816,priest,天神,nouns,0.51
2817,argue,需求,verbs,0.23
2818,uniform,鈎織編織,nouns,0.0
2819,restless,年輕,adjectives,0.08
2820,teeth,骨頭,nouns,2.04
2821,money,工資,nouns,3.34
2822,band,管弦樂隊,nouns,3.21
2823,adult,嬰兒,nouns,0.33
2824,vulnerable,簡單,adjectives,0.52
2825,acoustics,聲音,nouns,3.13
2826,helicopter,飛機,nouns,1.95
2827,keep,借,verbs,0.12
2828,handle,蛋白質,nouns,0.04
2829,flu,發熱,nouns,1.46
2830,flow,漂移,verbs,1.57
2831,malware,蠕蟲,nouns,0.16
2832,firmly,輕輕的,adverbs,0.04
2833,mostly,主要,adverbs,3.5
2834,fur,槍,nouns,0.04
2835,fencing,體操,nouns,0.66
2836,harsh,殘酷,adjectives,3.6
2837,soul,兄弟,nouns,0.0
2838,sly,奇怪,adjectives,0.48
2839,director,老闆,nouns,3.65
2840,beautifully,優雅地,adverbs,3.39
2841,safely,高高興興地,adverbs,0.44
2842,outgoing,進來,adjectives,0.08
2843,defend,保護,verbs,3.73
2844,crime,違反,nouns,3.06
2845,sorrow,羞愧,nouns,1.72
2846,confidently,偷偷,adverbs,0.27
2847,cruel,不公平,adjectives,1.21
2848,paragraph,信,nouns,0.12
2849,terrific,壞,adjectives,0.08
2850,friend,老師,nouns,0.61
2851,lip,臀部,nouns,0.13
2852,capture,模仿,verbs,0.12
2853,know,明白,verbs,3.41
2854,box,雪茄,nouns,0.12
2855,base,底部,nouns,2.87
2856,friend,傢伙,nouns,0.92
2857,drought,水,nouns,0.04
2858,brightly,非常,adverbs,0.77
2859,truly,重要地,adverbs,0.49
2860,play,搏鬥,verbs,0.18
2861,blend,打,verbs,0.15
2862,floor,門,nouns,0.22
2863,arm,肩膀,nouns,1.25
2864,exchange,替換,nouns,3.54
2865,rare,非一般,adjectives,4.21
2866,score,水平,nouns,0.78
2867,destroy,殺,verbs,2.33
2868,physician,醫生,nouns,4.85
2869,sensor,散熱器,nouns,0.48
2870,discover,探索,verbs,2.52
2871,popular,聞名,adjectives,2.39
2872,parade,樂隊,nouns,0.49
2873,surgery,心臟,nouns,0.44
2874,go,來,verbs,0.45
2875,management,工作,nouns,0.74
2876,arrive,來,verbs,2.33
2877,monk,十字架,nouns,0.21
2878,beach,島,nouns,0.91
2879,argue,叫喊,verbs,1.02
2880,tank,汽車,nouns,0.68
2881,party,面具,nouns,0.14
2882,navy,軍隊,nouns,2.72
2883,nerve,身體,nouns,0.28
2884,encourage,使氣餒,verbs,0.04
2885,style,時裝,nouns,3.65
2886,lake,雲,nouns,0.18
2887,girl,女傭,nouns,0.49
2888,phone,受害者,nouns,0.04
2889,arrest,懷疑,verbs,0.26
2890,ankle,窗口,nouns,0.09
2891,racket,球,nouns,0.71
2892,muffin,香芹,nouns,0.04
2893,box,帽子,nouns,0.04
2894,unusual,罕見,adjectives,4.21
2895,value,信念,nouns,2.99
2896,session,病人,nouns,0.4
2897,argue,出席,verbs,0.04
2898,arithmetic,邏輯,nouns,2.2
2899,disagree,同意,verbs,0.13
2900,storm,雲,nouns,1.09
2901,lady,先生,nouns,0.72
2902,bottle,罐,nouns,1.83
2903,bed,沙發,nouns,1.98
2904,sea,海洋,nouns,5.35
2905,cube,骰子,nouns,2.3
2906,hole,協議,nouns,0.0
2907,artificial,假,adjectives,4.1
2908,sober,醉酒,adjectives,0.13
2909,iris,乙酰膽鹼,nouns,0.0
2910,princedom,公國,nouns,1.33
2911,normally,異常地,adverbs,0.04
2912,boy,小孩,nouns,2.25
2913,cyclone,颱風,nouns,3.62
2914,notify,描繪,verbs,0.0
2915,agree,不同意,verbs,0.13
2916,foot,基底,nouns,2.87
2917,quit,開始,verbs,0.08
2918,think,記得,verbs,0.47
2919,wagon,馬車,nouns,3.5
2920,failure,破產,nouns,1.12
2921,car,胎壓計,nouns,0.0
2922,steal,綁架,verbs,1.1
2923,mouth,牙齒,nouns,0.74
2924,pursue,說服,verbs,0.18
2925,illustration,起泡,nouns,0.04
2926,poverty,財富,nouns,0.25
2927,minor,重大,adjectives,0.18
2928,zero,無窮,nouns,0.54
2929,cup,匙羹,nouns,0.84
2930,lose,保持,verbs,0.04
2931,protect,冚住,verbs,1.25
2932,cigar,盒子,nouns,0.12
2933,army,海軍,nouns,2.72
2934,mouth,鼻子,nouns,0.48
2935,brick,牆,nouns,0.72
2936,background,牆紙,nouns,2.63
2937,straw,妻子,nouns,0.0
2938,shuffle,騎,verbs,0.0
2939,applicant,申請,nouns,0.62
2940,xenophobia,種族主義,nouns,4.14
2941,bowl,尾巴,nouns,0.0
2942,news,流言蜚語,nouns,1.53
2943,abdomen,肚皮,nouns,2.98
2944,gravity,流星,nouns,0.39
2945,archbishop,主教,nouns,3.93
2946,burn,扼殺,verbs,0.23
2947,promise,發誓,verbs,4.25
2948,nozzle,流體,nouns,0.18
2949,essential,必須,adjectives,5.22
2950,weapon,頭盔,nouns,1.01
2951,join,獲得,verbs,0.15
2952,north,南,nouns,0.95
2953,fact,證明,nouns,1.66
2954,cop,警長,nouns,3.67
2955,create,毀滅,verbs,0.08
2956,fly,螞蟻,nouns,0.72
2957,child,女孩,nouns,2.15
2958,impatiently,大致,adverbs,0.72
2959,biotope,生物學,nouns,0.48
2960,salary,錢,nouns,3.34
2961,put,掛,verbs,0.79
2962,tennis,統計資料,nouns,0.0
2963,blue,紅色,adjectives,0.4
2964,proper,正式,adjectives,3.48
2965,stomach,睡房,nouns,0.04
2966,array,名單,nouns,1.29
2967,currently,最近,adverbs,2.89
2968,situation,狀況,nouns,5.27
2969,dumb,傻,adjectives,4.48
2970,mother,妻子,nouns,2.25
2971,rare,笨,adjectives,0.14
2972,gun,人,nouns,0.28
2973,steal,購買,verbs,0.12
2974,discreetly,明顯地,adverbs,0.08
2975,probably,積極地,adverbs,0.55
2976,doctor,大夫,nouns,4.85
2977,fall,傷害,verbs,0.33
2978,taxi,的士,nouns,5.85
2979,humbly,糟糕,adverbs,0.33
2980,stream,河,nouns,3.45
2981,strength,能力,nouns,2.75
2982,cannon,球,nouns,0.4
2983,bankruptcy,失敗,nouns,1.12
2984,huge,笨,adjectives,0.13
2985,borrow,賣,verbs,0.08
2986,achieve,收到,verbs,0.18
2987,big,容易,adjectives,0.0
2988,spotless,清潔,adjectives,5.19
2989,unlikely,友好,adverbs,0.0
2990,loudly,微妙地,adverbs,0.08
2991,surely,有時,adverbs,0.04
2992,father,天神,nouns,0.43
2993,glare,瞇,verbs,0.59
2994,racket,喧鬧聲,nouns,3.75
2995,powerful,強大,adjectives,5.33
2996,unnaturally,負面地,adverbs,0.44
2997,coal,木炭,nouns,3.02
2998,dishonest,真實,adjectives,0.08
2999,watch,觀察,verbs,4.79
3000,director,攝影,nouns,1.06
3001,sad,自豪,adjectives,0.0
3002,activity,運動,nouns,2.86
3003,dishonest,壞,adjectives,1.12
3004,surely,當然,adverbs,4.57
3005,lazy,珍貴,adjectives,0.04
3006,diode,電容器,nouns,1.84
3007,bed,椅子,nouns,1.18
3008,obviously,大致,adverbs,0.59
3009,wait,離開,verbs,0.0
3010,abundance,許多,nouns,4.32
3011,humiliate,安慰,verbs,0.04
3012,cursor,微晶片,nouns,0.04
3013,convention,規則,nouns,2.84
3014,curved,直,adjectives,0.21
3015,passively,積極地,adverbs,0.08
3016,sound,聲學,nouns,3.13
3017,neurosis,頭腦,nouns,0.65
3018,gum,薄荷,nouns,0.52
3019,angel,惡魔,nouns,0.25
3020,fraternity,棒球,nouns,0.14
3021,spiritual,無實體,adjectives,0.71
3022,geyser,泉,nouns,3.15
3023,lamp,精靈,nouns,0.47
3024,now,這裡,adverbs,0.99
3025,plane,噴射機,nouns,4.03
3026,saver,存款,nouns,1.43
3027,hen,鳥,nouns,1.31
3028,cook,混合,verbs,0.49
3029,hug,扼殺,verbs,0.62
3030,bone,肘,nouns,0.64
3031,sergeant,槍,nouns,0.55
3032,intelligent,笨,adjectives,0.32
3033,champion,優勝者,nouns,4.61
3034,forget,原諒,verbs,0.12
3035,rough,冷淡,adjectives,0.04
3036,narrow,白色,adjectives,0.0
3037,hand,腳,nouns,1.41
3038,source,盒子,nouns,0.04
3039,nail,手,nouns,0.6
3040,order,菜單,nouns,0.72
3041,diet,沙拉,nouns,0.7
3042,office,工作者,nouns,0.29
3043,analyze,評估,verbs,4.54
3044,servant,奴隸,nouns,3.54
3045,foreclose,努力,verbs,0.0
3046,awful,偉大,adjectives,0.13
3047,attend,聚集,verbs,0.49
3048,contribution,給予,nouns,3.5
3049,way,方式,nouns,3.84
3050,adult,小孩,nouns,0.47
3051,energy,電池,nouns,2.0
3052,great,攞命,adjectives,0.13
3053,seriously,真誠地,adverbs,2.47
3054,phrase,字,nouns,1.31
3055,man,女人,nouns,0.47
3056,water,乾旱,nouns,0.04
3057,confuse,學習,verbs,0.0
3058,mechanic,工人,nouns,1.92
3059,clothes,衣櫃,nouns,0.72
3060,disorganized,井井有條,verbs,0.08
3061,retreat,離開,verbs,3.46
3062,disappear,收縮,verbs,0.91
3063,twice,多,adverbs,0.7
3064,bathroom,睡房,nouns,0.78
3065,matrix,分子,nouns,0.49
3066,tear,穿,verbs,0.31
3067,hypothesis,理論,nouns,3.95
3068,waste,擔心,verbs,0.0
3069,mainboard,主機板,nouns,3.21
3070,dune,沙漠,nouns,1.99
3071,business,工業,nouns,3.28
3072,include,包括,verbs,4.25
3073,conversation,溝通,nouns,3.31
3074,crown,锁匙,nouns,0.04
3075,curve,角度,nouns,1.34
3076,wagon,容器,nouns,0.2
3077,sea,海嘯,nouns,1.36
3078,easy,簡單,adjectives,5.08
3079,erode,允許,verbs,0.0
3080,grown,未成熟的,adjectives,0.08
3081,table,日落,nouns,0.0
3082,legal,安全,adjectives,0.79
3083,catch,追逐,verbs,0.55
3084,governor,皇帝,nouns,1.25
3085,area,區城,nouns,4.63
3086,billionaire,無家可歸,nouns,0.32
3087,elephant,指南針,nouns,0.04
3088,ask,祈禱,verbs,0.72
3089,poor,自豪,adjectives,0.0
3090,theatre,電池,nouns,0.09
3091,wood,石,nouns,0.36
3092,rude,粗糙,adjectives,1.08
3093,woman,毛,nouns,0.0
3094,duke,共和國,nouns,0.22
3095,avoid,拒絕,verbs,0.56
3096,woman,妻子,nouns,1.59
3097,beauty,十四行詩,nouns,0.12
3098,politician,總統,nouns,2.89
3099,wealth,名譽,nouns,0.94
