ID,EST,FRA,PoS,score
1,rütm,poème,nouns,1.75
2,oletama,prédire,verbs,3.05
3,koer,chat,nouns,1.95
4,tehing,centime,nouns,0.2
5,algama,provenir,verbs,1.2
6,nõustuma,accepter,verbs,4.5
7,muru,mousse,nouns,2.25
8,auto,usine,nouns,0.8
9,kallama,goutter,verbs,1.35
10,niit,brin,nouns,2.9
11,täielikult,au fond,adverbs,1.6
12,tunnel,chemin,nouns,1.5
13,hiiglasuur,stupide,adjectives,0.75
14,rahumeelselt,calmement,adverbs,4.7
15,vastutustundlikult,indépendamment,adverbs,1.5
16,näpistama,frapper,verbs,2.25
17,tegema,détruire,verbs,1.1
18,globalism,visa,nouns,1.1
19,läbi kukkuma,réussir,verbs,1.2
20,piibel,hymne,nouns,0.45
21,veri,virus,nouns,1.6
22,täht,planète,nouns,2.95
23,vaimustav,terne,adjectives,0.35
24,viga,système,nouns,0.5
25,nina,gorge,nouns,1.95
26,mees,oncle,nouns,2.35
27,relv,casque,nouns,1.25
28,katus,sol,nouns,1.45
29,advokaat,galerie,nouns,0.05
30,loputama,laver,verbs,4.0
31,sisalik,crocodile,nouns,3.0
32,päästma,détruire,verbs,0.75
33,deemon,ange,nouns,1.75
34,tegema,devenir,verbs,1.3
35,raevukas,hésitant,adjectives,0.65
36,tädi,neveu,nouns,1.85
37,müüt,satire,nouns,1.5
38,raamat,thème,nouns,1.05
39,põhjendamatult,injustement,adverbs,2.6
40,ennustama,supposer,verbs,2.92
41,hindeid panema,noter,verbs,5.3
42,kino,pop-corn,nouns,1.45
43,radar,manette,nouns,0.3
44,käsi,genou,nouns,1.6
45,veski,grain,nouns,1.7
46,sassis,ordonné,adjectives,1.25
47,imik,adulte,nouns,1.55
48,uskumus,concept,nouns,2.4
49,ära tõukama,négliger,verbs,1.8
50,pastakas,alphabet,nouns,0.85
51,rahul,heureux,adjectives,4.55
52,intelligentne,malin,adjectives,4.9
53,lennuk,aéroport,nouns,2.05
54,kaval,étrange,adjectives,1.4
55,linateos,film,nouns,5.5
56,teenima,faire,verbs,0.65
57,küsima,plaider,verbs,2.75
58,klaas,badge,nouns,0.4
59,suurepärane,brillant,adjectives,4.85
60,hiir,gestion,nouns,0.0
61,õiglus,droit,nouns,3.5
62,valetama,prétendre,verbs,3.35
63,suur,national,adjectives,0.6
64,ruupor,tambour,nouns,1.75
65,taasmatmine,tombe,nouns,1.65
66,lugu,sujet,nouns,2.05
67,sajand,décennie,nouns,2.25
68,vastu võtma,recommander,verbs,0.75
69,põlglik,dédaigneux,adjectives,5.65
70,poiss,soldat,nouns,1.3
71,puhas,désordonné,adjectives,1.0
72,pirukas,chocolat,nouns,1.4
73,rahutult,nerveusement,adverbs,5.2
74,rahvastik,personne,nouns,3.65
75,privaatne,personnel,adjectives,5.5
76,veok,voiture,nouns,3.2
77,tee,citron,nouns,1.1
78,bronhiit,paracétamol,nouns,1.25
79,säilitama,rester,verbs,1.6
80,ranne,main,nouns,2.6
81,müüma,aller,verbs,0.35
82,haruldane,inhabituel,adjectives,4.8
83,abikaasa (mees),homme,nouns,3.8
84,aju,nerf,nouns,2.0
85,filosoof,course,nouns,0.15
86,mahl,milk-shake,nouns,2.0
87,romaan,écrivain,nouns,1.75
88,põhiseadus,empereur,nouns,1.0
89,propageerima,avancer,verbs,2.8
90,sõltuma,compter sur,verbs,3.35
91,sõbralik,généreux,adjectives,2.75
92,kohut mõistma,témoigner,verbs,1.5
93,seisund,situation,nouns,4.25
94,keha,sang,nouns,1.85
95,luu,cou,nouns,1.4
96,varastama,acquérir,verbs,1.2
97,sõdur,paix,nouns,0.9
98,nautima,détester,verbs,0.85
99,vihje,fait,nouns,1.1
100,viiul,instrument,nouns,2.9
101,vaidlema,convaincre,verbs,2.8
102,ilmselt,simplement,adverbs,1.45
103,korraldama,collecter,verbs,1.0
104,autor,créateur,nouns,5.2
105,täiskasvanu,bébé,nouns,1.55
106,tass,cône,nouns,0.55
107,taotleja,candidature,nouns,2.1
108,muld,boue,nouns,2.9
109,vili,maïs,nouns,2.4
110,pall,panier,nouns,1.05
111,tuntud,national,adjectives,1.3
112,koridor,salle de cours,nouns,1.05
113,lõuna,nord,nouns,1.9
114,täna õhtul,aujourd'hui,adverbs,2.85
115,stipendium,frais de scolarité,nouns,1.85
116,unustama,savoir,verbs,1.0
117,jumal,prêtre,nouns,1.75
118,valetama,nier,verbs,1.85
119,keha,estomac,nouns,2.3
120,tila,fluide,nouns,1.45
121,plärtsatus,viscosité,nouns,0.4
122,kits,vache,nouns,1.85
123,julm,agréable,adjectives,0.55
124,kahuripaat,côte,nouns,0.55
125,auto,jauge,nouns,0.95
126,poliitik,policier,nouns,1.05
127,lumi,glace,nouns,3.55
128,džinn,lampe,nouns,1.35
129,põrand,toit,nouns,1.45
130,kandidaat,vainqueur,nouns,1.9
131,tugevalt,officiellement,adverbs,0.7
132,sild,voiture,nouns,0.6
133,sfäär,ballon,nouns,2.25
134,töö,outil,nouns,1.05
135,valmistaja,créateur,nouns,4.45
136,jõukus,renommée,nouns,1.8
137,male,échouage,nouns,1.55
138,puuvill,pull-over,nouns,1.45
139,haruldane,stupide,adjectives,0.15
140,laps,adulte,nouns,1.7
141,elekter,boîtier,nouns,0.85
142,teravili,blé,nouns,3.6
143,äädikas,salade,nouns,1.15
144,küllus,profusion,nouns,5.1
145,tegema,se produire,verbs,1.35
146,uba,café,nouns,1.05
147,hoidma,posséder,verbs,2.55
148,jogurt,bétail,nouns,0.35
149,suhtlema,prier,verbs,0.8
150,kirg,émotion,nouns,3.8
151,võtma,obtenir,verbs,2.7
152,lõhnama,puer,verbs,3.3
153,kasutamata,nouveau,adjectives,4.4
154,lusikas,tasse,nouns,1.55
155,mööbel,lit,nouns,2.6
156,parlament,congrès,nouns,3.45
157,jäätisekokteil,jus,nouns,2.0
158,põõsas,fleur,nouns,2.1
159,püsimatu,jeune,adjectives,1.15
160,soovima,désirer,verbs,5.15
161,ebanormaalselt,normalement,adverbs,1.05
162,kleepuv,humide,adjectives,1.85
163,naljakas,triste,adjectives,0.95
164,põikpäine,stupide,adjectives,2.15
165,õppima,éduquer,verbs,3.45
166,hellitama,garder,verbs,2.55
167,panema,pendre,verbs,1.3
168,seade,pot,nouns,0.2
169,ebaloomulikult,négativement,adverbs,1.2
170,otsima,regarder,verbs,2.05
171,silm,sourcil,nouns,2.0
172,hoomama,satisfaire,verbs,0.45
173,puhtalt,complètement,adverbs,2.6
174,kohalikult,évidemment,adverbs,0.2
175,kodutu,milliardaire,nouns,1.15
176,miljardär,sans abri,nouns,1.15
177,orkester,groupe,nouns,3.45
178,kana,dîner,nouns,1.15
179,ausalt,loyalement,adverbs,3.7
180,kino,télévision,nouns,2.75
181,raputama,recueillir,verbs,0.2
182,hoidma,retenir,verbs,4.55
183,arvama,énerver,verbs,0.35
184,kuulama,apprendre,verbs,2.1
185,tapma,détruire,verbs,3.0
186,auto,réservoir,nouns,1.2
187,alandama,conforter,verbs,0.45
188,korporatsioon,porte,nouns,0.15
189,lahkuma,apparaître,verbs,0.3
190,riis,haricot,nouns,1.7
191,siduma,unir,verbs,3.8
192,nutikas,stupide,adjectives,1.0
193,käänamine,infection,nouns,0.15
194,fakt,preuve,nouns,3.55
195,skeemitaja,stratège,nouns,3.25
196,kott,porte-monnaie,nouns,3.1
197,kohut mõistma,accuser,verbs,3.05
198,miljonär,dollar,nouns,1.45
199,kaduma,rétrécir,verbs,1.75
200,lahendama,terminer,verbs,3.2
201,kokkulepe,pacte,nouns,5.2
202,õigustama,vérifier,verbs,2.15
203,lubama,aller,verbs,0.45
204,tunnistama,parler,verbs,1.0
205,katus,fenêtre,nouns,1.45
206,pehme,violent,adjectives,0.65
207,ärkama,ronfler,verbs,1.2
208,kursor,frites,nouns,0.3
209,ilmselgelt,apparemment,adverbs,2.5
210,õhtusöök,poulet,nouns,1.15
211,aluspesu,corps,nouns,1.25
212,mesilane,fourmi,nouns,1.7
213,võitja,objectif,nouns,1.05
214,vedelik,jet,nouns,1.45
215,preester,prophète,nouns,2.0
216,optimistlikult,éventuellement,adverbs,1.0
217,auto,ascenseur,nouns,0.7
218,tööline,appareil photo,nouns,0.1
219,eeldama,prédire,verbs,2.8
220,laenama,garder,verbs,1.2
221,suhkur,miel,nouns,2.45
222,umbes,marginalement,adverbs,1.1
223,uks,portail,nouns,4.05
224,raske,ardu,adjectives,5.25
225,laisk,occupé,adjectives,0.6
226,raha,salaire,nouns,3.95
227,kinni püüdma,attraper,verbs,5.0
228,riistvara,étui,nouns,1.15
229,voodi,canapé,nouns,2.95
230,paindlik,lâche,adjectives,1.5
231,õepoeg,tante,nouns,1.85
232,kindel,certain,adjectives,5.45
233,kaklema,mordre,verbs,1.45
234,kapital,argent,nouns,4.05
235,madu,lézard,nouns,2.6
236,põllumajandus,plante,nouns,1.65
237,palee,gratte-ciel,nouns,1.6
238,auk,femme,nouns,0.15
239,vesistama,crier,verbs,3.25
240,põld,avoine,nouns,1.75
241,isiklik,privé,adjectives,5.5
242,vaidlema,hurler,verbs,1.55
243,sile,tranchant,adjectives,1.25
244,saal,allée,nouns,1.4
245,ignoreerima,imprimer,verbs,0.1
246,põlastav,méprisant,adjectives,5.65
247,relv,sergent,nouns,1.0
248,osalema,apparaître,verbs,1.35
249,amet,gestion,nouns,1.85
250,puitmaterjal,rondin,nouns,3.5
251,noor,agité,adjectives,1.15
252,reostus,président,nouns,0.3
253,tugev,fier,adjectives,1.3
254,entroopia,information,nouns,1.65
255,koguma,secouer,verbs,0.2
256,imlselgelt,grossièrement,adverbs,0.55
257,orkaan,orage,nouns,3.65
258,karp,matériel,nouns,1.15
259,kogunemine,convocation,nouns,3.35
260,rüüpama,engloutir,verbs,2.25
261,vastandlik,unique,adjectives,0.8
262,rünnak,blitz,nouns,3.45
263,galaktika,application,nouns,0.2
264,võti,verrou,nouns,2.1
265,otseloomulikult,discrètement,adverbs,0.8
266,paindlik,facile,adjectives,1.5
267,huul,hanche,nouns,0.85
268,päikeseloojang,table,nouns,0.05
269,valimine,choix,nouns,3.45
270,piim,jus,nouns,1.65
271,põhimõtteliselt,pleinement,adverbs,1.6
272,pruut,princesse,nouns,1.95
273,poeg,frère,nouns,1.7
274,voodi,chaise,nouns,1.5
275,harima,apprendre,verbs,3.45
276,tušš,couvent,nouns,0.2
277,jooma,mélanger,verbs,0.7
278,edu saavutama,échouer,verbs,1.2
279,kurjategija,délinquant,nouns,4.85
280,karistama,frapper,verbs,2.4
281,brändi,alcool,nouns,3.0
282,jumaldama,admirer,verbs,4.45
283,kindlus,mur,nouns,1.5
284,ruumikas,gros,adjectives,4.0
285,võrdlema,analyser,verbs,3.4
286,relv,aube,nouns,0.1
287,imeline,beau,adjectives,3.95
288,raamat,histoire,nouns,2.5
289,müts,manteau,nouns,1.7
290,silm,larme,nouns,1.6
291,toores,laid,adjectives,0.95
292,meel,intuition,nouns,3.65
293,lõbu,football,nouns,0.75
294,lööma,attirer,verbs,0.85
295,juhtuma,faire,verbs,1.35
296,jõgi,mer,nouns,2.2
297,august,mois,nouns,2.55
298,meelt lahutama,satisfaire,verbs,1.85
299,otsustamata,neutre,adjectives,2.1
300,luu,bras,nouns,1.75
301,eitamine,confession,nouns,1.35
302,kokkukutsumine,rassemblement,nouns,3.35
303,tuba,échouage,nouns,1.65
304,kinematograafia,réalisateur,nouns,1.9
305,taotlus,candidat,nouns,2.1
306,bioloogia,anatomie,nouns,2.7
307,ärritama,décourager,verbs,2.0
308,talv,saison,nouns,3.25
309,valelik,mal,adjectives,2.85
310,administratsioon,gestion,nouns,4.55
311,karm,cruel,adjectives,3.6
312,kirikutorn,chapelle,nouns,2.1
313,vend,fils,nouns,1.7
314,jääma,obtenir,verbs,0.2
315,steik,viande,nouns,4.55
316,massiivselt,ouvertement,adverbs,0.75
317,rahvasumm,foule,nouns,5.6
318,kontor,ouvrier,nouns,0.8
319,jahtima,chercher,verbs,2.1
320,ajurünnak,télescope,nouns,0.05
321,ametlikult,fortement,adverbs,0.7
322,võitma,accomplir,verbs,1.5
323,president,politicien,nouns,3.5
324,jää,neige,nouns,3.55
325,pära,arrière,nouns,2.95
326,ohver,téléphone,nouns,0.25
327,reis,voyage,nouns,4.3
328,makse,frais,nouns,3.45
329,samasugune,similaire,adjectives,5.0
330,armee,légion,nouns,3.5
331,pall,volley-ball,nouns,2.15
332,üritus,collecte de fonds,nouns,1.15
333,lill,croyance,nouns,0.05
334,rebane,chien,nouns,1.65
335,kahtlustama,arrêter,verbs,1.45
336,meri,delta,nouns,1.7
337,kitarr,batterie,nouns,1.9
338,lumi,météo,nouns,1.75
339,salat,régime,nouns,1.3
340,vana,frais,adjectives,0.25
341,läbirääkimine,diplomatie,nouns,3.55
342,siin,maintenant,adverbs,1.85
343,karusnahk,vison,nouns,3.55
344,kogunema,assister,verbs,1.15
345,reegel,usage,nouns,4.05
346,ebaseaduslik,légitime,adjectives,1.0
347,vann,ballon,nouns,0.2
348,test,essai,nouns,5.05
349,jalg,main,nouns,2.0
350,luuletaja,journaliste,nouns,1.6
351,uitama,laisser,verbs,0.65
352,rahu,soldat,nouns,0.9
353,astronoom,galaxie,nouns,1.55
354,otsima,chercher,verbs,2.1
355,lubama,laisser,verbs,4.25
356,lennuk,feuille,nouns,0.2
357,mantel,chapeau,nouns,1.7
358,võlts,réel,adjectives,1.1
359,täiskasvanu,enfant,nouns,1.7
360,täpselt,inexactement,adverbs,1.0
361,ilukirjandus,biographie,nouns,1.9
362,esinema,saluer,verbs,0.25
363,neutraalne,calme,adjectives,2.25
364,pära,falaise,nouns,0.05
365,kummaline,bizarre,adjectives,5.8
366,hing,frère,nouns,0.6
367,võimas,fort,adjectives,5.15
368,mõõk,trône,nouns,0.8
369,ülikond,crochet,nouns,0.25
370,lahkuma,rester,verbs,1.1
371,lihtsalt,apparemment,adverbs,1.45
372,vägivaldne,fâché,adjectives,2.25
373,lill,buisson,nouns,2.1
374,partner,type,nouns,1.85
375,kohtuma,laisser,verbs,0.35
376,õpetama,punir,verbs,0.45
377,uskumus,opinion,nouns,3.85
378,paraad,foule,nouns,2.3
379,list,tableau,nouns,2.35
380,abikaasa (naine),femme,nouns,4.15
381,firma,affaire,nouns,3.95
382,tooma,envoyer,verbs,1.35
383,lisama,construire,verbs,1.2
384,jagama,unir,verbs,1.5
385,diskreetselt,manifestement,adverbs,0.8
386,vaidlema,se plaindre,verbs,1.6
387,ehitamine,destruction,nouns,1.5
388,kaos,anarchie,nouns,3.7
389,tapeet,arrière-plan,nouns,3.1
390,uhke,audacieux,adjectives,2.15
391,vältima,ignorer,verbs,4.0
392,hoone,pièce,nouns,1.65
393,segatud,combiné,adjectives,4.3
394,lumi,tempête,nouns,2.25
395,erinev,normal,adjectives,1.3
396,kristall,verre,nouns,2.8
397,sukelduma,créer,verbs,0.25
398,ühinema,attacher,verbs,1.3
399,valimisõigus,sortie,nouns,0.45
400,kasvatama,développer,verbs,3.9
401,märg,collant,adjectives,1.85
402,võtma,posséder,verbs,2.4
403,tüütama,aggraver,verbs,1.0
404,ütlema,participer,verbs,1.3
405,tsink,or,nouns,1.9
406,kaetud,découvert,adjectives,1.1
407,õrnalt,calmement,adverbs,1.8
408,õhtu,crépuscule,nouns,4.3
409,president,pollution,nouns,0.3
410,äsja,concrètement,adverbs,0.3
411,leht,avion,nouns,0.2
412,portreteerima,imiter,verbs,2.45
413,teispoolsus,purgatoire,nouns,2.05
414,juur,herbe,nouns,1.85
415,käsi,cou,nouns,1.5
416,uskumatult,fermement,adverbs,0.4
417,mask,fête,nouns,1.4
418,võimalikult,avec optimisme,adverbs,1.0
419,haavama,insulter,verbs,3.9
420,vabastama,expulser,verbs,1.4
421,ala,coin,nouns,0.8
422,ulatuslik,gros,adjectives,3.9
423,paluma,emprunter,verbs,1.45
424,õppima,écouter,verbs,2.1
425,jänes,chat,nouns,1.45
426,kindlalt,clairement,adverbs,3.2
427,välja tõstma,partir,verbs,1.7
428,hääletama,choisir,verbs,4.1
429,ebavajalik,nécessaire,adjectives,1.1
430,palvetama,communiquer,verbs,0.8
431,post,vitesse,nouns,0.15
432,toit,programme,nouns,0.7
433,õnnelikult,activement,adverbs,1.05
434,karp,chapeau,nouns,0.8
435,agressivne,grossier,adjectives,2.45
436,õhupall,bain,nouns,0.2
437,küttekeha,parapluie,nouns,0.3
438,igav,médiocre,adjectives,2.9
439,ütlema,rappeler,verbs,2.65
440,delikaatselt,actuellement,adverbs,0.35
441,hambaarst,orthodontiste,nouns,4.95
442,võimatu,faisable,adjectives,1.15
443,rahu,bonheur,nouns,2.9
444,nõudma,réprimander,verbs,0.75
445,pakt,accord,nouns,5.2
446,vaip,maison,nouns,0.95
447,prestiiž,richesse,nouns,2.05
448,ilu,âge,nouns,1.0
449,tuju,médecin,nouns,0.1
450,metsamajake,chalet,nouns,3.35
451,kontrollima,enquêter,verbs,3.4
452,lämbuma,respirer,verbs,1.35
453,kaootiliselt,pacifiquement,adverbs,0.75
454,jumal,diable,nouns,1.85
455,mängima,combattre,verbs,1.05
456,tita,fille,nouns,2.05
457,tükk,aéroport,nouns,0.1
458,realistlikult,idéalement,adverbs,1.35
459,kaamera,lentille,nouns,2.0
460,keeruline,facile,adjectives,1.15
461,mast,drapeau,nouns,1.75
462,tütar,père,nouns,1.65
463,rahvahulk,attroupement,nouns,5.6
464,sõnaraamat,mot,nouns,2.2
465,andestama,accepter,verbs,2.3
466,liha,boeuf,nouns,3.3
467,laul,interprète,nouns,1.75
468,ignorantne,ordinaire,adjectives,0.65
469,valem,équation,nouns,3.6
470,käsi,veine,nouns,1.15
471,luuletus,rythme,nouns,1.75
472,täiskasvanu,tuteur,nouns,2.6
473,terav,terne,adjectives,0.4
474,uus,vieux,adjectives,1.2
475,patune,saint,nouns,1.25
476,kulutama,sauver,verbs,0.65
477,sarnane,ressemblant,adjectives,5.0
478,omandama,joindre,verbs,0.85
479,puudumine,présence,nouns,1.55
480,paljusus,abondance,nouns,5.1
481,valem,registre,nouns,1.9
482,ignoreerima,éviter,verbs,4.0
483,mitu korda,deux fois,adverbs,2.6
484,võimas,faible,adjectives,0.8
485,aktsia,actif,nouns,3.45
486,sõna,journal,nouns,1.55
487,riietatud,couvert,adjectives,4.1
488,kuul,canon,nouns,1.15
489,palk,honoraire,nouns,4.65
490,jooksja,athlète,nouns,3.25
491,korter,meuble,nouns,1.55
492,tarkus,intelligence,nouns,4.45
493,häbelik,coûteux,adjectives,0.15
494,kiibid,curseur,nouns,0.3
495,haigusetekitaja,germe,nouns,3.85
496,külge tõmbama,frapper,verbs,0.85
497,luu,muscle,nouns,1.9
498,leotama,réduire,verbs,0.3
499,abistama,assister,verbs,5.05
500,pea,ongle,nouns,0.85
501,kaotama,garder,verbs,0.95
502,raske,facile,adjectives,1.15
503,käeturvis,bouclier,nouns,3.1
504,väljapääs,porte,nouns,3.3
505,väetis,croissance,nouns,1.75
506,looma,construire,verbs,4.25
507,pesema,rincer,verbs,4.0
508,tegema,gagner,verbs,0.65
509,halvenema,essuyer,verbs,0.25
510,väljuma,séparer,verbs,1.2
511,uhkelt,humblement,adverbs,1.2
512,metall,aluminium,nouns,3.0
513,fantastiliselt,incroyablement,adverbs,4.85
514,imelik,bizarre,adjectives,5.75
515,keraamika,poterie,nouns,4.1
516,seaduslik,illégal,adjectives,1.0
517,valjusti,doucement,adverbs,0.65
518,naine,jeans,nouns,0.2
519,harilik,étrange,adjectives,1.15
520,kong,prison,nouns,4.3
521,halb,immoral,adjectives,3.85
522,riided,tissu,nouns,2.65
523,vulkaan,magma,nouns,2.15
524,pilv,brouillard,nouns,2.7
525,penn,occasion,nouns,0.2
526,erinema,débattre,verbs,1.4
527,auto,vélo,nouns,1.65
528,öö,chapitre,nouns,0.15
529,nõbu,oncle,nouns,2.4
530,sulgema,vomir,verbs,0.05
531,elegantselt,admirablement,adverbs,3.7
532,triivima,couler,verbs,2.05
533,habras,frigide,adjectives,0.45
534,hommikusöök,bacon,nouns,1.2
535,tavaliselt,irrégulièrement,adverbs,0.9
536,võmm,shérif,nouns,3.75
537,monitor,écran,nouns,5.0
538,näidik,voiture,nouns,0.95
539,kolonel,dentiste,nouns,0.3
540,lääs,nord,nouns,1.75
541,oluline,mineur,adjectives,1.0
542,rannik,canonnière,nouns,0.55
543,karm,sournois,adjectives,0.65
544,aktiivselt,heureusement,adverbs,1.05
545,ausalt,sincèrement,adverbs,5.5
546,pühkima,détériorer,verbs,0.25
547,laps,homme,nouns,1.85
548,ausalt,jamais,adverbs,0.05
549,tool,tabouret,nouns,4.1
550,abiline,servante,nouns,2.55
551,auk,accord,nouns,0.05
552,isa,homme,nouns,2.7
553,võitma,réussir,verbs,4.4
554,saabuma,laisser,verbs,0.6
555,kartser,cellule,nouns,4.3
556,armee,marine,nouns,3.25
557,õun,citron,nouns,1.8
558,armee,section,nouns,1.9
559,tagasihoidlik,flexible,adjectives,0.55
560,valge,étroit,adjectives,0.15
561,hea,épicé,adjectives,0.7
562,org,dépression,nouns,0.9
563,kõht,cours,nouns,0.15
564,igav,fatigué,adjectives,1.55
565,nahk,vélo,nouns,0.3
566,pliiats,histoire,nouns,0.45
567,atsetüülkoliin,iris,nouns,nan
568,umbes,impatiemment,adverbs,0.6
569,nurjuma,compter,verbs,0.2
570,teenijanna,fille,nouns,1.4
571,saama,apparaître,verbs,1.05
