ID,EST,HEB,PoS,score
2250,trell,כלא,nouns,1.7
2251,äädikas,סלט,nouns,0.8
2252,nutma,לצחוק,verbs,1.0
2253,arvamus,אמונה,nouns,3.65
2254,lammas,בקר,nouns,2.2
2255,vägev,חזק,adjectives,5.0
2256,jakk,בגדים,nouns,1.65
2257,kõndima,לעמוד,verbs,0.9
2258,kahanema,להקטין,verbs,2.85
2259,uitama,לחפש,verbs,1.45
2260,mees,מנצח,nouns,0.65
2261,ignoreerima,להדפיס,verbs,0.1
2262,nõrk,חזק,adjectives,0.6
2263,mees,בעל,nouns,3.2
2264,täna õhtul,היום,adverbs,2.05
2265,müüma,לסחור,verbs,3.75
2266,kutt,שותף,nouns,1.65
2267,sõitma,לרוץ,verbs,0.9
2268,sinine,אדום,adjectives,1.0
2269,tütar,אבא,nouns,1.25
2270,poiss,מצב,nouns,0.05
2271,kurbus,בושה,nouns,1.15
2272,auto,רחוב,nouns,0.95
2273,kallis,עצלן,adjectives,0.15
2274,käsi,ציפורן,nouns,1.1
2275,molekul,מטריצה,nouns,0.45
2276,lumi,קרח,nouns,2.8
2277,voolik,מכונית,nouns,0.45
2278,enne,אחרי,adverbs,0.8
2279,haavatav,חסר אונים,adjectives,3.6
2280,karjuma,לצעוק,verbs,3.8
2281,vesi,קרח,nouns,2.4
2282,usaldusväärselt,באופן אחראי,adverbs,3.3
2283,taganema,לעזוב,verbs,2.85
2284,õhtu,דמדומים,nouns,3.65
2285,korjandus,פיתוח,nouns,0.65
2286,keelduma,לדחות,verbs,4.9
2287,vaatenurk,מרחק,nouns,1.25
2288,oksendama,לסגור,verbs,0.05
2289,kahanema,להיעלם,verbs,1.75
2290,alluma,להתנהג,verbs,1.1
2291,uks,נוכחות,nouns,0.35
2292,hirmunud,לא בטוח,adjectives,1.95
2293,märk,סמל,nouns,4.7
2294,kohtuma,לברך,verbs,1.25
2295,liit,קומבינציה,nouns,2.65
2296,oht,מחלה,nouns,0.95
2297,ühtlaselt,לפעמים,adverbs,0.55
2298,pruut,נסיכה,nouns,1.4
2299,koguma,לשמור,verbs,2.15
2300,pärima,לדרוש,verbs,0.95
2301,keha,כתף,nouns,1.3
2302,näitleja,שחקנית,nouns,4.0
2303,makse,הערה,nouns,0.65
2304,diivan,בייסבול,nouns,0.2
2305,tegema,להפסיק,verbs,1.0
2306,auto,סירה,nouns,1.2
2307,päikesetõus,שקיעה,nouns,1.55
2308,kontrollima,לעצור,verbs,0.65
2309,abistama,לסייע,verbs,5.2
2310,kolb,מנוע,nouns,1.7
2311,aru saama,לדעת,verbs,2.7
2312,baas,כף רגל,nouns,0.8
2313,rikkuma,להריח,verbs,0.05
2314,rajaleidja,קשת,nouns,0.4
2315,vabastama,ללחוץ,verbs,0.65
2316,härrasmees,גברת,nouns,1.1
2317,puu,עלה,nouns,1.4
2318,täht,אסטרואיד,nouns,2.05
2319,metsamajake,מחנה,nouns,1.25
2320,proovima,להצליח,verbs,1.55
2321,artikkel,עיתון,nouns,1.75
2322,lõpmatus,אפס,nouns,1.05
2323,põrand,גג,nouns,1.2
2324,sulgema,להקיא,verbs,0.05
2325,seletama,להבהיר,verbs,4.3
2326,teenijanna,נערה,nouns,1.25
2327,lööma,לצבוט,verbs,1.0
2328,magistraat,דין,nouns,2.0
2329,hambad,פטיש,nouns,0.1
2330,rahumeelselt,בהרס,adverbs,0.45
2331,haamer,שיניים,nouns,0.1
2332,kaval,קשוח,adjectives,0.55
2333,tagasi lükkama,לבחור,verbs,0.55
2334,matmine,מוות,nouns,1.95
2335,naerma,לגחך,verbs,4.1
2336,legaalne,בטוח,adjectives,1.5
2337,rakendus,גלקסי,nouns,0.4
2338,isa,גבר,nouns,2.55
2339,öö,שחר,nouns,1.6
2340,lind,נץ,nouns,2.35
2341,sein,מבצר,nouns,1.5
2342,lubama,לאשר,verbs,4.2
2343,tekk,עץ,nouns,0.2
2344,mees,אישה,nouns,1.35
2345,poiss,בן,nouns,3.2
2346,kultuur,חברה,nouns,2.1
2347,post,מהירות,nouns,0.45
2348,uhkelt,בענווה,adverbs,0.8
2349,imenduma,ללמוד,verbs,1.35
2350,ekraan,מוניטור,nouns,4.4
2351,uhkus,שמחה,nouns,1.7
2352,ameerika jalgpall,כדורגל,nouns,2.95
2353,vahekohus,צדק,nouns,2.0
2354,liha,דם,nouns,1.2
2355,meri,חוף,nouns,2.1
2356,unustama,ללמוד,verbs,0.7
2357,laulma,לצחוק,verbs,0.55
2358,merevägi,אי,nouns,0.4
2359,käsi,עצם,nouns,1.3
2360,keha,זרוע,nouns,1.25
2361,naarits,שמן,nouns,0.35
2362,arvama,להרגיז,verbs,0.25
2363,langetama,להקטין,verbs,3.25
2364,näima,להתחזות,verbs,1.65
2365,värske,חדש,adjectives,3.75
2366,paindlik,אלסטי,adjectives,4.95
2367,ütlema,לבטא,verbs,3.85
2368,tank,מכונית,nouns,1.25
2369,kuupäev,יום הולדת,nouns,1.8
2370,kannike,פרח,nouns,2.25
2371,relv,שחר,nouns,0.05
2372,karm,ערמומי,adjectives,0.55
2373,sekretär,אישה,nouns,1.35
2374,sügavalt,באופן משמעותי,adverbs,3.0
2375,uhke,חזק,adjectives,0.55
2376,religioon,חילוניות,nouns,1.5
2377,romaan,סופר,nouns,1.4
2378,monitor,מסך,nouns,4.4
2379,hirmunud,עצבני,adjectives,1.55
2380,imelik,מוזר,adjectives,5.2
2381,pilt,השתקפות,nouns,1.55
2382,kaetud,לבוש,adjectives,3.3
2383,väärtus,אמונה,nouns,2.1
2384,vangla,סורג,nouns,1.7
2385,elama,לשרוד,verbs,2.5
2386,uus,לא משומש,adjectives,4.15
2387,õhupall,אמבטיה,nouns,0.15
2388,suur,עצום,adjectives,4.35
2389,tuntud,טוב,adjectives,0.7
2390,mõistma,להקשיב,verbs,1.55
2391,diagramm,גרף,nouns,4.0
2392,realistlikult,באופן אידיאלי,adverbs,0.95
2393,piibel,המנון,nouns,0.3
2394,sfäär,כדור,nouns,2.15
2395,rünnak,בליץ,nouns,3.65
2396,näljane,עייף,adjectives,0.9
2397,deemant,כסף,nouns,1.15
2398,mantel,כובע,nouns,1.05
2399,naine,רעיה,nouns,4.3
2400,aken,דלת,nouns,1.35
2401,kanep,עשב,nouns,2.25
2402,amet,הנהלה,nouns,1.35
2403,rahulikult,בשלווה,adverbs,5.0
2404,seltskondlik,נחמד,adjectives,2.35
2405,kinnitama,להצדיק,verbs,2.0
2406,pirukas,שוקולד,nouns,0.9
2407,umbes,בקוצר רוח,adverbs,0.3
2408,teraapia,ביהביוריזם,nouns,1.15
2409,molekul,אוויר,nouns,1.3
2410,jumal,רוח,nouns,0.95
2411,ingel,שד,nouns,1.35
2412,peapiiskop,בישוף,nouns,3.5
2413,globalism,ויזה,nouns,0.85
2414,vürtsikas,טוב,adjectives,1.0
2415,ootama,לעזוב,verbs,0.3
2416,klubi,חברה,nouns,1.45
2417,ulatus,מידה,nouns,3.75
2418,müts,קופסה,nouns,0.2
2419,siidiuss,זחל,nouns,2.5
2420,pall,כדורעף,nouns,2.25
2421,rüüpama,לבלוע,verbs,2.7
2422,haruldane,מטומטם,adjectives,0.1
2423,lõik,עמוד,nouns,1.95
2424,räpane,דביק,adjectives,1.45
2425,ebakindel,מפוחד,adjectives,1.95
2426,heidutama,להרגיז,verbs,1.3
2427,proovima,לשכנע,verbs,1.3
2428,ennustama,לשער,verbs,3.0
2429,õpetaja,מדריך,nouns,3.85
2430,põrand,סיפון,nouns,1.65
2431,käsi,ברך,nouns,1.25
2432,nõustuma,לרצות,verbs,0.95
2433,puuvill,סוודר,nouns,1.2
2434,pikk,צר,adjectives,1.35
2435,küpsis,נסיכה,nouns,0.05
2436,uppuma,להציל,verbs,0.95
2437,tila,נוזל,nouns,1.05
2438,ärkama,לנחור,verbs,0.95
2439,tänav,מכונית,nouns,0.95
2440,seeme,מטחנה,nouns,1.0
2441,lugu,ספר,nouns,2.1
2442,võti,כתר,nouns,0.45
2443,loll,עצום,adjectives,0.2
2444,lind,הודו,nouns,2.0
2445,laskuma,לצמצם,verbs,1.25
2446,kinnitama,להגיד,verbs,1.4
2447,võtma,לרכוש,verbs,1.85
2448,alandama,לנחם,verbs,0.35
2449,käsi,צוואר,nouns,1.05
2450,ignoreerima,לבקש,verbs,0.45
2451,autor,קורא,nouns,1.1
2452,ebausaldusväärne,ערמומי,adjectives,1.4
2453,loom,אדם,nouns,1.45
2454,treener,שחקן,nouns,1.35
2455,emotsionaalselt,בעצב,adverbs,1.3
2456,raamat,סיפור,nouns,2.1
2457,tundma,להאמין,verbs,1.45
2458,tark,מטומטם,adjectives,0.85
2459,ilukirjandus,ביוגרפיה,nouns,1.15
2460,haistma,לקלקל,verbs,0.05
2461,stiil,אופנה,nouns,3.8
2462,surmavalt,בעיקר,adverbs,0.0
2463,pankrot,כישלון,nouns,1.65
2464,kokkulangevus,מטבע,nouns,0.65
2465,tähendusrikkalt,במיוחד,adverbs,2.0
2466,tagumine,זנב,nouns,2.15
2467,mood,סגנון,nouns,3.8
2468,ignorantsus,אינטליגנציה,nouns,0.75
2469,peekon,שעועית,nouns,0.75
2470,armastaja,חבר,nouns,2.05
2471,ruum,תא,nouns,2.45
2472,segatud,משולב,adjectives,3.35
2473,võimekus,כשירות,nouns,4.6
2474,tagasihoidlik,טהור,adjectives,1.15
2475,ehmunud,נרגש,adjectives,1.7
2476,atmosfäär,זיהום,nouns,0.7
2477,kana,סטייק,nouns,1.4
2478,lõpetama,להתחיל,verbs,0.8
2479,purustamine,בנייה,nouns,0.95
2480,leib,קמח,nouns,1.35
2481,rahul,כועס,adjectives,0.8
2482,surema,להתפורר,verbs,1.25
2483,hiir,חתול,nouns,1.1
2484,allkirjastama,לרחף,verbs,0.2
2485,jää,שלג,nouns,2.8
2486,taevas,חלום,nouns,0.8
2487,kümnend,מאה,nouns,1.55
2488,haiget tegema,להקניט,verbs,2.45
2489,pöörane,שמח,adjectives,1.3
2490,üliõpilane,פרופסור,nouns,1.15
2491,vihmavari,תנור חימום,nouns,0.6
2492,lina,בד,nouns,2.35
2493,sõitma,לעצור,verbs,0.75
2494,kahtlev,זועם,adjectives,0.8
2495,palvetama,לתקשר,verbs,0.95
2496,võtma,למסור,verbs,0.85
2497,liiv,רגל,nouns,0.3
2498,rada,מנהרה,nouns,1.2
2499,põiktänav,קערה,nouns,0.0
2500,rong,חשמלית,nouns,2.2
2501,kunaiganes,לפעמים,adverbs,1.75
2502,kihlus,טבעת,nouns,1.65
2503,tööline,משרד,nouns,0.95
2504,veendunud,עצבני,adjectives,0.3
2505,saavutama,לנסות,verbs,1.0
2506,tubakas,סיגריה,nouns,2.3
2507,magus,חשמלי,adjectives,0.1
2508,putukas,דבורה,nouns,2.35
2509,suur,ענק,adjectives,4.1
2510,käepide,חלבון,nouns,0.0
2511,häbelik,יקר,adjectives,0.1
2512,vastu võtma,לדחות,verbs,1.2
2513,suurepärane,רע,adjectives,0.6
2514,kallas,חוף,nouns,3.3
2515,pärima,לחשוב,verbs,1.0
2516,kolledž,מקצוע,nouns,0.95
2517,halb,שקרן,adjectives,1.7
2518,kutt,חתיך,nouns,1.55
2519,rumal,עקשן,adjectives,1.55
2520,informeerima,לעדכן,verbs,5.25
2521,tellimus,תפריט,nouns,1.2
2522,uks,מרתף,nouns,0.95
2523,põhiliselt,אנושות,adverbs,0.25
2524,ebatavaline,נדיר,adjectives,4.5
2525,organ,כלייה,nouns,2.1
2526,lusikas,מיץ,nouns,0.55
2527,koridor,דלת,nouns,1.5
2528,rahvas,אוכלוסייה,nouns,3.15
2529,šampus,וויסקי,nouns,1.75
2530,saama,להשיג,verbs,0.65
2531,aed,קפיצה,nouns,0.8
2532,kohut mõistma,להאשים,verbs,2.75
2533,tüdruk,עוזרת,nouns,1.25
2534,õlu,שמפניה,nouns,1.75
2535,köök,דלת,nouns,0.7
2536,vihkama,לבקר,verbs,0.85
2537,päästma,להגן,verbs,2.3
2538,looma,לצייר,verbs,1.7
2539,trumm,קרן,nouns,1.05
2540,vihm,סופת שלגים,nouns,1.4
2541,kari,יוגורט,nouns,0.7
2542,tuju,דוקטור,nouns,0.1
2543,õlg,זרוע,nouns,1.65
2544,õrnalt,בקול רם,adverbs,0.2
2545,piiskop,ארכיבישוף,nouns,3.5
2546,kohtunik,שופט,nouns,2.0
2547,arvamus,רעיון,nouns,2.65
2548,vaher,עץ,nouns,2.45
2549,piibel,ספר,nouns,1.55
2550,kuluma,לדהות,verbs,2.15
2551,tass,צנצנת,nouns,1.65
2552,ruut,מפה,nouns,0.7
2553,päev,לילה,nouns,1.05
2554,nädalavahetus,מרוץ,nouns,0.05
2555,armee,לגיון,nouns,3.1
2556,kõht,גוף,nouns,1.8
2557,domineerima,להתגבר,verbs,0.7
2558,kitarr,כינור,nouns,1.65
2559,unustama,לסלוח,verbs,1.25
2560,kaasa arvama,לערב,verbs,2.2
2561,naarits,פרווה,nouns,3.0
2562,lennundus,טיסה,nouns,2.35
2563,neuroos,נפש,nouns,1.2
2564,rahvahulk,המון,nouns,4.95
2565,kamp,קהל,nouns,3.2
2566,saar,חיל הים,nouns,0.4
2567,hävitama,להציל,verbs,0.45
2568,ülikond,קרושה,nouns,0.35
2569,käekell,חצאית,nouns,0.35
2570,mesilane,מלכה,nouns,1.0
2571,marginaalselt,בערך,adverbs,0.9
2572,tugevalt,ברוגע,adverbs,0.45
2573,eneseväärikus,סמל,nouns,0.7
2574,diood,קבל,nouns,1.8
2575,viha,זעם,nouns,4.9
2576,lahingulaev,אוניית קרב,nouns,5.2
2577,kuritegu,הונאה,nouns,2.85
2578,ülesanne,קש,nouns,0.1
2579,huvi,קשב,nouns,2.6
2580,võitja,מטרה,nouns,0.9
2581,professor,דוקטור,nouns,2.9
2582,tera,דשא,nouns,0.5
2583,kurb,נורא,adjectives,1.15
2584,hobune,שור,nouns,1.5
2585,määr,ערך,nouns,1.8
2586,võti,בית,nouns,1.15
2587,maja,אסם,nouns,1.35
2588,madu,לטאה,nouns,1.95
2589,peatuma,להזהיר,verbs,0.6
2590,elastne,גמיש,adjectives,4.95
2591,laenama,לרצות,verbs,0.4
2592,ranne,יד,nouns,1.8
2593,telefon,תא,nouns,0.9
2594,mängija,מאמן,nouns,1.35
2595,kerge,פגיע,adjectives,0.35
2596,lennujaam,חלק,nouns,0.1
2597,haiget tegema,לתקוף,verbs,2.75
2598,müts,מעיל,nouns,1.05
2599,kritseldama,לכתוב,verbs,2.7
2600,vägivaldne,פאסיבי,adjectives,0.55
2601,koostööd tegema,להצטרף,verbs,1.5
2602,pehmelt,בקול רם,adverbs,0.35
2603,riistvara,מקרה,nouns,0.45
2604,avatult,בעוצמה,adverbs,0.45
2605,keha,עצב,nouns,0.85
2606,katma,להגן,verbs,1.45
2607,lääts,מצלמה,nouns,1.7
2608,riided,אריג,nouns,2.2
2609,relv,מחברת,nouns,0.0
2610,põhjendamatult,באופן לא הוגן,adverbs,1.9
2611,valetama,להכחיש,verbs,1.3
2612,ilmselgelt,בוודאי,adverbs,3.1
2613,tagasi lükkama,לקבל,verbs,1.2
2614,nüüd,כאן,adverbs,2.35
2615,tõestama,להסביר,verbs,2.1
2616,kutt,חבר,nouns,1.75
2617,lõuna,צפון,nouns,1.35
2618,ette kujutama,ליצור,verbs,1.65
2619,saama,לשלוח,verbs,0.75
2620,organ,כבד,nouns,1.95
2621,laulja,מקהלה,nouns,1.55
2622,firma,עסק,nouns,3.6
2623,poiss,אורז,nouns,0.25
2624,täielikult,בעיקרון,adverbs,1.45
2625,triivima,לזרום,verbs,2.4
2626,võitja,גבר,nouns,0.65
2627,nõu andma,להציע,verbs,4.2
2628,ebaaus,אכזר,adjectives,1.6
2629,tuba,בניין,nouns,1.55
2630,pesapall,כדורסל,nouns,1.8
2631,purustama,להרוס,verbs,4.25
2632,klass,כאוס,nouns,0.25
2633,küüs,אגודל,nouns,1.35
2634,räpane,מדהים,adjectives,0.4
2635,väljend,מילה,nouns,2.4
2636,informatsioon,ספר,nouns,1.25
2637,põletama,לחנוק,verbs,0.55
2638,ilmuma,להפוך,verbs,0.4
2639,kops,כבד,nouns,1.25
2640,kana,ציפור,nouns,2.05
2641,trikk,אקדח,nouns,0.3
2642,lein,ייסורים,nouns,2.6
2643,püüdma,לעקל,verbs,0.1
2644,looma,לבנות,verbs,3.8
2645,kitsas,רחב,adjectives,0.75
2646,alumiinium,מתכת,nouns,2.45
2647,parapsühholoogia,נוירופסיכולוגיה,nouns,1.3
2648,ausalt,לעולם לא,adverbs,0.0
2649,muusika,מנגינה,nouns,3.25
2650,ohutu,חוקי,adjectives,1.5
2651,riis,עוף,nouns,0.95
2652,kandma,לשחוק,verbs,0.85
2653,segadusse ajama,ללמוד,verbs,0.6
2654,omandama,להצטרף,verbs,0.4
2655,keskmine,מתון,adjectives,3.25
2656,põhiliselt,בהכרח,adverbs,0.95
2657,uskuma,להרגיש,verbs,1.45
2658,naps,יין,nouns,2.0
2659,mõjutama,להטות,verbs,3.9
2660,kontrollima,לחקור,verbs,3.2
2661,vastu võtma,לקבל,verbs,3.1
2662,rahvasumm,קהל,nouns,4.95
2663,kurb,מצחיק,adjectives,0.85
2664,soolikas,עצב,nouns,0.55
2665,kompilaator,פונקציה,nouns,1.35
2666,pahkluu,עצם,nouns,2.3
2667,troon,חרב,nouns,0.6
2668,õnnetu,משוגע,adjectives,0.55
2669,külaline,חבר,nouns,2.05
2670,naljakas,רציני,adjectives,0.9
2671,kaotama,לשמור,verbs,0.55
2672,päästma,להרוס,verbs,0.45
2673,juhtuma,לעשות,verbs,1.1
2674,valetama,להאשים,verbs,0.65
2675,kaotama,לבשל,verbs,0.0
2676,koletis,שד,nouns,4.3
2677,auto,גשר,nouns,0.7
2678,abikaasa (naine),חור,nouns,0.05
2679,pingutus,קושי,nouns,2.55
2680,number,מספר,nouns,4.9
2681,robustselt,בערך,adverbs,2.0
2682,list,מערך,nouns,2.25
2683,lipp,מוט,nouns,1.5
2684,maatriks,וקטור,nouns,1.95
2685,eitamine,וידוי,nouns,0.85
2686,tunnistama,לשפוט,verbs,1.05
2687,parandama,לשקם,verbs,3.9
2688,rahvas,סנט,nouns,0.7
2689,luu,שריר,nouns,1.25
2690,luuletaja,עיתונאי,nouns,1.5
2691,ohtlikult,בזהירות,adverbs,0.65
2692,praegu,בעדינות,adverbs,0.2
2693,uba,קפה,nouns,1.4
2694,käekott,תיק,nouns,3.2
2695,ostma,לקבל,verbs,1.6
2696,patarei,תיאטרון,nouns,0.2
2697,videvik,ערב,nouns,3.65
2698,terav,קהה,adjectives,1.15
2699,šampus,בירה,nouns,1.75
2700,viga,מערכת,nouns,0.5
2701,kõikvõimsus,עליונות,nouns,2.65
2702,ebakohane,מחוץ לנישואין,adjectives,0.65
2703,realistlikult,לאחרונה,adverbs,0.25
2704,süüdi,רע,adjectives,1.15
2705,diivan,כיסא,nouns,2.0
2706,pahavara,תולעת,nouns,1.2
2707,sõna,מילון,nouns,1.8
2708,pilvkate,תחזית,nouns,1.15
2709,kaetud,חשוף,adjectives,0.75
2710,tavaliselt,באופן לא סדיר,adverbs,0.65
2711,looma,לדמיין,verbs,1.65
2712,looma,לעשות,verbs,3.65
2713,leotama,להקטין,verbs,0.5
2714,seisund,חוזה,nouns,0.8
2715,peekon,ארוחה,nouns,1.1
2716,satiir,מיתוס,nouns,1.05
2717,meel,נוירוזה,nouns,1.2
2718,otsustamata,ניטרלי,adjectives,1.3
2719,auto,מכונית,nouns,5.45
2720,paat,מנוע,nouns,0.95
2721,pool,תחתית,nouns,1.35
2722,tsoon,שטח,nouns,4.75
2723,mees,חשוד,nouns,0.85
2724,raamat,חיבור,nouns,1.6
2725,luu,ברך,nouns,1.3
2726,looja,מחבר,nouns,4.6
2727,palk,עץ,nouns,2.6
2728,üliõpilane,תלמיד,nouns,4.45
2729,jõukus,תהילה,nouns,1.4
2730,suurepärane,נפלא,adjectives,4.15
2731,vägivaldne,קיצוני,adjectives,1.45
2732,pöial,ציפורן,nouns,1.35
2733,uks,שער,nouns,3.8
2734,raev,כעס,nouns,4.9
2735,panustama,להמר,verbs,2.7
2736,tihedalt,מאוד,adverbs,1.0
2737,relv,פרווה,nouns,0.3
2738,intelligentne,חכם,adjectives,5.15
2739,vanem,אבא,nouns,3.1
2740,ema,שומרת,nouns,1.05
2741,tädi,אחיין,nouns,1.25
2742,ebaküps,בוגר,adjectives,0.7
2743,sümbol,סימן,nouns,4.7
2744,itsitama,לצחוק,verbs,4.1
2745,auto,טנק,nouns,1.25
2746,makse,עמלה,nouns,3.2
2747,ebatavaliselt,באופן מוזר,adverbs,4.7
2748,hammustama,לקרוא,verbs,0.1
2749,viiul,גיטרה,nouns,1.65
2750,orkaan,סערה,nouns,3.65
2751,kombinatsioon,איחוד,nouns,2.65
2752,poolsaar,אי,nouns,2.55
2753,panema,לקבל,verbs,0.5
2754,kaitsma,לשמור,verbs,3.9
2755,buss,מונית,nouns,1.95
2756,haigutama,להתעורר,verbs,0.95
2757,õppima,לאמוד,verbs,0.75
2758,ortodont,רופא,nouns,5.1
2759,ebaregulaarselt,לרוב,adverbs,0.65
2760,kivisüsi,אבן,nouns,2.1
2761,metsamajake,צריף,nouns,4.1
2762,dollar,אנשים,nouns,0.1
2763,tahtma,לבחור,verbs,1.25
2764,lill,סבולת,nouns,0.15
2765,kokkuhoid,אדם חסכן,nouns,1.5
2766,võtma,להחזיק,verbs,1.9
2767,poeg,אח,nouns,1.7
2768,peatuma,לאסור,verbs,1.3
2769,lõppema,לסיים לימודים,verbs,1.75
2770,kaamera,עדשה,nouns,1.7
2771,pakt,הסכם,nouns,5.0
2772,päikeseloojang,זריחה,nouns,1.55
2773,majandus,מערכת אקולוגית,nouns,1.1
2774,seltsiline,מאהב,nouns,2.05
2775,päikesepaiste,תפוח,nouns,0.2
2776,ümber lükkama,להרשות,verbs,0.1
2777,pära,עורף,nouns,2.15
2778,otsima,לשוטט,verbs,1.45
2779,vine,ענן,nouns,1.9
2780,taastama,לתקן,verbs,3.9
2781,küngas,צוק,nouns,2.05
2782,närv,מעי,nouns,0.55
2783,kohtuma,לעזוב,verbs,0.35
2784,kõva,קשיח,adjectives,3.6
2785,iiris,אצטילכולין,nouns,0.65
2786,rahulik,ניטרלי,adjectives,2.05
2787,õppemaks,מלגה,nouns,1.35
2788,stressis,נינוח,adjectives,0.8
2789,puhas,מבולגן,adjectives,0.7
2790,vaimustav,משעמם,adjectives,0.5
2791,kokku põrkama,להתנגש,verbs,3.65
2792,valmistaja,בורא,nouns,4.5
2793,selgelt,בוודאי,adverbs,3.3
2794,valjult,בעדינות,adverbs,0.2
2795,teravili,חיטה,nouns,3.05
2796,näima,להפוך,verbs,0.3
2797,pidulik,ראוי,adjectives,0.9
2798,uduvihm,גשם,nouns,3.55
2799,imperaator,חוקה,nouns,0.7
2800,peekon,בשר,nouns,2.65
2801,siiralt,ברצינות,adverbs,1.45
2802,seelik,שעון,nouns,0.35
2803,teesklema,להראות,verbs,1.65
2804,vein,ברנדי,nouns,2.0
2805,poiss,ילד,nouns,3.25
