ID,FIN,HEB,PoS,score
560,yksinkertaisesti,לכאורה,adverbs,0.45
561,usein,לפעמים,adverbs,1.3
562,osua,למשוך,verbs,0.45
563,levoton,צעיר,adjectives,0.3
564,työntää,להאשים,verbs,0.2
565,paistaa,להרתיח,verbs,1.9
566,todellisuus,הזיה,nouns,0.85
567,evätä,לקבל,verbs,0.65
568,liittyä,להתחתן,verbs,0.8
569,aineeton,רוחני,adjectives,2.1
570,keuhkoputkentulendus,פרצטמול,nouns,0.75
571,neuvoa,להמליץ,verbs,2.95
572,sekoitettu,משולב,adjectives,2.8
573,auto,אופניים,nouns,1.45
574,saapua,לעזוב,verbs,0.6
575,diplomatia,הדיינות,nouns,2.05
576,eksoottinen,נדיר,adjectives,4.65
577,samannäköinen,דומה,adjectives,3.85
578,viulu,גיטרה,nouns,1.95
579,kello,דלת,nouns,0.6
580,jättää,להגיע,verbs,0.6
581,meri,צונאמי,nouns,1.2
582,unohtaa,להתעלם,verbs,1.65
583,virkapuku,קרושה,nouns,0.15
584,symboli,קוד,nouns,2.5
585,hiljaisesti,בטבעיות,adverbs,0.35
586,huone,בניין,nouns,1.35
587,pöytä,שקיעה,nouns,0.0
588,huutaa,לצעוק,verbs,4.4
589,tappaa,להרוס,verbs,2.5
590,liiketoiminta,תעשייה,nouns,1.95
591,naida,להתארס,verbs,2.0
592,pysähtyä,להזהיר,verbs,0.55
593,luuta,אבק,nouns,1.0
594,tuomio,משפט,nouns,1.8
595,tuomita,להעיד,verbs,0.75
596,metri,אינץ',nouns,1.85
597,antaa anteeksi,למחול,verbs,5.2
598,poika,חייל,nouns,1.05
599,aviomies,אישה,nouns,1.5
600,luu,ברך,nouns,1.4
601,sotkuinen,מכוער,adjectives,0.9
602,siirrellä,לרכב,verbs,0.85
603,viisumi,גלובליזם,nouns,0.6
604,keidas,חופש,nouns,0.25
605,luoda,לעשות,verbs,4.1
606,löysä,גמיש,adjectives,1.25
607,tieto,עיתון,nouns,1.3
608,lähettää,ללכת,verbs,0.45
609,tavata,לברך,verbs,1.3
610,veli,אב,nouns,1.7
611,hurskaasti,בבגרות,adverbs,0.45
612,arkeologia,אנתרופולוגיה,nouns,1.7
613,kirjallisuus,ספר,nouns,2.15
614,henkiolento,מנורה,nouns,0.55
615,joustava,נייד,adjectives,0.85
616,ajelehtia,לזרום,verbs,3.15
617,viulu,כלי,nouns,2.1
618,seistä,לצעוד,verbs,1.0
619,vuohi,פרה,nouns,1.6
620,myrsky,הוריקן,nouns,3.55
621,loiske,צמיגות,nouns,0.55
622,valmiudet,כשירות,nouns,4.6
623,prinsessa,אי,nouns,0.3
624,pelto,שיבולת שועל,nouns,1.25
625,riisi,שעועית,nouns,1.35
626,voittaa,להצליח,verbs,2.75
627,viesti,תשלום,nouns,0.0
628,luku,ציטופלזמה,nouns,0.25
629,vaahtera,עץ,nouns,3.05
630,lentokenttä,חלק,nouns,0.1
631,paperi,עץ,nouns,1.45
632,leipoa,לטגן,verbs,2.55
633,esilämmitys,חימום מחדש,nouns,1.85
634,tieteilijä,אחות,nouns,0.45
635,julma,נחמד,adjectives,0.5
636,sähkö,תיבה,nouns,0.2
637,uskomus,דעה,nouns,3.55
638,niukasti,לחלוטין,adverbs,0.5
639,lumi,תחזית,nouns,0.9
640,kumota,להרשות,verbs,0.35
641,joskus,לעיתים קרובות,adverbs,1.3
642,totuudenmukainen,שקרן,adjectives,0.7
643,surullisesti,רגשית,adverbs,1.5
644,jakaa,לחבר,verbs,1.5
645,kesä,חורף,nouns,1.25
646,ovi,נוכחות,nouns,0.15
647,puutarha,צינור,nouns,0.85
648,kylpy,חדר,nouns,0.7
649,raapustaa,לכתוב,verbs,3.1
650,suojella,להגן,verbs,4.25
651,suorittaa loppuun,לפתור,verbs,2.45
652,jaardi,מטר,nouns,3.0
653,valmistaja,בורא,nouns,4.45
654,joustava,גדול,adjectives,0.3
655,ilmoittaa,ליידע,verbs,5.1
656,tuomari,בית משפט,nouns,1.5
657,sekoittaa,לבחוש,verbs,5.1
658,yhtälö,נוסחה,nouns,4.1
659,häntä,צוק,nouns,0.0
660,sekava,מסודר,verbs,0.7
661,korvaus,מטבע,nouns,1.2
662,juoruilu,חדשות,nouns,1.6
663,tee,לימון,nouns,0.7
664,penni,מציאה,nouns,0.35
665,huolenpito,זהירות,nouns,2.05
666,näyttö,פונולוגיה,nouns,0.25
667,epänormaalisti,בדרך כלל,adverbs,0.65
668,menestyä,להפוך,verbs,0.35
669,etsiä,למצוא,verbs,1.65
670,kestävyys,חוזק,nouns,3.35
671,löytää,לרכוש,verbs,1.15
672,optimistisesti,ייתכן,adverbs,1.15
673,ihanteellisesti,באופן מציאותי,adverbs,0.7
674,massiivisesti,בפתיחות,adverbs,0.35
675,vastuullisesti,באופן עצמאי,adverbs,1.5
676,suostutella,לרדוף,verbs,0.6
677,kiista,ביקורת,nouns,1.2
678,tiedottaa,לעדכן,verbs,5.1
679,saada,להפסיד,verbs,0.45
680,lakimies,משפטן,nouns,4.65
681,rabbi,שר,nouns,0.7
682,neste,זרבובית,nouns,0.5
683,pilata,להריח,verbs,0.1
684,edistää,להתקדם,verbs,2.1
685,haistaa,לקלקל,verbs,0.1
686,valtaistuin,חרב,nouns,0.35
687,maksu,משכורת,nouns,1.4
688,ase,תעלול,nouns,0.1
689,vihamielisyys,תוקפנות,nouns,4.65
690,yksityinen,אישי,adjectives,4.65
691,esinahka,ברית מילה,nouns,1.35
692,pöly,מטאטא,nouns,1.0
693,palauttaa,להביא,verbs,1.55
694,pahvi,נייר,nouns,2.85
695,ohjelma,אוכל,nouns,0.25
696,lastattu,כבד,adjectives,1.45
697,teeskennellä,להראות,verbs,0.95
698,suihku,מנזר,nouns,0.0
699,pallo,מחבט,nouns,0.95
700,paraati,המון,nouns,1.65
701,neutraali,רגוע,adjectives,1.25
702,nokkela,ערמומי,adjectives,3.55
703,petos,שחיתות,nouns,2.95
704,vyöhyke,שטח,nouns,4.7
705,paistaa,לאפות,verbs,2.55
706,vauva,בת,nouns,2.65
707,maksaa,לטפל,verbs,0.2
708,liittyä,לרכוש,verbs,0.2
709,viesti,משימה,nouns,0.85
710,alkoholi,ג'ין,nouns,2.5
711,raja,תחום,nouns,3.65
712,taito,אינטליגנציה,nouns,1.65
713,valinta,וריד,nouns,0.0
714,auto,צינור,nouns,0.25
715,omena,רוטב,nouns,0.7
716,ihana,נפלא,adjectives,2.45
717,iloinen,שמח,adjectives,4.6
718,ase,שחר,nouns,0.0
719,surullinen,נורא,adjectives,1.15
720,keittiö,דלת,nouns,0.6
721,polkupyörä,מכונית,nouns,1.45
722,kuulakärkikynä,אלפבית,nouns,0.45
723,säännöllinen,בור,adjectives,0.05
724,nuori,עצבני,adjectives,0.3
725,poliitikko,שוטר,nouns,0.7
726,hauskanpito,כדורגל,nouns,0.55
727,silmukka,חגורה,nouns,0.8
728,nöyrästi,בעוני,adverbs,0.3
729,iskeä,לפספס,verbs,0.7
730,kasvi,חקלאות,nouns,1.25
731,leijona,חתול,nouns,2.25
732,magma,הר געש,nouns,1.4
733,pysyä,להמתין,verbs,2.1
734,sekoittaa,לבשל,verbs,0.9
735,valinta,דעה,nouns,1.05
736,kiistää,להודות,verbs,0.7
737,pesäpallo,כדורסל,nouns,2.2
738,rangaista,ללמד,verbs,0.85
739,rehellisesti,לעולם לא,adverbs,0.0
740,viikonloppu,מרוץ,nouns,0.05
741,lautanen,קערה,nouns,2.6
742,puristaa,לחבק,verbs,1.25
743,kylpyhuone,מטבח,nouns,1.4
744,muoti,צורה,nouns,0.35
745,vetäytyä,לעזוב,verbs,3.25
746,taistella,לנשוך,verbs,1.1
747,hullu,מטורף,adjectives,4.65
748,kaivos,סלע,nouns,1.0
749,painaa,לשחרר,verbs,0.45
750,ajaa,לדשדש,verbs,0.85
751,käyttäytyä,לציית,verbs,2.0
752,vaimo,קש,nouns,0.1
753,fiktio,ביוגרפיה,nouns,0.9
754,pilvenpiirtäjä,ארמון,nouns,1.5
755,ajatella,להצדיק,verbs,1.95
756,auto,סירה,nouns,1.25
757,sanoa,להשתתף,verbs,0.55
758,lannoite,צמיחה,nouns,1.05
759,nälkäinen,צמא,adjectives,1.3
760,palatsi,גורד שחקים,nouns,1.5
761,uutiset,מאמר מערכת,nouns,1.8
762,isä,בת,nouns,1.25
763,suojella,לעזור,verbs,1.75
764,istunto,מטופל,nouns,0.65
765,ilma,הליום,nouns,1.4
766,kuvata,להודיע,verbs,0.6
767,kurssi,בטן,nouns,0.0
768,ylpeästi,בענווה,adverbs,0.7
769,likainen,זול,adjectives,0.5
770,voileipä,ארוחה,nouns,1.6
771,valmistaa,לבנות,verbs,2.6
772,sielu,אח,nouns,0.1
773,sähköinen,מתוק,adjectives,0.0
774,näyttelijätär,שחקן,nouns,4.05
775,aivot,תודעה,nouns,1.65
776,ruusu,פרפר,nouns,0.4
777,käsityö,מסורת,nouns,0.75
778,vaunut,עגלה,nouns,4.05
779,nainen,גבר,nouns,1.25
780,satiiri,מיתוס,nouns,0.8
781,kunto,ילד,nouns,0.0
782,seremonia,חגיגה,nouns,3.75
783,kasvaa,להתכווץ,verbs,0.85
784,kissa,עכבר,nouns,1.45
785,syvyys,גודל,nouns,1.75
786,linja-auto,רכב,nouns,2.45
787,viime aikoina,לאחרונה,adverbs,5.2
788,pölytys,אבקן,nouns,1.65
789,arvostella,לסמן,verbs,1.15
790,nauttia,לבדר,verbs,1.2
791,sallia,להפריך,verbs,0.35
792,riisi,ילד,nouns,0.2
793,raha,יהלום,nouns,0.75
794,talo,שטיח,nouns,0.75
795,naru,שקיעה,nouns,0.0
796,muslimi,בישוף,nouns,0.8
797,pilli,רעיה,nouns,0.1
798,pehmeä,אלים,adjectives,0.45
799,huomattava,ברור,adjectives,2.8
800,syntaksi,מילת מפתח,nouns,1.0
801,kangas,פשתן,nouns,2.15
802,auringonpaiste,קרן,nouns,1.8
803,polku,מנהרה,nouns,1.0
804,järkyttynyt,מובך,adjectives,0.85
805,tunnelma,זיהום,nouns,0.3
806,sisäkatto,רצפה,nouns,1.25
807,kalkkuna,תרנגולת,nouns,1.8
808,kuningas,נפוטיזם,nouns,1.15
809,moderni,עתיק,adjectives,0.7
810,päästä,לקחת,verbs,0.7
811,sivu,מילה,nouns,0.75
812,tarkalleen,באופן לא מדויק,adverbs,0.7
813,shamppanja,בירה,nouns,1.7
814,kysyä,להתעלם,verbs,0.35
815,rikollinen,עבריין,nouns,5.5
816,pilli,המנון,nouns,0.1
817,vilpittömästi,ביושר,adverbs,5.2
818,kaareva,תוקפני,adjectives,0.05
819,aamunkoitto,אקדח,nouns,0.0
820,jättää,להופיע,verbs,0.3
821,kieli,שריר,nouns,1.6
822,yhtye,סבולת,nouns,0.1
823,tykkivene,חוף,nouns,0.75
824,lopettaa,לעשות,verbs,0.6
825,vuosisata,עשור,nouns,1.5
826,mielettömästi,בקול רם,adverbs,0.45
827,kiista,דיון,nouns,1.9
828,kovakouraisesti,באופן שולי,adverbs,0.5
829,puutavara,קורה,nouns,2.55
830,mahti,כוח,nouns,3.95
831,kylpy,תעלול,nouns,0.0
832,virallisesti,חשוב,adverbs,0.75
833,hedelmätarha,יען,nouns,0.1
834,seinä,קישוט,nouns,0.55
835,meri,אוקיינוס,nouns,4.0
836,hitti,מסגרת,nouns,0.0
837,runo,מקצב,nouns,1.35
838,veistos,אנדרטה,nouns,4.75
839,rauhanomaisesti,בגאווה,adverbs,0.1
840,hyväksyä,לדחות,verbs,1.1
841,ekosysteemi,כלכלה,nouns,0.9
842,sivuuttaa,לחקור,verbs,0.25
843,todistaa,לשפוט,verbs,0.75
844,ottaa,למסור,verbs,0.65
845,symboli,צופן,nouns,1.6
846,näytös,מתמטיקאי,nouns,0.05
847,potilas,פגישה,nouns,0.65
848,jatko-osa,מצלמה,nouns,0.0
849,sonni,עגל,nouns,2.45
850,mieletön,אומלל,adjectives,0.5
851,taistella,להרוג,verbs,1.25
852,tietokone,דיסק,nouns,0.7
853,moittia,לשקר,verbs,0.45
854,tölkki,בקבוק,nouns,1.85
855,lisko,ממשלה,nouns,0.05
856,muistaa,לחשוב,verbs,1.35
857,hakemus,מועמד,nouns,1.7
858,poika,ילד,nouns,3.25
859,ase,קסדה,nouns,0.95
860,presidentti,ראש,nouns,1.85
861,rauhallisesti,בנחישות,adverbs,0.2
862,prinsessa,לחמניה,nouns,0.0
863,kova,קל,adjectives,0.7
864,paristo,אנרגיה,nouns,1.75
865,yliopisto,קמפוס,nouns,2.65
866,pitkäveteinen,עייף,adjectives,0.95
867,säveltäjä,סופר,nouns,1.7
868,hyväksyä,להמליץ,verbs,1.15
869,hanska,כדור,nouns,0.6
870,vakavasti,בכנות,adverbs,1.3
871,sallia,לשחוק,verbs,0.05
872,sammal,דשא,nouns,1.6
873,pohjimmiltaan,לחלוטין,adverbs,1.25
874,liiketoiminta,חברה,nouns,3.2
875,tauti,זיהום,nouns,2.95
876,pysähtyä,לנהוג,verbs,0.55
877,kuolema,טרגדיה,nouns,1.8
878,voittaa,לשלוט,verbs,1.5
879,valita,לרצות,verbs,0.95
880,solakka,רזה,adjectives,5.1
881,tuomioistuin,שופט,nouns,1.5
882,suo,אגם,nouns,1.45
883,perustella,לאמת,verbs,2.1
884,alkoholi,בירה,nouns,2.5
885,kauneus,סונטה,nouns,0.3
886,luuri,קורבן,nouns,0.15
887,kiillottaa,ליידע,verbs,0.0
888,minkki,שמן,nouns,0.25
889,vähentää,להפסיד,verbs,1.4
890,sitoumus,טבעת,nouns,1.6
891,tylsä,מלהיב,adjectives,0.65
892,voimistelu,סיוף,nouns,1.5
893,väärä,מדוייק,adjectives,0.55
894,virallisesti,בחוזקה,adverbs,0.25
895,rannikkoalue,חוף ים,nouns,nan
896,rukoilla,לתקשר,verbs,0.85
897,minkki,פרווה,nouns,2.3
898,piirakka,שוקולד,nouns,0.8
899,anoa,לבקש,verbs,3.0
900,lentoperämies,שוטר,nouns,1.05
901,lounas,כריך,nouns,1.6
902,ajoneuvo,אוטובוס,nouns,2.45
903,katto,חלון,nouns,1.05
904,hotelli,דירה,nouns,1.45
905,tylsä,מצחיק,adjectives,0.65
906,oppia,לשכוח,verbs,0.65
907,valkuaisaine,ידית,nouns,0.0
908,sormi,בוהן,nouns,2.35
909,hallittu,מבולגן,adjectives,0.65
910,säästää,לבזבז,verbs,0.75
911,sensuuri,חופש,nouns,0.55
912,salamahyökkäys,מתקפה,nouns,3.65
913,häntä,קערה,nouns,0.0
914,uusi,ישן,adjectives,0.7
915,vaatteet,כפתור,nouns,1.35
916,ikkuna,דלת,nouns,1.4
917,mies,לוחם,nouns,1.55
918,keksi,נסיכה,nouns,0.0
919,häpeissään oleva,עצוב,adjectives,0.85
920,iltahämärä,ערב,nouns,3.45
921,käsittää,לקרוא,verbs,1.05
922,solvata,לפגוע,verbs,4.4
923,hattu,מעיל,nouns,1.3
924,paikallisesti,קרוב,adverbs,2.55
925,pormestari,נשיא,nouns,1.85
926,patologia,המטולוגיה,nouns,2.0
927,lyhyt,ארוך,adjectives,0.7
928,iso,לאומי,adjectives,0.45
929,yllättää,לחגוג,verbs,0.65
930,tulokset,שלב,nouns,0.85
931,elokuva,ניהיליזם,nouns,0.15
932,vanha,מעורבב,adjectives,0.0
933,valloitus,קרב,nouns,1.95
934,varallisuus,עוני,nouns,0.8
935,laillinen,מותר,adjectives,3.95
936,uusi,חדש,adjectives,3.4
937,järjestää,לצרוך,verbs,0.15
938,tieto,אנטרופיה,nouns,0.9
939,ankkuri,סירה,nouns,1.05
940,nykyään,לאחרונה,adverbs,1.35
941,tutkia,לבחון,verbs,2.75
942,syyttäjä,עורך דין,nouns,2.7
943,liueta,לערבב,verbs,1.5
944,varoittaa,לעצור,verbs,0.55
945,vuosikymmen,מאה,nouns,1.5
946,aina,פעמיים,adverbs,0.85
947,hammaslääkäri,קולונל,nouns,0.7
948,suurkaupunki,עיירה,nouns,3.55
949,takaosa,זנב,nouns,1.3
950,pysähtyä,לשרוק,verbs,0.15
951,prinsessa,מלך,nouns,1.75
952,arkki,מטוס,nouns,0.0
953,sheriffi,שוטר,nouns,3.95
954,kaliiperi,מטרייה,nouns,0.3
955,haukka,ציפור,nouns,2.7
956,tehdä,לקרות,verbs,1.35
957,kone,מחשב,nouns,2.9
958,uskoa,לקבל,verbs,1.3
959,vieras,חבר,nouns,1.45
960,artikkeli,עיתון,nouns,1.65
961,hauta,קבורה מחדש,nouns,1.35
962,peittää,להגן,verbs,2.1
963,selittää,להוכיח,verbs,2.0
964,katsoa,לחפש,verbs,1.7
965,korvaus,הערה,nouns,0.0
966,hiiri,סיפון,nouns,0.05
967,kiistellä,לצעוק,verbs,1.55
968,nöyryyttää,לנחם,verbs,0.35
969,osoitin,שקופית,nouns,0.2
970,isä,גבר,nouns,2.8
971,veri,וירוס,nouns,0.9
972,kyky,כשירות,nouns,4.3
973,myydä,ללכת,verbs,0.15
974,ystävä,חבר,nouns,4.85
975,kaoottisesti,בשלווה,adverbs,0.4
976,pääasiassa,לרוב,adverbs,4.85
977,lakimies,גלריה,nouns,0.0
978,monokulttuuri,חקלאות,nouns,0.75
979,joukkio,קהל,nouns,4.8
980,melodia,מוסיקה,nouns,3.05
981,harvinainen,נדיר,adjectives,2.3
982,tavallinen,קר,adjectives,0.2
983,keitto,סעודה,nouns,1.75
984,timantti,כסף,nouns,0.75
985,kaavio,גרף,nouns,3.95
986,tylsä,משועמם,adjectives,2.05
987,työntää,למשוך,verbs,0.75
988,saatana,אל,nouns,1.55
989,mikroskooppi,ביולוג,nouns,0.75
990,sentti,אנשים,nouns,0.7
991,tennis,סטטיסטיקה,nouns,0.1
992,mies,ילד,nouns,1.55
993,kuvanveistäjä,אחוזה,nouns,0.3
994,keskinkertainen,רע,adjectives,0.4
995,likainen,מדהים,adjectives,0.15
996,antropologia,ארכיאולוגיה,nouns,1.7
997,takki,כובע,nouns,1.3
998,hämätä,ללמוד,verbs,0.3
999,yrittää,להשיג,verbs,1.0
1000,protestantti,נוצרי,nouns,3.25
1001,demoni,מפלצת,nouns,4.6
1002,kellua,לשיר,verbs,0.2
1003,kapea,ארוך,adjectives,1.25
1004,muodostaa,להרוס,verbs,0.7
1005,epäluonnollisesti,בטבעיות,adverbs,0.65
1006,tulla sisään,לעזוב,verbs,0.45
1007,hauska,רציני,adjectives,0.7
1008,leipä,בשר,nouns,0.9
1009,portti,דלת,nouns,3.8
1010,seimi,מיטת תינוק,nouns,4.2
1011,vartalo,זרוע,nouns,1.4
1012,kuvitella,להתחזות,verbs,1.1
1013,serkku,דוד,nouns,2.35
1014,tuho,בנייה,nouns,0.7
1015,muistuttaa,לשכוח,verbs,0.7
1016,peitetty,חשוף,adjectives,0.7
1017,joskus,מתישהו,adverbs,1.6
1018,kerran,מיידית,adverbs,0.3
1019,avain,בית,nouns,0.85
1020,kukka,סבולת,nouns,0.0
1021,sana,עמוד,nouns,0.75
1022,alkoholi,ברנדי,nouns,2.65
1023,torjua,למנוע,verbs,1.5
1024,tuoda,להתלונן,verbs,0.0
1025,murtaa,לשבור,verbs,3.95
1026,tuomita,להאשים,verbs,2.9
1027,lakimies,תובע,nouns,2.7
1028,etsiä,לתשאל,verbs,2.0
1029,nolla,אינסוף,nouns,0.65
1030,hienotunteisesti,כרגע,adverbs,0.0
1031,mainitsematon,מחוץ לנישואין,adjectives,0.1
1032,temppu,אמבטיה,nouns,0.0
1033,voittaja,מועמד,nouns,1.15
1034,rauta,ויטמין,nouns,1.3
1035,pankki,מושב,nouns,0.05
1036,tarkalleen,במדוייק,adverbs,5.05
1037,läsnäolo,היעדרות,nouns,0.7
1038,lemma,הברה,nouns,1.1
1039,sekoittaa,להתמוסס,verbs,1.5
1040,makuuhuone,מיטה,nouns,1.15
1041,auto,משאית,nouns,3.05
1042,apina,קמפיין,nouns,0.0
1043,juosta,לרכב,verbs,0.95
1044,suru,ייסורים,nouns,3.35
1045,jäädä,לשמור,verbs,0.85
1046,rauhallisesti,בשלווה,adverbs,4.6
1047,seinä,מבצר,nouns,0.95
1048,flunssa,חום,nouns,2.1
1049,älykäs,חכם,adjectives,5.45
1050,tyhmä,עצום,adjectives,0.1
1051,joustava,צנוע,adjectives,0.35
1052,kihlautua,להתחתן,verbs,2.0
1053,keskustelu,גובה,nouns,0.45
1054,televisio,שחקן,nouns,0.95
1055,soitin,כינור,nouns,2.1
1056,niska,גב,nouns,1.35
1057,alumiini,בדיל,nouns,1.3
1058,jättää,להישאר,verbs,1.05
1059,teksti,ספר,nouns,2.65
1060,saastuminen,אטמוספירה,nouns,0.3
1061,tukki,עץ,nouns,2.55
1062,olla eri mieltä,להסכים,verbs,0.7
1063,joskus,באופן אחיד,adverbs,0.3
1064,laiton,חוקי,adjectives,0.7
1065,juoksija,ספורטאי,nouns,2.6
1066,teema,ספר,nouns,0.8
1067,rehellisesti,בנאמנות,adverbs,1.5
1068,radikaali,אלים,adjectives,1.35
1069,ihmiset,מסיבה,nouns,1.05
1070,pitää,להפסיד,verbs,0.45
1071,loukkaus,פשע,nouns,1.85
1072,kuivuus,מים,nouns,0.5
1073,kissa,חיית מחמד,nouns,2.85
1074,karja,פרה,nouns,3.3
1075,taivutus,זיהום,nouns,0.05
1076,laakso,קניון,nouns,4.1
1077,jättää,לפגוש,verbs,0.35
1078,kestävyys,רצועה,nouns,0.1
1079,ilmapallo,אמבטיה,nouns,0.1
1080,vahvuus,יכולת,nouns,2.4
1081,velho,כבל,nouns,0.15
1082,laulaa,לרחף,verbs,0.2
1083,ateria,מותן,nouns,0.45
1084,vihata,להינות,verbs,0.35
1085,auto,רחוב,nouns,0.75
1086,turvallinen,חוקי,adjectives,1.1
1087,päättää,לחשוב,verbs,1.4
1088,puu,סירה,nouns,0.8
1089,haitta,כאב,nouns,1.8
1090,epäillä,לעצור,verbs,0.65
1091,valmistaa,ליצור,verbs,4.1
1092,kuukausipalkka,עמלה,nouns,1.4
1093,lainata,לחוב,verbs,1.95
1094,huomio,מודעות,nouns,1.75
1095,auto ,כביש,nouns,1.0
1096,johtokunta,מנהלה,nouns,2.75
1097,tuhlata,לדאוג,verbs,0.15
1098,osallistua,להתכנס,verbs,1.85
1099,ihmiset,אקדח,nouns,0.3
1100,pullo,פחית,nouns,1.85
1101,yksinkertainen,קל,adjectives,3.95
1102,säästää,לאסוף,verbs,2.55
1103,kuiskata,לדבר,verbs,2.5
1104,olut,אלכוהול,nouns,2.5
1105,puolustaa,לשמור,verbs,4.25
1106,kiltisti,בנדיבות,adverbs,1.9
1107,hyvä,חריף,adjectives,0.55
