ID,FIN,SWA,PoS,score
1,suostutella,kugombana,verbs,0.45
2,hämmentää,koroga,verbs,2.15
3,tietää,kupa,verbs,0.15
4,laulusolisti,mtaalamu wa sauti,nouns,0.15
5,rauta,vitamini,nouns,0.45
6,hahmo,mhusika,nouns,3.15
7,tulla sisään,kuondoka,verbs,0.05
8,kirja,taarifa,nouns,0.75
9,mennä,kuuza,verbs,0.1
10,kulho,sahani,nouns,2.75
11,kamera,mfanyakazi,nouns,0.05
12,salaatti,mpangilio wa chakula,nouns,0.8
13,auto,kiwanda,nouns,0.15
14,koodi,alama,nouns,2.25
15,puutteenalainen,uhitaji,adjectives,1.15
16,yhdistetty,iliyojumuishwa,adjectives,2.5
17,korottaa,kulea,verbs,0.0
18,rakennus,jengo,nouns,1.1
19,kiistellä,kushawishi,verbs,0.45
20,puhdas,safi,adjectives,5.4
21,kallisarvoinen,yenye thamani,adjectives,1.02
22,vika,kosa,nouns,0.1
23,lumi,hali ya hewa,nouns,0.7
24,lainrikkoja,mkosaji,nouns,5.25
25,tietämättömyys,akili,nouns,0.4
26,kaneli,mdalasini,nouns,0.35
27,papu,wali,nouns,0.85
28,päättää,kufikiria,verbs,1.95
29,löysä,pwaya,adjectives,0.9
30,jäähdytin,radiator,nouns,0.35
31,etelä,kaskazini,nouns,0.65
32,peittää,kufunika,verbs,3.2
33,veri,uboho,nouns,0.3
34,paha,poa,adjectives,0.1
35,jättää,kubaki,verbs,0.6
36,korvaus,malipo,nouns,0.9
37,psykologia,sayansi,nouns,2.2
38,pilli,nyimbo,nouns,0.1
39,tehdas,gari,nouns,0.15
40,raha,lulu,nouns,0.2
41,rumpu,pembe,nouns,0.1
42,ärsyttää,kusumbua,verbs,0.0
43,ero,tofauti,nouns,0.35
44,isä,mzazi,nouns,3.75
45,kiireinen,bizi,adjectives,0.2
46,auto,geji,nouns,0.25
47,varastaa,iba,verbs,0.8
48,töykeä,jeuri,adjectives,0.32
49,dia,teleza,nouns,0.0
50,poika,kaka,nouns,2.55
51,jogurtti,mgando,nouns,0.2
52,vauva,mtu mzima,nouns,0.5
53,saatana,mungu,nouns,0.65
54,tyhmä,ana akili,adjectives,0.25
55,vakavasti,kwa umakini,adverbs,1.1
56,puu,mti,nouns,1.1
57,korvaus,ada,nouns,4.2
58,muinainen,wa kisasa,adjectives,0.25
59,sarvi,ngoma,nouns,0.1
60,tuho,ujenzi,nouns,0.25
61,täällä,papa hapa,adverbs,1.05
62,pujotella,kufuma,verbs,0.6
63,nainen,mwanamke,nouns,0.0
64,ovi,sela,nouns,0.2
65,hullu,ana kichaa,adjectives,5.05
66,armahtaa,kusamehe,verbs,4.7
67,tuore,mpana,adjectives,0.0
68,armeija,kikosi,nouns,3.1
69,lisätä,kujiunga,verbs,1.0
70,vartalo,mwili,nouns,0.38
71,krokotiili,mamba,nouns,2.8
72,saari,kisiwa,nouns,0.55
73,kevyesti,wepesi,adverbs,0.6
74,konsepti,imani,nouns,1.0
75,biohajoaminen,utengano,nouns,0.15
76,hyväksyä,kupeleka,verbs,0.0
77,minkki,manyoya,nouns,2.2
78,lattia,dari,nouns,0.75
79,köyhä,masikini,adjectives,1.15
80,rikos,uhalifu,nouns,0.6
81,puuvilla,pamba,nouns,0.6
82,tarjous,maafikiano,nouns,0.1
83,vene,nanga,nouns,0.85
84,pallo,glavu,nouns,0.8
85,henki,mungu,nouns,2.2
86,omistaa,kufyonza,verbs,0.15
87,levitä,kuenea,verbs,0.75
88,sallittu,mkubalika,adjectives,3.05
89,korruptio,rushwa,nouns,2.45
90,selvin päin oleva,makini,adjectives,0.55
91,olla tunnustamatta,kukataliwa,verbs,1.1
92,perhonen,kipepeo,nouns,0.2
93,kynsi,kidole gumba,nouns,1.5
94,teeskennellä,kuonyesha,verbs,0.4
95,mäki,jabali,nouns,2.5
96,taivas,jua,nouns,1.05
97,hämätä,kuchanganya,verbs,0.0
98,tuoda,kutuma,verbs,0.45
99,kurssi,tumbo,nouns,0.05
100,joskus,muda mwingine,adverbs,0.1
101,syyttäjä,mwendesha mashtaka,nouns,3.3
102,nöyrästi,kwa unyenyekevu,adverbs,0.05
103,julkinen,hadharani,adjectives,0.2
104,olut,kinywaji,nouns,3.25
105,tuoda,kuja,verbs,1.05
106,simulaatio,onyesho,nouns,0.35
107,raha,mshahara,nouns,2.55
108,talo,kapeti,nouns,0.35
109,tehtävä,kisiwa,nouns,0.0
110,rakenne,muundo,nouns,3.0
111,kirurgia,moyo,nouns,0.6
112,sauvaohjain,joystiki,nouns,0.5
113,pitää,kulinda,verbs,0.45
114,kestävyys,bendi,nouns,0.0
115,teatteri,ukumbi,nouns,0.45
116,keinotekoinen,sio asili,adjectives,4.95
117,helppo,ana shida,adjectives,0.2
118,antaa,kukopesha,verbs,2.2
119,automobiili,motokaa,nouns,5.9
120,saapua,kuondoka,verbs,0.2
121,kuolla,kufariki,verbs,1.5
122,valtava,mdogo,adjectives,0.25
123,laturi,chaja,nouns,0.05
124,maali,mshindi,nouns,0.5
125,humalainen,mlevi,adjectives,0.2
126,ministeri,rabai,nouns,0.6
127,kadetraali,dari,nouns,0.15
128,vasara,nyundo,nouns,0.0
129,huolenpito,tunzo,nouns,0.9
130,nokkela,mwerevu,adjectives,4.35
131,vanha,mbivu,adjectives,0.25
132,ateria,chakula cha usiku,nouns,3.65
133,ranne,mkono,nouns,1.5
134,pää,msumari,nouns,0.7
135,naida,kujiunga,verbs,0.65
136,määrittää,kutabiri,verbs,0.5
137,kahdesti,mara mbili,adverbs,0.78
138,tappaa,kukinga,verbs,0.25
139,tuuma,mita,nouns,1.9
140,korkeakoulu,weledi,nouns,0.55
141,jahdata,kimbiza,verbs,2.8
142,ateria,karamu,nouns,3.45
143,kuningas,mfalme,nouns,4.35
144,luoja,mtunzi,nouns,3.1
145,nõyrästi,kwa unyenyekevu,adverbs,0.2
146,huone,kitanda,nouns,0.7
147,avuton,hoi,adjectives,1.15
148,muistuttaa,kumbusha,verbs,1.0
149,loiske,chubwi,nouns,0.3
150,omena,mwanga wa jua,nouns,0.05
151,tuomioistuin,korti,nouns,1.7
152,kääntäjä,mtafsiri,nouns,0.0
153,kiistää,kukubali,verbs,0.25
154,antaa,kutoa,verbs,0.05
155,murskata,kupondwa,verbs,1.45
156,tavata,kusalimia,verbs,1.35
157,häntä,bakuli,nouns,0.0
158,aviomies,mwanaume,nouns,4.15
159,naamio,maski,nouns,0.2
160,mies,baba,nouns,2.65
161,tahto,hiari,nouns,1.55
162,tiukasti,kwa ukakamavu,adverbs,0.65
163,kiltisti,kwa fadhili,adverbs,2.65
164,puolustaa,kuua,verbs,0.25
165,ateria,kiuno,nouns,0.05
166,elämäkerta,habari za kubuniwa,nouns,0.95
167,joustava,rahisi kubadilika,adjectives,0.9
168,auto,gari la farasi,nouns,1.2
169,etsiä,kutafuta,verbs,2.33
170,penni,peni,nouns,0.1
171,tamma,farasi,nouns,3.8
172,muffini,muffini,nouns,0.2
173,kirja,kitabu,nouns,0.0
174,unohtaa,kujifunza,verbs,0.35
175,mennä,kuja,verbs,0.5
176,puu,mpera,nouns,3.3
177,juhla,maadhimisho,nouns,4.85
178,sulttaani,sultani,nouns,0.1
179,pilvi,ukungu,nouns,3.15
180,ase,manyoya,nouns,0.0
181,kuva,kioo,nouns,1.55
182,hallita,kudhibiti,verbs,0.6
183,tietokone,cd,nouns,0.45
184,veli,mvulana,nouns,2.55
185,makuuhuone,tumbo,nouns,0.0
186,mahtava,wa ajabu,adjectives,1.8
187,jäytää,kumomonyoka,verbs,0.0
188,viides,wa tano,adjectives,0.05
189,kiistää,kukataa,verbs,0.4
190,tunnettu,julikana,adjectives,0.25
191,kylpy,chumba,nouns,0.1
192,tappaa,ua,verbs,0.85
193,menestyä,kuwa,verbs,0.5
194,ooppera,opera,nouns,1.4
195,tiedottaa,arifu,verbs,0.0
196,hiili,makaa,nouns,3.8
197,tuoli,kiti,nouns,0.0
198,motelli,hoteli,nouns,3.25
199,elin,figo,nouns,2.45
200,ajatella,kutafiti,verbs,0.5
201,virkkaus,krocheti,nouns,0.0
202,mahtava,wa kutisha,adjectives,0.25
203,niittää,kuvuna,verbs,0.75
204,käyttämätön,haijatumika,adjectives,4.85
205,sisäistää,kufahamu,verbs,2.35
206,sokeriruoko,muwa,nouns,0.1
207,temppu,saizi,nouns,0.0
208,moittia,laumu,verbs,4.55
209,sana,gazeti,nouns,0.55
210,uskomus,maadili,nouns,0.95
211,sana,ishara,nouns,0.3
212,polvi,mfupa,nouns,0.85
213,kiireellisesti,haraka,adverbs,4.8
214,huilu,filimbi,nouns,1.0
215,normaalisti,kwa kawaida,adverbs,2.05
216,tarttua,kubana,verbs,0.3
217,terapia,tiba,nouns,0.5
218,säästää,kuokoa,verbs,0.05
219,ase,alfajiri,nouns,0.0
220,jumala,padri,nouns,0.7
221,puumateriaali,gogo,nouns,3.65
222,puolustaa,kulinda,verbs,4.5
223,antaa anteeksi,kuelewa,verbs,0.65
224,julkistamaton,haijafichuliwa,adjectives,0.25
225,opettaja,mwalimu,nouns,1.1
226,ilmiselvästi,ni dhahiri,adverbs,3.95
227,halata,kukumbatia,verbs,1.1
228,paha,mkubwa sana,adjectives,0.05
229,suklaa,keki,nouns,0.75
230,sekoittaa,kuchanganya,verbs,0.3
231,karata,kuhepa,verbs,0.2
232,organisoida,kuwa,verbs,0.1
233,ulkomaalainen,mgeni,nouns,0.0
234,vaatteet,kabati,nouns,0.4
235,ennustaa,kubainisha,verbs,0.5
236,käydä sisään,kudaiwa,verbs,0.0
237,päivä ,asubuhi,nouns,1.45
238,laskimo,mkono,nouns,0.5
239,lintu,mwewe,nouns,3.4
240,mahtava,mbaya,adjectives,0.1
241,hämmästyttävä,kushangaza,adjectives,0.0
242,luopua,kukataa,verbs,0.55
243,liiketoiminta,viwanda,nouns,1.8
244,ikävä,kulivu,adjectives,0.05
245,sivuuttaa,kuuliza,verbs,0.05
246,seinä,pambo,nouns,0.35
247,aita,uzio,nouns,0.1
248,kertoa,kusema,verbs,1.0
249,toimittaa,kukubali,verbs,0.0
250,särkyvä,baridi,adjectives,0.25
251,johtokunta,utawala,nouns,3.25
252,penkki,kiti,nouns,4.2
253,pahentaa,kuongeza,verbs,0.2
254,sänky,hospitali,nouns,0.3
255,koettaa,kujaribu,verbs,1.65
256,kääre,kanga,nouns,0.0
257,nykyään,kwa sasa,adverbs,1.75
258,tohtori,tabia,nouns,0.0
259,kissa,mnyama,nouns,3.1
260,taistella,kupigana,verbs,0.75
261,julma,katili,adjectives,2.05
262,tykki,mpira,nouns,0.1
263,onnettomuus,ajali,nouns,0.0
264,liittyä,kuoa,verbs,0.65
265,joki,bahari,nouns,1.9
266,korottaa,kukuinua,verbs,4.15
267,vastaanottaa,kutuma,verbs,0.35
268,vaalit,uchaguzi,nouns,2.65
269,rangaista,kuadhibu,verbs,0.55
270,käsivarsi,mfupa,nouns,1.0
271,kerran,mara moja,adverbs,0.55
272,auto,boti,nouns,0.8
273,televisio,runinga,nouns,0.5
274,legenda,hadithi,nouns,0.0
275,analysoida,kuchambua,verbs,4.2
276,dollari,dola,nouns,1.05
277,valikoida,kuchagua,verbs,4.35
278,omena,peremende,nouns,0.35
279,kasvu,ukuaji,nouns,0.45
280,veri,nyama,nouns,1.1
281,halveksia,kuchukia,verbs,0.3
282,sarvi,gari,nouns,0.3
283,läsnäolo,mlango,nouns,0.0
284,poika,mwanajeshi,nouns,0.7
285,koriste,ukuta,nouns,0.35
286,sekoittaa,kuchanganya,verbs,2.58
287,tehdä kunniaa,kutoa heshima,verbs,0.2
288,tyhmä,hodari,adjectives,0.3
289,varkaus,uhalifu,nouns,3.75
290,vaeltaa,kutangatanga,verbs,1.05
291,nilkka,mfupa,nouns,1.7
292,edellyttää,kuandaa,verbs,0.1
293,tuskin koskaan,mara chache,adverbs,0.2
294,uudelleenlämmitys,choma,nouns,0.65
295,puhelin,simu,nouns,4.45
296,biotooppi,ekolojia,nouns,1.0
297,luu,shingo,nouns,0.95
298,saada,kuweka,verbs,0.25
299,mökki,kibanda,nouns,3.6
300,metsästää,kuwinda,verbs,2.65
301,aivoriihi,changamsha bongo,nouns,0.0
302,levy,diski,nouns,0.05
303,valo,mwanga,nouns,0.0
304,kiistellä,kukubaliana,verbs,0.35
305,paraati,umati,nouns,1.05
306,köyhyys,utajiri,nouns,0.45
307,ranta,kisiwa,nouns,0.8
308,kamera,lenzi,nouns,1.85
309,osallistua,kuhudhuria,verbs,0.15
310,uskomattomasti,kwa umaradufu,adverbs,0.65
311,aalto,wimbi,nouns,0.5
312,positiivisesti,vyema,adverbs,0.4
313,poika,patna,nouns,0.5
314,sensori,sensa,nouns,0.35
315,laskeutua,kushuka,verbs,0.5
316,suuruus,kina,nouns,1.25
317,laulu,hadithi,nouns,0.65
318,valtava,mpumbavu,adjectives,0.0
319,äiti,mke,nouns,2.2
320,puoli,chini,nouns,0.55
321,ihmiset,puto,nouns,0.0
322,pölytys,uchavushi,nouns,1.8
323,raide,ua,nouns,0.1
324,tuuli,upepo,nouns,4.3
325,dermatiitti,ugonjwa wa ngozi,nouns,3.1
326,aisti,silika,nouns,0.85
327,tietää,kuamini,verbs,1.25
328,sana,fasihi,nouns,0.7
329,säästää,kutumia,verbs,0.45
330,hyväksyä,kusamehe,verbs,1.0
331,tunnustaa,kujulisha,verbs,1.1
332,kynsi,kichwa,nouns,0.7
333,hissi,gari,nouns,0.4
334,välttää,kupuuza,verbs,2.9
335,poissa,ugenini,adverbs,0.25
336,tarpeeton,lazima,adjectives,0.25
337,läsnäolo,mshindi,nouns,0.05
338,raha,almasi,nouns,0.45
339,jakku,nguo,nouns,2.5
340,basilikakirkko,basilika,nouns,0.3
341,vastapäinen,kinyume,adjectives,0.4
342,tulostaa,kuchapisha,verbs,0.0
343,apokalypsi,siku ya mwisho,nouns,0.1
344,puuhiili,makaa ya mawe,nouns,3.8
345,kritiikki,hoja,nouns,0.75
346,vehnä,nafaka,nouns,2.75
347,nopeasti,kwa haraka,adverbs,4.8
348,päivällinen,chakula,nouns,3.65
349,temppu,mchezo,nouns,0.7
350,käsikirjoitus,muswada,nouns,1.85
351,yrittää,kufanikiwa,verbs,0.9
352,hankkia,kujiunga,verbs,0.1
353,vilja,ngano,nouns,2.75
354,luku,tarakimu,nouns,0.0
355,laittaa,kupata,verbs,0.25
356,kuu,sayari,nouns,1.7
357,valmiudet,ustadi,nouns,4.2
358,pitkäveteinen,boreka,adjectives,1.55
359,filosofi,mphilisophia,nouns,0.0
360,vakava,makini,adjectives,0.25
361,mutantti,jitu,nouns,0.0
362,sali,ukumbi,nouns,0.75
363,yö,sura,nouns,0.0
364,tie,barabara,nouns,4.6
365,lasi,glasi,nouns,0.0
366,karja,mifugo,nouns,0.2
367,vatsa,mwili,nouns,1.4
368,voittaja,lengo,nouns,0.5
369,valmistaa,kuwa,verbs,0.05
370,järkyttää,kuhuzunika,verbs,0.4
371,aritmetiikka,pigo,nouns,0.1
372,terävä,ncha kali,adjectives,0.15
373,nuoli,lengo,nouns,0.4
374,samannäköinen,sawa,adjectives,4.15
375,vakuuttaa,kushawishi,verbs,0.35
376,jakolasku,mgawanyiko,nouns,0.95
377,turvallisuus,starehe,nouns,0.9
378,leipä,nyama,nouns,0.55
379,juhlia,kusherekea,verbs,0.0
380,hienovaraisesti,kwa ujanja,adverbs,0.55
381,pilvi,hali ya hewa,nouns,1.3
382,kaivos,machimbo,nouns,0.2
383,öljy,ngozi,nouns,0.1
384,käytävä,ushoroba,nouns,4.0
385,hakemus,maombi,nouns,1.65
386,jättää,kuchukua,verbs,0.4
387,kunto,hali,nouns,1.35
388,kysyä,kusali,verbs,0.75
389,kurkku,ulimi,nouns,1.4
390,sosiobiologia,jamii,nouns,0.0
391,karkea,baridi,adjectives,0.3
392,viha,hali,nouns,0.3
393,lainata,kuweka,verbs,0.25
394,hauskanpito,mpira wa miguu,nouns,0.6
395,vilpittömästi,kwa ukweli,adverbs,0.55
396,linja-auto,teksi,nouns,2.05
397,pidättää,kukamatwa,verbs,0.25
398,miekka,sime,nouns,0.05
399,luu,taya,nouns,0.85
400,viestintä,lugha,nouns,2.2
401,tulla,kuleta,verbs,1.05
402,kovakouraisesti,takriban,adverbs,0.13
403,kieleke,mlima,nouns,1.25
404,aktiivisesti,kwa uhai,adverbs,0.2
405,kuolla,kufariki,verbs,0.55
406,kaareva,pinda,adjectives,0.35
407,hyvin,salama,adjectives,0.0
408,kiillottaa,kung'arisha,verbs,0.0
409,nenä,pua,nouns,1.1
410,valkuaisaine,protini,nouns,0.15
411,alumiini,alumini,nouns,2.85
412,auto,teksi,nouns,3.75
413,härkä,farasi,nouns,1.0
414,kiista,mapatano,nouns,0.25
415,etsiä,tafuta,verbs,1.05
416,ystävällisesti,kirafiki,adverbs,0.0
417,hävitä,kupungua,verbs,1.25
418,alkuperäisesti,ya uhalisia,adverbs,1.1
419,kryptogrammi,maandishi ya siri,nouns,1.2
420,potilas,mgonjwa,nouns,0.1
421,taksi,teksi,nouns,4.35
422,puu,mti,nouns,0.25
423,kappeli,kanisa ,nouns,0.0
424,taksiauto,motokaa,nouns,4.35
425,muodollinen,sahihi,adjectives,2.05
426,paperi,kuni,nouns,0.9
427,antelias,wa kirafiki,adjectives,1.9
428,lyödä,kupiga,verbs,1.48
429,käsivarsi,mguu,nouns,1.5
430,otaksua,kujifanya,verbs,0.4
431,palvelija,mtumishi,nouns,2.65
432,lelu,kichezeo,nouns,0.15
433,maksu,mshahara,nouns,1.05
434,katastrofi,kifo,nouns,1.4
435,siirrellä,kuchanganya,verbs,0.45
436,ehdottaa,kupendekeza,verbs,3.25
437,antaa,kupokea,verbs,0.55
438,valmentaja,kocha,nouns,1.1
439,huone,mahabusu,nouns,0.95
440,täysin,kwa ukamilifu,adverbs,0.2
441,jäädä,kuondoka,verbs,0.6
442,sivilisaatio,ustaarabu,nouns,1.2
443,tiheä,ngumu,adjectives,0.55
444,sinkki,zinki,nouns,1.25
445,epämääräinen,isiyo dhahiri,adjectives,4.65
446,putki,sigara,nouns,0.2
447,neutraali,upande wowote,adjectives,0.4
448,salamahyökkäys,mashambulizi,nouns,4.45
449,aito,halisi,adjectives,0.3
450,heppu,rafiki,nouns,0.6
451,liueta,kuyeyusha,verbs,0.6
452,yhtye,pombe,nouns,0.05
453,raitiovaunu,tramu,nouns,2.1
454,pää,mguu,nouns,0.75
455,mehiläinen,sisimizi,nouns,1.05
456,kuljettaa,endesha,verbs,0.1
457,keskikokoinen,wastani,adjectives,0.45
458,sulkea,kufunga,verbs,0.0
459,auto,gari,nouns,3.35
460,puuvilla,plastiki,nouns,0.75
461,hoikka,nyembamba,adjectives,5.05
462,tyydyttää,kujipendekeza,verbs,2.0
463,heikko,dhaifu,adjectives,0.3
464,katto,sakafu,nouns,0.5
465,teeskennellä,kudhani,verbs,0.4
466,liha,damu,nouns,1.1
467,professori,mwanafunzi,nouns,0.75
468,infektio,maambukizo,nouns,0.75
469,onnellisuus,bahati,nouns,0.35
470,pappi,mtawa,nouns,2.15
471,pilvi,wingu,nouns,0.2
472,kone,mashine,nouns,3.1
473,siepata,kuteka nyara,verbs,2.05
474,uusi,ya zamani,adjectives,0.25
475,prinsessa,mfalme,nouns,2.2
476,valinta,mshipa,nouns,0.05
477,lisko,mjusi,nouns,2.8
478,vartalo,mkono,nouns,1.6
479,juoruilu,habari,nouns,1.05
480,hauska,mwenye huzuni,adjectives,0.25
481,kalkkuna,ndege,nouns,3.3
482,viestintä,televisheni,nouns,1.3
483,lainaaja,mkopi,nouns,0.85
484,syvästi,kwa undani,adverbs,0.5
485,käsivarsi,mwili,nouns,1.6
486,kaavio,chati,nouns,3.3
487,suuresti,zaidi,adverbs,0.4
488,korjata,kurekebisha,verbs,0.4
489,kriketti,kriketi,nouns,0.0
490,luokka,darasa,nouns,0.0
491,orja,falahi,nouns,2.65
492,ymmärtää,kusamehe,verbs,0.65
493,järjestelmä,mfumo,nouns,0.1
494,tarpeellinen,muhimu,adjectives,2.75
495,kertoa,kugawanya,verbs,0.65
496,makeinen,peremende,nouns,0.35
497,hyönteinen,nyuki,nouns,2.6
498,neliö,mraba,nouns,0.0
499,kysyä,kusihi,verbs,0.85
500,kuuluisuus,utajiri,nouns,0.4
501,moottoritie,jukumu,nouns,0.1
502,romaani,simulizi,nouns,0.55
503,hallitus,serikali,nouns,0.0
504,älypuhelin,simu mahiri,nouns,0.0
505,myydä,kukumbusha,verbs,0.0
506,juhla,sherehe,nouns,0.2
507,linssi,kamera,nouns,1.85
508,epäonnistua,kufanikiwa,verbs,0.25
509,eteishalli,darasa,nouns,0.55
510,tuoli,kiti,nouns,3.7
511,olla eri mieltä,kukutokubali,verbs,0.65
512,linja-auto,chombo cha usafiri,nouns,3.65
513,neule,jaketi,nouns,2.85
514,antaa,kujua,verbs,0.15
515,huippu,upande,nouns,0.5
516,tausta,mandharinyuma,nouns,1.65
517,ajatella,kujaribu,verbs,0.15
518,apina,nyani,nouns,0.0
519,jättää,kujitokeza,verbs,0.4
520,juonittelija,mweka mipango,nouns,2.5
521,suru,uchungu,nouns,3.05
522,luu,misuli,nouns,0.7
523,presidentti,uchafuzi,nouns,0.1
524,huutaa,kuguta,verbs,0.55
525,rajaviiva,ukingo,nouns,3.55
526,silta,kadi,nouns,0.1
527,veljeskunta,wanaume,nouns,1.15
528,paketti,furushi,nouns,0.05
529,nyt,sasahivi,adverbs,1.05
530,käsi,kidole gumba,nouns,1.75
531,dollari,watu,nouns,0.35
532,piparminttu,mti wa minti,nouns,0.45
533,helppo,rahisi,adjectives,0.13
534,käyrä,pembe,nouns,1.3
535,jättää,kuzurura,verbs,0.35
536,naida,kuchumbia,verbs,2.5
537,kiirehtiä,kuharakisha,verbs,2.1
538,viini,kileo,nouns,3.45
539,vaunu,chombo,nouns,0.1
540,syyttää,kulaumu,verbs,2.27
541,antaa,kuweka,verbs,0.3
542,tukki,kuoga,nouns,0.0
543,lentoperämies,rubani msaidizi,nouns,0.55
544,koju,sanduku,nouns,0.1
545,opiskelija,mwanafunzi,nouns,1.1
546,unohtaa,kudumisha,verbs,0.1
547,luonne,daktari,nouns,0.0
548,vartalo,neva,nouns,0.9
549,viesti,noti,nouns,0.55
550,laatija,mkusanyaji,nouns,0.1
551,tehtävä,kazi,nouns,3.55
552,kasvi,mmea,nouns,1.25
553,torjua,kuepa,verbs,1.75
554,rangaista,kuadhibu,verbs,0.2
555,taistella,kupigana,verbs,0.3
556,ahdistunut,ogopa,adjectives,3.55
557,kuunnella,kutii,verbs,1.35
558,riutta,ufuko,nouns,0.8
559,jättää,kuingia,verbs,0.05
560,kuppi,koni,nouns,0.1
561,bändi,wanamuziki,nouns,4.8
562,huomattava,wazi,adjectives,2.3
563,auringonlasku,macheo,nouns,1.55
564,kaoottisesti,kwa vurugu,adverbs,0.2
565,halpa,mchafu,adjectives,0.15
566,syyllinen,ana aibu,adjectives,0.6
567,lujasti,kwa kidete,adverbs,0.2
568,kysyä,kupuuza,verbs,0.05
569,ovi,dirisha,nouns,1.2
570,maissikasvi,mahindi,nouns,4.4
571,hyytävä,wa kukwaruza,adjectives,0.3
572,massiivisesti,kwa ukubwa,adverbs,0.15
573,sattua,uma,verbs,0.4
574,poissaolo,kuwepo,nouns,0.35
575,kiistellä,kupinga,verbs,0.15
576,meri,bahari,nouns,1.0
577,ovi,kengele,nouns,0.2
578,halpa,si ghali,adjectives,5.2
579,intuitio,hisi,nouns,0.85
580,verho,nguzo,nouns,0.05
581,karkeasti,takriban,adverbs,0.4
582,puutteenalainen,mhitaji,adjectives,0.2
583,sohva,kiti,nouns,2.9
584,itsenäisesti,kwa kujitegemea,adverbs,1.25
585,essee,kitabu,nouns,1.2
586,rytmi,mahadhi,nouns,0.7
587,ylivalta,ukuu,nouns,2.8
588,hitti,pigo,nouns,0.0
589,omena,juisi,nouns,0.85
590,harvoin,nadra,adverbs,0.2
591,uskomaton,maradufu,adjectives,0.25
592,tuomioistuin,mahakama,nouns,1.7
593,antaa,kuazima,verbs,1.05
594,ottaa osaa,kushirikiana,verbs,3.0
595,kurpitsa,damu,nouns,0.3
596,tunne,hamu,nouns,2.85
597,ylpeästi,kwa jeuri,adverbs,0.1
598,asianmukainen,rasmi,adjectives,2.05
599,kangas,nguo,nouns,2.8
600,tiede,saikolojia,nouns,2.2
601,olla erilainen,kukubali,verbs,0.05
602,korottaa,kuongeza,verbs,1.5
603,selittää,kufafanua,verbs,4.4
