ID,FRA,HEB,PoS,score
2328,créer,לבנות,verbs,4.55
2329,mer,שפך,nouns,1.9
2330,monstre,שד,nouns,4.8
2331,verser,לטפטף,verbs,2.0
2332,lit,שמיכה,nouns,1.9
2333,engrais,צמיחה,nouns,1.7
2334,avant,אחרי,adverbs,1.45
2335,curieusement,אחרת,adverbs,1.0
2336,tâche,כביש,nouns,0.05
2337,être d'accord,להתווכח,verbs,1.25
2338,mot,מילון,nouns,2.3
2339,parlement,קונגרס,nouns,4.1
2340,infection,נטייה,nouns,0.2
2341,sobre,שיכור,adjectives,1.4
2342,doux,חד,adjectives,1.15
2343,lisse,חד,adjectives,1.3
2344,spectacle,מתמטיקאי,nouns,0.15
2345,page,פסקה,nouns,2.4
2346,papier peint,רקע,nouns,3.3
2347,couvent,מקלחת,nouns,0.1
2348,mode,סגנון,nouns,4.0
2349,argent,הון,nouns,4.45
2350,vélo,מכונית,nouns,2.0
2351,passionnant,משעמם,adjectives,0.75
2352,riz,שעועית,nouns,1.85
2353,femme,פרווה,nouns,0.45
2354,livrer,לקחת,verbs,0.95
2355,cuisiner,לטגן,verbs,2.75
2356,libérer,ללחוץ,verbs,0.65
2357,bon,רשמי,adjectives,1.0
2358,permettre,לשחוק,verbs,0.2
2359,affaire,תאגיד,nouns,2.8
2360,hymne,קש,nouns,0.1
2361,candidat,מנצח,nouns,1.9
2362,bétail,יוגורט,nouns,0.65
2363,grange,בית,nouns,1.9
2364,actrice,שחקן,nouns,4.1
2365,impuissant,תלותי,adjectives,2.55
2366,paiement,מטבע,nouns,2.5
2367,travail,משימה,nouns,4.25
2368,se plaindre,לטעון,verbs,2.0
2369,beurre,תפוד,nouns,1.35
2370,côté,תחתית,nouns,2.05
2371,château,פסל,nouns,0.55
2372,destruction,בנייה,nouns,1.55
2373,bruyamment,ברכות,adverbs,0.8
2374,stylo,אלפבית,nouns,0.95
2375,incurvé,תוקפני,adjectives,0.05
2376,fourmi,חרק,nouns,2.55
2377,sérieusement,באופן סביל,adverbs,0.85
2378,taille,ארוחה,nouns,0.55
2379,poitrine,גוף,nouns,2.05
2380,raisonnablement,באופן אמין,adverbs,3.35
2381,gestion,משרה,nouns,1.7
2382,participer,להגיד,verbs,1.25
2383,donner,להשאיל,verbs,2.45
2384,recevoir,לתת,verbs,1.65
2385,citron,תפוח,nouns,2.3
2386,mouche,נמלה,nouns,2.55
2387,somme,איחוד,nouns,3.1
2388,pipe,סיגר,nouns,3.05
2389,télévision,תקשורת,nouns,2.3
2390,buisson,פרח,nouns,2.6
2391,hypothèse,תיאוריה,nouns,5.0
2392,terrible,רע,adjectives,3.95
2393,informer,לעדכן,verbs,5.35
2394,condition,ילד,nouns,0.05
2395,entrant,יוצא,adjectives,0.75
2396,cathédrale,כנסייה,nouns,4.45
2397,chasser,לתפוס,verbs,1.75
2398,emprunter,לרצות,verbs,0.6
2399,poulet,סטייק,nouns,2.2
2400,essentiel,הכרחי,adjectives,5.3
2401,cinéma,פופקורן,nouns,1.4
2402,topologie,מבנה,nouns,3.15
2403,savoir,לשכוח,verbs,1.3
2404,duché,נסיכות,nouns,4.4
2405,mousse,דשא,nouns,2.3
2406,laisser,להיכנס,verbs,0.65
2407,flexible,קל,adjectives,1.55
2408,terminer,לסיים לימודים,verbs,2.4
2409,acteur,שחקנית,nouns,4.1
2410,punir,ללמד,verbs,0.85
2411,tasse,כף,nouns,1.7
2412,mot,עיתון,nouns,1.75
2413,soi,ביטחון,nouns,1.25
2414,violent,רך,adjectives,1.0
2415,pomme,לימון,nouns,2.3
2416,long,קצר,adjectives,1.4
2417,concept,אמונה,nouns,3.45
2418,décomposer,להרוס,verbs,3.7
2419,délinquant,פושע,nouns,5.3
2420,estomac,גוף,nouns,2.4
2421,modeste,טהור,adjectives,1.4
2422,langue,לחי,nouns,1.65
2423,île,נסיכה,nouns,0.55
2424,terminer,לתפוס,verbs,0.7
2425,aéroport,מטוס,nouns,2.05
2426,conversion,גובה,nouns,0.65
2427,anthropologie,ארכיאולוגיה,nouns,2.35
2428,informe,מדים,adjectives,0.6
2429,mendier,לבקש,verbs,3.6
2430,garder,לתת,verbs,1.25
2431,nécessaire,חיוני,adjectives,5.3
2432,couteau,אקדח,nouns,2.35
2433,furieux,שמח,adjectives,1.1
2434,obéir,להקשיב,verbs,3.55
2435,sauver,להגן,verbs,3.1
2436,roman,סופר,nouns,1.85
2437,devenir,להופיע,verbs,0.75
2438,attirer,להכות,verbs,1.0
2439,champagne,וויסקי,nouns,2.8
2440,ami,אמא,nouns,1.45
2441,prévenir,לעצור,verbs,1.15
2442,père,בת,nouns,1.8
2443,corps,כתף,nouns,1.9
2444,toit,חלון,nouns,1.5
2445,littérature,ספר,nouns,2.55
2446,canette,בקבוק,nouns,2.65
2447,apeuré,חרד,adjectives,4.1
2448,incroyable,מלוכלך,adjectives,0.5
2449,vinaigre,סלט,nouns,1.45
2450,prier,לתקשר,verbs,1.15
2451,chocolat,פאי,nouns,1.5
2452,s'écraser,לנפץ,verbs,5.25
2453,aigle,בז,nouns,3.35
2454,hélicoptère,מטוס,nouns,3.05
2455,vampire,עטלף,nouns,2.9
2456,chanson,סיפור,nouns,2.1
2457,cuisine,אמבטיה,nouns,2.0
2458,courrier,מהירות,nouns,0.3
2459,fraude,שחיתות,nouns,3.6
2460,faible,חריף,adjectives,0.2
2461,or,אבץ,nouns,2.15
2462,évêque,מוסלמי,nouns,1.45
2463,bras,ענף,nouns,2.25
2464,enterrement,מוות,nouns,2.8
2465,smartphone,אננס,nouns,0.0
2466,femme,משימה,nouns,0.05
2467,demain,הלילה,adverbs,1.55
2468,larme,עין,nouns,1.65
2469,effrayé,לא בטוח,adjectives,1.25
2470,manteau,בגדים,nouns,2.75
2471,chemise,קרדיגן,nouns,2.5
2472,tâche,אי,nouns,0.05
2473,généreusement,באדיבות,adverbs,2.6
2474,ouragan,סערה,nouns,3.6
2475,gros,לאומי,adjectives,0.5
2476,crédit,לווה,nouns,1.75
2477,mort,טרגדיה,nouns,2.85
2478,affaire,תעשייה,nouns,2.45
2479,accident,ספר,nouns,0.3
2480,auteur,יוצר,nouns,4.5
2481,éditorial,חדשות,nouns,2.75
2482,naturellement,באופן לא טבעי,adverbs,1.2
2483,tante,דוד,nouns,3.55
2484,être en désaccord,להסכים,verbs,1.35
2485,expulser,להשאיר,verbs,1.7
2486,stupide,מטומטם,adjectives,5.4
2487,garder,להגן,verbs,4.5
2488,véridique,שקרן,adjectives,1.0
2489,accepter,לאשר,verbs,4.7
2490,éduquer,ללמד,verbs,4.5
2491,père,הורה,nouns,4.1
2492,frère,נשמה,nouns,0.4
2493,hystérie,בלבול,nouns,1.75
2494,yaourt,דבש,nouns,1.25
2495,soulever,לגרור,verbs,1.95
2496,rapide,זריז,adjectives,5.4
2497,deviner,להרגיז,verbs,0.2
2498,collant,רטוב,adjectives,1.5
2499,femme,קש,nouns,0.1
2500,désordonné,מכוער,adjectives,0.8
2501,football,כיף,nouns,0.75
2502,oncle,דודן,nouns,2.95
2503,orange,פרי הדר,nouns,3.75
2504,jus,מילקשייק,nouns,2.3
2505,bras,גוף,nouns,1.95
2506,attendre,להישאר,verbs,2.6
2507,réussir,לנסות,verbs,2.0
2508,participer,להצטרף,verbs,2.9
2509,subtilement,בקול רם,adverbs,0.85
2510,lancer,לשלוח,verbs,4.55
2511,couple,צמד,nouns,5.7
2512,uniforme,קרושה,nouns,0.2
2513,bras,מפרק,nouns,2.2
2514,recevoir,להסכים,verbs,3.05
2515,épaule,גוף,nouns,1.9
2516,marine,אי,nouns,0.85
2517,pollinisation,אבקן,nouns,2.15
2518,mer,צונאמי,nouns,1.7
2519,jet,נוזל,nouns,1.3
2520,ennuyeux,עייף,adjectives,1.3
2521,décourager,לתסכל,verbs,3.15
2522,mosaïque,בזיליקה,nouns,1.45
2523,chanson,בלדה,nouns,4.45
2524,inquiet,עצבני,adjectives,1.9
2525,assister,להתכנס,verbs,1.2
2526,conduire,לעצור,verbs,1.2
2527,attendre,לעזוב,verbs,0.85
2528,grain,מטחנה,nouns,1.6
2529,corps,חזה,nouns,2.05
2530,registre,נוסחה,nouns,1.1
2531,passivement,באופן אמין,adverbs,0.85
2532,respirer,לחנוק,verbs,1.5
2533,localement,בוודאי,adverbs,0.25
2534,nez,ראש,nouns,2.05
2535,viande,סטייק,nouns,4.2
2536,ballade,שיר,nouns,4.45
2537,porte,מסדרון,nouns,1.7
2538,essayer,להשיג,verbs,1.15
2539,aéroport,חלק,nouns,0.2
2540,personnel,פרטי,adjectives,5.25
2541,couloir,כיתה,nouns,1.0
2542,président,ראש,nouns,2.35
2543,légion,צבא,nouns,3.3
2544,puissance,כוח,nouns,5.15
2545,fait,תובנה,nouns,1.6
2546,juger,להאשים,verbs,2.8
2547,examen,סילבוס,nouns,1.4
2548,câble, קפלה,nouns,0.05
2549,assiette,קערה,nouns,2.85
2550,réalisateur,סינמטוגרפיה,nouns,1.8
2551,collecter,לשמור,verbs,2.6
2552,dent,פה,nouns,2.3
2553,homme,בעל,nouns,3.5
2554,président,מצלמה,nouns,0.1
2555,éléphant,מצפן,nouns,0.0
2556,restaurer,להביא,verbs,0.7
2557,sol,סיפון,nouns,2.4
2558,supporter,קריקט,nouns,0.65
2559,doux,חשמלי,adjectives,0.2
2560,récif,חוף,nouns,2.25
2561,suivre,לרדוף,verbs,2.35
2562,vélo,חדר שינה,nouns,0.2
2563,tâche,אישה,nouns,0.05
2564,promettre,להישבע,verbs,5.2
2565,médiocre,טוב,adjectives,1.55
2566,kidnapper,לגנוב,verbs,3.05
2567,bain,תעלול,nouns,0.0
2568,ami,בחור,nouns,2.25
2569,course,סוף שבוע,nouns,0.3
2570,hôpital,מיטה,nouns,1.3
2571,homme,אחוה,nouns,1.4
2572,concours,מטבע,nouns,1.25
2573,divertir,להנות,verbs,1.35
2574,lumière,מקלדת,nouns,0.1
2575,décourager,להיכשל,verbs,1.25
2576,balai,אבק,nouns,1.65
2577,enfant,נערה,nouns,3.6
2578,copain,ידיד,nouns,5.05
2579,reconnaître,לדבר,verbs,0.65
2580,aluminium,מתכת,nouns,2.75
2581,mordre,לקרוא,verbs,0.0
2582,assister,להתווכח,verbs,1.55
2583,brillamment,בקלות,adverbs,0.7
2584,agréable,חברותי,adjectives,2.4
2585,tirer,לדחוף,verbs,1.7
2586,princesse,מלך,nouns,2.65
2587,couloir,דלת,nouns,1.7
2588,base-ball,אחווה,nouns,0.45
2589,laid,מבולגן,adjectives,0.8
2590,hebdomadaire,חודשי,adjectives,2.2
2591,rappeler,למכור,verbs,0.2
2592,course,פילוסוף,nouns,0.15
2593,longévité,רצועה,nouns,0.2
2594,livre,חיבור,nouns,1.5
2595,cannelle,ממתק,nouns,1.35
2596,simple,מורכב,adjectives,1.8
2597,sang,מוח,nouns,1.95
2598,homme,לוחם,nouns,2.05
2599,représenter,להודיע,verbs,1.15
2600,plante,חקלאות,nouns,1.7
2601,manière,דרך,nouns,5.2
2602,mariée,נסיכה,nouns,1.85
2603,campement,ביתן,nouns,1.3
2604,whisky,אלכוהול,nouns,2.85
2605,information,אנטרופיה,nouns,1.7
2606,demander,לעזור,verbs,1.5
2607,chercher,להסתכל,verbs,2.1
2608,honnête,אשם,adjectives,0.9
2609,fortement,רשמית,adverbs,0.2
2610,zinc,זהב,nouns,2.15
2611,imprévu,לא צפוי,adjectives,5.7
2612,étroit,לבן,adjectives,0.05
2613,arrêter,לאסור,verbs,2.25
2614,whisky,יין,nouns,3.25
2615,page,מילה,nouns,1.75
2616,démolir,לרסק,verbs,4.8
2617,aggraver,להטריח,verbs,0.3
2618,route,כביש מהיר,nouns,4.0
2619,enterrer,למות,verbs,1.7
2620,parfois,באופן אחיד,adverbs,0.6
2621,violent,פאסיבי,adjectives,0.65
2622,sourcil,עין,nouns,1.85
2623,idiot,טיפש,adjectives,5.4
2624,éviter,להכחיש,verbs,1.15
2625,stupide,עצום,adjectives,0.75
2626,décourager,לעודד,verbs,1.35
2627,cogitation,טלסקופ,nouns,0.05
2628,heureux,עליז,adjectives,5.2
2629,effrayé,ביישן,adjectives,2.0
2630,garçon,אורז,nouns,0.25
2631,insulter,לפגוע,verbs,4.15
2632,déraisonnablement,באופן לא הוגן,adverbs,2.2
2633,connu,מפורסם,adjectives,4.85
2634,massivement,בפתיחות,adverbs,0.9
2635,régulièrement,לעיתים,adverbs,2.1
2636,chambre à coucher,אמבטיה,nouns,1.85
2637,candidat,מועמדות,nouns,2.6
2638,tomber,למעוד,verbs,4.5
2639,papier,פוסטר,nouns,2.9
2640,anatomie,ביולוגיה,nouns,3.2
2641,entreprise,עסק,nouns,3.45
2642,dieu,שטן,nouns,2.15
2643,recevoir,לקנות,verbs,1.45
2644,mâchoire,עצם,nouns,2.15
2645,fier,מסכן,adjectives,0.4
2646,salade,חומץ,nouns,1.45
2647,galaxie,אסטרונום,nouns,1.7
2648,visa,גלובליזם,nouns,0.95
2649,trouver,לאבד,verbs,0.7
2650,voiture,משאית,nouns,3.1
2651,partir,להצטרף,verbs,1.6
2652,merveilleux,מהנה,adjectives,3.55
2653,occupé,עצלן,adjectives,0.85
2654,pauvreté,עושר,nouns,1.45
2655,clé,כתר,nouns,0.05
2656,élève,נשיא,nouns,0.8
2657,incurvé,ישר,adjectives,1.3
2658,île,חצי אי,nouns,3.0
2659,réalité,הזיה,nouns,1.6
2660,session,מטופל,nouns,0.65
2661,coûteux,ביישן,adjectives,0.15
2662,bacon,שעועית,nouns,1.15
2663,thème,ספר,nouns,1.15
2664,sûrement,לפעמים,adverbs,0.7
2665,intention,רצון,nouns,5.1
2666,miel,מחלבה,nouns,1.25
2667,élastique,גמיש,adjectives,5.15
2668,écouter,לציית,verbs,3.55
2669,blé,תירס,nouns,2.3
2670,livre,סיפור,nouns,2.6
2671,transparent,מצביע,nouns,0.3
2672,bol,צלחת,nouns,2.85
2673,précieux,עצלן,adjectives,0.1
2674,croître,להתרחב,verbs,4.45
2675,courbé,מעוקל,adjectives,5.25
2676,plage,שונית,nouns,2.25
2677,pop-corn,קולנוע,nouns,1.4
2678,outil,עבודה,nouns,0.8
2679,imiter,ללכוד,verbs,0.4
2680,couronne,מפתח,nouns,0.05
2681,école,חוק,nouns,1.35
2682,humblement,בגאווה,adverbs,1.4
2683,sonnette,דלת,nouns,1.7
2684,mal,נורא,adjectives,3.95
2685,valeur,אמונה,nouns,2.6
2686,week-end,מרוץ,nouns,0.3
2687,après,לפני,adverbs,1.45
2688,combiner,לשלב,verbs,4.7
2689,cadre,מכה,nouns,0.1
2690,reine,דבורה,nouns,1.65
2691,frapper,למשוך,verbs,1.0
2692,enfant,מבוגר,nouns,1.9
2693,multiplication,חילוק,nouns,2.4
2694,unir,לקשור,verbs,3.55
2695,joueur,מאמן,nouns,1.95
2696,palais,גורד שחקים,nouns,1.85
2697,escrime,התעמלות,nouns,1.9
2698,os,לסת,nouns,2.15
2699,ancien,חדש,adjectives,1.4
2700,expliquer,להבהיר,verbs,4.95
2701,écouter,להבין,verbs,2.25
2702,coude,קרסול,nouns,2.4
2703,se renseigner,לדרוש,verbs,1.0
2704,génial,רע,adjectives,0.75
2705,principalement,לרוב,adverbs,4.95
2706,surtout,באמת,adverbs,1.35
2707,dune,מדבר,nouns,2.7
2708,groupe,סבולת,nouns,0.2
2709,tuyau,מכונית,nouns,0.35
2710,paiement,תגמול,nouns,4.15
2711,stupide,צפוף,adjectives,0.15
2712,phonologie,מסך,nouns,0.2
2713,rationnel,פיכח,adjectives,1.6
2714,fatigué,משעמם,adjectives,1.3
2715,tombe,קבורה מחדש,nouns,1.9
2716,aider,לבקש,verbs,1.5
2717,mouton,טלה,nouns,4.15
2718,timide,מפוחד,adjectives,2.0
2719,follement,בעצב,adverbs,0.85
2720,saint,חוטא,nouns,1.3
2721,taille,טריק,nouns,0.0
2722,agonie,צער,nouns,2.9
2723,personne,סנט,nouns,0.7
2724,employé,זמר,nouns,0.25
2725,vecteur,מטריצה,nouns,3.15
2726,au fond,לחלוטין,adverbs,1.25
2727,gagner,להביס,verbs,4.1
2728,rythme,מקצב,nouns,5.1
2729,shérif,שוטר,nouns,4.2
2730,bruyant,חצוף,adjectives,1.1
2731,déranger,להחמיר,verbs,0.3
2732,film,תיאטרון,nouns,2.15
2733,poème,מקצב,nouns,2.15
2734,moissonneuse-batteuse,קנה סוכר,nouns,0.55
2735,atmosphère,אוזון,nouns,3.75
2736,sûrement,בהחלט,adverbs,5.8
2737,recevoir,לשלוח,verbs,1.55
2738,sonnet,יופי,nouns,0.6
2739,refuser,לדחות,verbs,5.45
2740,cheval,שור,nouns,2.05
2741,fier,חזק,adjectives,1.05
2742,sacre,מים,nouns,0.3
2743,grossier,תוקפני,adjectives,1.7
2744,légitime,לא חוקי,adjectives,1.15
2745,mouton,בקר,nouns,3.3
2746,profondément,בעיקר,adverbs,1.05
2747,épicé,חלש,adjectives,0.2
2748,boire,ללגום,verbs,4.9
2749,plafond,גג,nouns,4.1
2750,dollar,אנשים,nouns,0.1
2751,formel,ראוי,adjectives,1.0
2752,infirmier,מדען,nouns,0.95
2753,jamais,בכנות,adverbs,0.05
2754,perceptible,ברור,adjectives,3.35
2755,frontière,גבול,nouns,4.95
2756,portable,אקדח,nouns,0.1
2757,fort,חזק,adjectives,5.45
2758,renard,כלב,nouns,2.1
2759,siècle,עשור,nouns,2.3
2760,nécessiteux,חסר ישע,adjectives,2.55
2761,choix,וריד,nouns,0.25
2762,punir,להכות,verbs,2.4
2763,matériel,מקרה,nouns,1.2
2764,céramique,קדרות,nouns,4.3
2765,penser,לנסות,verbs,0.4
2766,pot,מכשיר,nouns,0.55
2767,réalité,אשליה,nouns,1.65
2768,herbe,טחב,nouns,2.3
2769,offenser,להעליב,verbs,4.15
2770,passion,רגש,nouns,3.45
2771,flexible,גדול,adjectives,0.25
2772,colonne vertébrale,צוואר,nouns,2.1
2773,chapelle,כבל,nouns,0.05
2774,oeuvre,אמן,nouns,2.0
2775,témoigner,לשפוט,verbs,1.45
2776,fleur,סיגלית,nouns,3.05
2777,pain,בשר,nouns,1.4
2778,rue,סמטה,nouns,4.25
2779,écouter,לשמוע,verbs,4.25
2780,sobre,רציונלי,adjectives,1.6
2781,étroit,מלוכלך,adjectives,0.1
2782,chagrin,בושה,nouns,1.75
2783,électricité,תיבה,nouns,0.85
2784,commencer,להיווצר,verbs,1.2
2785,usine,מכונית,nouns,1.0
2786,pendre,להניח,verbs,1.05
2787,retenir,לשכוח,verbs,1.2
2788,mec,נערה,nouns,2.55
2789,humble,צנוע,adjectives,5.9
2790,syntagme,מילה,nouns,3.3
2791,prendre,למסור,verbs,0.95
2792,donation,מנחה,nouns,3.35
2793,journée,בוקר,nouns,2.6
2794,monde,גלובוס,nouns,4.3
2795,porter,לשחוק,verbs,0.4
2796,nord,מערב,nouns,2.2
2797,père,בן,nouns,2.15
2798,cytoplasme,ספרה,nouns,0.25
2799,différence,שארית,nouns,2.35
2800,orchestre,להקה,nouns,3.7
2801,voiture,סירה,nouns,1.85
2802,tristesse,שמחה,nouns,1.5
2803,couloir,מעבר,nouns,4.15
2804,pied,חול,nouns,0.55
2805,appareil photo,נשיא,nouns,0.1
2806,haricot,בייקון,nouns,1.15
2807,ascenseur,מכונית,nouns,0.75
2808,tante,אחיין,nouns,1.9
2809,poulet,אורז,nouns,1.25
2810,apporter,להתלונן,verbs,0.1
2811,frustration,כעס,nouns,3.4
2812,convaincre,לנסות,verbs,1.1
2813,terne,משועמם,adjectives,1.65
2814,apporter,להחזיר,verbs,0.7
2815,soldat,שלום,nouns,1.1
2816,appartement,מלון,nouns,2.1
2817,faux,מדוייק,adjectives,0.75
2818,sauver,לבזבז,verbs,0.75
2819,île,משימה,nouns,0.05
2820,étranger,חייזר,nouns,2.85
2821,calmement,בשלווה,adverbs,4.9
2822,bétail,פרה,nouns,4.15
2823,créer,לעשות,verbs,4.5
2824,réduire,להנמיך,verbs,4.25
2825,enjoué,שמח,adjectives,5.1
2826,transporter,להרים,verbs,1.95
2827,dangereusement,בזהירות,adverbs,0.85
2828,élever,לשתות,verbs,0.05
2829,chat,ארנב,nouns,1.6
2830,air,מולקולה,nouns,1.8
2831,permettre,לאשר,verbs,4.15
2832,plus tard,לעולם לא,adverbs,1.35
2833,aptitude,כוח,nouns,3.05
2834,oasis,חופש,nouns,0.45
2835,remarquer,לבקר,verbs,2.7
2836,angle,עקומה,nouns,2.65
2837,cuisine,דלת,nouns,0.9
2838,paille,רעיה,nouns,0.1
2839,homme,אישה,nouns,2.2
2840,coureur,ספורטאי,nouns,3.05
2841,recommander,לקבל,verbs,1.05
2842,couloir,מסדרון,nouns,5.65
2843,décoration,קיר,nouns,1.3
2844,dériver,לזרום,verbs,2.75
2845,liste,מערך,nouns,3.0
2846,écran,מוניטור,nouns,4.8
2847,copain,רע,nouns,5.6
2848,robotique,סימולציה,nouns,1.35
2849,nerf,גוף,nouns,1.3
2850,colline,צוק,nouns,2.5
2851,acteur,זמר,nouns,2.25
2852,pied,ראש,nouns,1.65
2853,errer,לעזוב,verbs,0.95
2854,brandy,יין,nouns,3.0
2855,division,כפל,nouns,2.4
2856,faire,ליצור,verbs,4.5
2857,déjeuner,ארוחת ערב,nouns,2.6
2858,maison,אסם,nouns,1.9
2859,société,עסק,nouns,2.8
2860,dîner,תרנגולת,nouns,1.25
2861,ordonné,מבולגן,adjectives,1.5
2862,fille,תינוקת,nouns,2.9
2863,fracasser,להרוס,verbs,4.8
2864,conspirateur,אסטרטג,nouns,3.4
2865,rapidement,בדחיפות,adverbs,3.75
2866,infini,אפס,nouns,1.7
2867,commencer,התחיל,verbs,5.65
2868,mortellement,באושר,adverbs,0.45
2869,emprunteur,אשראי,nouns,1.75
2870,emprunter,למכור,verbs,1.3
2871,racine,דשא,nouns,1.95
2872,arrière-plan,טפט,nouns,3.3
2873,prendre,להחזיק,verbs,2.3
2874,honteux,עצוב,adjectives,1.2
2875,ordinaire,שגרתי,adjectives,5.7
2876,débattre,לנמק,verbs,3.4
2877,étrange,תמוה,adjectives,5.4
2878,basket,בייסבול,nouns,2.65
2879,chaise,ספה,nouns,2.9
2880,savoir,להבין,verbs,1.25
2881,cours,תמימות דעים,nouns,1.25
2882,entropie,מידע,nouns,1.7
2883,gaspiller,לדאוג,verbs,0.25
2884,dépendre,לסמוך,verbs,3.6
2885,flic,שריף,nouns,4.2
2886,autoroute,מכונית,nouns,1.85
2887,notifier,לתאר,verbs,1.15
2888,jardin,צינור,nouns,1.15
2889,se disputer,להתלונן,verbs,2.0
2890,donner,לנשל,verbs,0.55
2891,écrivain,כישרון,nouns,0.9
2892,marin,חובל,nouns,3.8
2893,doucement,בנחישות,adverbs,0.9
2894,échouer,לסמוך,verbs,0.4
2895,flore,טבע,nouns,3.05
2896,savoir,לתת,verbs,0.3
2897,fantastique,מציאות,nouns,1.6
2898,enseignant,תלמיד,nouns,2.05
2899,chaise,טלסקופ,nouns,0.35
2900,réceptacle,עכבר,nouns,0.05
2901,enthousiasmé,מבוהל,adjectives,1.35
2902,chien,שועל,nouns,2.1
2903,tunnel,שביל,nouns,1.8
