ID,FRA,POL,PoS,score
1,bizarre,dziwny,adjectives,5.53
2,obtenir,kłaść,verbs,0.25
3,jeune,niespokojny,adjectives,1.0
4,débuter,zaczynać,verbs,5.25
5,parler,uznawać,verbs,0.5
6,flore,natura,nouns,3.45
7,indécis,neutralny,adjectives,2.45
8,ordinaire,nieprawdopodobny,adjectives,0.7
9,violon,gitara,nouns,2.25
10,pierre,kopalnia,nouns,1.3
11,responsablement,niezależnie,adverbs,1.1
12,capitaine,żeglarz,nouns,3.2
13,représenter,powiadamiać,verbs,1.35
14,convaincre,argumentować,verbs,3.4
15,constitution,cesarz,nouns,0.6
16,créateur,autor,nouns,5.5
17,pop-corn,kino,nouns,1.1
18,magistrat,sędzia,nouns,4.4
19,force,wytrzymałość,nouns,3.05
20,cuirassé,drednot,nouns,4.65
21,galaxie,aplikacja,nouns,0.1
22,aller,sprzedawać,verbs,0.2
23,jus,łyżka,nouns,0.5
24,massivement,otwarcie,adverbs,0.75
25,badge,szklanka,nouns,0.3
26,salaire,pieniądze,nouns,3.9
27,croiseur,pancernik,nouns,4.65
28,imaginer,udawać,verbs,1.8
29,annuler,odrzucić,verbs,3.1
30,baseball,koszykówka,nouns,2.4
31,faux,sztuczny,adjectives,4.5
32,médaille,adidasy,nouns,0.3
33,télévision,aktor,nouns,1.2
34,svelte,wąski,adjectives,2.8
35,spirituel,bezcielesny,adjectives,4.45
36,livre,motyw,nouns,0.65
37,poignet,ręka,nouns,2.55
38,lire,gryźć,verbs,0.0
39,concept,przekonanie,nouns,2.25
40,groupe,trunek,nouns,0.15
41,dinosaure,słoń,nouns,1.1
42,coeur,chirurgia,nouns,1.05
43,errer,szukać,verbs,1.75
44,économie,ekosystem,nouns,0.8
45,dernièrement,niedawno,adverbs,5.65
46,république,książę,nouns,0.3
47,parapsychologie,neuropsychologia,nouns,1.85
48,hurler,krzyczeć,verbs,5.65
49,tâche,wyspa,nouns,0.05
50,enterrer,przykryć,verbs,3.0
51,critique,niegrzeczny,adjectives,0.65
52,bruyamment,subtelnie,adverbs,0.65
53,branche,ramię,nouns,0.95
54,sérieusement,szczerze,adverbs,2.05
55,danger,zagrożenie,nouns,5.7
56,déchirer,nosić,verbs,0.1
57,intelligent,tępy,adjectives,0.75
58,brillamment,lekko,adverbs,0.45
59,manifeste,nieujawniony,adjectives,0.4
60,représenter,decydować,verbs,0.8
61,fort,mocny,adjectives,5.0
62,convaincre,próbować,verbs,1.15
63,décoration,ściana,nouns,1.15
64,nerveux,przestraszony,adjectives,1.65
65,ordinaire,przeciętny,adjectives,3.35
66,conquête,hymn,nouns,0.4
67,heureux,młody,adjectives,0.5
68,collant,brudny,adjectives,2.1
69,confidentiel,jawny,adjectives,0.4
70,adulte,rodzic,nouns,3.05
71,obtenir,pozostać,verbs,0.2
72,accepter,dostarczać,verbs,0.55
73,véhicule,autobus,nouns,3.7
74,prier,komunikować,verbs,0.7
75,cheval,wół,nouns,2.0
76,symbole,znak,nouns,5.6
77,cuillère,sok,nouns,0.5
78,combattre,bawić się,verbs,0.7
79,robe,taniec,nouns,0.45
80,casser,pękać,verbs,3.55
81,croyance,wartość,nouns,2.45
82,infraction,oszustwo,nouns,4.4
83,pomme,cukierek,nouns,1.1
84,crédit,pożyczkobiorca,nouns,1.7
85,achevé,skończony,adjectives,5.4
86,émotion,pasja,nouns,3.05
87,bien,pikantny,adjectives,0.4
88,fier,śmiały,adjectives,2.0
89,moine,krzyż,nouns,1.15
90,perdre,odejmować,verbs,1.85
91,possibilité,wolność,nouns,4.55
92,accuser,kłamać,verbs,0.5
93,chèvre,krowa,nouns,1.85
94,éclaireur,łucznik,nouns,1.85
95,dollar,milioner,nouns,1.25
96,avocat,bankier,nouns,1.1
97,plonger,tworzyć,verbs,0.1
98,marginalement,pobieżnie,adverbs,1.2
99,certainement,wyraźnie,adverbs,3.4
100,après,przed,adverbs,1.15
101,tasse,rożek,nouns,0.3
102,proclamer,ogłaszać,verbs,4.85
103,ignorant,regularny,adjectives,0.45
104,sagesse,inteligencja,nouns,4.35
105,au-delà,czyściec,nouns,2.55
106,principalement,przeważnie,adverbs,5.1
107,souris,pokład,nouns,0.05
108,doux,średni,adjectives,0.9
109,course,filozof,nouns,0.15
110,accepter,wybaczać,verbs,2.25
111,session,pacjent,nouns,0.1
112,répéter,ćwiczyć,verbs,3.75
113,intensité,gwiazda,nouns,1.2
114,privé,osobisty,adjectives,5.4
115,choix,rozdział,nouns,0.55
116,sournois,hardy,adjectives,1.0
117,fissurer,złamać się,verbs,3.55
118,apocalypse,ogień,nouns,1.4
119,permettre,pozwalać,verbs,5.2
120,communiquer,modlić się,verbs,0.7
121,médecin,usposobienie,nouns,0.0
122,éclaboussure,lepkość,nouns,0.3
123,intelligent,bystry,adjectives,4.95
124,sembler,stać się,verbs,1.05
125,rapidement,pilnie,adverbs,4.3
126,acquérir,uzyskać,verbs,4.95
127,femme,zadanie,nouns,0.05
128,appartement,hotel,nouns,1.9
129,terminer,złapać,verbs,0.2
130,haricot,bekon,nouns,0.85
131,corps,kręgosłup,nouns,1.5
132,lit,szpital,nouns,0.95
133,homophone,fotofon,nouns,0.3
134,bronchite,acetaminofen,nouns,1.0
135,pied,piasek,nouns,0.3
136,enseignant,rabin,nouns,2.1
137,permettre,dać,verbs,1.55
138,sauver,wydawać,verbs,0.25
139,ignorer,pytać,verbs,0.55
140,roi,władca,nouns,5.2
141,morale,legenda,nouns,1.3
142,capturer,złapać,verbs,5.7
143,neutre,spokojny,adjectives,1.75
144,administration,kierownictwo,nouns,4.35
145,radar,dżojstik,nouns,0.1
146,boîte,cygaro,nouns,0.7
147,constitution,senat,nouns,1.65
148,créer,budować,verbs,4.65
149,exotique,rzadki,adjectives,4.55
150,ouragan,burza,nouns,3.0
151,soigneusement,przezornie,adverbs,3.8
152,combiner,miksować,verbs,4.85
153,réinhumation,grób,nouns,2.0
154,restreindre,redukować,verbs,4.75
155,révision,prognoza,nouns,0.6
156,choix,więzienie,nouns,0.2
157,important,kluczowy,adjectives,5.55
158,carte mère,płyta główna,nouns,3.5
159,fini,zakończony,adjectives,5.4
160,intuition,zmysł,nouns,4.05
161,difficile,gęsty,adjectives,1.15
162,immature,dorosły,adjectives,0.7
163,boire,sączyć,verbs,4.25
164,tisser,ruszać,verbs,0.15
165,lin,tkanina,nouns,3.75
166,laisser,spotykać,verbs,0.35
167,pur,skromny,adjectives,1.2
168,gagnant,obecność,nouns,0.3
169,fait,dowód,nouns,3.75
170,chanceux,zawstydzony,adjectives,0.45
171,prévision,zachmurzenie,nouns,0.6
172,clarifier,tłumaczyć,verbs,5.7
173,gros,narodowy,adjectives,0.15
174,agrume,pomarańcza,nouns,3.9
175,merveilleux,świetny,adjectives,5.55
176,sûr,nużący,adjectives,0.2
177,oublier,przypominać,verbs,0.75
178,collecte de fonds,wydarzenie,nouns,1.15
179,inquiéter,marnować,verbs,0.15
180,esprit,mózg,nouns,3.75
181,argent,pensja,nouns,3.9
182,mer,rzeka,nouns,2.1
183,donner,otrzymywać,verbs,0.95
184,courrier,szybkość,nouns,0.0
185,ici,teraz,adverbs,1.5
186,frère,dusza,nouns,0.45
187,amical,nieprawdopodobny,adverbs,0.05
188,preuve,fakt,nouns,3.75
189,se renseigner,wymagać,verbs,0.65
190,accepter,otrzymywać,verbs,2.4
191,tromper,oszukać,verbs,4.3
192,canapé,baseball,nouns,0.05
193,choisir,decydować,verbs,4.8
194,tâche,słoma,nouns,0.0
195,rare,niezwykły,adjectives,5.0
196,os,łokieć,nouns,1.7
197,circonstance,sytuacja,nouns,5.0
198,content,szczęśliwy,adjectives,5.0
199,rapide,szybki,adjectives,5.5
200,précis,błędny,adjectives,0.25
201,anarchie,chaos,nouns,4.55
202,fâché,szczęśliwy,adjectives,0.75
203,esprit,bóg,nouns,2.55
204,sauver,ocalać,verbs,5.7
205,sûrement,zdecydowanie,adverbs,5.65
206,prédire,przypuszczać,verbs,3.5
207,hymne,biblia,nouns,0.7
208,se battre,zabić,verbs,1.55
209,contrarier,zniechęcać,verbs,1.85
210,environnement,miecz,nouns,0.05
211,heureusement,śmiertelnie,adverbs,0.3
212,cloche,wieża,nouns,1.05
213,acheter,dostać,verbs,0.95
214,théorie,chemia,nouns,1.3
215,soleil,niebo,nouns,1.85
216,whisky,alkohol,nouns,3.3
217,tremblement de terre,wstrząs,nouns,4.55
218,bouger,tkać,verbs,0.15
219,conforter,poniżać,verbs,0.45
220,île,plaża,nouns,2.15
221,engloutir,sączyć,verbs,1.55
222,docteur,lekarz,nouns,5.6
223,moteur,tłok,nouns,2.6
224,affaire,korporacja,nouns,2.4
225,échouage,pokój,nouns,1.25
226,apparent,oczywisty,adjectives,3.85
227,étrangement,nadzwyczajnie,adverbs,2.05
228,bain,polano,nouns,0.0
229,cogitation,teleskop,nouns,0.05
230,bras,kość,nouns,1.55
231,employeur,robotnik,nouns,1.35
232,construire,dodawać,verbs,1.2
233,différemment,nieuleczalnie,adverbs,0.3
234,flotter,śpiewać,verbs,0.1
235,réprimer,wyrzekać się,verbs,1.8
236,poliment,dyskretnie,adverbs,1.75
237,délicatement,obecnie,adverbs,0.15
238,aider,pytać,verbs,0.6
239,débattre,uczęszczać,verbs,0.55
240,industrie,biznes,nouns,2.6
241,étudiant,uczeń,nouns,5.1
242,paquet,ciężarówka,nouns,0.6
243,expliquer,dyskutować,verbs,2.45
244,livre,literatura,nouns,3.4
245,pleinement,zasadniczo,adverbs,1.3
246,sembler,udawać,verbs,1.55
247,rappeler,zapominać,verbs,0.75
248,étrange,cudaczny,adjectives,5.25
249,doigt,dłoń,nouns,1.8
250,retenir,zapominać,verbs,1.05
251,tranchant,łagodny,adjectives,0.7
252,auteur,twórca,nouns,5.5
253,molécule,powietrze,nouns,1.45
254,recommander,akceptować,verbs,0.7
255,punir,przestrzegać,verbs,1.2
256,orange,cytrus,nouns,3.9
257,maison,stan,nouns,0.05
258,tuteur,dorosły,nouns,2.95
259,nihilisme,film,nouns,0.15
260,usine,samochód,nouns,0.65
261,généralement,nieregularnie,adverbs,0.75
262,situation,okoliczność,nouns,5.0
263,lire,rozumieć,verbs,0.95
264,mur,dekoracja,nouns,1.15
265,chercher,polować,verbs,2.3
266,rester,dostać,verbs,0.2
267,langue,gardło,nouns,1.65
268,histoire,ołówek,nouns,0.25
269,essayer,osiągnąć,verbs,0.9
270,poitrine,ciało,nouns,2.15
271,théâtre,bateria,nouns,0.05
272,doigt,palec (u nogi),nouns,4.2
273,sphère,piłka,nouns,2.7
274,compagnon,kumpel,nouns,4.9
275,ascenseur,samochód,nouns,0.35
276,week-end,wyścig,nouns,0.25
277,football,futbol,nouns,4.8
278,satisfaire,zabawiać,verbs,1.8
279,côte,brzeg,nouns,4.85
280,taille,wielkość,nouns,4.6
281,alcool,koniak,nouns,3.45
282,arrière,ogon,nouns,3.1
283,puissant,potężny,adjectives,5.0
284,tombe,ponowny pochówek,nouns,2.0
285,donner,zezwalać,verbs,1.55
286,présence,drzwi,nouns,0.15
287,fier,silny,adjectives,1.3
288,feuille,płaszczyzna,nouns,0.3
289,extraverti,przychodzący,adjectives,0.7
290,garder,posiadać,verbs,2.6
291,attraper,uwalniać,verbs,0.2
292,vague,pogoda,nouns,0.5
293,retenir,pozostać,verbs,1.4
294,bulbe,kwiat,nouns,2.2
295,incurvé,agresywny,adjectives,0.0
296,sol,drzwi,nouns,0.55
297,canapé,łóżko,nouns,3.5
298,coude,kość,nouns,1.7
299,oasis,wolność,nouns,0.5
300,divertir,zadowalać,verbs,1.8
301,insecte,pszczoła,nouns,3.2
302,prêter,być dłużnym,verbs,1.75
303,attaque,ranić,verbs,2.4
304,entrer,być dłużnym,verbs,0.15
305,généreusement,nigdy,adverbs,0.05
306,corniche,góra,nouns,2.2
307,faire,stać się,verbs,0.65
308,lit,sypialnia,nouns,2.25
309,grossier,agresywny,adjectives,2.35
310,accepter,polecać,verbs,0.7
311,hypothèse,teoria,nouns,4.65
312,immoral,zły,adjectives,3.7
313,falaise,wzgórze,nouns,2.55
314,rincer,myć,verbs,4.1
315,nerveux,pewien,adjectives,0.15
316,moyen,łagodny,adjectives,0.9
317,apparemment,prosto,adverbs,1.4
318,tiroir,ubrania,nouns,0.85
319,conversion,wysokość,nouns,0.4
320,acteur,wielościan,nouns,0.0
321,ennuyé,nudny,adjectives,1.6
322,chevaucher,biegać,verbs,0.85
323,type,ogier,nouns,1.4
324,marrant,nudny,adjectives,0.25
325,voyager,iść,verbs,3.45
326,protéger,ratować,verbs,3.5
327,canon,bal,nouns,0.5
328,porte,wyjście,nouns,3.5
329,renier,zaniedbać,verbs,1.55
330,bruit,brzęk,nouns,3.75
331,renoncer,wyrzec się,verbs,3.85
332,profusion,obfitość,nouns,5.15
333,idiot,głupi,adjectives,5.75
334,satire,mit,nouns,1.9
335,arme,hełm,nouns,1.25
336,génie,lampa,nouns,1.25
337,dentiste,pułkownik,nouns,0.25
338,parfois,jednorodnie,adverbs,0.35
339,extraterrestre,cudzoziemiec,nouns,4.1
340,officiellement,silnie,adverbs,0.55
341,atome,cząsteczka,nouns,3.7
342,gratte-ciel,pałac,nouns,1.5
343,clairement,pewnie,adverbs,3.4
344,peut-être,prawdopodobnie,adverbs,4.8
345,musique,melodia,nouns,4.5
346,fou,niepoczytalny,adjectives,5.45
347,couler,dryfować,verbs,2.8
348,principalement,krytycznie,adverbs,0.65
349,affreux,zły,adjectives,2.95
350,club,znak,nouns,0.25
351,passion,emocja,nouns,3.05
352,flic,drugi pilot,nouns,0.4
353,fraise,wiśnia,nouns,2.6
354,envoyer,iść,verbs,0.45
355,sultan,ministerstwo,nouns,0.65
356,sous-vêtement,ciało,nouns,1.0
357,pistolet,futro,nouns,0.05
358,désincarné,duchowy,adjectives,4.45
359,trou,porozumienie,nouns,0.0
360,emprunter,chcieć,verbs,0.75
361,devenir,pojawić się,verbs,1.45
362,attacher,oddzielać,verbs,0.75
363,cinquième,czołowy,adjectives,0.15
364,cinématographie,reżyser,nouns,1.75
365,clavier,światło,nouns,0.1
366,collant,mokry,adjectives,1.25
367,participer,współpracować,verbs,3.55
368,voiture,winda,nouns,0.35
369,mer,delta,nouns,1.6
370,journée,poranek,nouns,2.7
371,prendre,dostarczać,verbs,0.6
372,éventuellement,optymistycznie,adverbs,0.8
373,concours,waluta,nouns,0.65
374,apeuré,zaniepokojony,adjectives,3.65
375,électrique,słodki,adjectives,0.2
376,mutant,socjobiologia,nouns,0.4
377,jamais,szczerze,adverbs,0.05
378,inutilisé,nowy,adjectives,4.85
379,couvent,prysznic,nouns,0.1
380,génial,wspaniały,adjectives,5.55
381,dieu,ksiądz,nouns,1.35
382,jupe,zegarek,nouns,0.4
383,emprunter,dać,verbs,1.8
384,confession,wyparcie,nouns,1.0
385,rivaliser,skończyć,verbs,0.15
386,bouillir,smażyć,verbs,2.75
387,flic,szeryf,nouns,3.8
388,doux,ostry,adjectives,0.7
389,mouche,mrówka,nouns,1.85
390,perdre,dostać,verbs,0.7
391,menthe,muzeum,nouns,0.05
392,en phase terminale,głównie,adverbs,0.0
393,mousse,bańka,nouns,2.1
394,casque,broń,nouns,1.25
395,tuer,bronić,verbs,0.8
396,débattre,wrzeszczeć,verbs,2.6
397,apporter,nieść,verbs,3.05
398,construire,robić,verbs,3.9
399,théorie,twierdzenie,nouns,4.45
400,secousse,trzęsienie ziemi,nouns,4.55
401,plage,wybrzeże,nouns,3.6
402,côte,plaża,nouns,3.6
403,heureusement,aktywnie,adverbs,0.5
404,voiture,wąż (ogrodowy),nouns,0.35
405,puissance,siła,nouns,5.05
406,fier,smutny,adjectives,0.65
407,couverture,drewno,nouns,0.15
408,violent,rozzłoszczony,adjectives,2.35
409,aider,asystować,verbs,5.2
410,rose,motyl,nouns,0.45
411,don,pisarz,nouns,0.25
412,plage,wyspa,nouns,2.15
413,mur,zamek,nouns,0.7
414,empereur,konstytucja,nouns,0.6
415,bois,koc,nouns,0.15
416,analyser,porównywać,verbs,3.85
417,corde,drut,nouns,3.9
418,aluminium,blacha,nouns,2.65
419,femme,futro,nouns,0.25
420,os,ramię,nouns,1.55
421,machine,silnik,nouns,3.85
422,déclarer,ogłaszać,verbs,5.4
423,vison,olej,nouns,0.1
424,puissant,słaby,adjectives,0.7
425,gentiment,życzliwie,adverbs,2.9
426,prétendre,ukazywać,verbs,0.3
427,difficulté,wysiłek,nouns,3.55
428,informer,powiadamiać,verbs,5.8
429,veine,żołądek,nouns,0.8
430,prédire,ustalać,verbs,3.0
431,suggérer,radzić,verbs,4.85
432,mythe,satyra,nouns,1.9
433,école,prawo,nouns,0.95
434,emprunter,sprzedawać,verbs,0.6
435,éviter,zaprzeczać,verbs,0.75
436,bétail,wołowina,nouns,4.0
437,viande,stek,nouns,4.45
438,anthropologie,archeologia,nouns,2.15
439,énorme,tępy,adjectives,0.65
440,rayon,światło słoneczne,nouns,3.05
441,manager,lider,nouns,4.35
442,trouver,zlokalizować,verbs,4.35
443,baseball,kanapa,nouns,0.05
444,danger,dolegliwość,nouns,0.85
445,prendre sa retraite,wycofać się,verbs,1.65
446,sociobiologie,mutant,nouns,0.4
447,tragédie,śmierć,nouns,3.05
448,arithmétique,rytm,nouns,0.1
449,chapitre,ogon,nouns,0.0
450,fastidieux,pewny,adjectives,0.2
451,tête,paznokieć,nouns,0.75
452,perle,pieniądze,nouns,0.9
453,salade,ocet,nouns,1.05
454,chiffre,cytoplazma,nouns,0.0
455,sûrement,szczęśliwie,adverbs,2.0
456,aggraver,napadać,verbs,1.1
457,opinion,przekonanie,nouns,3.95
458,football,zabawa,nouns,0.95
459,téléphone,komórka,nouns,5.55
460,entrer,wychodzić,verbs,0.45
461,prédire,zakładać,verbs,3.15
462,matrice,cząsteczka,nouns,0.3
463,langue,policzek,nouns,1.3
464,campus,uniwersytet,nouns,3.95
465,photophone,homofon,nouns,0.3
466,réduire,obniżać,verbs,4.85
467,bacon,fasola,nouns,0.85
468,psychologie,nauka,nouns,2.35
469,désirer,chcieć,verbs,5.5
470,côte,kanonierka,nouns,0.2
471,manuscrit,artykuł,nouns,1.85
472,cuillère,filiżanka,nouns,1.15
473,héros,bohaterka,nouns,4.75
474,nécessaire,ważny,adjectives,4.45
475,bois,polano,nouns,3.85
476,dictionnaire,definicja,nouns,2.25
477,apprendre,edukować,verbs,4.2
478,irresponsable,niedojrzały,adjectives,4.5
479,follement,smutno,adverbs,0.35
480,adjoint,funkcjonariusz,nouns,1.9
481,terrible,zły,adjectives,4.1
482,nature,flora,nouns,3.45
483,riz,kurczak,nouns,0.75
484,discrètement,oczywiście,adverbs,0.55
485,agressif,niegrzeczny,adjectives,2.35
486,plage,brzeg morski,nouns,4.2
487,câble,przewód,nouns,3.9
488,club,stowarzyszenie,nouns,4.45
489,mélanger,jeździć,verbs,0.1
490,ongle,głowa,nouns,0.75
491,apparaître,wychodzić,verbs,0.35
492,moteur,silnik,nouns,4.0
493,connu,popularny,adjectives,5.25
494,cours,żołądek,nouns,0.1
495,protéger,bronić,verbs,5.3
496,infection,fleksja,nouns,0.2
497,accord,pakt,nouns,5.2
498,précieux,leniwy,adjectives,0.1
499,rassembler,zbierać,verbs,5.75
500,plaider,zadowalać,verbs,0.15
501,détériorer,wycierać,verbs,0.4
502,milliardaire,bezdomny,nouns,0.75
503,cheval,pies,nouns,1.35
504,donner,kraść,verbs,0.7
505,terne,śmieszny,adjectives,0.25
506,armée,oddział,nouns,2.8
507,courbé,wygięty,adjectives,5.45
508,surtout,prawdziwie,adverbs,1.85
509,hashtag,temat,nouns,2.7
510,rassembler,uczęszczać,verbs,1.3
511,soleil couchant,sznurek,nouns,0.0
512,disparaître,kurczyć się,verbs,2.05
513,vêtement,płaszcz,nouns,3.05
514,soldat,pokój,nouns,0.85
515,vol,lotnictwo,nouns,2.4
516,lèvre,biodro,nouns,0.65
517,météo,fala,nouns,0.5
518,secrétaire,kobieta,nouns,1.7
519,cuisiner,smażyć,verbs,3.0
520,honteux,zmartwiony,adjectives,1.0
521,légion,armia,nouns,3.35
522,confiance,postawa,nouns,2.35
523,duché,księstwo,nouns,4.25
524,vache,koza,nouns,1.85
525,exiger,dowiadywać się,verbs,0.65
526,anniversaire,urodziny,nouns,2.4
527,bon,grzeczny,adjectives,2.0
528,veste,ubrania,nouns,2.8
529,généreusement,życzliwie,adverbs,2.45
530,débattre,debatować,verbs,4.35
531,poli,właściwy,adjectives,2.0
532,île,księżniczka,nouns,0.25
533,mal,okropny,adjectives,4.1
534,base-ball,braterstwo,nouns,0.2
535,équation,formuła,nouns,3.85
536,légal,dozwolony,adjectives,5.0
537,bouilli,gotowany,adjectives,3.85
538,dur,łatwy,adjectives,0.7
539,président,burmistrz,nouns,2.25
540,séparer,przyłączać,verbs,0.75
541,faire,konstruować,verbs,3.9
542,vinaigre,sałatka,nouns,1.05
543,dollar,ludzie,nouns,0.05
544,avec optimisme,możliwie,adverbs,0.8
545,traiter,płacić,verbs,1.15
546,raquette,hałas,nouns,0.25
547,emprunteur,kredyt,nouns,1.7
548,voler,nabyć,verbs,1.35
549,approuver,pozwalać,verbs,3.8
550,doux,elektryczny,adjectives,0.2
551,mort,tragedia,nouns,3.05
552,normalement,nienormalnie,adverbs,0.75
553,curieusement,inaczej,adverbs,1.75
554,supposer,przewidywać,verbs,3.33
555,âge,piękno,nouns,0.6
556,campement,domek,nouns,0.9
557,devenir,wydawać się,verbs,1.05
558,câble,kaplica,nouns,0.1
559,au fond,zupełnie,adverbs,1.3
560,propre,niechlujny,adjectives,0.75
561,champion,zwycięzca,nouns,5.05
562,cryptogramme,symbol,nouns,3.9
563,payer,traktować,verbs,1.15
564,extraverti,miły,adjectives,2.4
565,solitaire,biedny,adjectives,0.95
566,élastique,giętki,adjectives,5.0
567,négociation,dyplomacja,nouns,3.15
568,blé,zboże ,nouns,4.3
569,soulever,holować,verbs,1.9
570,arranger,ustalać,verbs,4.2
571,voiture,most,nouns,0.3
572,prison,wybór,nouns,0.2
573,blesser,upaść,verbs,0.95
574,cliquetis,hałas,nouns,3.75
575,caractère,doktor,nouns,0.0
576,savoir,dać,verbs,0.4
577,punir,uczyć,verbs,0.35
578,enjoué,szczęśliwy,adjectives,4.75
579,dériver,płynąć,verbs,2.8
580,impatient,zaniepokojony,adjectives,2.05
581,acquérir,ukraść,verbs,1.35
582,décider,ukazywać,verbs,0.8
583,magnitude,głębia,nouns,1.6
584,liqueur,stulecie,nouns,0.1
585,eau,koronacja,nouns,0.25
586,nier,dać,verbs,0.2
587,officiellement,znacząco,adverbs,1.15
588,libérer,naciskać,verbs,0.2
589,delta,morze,nouns,1.6
590,éléphant,kompas,nouns,0.0
591,queue,miska,nouns,0.05
592,schéma,pomysł,nouns,2.8
593,probablement,może,adverbs,4.8
594,neutre,niezdecydowany,adjectives,2.45
595,longévité,zespół,nouns,0.1
596,légende,morał,nouns,1.3
597,informer,polerować,verbs,0.1
598,critiquer,pchać,verbs,0.2
599,vallée,kanion,nouns,3.7
600,iris,acetylocholina,nouns,nan
601,national,znany,adjectives,1.05
602,névrose,umysł,nouns,1.15
603,unir,wiązać,verbs,4.05
604,engrais,wzrost,nouns,1.35
605,bacon,śniadanie,nouns,1.35
