ID,FRA,POL,PoS,score
606,autobus,pojazd,nouns,3.7
607,échouage,szachy,nouns,1.95
608,tristement,szalenie,adverbs,0.35
609,symbole,kod,nouns,2.7
610,transparent,wskaźnik,nouns,0.1
611,appareil photo,kontynuacja,nouns,0.15
612,garçon,partner,nouns,1.65
613,se plaindre,kłócić się,verbs,1.8
614,spectacle,matematyk,nouns,0.1
615,logique,inteligencja,nouns,3.15
616,cône,filiżanka,nouns,0.3
617,croyance,pojęcie,nouns,2.25
618,entrée,przejście,nouns,1.65
619,fermement,miękko,adverbs,0.7
620,fenêtre,kostka,nouns,0.0
621,complètement,marginalnie,adverbs,0.95
622,rencontrer,pływać,verbs,0.3
623,heureux,rozzłoszczony,adjectives,0.75
624,paresseux,zajęty,adjectives,0.45
625,frapper,pociągać,verbs,0.55
626,profession,koledż,nouns,0.6
627,réduire,ograniczać,verbs,4.75
628,fête,maska,nouns,1.2
629,plaisir,piłka nożna,nouns,0.95
630,entreprise,biznes,nouns,4.25
631,étrange,dziwaczny,adjectives,5.8
632,évacuer,ustalać,verbs,0.2
633,mort,katastrofa,nouns,2.3
634,légèrement,kompletnie,adverbs,0.95
635,rétracter,przejść na emeryturę,verbs,1.65
636,archer,zwiadowca,nouns,1.85
637,ordinateur,maszyna,nouns,4.25
638,chat,zwięrzę domowe,nouns,3.7
639,pathogène,zarazek,nouns,3.85
640,rejoindre,uczestniczyć,verbs,2.7
641,propager,rozmazywać,verbs,4.2
642,fil,przędza,nouns,3.65
643,sauver,niszczyć,verbs,0.6
644,trouver,zniknąć,verbs,0.2
645,opposant,przeciwnik,nouns,5.45
646,traducteur,obcokrajowiec,nouns,1.0
647,découvrir,zdać sobie sprawę,verbs,3.55
648,juger,zeznawać,verbs,1.15
649,beau,wspaniały,adjectives,4.05
650,crédule,głupi,adjectives,3.15
651,évaluer,uczyć się,verbs,1.5
652,acquérir,znaleźć,verbs,2.2
653,coucher de soleil,wieczór,nouns,3.2
654,véridique,nieuczciwy,adjectives,0.5
655,légal,bezpieczny,adjectives,2.6
656,vêtement,kurtka,nouns,2.8
657,débattre,usprawiedliwiać,verbs,3.0
658,différer,zgadzać się,verbs,0.7
659,têtu,głupi,adjectives,1.3
660,jurer,obiecywać,verbs,4.95
661,laid,prymitywny,adjectives,1.05
662,bruyamment,cicho,adverbs,0.55
663,presser,uwalniać,verbs,0.2
664,cave,drzwi,nouns,0.7
665,fortement,oficjalnie,adverbs,0.55
666,découvrir,eksplorować,verbs,3.95
667,pâlir,erodować,verbs,0.9
668,essayer,przekonywać,verbs,1.15
669,reconnaître,mówić,verbs,0.5
670,justement,dojrzale,adverbs,1.6
671,écosystème,ekonomia,nouns,0.8
672,bruit,rakieta,nouns,0.25
673,chapeau,pudełko,nouns,0.75
674,emballage,port,nouns,0.5
675,centime,rozmiar,nouns,0.05
676,bain,pokój,nouns,0.85
677,maison,mieszkanie,nouns,4.4
678,chambre à coucher,łóżko,nouns,2.25
679,palais,wieżowiec,nouns,1.5
680,prépuce,obrzezanie,nouns,1.75
681,costume,bal,nouns,1.15
682,théorème,teoria,nouns,4.45
683,absorber,posiąść,verbs,1.15
684,affaire,firma,nouns,4.25
685,homme,wujek,nouns,2.15
686,ballon,siatkówka,nouns,1.75
687,protéine,uchwyt,nouns,0.1
688,principauté,ziemie książęce,nouns,4.25
689,obtenir,stracić,verbs,0.7
690,porte,podłoga,nouns,0.55
691,protéger,pomagać,verbs,3.0
692,plus tard,nigdy,adverbs,1.3
693,cabine,telefon,nouns,1.4
694,dépenser,oszczędzać,verbs,0.25
695,se dissiper,zniknąć,verbs,5.0
696,sujet,hasztag,nouns,2.7
697,château,ściana,nouns,0.7
698,paisiblement,dumnie,adverbs,0.45
699,terminer,rozwiązać,verbs,3.85
700,immature,nieodpowiedzialny,adjectives,4.5
701,avancer,promować,verbs,3.05
702,copain,towarzysz,nouns,4.9
703,approximativement,łatwo,adverbs,0.4
704,agriculture,roślina,nouns,1.1
705,métal,blacha,nouns,3.55
706,vin,alkohol,nouns,3.35
707,dieu,ojciec,nouns,2.5
708,bol,ogon,nouns,0.05
709,père,rodzic,nouns,4.95
710,chat,królik,nouns,1.5
711,apprécier,zabawiać,verbs,0.65
712,persuader,dążyć,verbs,1.3
713,boire,wymieszać,verbs,0.45
714,cinéma,popcorn,nouns,1.1
715,attendre,zostać,verbs,2.35
716,terrifiant,szalony,adjectives,1.5
717,activement,szczęśliwie,adverbs,0.5
718,renier,wyrzekać się,verbs,3.85
719,chaos,anarchia,nouns,4.55
720,sale,tani,adjectives,0.2
721,nécessiter,ustalać,verbs,0.45
722,orthodontiste,dentysta,nouns,4.5
723,radiateur,parasol,nouns,0.25
724,abordable,niedrogi,adjectives,5.75
725,président,uczeń,nouns,0.6
726,fier,biedny,adjectives,0.4
727,souris,kierownictwo,nouns,0.05
728,énorme,wielki,adjectives,5.25
729,cadre,hit,nouns,0.1
730,chauvin,uprzedzenie,nouns,0.95
731,polir,informować,verbs,0.1
732,orage,huragan,nouns,3.0
733,infirmier,naukowiec,nouns,0.7
734,doucement,twardo,adverbs,0.7
735,jambe,kończyna,nouns,4.4
736,pardonner,zapominać,verbs,2.75
737,singe,kampania,nouns,0.05
738,accomplir,stać się,verbs,2.05
739,mot,fraza,nouns,3.95
740,suivre,ścigać,verbs,3.0
741,perdre,gotować,verbs,0.05
742,jauge,samochód,nouns,0.35
743,princesse,wyspa,nouns,0.25
744,aller,wysyłać,verbs,0.45
745,jamais,później,adverbs,1.3
746,étoile,jasność,nouns,1.2
747,diplomatie,negocjacja,nouns,3.15
748,comprendre,pojmować,verbs,5.45
749,montre,spódnica,nouns,0.4
750,pomme de terre,masło,nouns,1.05
751,sorcier,kabel,nouns,0.0
752,coupable,uczciwy,adjectives,0.6
753,uniforme,nieukształtowany,adjectives,0.55
754,oublier,zatrzymywać,verbs,1.05
755,influencer,skłaniać,verbs,2.95
756,galerie,prawnik,nouns,0.05
757,complètement,wyłącznie,adverbs,2.7
758,voiture,ulica,nouns,0.8
759,vainqueur,mężczyzna,nouns,0.8
760,pistolet,ludzie,nouns,0.2
761,papier,karton,nouns,3.8
762,mépriser,nienawidzić,verbs,4.75
763,aviation,lot,nouns,2.4
764,généralement,szczerze,adverbs,0.5
765,autre,przeciwny,adjectives,2.05
766,adulte,opiekun,nouns,2.95
767,mériter,zarabiać,verbs,1.75
768,basket,medal,nouns,0.3
769,style,elegancja,nouns,4.7
770,football américain,piłka nożna,nouns,4.8
771,s'entraîner,powtarzać,verbs,3.75
772,bébé,córka,nouns,2.6
773,facilement,pobieżnie,adverbs,0.4
774,syntagme,słowo,nouns,3.95
775,rein,organ,nouns,3.85
776,faux,precyzyjny,adjectives,0.25
777,perspective,dystans,nouns,2.85
778,triomphe,zwycięstwo,nouns,5.85
779,nouveau,świeży,adjectives,4.25
780,lycée,zawód,nouns,0.6
781,livre,esej,nouns,1.05
782,mot,literatura,nouns,2.15
783,sale,klejący,adjectives,2.1
784,célébration,ceremonia,nouns,5.45
785,honneur,insygnia,nouns,2.1
786,exiger,argumentować,verbs,1.2
787,colonne vertébrale,ciało,nouns,1.5
788,gagner,zasługiwać,verbs,1.75
789,phonologie,ekran,nouns,0.05
790,ouvertement,ogromnie,adverbs,0.75
791,désordonné,czysty,adjectives,0.75
792,succès,rama,nouns,0.1
793,humide,klejący,adjectives,1.25
794,chien,koń,nouns,1.35
795,pacifiquement,chaotycznie,adverbs,0.5
796,bras,nadgarstek,nouns,1.75
797,effrayé,nieśmiały,adjectives,2.1
798,bon marché,tani,adjectives,5.75
799,apparaître,uczęszczać,verbs,1.35
800,pomme,dieta,nouns,0.65
801,rivière,morze,nouns,2.1
802,expulser,opuścić,verbs,2.0
803,repas,wieczerza,nouns,4.7
804,bowling,kręglarz,nouns,1.75
805,être d'accord,różnić się,verbs,0.7
806,ballon,ludzie,nouns,0.05
807,balle,rękawica,nouns,0.8
808,ciel,słońce,nouns,1.85
809,éduquer,uczyć się,verbs,4.2
810,paresseux,cenny,adjectives,0.1
811,faire plaisir,satysfakcjonować,verbs,4.85
812,interprète,piosenka,nouns,1.65
813,mot-clé,składnia,nouns,0.85
814,mouton,jagnię,nouns,4.4
815,gouvernement,jaszczurka,nouns,0.0
816,tacot,taxi,nouns,5.35
817,paix,szczęście,nouns,2.65
818,posséder,absorbować,verbs,1.15
819,exactement,dokładnie,adverbs,5.9
820,soir,zachód słońca,nouns,3.2
821,gagner,zrealizować,verbs,1.85
822,agité,młody,adjectives,1.0
823,chanter,unosić się,verbs,0.1
824,posséder,zachować,verbs,2.6
825,basilique,mozaika,nouns,0.6
826,terrasse,podłoga,nouns,2.5
827,mépriser,obciążać,verbs,0.9
828,imprimer,ignorować,verbs,0.1
829,concrètement,idealnie,adverbs,1.35
830,réprimander,rządać,verbs,1.15
831,queue,klif,nouns,0.05
832,croître,rozprzestrzeniać się,verbs,4.05
833,dépression,dolina,nouns,1.3
834,disque,komputer,nouns,1.8
835,réceptacle,mysz,nouns,0.1
836,profondément,znacząco,adverbs,2.8
837,violent,bierny,adjectives,0.35
838,os,zęby,nouns,2.6
839,poule,indyk,nouns,3.3
840,suite,kamera,nouns,0.15
841,divertir,lubić,verbs,0.65
842,beauté,sonet,nouns,0.5
843,fourmi,mucha,nouns,1.85
844,assister,przyjść,verbs,3.1
845,contrarié,zawstydzony,adjectives,1.0
846,verre,kryształ,nouns,2.75
847,abondance,mnóstwo,nouns,5.15
848,incroyable,brudny,adjectives,0.35
849,poignée,białko,nouns,0.1
850,organiser,stać się,verbs,0.2
851,alimentation,program,nouns,0.55
852,soigné,czysty,adjectives,5.35
853,surtout,głęboko,adverbs,0.55
854,reprocher,oskarżać,verbs,4.6
855,demander,ignorować,verbs,0.55
856,lanceur,kręglarstwo,nouns,1.75
857,mineur,istotny,adjectives,0.7
858,évêque,muzułmanin,nouns,0.85
859,porte,otwór drzwiowy,nouns,3.75
860,cathédrale,kościół,nouns,4.35
861,bagage,opłynięcie,nouns,0.5
862,malhonnête,zły,adjectives,2.9
863,reste,różnica,nouns,2.3
864,exactement,aktywnie,adverbs,0.55
865,émotion,nastrój,nouns,3.9
866,muscle,ramię,nouns,1.95
867,saisir,rozumieć,verbs,5.45
868,bourse d'étude,czesne,nouns,2.75
869,femme,sekretarka,nouns,1.7
870,choix,wybory,nouns,3.15
871,attraper,ścigać,verbs,1.3
872,marin,kapitan,nouns,3.2
873,parent,ojciec,nouns,4.95
874,attitude,pewność siebie,nouns,2.35
875,effrayé,podekscytowany,adjectives,0.9
876,paix,żołnierz,nouns,0.85
877,fenêtre,chmura,nouns,0.4
878,accuser,gardzić,verbs,0.9
879,se plaindre,przynieść,verbs,0.1
880,symbole,kryptogram,nouns,3.9
881,valeur,przekonanie,nouns,2.45
882,peut-être,prawdopodobnie,adverbs,4.9
883,rêve,niebo,nouns,0.4
884,recevoir,dać,verbs,0.95
885,médiocre,zły,adjectives,2.9
886,orthodontiste,doktor,nouns,3.55
887,apporter,narzekać,verbs,0.1
888,chaotiquement,pokojowo,adverbs,0.5
889,chiffon,ubrania,nouns,1.7
890,gin,alkohol,nouns,3.85
891,récemment,realistycznie,adverbs,0.15
892,bible,hymn,nouns,0.7
893,smartphone,ananas,nouns,0.0
894,vendre,iść,verbs,0.2
895,sauver,chronić,verbs,3.5
896,biologie,anatomia,nouns,2.85
897,papillon,róża,nouns,0.45
898,n'importe quand,czasem,adverbs,0.9
899,univers,niebo,nouns,2.35
900,sergent,pistolet,nouns,0.65
901,coton,sweter,nouns,1.35
902,vraiment,znacząco,adverbs,1.85
903,frites,kursor,nouns,0.1
904,source,gejzer,nouns,3.4
905,perceptible,oczywisty,adjectives,3.3
906,porte,bractwo,nouns,0.05
907,couverture,wichura,nouns,0.05
908,permis,legalny,adjectives,5.0
909,estomac,sypialnia,nouns,0.05
910,moniteur,ekran,nouns,5.3
911,acteur,telewizja,nouns,1.2
912,esclave,służący,nouns,3.85
913,magnitude,rozmiar,nouns,4.6
914,fleur,fiołek,nouns,3.6
915,magma,wulkan,nouns,2.15
916,sujet,książka,nouns,1.05
917,intelligent,przebiegły,adjectives,1.25
918,bière,alkohol,nouns,3.65
919,galaxie,astronom,nouns,1.5
920,étain,metal,nouns,3.55
921,tuyau,ogród,nouns,0.8
922,localiser,znaleźć,verbs,4.35
923,porte,kuchnia,nouns,0.55
924,université,kampus,nouns,3.95
925,radiateur,sensor,nouns,0.55
926,élection,wybór,nouns,3.15
927,rejeter,unikać,verbs,2.15
928,bain,trik,nouns,0.0
929,presser,przytulić,verbs,3.6
930,différer,kłocić się,verbs,2.15
931,droit,szkoła,nouns,0.95
932,rive,wybrzeże ,nouns,4.85
933,honnêtement,szczerze,adverbs,5.45
934,bonbon,cynamon,nouns,0.8
935,membre,noga,nouns,4.4
936,notifier,informować,verbs,5.8
937,château,rzeźbiarz,nouns,0.3
938,populaire,znany,adjectives,5.25
939,garçon,warunek,nouns,0.05
940,oncle,mężczyzna,nouns,2.15
941,rester,czekać,verbs,2.35
942,tempête,koc,nouns,0.05
943,cocktail,alkohol,nouns,3.1
944,mécanicien,robotnik,nouns,2.9
945,bureau,robotnik,nouns,0.6
946,longévité,kwiat,nouns,0.2
947,catastrophe,wypadek,nouns,4.65
948,agneau,owca,nouns,4.4
949,faire,zdarzyć się,verbs,1.15
950,meuble,łóżko,nouns,3.05
951,satisfaire,rozumieć,verbs,0.5
952,cathédrale,sufit,nouns,0.5
953,rabbin,nauczyciel,nouns,2.1
954,voiture,miernik,nouns,0.35
955,laver,płukać,verbs,4.1
956,feindre,wyobrażać sobie,verbs,1.8
957,fracasser,roztrzaskać,verbs,4.95
958,colère,szał,nouns,4.9
959,occupé,leniwy,adjectives,0.45
960,section,armia,nouns,2.8
961,interdire,zatrzymywać,verbs,2.05
962,croyance,kwiat,nouns,0.0
963,croix,mnich,nouns,1.15
964,aluminium,metal,nouns,2.85
965,éduquer,uczyć  ,verbs,5.1
966,taille,trik,nouns,0.0
967,étain,aluminium,nouns,2.65
968,sale,niesamowity,adjectives,0.35
969,innocent,wolny,adjectives,1.4
970,bizarrement,naturalnie,adverbs,0.75
971,dessin,zamieszki,nouns,0.15
972,significativement,głęboko,adverbs,2.8
973,stupide,pojętny,adjectives,0.75
974,falaise,ogon,nouns,0.05
975,joindre,dodać,verbs,3.65
976,heureux,wesoły,adjectives,4.75
977,paille,hymn,nouns,0.1
978,moissonneuse-batteuse,trzcina cukrowa,nouns,0.35
979,thé,cytryna,nouns,0.85
980,évident,zauważalny,adjectives,3.3
981,ordinaire,zimny,adjectives,0.2
982,calibre,parasol,nouns,0.05
983,mal,nieuczciwy,adjectives,2.9
984,comprendre,wiedzieć,verbs,2.95
985,guitare,skrzypce,nouns,2.25
986,homme,podejrzany,nouns,1.0
987,créer,nurkować,verbs,0.1
988,avocat,galeria,nouns,0.05
989,profondément,przeważnie,adverbs,0.55
990,altitude,konwersja,nouns,0.4
991,mois,sierpień,nouns,2.75
992,détruire,tworzyć,verbs,0.75
993,esprit,neuroza,nouns,1.15
994,réunir,gromadzić,verbs,5.75
995,corps,bielizna,nouns,1.0
996,chasser,śledzić,verbs,3.0
997,spécialement,znacząco,adverbs,2.55
998,désordonné,brzydki,adjectives,0.85
999,propre,schludny,adjectives,5.35
1000,idéalement,mechanicznie,adverbs,0.45
1001,gamin,córka,nouns,2.25
1002,adorer,podziwiać,verbs,3.7
1003,profondeur,wielkość,nouns,1.6
1004,récit,temat ,nouns,1.45
1005,sortie,prawo wyborcze,nouns,0.35
1006,suspect,mężczyzna,nouns,1.0
1007,écran,monitor,nouns,5.3
1008,télescope,burza mózgów,nouns,0.05
1009,être d'accord,akceptować,verbs,4.5
1010,vaste,wąski,adjectives,0.55
1011,sac,portmonetka,nouns,1.9
1012,avion,płachta,nouns,0.3
1013,vaste,duży,adjectives,2.85
1014,taille,żołądek,nouns,0.2
1015,jamais,chojnie,adverbs,0.05
1016,vache,bydło,nouns,4.5
1017,croyance,opinia,nouns,3.95
1018,instrument,skrzypce,nouns,3.9
1019,rigide,łatwy,adjectives,0.2
1020,épisode,rozdział,nouns,3.8
1021,emprunter,błagać,verbs,1.0
1022,faire,niszczyć,verbs,0.7
1023,suspecter,aresztować,verbs,1.4
1024,étranger,tłumacz,nouns,1.0
1025,passivement,niezawodnie,adverbs,0.45
1026,rejeter,obierać,verbs,0.75
1027,steak,mięso,nouns,4.45
1028,prévenir,zatrzymywać,verbs,0.9
1029,poursuivre,przekonywać,verbs,1.3
1030,exceptionnellement,dziwnie,adverbs,2.05
1031,créativement,początkowo,adverbs,0.35
1032,écrivain,dar,nouns,0.25
1033,bière,napój,nouns,3.35
1034,incroyablement,ciasno,adverbs,0.5
1035,organe,wątroba,nouns,3.35
1036,courroucé,niepewny,adjectives,0.55
1037,soleil,promień,nouns,3.05
1038,porter,erodować,verbs,0.15
1039,porte-monnaie,torebka,nouns,1.9
1040,bonheur,pokój,nouns,2.65
1041,faire,rezygnować,verbs,0.7
1042,inflexion,infekcja,nouns,0.2
1043,poignet,ramię,nouns,1.75
1044,participer,przyłączyć się,verbs,2.7
1045,ajouter,budować,verbs,1.2
1046,élève,prezydent,nouns,0.6
1047,proie,bóg,nouns,0.05
1048,taureau,cielę,nouns,2.55
1049,stupide,rzadki,adjectives,0.15
1050,voiture,automobil,nouns,5.7
1051,calmement,pokojowo,adverbs,4.15
1052,croyance,wrażenie,nouns,2.35
1053,ignorer,unikać,verbs,3.35
1054,patient,sesja,nouns,0.1
1055,venir,przybywać,verbs,4.75
1056,dominer,wygrać,verbs,2.85
1057,gosse,chłopiec,nouns,3.95
1058,doucement,łagodnie,adverbs,2.9
1059,nerf,trzewia,nouns,1.0
1060,facile,prosty,adjectives,5.6
1061,mélanger,pić,verbs,0.45
1062,corps,bark,nouns,1.6
1063,surtout,głównie,adverbs,5.1
1064,unique,przeciwny,adjectives,0.4
1065,penser,próbować,verbs,0.4
1066,facile,duży,adjectives,0.2
1067,enthousiasmé,wystraszony,adjectives,0.9
1068,attacher,złączyć,verbs,2.6
1069,génial,zły,adjectives,0.3
1070,démolir,rozwalić,verbs,4.9
1071,épouvantable,zły,adjectives,2.9
1072,se comporter,przestrzegać,verbs,3.1
1073,carte graphique,płyta matka,nouns,3.5
1074,richesse,prestiż,nouns,2.2
1075,sincèrement,uczciwie,adverbs,5.45
1076,fragile,oziębły,adjectives,0.35
1077,bétail,jogurt,nouns,0.3
1078,réservoir,samochód,nouns,0.9
1079,stupide,tępy,adjectives,5.75
1080,clé,dom ,nouns,0.85
1081,marine,armia,nouns,3.75
1082,modeste,giętki,adjectives,0.2
1083,joue,język,nouns,1.3
1084,héroïne,bohater,nouns,4.75
1085,grossier,krytyczny,adjectives,0.65
1086,thème,książka,nouns,0.65
1087,épaule,ramię,nouns,3.2
1088,organiser,organizować,verbs,4.2
1089,veine,ramię,nouns,0.8
1090,satisfaire,zgadzać się,verbs,1.55
1091,anormalement,normalnie,adverbs,0.75
1092,sérieusement,znacząco,adverbs,2.65
1093,système,wada,nouns,0.25
1094,fermer,wymiotować,verbs,0.05
1095,obéir,karać,verbs,1.2
1096,probablement,możlwie,adverbs,4.9
1097,déterminer,przewidywać,verbs,3.0
1098,bras,mięsień,nouns,1.95
1099,maladie,niebezpieczeństwo,nouns,0.85
1100,oeuvre,artysta ,nouns,1.75
1101,avoine,pole,nouns,1.55
1102,nuage,okno,nouns,0.4
1103,serviteur,niewolnik,nouns,3.85
1104,pistolet,sierżant,nouns,0.65
1105,facile,sztywny,adjectives,0.2
1106,prendre,posiąść,verbs,2.5
1107,personnel,prywatny,adjectives,5.4
1108,riz,chłopiec,nouns,0.05
1109,machine,komputer,nouns,4.25
1110,stylo,alfabet,nouns,0.6
1111,grossier,głośny,adjectives,1.3
1112,dent,młotek,nouns,0.0
1113,délicieux,wesoły,adjectives,1.25
1114,pot,urządzenie,nouns,0.1
1115,course,weekend,nouns,0.25
1116,commencer,startować,verbs,5.25
1117,légitime,nielegalny,adjectives,0.65
1118,assister,pojawić się,verbs,1.35
1119,épaule,ciało,nouns,1.6
1120,choisir,selekcjonować,verbs,5.6
1121,nuit,rozdział,nouns,0.1
1122,en phase terminale,inaczej,adverbs,0.3
1123,gaspiller,martwić,verbs,0.15
1124,ville,miasto,nouns,4.6
1125,échouer,przegrać,verbs,4.55
1126,chapelle,kabel,nouns,0.1
1127,stupide,ogromny,adjectives,0.65
1128,épée,tron,nouns,0.55
1129,incertain,mętny,adjectives,4.65
1130,café,ziarnko,nouns,0.9
1131,manifestement,dyskretnie,adverbs,0.55
1132,négliger,wyrzec się,verbs,1.55
1133,planète,księżyc,nouns,1.95
1134,récemment,ostatnio,adverbs,5.65
1135,semis,liść,nouns,0.8
1136,mer,tsunami,nouns,1.4
1137,cellule,pokój,nouns,2.9
1138,initialement,kreatywnie,adverbs,0.35
1139,alcool,zespół,nouns,0.15
1140,conquête,bitwa,nouns,3.05
1141,employé,wokalista,nouns,0.25
1142,matériel,futerał,nouns,1.2
1143,volley-ball,piłka,nouns,1.75
1144,pâturage,łąka,nouns,4.2
1145,thérapie,behawioryzm,nouns,1.95
1146,mal,straszny,adjectives,2.95
1147,incroyablement,wielce,adverbs,1.55
1148,émeute,rysunek,nouns,0.15
1149,perdre,zachować,verbs,0.75
1150,panier,piłka,nouns,0.95
1151,éroder,zezwalać,verbs,0.15
1152,vitesse,słup,nouns,0.0
1153,élever,pić,verbs,0.15
1154,éviter,odrzucić,verbs,2.15
1155,petit,karłowaty,adjectives,3.9
1156,personne,dolar,nouns,0.05
1157,pont,łódź,nouns,1.95
1158,résultat,poziom,nouns,2.55
1159,viande,bekon,nouns,4.1
1160,donner,kłaść,verbs,1.1
1161,timide,drogi,adjectives,0.1
1162,différence,reszta,nouns,2.3
1163,histoire,książka,nouns,2.75
1164,cesser,robić,verbs,0.7
1165,connu,zdrowy,adjectives,0.7
1166,arbre,łódź,nouns,0.3
1167,ronfler,budzić się,verbs,0.75
1168,évident,widoczny,adjectives,3.85
1169,grandement,poważnie,adverbs,2.65
1170,médecin,doktor,nouns,5.6
1171,modeste,czysty,adjectives,1.2
1172,chargeur,dysk,nouns,0.8
1173,fils,brat,nouns,1.65
1174,groupe,tłum,nouns,3.8
1175,huile,norka,nouns,0.1
1176,calme,neutralny,adjectives,1.75
1177,pollution,prezydent,nouns,0.35
1178,terne,ekscytujący,adjectives,0.3
1179,dense,tępy,adjectives,0.05
1180,ignorer,eksplorować,verbs,0.3
1181,archéologie,antropologia,nouns,2.15
1182,chapitre,wybór,nouns,0.55
1183,orchestre,zespół,nouns,3.65
1184,câble,czarodziej,nouns,0.0
1185,courir,jeździć,verbs,0.85
1186,céréale,pszenica,nouns,4.3
1187,niveau,wynik,nouns,2.55
1188,tapis,dom,nouns,0.75
1189,différemment,dziwacznie,adverbs,1.75
1190,amusement,gra,nouns,4.7
1191,autrefois,natychmiast,adverbs,0.75
1192,sûr,pewny siebie,adjectives,5.05
1193,approximativement,niecierpliwie,adverbs,1.0
1194,air,cząsteczka,nouns,1.45
1195,arrêter,ostrzegać,verbs,0.9
1196,vouloir,pożyczać,verbs,0.75
1197,vite,prędki,adjectives,5.33
1198,cristal,szkło,nouns,2.75
