ID,FRA,RUS,PoS,score
1671,cuisine,дверь,nouns,0.85
1672,hashtag,тема,nouns,3.15
1673,paille,задача,nouns,0.05
1674,historien,историограф,nouns,3.6
1675,fatigué,скучный,adjectives,1.05
1676,découvrir,осознавать,verbs,2.8
1677,apparemment,просто,adverbs,1.45
1678,homme,муж,nouns,3.4
1679,fermer,срыгивать,verbs,0.05
1680,couverture,дерево,nouns,0.15
1681,savoir,давать,verbs,0.5
1682,idéalement,реалистично,adverbs,1.1
1683,duc,республика,nouns,0.45
1684,désert,дюна,nouns,2.7
1685,exiger,спорить,verbs,1.4
1686,affaire,корпорация,nouns,3.25
1687,club,марка,nouns,0.25
1688,chirurgie,сердце,nouns,1.3
1689,paix,солдат,nouns,1.0
1690,venir,посещать,verbs,2.85
1691,tisser,двигаться,verbs,0.15
1692,laisser,прибывать,verbs,0.2
1693,chalet,лагерь,nouns,1.25
1694,calibre,зонтик,nouns,0.05
1695,verre,значок,nouns,0.25
1696,unir,связывать,verbs,3.8
1697,feuille,самолет,nouns,0.05
1698,cannelle,конфеты,nouns,0.95
1699,honoraire,зарплата,nouns,4.2
1700,pop-corn,кино,nouns,1.45
1701,circumnavigation,багаж,nouns,1.0
1702,estime,честь,nouns,3.8
1703,critiquer,замечать,verbs,1.85
1704,corps,плечо,nouns,1.8
1705,impossible,возможный,adjectives,1.0
1706,créativement,первоначально,adverbs,0.15
1707,coucher de soleil,вечер,nouns,3.15
1708,prêter,задолжать,verbs,1.15
1709,cuit,кипячёный,adjectives,3.25
1710,bateau,якорь,nouns,1.5
1711,moulin,семя,nouns,1.65
1712,raisonnablement,надежно,adverbs,3.4
1713,contraire,другой,adjectives,1.85
1714,soleil couchant,строка,nouns,0.0
1715,évidemment,локально,adverbs,0.15
1716,notifier,информировать,verbs,5.15
1717,fourrure,женщина,nouns,0.45
1718,nouveau,старый,adjectives,0.95
1719,lâche,гибкий,adjectives,1.0
1720,chauvin,предубеждение,nouns,0.9
1721,sable,ступня,nouns,0.3
1722,exceptionnellement,странно,adverbs,3.1
1723,couvent,душ,nouns,0.1
1724,bronchite,ацетаминофен,nouns,1.15
1725,balai,пыль,nouns,1.65
1726,ajouter,строить,verbs,1.0
1727,fête,маска,nouns,1.3
1728,lire,укусить,verbs,0.0
1729,empereur,конституция,nouns,0.8
1730,orange,цитрус,nouns,4.2
1731,soigneusement,безопасно,adverbs,0.95
1732,médaille,тренери,nouns,0.4
1733,ami,наставник,nouns,1.65
1734,adulte,незрелый,adjectives,0.75
1735,rencontrer,покидать,verbs,0.35
1736,emballage,убежище,nouns,0.55
1737,amorphe,бесформенный,adjectives,3.55
1738,parapluie,нагреватель,nouns,0.25
1739,don,писатель,nouns,0.65
1740,demander,игнорировать,verbs,0.55
1741,chocolat,пирог,nouns,1.4
1742,garçon,рис,nouns,0.05
1743,bébé,дочь,nouns,2.0
1744,parler,признавать,verbs,0.65
1745,accomplir,побеждать,verbs,1.0
1746,coucher de soleil,стол,nouns,0.0
1747,grange,дом,nouns,1.75
1748,basilique,мозаика,nouns,0.55
1749,revenu,налог,nouns,1.4
1750,fêter,удивлять,verbs,0.6
1751,ananas,смартфон,nouns,0.0
1752,chaîne,закат,nouns,0.0
1753,mot-clé,синтаксис,nouns,0.8
1754,nécessiteux,беспомощный,adjectives,2.4
1755,brique,стена,nouns,1.6
1756,évidemment,конечно,adverbs,3.3
1757,bruyamment,мягко,adverbs,0.55
1758,élever,пить,verbs,0.05
1759,germe,патогенный микроорганизм,nouns,4.0
1760,concours,валюта,nouns,0.65
1761,spécial,ценный,adjectives,2.75
1762,tranchant,мягкий,adjectives,0.7
1763,vent,шквал,nouns,4.15
1764,femme,солома,nouns,0.0
1765,vomir,закрыть,verbs,0.05
1766,journaliste,поэт,nouns,1.25
1767,vraiment,совершенно,adverbs,2.45
1768,essayer,думать,verbs,0.3
1769,laisser,встретить,verbs,0.35
1770,richesse,слава,nouns,1.75
1771,bras,запястье,nouns,1.9
1772,menthe,жвачка,nouns,0.65
1773,conduire,шаркать,verbs,0.2
1774,roi,правитель,nouns,4.45
1775,différer,соответствовать,verbs,0.7
1776,beurre,картофель,nouns,1.15
1777,côte,пляж,nouns,3.15
1778,se dissiper,исчезать,verbs,5.35
1779,surface,угол,nouns,0.55
1780,grossièrement,очевидно,adverbs,0.45
1781,pain,мясо,nouns,1.15
1782,groupe,спиртное,nouns,0.3
1783,corps,грудь,nouns,1.95
1784,généreux,дружелюбный,adjectives,2.75
1785,jeu,сноровка,nouns,1.65
1786,mouvement,действие,nouns,3.45
1787,yaourt,коро́ва,nouns,0.3
1788,sale,удивительный,adjectives,0.35
1789,repas,ужин,nouns,3.6
1790,évêque,мусульман,nouns,0.95
1791,soldat,мир,nouns,1.0
1792,prêtre,пророк,nouns,1.85
1793,admirablement,элегантно,adverbs,3.6
1794,ballon,ванна,nouns,0.1
1795,voiture,автомобиль,nouns,5.85
1796,rassembler,посещать,verbs,0.5
1797,sans abri,миллиардер,nouns,0.8
1798,liquide,деньги,nouns,3.95
1799,viscosité,всплеск,nouns,0.5
1800,marrant,печальный,adjectives,0.6
1801,délicieux,прекрасный,adjectives,4.5
1802,estomac,тело,nouns,2.2
1803,gâcher,нюхать,verbs,0.1
1804,emploi,управление,nouns,1.75
1805,absorber,иметь,verbs,0.7
1806,rassemblement,собрание,nouns,3.85
1807,tâche,женщина,nouns,0.05
1808,bruit,грохот,nouns,4.7
1809,colline,утес,nouns,2.65
1810,port,обертка,nouns,0.55
1811,dériver,течь,verbs,1.7
1812,dinosaure,слон,nouns,1.1
1813,pluie,морось,nouns,4.5
1814,opinion,предубеждение,nouns,3.25
1815,aider,просить,verbs,0.7
1816,appareil photo,продолжение,nouns,0.15
1817,mélanger,ездить,verbs,0.2
1818,perle,деньги,nouns,0.95
1819,voyage,поездка,nouns,4.05
1820,passif,агрессивный,adjectives,0.4
1821,jeu,действие,nouns,2.7
1822,justement,зрело,adverbs,0.95
1823,veau,бык,nouns,2.65
1824,système,вина,nouns,0.25
1825,rive,побережье,nouns,4.25
1826,dîner,курятина,nouns,1.15
1827,têtu,глупый,adjectives,1.35
1828,accident,бедствие,nouns,4.25
1829,mendier,просить,verbs,3.95
1830,parfaitement,действительно,adverbs,2.45
1831,évacuer,определить,verbs,0.3
1832,simplement,видимо,adverbs,1.45
1833,livrer,принимать,verbs,0.65
1834,criquet,сторонник,nouns,0.35
1835,fleur,вера,nouns,0.05
1836,grandement,официально,adverbs,0.75
1837,bain,шалость,nouns,0.0
1838,lentille,фотоаппарат,nouns,1.75
1839,jeune,счастливый,adjectives,0.45
1840,intelligence,логика,nouns,3.15
1841,détruire,убивать,verbs,3.85
1842,attaque,блицкриг,nouns,3.1
1843,écran,монитор,nouns,4.9
1844,triste,гордый,adjectives,0.7
1845,connu,хороший,adjectives,0.75
1846,classe,беспорядок,nouns,0.25
1847,porte,коридор,nouns,1.35
1848,corps,желудок,nouns,2.2
1849,incroyable,обычный,adjectives,0.75
1850,localement,очевидно,adverbs,0.15
1851,essayer,достигать,verbs,1.6
1852,meuble,кровать,nouns,2.85
1853,professeur,друг,nouns,1.65
1854,présence,дверь,nouns,0.25
1855,protéger,отстаивать,verbs,4.8
1856,poignée,белок,nouns,0.1
1857,réservoir,машина,nouns,1.4
1858,tunnel,дорожка,nouns,1.5
1859,homme,подозреваемый,nouns,0.85
1860,prétendre,лгать,verbs,3.55
1861,vison,масло,nouns,0.3
1862,chaotiquement,мирно,adverbs,0.6
1863,père,родитель,nouns,4.2
1864,partenaire,мальчик,nouns,1.5
1865,sergent,пистолет,nouns,0.9
1866,compilateur,подпрограмма,nouns,2.0
1867,profession,колледж,nouns,0.95
1868,étoile,яркость,nouns,1.35
1869,justifier,подтверждать,verbs,2.95
1870,jamais,честно говоря,adverbs,0.05
1871,emploi,инструмент,nouns,0.8
1872,poursuivre,изучать,verbs,2.5
1873,sociobiologie,мутант,nouns,0.5
1874,pistolet,тетрадь,nouns,0.1
1875,suite,камера,nouns,0.15
1876,mur,отделка,nouns,1.5
1877,pacte,соглашение,nouns,5.05
1878,assistant,наставник,nouns,2.3
1879,journal,ванна,nouns,0.0
1880,artiste,искусства,nouns,1.85
1881,atteindre,получать,verbs,0.75
1882,respirer,задыхаться,verbs,1.25
1883,football,развлечение,nouns,0.9
1884,ennuyeux,посредственный,adjectives,2.7
1885,paracétamol,бронхит,nouns,1.15
1886,viande,бекон,nouns,2.9
1887,maire,глава,nouns,3.05
1888,mère,жена,nouns,2.6
1889,étouffer,убивать,verbs,2.95
1890,professeur,учитель,nouns,5.6
1891,enseigner,наказать,verbs,0.35
1892,pathogène,микроб,nouns,4.0
1893,doux,электрический,adjectives,0.2
1894,paragraphe,письмо,nouns,1.55
1895,livre,литература,nouns,2.75
1896,couloir,класс,nouns,1.0
1897,gens,партия,nouns,1.3
1898,registre,формула,nouns,1.1
1899,ignorer,исследовать,verbs,0.3
1900,pendre,класть,verbs,0.75
1901,mât,флаг,nouns,1.35
1902,mur,замок,nouns,1.0
1903,dent,молоток,nouns,0.05
1904,ennuyé,скучный,adjectives,1.95
1905,sauver,выручать,verbs,5.05
1906,prophète,священник,nouns,1.85
1907,estomac,талия,nouns,0.35
1908,mur,кирпич,nouns,1.6
1909,donner,вкладывать,verbs,1.25
1910,météo,волна,nouns,0.7
1911,planète,звезда,nouns,3.05
1912,facile,гибкий,adjectives,1.9
1913,appareil photo,работник,nouns,0.3
1914,émeute,рисование,nouns,0.15
1915,défendre,защищать,verbs,4.8
1916,catastrophe,авария,nouns,4.25
1917,canapé,кровать,nouns,3.75
1918,urgence,происшествие,nouns,3.7
1919,aller,позволять,verbs,0.3
1920,magma,вулкан,nouns,2.1
1921,côte,канонерская лодка,nouns,0.3
1922,doux,средний,adjectives,1.0
1923,frais,старый,adjectives,0.2
1924,éléphant,компас,nouns,0.0
1925,turbine,мотор,nouns,4.3
1926,furieux,несчастный,adjectives,1.65
1927,chapitre,конец,nouns,0.1
1928,croyance,цветок,nouns,0.05
1929,queue,глава,nouns,0.1
1930,saluer,встречать,verbs,2.25
1931,trouver,исчезать,verbs,0.2
1932,étamine,опыление,nouns,1.8
1933,stupide,редкий,adjectives,0.15
1934,plafond,пол,nouns,1.35
1935,main,запястье,nouns,2.8
1936,copilote,кокпит,nouns,1.1
1937,métal,алюминий,nouns,2.55
1938,gestion,работа,nouns,1.75
1939,surface,зона,nouns,3.65
1940,sûr,утомительный,adjectives,0.2
1941,concrètement,идеально,adverbs,1.1
1942,gomme,мята,nouns,0.65
1943,prendre,получать,verbs,2.35
1944,laid,беспорядочный,adjectives,0.35
1945,statistique,теннис,nouns,0.25
1946,épicé,хороший,adjectives,0.5
1947,reine,пчела,nouns,1.75
1948,croyance,впечатление,nouns,2.85
1949,bruine,дождь,nouns,4.5
1950,voiture,танк,nouns,1.4
1951,énorme,большой,adjectives,4.7
1952,presser,освобождать,verbs,0.2
1953,séparer,отходить,verbs,1.1
1954,content,рассерженный,adjectives,0.7
1955,coton,свитер,nouns,1.3
1956,inquiéter,тратить,verbs,0.15
1957,radiateur,датчик,nouns,0.7
1958,dispositif,кастрюля,nouns,0.3
1959,descendre,отходить,verbs,0.5
1960,accomplir,приветствовать,verbs,0.65
1961,fête,электорат,nouns,1.3
1962,difficile,легкий,adjectives,0.95
1963,feindre,воображать,verbs,1.85
1964,étroit,грязный,adjectives,0.1
1965,écrivain,роман,nouns,1.6
1966,donner,красть,verbs,0.7
1967,cigare,пачка,nouns,1.15
1968,blanc,узкий,adjectives,0.05
1969,arranger,устраивать,verbs,4.75
1970,gagnant,гол,nouns,0.8
1971,courbé,изогнутый,adjectives,5.5
1972,audacieux,гордый,adjectives,1.95
1973,remplacement,обмен,nouns,5.05
1974,subtilement,громко,adverbs,0.65
1975,terne,смешной,adjectives,0.3
1976,rejeter,избегать,verbs,1.8
1977,courrier,скорость,nouns,0.0
1978,chanson,баллада,nouns,4.2
1979,être d'accord,различаться,verbs,0.7
1980,faux,искусственный,adjectives,4.25
1981,madame,господин,nouns,2.55
1982,offenser,оскорблять,verbs,3.85
1983,éblouir,щуриться,verbs,0.5
1984,accepter,доставлять,verbs,0.65
1985,saleté,слякоть,nouns,4.1
1986,garçon,солдат,nouns,1.4
1987,furieux,счастливый,adjectives,0.7
1988,venir,приносить,verbs,0.75
1989,censure,свобода,nouns,1.25
1990,marque,клуб,nouns,0.25
1991,fille,младенец,nouns,2.0
1992,vendre,напоминать,verbs,0.25
1993,entrer,задолжать,verbs,0.15
1994,nécessaire,важный,adjectives,4.1
1995,faire,прекращать,verbs,0.8
1996,heureux,молодой,adjectives,0.45
1997,information,газета,nouns,2.9
1998,président,загрязнение,nouns,0.25
1999,évidemment,грубо,adverbs,0.45
2000,piano,гармония,nouns,1.25
2001,légal,безопасный,adjectives,1.65
2002,auteur,создатель,nouns,4.8
2003,attitude,уверенность,nouns,1.95
2004,ballade,песня,nouns,4.2
2005,princesse,остров,nouns,0.25
2006,neige,погода,nouns,1.6
2007,frites,курсор,nouns,0.2
2008,créer,делать,verbs,4.7
2009,mère,опекунша,nouns,1.2
2010,taille,желудок,nouns,0.35
2011,réveiller,храпеть,verbs,0.85
2012,jamais,отрицательный,adjectives,1.8
2013,enthousiasmé,испуганный,adjectives,0.75
2014,débattre,посещать,verbs,0.55
2015,tricher,обманывать,verbs,4.05
2016,prison,выбор,nouns,0.15
2017,agréable,жестокий,adjectives,0.55
2018,force,мощь,nouns,5.0
2019,évaluer,изучать,verbs,1.75
2020,apprendre,забывать,verbs,0.85
2021,poliment,благоразумно,adverbs,1.55
2022,enquêter,изучать,verbs,4.4
2023,électricité,ящик,nouns,0.95
2024,voiture,гудок,nouns,1.4
2025,ouverture,дверь,nouns,3.05
2026,auxiliaire,служанка,nouns,3.0
2027,conspirateur,стратег,nouns,2.65
2028,criminel,правонарушитель,nouns,4.9
2029,appartement,мебель,nouns,1.45
2030,porte,пол,nouns,0.65
2031,normalement,повседневно,adverbs,3.8
2032,tâche,остров,nouns,0.05
2033,permettre,опровергать,verbs,0.3
2034,marine,остров,nouns,1.0
2035,soldat,мальчик,nouns,1.4
2036,choix,вена,nouns,0.25
2037,lard,мясо,nouns,2.9
2038,cristal,стекло,nouns,3.05
2039,boire,выращивать,verbs,0.05
2040,épicé,слабый,adjectives,0.1
2041,follement,грустно,adverbs,0.5
2042,angle,изгиб,nouns,2.65
2043,canon,ружье,nouns,2.55
2044,papillon,роза,nouns,0.65
2045,historiographe,историк,nouns,3.6
2046,membre,нога,nouns,3.35
2047,manifestement,благоразумно,adverbs,0.8
2048,registre,авария,nouns,0.3
2049,rare,немой,adjectives,0.15
2050,arriver,покидать,verbs,0.2
2051,sculpteur,особняк,nouns,0.55
2052,luire,светиться,verbs,5.1
2053,sacre,воды,nouns,0.25
2054,sérieusement,важно,adverbs,2.2
2055,paume,палец,nouns,1.6
2056,paire,чета,nouns,5.5
2057,biotope,биология,nouns,1.35
2058,uniformément,иногда,adverbs,0.4
2059,autoroute,автомобиль,nouns,1.7
2060,proie,бог,nouns,0.2
2061,céramique,глиняная посуда,nouns,4.35
2062,bonheur,умиротворенность,nouns,2.7
2063,cogitation,телескоп,nouns,0.05
2064,jouer,драться,verbs,0.75
2065,choisir,избирать,verbs,4.35
2066,accord,пакт,nouns,5.05
2067,ongle,кисть,nouns,2.0
2068,blitz,атака,nouns,3.1
2069,blesser,дразнить,verbs,2.3
2070,ciel,мечта,nouns,0.6
2071,boeuf,мясо,nouns,3.1
2072,errer,покидать,verbs,0.45
2073,voiture,такси,nouns,3.4
2074,attacher,объединять,verbs,3.8
2075,manuscrit,статья,nouns,3.0
2076,découvrir,происходить,verbs,0.25
2077,hymne,солома,nouns,0.1
2078,étroit,белый,adjectives,0.05
2079,littérature,слово,nouns,1.7
2080,cousin,дядя,nouns,2.2
2081,fou,довольный,adjectives,0.7
2082,surprendre,праздновать,verbs,0.6
2083,viande,бутерброд,nouns,1.3
2084,doux,агрессивный,adjectives,0.65
2085,assister,спорить,verbs,0.55
2086,pomme,сок,nouns,1.65
2087,jeans,женщина,nouns,0.2
2088,célébration,церемония,nouns,4.55
2089,rationnel,трезвый,adjectives,1.8
2090,puissance,сила,nouns,5.0
2091,poète,журналист,nouns,1.25
2092,décider,думать,verbs,2.25
2093,avalanche,снег,nouns,2.25
2094,garder,лелеять,verbs,1.9
2095,terminer,выпуститься,verbs,2.65
2096,graine,горчица,nouns,2.05
2097,ici,сейчас,adverbs,1.5
2098,penser,решать,verbs,2.25
2099,avocat,банкир,nouns,1.3
2100,disque,зарядное устройство,nouns,1.2
2101,renommée,богатство,nouns,1.75
2102,accepter,рекомендовать,verbs,0.75
2103,ennuyeux,усталый,adjectives,1.05
2104,supporter,крикет,nouns,0.35
2105,mécaniquement,идеально,adverbs,0.2
2106,compter,провалиться,verbs,0.2
2107,en phase terminale,иначе,adverbs,0.05
2108,précieux,ленивый,adjectives,0.1
2109,vacances,календарь,nouns,1.55
2110,film,нигилизм,nouns,0.15
2111,rappeler,продавать,verbs,0.25
2112,facile,жесткий,adjectives,0.2
2113,sol,потолок,nouns,1.35
2114,société,предприятие,nouns,3.25
2115,fraternité,дверь,nouns,0.0
2116,incertain,испуганный,adjectives,1.2
2117,champion,победитель,nouns,5.05
2118,rue,автомобиль,nouns,1.05
2119,donner,отказывать,verbs,0.25
2120,vendre,занимать,verbs,0.65
2121,croître,расширяться,verbs,3.75
2122,paresseux,занятый,adjectives,0.5
2123,préjugé,мнение,nouns,3.25
2124,mûrement,праведно,adverbs,0.95
2125,chaos,урок,nouns,0.25
2126,orthodontiste,врач,nouns,2.85
2127,pouce,ноготь,nouns,2.1
2128,étrange,скрытный,adjectives,1.55
2129,accuser,лгать,verbs,0.6
2130,victime,телефон,nouns,0.1
2131,sembler,приворяться,verbs,2.65
2132,symbole,знак,nouns,5.0
2133,servante,помощница,nouns,3.0
2134,pistolet,пушка,nouns,2.55
2135,hostilité,агрессивность,nouns,4.45
2136,errer,странствовать,verbs,3.4
2137,ouvrier,фотоаппарат,nouns,0.3
2138,présence,победитель,nouns,0.3
2139,faire,происходить,verbs,1.85
2140,livre,тема,nouns,1.08
2141,ordinateur,диск,nouns,1.85
2142,restaurer,приносить,verbs,0.15
2143,n'importe quand,иногда,adverbs,0.3
2144,au-delà,чистилище,nouns,2.35
2145,trouver,искать,verbs,2.0
2146,triomphe,победа,nouns,5.2
2147,communication,телевидение,nouns,2.35
2148,nerf,мозг,nouns,1.6
2149,esprit,мозги,nouns,3.15
2150,rapide,скорый,adjectives,5.15
2151,morale,легенда,nouns,1.2
2152,orage,ураган,nouns,4.0
2153,élection,выбор,nouns,3.15
2154,couloir,проход,nouns,4.0
2155,posséder,поглощать,verbs,0.7
2156,deviner,раздражать,verbs,0.15
2157,pomme,повидло,nouns,1.25
2158,menace,опасность,nouns,5.25
2159,mode,стиль,nouns,3.75
2160,mentir,притворяться,verbs,3.55
2161,gaspiller,беспокоиться,verbs,0.15
2162,cheval,кобыла,nouns,4.45
2163,abeille,матка,nouns,1.75
2164,activement,счастливо,adverbs,0.3
2165,quotidiennement,обычно,adverbs,1.95
2166,zone,область,nouns,3.65
2167,camion,посылка,nouns,0.25
2168,religion,секулярист,nouns,1.15
2169,carton,бумага,nouns,3.45
2170,riz,курятина,nouns,1.0
2171,agonie,горе,nouns,1.95
2172,peut-être,наверное,adverbs,4.4
2173,cadre,удар,nouns,0.1
2174,déguiser,покрывать,verbs,3.05
2175,saisir,удовлетворять,verbs,0.55
2176,balustrade,забор,nouns,4.8
2177,élégamment,красиво,adverbs,3.6
2178,année,юбилей,nouns,2.05
2179,circoncision,крайняя плоть,nouns,2.55
2180,esprit,невроз,nouns,0.95
2181,chimie,теория,nouns,1.45
2182,mettre,давать,verbs,1.25
2183,attacher,отделять,verbs,0.75
2184,impatiemment,грубо,adverbs,0.85
2185,mouiller,уменьшить,verbs,0.05
2186,choix,выборы,nouns,3.15
2187,vieux,новый,adjectives,0.95
2188,gin,виски,nouns,2.5
2189,discrètement,вежливо,adverbs,1.55
2190,aller,начинать,verbs,0.8
2191,île,флот,nouns,1.0
2192,unique,противоположный,adjectives,0.4
2193,voiture,шланг,nouns,0.5
2194,frigide,ранимый,adjectives,0.2
2195,ronfler,проснуться,verbs,0.85
2196,piston,мотор,nouns,2.5
2197,pardonner,принимать,verbs,1.7
2198,supposer,притворяться,verbs,3.75
2199,chaos,анархия,nouns,4.45
2200,impôt,доход,nouns,1.4
2201,brut,невежливый,adjectives,4.55
2202,flexible,крупный,adjectives,0.15
2203,menthe,музей,nouns,0.0
2204,infirmier,ученый,nouns,0.75
2205,pâlir,разъедать,verbs,0.35
2206,soi,уверенность,nouns,2.1
2207,animal,человек,nouns,1.15
2208,bowling,игрок в боулинг,nouns,1.75
2209,affectation,задача,nouns,3.45
2210,sournois,выносливый,adjectives,1.0
2211,nerf,тело,nouns,1.1
2212,antécédent,прошлое,nouns,4.4
2213,soleil,яблоко,nouns,0.3
2214,esprit,бог,nouns,2.55
2215,devoir,одалживать,verbs,1.15
2216,cours,желудок,nouns,0.2
2217,réduire,пропитывать,verbs,0.05
2218,chercher,находить,verbs,2.0
2219,vieux,смешанный,adjectives,0.05
