ID,FRA,SPA,PoS,score
674,appareil photo,presidente,nouns,0.5
675,enquêter,perseguir,verbs,1.5
676,minute,segundo,nouns,2.85
677,copilote,cabina,nouns,1.25
678,habit,cajón,nouns,1.35
679,convocation,reunión,nouns,4.05
680,accepter,perdonar,verbs,2.35
681,affaire,sociedad,nouns,2.45
682,bon,cortés,adjectives,2.6
683,arrêter,sospechar,verbs,1.2
684,couvert,descubierto,adjectives,0.95
685,pomme,salsa,nouns,1.05
686,flexible,fácil,adjectives,1.8
687,tuyau,jardín,nouns,0.8
688,extraverti,entrante,adjectives,0.3
689,décourager,animar,verbs,1.0
690,coton,suéter,nouns,1.25
691,nuage,niebla,nouns,2.75
692,apporter,venir,verbs,0.75
693,île,armada,nouns,0.85
694,fils,padre,nouns,2.15
695,fiançailles,anillo,nouns,2.25
696,rigide,fácil,adjectives,0.25
697,information,entropía,nouns,1.3
698,région,zona,nouns,3.45
699,princesse,rey,nouns,2.55
700,télévision,guionista,nouns,1.4
701,ouvertement,macizamente,adverbs,0.7
702,diviser,despegar,verbs,1.4
703,accepter,entregar,verbs,0.75
704,instamment,con rapidez,adverbs,4.35
705,danger,enfermedad,nouns,1.1
706,paragraphe,carta,nouns,1.5
707,livre,texto,nouns,3.25
708,clé,casa,nouns,1.05
709,désincarné,espiritual,adjectives,3.7
710,catastrophe,muerte,nouns,2.0
711,chaise,sofá,nouns,3.05
712,grand,grande,adjectives,3.25
713,cinéma,palomitas de maiz,nouns,1.95
714,improbable,simpático,adverbs,0.0
715,conversation,comunicación,nouns,3.8
716,parler,oír,verbs,1.3
717,boîte,sombrero,nouns,0.8
718,énorme,minúsculo,adjectives,0.95
719,dépenser,salvar,verbs,0.3
720,contrarié,avergonzado,adjectives,1.0
721,brique,pared,nouns,1.75
722,dernièrement,recientemente,adverbs,5.25
723,chiffon,ropa,nouns,2.0
724,couloir,puerta,nouns,1.3
725,facile,rígido,adjectives,0.25
726,violent,suave,adjectives,0.75
727,jamais,honestamente,adverbs,0.15
728,faible,picante,adjectives,0.1
729,fêter,sorprender,verbs,1.0
730,désarroi,histeria,nouns,2.0
731,punir,enseñar,verbs,0.6
732,chambre à coucher,baño,nouns,1.9
733,approximativement,fácilmente,adverbs,0.35
734,empereur,constitución,nouns,1.2
735,altérer,cambiar,verbs,4.85
736,don,escritor,nouns,0.3
737,enfant,chico,nouns,4.2
738,beauté,soneto,nouns,0.65
739,voiture,ascensor,nouns,0.5
740,uniformément,a veces,adverbs,0.45
741,biologiste,microscopio,nouns,1.7
742,nier,evitar,verbs,1.05
743,incliner,parcialidad,verbs,2.45
744,combinaison,unión,nouns,4.3
745,guerrier,hombre,nouns,1.6
746,énerver,adivinar,verbs,0.15
747,massif,astronómico,adjectives,2.35
748,absorber,aprender,verbs,2.1
749,homme,fraternidad,nouns,1.45
750,emprunter,dar,verbs,1.4
751,savoir,olvidar,verbs,0.9
752,viande,carne de vaca,nouns,3.75
753,gosse,chico,nouns,4.4
754,vélo,piel,nouns,0.4
755,yaourt,ganado,nouns,0.45
756,vite,rápido,adjectives,5.1
757,cuisiner,perder,verbs,0.1
758,femme,hombre,nouns,2.15
759,entendre,hablar,verbs,1.3
760,fissurer,romper,verbs,3.15
761,décider,escoger,verbs,4.55
762,thérapie,behaviorismo,nouns,1.6
763,analyser,comparar,verbs,3.1
764,important,menor,adjectives,0.8
765,généreusement,amablemente,adverbs,3.0
766,fait,prueba,nouns,3.25
767,gagnant,gol,nouns,1.0
768,pardonner,aceptar,verbs,2.35
769,oncle,tía,nouns,3.55
770,porte,portón,nouns,4.85
771,timide,asustado,adjectives,2.25
772,programme,examen,nouns,1.05
773,radiateur,paraguas,nouns,0.35
774,moyen,templado,adjectives,1.5
775,pont,tarjeta,nouns,0.25
776,étroit,largo,adjectives,1.0
777,moutarde,semilla,nouns,2.25
778,donner,robar,verbs,0.75
779,hôtel,apartamento,nouns,1.85
780,illustration,ampolla,nouns,0.15
781,date,calendario,nouns,2.25
782,commencer,ir,verbs,0.95
783,président,cámara,nouns,0.5
784,molécule,matriz,nouns,0.4
785,matin,día,nouns,3.4
786,incurvé,derecho,adjectives,0.95
787,queue,cuenco,nouns,0.15
788,mélodie,ritmo,nouns,3.65
789,grossièrement,obviamente,adverbs,0.85
790,immature,crecido,adjectives,0.95
791,étrange,ordinario,adjectives,0.9
792,marier,unirse,verbs,3.05
793,tragédie,muerte,nouns,2.85
794,national,conocido,adjectives,1.0
795,vieux,fresco,adjectives,0.15
796,explorer,ignorar,verbs,0.4
797,gin,alcohol,nouns,3.05
798,épaule,cuerpo,nouns,1.6
799,extraconjugal,inmencionable,adjectives,1.05
800,avocat,fiscal,nouns,2.8
801,laisser,permitir,verbs,5.0
802,notifier,retratar,verbs,1.0
803,représenter,decidir,verbs,1.05
804,niveau,puntuación,nouns,2.85
805,microscope,biólogo,nouns,1.7
806,chef,gerente,nouns,3.9
807,côte,playa,nouns,3.65
808,témoigner,juez,verbs,1.4
809,heureux,alegre,adjectives,5.1
810,trébucher,caerse,verbs,4.2
811,agréable,saliente,adjectives,1.15
812,page,párrafo,nouns,2.15
813,énergie,batería,nouns,3.55
814,dominer,ganar,verbs,2.9
815,avion,hoja,nouns,0.05
816,errer,buscar,verbs,1.55
817,truite,guitarra,nouns,0.05
818,élève,estudiante,nouns,5.6
819,jus,cuchara,nouns,0.6
820,condition,niño,nouns,0.1
821,sol,puerta,nouns,0.8
822,sécheresse,agua,nouns,1.5
823,incroyable,ordinario,adjectives,0.75
824,supporter,grillo,nouns,0.35
825,officiellement,en tono rimbombante,adverbs,0.55
826,pauvre,orgulloso,adjectives,0.4
827,moissonneuse-batteuse,caña de azúcar,nouns,0.5
828,épicé,débiles,adjectives,0.1
829,vélo,habitación,nouns,0.2
830,ajouter,construir,verbs,1.25
831,acquérir,unirse,verbs,1.0
832,flotter,cantar,verbs,0.1
833,rationaliser,discutir,verbs,2.6
834,brillamment,ligeramente,adverbs,0.3
835,agressif,curvo,adjectives,0.0
836,bonheur,paz,nouns,2.95
837,parent,padre,nouns,4.75
838,trouver,localizar,verbs,5.1
839,mot,literatura,nouns,2.35
840,maison,estado,nouns,0.15
841,argent,efectivo,nouns,4.2
842,droit,colegio,nouns,1.25
843,saleté,barro,nouns,2.85
844,agonie,dolor,nouns,3.05
845,entrant,saliente,adjectives,0.3
846,tête,uña,nouns,0.85
847,chiffre,número,nouns,5.05
848,verre,placa,nouns,0.6
849,boussole,elefante,nouns,0.05
850,bateau,ancla,nouns,1.55
851,mec,niña,nouns,1.65
852,souris,administración,nouns,0.0
853,taille,truco,nouns,0.0
854,merveilleux,encantador,adjectives,3.65
855,pot,botella,nouns,2.7
856,beurre,patata,nouns,1.2
857,paquet,camión,nouns,0.4
858,apporter,enviar,verbs,1.55
859,mépriser,cargar,verbs,1.1
860,inutile,necesario,adjectives,0.95
861,princesse,isla,nouns,0.3
862,triste,gracioso,adjectives,0.65
863,tranchant,aburrido,adjectives,0.05
864,meuble,apartamento,nouns,1.25
865,sentir,apestar,verbs,3.35
866,décomposer,destruir,verbs,3.55
867,abeille,insecto,nouns,3.25
868,farine,pan,nouns,1.85
869,montre,falda,nouns,0.5
870,garder,perder,verbs,0.8
871,cours,estómago,nouns,0.15
872,généralement,sinceramente,adverbs,0.6
873,provenir,descubrir,verbs,0.95
874,balai,polvo,nouns,1.45
875,élève,presidente,nouns,0.7
876,aube,pistola,nouns,0.05
877,gant,pelota,nouns,1.25
878,content,enfadado,adjectives,0.75
879,musique,flauta,nouns,2.2
880,gentiment,generosamente,adverbs,3.0
881,libérer,presionar,verbs,0.3
882,télescope,silla,nouns,0.3
883,arrogant,orgulloso,adjectives,4.05
884,rythme,poema,nouns,1.6
885,garçon,soldado,nouns,1.1
886,médecin,templar,nouns,0.15
887,personnel,íntimo,adjectives,5.15
888,nier,dar,verbs,0.25
889,profondeur,magnitud,nouns,1.45
890,agrume,naranja,nouns,3.7
891,choix,elección,nouns,4.0
892,présence,ganador,nouns,0.45
893,nécessaire,importante,adjectives,4.1
894,pomme,caramelo,nouns,1.15
895,arithmétique,ritmo,nouns,0.55
896,dur,fácil,adjectives,0.8
897,milliardaire,indigente,nouns,0.85
898,gravité,meteorito,nouns,1.4
899,soldat,niño,nouns,1.1
900,veine,brazo,nouns,1.0
901,information,libro,nouns,1.7
902,acquérir,obtener,verbs,5.15
903,abeille,reina,nouns,1.45
904,légal,permitido,adjectives,4.7
905,renommée,riqueza,nouns,2.1
906,fermement,suavemente,adverbs,0.85
907,liberté,oasis,nouns,0.3
908,comparer,analizar,verbs,3.1
909,fureur,enfado,nouns,4.8
910,impatiemment,aproximadamente,adverbs,0.45
911,profession,universidad,nouns,1.1
912,sous-vêtement,cuerpo,nouns,1.15
913,exiger,discutir,verbs,1.25
914,humilier,comodidad,verbs,0.45
915,fille,chico,nouns,1.65
916,bain,globo,nouns,0.15
917,mot-clé,sintaxis,nouns,1.1
918,serviteur,esclavo,nouns,3.55
919,emploi,herramienta,nouns,0.8
920,chapitre,noche,nouns,0.45
921,découvrir,originar,verbs,0.95
922,pomme,dieta,nouns,1.05
923,obéir,castigar,verbs,1.3
924,passivement,silenciosamente,adverbs,1.35
925,précisément,exactamente,adverbs,5.45
926,défendre,matar,verbs,0.85
927,ouragan,tormenta,nouns,3.35
928,tempête,manta,nouns,0.1
929,marine,isla,nouns,0.85
930,fuir,escapar,verbs,5.65
931,persévérance,fuerza,nouns,3.25
932,policier,político,nouns,1.0
933,canon,pelota,nouns,0.65
934,persuader,perseguir,verbs,0.55
935,chagrin,agonía,nouns,3.05
936,apporter,restaurar,verbs,0.15
937,hématologie,patología,nouns,2.15
938,affreux,malo,adjectives,3.6
939,organiser,volverse,verbs,0.25
940,saisir,satisfacer,verbs,0.7
941,confiance,yo,nouns,1.5
942,minuscule,enorme,adjectives,0.95
943,os,tobillo,nouns,1.7
944,apparent,obvio,adjectives,4.15
945,suspecter,arrestar,verbs,1.2
946,économie,ecosistema,nouns,0.95
947,beauté,años,nouns,0.85
948,fragile,frígido,adjectives,0.25
949,dispute,crítica,nouns,2.8
950,vache,cabra,nouns,1.95
951,fou,alegre,adjectives,0.75
952,mal,culpable,adjectives,2.05
953,câble,capilla,nouns,0.05
954,chat,mascota,nouns,3.75
955,rarement,nunca,adverbs,2.65
956,rarement,a menudo,adverbs,1.25
957,portail,puerta,nouns,4.85
958,stupide,listo,adjectives,0.85
959,pâlir,erosionar,verbs,0.8
960,permettre,ir,verbs,0.4
961,salaire,dinero,nouns,4.1
962,étrangement,extraordinariamente,adverbs,2.5
963,population,gente,nouns,4.0
964,réduire,encoger,verbs,4.8
965,tribunal,justicia,nouns,3.15
966,syntaxe,palabra principal,nouns,1.1
967,zinc,oro,nouns,1.95
968,bétail,ternera,nouns,4.0
969,marijuana,hierba,nouns,5.2
970,ignorant,regular,adjectives,0.45
971,systématiquement,normalmente,adverbs,3.7
972,galerie,abogado,nouns,0.15
973,mélanger,combinar,verbs,4.7
974,terrible,malo,adjectives,3.25
975,pistolet,piel,nouns,0.1
976,date,cita,nouns,2.15
977,informe,uniforme,adjectives,0.8
978,étrange,astuto,adjectives,1.05
979,vêtement,armario,nouns,2.15
980,club,sociedad,nouns,3.4
981,pacifiquement,caóticamente,adverbs,0.55
982,animal,persona,nouns,0.95
983,ampoule,ilustración,nouns,0.15
984,chapeau,caja,nouns,0.8
985,maladie,cáncer,nouns,3.55
986,débattre,asistir,verbs,0.65
987,couvrir,enterrar,verbs,3.35
988,maire,presidente,nouns,2.45
989,steak,carne,nouns,4.25
990,heureux,contento,adjectives,4.75
991,pollution,atmósfera,nouns,1.9
992,journaliste,poeta,nouns,1.35
993,jus,manzana,nouns,1.65
994,réfuter,permitir,verbs,0.5
995,devenir,parecer,verbs,1.0
996,équation,fórmula,nouns,4.05
997,long,estrecho,adjectives,1.0
998,atteindre,recibir,verbs,0.3
999,sincèrement,honestamente,adverbs,5.45
1000,journal,palabra,nouns,1.55
1001,imprimer,ignorar,verbs,0.1
1002,bras,vena,nouns,1.0
1003,pont,bote,nouns,1.35
1004,berceau,cama,nouns,3.55
1005,participer,decir,verbs,1.55
1006,sincèrement,generalmente,adverbs,0.6
1007,doucement,firmemente,adverbs,0.85
1008,haut,lado,nouns,1.65
1009,créateur,fabricante,nouns,4.4
1010,canapé,cama,nouns,2.75
1011,remplacer,restaurar,verbs,2.65
1012,nuit,capítulo,nouns,0.45
1013,analyser,evaluar,verbs,4.75
1014,différemment,extrañamente,adverbs,1.65
1015,protéine,asa,nouns,0.25
1016,opposant,adversario,nouns,5.25
1017,génial,malo,adjectives,0.35
1018,recevoir,aceptar,verbs,2.8
1019,côté,parte superior,nouns,1.65
1020,cytoplasme,dígito,nouns,0.0
1021,seconde,minuto,nouns,2.85
1022,bizarre,extraño,adjectives,5.85
1023,mer,océano,nouns,4.5
1024,fier,triste,adjectives,0.7
1025,faire,dejar,verbs,0.9
1026,courbe,ángulo,nouns,2.4
1027,satisfaire,complacer,verbs,4.9
1028,attendre,pausa,verbs,2.9
1029,assistant,profesor,nouns,1.8
1030,conseiller,recomendar,verbs,5.25
1031,gratte-ciel,palacio,nouns,1.3
1032,entropie,información,nouns,1.3
1033,dur,astuto,adjectives,0.5
1034,important,crucial,adjectives,5.05
1035,attaque,herir,verbs,2.55
1036,diviser,añadir,verbs,1.05
1037,moniteur,pantalla,nouns,5.2
1038,père,hombre,nouns,2.65
1039,juger,decidir,verbs,3.5
1040,loucher,deslumbrar,verbs,0.4
1041,se dissiper,desaparecer,verbs,5.4
1042,toit,piso,nouns,1.45
1043,voler,dar,verbs,0.75
1044,pop-corn,cine,nouns,1.95
1045,détériorer,limpiar,verbs,0.4
1046,ongle,cabeza,nouns,0.85
1047,oublier,recordar,verbs,0.8
1048,succès,marco,nouns,0.25
1049,tunnel,camino,nouns,2.25
1050,tasse,tarro,nouns,2.6
1051,monarchie,democracia,nouns,2.0
1052,supplier,pedir prestado,verbs,1.2
1053,significativement,profundamente,adverbs,3.0
1054,adulte,inmaduro,adjectives,0.95
1055,garçon,niño,nouns,4.2
1056,principalement,críticamente,adverbs,0.6
1057,devoir,ensayo,nouns,3.75
1058,moulin,semilla,nouns,1.9
1059,mariée,novio,nouns,3.6
1060,estomac,cuerpo,nouns,2.3
1061,intensité,estrella,nouns,2.0
1062,collecte de fonds,evento,nouns,2.05
1063,société,club,nouns,3.4
1064,mélodie,música,nouns,4.55
1065,garder,dar,verbs,1.3
1066,rejoindre,adjuntar,verbs,2.3
1067,coureur,atleta,nouns,3.55
1068,emprunteur,crédito,nouns,2.2
1069,demander,ignorar,verbs,0.65
1070,simulation,robótica,nouns,1.2
1071,grossièrement,ligeramente,adverbs,0.85
1072,tabouret,silla,nouns,3.7
1073,intuition,sentido,nouns,3.75
1074,jeune,inquieto,adjectives,0.7
1075,légèrement,brillantemente,adverbs,0.3
1076,os,codo,nouns,1.6
1077,vol,crimen,nouns,2.95
1078,blanc,estrecho,adjectives,0.05
1079,clavier,ligero,nouns,0.35
1080,bacon,frijol,nouns,0.8
1081,bain,habitación,nouns,1.1
1082,revenu,impuesto,nouns,1.4
1083,bouton,ropa,nouns,1.8
1084,groupe,espíritu,nouns,0.4
1085,état,casa,nouns,0.15
1086,bible,himno,nouns,0.6
1087,rue,coche,nouns,0.8
1088,éduquer,enseñar,verbs,5.0
1089,revêtement,bicicleta,nouns,0.4
1090,triomphe,victoria,nouns,5.6
1091,expulser,salir,verbs,2.5
1092,orage,huracán,nouns,3.35
1093,adjoint,oficial,nouns,1.9
1094,fondamentalement,necesariamente,adverbs,3.75
1095,entrée,pasillo,nouns,1.2
1096,découvrir,explorar,verbs,3.85
1097,code,símbolo,nouns,2.85
1098,sauce,manzana,nouns,1.05
1099,tiroir,ropa,nouns,1.35
1100,juriste,abogado,nouns,4.5
1101,mouiller,reducir,verbs,0.05
1102,cabine,caja,nouns,1.6
1103,aider,pedir,verbs,0.85
1104,livre,información,nouns,1.7
1105,cuisine,puerta,nouns,0.8
1106,centime,gente,nouns,0.1
1107,paiement,cuota,nouns,3.85
1108,étui,programa informático,nouns,1.25
1109,voiture,carro,nouns,4.6
1110,récif,playa,nouns,2.05
1111,bouilli,cocido,adjectives,4.25
1112,mousse,burbuja,nouns,2.15
1113,droit,curvo,adjectives,0.95
1114,herbe,musgo,nouns,2.45
1115,poursuivre,persuadir,verbs,0.55
1116,courir,montar,verbs,0.95
1117,difficile,fácil,adjectives,0.95
1118,femme,piel,nouns,0.4
1119,assister,ven,verbs,2.7
1120,chimie,teoría,nouns,1.4
1121,agression,hostilidad,nouns,3.4
1122,œil,lágrima,nouns,1.4
1123,ami,huésped,nouns,2.25
1124,heureux,enfadado,adjectives,0.75
1125,tranchant,templado,adjectives,0.95
1126,plage,mar,nouns,3.45
1127,grossier,ruidoso,adjectives,1.3
1128,regarder,observar,verbs,4.95
1129,infirmier,científico,nouns,0.9
1130,principalement,mayormente,adverbs,5.05
1131,travail,tarea,nouns,4.6
1132,fraternité,puerta,nouns,0.2
1133,éviter,rechazar,verbs,2.7
1134,frais,pago,nouns,3.85
1135,concrètement,recientemente,adverbs,0.15
1136,cinquième,parte superior,adjectives,0.2
1137,appartement,casa,nouns,4.05
1138,bateau,árbol,nouns,0.35
1139,carton,papel,nouns,3.8
1140,bras,rama,nouns,1.5
1141,viande,pan,nouns,1.2
1142,union,suma,nouns,3.4
1143,bien,picante,adjectives,0.15
1144,muscle,lengua,nouns,2.7
1145,mec,amigo,nouns,2.25
1146,esprit,cerebro,nouns,3.8
1147,nager,reunirse,verbs,0.3
1148,couple,par,nouns,5.2
1149,cheville,hueso,nouns,1.7
1150,médiocre,malo,adjectives,3.05
1151,chercher,indagar,verbs,3.15
1152,accomplir,ganar,verbs,1.8
1153,devenir,organizar,verbs,0.25
1154,magma,volcán,nouns,2.25
1155,dur,cruel,adjectives,3.6
1156,commande,menú,nouns,1.65
1157,pâturage,prado,nouns,4.55
1158,dent,hueso,nouns,2.3
1159,étrange,raro,adjectives,5.85
1160,croyance,concepto,nouns,2.5
1161,partir,ir,verbs,3.95
1162,gestion,trabajo,nouns,1.8
1163,présence,puerta,nouns,0.45
1164,croître,expandir,verbs,4.7
1165,mutant,sociobiología,nouns,0.45
1166,anarchie,caos,nouns,4.0
1167,homme,padre,nouns,2.65
1168,buisson,flor,nouns,2.45
1169,bol,cola,nouns,0.15
1170,au fond,completamente,adverbs,1.4
1171,mettre,obtener,verbs,0.35
1172,évidemment,aparentemente,adverbs,3.15
1173,pistolet,sargento,nouns,0.85
1174,réveiller,roncar,verbs,0.8
1175,normalement,rutinariamente,adverbs,3.7
1176,haricot,café,nouns,0.45
1177,honteux,suerte,adjectives,0.4
1178,se renseigner,exigir,verbs,1.3
1179,fier,fuerte,adjectives,1.4
1180,sculpture,estatua,nouns,5.25
1181,colline,acantilado,nouns,2.25
1182,histoire,lápiz,nouns,0.6
1183,pied,base,nouns,2.65
1184,fleur,arbusto,nouns,2.45
1185,carte,puente,nouns,0.25
1186,lit,hospital,nouns,1.15
1187,paresseux,precioso,adjectives,0.1
1188,désirer,querer,verbs,5.15
1189,jeu,truco,nouns,2.2
1190,paiement,recompensa,nouns,3.65
1191,humeur,emoción,nouns,3.55
1192,plante,agricultura,nouns,1.3
1193,glace,nieve,nouns,3.7
1194,oublier,aprender,verbs,0.8
1195,télévision,actor,nouns,1.1
1196,perception,visión,nouns,4.75
1197,calendrier,fecha,nouns,2.25
1198,bruine,lluvia,nouns,4.55
1199,homme,sospechar,nouns,0.95
1200,tissu,lino,nouns,3.05
1201,suite,cámara,nouns,0.25
1202,repas,cintura,nouns,0.4
1203,biotope,biología,nouns,1.5
1204,esprit,dios,nouns,2.25
1205,lumière,teclado,nouns,0.35
1206,terminer,graduarse,verbs,2.35
1207,apocalypse,fuego,nouns,1.3
1208,sauver,ahogar,verbs,0.9
1209,banquier,abogado,nouns,1.6
1210,appareil photo,obrero,nouns,0.1
1211,sévèrement,esencialmente,adverbs,0.6
1212,avion,aeropuerto,nouns,2.05
1213,lit,sofá,nouns,2.75
1214,pathogène,germen,nouns,3.35
1215,clairement,seguramente,adverbs,3.25
1216,ouvrier,cámara,nouns,0.1
1217,recevoir,lograr,verbs,0.3
1218,évident,perceptible,adjectives,3.2
1219,acteur,televisión,nouns,1.1
1220,vieux,mezclado,adjectives,0.05
1221,capturer,imitar,verbs,0.45
1222,ciel,sol,nouns,1.7
1223,magnitude,profundidad,nouns,1.45
1224,vampire,murciélago,nouns,2.45
1225,trou,acuerdo,nouns,0.0
1226,se renseigner,pensar,verbs,0.95
1227,mélanger,cocinar,verbs,1.65
1228,inexactement,precisamente,adverbs,0.8
1229,marrant,triste,adjectives,0.65
1230,élastique,flexible,adjectives,4.45
1231,décoration,pared,nouns,1.35
1232,facile,vulnerable,adjectives,1.1
1233,voiture,calibre,nouns,0.55
1234,racisme,xenofobia,nouns,5.0
1235,moteur,pistón,nouns,2.7
1236,indice,palabra,nouns,0.9
1237,bronchite,acetaminofeno,nouns,1.15
1238,dessin,alboroto,nouns,0.2
1239,coûteux,tímido,adjectives,0.3
1240,frais de scolarité,beca,nouns,1.75
1241,inutilisé,nuevo,adjectives,5.1
1242,longévité,flor,nouns,0.25
1243,corruption,fraude,nouns,4.1
1244,décider,retratar,verbs,1.05
1245,fouetter,golpear,verbs,4.75
1246,fonction,compilador,nouns,1.4
1247,atteindre,tener éxito,verbs,4.55
1248,feuille,avión,nouns,0.05
1249,sacre,agua,nouns,0.25
1250,mal,mediocre,adjectives,3.05
1251,presser,lanzar,verbs,0.3
1252,mordre,luchar,verbs,1.2
1253,recevoir,tomar,verbs,2.15
1254,oublier,perdonar,verbs,2.8
1255,injustement,justamente,adverbs,0.85
1256,éléphant,brújula,nouns,0.05
1257,faire,volverse,verbs,0.75
1258,négociation,diplomacia,nouns,3.15
1259,grand,enorme,adjectives,4.8
1260,condensateur,diodo,nouns,2.0
1261,coin,zona,nouns,0.85
1262,marrant,aburrido,adjectives,0.3
1263,criminalité,robo,nouns,2.95
1264,arrière,cola,nouns,2.75
1265,discrètement,obviamente,adverbs,0.75
1266,maison,apartamento,nouns,4.05
1267,impression,creencia,nouns,2.6
1268,philosophe,carreras,nouns,0.3
1269,chaîne,puesta de sol,nouns,0.0
1270,communication,conversacion,nouns,3.8
1271,prendre,obtener,verbs,3.0
1272,eau,sequía,nouns,1.5
1273,grossier,agresivo,adjectives,2.4
1274,rare,tonto,adjectives,0.25
1275,privé,personal,adjectives,4.75
1276,femme,agujero,nouns,0.1
1277,chasser,buscar,verbs,1.85
1278,venir,traer,verbs,0.75
1279,connu,popular,adjectives,4.85
1280,obtenir,perder,verbs,0.8
1281,brut,feo,adjectives,0.85
1282,heureusement,mortal,adverbs,0.35
1283,salade,vinagre,nouns,1.45
1284,devoir,entrar,verbs,0.15
1285,silencieusement,pasivamente,adverbs,1.35
1286,rencontrer,nadar,verbs,0.3
1287,décider,pensar,verbs,2.15
1288,créer,destruir,verbs,0.8
1289,mécaniquement,idealmente,adverbs,0.25
1290,représenter,imitar,verbs,2.15
1291,bétail,yogur,nouns,0.45
1292,frère,alma,nouns,0.45
1293,follement,tristemente,adverbs,0.7
1294,viser,buscar,verbs,2.3
1295,accord,pacto,nouns,5.45
1296,gymnastique,esgrima,nouns,2.55
1297,accepter,estar de acuerdo,verbs,4.0
1298,fait,visión,nouns,0.75
1299,frais,amplio,adjectives,0.15
1300,guide,manual,nouns,5.1
1301,altitude,conversión,nouns,0.55
1302,programme,comida,nouns,0.6
1303,incurvé,agresivo,adjectives,0.0
1304,poule,pájaro,nouns,2.4
1305,constitution,senado,nouns,1.9
1306,ballade,canción,nouns,4.35
1307,nerveux,cierto,adjectives,0.2
1308,sujet,libro,nouns,1.55
1309,cathédrale,techo,nouns,0.45
1310,jauge,coche,nouns,0.55
1311,feuille,árbol,nouns,1.85
1312,sale,barato,adjectives,0.15
1313,sournois,extraño,adjectives,1.05
1314,difficile,denso,adjectives,1.95
1315,entendre,escuchar,verbs,4.9
1316,café,frijol,nouns,0.45
1317,banc,silla,nouns,3.55
1318,feindre,imaginar,verbs,1.45
1319,semis,hoja,nouns,1.45
1320,organiser,recoger,verbs,1.6
1321,voiture,tanque,nouns,1.0
1322,stupide,tonto,adjectives,5.45
1323,gagner,tener éxito,verbs,3.85
1324,lune,planeta,nouns,1.9
1325,peut-être,probable,adverbs,4.7
1326,grain,molino,nouns,1.9
1327,abdomen,vientre,nouns,4.75
1328,armée,armada,nouns,4.2
1329,conquête,batalla,nouns,2.75
1330,centime,esposa,nouns,0.2
1331,uniforme,tejer,nouns,0.2
1332,désespoir,miseria,nouns,3.05
1333,ballon,bañera,nouns,0.15
1334,délicieux,maravilloso,adjectives,3.65
1335,soleil,manzana,nouns,0.55
1336,attraper,perseguir,verbs,1.4
1337,oeuvre,artista,nouns,2.05
