ID,FRA,SPA,PoS,score
1991,écrivain,compositor,nouns,3.1
1992,dent,boca,nouns,2.25
1993,épargne,ahorrador,nouns,2.85
1994,évident,aparente,adjectives,4.15
1995,tâche,mujer,nouns,0.15
1996,lecteur,autor,nouns,1.55
1997,inquiéter,malgastar,verbs,0.2
1998,fête,gente,nouns,1.0
1999,pomme,sol,nouns,0.55
2000,littérature,libro,nouns,2.75
2001,personne,población,nouns,4.0
2002,permettre,dejar,verbs,5.0
2003,sale,pegajoso,adjectives,2.05
2004,marais,lago,nouns,2.9
2005,récit,tema,nouns,1.4
2006,chapelle,cable,nouns,0.05
2007,représenter,pretender,verbs,0.65
2008,détruire,salvar,verbs,0.65
2009,ordinaire,increíble,adjectives,0.75
2010,approximativement,impacientemente,adverbs,0.45
2011,delta,mar,nouns,1.8
2012,cube,juguete,nouns,1.7
2013,accomplir,saludar,verbs,0.25
2014,rester,esperar,verbs,2.6
2015,terminer,captura,verbs,0.4
2016,dieu,presa,nouns,0.05
2017,corps,ropa interior,nouns,1.15
2018,tête,hombro,nouns,2.1
2019,violent,enojado,adjectives,2.05
2020,orange,cítrico,nouns,3.7
2021,rétrécir,crecer,verbs,0.9
2022,curseur,patatas fritas,nouns,0.1
2023,branche,brazo,nouns,1.5
2024,acteur,poliedro,nouns,0.0
2025,plage,isla,nouns,2.25
2026,président,político,nouns,3.05
2027,terminer,competir,verbs,0.2
2028,rendez-vous,compromiso,nouns,3.7
2029,gagnant,campeón,nouns,5.0
2030,enterrer,cubrir,verbs,3.35
2031,émotion,estado animico,nouns,3.55
2032,mécanique,eléctrico,adjectives,1.85
2033,avoine,campo,nouns,1.3
2034,mixte,antiguo,adjectives,0.05
2035,rejoindre,participar,verbs,3.1
2036,hymne,cañita,nouns,0.15
2037,neuropsychologie,parasicología,nouns,1.85
2038,aigle,halcón,nouns,3.15
2039,ami,madre,nouns,1.0
2040,journal,bañera,nouns,0.0
2041,déni,confesión,nouns,1.45
2042,thème,libro,nouns,1.1
2043,déranger,ofender,verbs,2.1
2044,combattre,morder,verbs,1.2
2045,étranger,traductor,nouns,1.05
2046,national,grande,adjectives,0.3
2047,enthousiasmé,asustado,adjectives,1.1
2048,violent,radical,adjectives,2.85
2049,flexible,grande,adjectives,0.15
2050,colère,frustración,nouns,4.1
2051,croissance,fertilizante,nouns,1.45
2052,trouver,desaparecer,verbs,0.35
2053,astéroïde,estrella,nouns,2.95
2054,aller,viajar,verbs,3.5
2055,dollar,millonario,nouns,1.55
2056,véhicule,autobús,nouns,3.25
2057,casser,agrietar,verbs,3.15
2058,petit déjeuner,tocino,nouns,0.95
2059,modeste,puro,adjectives,1.1
2060,couverture,vendaval,nouns,0.1
2061,rétrécir,desaparecer,verbs,1.1
2062,fatigué,hambriento,adjectives,1.55
2063,apparemment,simplemente,adverbs,1.05
2064,soigneusement,peligrosamente,adverbs,0.55
2065,reconnaître,aceptar,verbs,4.95
2066,échec,comprobar,nouns,0.9
2067,cuillère,vaso,nouns,1.55
2068,bol,callejón,nouns,0.0
2069,couverture,madera,nouns,0.2
2070,balle,guante,nouns,1.25
2071,voiture,bote,nouns,1.35
2072,aéroport,pieza,nouns,0.1
2073,ouverture,puerta,nouns,2.75
2074,rationaliser,pensar,verbs,4.0
2075,facile,difícil,adjectives,0.95
2076,attraper,lanzar,verbs,0.4
2077,parfois,uniformemente,adverbs,0.45
2078,preuve,hecho,nouns,3.25
2079,être d'accord,aceptar,verbs,4.0
2080,prairie,pradera,nouns,4.55
2081,donner,permitir,verbs,1.15
2082,faire plaisir,satisfacer,verbs,4.9
2083,porte,portal,nouns,2.75
2084,fils,hermano,nouns,1.65
2085,disparaître,esfumarse,verbs,5.4
2086,médecin,doctor,nouns,5.55
2087,désordonné,limpiar,adjectives,1.2
2088,prévision,nublado,nouns,1.15
2089,allée,sala,nouns,1.2
2090,route,autopista,nouns,4.0
2091,livre,ensayo,nouns,1.4
2092,arbre,hoja,nouns,1.85
2093,viscosité,chapoteo,nouns,0.75
2094,laisser,llegar,verbs,0.4
2095,téléphone,cabina,nouns,1.35
2096,impossible,factible,adjectives,0.95
2097,contraire,otro,adjectives,1.8
2098,noyer,salvar,verbs,0.9
2099,spirituel,incorpóreo,adjectives,3.7
2100,vomir,cerrar,verbs,0.05
2101,veau,toro,nouns,2.7
2102,légion,dignidad,nouns,1.15
2103,fièvre,enfermedad,nouns,2.8
2104,orthodontiste,médico,nouns,2.85
2105,essayer,pensar,verbs,0.5
2106,écosystème,economía,nouns,0.95
2107,occupé,perezoso,adjectives,0.6
2108,belligérance,combate,nouns,4.0
2109,mendier,pedir,verbs,3.2
2110,voiture,puente,nouns,0.4
2111,démon,ángel,nouns,1.55
2112,oncle,hombre,nouns,2.45
2113,gouvernement,lagartija,nouns,0.0
2114,prêtre,dios,nouns,1.85
2115,autre,opuesto,adjectives,1.8
2116,arbre,bote,nouns,0.35
2117,posséder,absorber,verbs,1.0
2118,criminalité,ataque,nouns,2.05
2119,doux,agudo,adjectives,0.95
2120,puer,oler,verbs,3.35
2121,électricité,caso,nouns,0.65
2122,union,combinación,nouns,4.3
2123,incroyablement,herméticamente,adverbs,0.2
2124,croyance,impresión,nouns,2.6
2125,obtenir,tomar,verbs,3.0
2126,développement,recaudación de fondos,nouns,1.35
2127,désavouer,dar,verbs,0.15
2128,froid,ordinario,adjectives,0.25
2129,apprendre,evaluar,verbs,1.1
2130,malhonnête,veraz,adjectives,0.55
2131,menace,peligro,nouns,4.9
2132,dollar,gente,nouns,0.1
2133,tomber,tropezar,verbs,4.2
2134,baignoire,esposa,nouns,0.15
2135,emprunter,vender,verbs,0.8
2136,robe,danza,nouns,0.6
2137,argent,salario,nouns,4.1
2138,football,divertido,nouns,0.95
2139,piston,motor,nouns,2.7
2140,siffler,detener,verbs,0.5
2141,combattre,jugar,verbs,0.9
2142,inclure,implicar,verbs,4.05
2143,traducteur,extranjero,nouns,1.05
2144,parapsychologie,neuropsicología,nouns,1.85
2145,bébé,hija,nouns,2.75
2146,roman,escritor,nouns,1.75
2147,église,catedral,nouns,4.55
2148,menthe,goma,nouns,0.55
2149,dissertation,libro,nouns,1.4
2150,autobus,taxi,nouns,2.55
2151,examen,silaba,nouns,1.05
2152,statistique,tenis,nouns,0.5
2153,laisser,tomar,verbs,1.05
2154,vieux,nuevo,adjectives,0.95
2155,veine,elección,nouns,0.25
2156,fenêtre,nube,nouns,0.75
2157,moelle,sangre,nouns,1.9
2158,joindre,añadir,verbs,3.6
2159,modeste,flexible,adjectives,0.35
2160,idéalement,de modo realista,adverbs,1.25
2161,choix,cárcel,nouns,0.3
2162,gestion,ratón,nouns,0.0
2163,femme,cañita,nouns,0.15
2164,constitution,emperador,nouns,1.2
2165,acheter,obtener,verbs,2.35
2166,perspicacité,hecho,nouns,0.75
2167,regarder,buscar,verbs,3.15
2168,mouton,cordero,nouns,4.3
2169,paille,himno,nouns,0.15
2170,fils,niño,nouns,3.8
2171,ver à soie,oruga,nouns,3.35
2172,mériter,ganar,verbs,2.0
2173,stupide,inteligente,adjectives,1.15
2174,fermement,tranquilamente,adverbs,0.9
2175,pont,ratón,nouns,0.05
2176,ajouter,dividir,verbs,1.05
2177,fier,pobre,adjectives,0.4
2178,chapitre,elección,nouns,0.65
2179,dense,tonto,adjectives,0.25
2180,tombeur,chico,nouns,1.3
2181,rythme,melodía,nouns,3.65
2182,vouloir,desear,verbs,5.15
2183,auberge,motel,nouns,3.8
2184,prendre,entregar,verbs,0.9
2185,ruelle,calle,nouns,4.25
2186,machine,computadora,nouns,4.2
2187,carré,mapa,nouns,0.6
2188,riz,pollo,nouns,0.95
2189,mélanger,disolver,verbs,2.75
2190,fraternité,béisbol,nouns,0.35
2191,difficile,difícil,adjectives,5.5
2192,examiner,investigar,verbs,4.1
2193,appareil photo,lente,nouns,2.45
2194,haricot,tocino,nouns,0.8
2195,stupide,enorme,adjectives,0.65
2196,épisode,capítulo,nouns,4.7
2197,parfois,cuando,adverbs,0.75
2198,envoyer,asistir,verbs,0.6
2199,bras,músculo,nouns,2.0
2200,fille,bebé,nouns,2.75
2201,beau,maravilloso,adjectives,3.8
2202,chaos,clase,nouns,0.25
2203,participer,unirse,verbs,3.1
2204,âme,hermano,nouns,0.45
2205,plage,costa,nouns,3.65
2206,nerf,intestino,nouns,1.1
2207,rassemblement,convocatoria,nouns,4.05
2208,météo,nieve,nouns,1.5
2209,désordonné,feo,adjectives,0.6
2210,réparer,restaurar,verbs,5.2
2211,promouvoir,avanzar,verbs,2.5
2212,bague,compromiso,nouns,2.25
2213,coupable,malo,adjectives,2.05
2214,attacher,separar,verbs,0.8
2215,abeille,hormiga,nouns,1.55
2216,sang,virus,nouns,1.65
2217,sentir,mimar,verbs,0.1
2218,lit,manta,nouns,1.75
2219,bain,truco,nouns,0.0
2220,agriculture,planta,nouns,1.3
2221,récompense,pago,nouns,3.65
2222,motel,posada,nouns,3.8
2223,génial,maravilloso,adjectives,5.0
2224,mélanger,beber,verbs,0.7
2225,têtu,estúpido,adjectives,1.35
2226,nerf,cuerpo,nouns,1.05
2227,se disputer,quejarse,verbs,2.4
2228,théorie,teorema,nouns,4.05
2229,tasse,cuchara,nouns,1.55
2230,honteux,modesto,adjectives,0.95
2231,germe,patógeno,nouns,3.35
2232,électrique,dulce,adjectives,0.2
2233,grossièrement,seguramente,adverbs,1.05
2234,caractère,médico,nouns,0.15
2235,livre,literatura,nouns,2.75
2236,saisir,leer,verbs,1.3
2237,se ruer,darse prisa,verbs,5.5
2238,rare,raro,adjectives,4.0
2239,large,fresco,adjectives,0.15
2240,collecte de fonds,desarrollo,nouns,1.35
2241,parapluie,calibre,nouns,0.15
2242,souris,cubierta,nouns,0.05
2243,doucement,ruidosamente,adverbs,0.6
2244,mer,tsunami,nouns,1.95
2245,estomac,cintura,nouns,0.75
2246,sol,techo,nouns,1.4
2247,tuer,defender,verbs,0.85
2248,évacuer,determinar,verbs,0.55
2249,lit,cuna,nouns,3.55
2250,mentir,negar,verbs,1.85
2251,disparaître,encontrar,verbs,0.35
2252,convaincre,tratar,verbs,1.3
2253,laisser,reunirse,verbs,1.25
2254,queue,acantilado,nouns,0.05
2255,confiserie,manzana,nouns,1.15
2256,réservoir,coche,nouns,1.0
2257,stylo,alfabeto,nouns,0.95
2258,chaise,telescopio,nouns,0.3
2259,connu,bien,adjectives,0.85
2260,campement,cabina,nouns,1.15
2261,insecte,abeja,nouns,3.25
2262,pouffer,reír,verbs,5.5
2263,régulièrement,ocasionalmente,adverbs,2.2
2264,poussière,escoba,nouns,1.45
2265,rester,conservar,verbs,2.3
2266,enjoué,feliz,adjectives,5.1
2267,casque,arma,nouns,1.65
2268,lézard,gobierno,nouns,0.0
2269,rejeter,evitar,verbs,2.7
2270,cancer,enfermedad,nouns,3.55
2271,course,fin de semana,nouns,0.25
2272,feuille,planta de semilla,nouns,1.45
2273,cuit,hervido,adjectives,4.25
2274,typhon,ciclón,nouns,4.8
2275,langue,músculo,nouns,2.7
2276,ennuyeux,cansado,adjectives,1.55
2277,oiseau,pavo,nouns,3.1
2278,couronne,llave,nouns,0.15
2279,fermer,vomitar,verbs,0.05
2280,suffrage,salida,nouns,0.35
2281,comprendre,saber,verbs,3.4
2282,amorphe,informe,adjectives,2.75
2283,prendre,recibir,verbs,2.15
2284,objectif,ganador,nouns,1.0
2285,étroit,blanco,adjectives,0.05
2286,poterie,cerámico,nouns,4.75
2287,conforter,humillar,verbs,0.45
2288,phonologie,pantalla,nouns,0.1
2289,faire,destruir,verbs,0.8
2290,congrès,parlamento,nouns,3.85
2291,appartement,hotel,nouns,1.85
2292,idiot,infantil,adjectives,2.9
2293,basilique,mosaico,nouns,0.6
2294,anatomie,biología,nouns,2.8
2295,soupe,cena,nouns,2.65
2296,poulet,arroz,nouns,0.95
2297,prendre,llevar,verbs,1.3
2298,bateau,coche,nouns,1.35
2299,apprécier,odiar,verbs,0.85
2300,nuage,ventana,nouns,0.75
2301,lit,habitación,nouns,1.2
2302,facile,duro,adjectives,0.8
2303,gagnant,presencia,nouns,0.45
2304,république,duque,nouns,0.4
2305,plaisir,fútbol,nouns,0.95
2306,éventuellement,con optimismo,adverbs,0.9
2307,pousser,tirar,verbs,2.15
2308,accident,catástrofe,nouns,4.1
2309,viande,filete,nouns,4.25
2310,immédiatement,una vez,adverbs,1.1
2311,paragraphe,página,nouns,2.15
2312,récipient,vagón,nouns,0.2
2313,prédire,asumir,verbs,2.85
2314,nature,flora,nouns,3.1
2315,fraude,corrupción,nouns,4.1
2316,impliquer,incluir,verbs,4.05
2317,fleur,resistencia,nouns,0.25
2318,scénariste,televisión,nouns,1.4
2319,hystérie,confusión,nouns,2.0
2320,distance,perspectiva,nouns,2.75
2321,film,nihilismo,nouns,0.25
2322,reconnaître,notificar,verbs,1.15
2323,année,siglo,nouns,2.05
2324,récemment,actualmente,adverbs,3.5
2325,cérémonie,celebracion,nouns,4.7
2326,secousse,terremoto,nouns,4.7
2327,pleinement,básicamente,adverbs,1.4
2328,obtenir,permanecer,verbs,0.2
2329,océan,mar,nouns,4.5
2330,nerveux,asustado,adjectives,1.9
2331,attaque,delito,nouns,2.05
2332,rapide,ágil,adjectives,4.55
2333,molécule,aire,nouns,1.45
2334,île,playa,nouns,2.25
2335,main,muñeca,nouns,2.75
2336,tâche,isla,nouns,0.1
2337,supposer,predecir,verbs,2.88
2338,guitare,trucha,nouns,0.05
2339,capital,dinero,nouns,4.4
2340,plonger,crear,verbs,0.1
2341,désert,duna,nouns,2.9
2342,concours,moneda,nouns,0.8
2343,préjudice,chauvinista,nouns,1.0
2344,ronger,vestir,verbs,0.15
2345,corps,brazo,nouns,1.75
2346,furieux,estupendo,adjectives,0.6
2347,porte,pasillo,nouns,1.3
2348,mouvement,actividad,nouns,3.4
2349,oasis,libertad,nouns,0.3
2350,archer,pionero,nouns,1.5
2351,chaotiquement,pacíficamente,adverbs,0.55
2352,descendre,retirarse,verbs,0.75
2353,battre,azotar,verbs,4.75
2354,chambre,estómago,nouns,0.15
2355,furieux,infeliz,adjectives,2.35
2356,vison,petróleo,nouns,0.15
2357,sergent,pistola,nouns,0.85
2358,innovant,creativo,adjectives,5.05
2359,palais,rascacielos,nouns,1.3
2360,subtilement,ruidosamente,adverbs,0.7
2361,contraire,único,adjectives,0.85
2362,mettre,colgar,verbs,1.5
2363,musulman,obispo,nouns,1.0
2364,type,pareja,nouns,1.45
2365,gagner,dominar,verbs,2.9
2366,cheville,ventana,nouns,0.05
2367,démon,monstruo,nouns,4.0
2368,agressif,grosero,adjectives,2.4
2369,détruire,descomponer,verbs,3.55
2370,garçon,niño,nouns,4.4
2371,nouvelle,medio,nouns,2.75
2372,iris,acetilcolina,nouns,nan
2373,doucement,suavemente,adverbs,2.85
2374,infraction,fraude,nouns,3.75
2375,offenser,insultar,verbs,4.55
2376,appareil photo,continuación,nouns,0.25
2377,bruit,raqueta,nouns,0.3
2378,vache,ganado,nouns,3.35
2379,calme,neutral,adjectives,1.55
2380,hanche,labio,nouns,0.8
2381,riz,frijol,nouns,1.65
2382,ange,demonio,nouns,1.55
2383,trou,esposa,nouns,0.1
2384,escrime,gimnasia,nouns,2.55
2385,devenir,aparecer,verbs,1.15
2386,précieux,perezoso,adjectives,0.1
2387,anniversaire,cumpleaños,nouns,2.15
2388,situation,condición,nouns,4.55
2389,honneur,insignias,nouns,1.15
2390,conquête,himno,nouns,0.55
2391,immédiatement,pronto,adverbs,3.75
2392,miel,azúcar,nouns,2.15
2393,s'arrêter,esperar,verbs,2.9
2394,culture,sociedad,nouns,2.55
2395,citron,té,nouns,1.05
2396,dune,desierto,nouns,2.9
2397,astronomique,masivo,adjectives,2.35
2398,examiner,inspeccionar,verbs,5.35
2399,chasser,seguir,verbs,3.2
2400,se comporter,obedecer,verbs,3.15
2401,concrètement,idealmente,adverbs,1.25
2402,observer,mirar,verbs,4.95
2403,laid,sucio,adjectives,0.6
2404,écran,monitor,nouns,5.2
2405,tirer,empujar,verbs,2.15
2406,merveilleux,hermoso,adjectives,3.8
2407,soleil,cielo,nouns,1.7
2408,pull-over,algodón,nouns,1.25
2409,robotique,simulación,nouns,1.2
2410,taille,magnitud,nouns,4.5
2411,juger,testificar,verbs,1.4
2412,femme,bañera,nouns,0.15
2413,force,resistencia,nouns,3.25
2414,porter,romper,verbs,0.1
2415,frais,antiguo,adjectives,0.15
2416,mal,genial,adjectives,0.35
2417,annoncer,proclamar,verbs,4.9
2418,donner,saber,verbs,0.55
2419,informe,amorfo,adjectives,2.75
2420,vulnérable,fácil,adjectives,1.1
2421,compagnon,compañero,nouns,4.8
2422,tricher,engañar,verbs,3.9
2423,important,necesario,adjectives,4.1
2424,penser,racionalizar,verbs,4.0
2425,inspecter,examinar,verbs,5.35
2426,air,molécula,nouns,1.45
2427,poli,apropiado,adjectives,2.6
2428,bruyamment,suavemente,adverbs,0.6
2429,astuce,bañera,nouns,0.0
2430,mosaïque,basílica,nouns,0.6
2431,vallée,río,nouns,2.3
2432,vitesse,enviar,nouns,0.2
2433,emprunter,desear,verbs,1.0
2434,pacifiquement,tranquilamente,adverbs,4.25
2435,commencer,dejar,verbs,0.9
2436,lézard,cocodrilo,nouns,3.0
2437,falaise,cola,nouns,0.05
2438,rire,reirse,verbs,5.5
2439,athlète,corredor,nouns,3.55
2440,dîner,sopa,nouns,2.65
2441,ignorer,evitar,verbs,3.45
2442,pardonner,olvidar,verbs,2.8
2443,université,campus,nouns,4.1
2444,séparer,adjuntar,verbs,0.8
2445,créer,bucear,verbs,0.1
2446,impôt,ingresos,nouns,1.4
2447,sophistiqué,maduro,adjectives,1.45
2448,frapper,atraer,verbs,0.6
2449,prêter,deber,verbs,0.75
2450,céramique,cerámica,nouns,4.75
2451,verger,avestruz,nouns,0.25
2452,permettre,refutar,verbs,0.5
2453,lit,silla,nouns,1.75
2454,shérif,policía,nouns,3.85
2455,bagage,circunnavegación,nouns,1.05
2456,ministère,sultán,nouns,0.7
2457,taquiner,herir,verbs,1.95
2458,étouffer,quemar,verbs,0.4
2459,négatif,nunca,adjectives,1.6
2460,milk-shake,jugo,nouns,3.0
2461,choix,capítulo,nouns,0.65
2462,profondément,principalmente,adverbs,1.25
2463,rester,obtener,verbs,0.2
2464,marque,club,nouns,0.7
2465,blitz,ataque,nouns,2.85
2466,longévité,banda,nouns,0.15
2467,décider,juzgar,verbs,3.5
2468,balle,raqueta,nouns,1.8
2469,laisser,esperar,verbs,0.85
2470,neige,hielo,nouns,3.7
2471,avalanche,nieve,nouns,2.15
2472,falaise,colina,nouns,2.25
2473,facilement,aproximadamente,adverbs,0.35
2474,accident,emergencia,nouns,3.1
2475,princesse,novia,nouns,1.75
2476,rugueux,frígido,adjectives,0.55
2477,lycée,clase,nouns,2.2
2478,inflexion,infección,nouns,0.25
2479,cuillère,jugo,nouns,0.6
2480,satisfaire,entretener,verbs,1.45
2481,maladie,fiebre,nouns,2.8
2482,avocat,banquero,nouns,1.6
2483,hypothèse,teoría,nouns,4.25
2484,prendre,salir,verbs,1.05
2485,aider,asistir,verbs,4.9
2486,foie,órgano,nouns,2.8
2487,honteux,culpable,adjectives,2.4
2488,instrument,violín,nouns,3.15
2489,offre,contribución,nouns,3.75
2490,boue,suciedad,nouns,2.85
2491,saison,invierno,nouns,3.25
2492,effrayé,emocionado,adjectives,1.1
2493,snowboard,esquí,nouns,3.3
2494,cuisiner,freír,verbs,3.1
2495,sûrement,obviamente,adverbs,3.15
2496,définir,aclarar,verbs,4.0
2497,prendre,poseer,verbs,2.5
2498,galaxie,astrónomo,nouns,1.75
2499,ceinture,lazo,nouns,1.9
2500,aggraver,molestar,verbs,0.75
2501,écran,fonología,nouns,0.1
2502,dissoudre,mezclar,verbs,2.75
2503,choisir,decidir,verbs,4.55
2504,jamais,negativo,adjectives,1.6
2505,père,hijo,nouns,2.15
2506,poulet,cena,nouns,1.65
2507,échouage,habitación,nouns,1.2
2508,thé,limón,nouns,1.05
2509,bocal,vaso,nouns,2.6
2510,train,tranvía,nouns,3.6
2511,journée,mañana,nouns,3.4
2512,fièvre,gripe,nouns,2.7
2513,évaluer,aprender,verbs,1.1
2514,renoncer,reprimir,verbs,1.5
2515,manager,líder,nouns,3.9
2516,cave,puerta,nouns,0.75
2517,révision,pronóstico,nouns,1.15
2518,tremblement de terre,temblor,nouns,4.7
2519,être en désaccord,estar de acuerdo,verbs,1.25
2520,alcool,ginebra,nouns,3.05
2521,solitaire,pobre,adjectives,0.65
2522,taille,estómago,nouns,0.75
2523,orthodontiste,dentista,nouns,4.45
2524,croître,encoger,verbs,0.9
2525,musique,melodía,nouns,4.55
2526,régime,ensalada,nouns,1.35
2527,éclaireur,arquero,nouns,1.5
2528,protéger,cubrir,verbs,4.35
2529,étoile,brillo,nouns,2.0
2530,haïr,despreciar,verbs,4.6
2531,nier,admitir,verbs,0.9
2532,essuyer,deteriorarse,verbs,0.4
2533,action,activo,nouns,3.3
2534,exiger,preguntar,verbs,1.3
2535,cône,vaso,nouns,0.95
2536,éviter,ignorar,verbs,3.45
2537,donner,desconocer,verbs,0.15
2538,nier,mentir,verbs,1.85
2539,épargnant,ahorro,nouns,2.85
2540,xénophobie,racismo,nouns,5.0
2541,lac,pantano,nouns,2.9
2542,manuscrit,artículo,nouns,2.4
2543,muscle,brazo,nouns,2.0
2544,évidemment,aproximadamente,adverbs,0.85
2545,larme,ojo,nouns,1.4
2546,auxiliaire,mucama,nouns,2.5
2547,épaule,cabeza,nouns,2.1
2548,laisser,aparecer,verbs,0.4
2549,herbe,espada,nouns,0.15
2550,porte,cocina,nouns,0.8
2551,marginalement,aproximadamente,adverbs,0.85
2552,croyance,flor,nouns,0.05
2553,persil,mollete,nouns,0.55
2554,passivement,seguramente,adverbs,0.35
2555,radiateur,sensor,nouns,1.1
2556,rat,ratón,nouns,4.4
2557,parler,reconocer,verbs,0.65
2558,femme,pantalones,nouns,0.2
2559,moteur,máquina,nouns,3.15
2560,chevaucher,correr,verbs,0.95
2561,maladie,peligro,nouns,1.1
2562,bois,manta,nouns,0.2
2563,voiture,fábrica,nouns,0.75
2564,chapitre,cola,nouns,0.05
2565,tapis,casa,nouns,0.8
2566,logique,inteligencia,nouns,3.65
2567,fille,niño,nouns,3.2
2568,tennis,estadística,nouns,0.5
2569,érable,árbol,nouns,4.2
2570,alcool,cerveza,nouns,3.1
2571,savoir,dar,verbs,0.55
2572,télévision,comunicación,nouns,2.1
2573,situation,circunstancia,nouns,5.4
2574,brouillard,nube,nouns,2.75
2575,neutre,indeciso,adjectives,2.3
2576,carte graphique,tarjeta madre,nouns,2.85
2577,partir,desalojar,verbs,2.5
2578,pain,harina,nouns,1.85
2579,patient,sesión,nouns,0.45
2580,dîner,pollo,nouns,1.65
2581,somme,unión,nouns,3.4
2582,rondin,madera,nouns,3.85
2583,bonbon,canela,nouns,1.15
2584,apprendre,olvidar,verbs,0.8
2585,tristesse,felicidad,nouns,1.35
2586,côte,litoral,nouns,4.8
2587,sale,estrecho,adjectives,0.1
2588,gros,nacional,adjectives,0.3
2589,se disputer,persuadir,verbs,1.05
2590,électrique,mecánico,adjectives,1.85
2591,irrégulièrement,generalmente,adverbs,1.0
2592,errer,salir,verbs,0.9
2593,taureau,becerro,nouns,2.7
2594,cabine,choza,nouns,1.6
2595,âge,belleza,nouns,0.85
2596,emballage,puerto,nouns,0.5
2597,orteil,dedo,nouns,4.4
2598,rivière,mar,nouns,2.6
2599,hostilité,agresión,nouns,3.4
2600,millionnaire,dólar,nouns,1.55
2601,cours,concurrencia,nouns,0.8
2602,triste,orgulloso,adjectives,0.7
2603,biologie,biotopo,nouns,1.5
2604,matrice,molécula,nouns,0.4
2605,télévision,cine,nouns,2.8
2606,bon marché,sucio,adjectives,0.15
2607,massivement,abiertamente,adverbs,0.7
2608,choisir,elegir,verbs,5.25
2609,disque,ordenador,nouns,1.8
2610,gens,pistola,nouns,0.25
2611,émeute,dibujo,nouns,0.2
2612,côté,fondo,nouns,1.7
2613,supposer,pretender,verbs,2.65
2614,prudemment,cuidadosamente,adverbs,3.9
2615,critique,grosero,adjectives,0.8
2616,plafond,catedral,nouns,0.45
2617,fleur,bulbo,nouns,2.15
2618,intelligence,lógica,nouns,3.65
2619,pied,mano,nouns,1.8
2620,paisiblement,orgullosamente,adverbs,0.55
2621,naturellement,antinaturalmente,adverbs,0.8
2622,sœur,hermano,nouns,3.3
2623,décourager,fallar,verbs,1.45
2624,batterie,energía,nouns,3.55
2625,souvent,a veces,adverbs,2.45
2626,crayon,historia,nouns,0.6
2627,siècle,espíritu,nouns,0.1
2628,intelligence,destreza,nouns,3.0
2629,formule,ecuación,nouns,4.05
2630,flic,sheriff,nouns,3.85
2631,évidemment,seguramente,adverbs,3.15
2632,imiter,retratar,verbs,2.15
2633,heureusement,activamente,adverbs,0.3
2634,se plaindre,discutir,verbs,2.4
2635,probablement,quizás,adverbs,4.6
2636,négativement,antinaturalmente,adverbs,1.65
2637,paille,esposa,nouns,0.15
2638,permettre,aprobar,verbs,3.35
2639,accepter,reconocer,verbs,4.95
2640,essentiel,necesario,adjectives,5.35
2641,défendre,proteger,verbs,5.25
2642,corps,pecho,nouns,1.8
2643,homme,mujer,nouns,2.15
2644,sentiment,intuición,nouns,3.75
2645,écrivain,novela,nouns,1.75
