ID,HEB,POL,PoS,score
2143,שמפניה,piwo,nouns,1.8
2144,פרק,rozdział,nouns,3.65
2145,חרב,tron,nouns,0.35
2146,סטודנט,uczeń,nouns,4.85
2147,שמחה,pokój,nouns,1.35
2148,בקביעות,czasami,adverbs,1.05
2149,לנצח,zrealizować,verbs,1.95
2150,מסודר,chaotyczny,verbs,0.5
2151,להמליץ,akceptować,verbs,0.75
2152,כלי,praca,nouns,0.75
2153,ידיד,kumpel,nouns,4.5
2154,דינוזאור,słoń,nouns,0.8
2155,דלת,korytarz,nouns,0.8
2156,פונולוגיה,ekran,nouns,0.15
2157,מאה,trunek,nouns,0.05
2158,קפלה,iglica,nouns,1.25
2159,לגרור,podnieść,verbs,1.45
2160,עצבני,młody,adjectives,0.6
2161,לשמוע,postrzegać,verbs,0.95
2162,טיפש,uparty,adjectives,0.7
2163,לאסוף,trząść,verbs,0.15
2164,רציני,śmieszny,adjectives,0.45
2165,שפעת,gorączka,nouns,1.45
2166,לשמור,dać,verbs,0.4
2167,תיבה,elektryczność,nouns,0.2
2168,בצורה יפה,życzliwie,adverbs,4.1
2169,לשתות,połykać,verbs,2.2
2170,בחירה,żyła,nouns,0.0
2171,להתווכח,wrzeszczeć,verbs,2.55
2172,חוף,kanonierka,nouns,0.6
2173,תמונה,odbicie,nouns,2.3
2174,בערך,marginalnie,adverbs,1.0
2175,באמת,znacząco,adverbs,1.1
2176,חומץ,sałatka,nouns,0.7
2177,מגמה,wulkan,nouns,1.7
2178,לדכא,frustrować,verbs,2.3
2179,לפקח,badać,verbs,3.15
2180,חוט,zachód słońca,nouns,0.0
2181,חיית מחמד,kot,nouns,2.95
2182,וריד,ramię,nouns,0.6
2183,לשקר,zaprzeczać,verbs,1.15
2184,כלא,wybór,nouns,0.4
2185,רגיל,dziwny,adjectives,0.5
2186,לעצור,kontrolować,verbs,0.55
2187,להציל,niszczyć,verbs,0.3
2188,בנדיבות,życzliwie,adverbs,2.35
2189,מורתח,gotowany,adjectives,3.5
2190,שחקן,wielościan,nouns,0.6
2191,דביק,brudny,adjectives,1.3
2192,דיאטה,jabłko,nouns,0.55
2193,תותח,pistolet,nouns,2.0
2194,טלויזיה,aktor,nouns,1.05
2195,לרדוף,śledzić,verbs,2.65
2196,אופרה,kino,nouns,1.65
2197,אורז,chłopiec,nouns,0.2
2198,לשחוק,nosić,verbs,0.25
2199,מינק,olej,nouns,0.15
2200,לחגוג,zaskoczyć,verbs,0.85
2201,כיסא,teleskop,nouns,0.15
2202,רענן,niedawny,adjectives,3.5
2203,כתב יד,książka,nouns,2.1
2204,הססני,neutralny,adjectives,1.65
2205,שגוי,precyzyjny,adjectives,0.5
2206,להמר,zakładać się,verbs,2.7
2207,לחמניה,księżniczka,nouns,0.0
2208,אינטליגנטי,bystry,adjectives,5.2
2209,תירס,ziarno,nouns,1.25
2210,ניהיליזם,film,nouns,0.15
2211,ממשלה,jaszczurka,nouns,0.05
2212,אנשים,dolar,nouns,0.05
2213,תיבה,winda,nouns,0.4
2214,צינור,samochód,nouns,0.5
2215,בערך,grubo,adverbs,1.15
2216,בנקאי,prawnik,nouns,0.8
2217,מהומה,rysunek,nouns,0.1
2218,פסיקה,rozprawa,nouns,2.05
2219,מנצח,obecność,nouns,0.05
2220,מצחיק,nudny,adjectives,0.45
2221,אבא,syn,nouns,1.55
2222,לאבד,znaleźć,verbs,0.5
2223,אנשים,cent,nouns,0.7
2224,כדור,kostium,nouns,0.4
2225,לעצבן,napadać,verbs,0.9
2226,אלים,rozzłoszczony,adjectives,1.95
2227,חוף,rafa,nouns,1.25
2228,חד,łagodny,adjectives,0.45
2229,ענן,mgiełka,nouns,1.9
2230,עמוס,ciężki,adjectives,1.2
2231,לשיר,śmiać się,verbs,0.45
2232,להימלט,uciec,verbs,5.45
2233,שוטר,szeryf,nouns,4.0
2234,ללכת,zaczynać,verbs,0.15
2235,בגדים,sukno,nouns,1.7
2236,זנב,rozdział,nouns,0.2
2237,שבבים,kursor,nouns,0.15
2238,אקדח,trik,nouns,0.15
2239,לשלב,bić,verbs,0.3
2240,בשקט,pasywnie,adverbs,1.0
2241,הדגמה,pęcherz,nouns,0.0
2242,לתקשר,modlić się,verbs,0.85
2243,נקי,niechlujny,adjectives,0.45
2244,לנתח,ewaluować,verbs,1.4
2245,בקלות,swobodnie,adverbs,1.95
2246,פלנטה,księżyc,nouns,1.7
2247,מובך,pomyślny,adjectives,0.1
2248,אחר,przeciwny,adjectives,1.1
2249,אחוה,mężczyźni,nouns,1.05
2250,מעלית,pudełko,nouns,0.4
2251,בקר,jogurt,nouns,0.65
2252,דבורה,mrówka,nouns,1.15
2253,לחקור,dążyć,verbs,0.7
2254,מאמץ,trudność,nouns,3.15
2255,מטען,opłynięcie,nouns,0.1
2256,לשלוח,otrzymywać,verbs,0.7
2257,רזה,smukły,adjectives,5.0
2258,לנפץ,rozbić,verbs,4.35
2259,לטעון,narzekać,verbs,1.7
2260,אנדרטה,rzeźba,nouns,4.6
2261,פילם,ekranizacja,nouns,3.9
2262,חברותי,miły,adjectives,3.0
2263,חוט,nić,nouns,4.3
2264,ברונכיטיס,acetaminofen,nouns,0.9
2265,מטרייה,kaliber,nouns,0.3
2266,כסף,pensja,nouns,3.45
2267,בעיקר,nieuleczalnie,adverbs,0.0
2268,תאריך,urodziny,nouns,1.75
2269,חבר,towarzysz,nouns,5.2
2270,דיכאון,dolina,nouns,0.7
2271,מוזר,osobliwy,adjectives,4.75
2272,לחנוק,przytulić,verbs,0.35
2273,בוודאי,oczywiście,adverbs,3.8
2274,קופסה,cygaro,nouns,0.35
2275,גבעה,klif,nouns,2.15
2276,שדה תעופה,kawałek,nouns,0.1
2277,טפט,tło,nouns,3.2
2278,לדרוש,dowiadywać się,verbs,0.75
2279,רע,okropny,adjectives,4.05
2280,אדם חסכן,oszczędność,nouns,1.15
2281,נסיבות,sytuacja,nouns,4.55
2282,חוקה,senat,nouns,0.95
2283,עצוב,śmieszny,adjectives,0.5
2284,גודל,cent,nouns,0.1
2285,מס,dochód,nouns,0.8
2286,ברך,kość,nouns,1.45
2287,לשכוח,przypominać,verbs,0.5
2288,סאטירה,mit,nouns,1.45
2289,לבכות,łkać,verbs,4.9
2290,דין,sędzia pokoju,nouns,3.05
2291,מהנה,wspaniały,adjectives,3.05
2292,מיץ,jabłko,nouns,0.95
2293,לאגד,zbierać,verbs,5.3
2294,מסך,monitor,nouns,4.7
2295,לשפוט,decydować,verbs,1.7
2296,לחשוב,próbować,verbs,0.5
2297,לחבק,trzymać,verbs,1.35
2298,להציל,chronić,verbs,2.9
2299,קשה,hardy,adjectives,3.7
2300,אחרת,dziwacznie,adverbs,1.05
2301,סוודר,kurtka,nouns,1.45
2302,כועס,szczęśliwy,adjectives,0.55
2303,מזג אוויר,fala,nouns,0.35
2304,בוגר,niedojrzały,adjectives,0.5
2305,רחב,wąski,adjectives,0.5
2306,לפגוע,atakować,verbs,2.65
2307,גוף,ramię,nouns,1.5
2308,להישבע,obiecywać,verbs,4.75
2309,לערבב,gotować,verbs,0.9
2310,להגן,ratować,verbs,2.9
2311,אמונה,wartość,nouns,2.05
2312,ילד,partner,nouns,1.05
2313,מלך,nepotyzm,nouns,0.95
2314,חופש,oaza,nouns,0.55
2315,חול,stopa,nouns,0.25
2316,גדול,wielki,adjectives,4.7
2317,גמיש,skromny,adjectives,0.1
2318,לחפש,znaleźć,verbs,1.15
2319,מקלדת,światło,nouns,0.0
2320,לברוח,umknąć,verbs,5.45
2321,קפיצה,płot,nouns,0.45
2322,לצרוך,ustalać,verbs,0.4
2323,הגדרה,słownik,nouns,1.55
2324,ילדה,córka,nouns,3.1
2325,סוס,wół,nouns,1.65
2326,באופן שלילי,nienaturalnie,adverbs,0.6
2327,להסתכל,obserwować,verbs,5.0
2328,דעה,wybór,nouns,1.0
2329,אסון,wypadek,nouns,4.35
2330,נשק,hełm,nouns,1.05
2331,ספורטאי,biegacz,nouns,2.45
2332,קמפיין,małpa,nouns,0.0
2333,בוקר,dzień,nouns,2.1
2334,להסביר,wyjaśniać,verbs,4.95
2335,עמק,rzeka,nouns,0.9
2336,ציון,szkoła,nouns,1.15
2337,להחליט,myśleć,verbs,1.5
2338,חבר,facet,nouns,1.5
2339,מתון,ostry,adjectives,0.45
2340,לפגוע,obrazić,verbs,4.4
2341,עמוד,słowo,nouns,0.95
2342,עצב,szczęscie,nouns,0.55
2343,מאוד,niewiarygodnie,adverbs,0.6
2344,ציפורן,kciuk,nouns,1.35
2345,פרוזדור,korytarz,nouns,5.65
2346,יקר ערך,święty,adjectives,1.5
2347,לחבר,budować,verbs,1.6
2348,פסיכולוגיה,nauka,nouns,1.9
2349,לרמות,zwieść,verbs,5.15
2350,מבחן,sylabus,nouns,0.6
2351,קדוש,cenny,adjectives,1.5
2352,בנחישות,miękko,adverbs,0.2
2353,לקרוא,rozumieć,verbs,0.95
2354,מתישהו,czasem,adverbs,1.7
2355,מדים,robótka szydełkowa,nouns,0.15
2356,חלק,ostry,adjectives,0.6
2357,להשאיר,eksmitować,verbs,0.9
2358,חולצה,kardigan,nouns,1.7
2359,זרוע,ciało,nouns,1.5
2360,אופניים,samochód,nouns,1.1
2361,מים,koronacja,nouns,0.05
2362,לזרוח,błyszczeć,verbs,4.45
2363,ציפור,jastrząb,nouns,2.9
2364,רע,nieuczciwy,adjectives,1.75
2365,כנסייה,katedra,nouns,4.1
2366,כדור,kula,nouns,2.6
2367,להמתין,odchodzić,verbs,0.2
2368,לסלוח,zapominać,verbs,1.95
2369,לקבל,akceptować,verbs,2.45
2370,קרסול,łokieć,nouns,1.4
2371,ללמוד,ewaluować,verbs,1.15
2372,נדיר,przyjazny,adjectives,0.55
2373,נדיר,rzadki,adjectives,1.5
2374,חור,porozumienie,nouns,0.0
2375,הזיה,rzeczywistość,nouns,0.65
2376,התחיל,zaczynać,verbs,5.0
2377,שריפה,apokalipsa,nouns,1.05
2378,מבנה,topologia,nouns,2.6
2379,ספסל,krzesło,nouns,2.1
2380,לקנות,dostać,verbs,0.7
2381,באופן אמין,odpowiedzialnie,adverbs,2.25
2382,כינור,gitara,nouns,1.75
2383,לפגוע,naprzykrzać się,verbs,1.9
2384,סל,piłka,nouns,0.8
2385,דבש,nabiał,nouns,0.3
2386,כדור,rakieta,nouns,0.75
2387,עגל,byk,nouns,2.3
2388,אורז,fasola,nouns,1.05
2389,תקופה,epizod,nouns,3.65
2390,גדול,narodowy,adjectives,0.35
2391,יוקרה,bogactwo,nouns,2.1
2392,בגסות,pobieżnie,adverbs,1.15
2393,בולט,oczywisty,adjectives,3.25
2394,בזהירות,niebezpiecznie,adverbs,0.45
2395,חלש,pikantny,adjectives,0.1
2396,ביולוג,mikroskop,nouns,0.9
2397,מחשב נישא,laptop,nouns,5.35
2398,להצליף,bić,verbs,3.6
2399,עסק,przemysł,nouns,2.15
2400,אוויר,hel,nouns,1.55
2401,סוף שבוע,wyścig,nouns,0.05
2402,שמיכה,łóżko,nouns,0.95
2403,צעיר,niespokojny,adjectives,0.6
2404,קיצוני,gwałtowny,adjectives,1.55
2405,לרדוף,wystraszyć,verbs,0.85
2406,צד,wierzch,nouns,0.4
2407,ללכוד,brać,verbs,1.3
2408,אופניים,skóra,nouns,0.1
2409,מעבר,przedpokój,nouns,1.35
2410,לצעוק,wrzeszczeć,verbs,4.95
2411,יין,brandy,nouns,1.85
2412,מסיבה,maska,nouns,0.7
2413,תקשורת,telewizja,nouns,1.6
2414,מאמנים,medal,nouns,0.55
2415,קהל,motłoch,nouns,4.05
2416,לאפות,smażyć,verbs,2.4
2417,גוף,krew,nouns,0.8
2418,חלבון,uchwyt,nouns,0.0
2419,לקחת,uzyskać,verbs,1.3
2420,להשיג,otrzymywać,verbs,1.95
2421,גאווה,radość,nouns,1.75
2422,סיפור,piosenka,nouns,1.5
2423,יין,alkohol,nouns,2.65
2424,מלחין,pisarz,nouns,1.4
2425,לא הוגן,okrutny,adjectives,1.35
2426,רעיון,opinia,nouns,2.05
2427,תפריט,zamówienie,nouns,1.1
2428,סוסה,koń,nouns,3.2
2429,רועש,niegrzeczny,adjectives,0.7
2430,מידע,książka,nouns,1.15
2431,יומן,formuła,nouns,0.65
2432,לקרות,robić,verbs,0.9
2433,טריק,rozmiar,nouns,0.0
2434,רפוי,giętki,adjectives,1.6
2435,ללבוש,drzeć,verbs,0.15
2436,חדר שינה,żołądek,nouns,0.05
2437,להגיד,przypomnieć,verbs,1.55
2438,להתחנן,pożyczać,verbs,0.45
2439,לעצור,gwizdać,verbs,0.15
2440,סירה,pokład,nouns,1.95
2441,תקופה,semestr,nouns,2.1
2442,צד,spód,nouns,1.05
2443,בחוזקה,oficjalnie,adverbs,0.35
2444,נחמד,hojny,adjectives,1.1
2445,ילד,ryż,nouns,0.2
2446,גשר,samochód,nouns,0.4
2447,גדר,skakanie,nouns,0.45
2448,אינסוף,zero,nouns,0.85
2449,מודעות,uwaga,nouns,2.0
2450,אור,klawiatura,nouns,0.0
2451,לשתות,wznosić,verbs,0.1
2452,מפה,kwadrat,nouns,0.45
2453,נסיכה,ciastko,nouns,0.0
2454,מועמד,zwycięzca,nouns,0.95
2455,מבולגן,brzydki,adjectives,1.15
2456,נוסחה,równanie,nouns,4.05
2457,משכורת,pieniądze,nouns,3.45
2458,בדרך כלל,rutynowo,adverbs,4.0
2459,קשה,gęsty,adjectives,0.45
2460,מכונית,fabryka,nouns,0.55
2461,גשם,mżawka,nouns,3.35
2462,קערה,ogon,nouns,0.0
2463,לבקש,ignorować,verbs,0.35
2464,רפובליקה,książę,nouns,0.45
2465,הופעה,kamea,nouns,0.2
2466,להחליט,konkludować,verbs,1.7
2467,בעל ערך,specjalny,adjectives,2.8
2468,מילת מפתח,składnia,nouns,0.65
2469,במדוייק,aktywnie,adverbs,0.95
2470,להכות,miksować,verbs,0.3
2471,היום,dzisiaj wieczorem,adverbs,1.9
2472,גוף,żołądek,nouns,1.45
2473,להפסיד,dostać,verbs,0.4
2474,להפסיק,robić,verbs,0.35
2475,הכרחי,niezbędny,adjectives,5.2
2476,משעמם,mierny,adjectives,1.25
2477,צר,szczupły,adjectives,3.05
2478,תסכול,gniew,nouns,3.55
2479,פלילי,niemoralny,adjectives,1.85
2480,קסדה,broń,nouns,1.05
2481,ספרה,cytoplazma,nouns,0.25
2482,להבהיל,nawiedzać,verbs,0.85
2483,נורא,smutno,adverbs,0.5
2484,ארנב,kot,nouns,1.2
2485,לטעון,usprawiedliwiać,verbs,3.3
2486,חצאית,zegarek,nouns,0.3
2487,מוזר,przebiegły,adjectives,0.35
2488,אי,plaża,nouns,1.5
2489,להשתתף,powiedzieć,verbs,0.3
2490,במאי,kinematografia,nouns,1.15
2491,שלג,lód,nouns,2.4
2492,סוס,klacz,nouns,3.2
2493,לבטא,powiedzieć,verbs,3.9
2494,ילד,żołnierz,nouns,0.45
2495,אדם,charakter,nouns,1.15
2496,להרוויח,zbierać,verbs,1.95
2497,להבין,satysfakcjonować,verbs,0.3
2498,יארד,cal,nouns,1.55
2499,נמלה,mucha,nouns,1.9
2500,בזמן האחרון,niedawno,adverbs,5.75
2501,נורא,szczęśliwie,adverbs,0.15
2502,קיבה,talia,nouns,0.55
2503,לחיות,przeżyć,verbs,2.9
2504,מאפין,pietruszka,nouns,0.4
2505,חבר,matka,nouns,0.85
2506,להחזיק,absorbować,verbs,0.75
2507,אסיפה,wiec,nouns,5.4
2508,גאה,biedny,adjectives,0.2
2509,רגיל,nieprawdopodobny,adjectives,0.45
2510,לתת,zaprzeczać,verbs,0.05
2511,חוטא,święty,nouns,0.45
2512,תעלול,pistolet,nouns,0.15
2513,שלפוחית,ilustracja,nouns,0.0
2514,צלב,mnich,nouns,0.8
2515,גבה,oko,nouns,0.9
2516,ישר,nieuczciwy,adjectives,0.5
2517,רעש,brzęk,nouns,2.6
2518,צמח,rolnictwo,nouns,1.0
2519,לדכא,nawalić,verbs,0.25
2520,בשר,krew,nouns,1.0
2521,נסיכה,wyspa,nouns,0.3
2522,תלותי,bezradny,adjectives,2.6
2523,ברוגע,stanowczo,adverbs,0.5
2524,גג,okno,nouns,0.75
2525,קצף,bańka,nouns,1.85
2526,אכזרי,miły,adjectives,0.4
2527,אפוקליפסה,ogień,nouns,1.05
2528,מיטה,kanapa,nouns,2.95
2529,לעודד,zniechęcać,verbs,0.5
2530,סערה,huragan,nouns,3.0
2531,טייס,glina,nouns,0.6
2532,תרנגולת,ptak,nouns,2.6
2533,לגנות,odrzucić,verbs,2.4
2534,תובע,prawnik,nouns,1.85
2535,סנט,ludzie,nouns,0.7
2536,בסיס,stopa,nouns,0.85
2537,דגל,weksylologia,nouns,1.3
2538,לפנות,wychodzić,verbs,0.9
2539,בוודאי,lokalnie,adverbs,0.1
2540,ציטופלזמה,cyfra,nouns,0.25
2541,ברור,widoczny,adjectives,3.05
2542,חלש,silny,adjectives,0.5
2543,מכונית,powóz,nouns,2.3
2544,להסכים,otrzymywać,verbs,2.45
2545,שטח,region,nouns,4.9
2546,לרוב,głównie,adverbs,4.65
2547,אבא,córka,nouns,0.9
2548,בקול רם,szalenie,adverbs,0.4
2549,חדש,nieużywany,adjectives,4.6
2550,מערך,lista,nouns,2.25
2551,סיר,urządzenie,nouns,0.55
2552,מרפק,kostka,nouns,1.4
2553,לפגוע,kopać,verbs,1.25
2554,שמש,promień,nouns,2.3
2555,כהונה,sułtan,nouns,0.7
2556,שמלה,taniec,nouns,0.35
2557,בקר,owca,nouns,1.95
2558,פיל,dinozaur,nouns,0.8
2559,מכונית,ciężarówka,nouns,3.3
2560,מלוכלך,niesamowity,adjectives,0.15
2561,גודל,trik,nouns,0.0
2562,מהיר,pośpieszny,adjectives,5.05
2563,בשר,stek,nouns,3.75
2564,לחקות,pojmać,verbs,0.15
2565,שסתום,silnik,nouns,1.85
2566,בגדים,schowek,nouns,0.6
2567,לאחרונה,realistycznie,adverbs,0.1
2568,רדיאטור,sensor,nouns,0.45
2569,באופן שגרתי,normalnie,adverbs,4.0
2570,עייף,nudny,adjectives,0.65
2571,בכנות,lojalnie,adverbs,2.15
2572,סלט,dieta,nouns,0.9
2573,לנהוג,zatrzymywać,verbs,0.45
2574,כיסא,sofa,nouns,1.7
2575,צר,biały,adjectives,0.0
2576,מחלה,gorączka,nouns,1.65
2577,להפוך,robić,verbs,0.45
2578,במיוחד,znacząco,adverbs,2.7
2579,לצבוט,walnąć,verbs,0.35
2580,מכוער,niechlujny,adjectives,1.15
2581,אינטואיציה,zmysł,nouns,4.35
2582,לדרג,zaznaczyć,verbs,1.3
2583,שיניים,kość,nouns,1.95
2584,לסגת,absorbować,verbs,0.2
2585,להתערב,spekulować,verbs,2.7
2586,לבשל,stracić,verbs,0.0
2587,באופן אחראי,niezależnie,adverbs,1.15
2588,זכות,sprawiedliwość,nouns,1.15
2589,אי,zadanie,nouns,0.0
2590,שוקולד,placek,nouns,0.7
2591,פינה,obszar,nouns,0.9
2592,מצלמה,robotnik,nouns,0.25
2593,מצביע,slajd,nouns,0.2
2594,לקבל,nabyć,verbs,1.7
2595,חוש,intuicja,nouns,4.35
2596,אף,gardło,nouns,1.0
2597,מתנגד,przeciwnik,nouns,4.65
2598,מילה,słownik,nouns,1.35
2599,משימה,słoma,nouns,0.0
2600,לרכוש,brać,verbs,1.3
2601,רחב,wąski,adjectives,0.5
2602,חיה,bestia,nouns,2.85
2603,חתול,królik,nouns,1.2
2604,בחשאי,oczywiście,adverbs,0.1
2605,להגביר,rosnąć,verbs,2.0
2606,רצפה,sufit,nouns,0.65
2607,מנהל,szef,nouns,5.35
2608,פעמיים,zawsze,adverbs,0.5
2609,לספק,rozumieć,verbs,0.3
2610,צריח,kaplica,nouns,1.25
2611,גוף,nerw,nouns,0.7
2612,בשלווה,chaotycznie,adverbs,0.2
2613,קשה,łatwy,adjectives,0.5
2614,בינוני,nudny,adjectives,1.25
2615,וריד,naczynie,nouns,2.25
2616,שפה,biodro,nouns,0.8
2617,סולטן,ministerstwo,nouns,0.7
2618,משונה,osobliwy,adjectives,3.9
2619,לבעוט,ranić,verbs,1.25
2620,רשימה,ciąg,nouns,2.25
2621,להתחזות,zakładać,verbs,0.1
2622,ביצה,jezioro,nouns,1.0
2623,אינץ',metr,nouns,1.6
2624,אפליקציה,galaktyka,nouns,0.3
2625,שמיכה,wichura,nouns,0.4
2626,לזכור,myśleć,verbs,1.15
2627,עושר,sława,nouns,1.15
2628,קיר,cegła,nouns,1.2
2629,מטרה,zwycięzca,nouns,0.6
2630,שולחן,zachód słońca,nouns,0.0
2631,חריף,słaby,adjectives,0.1
2632,בחשאי,grzecznie,adverbs,0.7
2633,מוח,krew,nouns,1.05
2634,רמז,słowo,nouns,0.8
2635,אוזון,atmosfera,nouns,2.8
2636,שביר,oziębły,adjectives,0.45
2637,לדון,argumentować,verbs,3.25
2638,צנוע,czysty,adjectives,1.0
2639,נוירוזה,umysł,nouns,0.9
2640,להרים,holować,verbs,1.45
2641,להשתתף,przyłączyć się,verbs,2.4
2642,לסמוך,nawalić,verbs,0.2
2643,גמיש,luźny,adjectives,1.6
2644,ספינת תותחים,wybrzeże,nouns,0.6
2645,להצדיק,weryfikować,verbs,2.1
2646,לחנוק,oddychać,verbs,0.5
2647,להחזיק,brać,verbs,2.0
2648,טרגדיה,śmierć,nouns,2.6
2649,להקטין,kurczyć się,verbs,3.25
2650,להאשים,kłamać,verbs,0.4
2651,אקוסטיקה,dźwięk,nouns,2.0
2652,לצעוד,stać  ,verbs,0.65
2653,תפוח,sok,nouns,0.95
2654,בקבוק,puszka,nouns,1.4
2655,ממתק,cynamon,nouns,0.65
2656,מפתח,zamek,nouns,0.95
2657,אך ורק,kompletnie,adverbs,2.0
2658,נמרצות,szczęśliwie,adverbs,0.55
2659,להבין,słuchać,verbs,1.45
2660,המנון,podbój,nouns,0.25
2661,לשקר,oskarżać,verbs,0.4
2662,תשלום,moneta,nouns,1.75
2663,להישאר,odchodzić,verbs,0.5
2664,ברידג',karta,nouns,1.2
2665,קורס,żołądek,nouns,0.0
2666,להיכשל,zniechęcać,verbs,0.25
2667,כתר,klucz,nouns,0.05
2668,מבולגן,uporządkowany,adjectives,0.5
2669,מטלה,zadanie,nouns,5.15
2670,לווה,kredyt,nouns,1.45
2671,לבחון,skontrolować,verbs,3.15
2672,נזיר,krzyż,nouns,0.8
