ID,HEB,RUS,PoS,score
668,קצר,длинный,adjectives,0.55
669,לנסות,думать,verbs,0.4
670,בקלות,ярко,adverbs,0.4
671,כוכב,планета,nouns,3.25
672,אשראי,заёмщик,nouns,1.7
673,סוס,собака,nouns,0.8
674,להקשיב,слышать,verbs,3.35
675,לחשוב,обосновывать,verbs,1.5
676,קערה,хвост,nouns,0.0
677,מדליה,тренери,nouns,0.65
678,אריג,одежда,nouns,1.95
679,לבעוט,ушибить,verbs,1.85
680,רעיה,цент,nouns,0.0
681,לטעון,жаловаться,verbs,1.3
682,פסגה,низ,nouns,0.65
683,פח,металл,nouns,1.65
684,לחיות,выживать,verbs,2.25
685,אמא,подруга,nouns,1.05
686,חוקה,император,nouns,0.5
687,תותח,ружье,nouns,2.3
688,מזכירה,женщина,nouns,1.05
689,מסכן,гордый,adjectives,0.15
690,שולחן,закат,nouns,0.0
691,במהירות,срочно,adverbs,3.35
692,קשה,простой,adjectives,0.4
693,להפסיד,проваливать,verbs,2.3
694,להצדיק,думать,verbs,1.5
695,בינוני,плохой,adjectives,0.95
696,בשר,бекон,nouns,2.4
697,היום,сегодня ночью,adverbs,1.5
698,בקבוק,банка,nouns,2.15
699,בטן,курс,nouns,0.1
700,קשה,легкий,adjectives,0.55
701,שמיים,вселенная,nouns,1.6
702,זול,грязный,adjectives,0.4
703,לאמת,обосновывать,verbs,2.8
704,להניח,давать,verbs,0.75
705,אמונה,цветок,nouns,0.05
706,קיר,кирпич,nouns,1.35
707,הר געש,магма,nouns,1.65
708,שחיתות,мошенничество,nouns,2.85
709,מידע,энтропия,nouns,0.85
710,סילון,самолет,nouns,1.45
711,יקר,стеснительный,adjectives,0.05
712,פרווה,норка,nouns,2.5
713,המנון,солома,nouns,0.0
714,לדחוף,тянуть,verbs,0.8
715,חוקי,безопасный,adjectives,1.05
716,צמח,сельское хозяйство,nouns,1.25
717,בסיס,кислота,nouns,0.65
718,תיבה,будка,nouns,3.55
719,דלת,коридор,nouns,1.05
720,משעמם,смешной,adjectives,0.5
721,פעילות,игра,nouns,2.35
722,ילדותי,взрослый,adjectives,0.55
723,פורל,гитара,nouns,0.05
724,דולר,миллионер,nouns,1.2
725,לריב,противоречить,verbs,1.0
726,מחבט,мяч,nouns,1.25
727,בינוני,скучный,adjectives,1.75
728,הדגמה,волдырь,nouns,0.0
729,לתאר,уведомлять,verbs,0.45
730,גרון,язык,nouns,0.95
731,להצליח,побеждать,verbs,1.95
732,טיפול,бихевиоризм,nouns,0.9
733,בקול רם,безумно,adverbs,0.35
734,לנחור,проснуться,verbs,0.6
735,רגיל,странный,adjectives,0.55
736,שמיכה,шторм,nouns,0.4
737,מוסיקה,мелодия,nouns,3.85
738,בניין,комната,nouns,1.1
739,להסביר,прояснять,verbs,3.6
740,אמא,опекунша,nouns,0.8
741,שטיח,дом,nouns,0.9
742,מעולה,ужасный,adjectives,0.4
743,חלש,мощный,adjectives,0.55
744,פוליטיקאי,президент,nouns,2.2
745,ריאה,печень,nouns,1.1
746,שקיעה,строка,nouns,0.0
747,לערבב,пить,verbs,0.5
748,להשאיל,хотеть,verbs,0.1
749,להבחין,слышать,verbs,1.7
750,אחות,брат,nouns,2.15
751,מנייה,актив,nouns,2.6
752,נהר,море,nouns,1.5
753,ים,цунами,nouns,1.1
754,אלכוהול,коктейль,nouns,2.1
755,לקבוע,предсказывать,verbs,1.05
756,לסגור,срыгивать,verbs,0.05
757,חולי,инфекция,nouns,2.55
758,שעועית,рис,nouns,1.05
759,לספוג,иметь,verbs,0.3
760,פשוט,видимо,adverbs,1.0
761,מושב,наклон,nouns,0.05
762,חוטא,святой,nouns,0.6
763,קהל,орава,nouns,4.2
764,אורז,боб,nouns,1.05
765,לגמוע,глотать,verbs,2.85
766,שמח,рассерженный,adjectives,0.55
767,מרתף,дверь,nouns,0.75
768,רגש,страсть,nouns,2.7
769,מכונית,подъемник,nouns,0.8
770,זכוכית,хрусталь,nouns,2.55
771,צר,широкий,adjectives,0.55
772,רכבת,трамвай,nouns,2.15
773,אצבע,ладонь,nouns,1.35
774,ביתן,коттедж,nouns,4.25
775,קצב,мелодия,nouns,3.15
776,התעמלות,фехтование,nouns,0.85
777,אינטליגנציה,проницательность,nouns,2.1
778,פשוט,трудный,adjectives,0.4
779,עובדה,суть,nouns,2.65
780,משועמם,скучный,adjectives,2.2
781,נוקשה,легкий,adjectives,0.4
782,תהילה,богатство,nouns,1.35
783,להצליח,пытаться,verbs,1.0
784,מלך,правитель,nouns,4.15
785,ספר,история,nouns,1.65
786,ברך,кость,nouns,1.35
787,קורא,писатель,nouns,1.0
788,נמלה,пчела,nouns,1.0
789,מטען,кругосветное плавание,nouns,0.6
790,מנהיג,руководитель,nouns,3.7
791,אקדח,мех,nouns,0.05
792,אסטרונום,галактика,nouns,1.5
793,מצלמה,президент,nouns,0.15
794,רעיון,мнение,nouns,2.35
795,פה,зуб,nouns,1.25
796,ביתן,лагерь,nouns,1.25
797,אופניים,спальня,nouns,0.15
798,שיניים,молоток,nouns,0.05
799,לחקות,захватить,verbs,0.15
800,עבודת יד,традиция,nouns,0.9
801,לשכוח,знать,verbs,0.55
802,חבילה,грузовик,nouns,0.5
803,חוקי,допущенный,adjectives,3.55
804,לטאה,правительство,nouns,0.05
805,להפריד,прикреплять,verbs,0.5
806,שופט,судья,nouns,1.8
807,תזמורת,парад,nouns,1.45
808,להרגיש,верить,verbs,1.2
809,חדשות,редакционный,nouns,1.35
810,מכונית,автострада,nouns,1.25
811,אמא,жена,nouns,2.2
812,פשע,мошенничество,nouns,2.1
813,מתכת,олово,nouns,1.65
814,ישן,свежий,adjectives,0.55
815,תמונה,отражение,nouns,1.85
816,ברוגע,мирно,adverbs,5.0
817,תוקפנות,враждебность,nouns,4.7
818,דקה,секунда,nouns,1.7
819,רועש,грубый,adjectives,0.9
820,קנקן,бутылка,nouns,2.15
821,אמיתי,фальшивый,adjectives,0.65
822,חולדה,мышь,nouns,2.3
823,סאטירה,миф,nouns,0.9
824,למצוא,обнаруживать,verbs,4.4
825,לשאוף,предрешать,verbs,0.1
826,להניח,вешать,verbs,0.8
827,נרגש,испуганный,adjectives,0.7
828,ארכיבישוף,епископ,nouns,2.9
829,ליידע,сообщать,verbs,4.8
830,קלף,бридж,nouns,1.2
831,לעזוב,прибывать,verbs,0.45
832,רופא,полковник,nouns,0.3
833,אף,рот,nouns,1.0
834,חריף,слабый,adjectives,0.1
835,טלויזיה,актер,nouns,1.15
836,לשוחח,объяснять,verbs,1.2
837,לתת,одалживать,verbs,1.9
838,גשם,морось,nouns,3.7
839,סילבוס,экзамен,nouns,0.8
840,גמיש,движимый,adjectives,1.05
841,סטייק,курятина,nouns,1.55
842,מתנגד,соперник,nouns,3.65
843,גודל,глубина,nouns,1.55
844,חסר ביטחון,нуждающийся,adjectives,0.65
845,אגודל,ноготь,nouns,1.5
846,הונאה,коррупция,nouns,2.85
847,רומן,писатель,nouns,1.25
848,מוט,занавеска,nouns,1.1
849,בוגר,незрелый,adjectives,0.55
850,לקבל,отказывать,verbs,0.45
851,אלכוהול,пиво,nouns,2.2
852,משוגע,больной,adjectives,1.35
853,אינטימי,личный,adjectives,4.35
854,שיבולת שועל,поле,nouns,1.4
855,גרף,диаграмма,nouns,4.15
856,תשלום,примечание,nouns,0.0
857,לעזוב,отходить,verbs,3.0
858,לטייל,лазить,verbs,1.2
859,אצן,спортсмен,nouns,2.15
860,ללחוש,говорить,verbs,1.7
861,לגנוב,давать,verbs,0.4
862,סיגריה,табак,nouns,1.75
863,ביושר,искренне,adverbs,4.9
864,רופא,ортодонт,nouns,4.95
865,להתמוסס,плавиться,verbs,1.85
866,באמת,совершенно,adverbs,1.7
867,לרכוש,получать,verbs,2.08
868,חוזה,соглашение,nouns,4.85
869,לבחוש,встряхивать,verbs,1.8
870,מנצח,чемпион,nouns,4.2
871,לרחף,петь,verbs,0.25
872,יד,ступня,nouns,0.85
873,מבחן,учебный план,nouns,0.8
874,עוגן,лодка,nouns,1.15
875,נורא,счастливо,adverbs,0.25
876,לאמת,говорить,verbs,0.7
877,באדיבות,мило,adverbs,4.15
878,תקופה,семестр,nouns,2.15
879,לחנך,учить,verbs,3.4
880,לבזבז,беспокоиться,verbs,0.1
881,קורה,древесина,nouns,2.5
882,בעצם,обязательно,adverbs,0.75
883,צנוע,пристыженный,adjectives,1.2
884,להפסיק,делать,verbs,0.45
885,סוודר,хлопок,nouns,1.05
886,לשפוט,обвинять,verbs,2.75
887,להתכנס,посещать,verbs,1.0
888,הודו,курица,nouns,1.3
889,צופר,автомобиль,nouns,1.1
890,טרי,старый,adjectives,0.55
891,מורה,раввин,nouns,1.7
892,יופי,возраст,nouns,0.8
893,להגיד,напоминать,verbs,1.35
894,זחל,шелкопряд,nouns,2.6
895,באופן אידיאלי,реалистично,adverbs,0.7
896,קבל,диод,nouns,1.65
897,רעד,землетрясение,nouns,1.75
898,לימון,яблоко,nouns,1.4
899,לאשר,принимать,verbs,3.45
900,צבא,флот,nouns,2.9
901,מוזר,обычный,adjectives,0.55
902,סופני,в основном,adverbs,0.15
903,להתווכח,убеждать,verbs,2.55
904,זרע,мельница,nouns,0.95
905,חג,календарь,nouns,1.15
906,עליון,пятый,adjectives,0.25
907,לגלות,осознавать,verbs,2.0
908,סוס,кобыла,nouns,3.85
909,להבין,слушать,verbs,1.2
910,לבנות,создавать,verbs,3.7
911,חימום מחדש,прогрев,nouns,3.1
912,מאמץ,трудность,nouns,2.1
913,לחזות,определять,verbs,1.05
914,מעסיק,работник,nouns,1.25
915,תקרה,пол,nouns,0.9
916,ג'ויסטיק,радар,nouns,0.35
917,מובך,счастливый,adjectives,0.05
918,לדאוג,тратить,verbs,0.1
919,לעקל,стараться,verbs,0.1
920,בבית,далеко,adverbs,0.65
921,קתדרלה,церковь,nouns,4.0
922,קורה,дерево,nouns,2.7
923,תא,телефон,nouns,0.75
924,בושה,печаль,nouns,0.9
925,לפזול,пялиться,verbs,1.1
926,המון,толпа,nouns,4.2
927,למשוך,ударять,verbs,0.45
928,רובה,пушка,nouns,2.3
929,גדול,национальный,adjectives,0.4
930,לדעת,понимать,verbs,1.95
931,להקשיב,говорить,verbs,0.65
932,הכרחי,неотъемлемый,adjectives,4.3
933,כיסא,табуретка,nouns,3.1
934,להביא,посылать,verbs,0.7
935,אבן,дерево,nouns,0.5
936,אחוה,мужчины,nouns,0.7
937,מטומטם,глупый,adjectives,4.1
938,לעדכן,информировать,verbs,4.8
939,להתכווץ,расти,verbs,0.65
940,עצוב,гордый,adjectives,0.3
941,כן,виноватый,adjectives,0.3
942,מנצח,кандидат,nouns,1.0
943,חרב,трон,nouns,0.4
944,שיעורי בית,сочинение,nouns,1.9
945,נושא,книга,nouns,0.82
946,להפסיד,получать,verbs,0.4
947,ללכוד,подражать,verbs,0.15
948,לתת,отказывать,verbs,0.1
949,צוות,вокалист,nouns,0.05
950,טייס משנה,кокпит,nouns,0.9
951,לעיתים קרובות,иногда,adverbs,1.25
952,להסריח,понюхать,verbs,0.65
953,עוף,рис,nouns,0.85
954,קמפוס,университет,nouns,1.9
955,ייחודי,противоположный,adjectives,0.3
956,בערך,очевидно,adverbs,0.4
957,שיניים,рот,nouns,1.25
958,פרח,луковица,nouns,1.25
959,ראש,президент,nouns,1.45
960,מילת מפתח,синтаксис,nouns,0.6
961,ילד,мальчик,nouns,3.1
962,חתול,лев,nouns,1.35
963,מתון,острый,adjectives,0.45
964,תג,стекло,nouns,0.2
965,מדוייק,неправильный,adjectives,0.5
966,כיסא,кровать,nouns,0.7
967,קרטון,бумага,nouns,2.65
968,ערמומי,ненадёжный,adjectives,2.1
969,תחזית,облако,nouns,1.0
970,להראות,становиться,verbs,0.65
971,באופן מציאותי,идеально,adverbs,0.7
972,בעדינות,теперь,adverbs,0.0
973,מכולה,бутылка,nouns,0.5
974,שטח,зона,nouns,4.25
975,במאי,кинематография,nouns,1.2
976,מחלבה,мед,nouns,0.35
977,קפה,боб,nouns,1.1
978,משחק,сноровка,nouns,1.2
979,לחשוק,хотеть,verbs,4.85
980,מעיל,одежда,nouns,1.73
981,שלג,лёд,nouns,2.6
982,תפוח,солнце,nouns,0.0
983,לרצות,умолять,verbs,0.8
984,להיכשל,полагаться,verbs,0.2
985,שיכור,трезвый,adjectives,0.55
986,אינסוף,ноль,nouns,0.8
987,בבטחה,счастливо,adverbs,0.35
988,בשקט,естественно,adverbs,0.25
989,בלבול,истерика,nouns,1.55
990,אופניים,автомобиль,nouns,1.25
991,סיגר,пачка,nouns,0.8
992,שארית,разница,nouns,1.75
993,המון,парад,nouns,1.6
994,עז,корова,nouns,1.1
995,להקה,спиртное,nouns,0.15
996,דלת,ворота,nouns,3.95
997,דירה,мебель,nouns,0.95
998,לעיתים רחוקות,никогда,adverbs,1.45
999,זר,пришелец,nouns,2.7
1000,הברה,лемма,nouns,0.95
1001,הבדל,остаток,nouns,1.75
1002,להביא,приходить,verbs,0.55
1003,לעולם לא,редко,adverbs,1.45
1004,לייבב,плакать,verbs,4.65
1005,כף,сок,nouns,0.4
1006,מטרה,поиск,nouns,1.05
1007,דלת,окно,nouns,1.05
1008,שקיעה,стол,nouns,0.0
1009,מרפק,кость,nouns,1.4
1010,להתווכח,обсуждать,verbs,2.55
1011,גלובליזם,виза,nouns,0.55
1012,לקבל,принимать,verbs,3.0
1013,תא,кабинка,nouns,3.55
1014,נפלא,потрясающий,adjectives,4.85
1015,להסכים,получать,verbs,3.0
1016,שריף,полицейский,nouns,4.4
1017,להרים,тащить,verbs,1.3
1018,מטוס,простынь,nouns,0.0
1019,למנות,избирать,verbs,1.25
1020,כפל,деление,nouns,1.3
1021,קושי,усилие,nouns,2.1
1022,מרוץ,философ,nouns,0.0
1023,מלח,вода,nouns,0.75
1024,סירה,палуба,nouns,1.6
1025,מילה,словарь,nouns,1.35
1026,אלסטי,гибкий,adjectives,4.9
1027,בבטחה,тайно,adverbs,0.45
1028,מעיל,свитер,nouns,1.6
1029,חלבון,ручка,nouns,0.0
1030,מים,коронация,nouns,0.05
1031,משפט,проверка,nouns,1.15
1032,יין,бренди,nouns,1.8
1033,כיתה,колледж,nouns,1.15
1034,רשמית,сильно,adverbs,0.2
1035,טיעון,критика,nouns,1.35
1036,קל,трудный,adjectives,0.57
1037,חץ,мишень,nouns,1.25
1038,ידיד,приятель,nouns,4.2
1039,נסיכה,король,nouns,1.45
1040,למות,распадаться,verbs,0.65
1041,להעריץ,восхищаться,verbs,3.85
1042,קל,большой,adjectives,0.35
1043,גודש,множество,nouns,4.05
1044,חור,жена,nouns,0.0
1045,שדה תעופה,самолет,nouns,1.25
1046,סירה,мотор,nouns,1.1
1047,בלדה,песня,nouns,3.85
1048,רע,посредственный,adjectives,0.95
1049,דלת,проем,nouns,2.9
1050,מבנה,топология,nouns,2.6
1051,לדכא,проваливать,verbs,0.45
1052,לאחר מכן,никогда,adverbs,0.35
1053,שורש,трава,nouns,1.0
1054,ציון,школа,nouns,1.25
1055,לצלול,создавать,verbs,0.1
1056,בוודאי,грубо,adverbs,0.4
1057,מהומה,рисование,nouns,0.1
1058,לשלם,купить,verbs,1.8
1059,ברור,заметный,adjectives,2.95
1060,לציית,наказывать,verbs,0.5
1061,לוחמנות,бой,nouns,2.55
1062,להתחיל,идти,verbs,0.3
1063,רעידת אדמה,тремор,nouns,1.75
1064,לא צפוי,неожиданный,adjectives,5.5
1065,חדר,здание,nouns,1.1
1066,בולט,очевидный,adjectives,2.95
1067,עצלן,драгоценный,adjectives,0.0
1068,פאסיבי,агрессивный,adjectives,0.35
1069,גבר,охранник,nouns,0.85
1070,מקלחת,монастырь,nouns,0.0
1071,אקזוטי,редкий,adjectives,4.85
1072,להודיע,провозглашать,verbs,4.55
1073,אנשים,население,nouns,3.05
1074,רגיל,невежественный,adjectives,0.1
1075,כלייה,орган,nouns,2.15
1076,לגלם,притворяться,verbs,3.5
1077,קמפיין,обезьяна,nouns,0.0
1078,בשמחה,активно,adverbs,0.35
1079,להקטין,сжиматься,verbs,3.1
1080,אקדח,сержант,nouns,0.6
1081,מפוחד,неуверенный,adjectives,1.35
1082,אח,человек,nouns,0.6
1083,מובך,расстроенный,adjectives,1.0
1084,שמח,рассерженный,adjectives,0.5
1085,בן,ребенок,nouns,3.1
1086,זנב,затылок,nouns,0.9
1087,נסיכה,бисквит,nouns,0.0
1088,כאוס,урок,nouns,0.2
1089,מאמן,игрок,nouns,0.95
1090,מלוכלך,удивительный,adjectives,0.15
1091,גמור,совершенный,adjectives,2.75
1092,מינק,масло,nouns,0.35
1093,מוטציה,социобиология,nouns,0.65
1094,פסגה,бок,nouns,0.45
1095,הסכם,прореха,nouns,0.0
1096,כבידה,метеор,nouns,0.6
1097,משונה,необычный,adjectives,3.75
1098,טיפשי,тупой,adjectives,4.0
1099,מרוץ,выходные,nouns,0.05
1100,שיעור,беспорядок,nouns,0.2
1101,לבשל,потерять,verbs,0.0
1102,סוללה,энергия,nouns,1.95
1103,להאשים,толкать,verbs,0.2
1104,בקוצר רוח,грубо,adverbs,0.55
1105,לארגן,становиться,verbs,0.7
1106,קדוש,грешник,nouns,0.6
1107,באדיבות,щедро,adverbs,2.35
1108,חמישי,первый,adjectives,0.25
1109,מידע,книга,nouns,1.4
1110,לחם,мука,nouns,1.4
1111,אופנה,стиль,nouns,3.25
1112,אלון,клен,nouns,1.4
1113,אלפבית,ручка,nouns,0.65
1114,סטטיסטיקה,теннис,nouns,0.1
1115,לצמוח,сжиматься,verbs,0.65
1116,טפטוף,дождь,nouns,3.7
1117,סיפון,судно,nouns,1.6
1118,סוציוביולוגיה,мутант,nouns,0.65
1119,חרד,испуганный,adjectives,4.25
1120,לארגן,устраивать,verbs,4.75
1121,העולם הבא,чистилище,nouns,1.95
1122,בטבעיות,тихо,adverbs,0.25
1123,שלום,солдат,nouns,0.7
1124,סיוף,гимнастика,nouns,0.85
1125,מטאור,сила тяжести,nouns,0.6
1126,שד,ангел,nouns,0.75
1127,כוח,мощь,nouns,4.55
1128,לבחור,назначать,verbs,1.25
1129,רצועה,износоустойчивость,nouns,0.1
1130,שריר,язык,nouns,1.1
1131,מעסיק,работник,nouns,1.25
1132,מונית,автомобиль,nouns,2.75
1133,להשפיל,утешать,verbs,0.4
1134,מכרה,камень,nouns,0.9
1135,חקלאות,растение,nouns,1.25
1136,להתחנן,просить,verbs,3.95
1137,שביל,тоннель,nouns,1.2
1138,מלוכלך,липкий,adjectives,1.35
1139,ביישן,напуганный,adjectives,1.15
1140,לנשל,давать,verbs,0.45
1141,קהל,группа,nouns,3.1
1142,בועה,пена,nouns,1.85
1143,צנצנת,чашка,nouns,1.7
1144,מנהל,глава,nouns,3.7
1145,שחקן,телевидение,nouns,1.15
1146,יום,рассвет,nouns,1.55
1147,תפוח,диета,nouns,0.8
1148,אחרת,терминально,adverbs,0.15
1149,תאורמה,теория,nouns,1.45
1150,ליקר,век,nouns,0.0
1151,חצי אי,остров,nouns,1.95
1152,פסל,статуя,nouns,4.0
1153,עכבר,крыса,nouns,2.3
1154,מהיר,скорый,adjectives,5.05
1155,עייף,скучный,adjectives,0.75
1156,להזכיר,забывать,verbs,0.5
1157,מבולגן,уродливый,adjectives,0.65
1158,נווה מדבר,свобода,nouns,0.35
1159,שמחה,печаль,nouns,0.6
1160,תרנגולת,индейка,nouns,1.3
1161,רדיאטור,датчик,nouns,0.6
1162,מנטה,жвачка,nouns,0.75
1163,נבט,лист,nouns,1.35
1164,לדחות,заканчивать,verbs,0.4
1165,ג'ינס,женщина,nouns,0.45
1166,יין,алкоголь,nouns,2.1
1167,סירה,дерево,nouns,0.85
1168,הנהלה,работа,nouns,1.25
1169,מורכב,легкий,adjectives,0.55
1170,לציית,слушать,verbs,2.3
1171,ספרה,цитоплазма,nouns,0.25
1172,לשון,горло,nouns,0.95
1173,אפליקציה,галакси,nouns,0.6
1174,מתוק,электрический,adjectives,0.0
1175,ניטרלי,спокойный,adjectives,1.8
1176,למכור,продаваться,verbs,0.45
1177,מצעד,толпа,nouns,1.6
1178,כעס,досада,nouns,2.55
1179,לאומי,известный,adjectives,0.65
1180,לימודים,класс,nouns,1.25
1181,לתת,вкладывать,verbs,0.75
1182,לבקש,искать,verbs,0.65
1183,להביא,жаловаться,verbs,0.1
1184,לאתר,находить,verbs,4.4
1185,עיתון,информация,nouns,1.85
1186,חלון,облако,nouns,0.5
1187,לסלוח,забывать,verbs,1.55
1188,טלויזיה,коммуникация,nouns,2.05
1189,צעיר,неугомонный,adjectives,0.65
1190,הדיינות,дипломатия,nouns,1.85
1191,באופן פסיבי,активно,adverbs,0.3
1192,עצלן,занятый,adjectives,0.45
1193,אומללות,отчаяние,nouns,2.35
1194,דולר,народ,nouns,0.05
1195,לפנות,покидать,verbs,0.8
1196,לרעוד,замерзать,verbs,1.6
1197,עשור,век,nouns,0.95
1198,היגיון,арифметика,nouns,1.25
1199,להמתין,покидать,verbs,0.3
1200,כיסא,телескоп,nouns,0.15
1201,כדורעף,мяч,nouns,1.65
1202,בעיקר,терминально,adverbs,0.15
1203,באופן ידידותי,навряд ли,adverbs,0.0
1204,גיל,красота,nouns,0.8
1205,עסוק,ленивый,adjectives,0.45
1206,מאמר מערכת,новости,nouns,1.35
1207,היסטוריוגרף,историк,nouns,3.0
1208,תחתית,бок,nouns,1.05
1209,כרס,брюшко,nouns,4.7
1210,תפוח,лимон,nouns,1.4
1211,להפציר,просить,verbs,3.75
1212,בליץ,атака,nouns,3.3
1213,להפסיק,начинать,verbs,0.55
1214,יוצר,автор,nouns,4.2
1215,בחוזקה,официально,adverbs,0.2
1216,לאבד,готовить,verbs,0.0
1217,אחווה,бейсбол,nouns,0.55
1218,להתפלל,общаться,verbs,0.8
1219,כיתה,коридор,nouns,0.8
1220,מוסלמי,епископ,nouns,0.8
1221,חגורה,петля,nouns,1.1
1222,לחמניה,принцесса,nouns,0.0
1223,לשכוח,узнавать,verbs,0.55
1224,טרי,новый,adjectives,3.45
1225,כניסה,выход,nouns,2.15
1226,טבעת,помолвка,nouns,1.7
1227,לכאורה,просто,adverbs,1.0
1228,סנט,народ,nouns,0.65
1229,בינוני,незначительный,adjectives,1.85
1230,מזוייף,искусственный,adjectives,3.75
1231,לרדת,уменьшаться,verbs,0.9
1232, קפלה,кабель,nouns,0.0
1233,עצם,лодыжка,nouns,1.5
1234,איש,подозреваемый,nouns,0.5
1235,יופי,сонет,nouns,0.25
1236,עצם,шея,nouns,0.75
1237,לחלוטין,минимально,adverbs,0.45
1238,שמש,небо,nouns,1.2
1239,להבין,знать,verbs,1.95
1240,לאבד,находить,verbs,0.5
1241,טלה,овца,nouns,3.25
1242,קל,жесткий,adjectives,0.4
1243,ספר,тема,nouns,0.82
1244,חדש,новый,adjectives,2.7
1245,מסך,монитор,nouns,4.3
1246,להתחבק,прижиматься,verbs,3.15
1247,לצעוק,вопить,verbs,4.8
1248,להבין,обнаруживать,verbs,2.0
1249,מייפל,дуб,nouns,1.4
1250,להרשות,опровергать,verbs,0.15
1251,גבינה,хлеб,nouns,0.75
1252,להתכנס,встречаться,verbs,4.25
1253,ציפורן,кисть,nouns,1.2
1254,מועסק,работодатель,nouns,1.25
1255,זיהום,болезнь,nouns,2.75
1256,אקדח,рассвет,nouns,0.0
1257,בחירה,тюрьма,nouns,0.35
1258,וקטור,матрица,nouns,2.05
1259,בגסות,приблизительно,adverbs,1.2
1260,דרך,действие,nouns,1.35
1261,לעזור,ассистировать,verbs,5.3
1262,חשבון,ритм,nouns,0.2
1263,פיל,компас,nouns,0.0
1264,דבורה,насекомое,nouns,1.95
1265,מנצח,человек,nouns,0.85
1266,למנוע,отвергать,verbs,1.05
1267,זמר,штат сотрудников,nouns,0.05
1268,גוף,рука,nouns,1.3
1269,רטוב,липкий,adjectives,0.95
1270,וויסקי,джин,nouns,2.55
1271,לקבל,рекомендовать,verbs,0.8
1272,מצוין,плохой,adjectives,0.45
1273,פוטבול,футбол,nouns,2.75
1274,עמוד,абзац,nouns,1.55
1275,לבקש,умолять,verbs,3.95
1276,לב,операция,nouns,0.85
1277,עייף,голодный,adjectives,0.7
1278,לשמוע,воспринимать,verbs,1.7
1279,מקלדת,свет,nouns,0.0
1280,להתחיל,прекращать,verbs,0.55
1281,גוף,позвоночник,nouns,1.5
1282,שמיכה,дерево,nouns,0.15
1283,באופן לא סדיר,обычно,adverbs,0.5
1284,לשון,мускул,nouns,1.1
1285,אנשים,партия,nouns,1.45
1286,משימה,примечание,nouns,0.7
1287,קדרות,керамика,nouns,3.95
1288,פרוזדור,класс,nouns,0.8
1289,אמבטיה,спальня,nouns,0.9
1290,גשש,лучник,nouns,0.4
1291,לנצח,завершать,verbs,1.1
1292,להיפגש,собираться,verbs,4.25
1293,באופטימיות,возможно,adverbs,0.85
1294,לנסוג,покидать,verbs,3.0
1295,ללא הגיון,несправедливо,adverbs,1.55
1296,לאמוד,анализировать,verbs,2.85
1297,שפה,рот,nouns,1.35
1298,חתול,собака,nouns,0.95
1299,נשיא,загрязнение,nouns,0.05
1300,עקומה,угол,nouns,2.7
1301,לעקוב,гнаться,verbs,2.35
1302,מקהלה,церковь,nouns,1.4
1303,אבקן,опыление,nouns,1.65
1304,רע,безнравственный,adjectives,2.2
1305,אזור,область,nouns,4.4
1306,הצגה,математик,nouns,0.05
1307,הסכמה,спор,nouns,0.75
1308,להתעלם,забывать,verbs,1.75
1309,זכות,правосудие,nouns,1.1
1310,לסייע,помогать,verbs,5.3
1311,האבקה,тычинка,nouns,1.65
1312,תחזית,облачность,nouns,1.25
1313,לשקר,обвинять,verbs,0.5
1314,מאפין,петрушка,nouns,0.5
