ID,HEB,SPA,PoS,score
1,בגדים,capa,nouns,1.7
2,להרוג,lucha,verbs,0.75
3,גבה,ojo,nouns,0.85
4,מוח,nervio,nouns,0.85
5,שטח,región,nouns,4.3
6,לסמוך,depender,verbs,2.7
7,זהב,zinc,nouns,1.5
8,לוח שנה,vacaciones,nouns,1.35
9,לקבור,morir,verbs,1.1
10,רוח,chubasco,nouns,1.95
11,לשכוח,recordar,verbs,0.55
12,אלסטי,flexible,adjectives,4.9
13,מרחק,perspectiva,nouns,2.1
14,תלמיד,profesor,nouns,1.05
15,דלת,campana,nouns,0.7
16,לקבל,tomar,verbs,1.3
17,דגל,polo,nouns,0.9
18,עוגן,bote,nouns,1.2
19,להיפגש,saludar,verbs,0.6
20,זרוע,hombro,nouns,1.45
21,לקצור,ganancia,verbs,1.55
22,פרקליט,abogado,nouns,4.6
23,להרוויח,recoger,verbs,1.55
24,אקדח,gente,nouns,0.35
25,כנסייה,coro,nouns,1.35
26,ביצה,lago,nouns,2.1
27,מטבע,pago,nouns,1.95
28,לאפות,freír,verbs,1.75
29,ארכיבישוף,obispo,nouns,3.05
30,זרע,molino,nouns,1.2
31,הורה,padre,nouns,4.15
32,ספינת תותחים,costa,nouns,0.95
33,בחור,semental,nouns,1.1
34,בייסבול,fraternidad,nouns,0.4
35,ביולוג,microscopio,nouns,1.2
36,עצבני,cierto,adjectives,0.2
37,לפתור,terminar,verbs,2.55
38,רע,estupendo,adjectives,0.35
39,מרק,cena,nouns,1.95
40,טלויזיה,actor,nouns,0.95
41,זריז,rápido,adjectives,5.55
42,חלש,poderoso,adjectives,0.65
43,עסק,sociedad,nouns,2.55
44,רחוב,callejón,nouns,3.6
45,כסף,capital,nouns,4.35
46,כותנה,suéter,nouns,1.0
47,לשרוק,detener,verbs,0.35
48,בוודאי,claramente,adverbs,3.35
49,לבקש,rezar,verbs,2.0
50,שמיים,universo,nouns,1.55
51,מותר,legal,adjectives,4.2
52,אחווה,puerta,nouns,0.2
53,קערה,plato,nouns,2.6
54,נמלה,abeja,nouns,1.2
55,לסיים,competir,verbs,0.2
56,אי,armada,nouns,0.4
57,כעס,frustración,nouns,3.8
58,לחסוך,gastar,verbs,0.55
59,עניין,conciencia,nouns,1.45
60,תותח,pistola,nouns,1.95
61,קשה,fácil,adjectives,0.6
62,סטודנט,profesor,nouns,0.9
63,אנרכיה,caos,nouns,4.05
64,כפל,división,nouns,1.2
65,אגודל,uña,nouns,1.65
66,צלחת,cuenco,nouns,2.6
67,לפעמים,seguramente,adverbs,0.5
68,לזרוח,irradiar,verbs,4.15
69,לא סביר,simpático,adverbs,0.0
70,חיל הים,isla,nouns,0.4
71,למסור,tomar,verbs,0.95
72,סטייק,pollo,nouns,2.15
73,חור,esposa,nouns,0.0
74,בית,estado,nouns,0.75
75,חוש,intuición,nouns,4.05
76,היסטריה,confusión,nouns,1.45
77,סילבוס,examen,nouns,0.65
78,שמח,alegre,adjectives,5.3
79,לחלוטין,verdaderamente,adverbs,1.2
80,זרוע,cuerpo,nouns,1.3
81,מתנגד,adversario,nouns,4.45
82,להעציב,herir,verbs,1.2
83,צוואר,espina,nouns,1.0
84,הוכחה,hecho,nouns,2.05
85,לעזור,proteger,verbs,1.4
86,לסדר,recoger,verbs,1.75
87,אגדה,moral,nouns,0.45
88,רופא,ortodoncista,nouns,2.3
89,לנתק,dividir,verbs,1.6
90,שיר,ritmo,nouns,1.55
91,שפה,boca,nouns,1.85
92,כובע,capa,nouns,0.95
93,קמפיין,mono,nouns,0.05
94,מטרייה,calentador,nouns,0.65
95,בחוכמה,maduro,adverbs,1.25
96,ספר,accidente,nouns,0.1
97,נשמה,hermano,nouns,0.25
98,פרוזדור,clase,nouns,0.55
99,כתף,brazo,nouns,1.45
100,גג,piso,nouns,1.2
101,תמימות דעים,moneda,nouns,0.75
102,סערה,nube,nouns,1.65
103,להגדיר,aclarar,verbs,3.15
104,אסטרואיד,estrella,nouns,2.3
105,תפוח,dieta,nouns,0.95
106,מהומה,dibujo,nouns,0.15
107,קישוט,pared,nouns,0.75
108,להסיק,decidir,verbs,1.95
109,מדליה,zapatillas,nouns,0.6
110,רעיון,imagen,nouns,1.25
111,להרוג,destruir,verbs,1.75
112,חשמלי,dulce,adjectives,0.0
113,מבוגר,bebé,nouns,1.0
114,תקרה,tejado,nouns,4.3
115,אישה,pantalones,nouns,0.45
116,אחווה,béisbol,nouns,0.4
117,ערפל,nube,nouns,2.55
118,מצחיק,grave,adjectives,0.45
119,פשע,fraude,nouns,2.65
120,הנהלה,administración,nouns,2.85
121,מקור,caja,nouns,0.1
122,רטוב,pegajoso,adjectives,0.95
123,קיבה,cintura,nouns,1.1
124,תמים,gratis,adjectives,0.15
125,מאה,año,nouns,1.85
126,לדכא,animar,verbs,0.65
127,להרוס,crear,verbs,0.55
128,לדעת,entender,verbs,2.9
129,לציית,castigar,verbs,0.9
130,צנוע,avergonzado,adjectives,1.35
131,עצבני,joven,adjectives,0.3
132,לקבל,negar,verbs,0.25
133,מנהל,líder,nouns,3.2
134,מצלמה,continuación,nouns,0.1
135,התחיל,empezar,verbs,5.65
136,ים,playa,nouns,2.85
137,נפלא,hermoso,adjectives,2.35
138,מוניטור,pantalla,nouns,4.6
139,סטודנט,alumno,nouns,5.35
140,טייס,policía,nouns,0.75
141,לבנה,pared,nouns,1.5
142,פרה,ganado,nouns,3.25
143,מכונית,autopista,nouns,1.4
144,קפיצה,cerca,nouns,0.55
145,להאשים,juzgar,verbs,2.7
146,מטרה,ganador,nouns,0.85
147,למצוא,desaparecer,verbs,0.65
148,זמר,actor,nouns,1.3
149,גודל,truco,nouns,0.0
150,אוטובוס,vehículo,nouns,2.2
151,וקטור,matriz,nouns,2.25
152,סכנה,enfermedad,nouns,1.0
153,ללכת,venir,verbs,1.3
154,לגעור,pedir,verbs,1.25
155,יקר,tímido,adjectives,0.25
156,מכונית,coche,nouns,5.7
157,להחזיר,traer,verbs,0.65
158,מטען,circunnavegación,nouns,0.65
159,תסכול,enfado,nouns,3.8
160,משכורת,dinero,nouns,3.65
161,גלוי,no revelado,adjectives,0.5
162,סקי,snowboard,nouns,2.7
163,זווית,curva,nouns,2.45
164,לשאת,tomar,verbs,1.3
165,מעיל,ropa,nouns,1.63
166,אל,diablo,nouns,1.2
167,אי,tarea,nouns,0.05
168,עכשיו,aquí,adverbs,2.4
169,לרדת,disminución,verbs,2.0
170,רעיון,opinión,nouns,3.3
171,דודה,sobrino,nouns,0.95
172,לשכנע,discutir,verbs,1.5
173,פוליטיקאי,presidente,nouns,2.2
174,מורה,estudiante,nouns,1.05
175,כתר,llave,nouns,0.1
176,הססן,colérico,adjectives,1.0
177,פשתן,tela,nouns,2.45
178,אצן,atleta,nouns,2.8
179,תקופה,episodio,nouns,4.55
180,דביק,sucio,adjectives,1.25
181,גשר,coche,nouns,0.5
182,שונית,playa,nouns,1.8
183,לנדוד,deambular,verbs,4.9
184,טיפול,behaviorismo,nouns,1.1
185,פאסיבי,violento,adjectives,0.4
186,לטבוע,salvar,verbs,0.7
187,לתאר,notificar,verbs,0.75
188,דיודה,condensador,nouns,2.0
189,צעצוע,cubo,nouns,1.25
190,להניח,colgar,verbs,1.55
191,להפסיד,obtener,verbs,0.5
192,להיכשל,desalentar,verbs,0.7
193,מדים,desformado,adjectives,0.4
194,בנייה,destrucción,nouns,0.65
195,טלסקופ,reunión creativa,nouns,0.0
196,לערבב,cocinar,verbs,1.2
197,יום הולדת,cita,nouns,1.5
198,להחליט,retratar,verbs,0.5
199,לעצור,silbar,verbs,0.35
200,רעיה,centavo,nouns,0.15
201,אנשים,centavo,nouns,0.7
202,חלבון,asa,nouns,0.15
203,מסורת,artesanía,nouns,1.3
204,אבא,hombre,nouns,2.5
205,לבשל,perder,verbs,0.05
206,לבעוט,herir,verbs,1.35
207,לעשות,ocurrir,verbs,0.95
208,להתווכח,grito,verbs,1.45
209,ילדותי,crecido,adjectives,0.75
210,מדהים,sucio,adjectives,0.15
211,להתחנן,pedir prestado,verbs,0.65
212,סלט,dieta,nouns,1.2
213,לסלוח,olvidar,verbs,2.0
214,להכות,mezclar,verbs,0.05
215,מערכת אקולוגית,economía,nouns,0.7
216,עטלף,vampiro,nouns,2.35
217,מלאך,demonio,nouns,1.15
218,בערך,fácilmente,adverbs,0.25
219,גוף,nervio,nouns,0.75
220,דם,cuerpo,nouns,0.8
221,חשבון,lógica,nouns,1.7
222,נקי,sucio,adjectives,0.9
223,ללמוד,educar,verbs,1.8
224,בעל ערך,especial,adjectives,3.75
225,תשלום,nota,nouns,0.35
226,לשלוח,asistir,verbs,0.8
227,מסיכה,partido,nouns,0.6
228,אזור,zona,nouns,4.3
229,מלך,nepotismo,nouns,1.45
230,אמונה,flor,nouns,0.05
231,מעיל,sombrero,nouns,0.95
232,באקלר,escudo,nouns,1.8
233,לדעת,dar,verbs,0.25
234,כרכרה,vagón,nouns,3.05
235,שופט,corte,nouns,1.3
236,תוקפני,grosero,adjectives,1.8
237,קומה,cubierta,nouns,1.5
238,חתול,conejo,nouns,1.1
239,להעריץ,admirar,verbs,3.95
240,רע,horrible,adjectives,3.2
241,להעניש,golpear,verbs,1.6
242,פקעת,flor,nouns,1.7
243,אל,espíritu,nouns,1.3
244,ארוחה,sandwich,nouns,1.3
245,כוס,cuchara,nouns,1.35
246,חצוף,agresivo,adjectives,1.8
247,אנטרופיה,información,nouns,1.2
248,משימה,isla,nouns,0.05
249,בחירה,cárcel,nouns,0.5
250,ברנדי,vino,nouns,1.95
251,לנצח,realizar,verbs,1.9
252,פרח,arbusto,nouns,2.25
253,להכחיש,admitir,verbs,0.6
254,לקחת,robar,verbs,1.65
255,טניס,estadística,nouns,0.35
256,אנשים,pistola,nouns,0.35
257,תיאוריה,hipótesis,nouns,4.35
258,קדוש,precioso,adjectives,2.05
259,זרוע,cuello,nouns,0.85
260,מצוין,maravilloso,adjectives,5.1
261,לארגן,gestionar,verbs,4.7
262,להזכיר,vender,verbs,0.0
263,להראות,pretender,verbs,1.8
264,מוסכמה,regla,nouns,2.6
265,כדורסל,béisbol,nouns,1.85
266,באופן לא מדויק,precisamente,adverbs,0.55
267,מקהלה,cantante,nouns,1.7
268,משוואה,fórmula,nouns,4.25
269,לשנוא,disfrutar,verbs,0.25
270,מכללה,clase,nouns,1.45
271,חורף,verano,nouns,1.0
272,טיפשי,crédulo,adjectives,2.2
273,העולם הבא,purgatorio,nouns,2.2
274,אריה,gato,nouns,1.65
275,מחלבה,miel,nouns,0.5
276,לבוש,cubierto,adjectives,2.8
277,מטר,pulgada,nouns,1.7
278,אלפבית,bolígrafo,nouns,0.8
279,לאסוף,organizar,verbs,1.75
280,קל,flexible,adjectives,1.55
281,חור,acuerdo,nouns,0.0
282,לפזול,deslumbrar,verbs,1.0
283,טיעון,conversación,nouns,2.45
284,לסגת,retirarse,verbs,3.45
285,גיל,belleza,nouns,0.75
286,שיר,balada,nouns,4.0
287,פוסטר,papel,nouns,2.15
288,כפתור,ropa,nouns,1.35
289,פגיע,fácil,adjectives,0.7
290,גבר,marido,nouns,2.35
291,נורמלי,extraño,adjectives,0.6
292,להביא,enviar,verbs,1.05
293,מלוכה,democracia,nouns,1.45
294,לטייל,ir,verbs,2.6
295,חצוף,ruidoso,adjectives,0.7
296,ללכוד,imitar,verbs,0.35
297,השתקפות,imagen,nouns,1.65
298,בהירות,estrella,nouns,2.05
299,אבא,hijo,nouns,1.8
300,דין,magistrado,nouns,2.8
301,שטיח,casa,nouns,0.65
302,מכונית,manguera,nouns,0.4
303,נסיכה,novia,nouns,1.2
304,חיוני,necesario,adjectives,5.05
305,אופניים,piel,nouns,0.3
306,צינור,jardín,nouns,0.85
307,ים,delta,nouns,1.4
308,ארוע,recaudación de fondos,nouns,2.05
309,חוקה,senado,nouns,1.2
310,שקופית,puntero,nouns,0.45
311,לנסוג,salir,verbs,3.15
312,תורה,himno,nouns,0.45
313,מתבייש,modesto,adjectives,1.35
314,כומר,dios,nouns,1.45
315,מבצר,pared,nouns,0.95
316,קרן,tambor,nouns,0.8
317,כבד,pulmón,nouns,0.95
318,דיאטה,ensalada,nouns,1.2
319,לדאוג,malgastar,verbs,0.15
320,להתפעל,adorar,verbs,3.95
321,רומן,escritor,nouns,1.4
322,באופן לא סדיר,generalmente,adverbs,0.75
323,להסכים,recibir,verbs,2.85
324,רשמית,fuertemente,adverbs,0.0
325,סכין,pistola,nouns,1.75
326,קולנוע,palomitas de maiz,nouns,1.55
327,עצוב,avergonzado,adjectives,0.9
328,מוכר,bien,adjectives,0.6
329,מחנה,cabina,nouns,1.15
330,זרוע,muñeca,nouns,1.45
331,לעזוב,tomar,verbs,0.35
332,מרתף,puerta,nouns,0.6
333,מסיבה,máscara,nouns,0.6
334,גן חובה,preescolar,nouns,2.7
335,פינה,zona,nouns,0.95
336,לקטוף,seleccionar,verbs,1.35
337,מובך,suerte,adjectives,0.05
338,טלפון סללורי,piña,nouns,0.0
339,וילון,barra,nouns,0.9
340,שד,lámpara,nouns,0.95
341,אמיתי,0,adjectives,0.55
342,אופנה,estilo,nouns,3.65
343,אינטליגנציה,sabiduría,nouns,4.5
344,סוציוביולוגיה,mutante,nouns,0.6
345,לעקל,esforzarse,verbs,0.45
346,מסודר,desorganizado,verbs,0.55
347,להשיג,ganar,verbs,1.9
348,בז,águila,nouns,2.6
349,משמעותי,menor,adjectives,0.55
350,וויסקי,champán,nouns,1.7
351,באופן חריג,normalmente,adverbs,0.55
352,בשר,carne de vaca,nouns,3.2
353,מטומטם,estúpido,adjectives,4.85
354,קיר,decoración,nouns,0.75
355,רגל,arena,nouns,0.45
356,להתייפח,llorar,verbs,4.85
357,בבטחה,secretamente,adverbs,1.0
358,פסנתר,armonía,nouns,0.65
359,ליקר,banda,nouns,0.25
360,טלפון סלולרי,teléfono,nouns,4.7
361,באופן שלילי,antinaturalmente,adverbs,1.45
362,מיידית,una vez,adverbs,0.65
363,דיפלומטיה,negociación,nouns,2.15
364,לתת,poner,verbs,1.0
365,מסע,viaje,nouns,3.9
366,לבלבל,aprender,verbs,0.4
367,ילדה,niña,nouns,3.6
368,נוחות,seguridad,nouns,1.4
369,בשמחה,activamente,adverbs,0.35
370,גברים,fraternidad,nouns,1.05
371,גלקסי,aplicación,nouns,0.4
372,דובדבן,fresa,nouns,1.6
373,בדיוק,inexactamente,adverbs,0.55
374,רעב,sediento,adjectives,1.35
375,לבן,estrecho,adjectives,0.0
376,תינוק,adulto,nouns,1.0
377,פיכח,racional,adjectives,1.5
378,לארגן,volverse,verbs,0.65
379,בחירה,capítulo,nouns,0.35
380,לחקור,ignorar,verbs,0.35
381,אחר,opuesto,adjectives,0.85
382,רופא,ortodoncista,nouns,4.6
383,כריך,almuerzo,nouns,1.3
384,סוודר,algodón,nouns,1.0
385,ספר,artículo,nouns,1.5
386,חד,suave,adjectives,0.7
387,כוס,tarro,nouns,2.3
388,למהר,darse prisa,verbs,5.5
389,מזיק,pesticida,nouns,0.85
390,לאתר,encontrar,verbs,4.95
391,להזהיר,detener,verbs,0.8
392,לעמוד,caminar,verbs,0.75
393,גיטרה,trucha,nouns,0.05
394,כחול,rojo,adjectives,1.0
395,שכר לימוד,beca,nouns,1.25
396,מכוער,crudo,adjectives,0.95
397,לשרוד,vivir,verbs,2.4
398,להיכנס,deber,verbs,0.0
399,מנצח,hombre,nouns,0.75
400,פרטי,personal,adjectives,4.6
401,להאמין,sentir,verbs,1.85
402,סיומת,afijo,nouns,2.55
403,אנתרופולוגיה,arqueología,nouns,1.5
404,לחלוטין,básicamente,adverbs,1.25
405,לברוח,encontrar,verbs,0.55
406,חדשני,creativo,adjectives,3.85
407,משוגע,estupendo,adjectives,0.35
408,מדע,psicología,nouns,1.3
409,להחזיר,reemplazar,verbs,2.55
410,דעה,creencia,nouns,3.5
411,צד,parte superior,nouns,0.85
412,ציפור,gallina,nouns,1.95
413,פסגה,fondo,nouns,0.6
414,לא אמין,tortuoso,adjectives,1.5
415,לצרוח,gritar,verbs,4.85
416,חצאית,reloj,nouns,0.4
417,משעמם,gracioso,adjectives,0.5
418,גוף,sangre,nouns,0.8
419,לנער,recoger,verbs,0.3
420,אנושות,esencialmente,adverbs,0.45
421,לשאת,traer,verbs,1.35
422,עמלה,pago,nouns,3.6
423,לדכא,enfadar,verbs,0.75
424,מהיר,veloz,adjectives,5.55
425,לחקור,descubrir,verbs,2.9
426,מצלמה,obrero,nouns,0.15
427,בחירות,decisión,nouns,3.5
428,פרלמנט,congreso,nouns,3.85
429,צבא,legión,nouns,3.05
430,אומניפוטנטיות,supremacía,nouns,2.6
431,לשמור,recoger,verbs,1.35
432,לתסכל,desalentar,verbs,3.25
433,קליבר,paraguas,nouns,0.4
434,חוקה,emperador,nouns,0.9
435,בחוזקה,oficialmente,adverbs,0.0
436,כתף,cuerpo,nouns,1.3
437,בקר,yogur,nouns,0.8
438,גיהנום,más allá,nouns,2.2
439,אבקן,polinización,nouns,1.45
440,זמר,personal,nouns,0.3
441,חולי,infección,nouns,2.7
442,ספר,manuscrito,nouns,2.2
443,סולטן,ministerio,nouns,0.75
444,ליצור,hacer,verbs,3.7
445,ישן,mezclado,adjectives,0.0
446,מכתב,párrafo,nouns,1.2
447,גיוס כספים,desarrollo,nouns,0.8
448,תיבה,electricidad,nouns,0.2
449,רגל,mano,nouns,1.2
450,בכנות,honestamente,adverbs,5.2
451,רחב,grande,adjectives,2.05
452,להרים,aumentar,verbs,0.85
453,בת,bebé,nouns,3.05
454,להפסיק,hacer,verbs,0.55
455,לרדוף,susto,verbs,0.35
456,קתדרלה,iglesia,nouns,4.3
457,המנון,biblia,nouns,0.45
458,חזה,cuerpo,nouns,1.35
459,יציאה,sufragio,nouns,0.05
460,דלת,portón,nouns,4.6
461,נשק,casco,nouns,1.45
462,חוקי,permitido,adjectives,4.2
463,אורז,frijol,nouns,1.3
464,בעצם,críticamente,adverbs,0.45
465,מכה,marco,nouns,0.15
466,סעודה,pollo,nouns,1.2
467,ביושר,sinceramente,adverbs,5.2
468,מחלה,peligro,nouns,1.0
469,זנב,acantilado,nouns,0.0
470,צבא,armada,nouns,3.95
471,כומר,profeta,nouns,1.5
472,כף,vaso,nouns,1.35
473,אלכוהול,ginebra,nouns,2.25
474,לשחוק,permitir,verbs,0.05
475,בדיל,aluminio,nouns,1.5
476,שחקנית,actor,nouns,3.75
477,להאשים,despreciar,verbs,0.7
478,לפגוע,insultar,verbs,4.1
479,עוף,filete,nouns,2.15
480,מתון,agudo,adjectives,0.7
481,קשה,denso,adjectives,1.25
482,יחידה,ejército,nouns,1.45
483,שמיים,sol,nouns,1.2
484,להבין,leer,verbs,1.3
485,פתח,brecha,nouns,3.2
486,רע,inmoral,adjectives,2.35
487,זרוע,rodilla,nouns,1.0
488,לדחוף,culpar,verbs,0.25
489,פלנטה,luna,nouns,1.65
490,ללא הגיון,sucio,adverbs,0.75
491,להגיע,salir,verbs,0.65
492,שחקן,televisión,nouns,0.95
493,לחנוק,respirar,verbs,0.75
494,בשר,tocino,nouns,1.95
495,לא בטוח,asustado,adjectives,1.7
496,לדחות,condenar,verbs,2.15
497,לשוטט,vagar,verbs,4.9
498,מבצע,canción,nouns,0.65
499,אמונה,impresión,nouns,1.7
500,שקרן,veraz,adjectives,0.55
501,אקוסטיקה,sonido,nouns,3.2
502,מלך,princesa,nouns,1.9
503,לרוץ,montar,verbs,0.7
504,בחשאי,obviamente,adverbs,0.3
505,כומר,monje,nouns,3.45
506,גלריה,abogado,nouns,0.1
507,בהחלט,probablemente,adverbs,1.2
508,מכונית,tanque,nouns,1.05
509,חתול,león,nouns,1.65
510,אך ורק,completamente,adverbs,2.05
511,ליצור,destruir,verbs,0.6
512,סוודר,chaqueta,nouns,2.35
513,יוקרה,riqueza,nouns,1.75
514,לעולם לא,generosamente,adverbs,0.45
515,ויסקי,alcohol,nouns,2.0
516,איום,malo,adjectives,3.6
517,בטן,habitación,nouns,0.15
518,מקרה,programa informático,nouns,0.55
519,הכרחי,importante,adjectives,3.4
520,מידע,libro,nouns,1.3
521,קישוט,sobre,nouns,0.25
522,נחמד,generoso,adjectives,0.75
523,בקבוק,envase,nouns,1.3
524,ארמון,rascacielos,nouns,1.15
525,טיול,ruta,nouns,3.9
526,מידע,entropía,nouns,1.2
527,סבולת,flor,nouns,0.05
528,חקלאות,planta,nouns,1.2
529,בנקאי,abogado,nouns,1.3
530,זעיר,significativo,adjectives,0.55
531,דירה,mueble,nouns,0.75
532,לאסוף,salvar,verbs,1.35
533,דוקטור,templar,nouns,0.15
534,סוללה,teatro,nouns,0.1
535,להילחם,matar,verbs,0.75
536,רעיה,cañita,nouns,0.25
537,להופיע,saludar,verbs,0.45
538,כוכב לכת,estrella,nouns,3.25
539,סופר,novela,nouns,1.4
540,למצוא,localizar,verbs,4.95
541,להתרחב,crecer,verbs,4.65
542,נייר,madera,nouns,1.2
543,עשור,siglo,nouns,1.15
544,תחליף,intercambio,nouns,3.5
545,לכתוב,garabatear,verbs,2.15
546,עורלה,circuncisión,nouns,1.85
547,ממתק,canela,nouns,1.0
548,חצוף,crítico,adjectives,0.95
549,משפטן,licenciado en derecho,nouns,4.6
550,ראש,presidente,nouns,2.0
551,בישוף,musulmán,nouns,0.85
552,תיבה,ascensor,nouns,0.45
553,לספק,comprender,verbs,0.5
554,איבר,hígado,nouns,2.0
555,מיטה,habitación,nouns,1.1
556,גלובליזם,visado,nouns,0.75
557,להשאיל,mendigar,verbs,0.65
558,משפט,veredicto,nouns,2.8
559,עובד,cámara,nouns,0.15
560,חדר שינה,estómago,nouns,0.15
561,סמטה,cuenco,nouns,0.0
562,טפטוף,lluvia,nouns,3.75
563,להציל,proteger,verbs,2.6
564,זרם,río,nouns,2.0
565,תכנית,idea,nouns,2.6
566,משרד,obrero,nouns,0.7
567,להגיע,aparecer,verbs,3.35
568,לצעוק,chillar,verbs,4.85
569,קודם,pasado,nouns,2.85
570,אור,manzana,nouns,0.25
571,עיתונאי,poeta,nouns,1.25
572,כדור,esfera,nouns,2.75
573,לסיים לימודים,terminar,verbs,1.65
574,מכונית,calle,nouns,0.7
575,חבר,madre,nouns,0.75
576,פוליאסטר,algodón,nouns,1.4
577,לצמוח,encoger,verbs,0.75
578,באופן אמין,pasivamente,adverbs,0.5
579,ישר,curvo,adjectives,0.65
580,טוב,conocido,adjectives,0.6
581,איש,sospechar,nouns,0.6
582,לבקש,ayudar,verbs,1.15
583,קרטון,papel,nouns,3.0
584,ענן,calina,nouns,1.4
585,בזהירות,cuidadosamente,adverbs,4.1
586,להרוס,matar,verbs,1.75
587,נסיך,rey,nouns,2.25
588,בחשאיות,con confianza,adverbs,1.0
589,מתרגם,extranjero,nouns,0.55
590,לחלוטין,ligeramente,adverbs,0.45
591,ניהיליזם,película,nouns,0.25
592,עצום,minúsculo,adjectives,0.6
593,להושיע,salvar,verbs,5.6
594,קמפוס,universidad,nouns,2.95
595,להקשיב,hablar,verbs,0.85
596,להתחזות,imaginar,verbs,1.15
597,גמיש,grande,adjectives,0.1
598,ברור,aparente,adjectives,3.35
599,לחנך,aprender,verbs,1.8
600,טריק,juego,nouns,1.75
601,מפתח,casa,nouns,0.95
602,מסך,monitor,nouns,4.6
603,ילדותי,tonto,adjectives,2.05
604,עצלן,ocupado,adjectives,0.55
605,תלמיד,estudiante,nouns,5.35
606,להבריק,informar,verbs,0.0
607,עצום,grande,adjectives,5.0
608,גודל,profundidad,nouns,1.5
609,לגיון,ejército,nouns,3.05
610,צינור,coche,nouns,0.4
611,ליקר,siglo,nouns,0.05
612,בלתי צפוי,imprevisto,adjectives,5.4
613,כימיה,teoría,nouns,0.6
614,למסור,aceptar,verbs,0.7
615,לחבוט,pellizcar,verbs,0.45
616,קופסה,fuente,nouns,0.1
617,בר מזל,avergonzado,adjectives,0.05
618,לספוג,retirar,verbs,0.3
619,מיץ,cuchara,nouns,0.35
620,שפה,cadera,nouns,0.95
621,נוזקה,gusano,nouns,1.5
622,לטעון,diferir de,verbs,2.6
623,נמרצות,precisamente,adverbs,1.15
624,מכריע,importante,adjectives,3.8
625,לגרור,levantar,verbs,0.8
626,לדחות,retirar,verbs,0.9
627,הדיינות,diplomacia,nouns,2.15
628,שיר,bailarín,nouns,0.65
629,לחמניה,princesa,nouns,0.0
630,לתעב,cargar,verbs,0.7
631,מאמץ,dificultad,nouns,2.75
632,חוזה,acuerdo,nouns,5.25
633,צבא,equipo,nouns,1.45
634,גאה,pobre,adjectives,0.2
635,מרוץ,filósofo,nouns,0.15
636,הססני,neutral,adjectives,1.5
637,משוגע,feliz,adjectives,0.55
638,עושר,prestigio,nouns,1.75
639,לקבוע,evacuar,verbs,0.45
640,שורש,hierba,nouns,1.25
641,מרפק,hueso,nouns,1.35
642,להמליץ,aceptar,verbs,0.95
643,מזומן,dinero,nouns,3.75
644,לשלב,golpear,verbs,0.05
645,לטאה,serpiente,nouns,1.55
646,משונה,normal,adjectives,0.6
647,פיקח,tonto,adjectives,0.55
648,עניין,atención,nouns,3.05
649,גבעה,acantilado,nouns,1.85
650,להטריד,ofender,verbs,1.65
651,ממשלה,lagartija,nouns,0.05
652,נשיא,político,nouns,2.2
653,שמחה,suerte,nouns,0.9
654,עצוב,terrible,adjectives,0.95
655,תיל,cable,nouns,3.0
656,מקלדת,ligero,nouns,0.25
657,לתקן,restaurar,verbs,4.4
658,עלה,planta de semilla,nouns,1.65
659,עושר,pobreza,nouns,0.6
660,מרפאה,cama,nouns,0.85
661,גשם,niebla,nouns,1.3
662,להצליח,tratar,verbs,1.1
663,דעה,elección,nouns,1.2
664,קופסה,sombrero,nouns,0.2
665,לקבל,dar,verbs,1.05
666,להאמין,aceptar,verbs,1.4
667,זעיר,enano,adjectives,4.9
668,משכורת,cuota,nouns,1.5
669,בעל,esposa,nouns,1.6
