ID,HEB,SPA,PoS,score
670,להופיע,volverse,verbs,0.5
671,קרב,conquista,nouns,1.95
672,זנב,posterior,nouns,1.95
673,אישה,secretario,nouns,0.9
674,בהגינות,injustamente,adverbs,0.55
675,לבנות,hacer,verbs,3.0
676,דירה,hotel,nouns,1.35
677,זר,extraterrestre,nouns,1.85
678,כאוס,clase,nouns,0.2
679,דלת,ventana,nouns,1.2
680,קבורה,muerte,nouns,1.85
681,דוקטור,médico,nouns,5.25
682,להתווכח,pedir,verbs,0.7
683,נורא,felizmente,adverbs,0.2
684,וידוי,negación,nouns,0.95
685,לזכור,pensar,verbs,1.7
686,לציית,comportarse,verbs,2.1
687,משימה,mujer,nouns,0.1
688,לחבק,ahogar,verbs,0.7
689,מידע,periódico,nouns,1.75
690,כינור,instrumento,nouns,2.15
691,ללמוד,olvidar,verbs,0.5
692,שדה,avena,nouns,1.25
693,פלדה,aleación,nouns,2.0
694,אנציקלופדיה,diccionario,nouns,2.45
695,להרוס,salvar,verbs,0.35
696,בעוני,humildemente,adverbs,0.35
697,מסכן,solitario,adjectives,0.9
698,להחזיק,abrazar,verbs,1.4
699,רגל,brazo,nouns,1.25
700,נשיא,cámara,nouns,0.5
701,ציון,colegio,nouns,1.55
702,נטייה,infección,nouns,0.15
703,מאפין,perejil,nouns,0.65
704,ברכות,firmemente,adverbs,0.35
705,אווירונאוטיקה,aviónica,nouns,2.5
706,ספר,texto,nouns,2.55
707,המון,desfile,nouns,1.85
708,רך,violento,adjectives,0.45
709,חשבון,ritmo,nouns,0.55
710,להחליף,restaurar,verbs,2.55
711,יד,pie,nouns,1.2
712,עצוב,gracioso,adjectives,0.55
713,לפעמים,cuando,adverbs,1.55
714,אטמוספירה,contaminación,nouns,0.95
715,בית,llave,nouns,0.95
716,לפגוש,salir,verbs,1.25
717,להקיא,cerrar,verbs,0.05
718,רפוי,flexible,adjectives,1.5
719,כפפה,pelota,nouns,1.05
720,גיבורה,héroe,nouns,3.3
721,ניתוח,corazón,nouns,0.95
722,לנשוך,luchar,verbs,0.9
723,נפלא,estupendo,adjectives,5.1
724,גורד שחקים,palacio,nouns,1.15
725,אשם,malo,adjectives,1.15
726,מכוסה,vestido,adjectives,2.8
727,מחוספס,frígido,adjectives,1.25
728,גמיש,elástico,adjectives,4.9
729,לאבד,encontrar,verbs,0.65
730,אמא,amigo,nouns,0.75
731,עבר,antecedente,nouns,2.85
732,גודל,tamaño,nouns,4.5
733,מעולה,maravilloso,adjectives,4.45
734,להצטרף,adquirir,verbs,0.55
735,ברונכיטיס,acetaminofeno,nouns,1.05
736,לבחור,recoger,verbs,1.35
737,בנדיבות,amablemente,adverbs,2.9
738,גאה,negrita,adjectives,0.3
739,ליצור,destruir,verbs,0.55
740,מבוגר,niño,nouns,0.95
741,לחיות,sobrevivir,verbs,2.4
742,משרה,administración,nouns,1.3
743,לעולם לא,después,adverbs,0.55
744,מנהל,jefe,nouns,5.05
745,סטייק,carne,nouns,3.55
746,חברה,cultura,nouns,1.75
747,באושר,mortal,adverbs,0.2
748,הר,repisa,nouns,0.4
749,שיניים,hueso,nouns,1.65
750,צר,delgado,adjectives,3.7
751,בלון,gente,nouns,0.35
752,לצלול,crear,verbs,0.1
753,בכנות,seriamente,adverbs,1.65
754,עצרת,reunión,nouns,4.9
755,פונולוגיה,pantalla,nouns,0.2
756,שפה,comunicación,nouns,1.9
757,תינוקת,hija,nouns,3.05
758,עליז,feliz,adjectives,5.03
759,לעזוב,unirse,verbs,0.75
760,לשון,mejilla,nouns,0.85
761,להתווכח,discutir,verbs,2.6
762,בענווה,orgullosamente,adverbs,0.55
763,לטאה,cocodrilo,nouns,2.7
764,פה,diente,nouns,1.55
765,תאונה,emergencia,nouns,2.6
766,גשש,arquero,nouns,0.5
767,שארית,diferencia,nouns,1.05
768,סופר,lector,nouns,1.0
769,דוד,tía,nouns,3.2
770,מנוע,máquina,nouns,2.5
771,מעורבב,antiguo,adjectives,0.0
772,נחמד,cruel,adjectives,0.45
773,נערה,mucama,nouns,0.6
774,נהר,valle,nouns,1.8
775,להרתיח,freír,verbs,1.25
776,אגם,pantano,nouns,2.1
777,נורא,triste,adjectives,0.95
778,כריך,carne,nouns,0.95
779,מדים,tejer,nouns,0.3
780,מנייה,activo,nouns,2.8
781,סל,pelota,nouns,0.65
782,לתעב,odiar,verbs,4.85
783,אינטליגנציה,visión,nouns,1.75
784,סוף שבוע,semana,nouns,1.95
785,עתיק,moderno,adjectives,0.6
786,עבודה,tarea,nouns,4.15
787,להבין,satisfacer,verbs,0.5
788,קוד,símbolo,nouns,2.35
789,טרי,antiguo,adjectives,0.5
790,סביבה,espada,nouns,0.05
791,שמש,cielo,nouns,1.2
792,סירה,cubierta,nouns,1.35
793,נועז,orgulloso,adjectives,0.3
794,מאה,década,nouns,1.15
795,לפגוע,molestia,verbs,1.65
796,אמון,actitud,nouns,1.3
797,לרכוש,encontrar,verbs,1.2
798,לבלוע,beber,verbs,2.0
799,אדם,animal,nouns,0.9
800,לשון,garganta,nouns,1.1
801,להפסיד,mantener,verbs,0.4
802,ענק,grande,adjectives,3.35
803,אכזרי,bonito,adjectives,0.45
804,זיהום,enfermedad,nouns,2.7
805,מעיק,seguro,adjectives,0.15
806,לערבב,beber,verbs,0.75
807,מתוחכם,maduro,adjectives,1.3
808,אלכוהול,whisky,nouns,2.0
809,לשלוח,traer,verbs,1.05
810,לגחך,reír,verbs,5.05
811,בלתי אפשרי,factible,adjectives,0.6
812,להזכיר,contar,verbs,1.25
813,קנה סוכר,segadora,nouns,0.45
814,צוואר,brazo,nouns,0.85
815,צמח,agricultura,nouns,1.2
816,יארד,metro,nouns,2.65
817,חיית מחמד,gato,nouns,3.0
818,רגל,cabeza,nouns,0.8
819,לקבוע,predecir,verbs,1.3
820,מכני,eléctrico,adjectives,1.25
821,מיתוס,sátira,nouns,1.55
822,לשמור,dar,verbs,0.65
823,בור,regular,adjectives,0.05
824,להשאיר,obtener,verbs,0.35
825,יוצא,entrante,adjectives,0.65
826,לדעת,olvidar,verbs,0.6
827,בדרך כלל,anormalmente,adverbs,0.55
828,יום,noche,nouns,1.0
829,נוכחות,ausencia,nouns,0.65
830,וירוס,sangre,nouns,1.15
831,לימודים,grado,nouns,1.55
832,אופניים,habitación,nouns,0.3
833,עגלה,carro,nouns,3.05
834,קרן,sol,nouns,1.45
835,בירה,bebida,nouns,1.95
836,פשוט,duro,adjectives,0.5
837,עצם,codo,nouns,1.35
838,אריג,ropa,nouns,2.35
839,מהנה,maravilloso,adjectives,3.2
840,לוחם,hombre,nouns,1.35
841,דיאטה,manzana,nouns,0.95
842,לרכוש,tomar,verbs,2.15
843,יופי,años,nouns,0.75
844,דלת,pasillo,nouns,1.0
845,בוודאי,a veces,adverbs,0.5
846,כלב,caballo,nouns,0.9
847,לרצות,estar de acuerdo,verbs,1.05
848,קל,rígido,adjectives,0.45
849,מילון,enciclopedia,nouns,2.45
850,בטוח,nervioso,adjectives,0.2
851,לדון,discutir,verbs,3.15
852,הערה,pago,nouns,0.35
853,תיאטרון,batería,nouns,0.1
854,לדכא,frustrar,verbs,3.25
855,נייר,cartulina,nouns,3.0
856,מאוד,brillantemente,adverbs,0.3
857,צנצנת,vaso,nouns,2.3
858,להצדיק,verificar,verbs,2.15
859,היום,esta noche,adverbs,2.0
860,בעדינות,tranquilamente,adverbs,2.25
861,בית,granero,nouns,1.05
862,לחפש,deambular,verbs,1.05
863,מטוס,chorro,nouns,0.7
864,הבדל,recordatorio,nouns,1.05
865,להיפצע,caer,verbs,1.3
866,אבץ,oro,nouns,1.5
867,לטגן,hervir,verbs,1.25
868,מגירה,ropa,nouns,1.2
869,שמח,enojado,adjectives,0.6
870,לרוב,sinceramente,adverbs,0.45
871,סמן,patatas fritas,nouns,0.15
872,לשחוק,vestir,verbs,0.25
873,פרח,creencia,nouns,0.05
874,ראש,nariz,nouns,1.15
875,מפעל,coche,nouns,0.65
876,להימלט,escapar,verbs,5.35
877,אשראי,prestatario,nouns,1.95
878,קרדיגן,camisa,nouns,1.6
879,לרכוש,robar,verbs,1.05
880,לשמור,pedir prestado,verbs,0.65
881,לשכוח,ignorar,verbs,1.9
882,אי,princesa,nouns,0.35
883,ציפורן,cabeza,nouns,0.6
884,לקבל,enviar,verbs,0.75
885,מפוחד,tímido,adjectives,2.05
886,לשלוח,ir,verbs,0.7
887,מנעול,llave,nouns,1.95
888,חוקי,ilegal,adjectives,0.6
889,מאמר,manuscrito,nouns,2.25
890,ידית,proteína,nouns,0.15
891,להנות,entretener,verbs,1.65
892,באופן אחראי,independientemente,adverbs,1.05
893,ספסל,silla,nouns,3.05
894,נייד,flexible,adjectives,1.6
895,שומרת,madre,nouns,1.1
896,אקזמה,dermatitis,nouns,2.0
897,תוף,cuerno,nouns,0.8
898,לבחור,desear,verbs,1.3
899,לקחת,poseer,verbs,2.0
900,מועמד,ganador,nouns,1.45
901,מנזר,ducha,nouns,0.0
902,נורמלי,diferente,adjectives,0.55
903,לאסוף,sacudir,verbs,0.3
904,זרוע,vena,nouns,0.8
905,לקבל,aceptar,verbs,2.85
906,להמתין,permanecer,verbs,2.3
907,בקר,carne,nouns,3.2
908,להשיג,volverse,verbs,0.25
909,לשמור,perder,verbs,0.4
910,משימה,asignación,nouns,5.2
911,הכחשה,confesión,nouns,0.95
912,לצחוק,reirse,verbs,5.05
913,לדבר,oír,verbs,0.85
914,סעודה,sopa,nouns,1.95
915,עיתון,palabra,nouns,1.3
916,רופא,doctor,nouns,5.25
917,לתת,mantener,verbs,0.65
918,בירה,alcohol,nouns,2.35
919,אסון,muerte,nouns,1.75
920,רכבת,tranvía,nouns,2.65
921,לגנוב,tomar,verbs,1.65
922,ליצור,dibujar,verbs,1.8
923,אח,hermana,nouns,3.2
924,נבט,hoja,nouns,1.65
925,ברד,lluvia,nouns,2.05
926,לכפול,dividir,verbs,1.15
927,נהר,mar,nouns,2.3
928,מצב,niño,nouns,0.05
929,כסף,salario,nouns,3.65
930,בהמה,animal,nouns,3.65
931,קובייה,juguete,nouns,1.25
932,מרוץ,fin de semana,nouns,0.05
933,רעיה,bañera,nouns,0.15
934,להצדיע,realizar,verbs,0.45
935,שמחה,tristeza,nouns,0.95
936,מלח,agua,nouns,0.75
937,תנועה,actividad,nouns,2.5
938,פעילות,juego,nouns,1.95
939,להציל,ahogar,verbs,0.7
940,גמור,completar,adjectives,2.65
941,תלמיד,presidente,nouns,0.3
942,מבושל,hervido,adjectives,3.9
943,לצבוט,dar un puñetazo,verbs,0.45
944,גבר,niño,nouns,1.4
945,להכות,atraer,verbs,0.5
946,בית משפט,juez,nouns,1.3
947,לשפוט,testificar,verbs,0.95
948,להתלונן,traer,verbs,0.0
949,גב,cuerpo,nouns,1.15
950,ירח,planeta,nouns,1.65
951,גשם,tormenta de nieve,nouns,1.1
952,ספר,literatura,nouns,2.1
953,להציל,rescatar,verbs,5.6
954,יפה,maravilloso,adjectives,2.35
955,רדאר,palanca de mando,nouns,0.3
956,גיטרה,tambor,nouns,1.45
957,אלכוהול,cóctel,nouns,2.45
958,לפרוש,retirar,verbs,3.45
959,טוב,picante,adjectives,0.45
960,גוף,espina,nouns,1.15
961,חשוב,oficialmente,adverbs,0.65
962,מטומטם,denso,adjectives,0.3
963,בערך,groseramente,adverbs,1.2
964,חימום מראש,recalentamiento,nouns,2.1
965,חסר בית,multimillonario,nouns,0.55
966,לשחק,lucha,verbs,1.05
967,סטטיסטיקה,tenis,nouns,0.35
968,בגדים,cajón,nouns,1.2
969,מוות,catástrofe,nouns,1.75
970,הופעה,camafeo,nouns,0.05
971,סמל,criptograma,nouns,1.95
972,דינוזאור,elefante,nouns,1.0
973,אוהד,grillo,nouns,0.3
974,בסיס,ácido,nouns,1.1
975,להפתיע,celebrar,verbs,1.15
976,כבוד,insignias,nouns,0.85
977,עורך דין,galería,nouns,0.1
978,תהילה,riqueza,nouns,1.7
979,חוף,isla,nouns,1.6
980,פרדס,avestruz,nouns,0.3
981,חורף,temporada,nouns,2.3
982,קשוח,astuto,adjectives,0.4
983,ערב,oscuridad,nouns,2.95
984,לקרוא,morder,verbs,0.0
985,שקיעה,cuerda,nouns,0.0
986,חברה,negocio,nouns,3.7
987,לבכות,lloriquear,verbs,4.85
988,כניסה,puerta,nouns,2.6
989,ויזה,globalismo,nouns,0.75
990,רעב,cansado,adjectives,0.95
991,לצלוע,caminar,verbs,1.2
992,זכוכית,placa,nouns,0.55
993,בודד,pobre,adjectives,0.9
994,עצם,tobillo,nouns,1.45
995,בעדינות,ruidosamente,adverbs,0.25
996,להבין,saber,verbs,2.45
997,קפלה,campanario,nouns,1.45
998,האבקה,estambre,nouns,1.45
999,שדה תעופה,avión,nouns,1.4
1000,אינטליגנטי,tonto,adjectives,0.75
1001,לנסות,lograr,verbs,0.9
1002,הרחק,a casa,adverbs,0.6
1003,באופן יצירתי,originalmente,adverbs,1.3
1004,מוגן,tedioso,adjectives,0.15
1005,ארוך,estrecho,adjectives,1.05
1006,לסרב,aceptar,verbs,0.45
1007,לקבל,perder,verbs,0.5
1008,להודות,negar,verbs,0.6
1009,לקרוע,vestir,verbs,0.15
1010,גרגיר,mostaza,nouns,1.6
1011,שריף,policía,nouns,4.05
1012,להפסיק,empezar,verbs,0.6
1013,חופש,oasis,nouns,0.35
1014,מדביר,parásito,nouns,0.85
1015,מטריצה,vector,nouns,2.25
1016,כביש,coche,nouns,1.4
1017,מכללה,profesión,nouns,1.1
1018,קש,himno,nouns,0.05
1019,לכאורה,simplemente,adverbs,0.6
1020,שמש,rayo,nouns,1.45
1021,לאפשר,permitir,verbs,5.0
1022,עז,vaca,nouns,1.5
1023,בושה,dolor,nouns,0.95
1024,לאחר מכן,nunca,adverbs,0.55
1025,מפתח,corona,nouns,0.1
1026,אלכוהול,brandy,nouns,2.15
1027,לסלוח,aceptar,verbs,2.05
1028,ענן,lago,nouns,0.55
1029,כסף,efectivo,nouns,3.75
1030,צר,ancho,adjectives,0.6
1031,מכונית,cuerno,nouns,0.65
1032,הצגה,matemático,nouns,0.1
1033,לתפוס,lanzar,verbs,0.7
1034,תפוח,salsa,nouns,0.65
1035,מטר,yarda,nouns,2.65
1036,צונאמי,mar,nouns,1.55
1037,להב,hierba,nouns,0.3
1038,רחוב,coche,nouns,0.7
1039,בבגרות,rectamente,adverbs,0.8
1040,בית,alfombra,nouns,0.65
1041,לעודד,desalentar,verbs,0.65
1042,המרה,altitud,nouns,0.8
1043,מוזר,raro,adjectives,5.3
1044,אב,hermano,nouns,1.1
1045,קורא,autor,nouns,1.0
1046,סבולת,banda,nouns,0.15
1047,ספה,silla,nouns,2.45
1048,אישה,hombre,nouns,1.55
1049,באדיבות,generosamente,adverbs,2.9
1050,כיסא,taburete,nouns,3.25
1051,לנדוד,salir,verbs,1.35
1052,לעומק,significativamente,adverbs,2.55
1053,ערפל,lluvia,nouns,1.3
1054,כיף,juego,nouns,1.2
1055,דולר,gente,nouns,0.1
1056,אנטומיה,biología,nouns,2.6
1057,לבנות,añadir,verbs,1.65
1058,להודיע,reconocer,verbs,1.2
1059,חשוב,verdaderamente,adverbs,0.35
1060,בקול רם,sutilmente,adverbs,0.25
1061,מלאכותי,0,adjectives,3.5
1062,לעולם לא,negativo,adjectives,1.7
1063,רצועה,resistencia,nouns,0.15
1064,הסכם,pacto,nouns,5.25
1065,סאטירה,mito,nouns,1.55
1066,לבדר,complacer,verbs,1.1
1067,סמל,dignidad,nouns,0.85
1068,אסטרונום,galaxia,nouns,1.55
1069,נזיר,cruzar,nouns,0.65
1070,ריאה,hígado,nouns,0.95
1071,חומץ,ensalada,nouns,1.1
1072,ציטופלזמה,dígito,nouns,0.25
1073,לשכוח,aprender,verbs,0.5
1074,להציע,asesorar,verbs,3.85
1075,אורתודונט,médico,nouns,2.3
1076,לגנות,acusar,verbs,2.4
1077,לעצור,sospechar,verbs,0.8
1078,בדרך כלל,rutinariamente,adverbs,4.25
1079,קוף,campaña,nouns,0.05
1080,מסע,conquista,nouns,1.05
1081,צופר,coche,nouns,0.65
1082,סירה,motor,nouns,0.85
1083,שחקן,poliedro,nouns,0.6
1084,סימן,club,nouns,0.45
1085,נדיר,tonto,adjectives,0.2
1086,קשה,difícil,adjectives,3.9
1087,לחטוף,robar,verbs,2.1
1088,בנאמנות,honestamente,adverbs,2.1
1089,ממתק,manzana,nouns,0.85
1090,רע,genial,adjectives,0.5
1091,טיפשי,infantil,adjectives,2.05
1092,אבא,progenitor,nouns,4.15
1093,אינטליגנציה,destreza,nouns,1.9
1094,מיטה,manta,nouns,1.25
1095, בענווה,mal,adverbs,0.35
1096,חזק,orgulloso,adjectives,0.65
1097,לעזוב,reunirse,verbs,1.25
1098,בוודאי,aproximadamente,adverbs,0.8
1099,אכסניה,motel,nouns,3.95
1100,פילוסוף,carreras,nouns,0.15
1101,לעומק,principalmente,adverbs,1.2
1102,מפרק,brazo,nouns,1.45
1103,להבהיל,cazar,verbs,0.35
1104,לשלם,tratar,verbs,0.3
1105,זריז,ágil,adjectives,4.4
1106,חבר,amante,nouns,1.8
1107,משחק,acción,nouns,1.95
1108,לדעת,comprender,verbs,2.45
1109,אוויר,helio,nouns,1.65
1110,לעזוב,aparecer,verbs,0.6
1111,תקופה,semestre,nouns,1.9
1112,בת,padre,nouns,0.95
1113,לקחת,llevar,verbs,1.3
1114,נשיא,alumno,nouns,0.3
1115,ענן,tormenta,nouns,1.65
1116,יוצר,creador,nouns,4.45
1117,לבקש,mirar,verbs,1.45
1118,צלב,monje,nouns,0.65
1119,עוזר,profesor,nouns,1.35
1120,רופא,coronel,nouns,0.45
1121,לעדכן,informar,verbs,4.9
1122,בן,hermano,nouns,1.65
1123,ארנק,bolso,nouns,2.3
1124,להלוות,deber,verbs,1.1
1125,קמח,pan,nouns,1.3
1126,בייקון,desayuno,nouns,0.85
1127,קצב,melodía,nouns,3.3
1128,אבן,carbón,nouns,1.95
1129,גרון,nariz,nouns,0.9
1130,חכם,inteligente,adjectives,5.3
1131,גניבה,crimen,nouns,2.7
1132,רובוטיקה,simulación,nouns,1.05
1133,להתחנן,pedir,verbs,3.2
1134,כדור,voleibol,nouns,1.7
1135,כבל,mago,nouns,0.15
1136,תות,cereza,nouns,1.6
1137,בשר,sangre,nouns,1.0
1138,מוט,bandera,nouns,0.9
1139,מהדר,subrutina,nouns,1.3
1140,לשתות,aumentar,verbs,0.0
1141,קל,duro,adjectives,0.6
1142,להתחבק,abrazar,verbs,4.1
1143,יין,brandy,nouns,1.95
1144,בן,niño,nouns,4.1
1145,פגישה,paciente,nouns,0.9
1146,להקשיב,aprender,verbs,1.3
1147,מטומטם,inteligente,adjectives,0.75
1148,חיבור,libro,nouns,1.6
1149,תחביר,palabra principal,nouns,0.9
1150, קפלה,cable,nouns,0.0
1151,להתערב,jugar,verbs,2.75
1152,פסל,palacio,nouns,0.6
1153,הכנסה,impuesto,nouns,0.95
1154,לקרות,ocurrir,verbs,4.9
1155,ממוצע,regular,adjectives,3.65
1156,לשפוט,decidir,verbs,2.35
1157,במדוייק,activamente,adverbs,1.15
1158,צנוע,flexible,adjectives,0.25
1159,שריר,hueso,nouns,0.75
1160,ספר,biblia,nouns,1.8
1161,שיח,flor,nouns,2.25
1162,יוגורט,ganado,nouns,0.8
1163,רגיל,promedio,adjectives,3.65
1164,פחם,carboncillo,nouns,1.95
1165,פרק,noche,nouns,0.4
1166,שביל,túnel,nouns,1.95
1167,לאמוד,aprender,verbs,0.75
1168,להרוג,colgar,verbs,1.05
1169,מחוץ לנישואין,inmencionable,adjectives,0.25
1170,סיגלית,flor,nouns,2.2
1171,לנבוע,descubrir,verbs,1.1
1172,עצם,cuello,nouns,0.75
1173,סגן,oficial,nouns,1.9
1174,נווה מדבר,libertad,nouns,0.35
1175,להביא,llevar,verbs,1.35
1176,להבין,saber,verbs,2.9
1177,עליונות,omnipotencia,nouns,2.6
1178,פרווה,pistola,nouns,0.05
1179,מדען,enfermera,nouns,0.45
1180,כבד,grande,adjectives,1.15
1181,להרשות,dejar,verbs,5.0
1182,מורכב,tedioso,adjectives,3.25
1183,לשבור,agrietar,verbs,3.0
1184,כישרון,escritor,nouns,0.7
1185,קצף,burbuja,nouns,1.9
1186,אמבטיה,tronco,nouns,0.1
1187,שד,ángel,nouns,1.15
1188,חסר צורה,uniforme,adjectives,0.4
1189,מונית,autobús,nouns,2.15
1190,לקרוא,comprender,verbs,1.3
1191,בקר,vaca,nouns,3.25
1192,דלת,piso,nouns,0.95
1193,נרגש,asustado,adjectives,1.05
1194,נביא,sacerdote,nouns,1.5
1195,בקבוק,tarro,nouns,2.55
1196,וריד,elección,nouns,0.0
1197,לדמיין,pretender,verbs,1.15
1198,אינטימי,personal,adjectives,4.95
1199,לשנוא,despreciar,verbs,4.85
1200,אבא,madre,nouns,2.4
1201,רגוע,relajado,adjectives,4.15
1202,עט,alfabeto,nouns,0.8
1203,בכנות,fielmente,adverbs,2.1
1204,לטפל,paga,verbs,0.3
1205,החל,comenzar,verbs,5.65
1206,ליפול,tropezar,verbs,4.1
1207,לגנוב,secuestrar,verbs,2.1
1208,לחשוק,querer,verbs,4.35
1209,ביתן,campamento,nouns,1.15
1210,מכונה,motor,nouns,2.5
1211,נוזל,boquilla,nouns,0.65
1212,מכוער,sucio,adjectives,0.9
1213,הערה,trabajo,nouns,0.7
1214,נטייה,opinión,nouns,2.5
1215,לחפש,cazar,verbs,1.85
1216,לטפס,hacer senderismo,verbs,1.4
1217,מס,ingresos,nouns,0.95
1218,למכור,recordar,verbs,0.0
1219,גרף,gráfico,nouns,5.0
1220,עץ,hoja,nouns,1.45
1221,מנוע,bote,nouns,0.85
1222,להפסיד,fallar,verbs,2.6
1223,סופת שלגים,lluvia,nouns,1.1
1224,מתמטיקאי,show,nouns,0.1
1225,בטן,vena,nouns,0.6
1226,מלוכלך,pegajoso,adjectives,1.25
1227,לחשוד,arrestar,verbs,0.8
1228,אמבטיה,habitación,nouns,1.15
1229,שריר,brazo,nouns,1.4
1230,בגאווה,humildemente,adverbs,0.55
1231,להתכווץ,crecer,verbs,0.75
1232,ללכת,viajar,verbs,2.6
1233,לחנוק,abrumar,verbs,1.05
1234,באופן שולי,completamente,adverbs,0.45
1235,תעשייה,negocio,nouns,2.55
1236,בגדים,tela,nouns,2.35
1237,להמר,apostar,verbs,2.75
1238,מכונאי,obrero,nouns,2.15
1239,פורל,guitarra,nouns,0.05
1240,אגם,nube,nouns,0.55
1241,בגסות,aproximadamente,adverbs,1.2
1242,לעזוב,llegar,verbs,0.65
1243,לעזוב,permanecer,verbs,0.55
1244,בזהירות,peligrosamente,adverbs,0.6
1245,עצם,mandíbula,nouns,1.35
1246,מתוק,eléctrico,adjectives,0.0
1247,נכנס,saliente,adjectives,0.65
1248,מעלית,coche,nouns,0.55
1249,אגורה,ganga,nouns,0.4
1250,להפוך,realizar,verbs,0.25
1251,באמת,en tono rimbombante,adverbs,0.35
1252,מטרייה,calibre,nouns,0.4
1253,לבקש,mendigar,verbs,3.2
1254,בן,niño,nouns,3.67
1255,שמלה,danza,nouns,0.5
1256,למות,desintegrarse,verbs,0.65
1257,אישי,íntimo,adjectives,4.95
1258,צר,sucio,adjectives,0.0
1259,בשלווה,tranquilamente,adverbs,4.55
1260,יקר ערך,sagrado,adjectives,2.05
1261,דבש,lácteos,nouns,0.5
1262,בטן,curso,nouns,0.05
1263,תובע,abogado,nouns,2.45
1264,עוני,riqueza,nouns,0.6
1265,פעם אחת,instantáneamente,adverbs,0.65
1266,תרנגולת,cena,nouns,1.2
1267,פסיכולוגיה,ciencia,nouns,1.3
1268,ציבורי,privado,adjectives,0.6
1269,פעמון,torre,nouns,1.35
1270,מועמדות,solicitante,nouns,2.05
1271,לרצות,escoger,verbs,1.3
1272,להכחיש,dar,verbs,0.1
1273,ללמד,educar,verbs,4.6
1274,דשא,raíz,nouns,1.25
1275,לתקשר,rezar,verbs,0.95
1276,דיונה,desierto,nouns,2.3
1277,פיל,dinosaurio,nouns,1.0
1278,פסל,estatua,nouns,4.7
1279,ביזארי,extraño,adjectives,4.6
1280,חילוניות,religión,nouns,0.7
1281,עיירה,ciudad,nouns,3.15
1282,אפוקליפסה,fuego,nouns,0.95
1283,שבועי,mensual,adjectives,1.05
1284,קדרות,cerámico,nouns,4.35
1285,קשיח,duro,adjectives,4.55
1286,ביישן,asustado,adjectives,2.05
1287,מיטה,mueble,nouns,1.8
1288,להסתמך,confiar,verbs,2.7
1289,חדש,antiguo,adjectives,0.6
1290,קרח,nieve,nouns,2.95
1291,תאגיד,negocio,nouns,2.55
1292,עצב,felicidad,nouns,0.95
1293,להצדיק,discutir,verbs,1.05
1294,אמבטיה,globo,nouns,0.1
1295,כרס,vientre,nouns,4.35
1296,לא חוקי,legal,adjectives,0.6
1297,ביטחון,yo,nouns,0.95
1298,לוחמנות,combate,nouns,3.25
1299,חץ,objetivo,nouns,1.35
1300,מטחנה,semilla,nouns,1.2
1301,הונאה,delito,nouns,2.65
1302,לשוחח,explicar,verbs,1.3
1303,רעשן,ruido,nouns,2.8
1304,להסכים,discrepar,verbs,0.9
1305,לטעון,justificar,verbs,1.05
1306,עכבר,gato,nouns,1.0
1307,בעדינות,actualmente,adverbs,0.0
1308,דלת,bodega,nouns,0.6
1309,נוסחה,ecuación,nouns,4.25
1310,עצוב,orgulloso,adjectives,0.3
1311,להחליט,concluir,verbs,1.95
1312,להרגיש,creer,verbs,1.85
1313,רחב,estrecho,adjectives,0.6
1314,מיץ,batido,nouns,2.7
1315,גיטרה,violín,nouns,1.25
1316,פעולה,curso,nouns,1.65
1317,למחוץ,abrazar,verbs,0.95
1318,ללחוש,hablar,verbs,1.85
1319,לווה,crédito,nouns,1.95
1320,בדיוק,exactamente,adverbs,4.95
1321,מציאה,centavo,nouns,0.4
1322,שותף,niño,nouns,0.7
1323,אל,sacerdote,nouns,1.45
1324,להודיע,retratar,verbs,0.75
