ID,HEB,SPA,PoS,score
1973,חייל,niño,nouns,0.65
1974,משחק,divertido,nouns,1.2
1975,ורד,mariposa,nouns,0.4
1976,מנטה,goma,nouns,0.65
1977,משעמם,mediocre,adjectives,1.0
1978,כן,culpable,adjectives,0.35
1979,מחבר,creador,nouns,4.6
1980,לקבור,cubrir,verbs,3.05
1981,מטבע,intercambio,nouns,1.5
1982,לדמיין,crear,verbs,1.45
1983,גבול,límite,nouns,4.7
1984,רעש,traqueteo,nouns,2.8
1985,טיסה,aviación,nouns,2.55
1986,בחירה,elección,nouns,3.5
1987,לעשות,volverse,verbs,0.55
1988,לקחת,entregar,verbs,0.95
1989,להרוג,defender,verbs,0.6
1990,ספרה,citoplasma,nouns,0.25
1991,אחרי,antes de,adverbs,0.55
1992,אלומיניום,estaño,nouns,1.5
1993,לשרבט,escribir,verbs,2.15
1994,לפגוע,perder,verbs,0.6
1995,לרעוד,congelar,verbs,1.35
1996,חסר אחריות,inmaduro,adjectives,2.7
1997,מהיר,rápido,adjectives,4.4
1998,אטמוספירה,ozono,nouns,2.7
1999,ליפול,herir,verbs,1.3
2000,להציל,destruir,verbs,0.35
2001,מנצח,candidato,nouns,1.45
2002,טרי,amplio,adjectives,0.05
2003,לקפוא,temblar,verbs,1.35
2004,לטפטף,verter,verbs,2.0
2005,זיהום,presidente,nouns,0.3
2006,לחם,queso,nouns,0.75
2007,עץ,piedra,nouns,0.85
2008,מהירות,enviar,nouns,0.5
2009,תורה,libro,nouns,1.8
2010,מצפן,elefante,nouns,0.05
2011,לחלוק,estar de acuerdo,verbs,0.9
2012,ברידג',tarjeta,nouns,0.7
2013,תג,vaso,nouns,0.55
2014,שעועית,arroz,nouns,1.3
2015,בטבעיות,tranquilamente,adverbs,0.9
2016,לנתח,comparar,verbs,2.35
2017,מלון,apartamento,nouns,1.35
2018,לנצח,dominar,verbs,2.1
2019,רוטב,manzana,nouns,0.65
2020,לנסות,pensar,verbs,0.6
2021,לעזוב,retirarse,verbs,3.15
2022,מבולגן,limpiar,adjectives,0.9
2023,מתקפה,bombardeo aéreo,nouns,3.05
2024,גמיש,móvil,adjectives,1.6
2025,לנשל,dar,verbs,0.5
2026,ילד,pareja,nouns,0.7
2027,שחקן,actriz,nouns,3.75
2028,ייאוש,miseria,nouns,2.7
2029,לזהור,brillar,verbs,4.15
2030,אוזון,atmósfera,nouns,2.7
2031,מטאור,gravedad,nouns,1.2
2032,בנדיבות,nunca,adverbs,0.45
2033,להגיד,verificar,verbs,0.8
2034,מורה,amigo,nouns,0.65
2035,כניסה,salida,nouns,1.5
2036,יום,amanecer,nouns,2.35
2037,מבוגר,guardián,nouns,0.95
2038,בוודאי,obviamente,adverbs,2.9
2039,מזוייף,artificial,adjectives,3.5
2040,חופשי,inocente,adjectives,0.15
2041,מסדרון,pasillo,nouns,5.6
2042,תרנגולת,pavo,nouns,1.2
2043,דמוקרטיה,monarquía,nouns,1.45
2044,אל,presa,nouns,0.05
2045,לחוב,prestar,verbs,1.1
2046,לבקר,odiar,verbs,0.75
2047,שרפרף,silla,nouns,3.25
2048,הרבה,dos veces,adverbs,1.25
2049,מכונית,bicicleta,nouns,1.2
2050,מילה,frase,nouns,2.15
2051,להסביר,discutir,verbs,1.3
2052,בעל,hombre,nouns,2.35
2053,המון,multitud,nouns,3.8
2054,לנוע,tejer,verbs,1.0
2055,מציאות,fantasía,nouns,0.8
2056,שופט,juez,nouns,2.8
2057,לבשל,mezclar,verbs,1.2
2058,מצב רוח,emoción,nouns,3.25
2059,מותן,estómago,nouns,1.1
2060,חולצה,cárdigan,nouns,1.6
2061,ספה,cama,nouns,2.2
2062,קערה,cola,nouns,0.1
2063,גג,techo,nouns,4.3
2064,לשלוח,recibir,verbs,0.75
2065,הון,dinero,nouns,4.35
2066,בטן,cuerpo,nouns,1.8
2067,סרט,nihilismo,nouns,0.25
2068,פוטופון,homófono,nouns,0.9
2069,מנורה,genio,nouns,0.95
2070,כדור,guante,nouns,1.05
2071,בשמחה,sin peligro,adverbs,0.5
2072,כדורגל,fútbol,nouns,2.75
2073,משפט,prueba,nouns,1.6
2074,תוכנית,comida,nouns,0.3
2075,משמח,encantador,adjectives,2.95
2076,קופסה,cigarro,nouns,0.7
2077,להשיג,tratar,verbs,0.9
2078,שומר,adulto,nouns,0.95
2079,ביקורת,argumento,nouns,2.2
2080,ביולוגיה,anatomía,nouns,2.6
2081,קרוב,localmente,adverbs,2.65
2082,לגנוב,adquirir,verbs,1.05
2083,להראות,volverse,verbs,0.25
2084,לקבל,estar de acuerdo,verbs,3.35
2085,בסיס,pie,nouns,1.65
2086,חוקי,seguro,adjectives,1.15
2087,שלג,clima,nouns,0.95
2088,תחזית,nieve,nouns,0.95
2089,לכלוך,barro,nouns,2.35
2090,להסכים,aceptar,verbs,3.35
2091,אוטו,automóvil,nouns,5.7
2092,לדשדש,montar,verbs,0.7
2093,בבטחה,felizmente,adverbs,0.5
2094,מחשב,máquina,nouns,3.15
2095,לחפש,preguntar,verbs,1.35
2096,תחתית,lado,nouns,1.35
2097,כס,espada,nouns,0.5
2098,להטריח,agravar,verbs,0.65
2099,מילה,literatura,nouns,1.95
2100,רגיל,ignorante,adjectives,0.05
2101,פוליטיקאי,policía,nouns,0.55
2102,תרבות,sociedad,nouns,1.75
2103,להרים,recorrer,verbs,0.8
2104,ניטרלי,calma,adjectives,1.35
2105,לאחרונה,de manera realista,adverbs,0.1
2106,גביע,cono,nouns,1.8
2107,אבק,escoba,nouns,1.1
2108,עיתון,artículo,nouns,1.8
2109,אורח,amigo,nouns,1.85
2110,מדוייק,incorrecto,adjectives,0.55
2111,שמן,visón,nouns,0.2
2112,בשר,pan,nouns,0.7
2113,לתת,negar,verbs,0.1
2114,בגדים,armario,nouns,1.35
2115,לצוד,buscar,verbs,1.85
2116,עשור,era,nouns,2.5
2117,גשם,granizo,nouns,2.05
2118,חליפין,moneda,nouns,1.5
2119,להתכווץ,desaparecer,verbs,1.1
2120,לסגת,absorber,verbs,0.3
2121,אמבטיה,cocina,nouns,1.05
2122,אלים,enojado,adjectives,1.65
2123,איחוד,combinación,nouns,3.55
2124,התרמה,evento,nouns,2.05
2125,אלוף,ganador,nouns,4.15
2126,גבר,guerrero,nouns,1.35
2127,שור,becerro,nouns,2.45
2128,לגדול,expandir,verbs,4.65
2129,יד,pulgar,nouns,1.55
2130,סנט,tamaño,nouns,0.2
2131,כיסא,sofá,nouns,2.45
2132,רגיל,increíble,adjectives,0.5
2133,לעגני,desdeñoso,adjectives,3.65
2134,כנראה,quizás,adverbs,4.2
2135,לחבר,construir,verbs,1.65
2136,לתלות,matar,verbs,1.05
2137,תובנה,inteligencia,nouns,1.75
2138,סערה,huracán,nouns,3.35
2139,להזניח,desconocer,verbs,1.25
2140,אנדרטה,escultura,nouns,4.7
2141,בוגר,sofisticado,adjectives,1.3
2142,להדפיס,ignorar,verbs,0.1
2143,מעורבב,conjunto,adjectives,2.65
2144,חכם,tonto,adjectives,0.6
2145,להרגיז,desalentar,verbs,0.75
2146,לתלות,poner,verbs,1.55
2147,דבש,azúcar,nouns,1.65
2148,יציאה,puerta,nouns,1.5
2149,ילד,adulto,nouns,0.95
2150,חבר,amigo,nouns,4.15
2151,שחקן כדורת,bolos,nouns,2.55
2152,דמעה,ojo,nouns,1.25
2153,מידה,magnitud,nouns,4.5
2154,נורא,ruidosamente,adverbs,0.65
2155,מוות,tragedia,nouns,2.4
2156,תה,limón,nouns,0.7
2157,חריף,débiles,adjectives,0.1
2158,אינטואיציה,sentido,nouns,4.05
2159,פלילי,inmoral,adjectives,1.85
2160,אחות,científico,nouns,0.45
2161,להיכנס,ir,verbs,0.95
2162,מילון,palabra,nouns,1.55
2163,תעלול,pistola,nouns,0.2
2164,לשיר,flotador,verbs,0.2
2165,לפעמים,uniformemente,adverbs,0.35
2166,תחפושת,pelota,nouns,0.3
2167,לדחות,elegir,verbs,0.3
2168,יין,alcohol,nouns,1.95
2169,יוצא דופן,único,adjectives,4.15
2170,ארוך,corto,adjectives,0.6
2171,לעולם לא,honestamente,adverbs,0.1
2172,אפליקציה,galaxia,nouns,0.4
2173,לחזות,determinar,verbs,1.3
2174,לדעת,creer,verbs,0.9
2175,כדור,cañón,nouns,0.7
2176,לחם,carne,nouns,0.7
2177,גדה,orilla,nouns,2.8
2178,אצטילכולין,iris,nouns,0.45
2179,כאב,daño,nouns,2.1
2180,ספר,historia,nouns,1.6
2181,בייסבול,baloncesto,nouns,1.85
2182,מבולגן,organizado,verbs,0.55
2183,באופן לא טבעי,naturalmente,adverbs,0.5
2184,גבר,padre,nouns,2.5
2185,מוזיקה,flauta,nouns,1.55
2186,אינטליגנציה,ignorancia,nouns,0.8
2187,דגנים,trigo,nouns,2.45
2188,כביש,tarea,nouns,0.05
2189,שלפוחית,ilustración,nouns,0.0
2190,צדק,tribunal,nouns,2.4
2191,תאונה,catástrofe,nouns,3.8
2192,משקה,cerveza,nouns,1.95
2193,דרמטיטיס,eczema,nouns,2.0
2194,מטומטם,raro,adjectives,0.2
2195,זרבובית,fluido,nouns,0.65
2196,פחמימה,sacarosa,nouns,1.95
2197,ללמוד,confundir,verbs,0.4
2198,בורות,inteligencia,nouns,0.8
2199,נוירוזה,mente,nouns,1.35
2200,זרוע,músculo,nouns,1.4
2201,קדוש,pecador,nouns,0.45
2202,מטבח,baño,nouns,1.05
2203,מטבח,puerta,nouns,0.8
2204,קיסר,gobernador,nouns,3.0
2205,מילת מפתח,sintaxis,nouns,0.9
2206,שלילי,nunca,adjectives,1.7
2207,תפריט,orden,nouns,1.1
2208,תאריך,calendario,nouns,1.5
2209,תא,cárcel,nouns,1.05
2210,משרה,velocidad,nouns,0.5
2211,בצורת,agua,nouns,0.85
2212,אמבטיה,truco,nouns,0.0
2213,לקחת,recibir,verbs,1.3
2214,לחפש,buscar,verbs,1.45
2215,בטן,abdomen,nouns,4.35
2216,תא הטייס,copiloto,nouns,1.05
2217,להתלונן,discutir,verbs,2.3
2218,קיר,castillo,nouns,0.95
2219,תוקפני,curvo,adjectives,0.05
2220,סוסון,caballo,nouns,2.55
2221,כועס,feliz,adjectives,0.6
2222,ריקוד,vestir,nouns,0.5
2223,חבילה,camión,nouns,0.65
2224,אף,garganta,nouns,0.9
2225,להבטיח,jurar,verbs,5.15
2226,לבנות,crear,verbs,4.05
2227,מבנה,topología,nouns,2.05
2228,ברך,hueso,nouns,1.2
2229,אנשים,población,nouns,3.5
2230,להיות ראוי,ganar,verbs,0.85
2231,חגיגה,ceremonia,nouns,3.65
2232,תפוח,jugo,nouns,1.15
2233,למכור,ir,verbs,0.1
2234,בעיקר,terminalmente,adverbs,0.2
2235,להאשים,culpa,verbs,2.4
2236,פרה,ganado,nouns,3.65
2237,שוקולד,tarta,nouns,1.2
2238,נייר,póster,nouns,2.15
2239,אור,teclado,nouns,0.25
2240,שסתום,motor,nouns,1.95
2241,מטרה,flecha,nouns,1.35
2242,תרומה,ofrecimiento,nouns,3.0
2243,להישאר,esperar,verbs,2.3
2244,לחשוב,decidir,verbs,1.25
2245,להכריע,ahogar,verbs,1.05
2246,אחוה,hombres,nouns,1.05
2247,עסוק,perezoso,adjectives,0.55
2248,דק,estrecho,adjectives,3.7
2249,בבית,lejos,adverbs,0.6
2250,ענף,brazo,nouns,2.05
2251,מנהרה,camino,nouns,1.95
2252,דגל,vexilología,nouns,1.4
2253,רדיאטור,sensor,nouns,1.0
2254,קולנוע,ópera,nouns,1.7
2255,להגיע,ir,verbs,1.3
2256,יצירה,artista,nouns,1.55
2257,אחות,hermano,nouns,3.2
2258,מנצח,presencia,nouns,0.2
2259,ישר,deshonesto,adjectives,0.55
2260,לייבב,llorar,verbs,4.45
2261,מילון,definición,nouns,2.1
2262,יהלום,dinero,nouns,0.9
2263,לקנות,robar,verbs,0.45
2264,עץ,bañera,nouns,0.1
2265,לקבל,permanecer,verbs,0.35
2266,לבחון,investigar,verbs,3.9
2267,להתפורר,morir,verbs,0.65
2268,להסתכל,observar,verbs,4.8
2269,לתשאל,buscar,verbs,1.35
2270,קבר,renacimiento,nouns,0.9
2271,קרמיקה,cerámica,nouns,4.35
2272,מפולת שלגים,nieve,nouns,1.65
2273,לבלוע,sorber,verbs,2.4
2274,גלוי,obvio,adjectives,3.35
2275,מטריצה,molécula,nouns,0.3
2276,רע,culpable,adjectives,1.15
2277,לטגן,hornear,verbs,1.75
2278,אמבטיה,esposa,nouns,0.15
2279,חיטה,cereal,nouns,2.45
2280,חדשות,editorial,nouns,1.9
2281,ייתכן,probablemente,adverbs,4.2
2282,לחבק,sostener,verbs,1.4
2283,זיהום,dolencia,nouns,2.2
2284,מים,coronación,nouns,0.05
2285,כעס,furia,nouns,4.6
2286,להקה,espíritu,nouns,0.25
2287,דשא,espada,nouns,0.3
2288,לנחש,irritar,verbs,0.05
2289,ערמומי,que no es de fiar,adjectives,1.5
2290,פעולה,álgebra,nouns,1.25
2291,טלויזיה,cine,nouns,2.45
2292,תרנגולת,pájaro,nouns,1.95
2293,מרווח,apertura,nouns,3.2
2294,באופן פסיבי,activamente,adverbs,0.35
2295,להתבונן,mirar,verbs,4.8
2296,קשה,sencillo,adjectives,0.5
2297,ליצור,bucear,verbs,0.1
2298,מטבע,concurrencia,nouns,0.75
2299,לגנוב,comprar,verbs,0.45
2300,אל,padre,nouns,1.1
2301,מוטציה,sociobiología,nouns,0.6
2302,חיה,bestia,nouns,3.65
2303,קמע,actuación,nouns,0.05
2304,חדר,cama,nouns,1.1
2305,להיעלם,desaparecer,verbs,5.0
2306,גובה,conversión,nouns,0.8
2307,שבוע,fin de semana,nouns,1.95
2308,להישאר,salir,verbs,0.55
2309,מעולה,horrible,adjectives,0.5
2310,מובך,trastornado,adjectives,0.9
2311,עכבר,cubierta,nouns,0.05
2312,חדר שינה,baño,nouns,1.15
2313,מאמר מערכת,noticias,nouns,1.9
2314,קיצוני,violento,adjectives,1.75
2315,להתחתן,involucrarse,verbs,1.45
2316,אומללות,desesperación,nouns,2.7
2317,לשחרר,presionar,verbs,0.55
2318,להשאיל,vender,verbs,0.9
2319,לחם,harina,nouns,1.3
2320,להגיע,enviar,verbs,0.8
2321,ג'נטלמן,dama,nouns,1.05
2322,לשים,obtener,verbs,0.5
2323,גג,ventana,nouns,0.8
2324,הנהלה,trabajo,nouns,1.3
2325,סוללה,energía,nouns,2.65
2326,מילה,diccionario,nouns,1.55
2327,יהיר,orgulloso,adjectives,3.6
2328,צוואר,hueso,nouns,0.75
2329,מיליונר,indigente,nouns,0.55
2330,לפגוע,molestar,verbs,2.0
2331,מסך,fonología,nouns,0.2
2332,ספרה,número,nouns,5.05
2333,לעיתים קרובות,raramente,adverbs,0.95
2334,חלק,agudo,adjectives,0.7
2335,לשמור,poseer,verbs,2.7
2336,פרווה,visón,nouns,2.35
2337,לערבב,disolver,verbs,1.9
2338,חום,enfermedad,nouns,2.0
2339,מכונית,taxi,nouns,3.25
2340,קונוס,vaso,nouns,1.8
2341,מנהיג,gerente,nouns,3.2
2342,ביוגרפיה,ficción,nouns,0.75
2343,לרוב,irregularmente,adverbs,0.75
2344,יען,huerta,nouns,0.3
2345,חוזה,condición,nouns,2.05
2346,בקר,ternera,nouns,3.65
2347,בדיה,biografía,nouns,0.75
2348,לברוח,huir,verbs,5.35
2349,אפס,infinito,nouns,0.95
2350,באופן לא טבעי,negativamente,adverbs,1.45
2351,לרדוף,investigar,verbs,1.1
2352,אקדח,amanecer,nouns,0.0
2353,להסכים,complacer,verbs,1.05
2354,להתפלל,comunicar,verbs,0.95
2355,נוקשה,frágil,adjectives,0.35
2356,שחר,noche,nouns,0.95
2357,היעדרות,presencia,nouns,0.65
2358,שעון,falda,nouns,0.4
2359,מפוחד,inseguro,adjectives,1.7
2360,תקשורת,conversacion,nouns,2.65
2361,ללכוד,tomar,verbs,0.7
2362,לגלות,originar,verbs,1.1
2363,אבן,madera,nouns,0.85
2364,רעיון,esquema,nouns,2.6
2365,שקרן,malo,adjectives,1.25
2366,לעצור,advertir,verbs,0.8
2367,מינק,piel,nouns,2.35
2368,גיבור,heroína,nouns,3.3
2369,משימה,nota,nouns,0.7
2370,חשמלי,mecánico,adjectives,1.25
2371,קלף,puente,nouns,0.7
2372,ספר,ensayo,nouns,1.6
2373,תיק,monedero,nouns,2.3
2374,בערך,ligeramente,adverbs,0.65
2375,בבהירות,muy,adverbs,0.3
2376,בקלות,brillantemente,adverbs,0.4
2377,לעצור,controlar,verbs,0.8
2378,מדיה,noticias,nouns,2.5
2379,להתפלל,pedir,verbs,2.0
2380,אשליה,realidad,nouns,0.6
2381,מזג,médico,nouns,0.15
2382,מגדל,campana,nouns,1.35
2383,כבש,cordero,nouns,3.65
2384,קוסם,cable,nouns,0.15
2385,משוגע,enfermos,adjectives,1.3
2386,חריף,bueno,adjectives,0.45
2387,ילד,condición,nouns,0.05
2388,היסטוריון,historiógrafo,nouns,2.9
2389,באופטימיות,posiblemente,adverbs,1.05
2390,רועש,grosero,adjectives,0.7
2391,אלומיניום,metal,nouns,1.95
2392,עצלן,precioso,adjectives,0.0
2393,להכות,objetivo,verbs,0.45
2394,שיניים,martillo,nouns,0.05
2395,מסדרון,puerta,nouns,1.0
2396,זרוע,rama,nouns,2.05
2397,גישה,confianza,nouns,1.3
2398,מנצח,campeón,nouns,4.15
2399,שחקן,entrenador,nouns,0.9
2400,הקפת כדור הארץ,equipaje,nouns,0.65
2401,טלסקופ,silla,nouns,0.25
2402,להחליט,pensar,verbs,1.25
2403,להעניש,enseñar,verbs,0.75
2404,לכווץ,reducir,verbs,3.75
2405,חומרה,caso,nouns,0.55
2406,הוריקן,tormenta,nouns,3.35
2407,גוף,pecho,nouns,1.35
2408,מושל,emperador,nouns,3.0
2409,בוס,director,nouns,5.05
2410,מיטה,habitación,nouns,1.4
2411,גינה,manguera,nouns,0.85
2412,לשרוף,ahogar,verbs,0.4
2413,בישוף,arzobispo,nouns,3.05
2414,גוף,ropa interior,nouns,0.5
2415,בנחישות,tranquilamente,adverbs,0.55
2416,מטומטם,inteligente,adjectives,0.6
2417,נינוח,estresado,adjectives,0.6
2418,עובדה,prueba,nouns,2.05
2419,חדר שינה,cama,nouns,1.4
2420,פה,nariz,nouns,1.05
2421,פונקציה,compilador,nouns,1.3
2422,כלייה,órgano,nouns,2.65
2423,סערה,manta,nouns,0.45
2424,לחפש,encontrar,verbs,1.4
2425,קומה,puerta,nouns,0.95
2426,בניין,habitación,nouns,1.1
2427,בדרך כלל,diariamente,adverbs,3.6
2428,לסגת,rechazar,verbs,0.9
2429,מורכב,fácil,adjectives,0.55
2430,תמונה,reflexión,nouns,1.65
2431,להתאחד,casar,verbs,3.05
2432,הגדרה,diccionario,nouns,2.1
2433,באופן אידיאלי,de modo realista,adverbs,0.85
2434,מוזר,ordinario,adjectives,0.6
2435,פתי,estúpido,adjectives,2.2
2436,לאשר,aceptar,verbs,4.35
2437,אוכלוסייה,gente,nouns,3.5
2438,בד,lino,nouns,2.45
2439,לנשוך,leer,verbs,0.0
2440,משעמם,emocionante,adjectives,0.55
2441,לעיתים רחוקות,a menudo,adverbs,0.95
2442,צמא,hambriento,adjectives,1.35
2443,כיתה,universidad,nouns,1.45
2444,מעצר,célula,nouns,1.05
2445,שוטר,político,nouns,0.55
2446,הכרחי,innecesario,adjectives,0.65
2447,שנה,siglo,nouns,1.85
2448,להרגיז,adivinar,verbs,0.05
2449,מחלה,cáncer,nouns,2.6
2450,לאחד,dividir,verbs,0.6
2451,לכפול,añadir,verbs,1.3
2452,דקה,segundo,nouns,2.4
2453,לולאה,cinturón,nouns,1.25
2454,קינמון,caramelo,nouns,1.0
2455,להישבע,prometer,verbs,5.15
2456,אולם,pasillo,nouns,0.9
2457,לסלוח,entender,verbs,1.1
2458,רשמית,en tono rimbombante,adverbs,0.65
2459,אסון,accidente,nouns,3.8
2460,לאשר,notificar,verbs,1.2
2461,אנשים,globo,nouns,0.35
2462,שקיעה,amanecer,nouns,1.3
2463,תפוד,mantequilla,nouns,0.85
2464,לרכב,correr,verbs,0.7
2465,חיישן,radiador,nouns,1.0
2466,הר געש,magma,nouns,1.8
2467,לעשות,construir,verbs,3.0
2468,נושא,historia,nouns,1.1
2469,שפעת,fiebre,nouns,1.85
2470,מבולגן,ordenado,adjectives,0.6
2471,כיסא,telescopio,nouns,0.25
2472,דיסק,cargador,nouns,0.35
2473,ירך,labio,nouns,0.95
2474,כיכר,mapa,nouns,0.65
2475,בברור,seguramente,adverbs,3.35
2476,פרי הדר,naranja,nouns,3.05
2477,עצם,dientes,nouns,1.65
2478,להחמיר,molestar,verbs,0.65
2479,להופיע,asistir,verbs,3.35
2480,ארון,ropa,nouns,1.35
2481,בעוצמה,abiertamente,adverbs,0.4
2482,כתף,cabeza,nouns,1.45
2483,מונוקלטורה,agricultura,nouns,1.15
2484,חיידק,patógeno,nouns,3.2
2485,לשכוח,conservar,verbs,0.6
2486,להינות,odiar,verbs,0.25
2487,לנצח,tener éxito,verbs,2.65
2488,גן טרום חובה,guardería,nouns,2.7
2489,ציפור,pavo,nouns,2.15
2490,מחלה,infección,nouns,2.2
2491,קבורה מחדש,tumba,nouns,0.9
2492,רע,terrible,adjectives,3.6
2493,סוכרוז,carbohidrato,nouns,1.95
2494,חילוק,multiplicación,nouns,1.2
2495,שקיעה,noche,nouns,1.55
2496,קריסטל,vaso,nouns,2.0
2497,להגן,salvar,verbs,2.6
2498,חופש,censura,nouns,0.6
2499,קונגרס,parlamento,nouns,3.85
2500,בגדים,botón,nouns,1.35
2501,לבכות,sollozar,verbs,4.45
2502,ניטרלי,indeciso,adjectives,1.5
2503,מחבט,pelota,nouns,1.3
2504,לצחוק,llorar,verbs,0.55
2505,קול ,acústica,nouns,3.2
2506,לחנוק,quemar,verbs,0.4
2507,סוסה,caballo,nouns,3.0
2508,מילה,pista,nouns,0.45
2509,אי,playa,nouns,1.6
2510,חולה,loco,adjectives,1.3
2511,שר,rabino,nouns,1.1
2512,שמיים,sueño,nouns,0.65
2513,מציאות,espejismo,nouns,0.6
2514,דם,médula,nouns,1.35
2515,להכחיש,mentir,verbs,1.3
2516,להתעלם,pedir,verbs,0.45
2517,רמז,palabra,nouns,0.45
2518,צורה,moda,nouns,0.5
2519,מנגינה,música,nouns,3.8
2520,פשע,ataque,nouns,2.15
2521,היגיון,inteligencia,nouns,3.05
2522,דוכס,república,nouns,0.55
2523,להצליח,ganar,verbs,2.65
2524,לתפוס,perseguir,verbs,1.45
2525,להתחיל,dejar,verbs,0.6
2526,בזמן האחרון,recientemente,adverbs,5.35
2527,יומיומי,normalmente,adverbs,3.6
2528,למשוך,empujar,verbs,1.45
2529,ברצינות,sinceramente,adverbs,1.65
2530,כרגע,delicadamente,adverbs,0.0
2531,לחבר,separar,verbs,0.55
2532,אמבטיה,habitación,nouns,1.0
2533,משימה,trabajo,nouns,4.15
2534, לנער,remover,verbs,2.65
2535,עצבני,asustado,adjectives,1.55
2536,להופיע,salir,verbs,0.6
2537,מיץ,leche,nouns,1.1
2538,צי,ejército,nouns,3.95
2539,דרום,norte,nouns,1.0
2540,פאון,actor,nouns,0.6
2541,להשפיל,comodidad,verbs,0.35
2542,בטיחות,comodidad,nouns,1.4
2543,לצעוד,estar,verbs,0.75
2544,לסת,hueso,nouns,1.35
2545,קולנוע,televisión,nouns,2.45
2546,אובך,nube,nouns,1.4
2547,ללחוץ,lanzar,verbs,0.55
2548,להפריך,permitir,verbs,0.35
2549,כותנה,poliéster,nouns,1.4
2550,מלחין,escritor,nouns,2.2
2551,לחזות,suponer,verbs,3.1
2552,צריח,capilla,nouns,1.45
2553,בגדים,chaqueta,nouns,1.55
2554,עץ,manta,nouns,0.2
2555,זכות,justicia,nouns,1.65
2556,שריר,lengua,nouns,1.7
2557,טוב,mediocre,adjectives,0.7
2558,מסטיק,menta,nouns,0.65
2559,חצי אי,isla,nouns,1.85
2560,לכוון,golpear,verbs,0.45
2561,ענן,niebla,nouns,2.4
2562,היגיון,aritmética,nouns,1.7
2563,הכרחי,esencial,adjectives,5.05
2564,לחוב,entrar,verbs,0.0
2565,באולינג,jugador de bolos,nouns,2.55
2566,להתעלם,olvidar,verbs,1.9
2567,פסקה,carta,nouns,1.2
2568,קפה,frijol,nouns,0.8
2569,רהיט,cama,nouns,1.8
2570,להתווכח,de acuerdo,verbs,0.7
2571,הלילה,mañana,adverbs,0.75
2572,זיהום,inflexión,nouns,0.15
2573,צוק,colina,nouns,1.85
2574,לעזוב,entrar,verbs,0.5
2575,ביקורתי,grosero,adjectives,0.95
2576,מועדון,sociedad,nouns,2.5
2577,אלכוהול,cerveza,nouns,2.35
2578,באופן פסיבי,silenciosamente,adverbs,0.9
2579,אירוסין,anillo,nouns,2.1
2580,מועדון,marca,nouns,0.45
2581,טרי,nuevo,adjectives,3.75
2582,להקה,orquesta,nouns,4.05
2583,תמיד,dos veces,adverbs,0.5
2584,גאה,fuerte,adjectives,0.65
2585,ערמומי,extraño,adjectives,0.5
2586,מקצוע,universidad,nouns,1.1
2587,לשפוט,acusar,verbs,2.7
2588,קשב,interés,nouns,3.05
2589,מזג אוויר,ola,nouns,0.6
2590,לתקוף,agravar,verbs,0.95
2591,כבד,cargado,adjectives,2.15
2592,לנשל,renunciar,verbs,1.5
2593,בשר,sándwich,nouns,0.95
2594,מיכל,ratón,nouns,0.05
2595,אקדח,cuchillo,nouns,1.75
2596,גאווה,alegría,nouns,1.6
2597,יקום,cielo,nouns,1.55
2598,גדול,nacional,adjectives,0.5
2599,מתכת,estaño,nouns,1.75
2600,זנב,cuenco,nouns,0.1
2601,מעסיק,empleado,nouns,1.25
2602,גשם,llovizna,nouns,3.75
2603,פאי,chocolate,nouns,1.2
2604,סרט,teatro,nouns,1.35
2605,בלבול,histeria,nouns,1.45
2606,תבונה,inteligencia,nouns,4.5
2607,להתעלם,imprimir,verbs,0.1
2608,עסק,empresa,nouns,3.7
2609,אמן,obra de arte,nouns,1.55
2610,דודה,tío,nouns,3.2
2611,יד,dedo,nouns,1.2
2612,סמסטר,término,nouns,1.9
2613,להחזיק,mantener,verbs,2.7
