ID,HEB,SPA,PoS,score
2614,מבוהל,emocionado,adjectives,1.05
2615,מטומטם,enorme,adjectives,0.1
2616,גל,clima,nouns,0.6
2617,מינק,petróleo,nouns,0.2
2618,מוזר,astuto,adjectives,0.5
2619,כובע,caja,nouns,0.2
2620,להתמוסס,mezclar,verbs,1.9
2621,פרוזדור,corredor,nouns,5.6
2622,ילדותי,irresponsable,adjectives,2.7
2623,לחי,lengua,nouns,0.85
2624,יכולת,competencia,nouns,3.55
2625,ספר,información,nouns,1.3
2626,לנחור,despierto,verbs,0.55
2627,להאשים,mentir,verbs,0.65
2628,ציור,alboroto,nouns,0.15
2629,מכונית,puente,nouns,0.5
2630,חבר,chico,nouns,1.8
2631,צמד,pareja,nouns,5.1
2632,ספר,tema,nouns,0.95
2633,להכחיש,evitar,verbs,1.1
2634,קומה,techo,nouns,1.2
2635,טלה,oveja,nouns,3.65
2636,חמישי,parte superior,adjectives,0.3
2637,לשלב,combinar,verbs,4.3
2638,באופן מציאותי,idealmente,adverbs,0.85
2639,חוט,puesta de sol,nouns,0.0
2640,אופניים,coche,nouns,1.2
2641,אוגוסט,mes,nouns,2.65
2642,לשכנע,tratar,verbs,1.4
2643,להגיד,participar,verbs,0.9
2644,אטום,molécula,nouns,2.55
2645,קל,difícil,adjectives,0.55
2646,לגלות,explorar,verbs,2.9
2647,כדור,disfraz,nouns,0.3
2648,דבורה,hormiga,nouns,1.2
2649,להיכשל,perder,verbs,2.6
2650,לשכנע,perseguir,verbs,0.45
2651,אדן,montaña,nouns,0.4
2652,בלדה,canción,nouns,4.0
2653,להתחיל,ir,verbs,0.45
2654,מתבייש,culpable,adjectives,1.3
2655,אחוזה,escultor,nouns,0.6
2656,מעי,nervio,nouns,0.65
2657,צנזורה,libertad,nouns,0.6
2658,מאמנים,medalla,nouns,0.6
2659,ליצור,construir,verbs,4.05
2660,יומן,fórmula,nouns,0.3
2661,ישן,nuevo,adjectives,0.6
2662,פרטי,público,adjectives,0.6
2663,מספר,dígito,nouns,5.05
2664,בד,ropa,nouns,2.0
2665,שיבולת שועל,campo,nouns,1.25
2666,כבל,cuerda,nouns,3.0
2667,זוג,par,nouns,5.1
2668,בחירה,opinión,nouns,1.2
2669,לסיים,resolver,verbs,2.55
2670,בדחיפות,con rapidez,adverbs,3.7
2671,באופן אידיאלי,mecánicamente,adverbs,0.25
2672,להניח,dar,verbs,1.0
2673,תקרה,catedral,nouns,0.6
2674,להצליף,golpear,verbs,4.1
2675,קערה,callejón,nouns,0.0
2676,תמונה,idea,nouns,1.25
2677,מחשב,disco,nouns,1.15
2678,מוזיאון,menta,nouns,0.2
2679,כסף,diamante,nouns,0.9
2680,מיותר,necesario,adjectives,0.65
2681,תזמורת,banda,nouns,4.05
2682,ביוטופ,biología,nouns,1.25
2683,אדום,azul,adjectives,1.0
2684,הליום,aire,nouns,1.65
2685,גדול,flexible,adjectives,0.1
2686,רציני,gracioso,adjectives,0.45
2687,לשתות,tragar,verbs,2.0
2688,תוקפנות,hostilidad,nouns,3.65
2689,ליידע,limpiar,verbs,0.0
2690,סנוברד,esquí,nouns,2.7
2691,באופן אמין,aproximadamente,adverbs,0.8
2692,יד,muñeca,nouns,1.95
2693,עץ,bote,nouns,0.7
2694,מחלה,fiebre,nouns,2.0
2695,ערמומי,difícil,adjectives,0.4
2696,כתב יד,artículo,nouns,2.25
2697,מבחן,juicio,nouns,1.6
2698,בועה,jabonaduras,nouns,1.9
2699,סנט,gente,nouns,0.7
2700,אח,alma,nouns,0.25
2701,אינסוף,cero,nouns,0.95
2702,כינור,guitarra,nouns,1.25
2703,גלקסיה,astrónomo,nouns,1.55
2704,מורתח,cocido,adjectives,3.9
2705,לעיתים,regularmente,adverbs,1.6
2706,לנסות,convencer,verbs,1.4
2707,זרוע,hueso,nouns,1.1
2708,ברזל,vitamina,nouns,1.1
2709,חלון,techo,nouns,0.8
2710,עין,lágrima,nouns,1.25
2711,פסקה,página,nouns,1.95
2712,נערה,niño,nouns,3.6
2713,בכנות,nunca,adverbs,0.1
2714,סמטה,calle,nouns,3.6
2715,להיכשל,tener éxito,verbs,0.6
2716,להיעלם,encoger,verbs,1.1
2717,רפובליקה,duque,nouns,0.55
2718,מעבר,sala,nouns,0.9
2719,מכונית,bote,nouns,1.1
2720,רובה,cañón,nouns,1.95
2721,גדר,saltando,nouns,0.55
2722,עתיק,nuevo,adjectives,0.6
2723,אטום,carbón,nouns,1.55
2724,סיפון,piso,nouns,1.5
2725,לברך,reunirse,verbs,0.6
2726,צד,fondo,nouns,1.35
2727,דירה,casa,nouns,4.25
2728,לטאה,gobierno,nouns,0.05
2729,להשוות,analizar,verbs,2.35
2730,כתב יד,libro,nouns,2.2
2731,תנין,lagartija,nouns,2.7
2732,לימודים,derecho,nouns,0.9
2733,אח,niño,nouns,2.15
2734,גוף,estómago,nouns,1.8
2735,מכונה,computadora,nouns,3.15
2736,תגמול,pago,nouns,4.1
2737,ידיד,compañero,nouns,4.15
2738,ילד,chico,nouns,4.1
2739,צפוף,difícil,adjectives,1.25
2740,גמיש,fácil,adjectives,1.55
2741,בחירה,vena,nouns,0.0
2742,סוס,buey,nouns,1.55
2743,לשמוע,percibir,verbs,1.75
2744,מנגינה,ritmo,nouns,3.3
2745,סנט,esposa,nouns,0.15
2746,באופן עצמאי,responsablemente,adverbs,1.05
2747,טופולוגיה,estructura,nouns,2.05
2748,עוף,arroz,nouns,0.8
2749,קר,ordinario,adjectives,0.25
2750,כועס,alegre,adjectives,0.6
2751,כבד,órgano,nouns,2.0
2752,באופן מציאותי,recientemente,adverbs,0.1
2753,בינוני,bien,adjectives,0.7
2754,קרב,beligerancia,nouns,3.25
2755,לתת,desconocer,verbs,0.5
2756,טייס משנה,cabina,nouns,1.05
2757,דעה,idea,nouns,3.3
2758,לדחוף,tirar,verbs,1.45
2759,חבוי,abierto,adjectives,0.5
2760,שביר,frígido,adjectives,0.35
2761,לשער,predecir,verbs,3.1
2762,מתכת,aluminio,nouns,1.95
2763,חתול,ratón,nouns,1.0
2764,להתווכח,debate,verbs,3.15
2765,להגיד,recordar,verbs,1.25
2766,פרספקטיבה,distancia,nouns,2.1
2767,לאמת,justificar,verbs,2.15
2768,לגדל,levantar,verbs,0.85
2769,מיץ,manzana,nouns,1.15
2770,מולקולה,matriz,nouns,0.3
2771,מלהיב,aburrido,adjectives,0.55
2772,מבולגן,feo,adjectives,0.9
2773,להאשים,empujar,verbs,0.25
2774,אסם,casa,nouns,1.05
2775,משולב,mezclado,adjectives,2.65
2776,הפוך,único,adjectives,0.75
2777,בינוני,templado,adjectives,2.35
2778,כיבוש,viaje,nouns,1.05
2779,להביא,restaurar,verbs,0.65
2780,דיסק,ordenador,nouns,1.15
2781,לבקש,ignorar,verbs,0.45
2782,נכס,valores,nouns,2.8
2783,להקטין,encoger,verbs,3.75
2784,מנצח,gol,nouns,0.85
2785,צר,amplio,adjectives,0.6
2786,בייקון,frijol,nouns,0.65
2787,לחלק,unir,verbs,0.6
2788,שלג,avalancha,nouns,1.65
2789,תקיפה,delito,nouns,2.15
2790,בירה,champán,nouns,1.75
2791,לרכוש,unirse,verbs,0.55
2792,סלט,vinagre,nouns,1.1
2793,כהונה,sultán,nouns,0.75
2794,שגוי,preciso,adjectives,0.55
2795,סוס,yegua,nouns,3.0
2796,חרב,trono,nouns,0.5
2797,נשיא,alcalde,nouns,2.0
2798,לאשר,hablar,verbs,0.8
2799,להריח,mimar,verbs,0.05
2800,באופן אחיד,a veces,adverbs,0.35
2801,לעולם לא,raramente,adverbs,2.0
2802,לפגוע,atacar,verbs,2.8
2803,עובד,oficina,nouns,0.7
2804,אזור,área,nouns,5.1
2805,באופן משמעותי,especialmente,adverbs,2.6
2806,חקר דגלים,bandera,nouns,1.4
2807,לבשל,freír,verbs,2.45
2808,פעילות,movimiento,nouns,2.5
2809,שפך,mar,nouns,1.4
2810,פתוגן,germen,nouns,3.2
2811,עקום,curvo,adjectives,4.0
2812,באופן משמעותי,profundamente,adverbs,2.55
2813,ברית מילה,prepucio,nouns,1.85
2814,משעמם,cansado,adjectives,1.25
2815,דלת,portal,nouns,2.6
2816,סיגר,caja,nouns,0.7
2817,באלגנטיות,hermosamente,adverbs,1.75
2818,שיניים,boca,nouns,1.55
2819,להתדרדר,limpiar,verbs,0.2
2820,לימון,té,nouns,0.7
2821,פטרוזיליה,mollete,nouns,0.65
2822,שמיכה,cama,nouns,1.25
2823,תעופה,vuelo,nouns,2.55
2824,מוכר,nacional,adjectives,0.8
2825,סכנה,amenaza,nouns,4.1
2826,משחק,truco,nouns,1.75
2827,מיטה,sofá,nouns,2.2
2828,ויטמין,plancha,nouns,1.1
2829,ג'ויסטיק,radar,nouns,0.3
2830,לרצות,entretener,verbs,1.1
2831,נסיכה,galleta,nouns,0.0
2832,מיטה,cuna,nouns,3.3
2833,אקדח,sargento,nouns,0.55
2834,בטבעיות,antinaturalmente,adverbs,0.5
2835,הרס,construcción,nouns,0.65
2836,חלון,nube,nouns,0.65
2837,מערב,norte,nouns,1.2
2838,עבריין,criminal,nouns,5.05
2839,באופן מסוכן,cuidadosamente,adverbs,0.6
2840,חול,pie,nouns,0.45
2841,צנוע,puro,adjectives,0.9
2842,בליץ,ataque,nouns,3.05
2843,קומבינציה,unión,nouns,3.55
2844,משורר,periodista,nouns,1.25
2845,להרוס,hacer,verbs,0.6
2846,פרפר,rosa,nouns,0.4
2847,לחגוג,sorprender,verbs,1.15
2848,מודרני,antiguo,adjectives,0.6
2849,גבר,mujer,nouns,1.55
2850,רגשית,tristemente,adverbs,1.3
2851,חירום,accidente,nouns,2.6
2852,אלכוהול,vino,nouns,1.95
2853,ים,océano,nouns,3.85
2854,קושי,esfuerzo,nouns,2.75
2855,כלא,elección,nouns,0.5
2856,בקלות,aproximadamente,adverbs,0.25
2857,טלפון,cabina,nouns,0.9
2858,לשקם,reparar,verbs,4.4
2859,מסגרת,golpear,nouns,0.15
2860,גוף,brazo,nouns,1.3
2861,מעסיק,obrero,nouns,1.25
2862,חרב,ambiente,nouns,0.05
2863,אוניברסיטה,campus,nouns,2.95
2864,ספירה,pelota,nouns,2.75
2865,להבהיר,definir,verbs,3.15
2866,באמת,perfectamente,adverbs,1.2
2867,להגיע,traer,verbs,0.55
2868,נסיבות,situación,nouns,4.95
2869,דוד,hombre,nouns,1.9
2870,לסמוך,fallar,verbs,0.3
2871,תקשורת,televisión,nouns,1.8
2872,מזכירה,mujer,nouns,0.9
2873,כיסא,banco,nouns,3.05
2874,בכנות,generalmente,adverbs,0.45
2875,מדהים,ordinario,adjectives,0.5
2876,כישלון,bancarrota,nouns,1.85
2877,עומק,magnitud,nouns,1.5
2878,גדול,ancho,adjectives,2.05
2879,הלילה,hoy,adverbs,2.0
2880,מולקולה,átomo,nouns,2.55
2881,מאהב,compañero,nouns,1.8
2882,באופן שגרתי,normalmente,adverbs,4.25
2883,שולחן,puesta de sol,nouns,0.05
2884,וריד,estómago,nouns,0.6
2885,להפוך,aparecer,verbs,0.5
2886,מצוין,malo,adjectives,0.35
2887,יפה,esmeradamente,adverbs,1.75
2888,חודש,agosto,nouns,2.65
2889,בחור,pareja,nouns,1.25
2890,לעשות,dejar,verbs,0.55
2891,בשר,filete,nouns,3.55
2892,להקשיב,entender,verbs,1.45
2893,להזדרז,apurarse,verbs,5.5
2894,תא,teléfono,nouns,0.9
2895,להסכים,reconocer,verbs,4.35
2896,גדול,alto,adjectives,3.35
2897,לדרוש,discutir,verbs,0.7
2898,לתפוס,recibir,verbs,0.65
2899,לנחם,humillar,verbs,0.35
2900,חשוב,crucial,adjectives,3.8
2901,עידן,década,nouns,2.5
2902,ענן,clima,nouns,0.95
2903,לחבק,exprimir,verbs,0.95
2904,חלון,tobillo,nouns,0.05
2905,אכזר,injusto,adjectives,1.45
2906,כלי,violín,nouns,2.15
2907,רחב,fresco,adjectives,0.05
2908,מטופל,sesión,nouns,0.9
2909,ילד,arroz,nouns,0.2
2910,מכונית,calibre,nouns,0.6
2911,אישה,piel,nouns,0.35
2912,מילה,periódico,nouns,1.3
2913,חברה,club,nouns,2.5
2914,להרוג,ahogarse,verbs,1.7
2915,פרה,cabra,nouns,1.5
2916,זכות בחירה,salida,nouns,0.05
2917,סינמטוגרפיה,director,nouns,1.65
2918,לפנות,desocupar,verbs,4.25
2919,מיקרוסקופ,biólogo,nouns,1.2
2920,לאמת,decir,verbs,0.8
2921,ליצור,imaginar,verbs,1.45
2922,לשכוח,saber,verbs,0.6
2923,ייחודי,opuesto,adjectives,0.75
2924,פשוט,aparentemente,adverbs,0.6
2925,עמוס,pesado,adjectives,2.15
2926,עמוד,párrafo,nouns,1.95
2927,להוכיח,discutir,verbs,1.15
2928,שלג,tormenta,nouns,1.6
2929,דם,virus,nouns,1.15
2930,מעולה,enojado,adjectives,0.35
2931,עצם,rodilla,nouns,1.2
2932,צופן,símbolo,nouns,1.95
2933,ראש,uña,nouns,0.6
2934,ללכת,salir,verbs,3.1
2935,אשמה,sistema,nouns,0.3
2936,מלוכלך,estrecho,adjectives,0.0
2937,עצם,cerebro,nouns,0.85
2938,דוקטור,dentista,nouns,4.6
2939,נוכחות,ganador,nouns,0.2
2940,להצהיר,anunciar,verbs,4.2
2941,ויכוח,acuerdo,nouns,1.1
2942,סרטן,enfermedad,nouns,2.6
2943,בעיקרון,completamente,adverbs,1.25
2944,לשכוח,perdonar,verbs,2.0
2945,חיה,persona,nouns,0.9
2946,טייפון,ciclón,nouns,4.5
2947,להצליח,fallar,verbs,0.6
2948,לנשל,negar,verbs,1.25
2949,להבחין,oír,verbs,1.75
2950,לילה,día,nouns,1.0
2951,באופן לא הוגן,justamente,adverbs,0.55
2952,פרח,violeta,nouns,2.2
2953,לרדוף,persuadir,verbs,0.45
2954,גודל,centavo,nouns,0.2
2955,פרקליט,banquero,nouns,1.3
2956,גדול,pesado,adjectives,1.15
2957,קוביית משחק,cubo,nouns,4.0
2958,להתעלם,salir,verbs,0.6
2959,לאחרונה,últimamente,adverbs,5.35
2960,לריב,discrepar,verbs,1.25
2961,אוכל,programa,nouns,0.3
2962,חרדל,semilla,nouns,1.6
2963,יומן,fecha,nouns,1.5
2964,שועל,sabueso,nouns,1.55
2965,להבין,escucha,verbs,1.45
2966,להתחרות,terminar,verbs,0.2
2967,לב,cirugía,nouns,0.95
2968,לגנות,rechazar,verbs,2.15
2969,דת,materialista,nouns,0.7
2970,אף,cabeza,nouns,1.15
2971,ללכת,vender,verbs,0.1
2972,מצב,situación,nouns,4.85
2973,ברוגע,sutilmente,adverbs,2.25
2974,שקיעה,mesa,nouns,0.05
2975,עצם,brazo,nouns,1.1
2976,גס,feo,adjectives,0.95
2977,כף,jugo,nouns,0.35
2978,שמח,joven,adjectives,0.4
2979,טהור,modesto,adjectives,0.9
2980,לחוץ,relajado,adjectives,0.6
2981,ביולוגיה,biotopo,nouns,1.25
2982,להמתין,salir,verbs,0.4
2983,שוטר,copiloto,nouns,0.75
2984,מפתח,candado,nouns,1.95
2985,עורף,cola,nouns,1.95
2986,ביהביוריזם,terapia,nouns,1.1
2987,באופן סביל,seguramente,adverbs,0.5
2988,להתווכח,probar,verbs,1.15
2989,מצב,circunstancia,nouns,4.95
2990,ארנב,gato,nouns,1.1
2991,תיאוריה,química,nouns,0.6
2992,מסודר,sucio,adjectives,0.6
2993,אנשים,partido,nouns,1.15
2994,הומופון,fotófono,nouns,0.9
2995,מכשיר,maceta,nouns,0.65
2996,גאה,arrogante,adjectives,3.6
2997,שבבים,cursor,nouns,0.15
2998,בייקון,carne,nouns,1.95
2999,לקבל,recomendar,verbs,0.95
3000,יכולת,fuerza,nouns,2.8
3001,לאבד,cocinar,verbs,0.05
3002,טלויזיה,comunicación,nouns,1.8
3003,לילה,amanecer,nouns,0.95
3004,נדיר,exótico,adjectives,4.4
3005,להתרחש,suceder,verbs,4.9
3006,סוף שבוע,raza,nouns,0.05
3007,מוות,entierro,nouns,1.85
3008,לקחת,obtener,verbs,2.15
3009,מטומטם,listo,adjectives,0.55
3010,ברנדי,alcohol,nouns,2.15
3011,בנחישות,suavemente,adverbs,0.35
3012,לשמור,olvidar,verbs,0.6
3013,מזוייף,real,adjectives,0.55
3014,עדשה,cámara,nouns,2.15
3015,לשנוא,criticar,verbs,0.75
3016,להבהיר,explicar,verbs,4.5
3017,מולקולה,aire,nouns,1.25
3018,קוקטייל,alcohol,nouns,2.45
3019,תקרה,suelo,nouns,0.95
3020,ללכת,empezar,verbs,0.45
3021,סופר,regalo,nouns,0.7
3022,סימולציה,robótica,nouns,1.05
3023,ערב,puesta de sol,nouns,1.55
3024,אלים,radical,adjectives,1.75
3025,למכור,pedir prestado,verbs,0.9
3026,כלב,zorro,nouns,1.55
3027,חדשות,medio,nouns,2.5
3028,חדש,nuevo,adjectives,3.75
3029,לאפשר,erosionar,verbs,0.05
3030,נדיב,bonito,adjectives,0.75
3031,פטיש,dientes,nouns,0.05
3032,חום,gripe,nouns,1.85
3033,נפוטיזם,rey,nouns,1.45
3034,בערך,impacientemente,adverbs,0.15
3035,לסיים,aplazar,verbs,0.6
3036,כנסייה,catedral,nouns,4.3
3037,חתול,perro,nouns,1.1
3038,שנייה,minuto,nouns,2.4
3039,מדבר,duna,nouns,2.3
3040,סיוף,gimnasia,nouns,1.95
3041,כנראה,afirmativamente,adverbs,1.2
3042,נסיכה,rey,nouns,1.9
3043,צמחייה,naturaleza,nouns,2.35
3044,לעצור,conducir,verbs,0.75
3045,מחר,esta noche,adverbs,0.75
3046,אקדח,piel,nouns,0.05
3047,אמונה,opinión,nouns,3.5
3048,הורה,adulto,nouns,1.5
3049,ללכת,entrar,verbs,0.95
3050,לפעמים,a menudo,adverbs,2.05
3051,מפוחד,nervioso,adjectives,1.55
3052,סופר,compositor,nouns,2.2
3053,לחקות,capturar,verbs,0.35
3054,שלם,terminado,adjectives,2.65
3055,להסכים,diferir de,verbs,0.7
3056,קורס,estómago,nouns,0.05
3057,היפותזה,teoría,nouns,4.35
3058,בבגרות,inteligentemente,adverbs,1.25
3059,פח,metal,nouns,1.75
3060,כדור,cesta,nouns,0.65
3061,בעצב,locamente,adverbs,0.85
3062,ייתכן,probable,adverbs,4.6
3063,ללכת,cojear,verbs,1.2
3064,מאמן,jugador,nouns,0.9
3065,איחוד,suma,nouns,3.1
3066,זריחה,puesta de sol,nouns,1.3
3067,שור,caballo,nouns,1.55
3068,חקלאות,monocultivo,nouns,1.15
3069,איריס,acetilcolina,nouns,0.45
3070,תחום,frontera,nouns,4.7
3071,טרף,dios,nouns,0.05
3072,יד,uña,nouns,1.15
3073,הדגמה,ampolla,nouns,0.0
3074,סיפור,lápiz,nouns,0.7
3075,לשחרר,captura,verbs,0.7
3076,להגביל,reducir,verbs,1.95
3077,אלים,pasivo,adjectives,0.4
3078,מוזר,bizarro,adjectives,4.6
3079,דלת,cocina,nouns,0.8
3080,מצחיק,aburrido,adjectives,0.5
3081,גבר,tío,nouns,1.9
3082,מטרה,búsqueda,nouns,1.2
3083,לקבל,perdonar,verbs,2.05
3084,מפרק,mano,nouns,1.95
3085,תותח,pelota,nouns,0.7
3086,חוזק,resistencia,nouns,2.85
3087,לשון,músculo,nouns,1.7
3088,מיטה,silla,nouns,1.3
3089,להביא,quejar,verbs,0.0
3090,לאומי,conocido,adjectives,0.8
3091,קריקט,seguidor,nouns,0.3
3092,לקחת,aprovechar,verbs,0.7
3093,טיעון,crítica,nouns,2.2
3094,לקבל,creer,verbs,1.4
3095,להמיס,disolver,verbs,2.1
3096,חזק,débiles,adjectives,0.65
3097,לפגוע,patear,verbs,1.35
3098,קיר,ladrillo,nouns,1.5
3099,גבינה,un pan,nouns,0.75
3100,עליון,quinto,adjectives,0.3
3101,ספרות,libro,nouns,2.1
3102,המנון,conquista,nouns,0.4
3103,ספורטאי,corredor,nouns,2.8
3104,להודיע,declarar,verbs,4.2
3105,חגורה,lazo,nouns,1.25
3106,כיתה,pasillo,nouns,0.55
3107,לעזוב,deambular,verbs,1.35
3108,כאן,ahora,adverbs,2.4
3109,להתעורר,roncar,verbs,0.55
3110,מתישהו,a veces,adverbs,1.55
3111,בורא,fabricante,nouns,4.45
3112,מסכן,orgulloso,adjectives,0.2
3113,סגנון,moda,nouns,3.65
3114,נוסחה,tronco,nouns,0.3
3115,לחקור,examinar,verbs,3.9
3116,ציפורן,mano,nouns,1.15
3117,בית דין,justicia,nouns,2.4
3118,מטען,disco,nouns,0.35
3119,לצעוק,discutir,verbs,1.45
3120,אחרת,extrañamente,adverbs,0.95
3121,אינטליגנציה,lógica,nouns,3.05
3122,פיכח,borracho,adjectives,0.6
3123,להתווכח,estar de acuerdo,verbs,0.7
3124,עייף,hambriento,adjectives,0.95
3125,תשוקה,emoción,nouns,3.1
3126,סכום,unión,nouns,3.1
3127,עוזרת,niña,nouns,0.6
3128,לרכב,barajar,verbs,0.7
3129,כוח,capacidad,nouns,2.8
3130,רוח,dios,nouns,1.3
3131,הכתרה,agua,nouns,0.05
3132,בגדים,paño,nouns,2.0
3133,סערה,nieve,nouns,1.6
3134,אפשרי,posiblemente,adverbs,4.6
3135,להכות,castigar,verbs,1.6
3136,לחשוב,tratar,verbs,0.6
3137,בקביעות,ocasionalmente,adverbs,1.6
3138,דיון,discusión,nouns,2.45
3139,חדר,bañera,nouns,1.0
3140,חשמלית,tren,nouns,2.65
3141,בגאווה,pacíficamente,adverbs,0.2
3142,חלון,puerta,nouns,1.2
3143,מוסר,leyenda,nouns,0.45
3144,למצוא,buscar,verbs,1.4
3145,לספוג,reducir,verbs,0.25
3146,משימה,autopista,nouns,0.05
3147,עמוד,palabra,nouns,0.85
3148,שמפניה,whisky,nouns,1.7
3149,לשכנע,discutir,verbs,1.55
3150,להשתתף,decir,verbs,0.9
3151,להגן,proteger,verbs,4.6
3152,עכבר,administración,nouns,0.0
3153,חשמל,caso,nouns,0.2
3154,שעועית,tocino,nouns,0.65
3155,אורח חיים,civilización,nouns,1.0
3156,במהירות,urgentemente,adverbs,3.7
3157,לשאוף,ejecutar,verbs,0.45
3158,בייסבול,sofá,nouns,0.2
3159,זועם,vacilante,adjectives,1.0
3160,התעמלות,esgrima,nouns,1.95
3161,ביטוי,palabra,nouns,2.15
3162,חוף,barco de cañón,nouns,0.95
3163,כיבוש,batalla,nouns,1.95
3164,רושם,creencia,nouns,1.7
3165,תקשורת,idioma,nouns,1.9
3166,להתכחש,desconocer,verbs,1.5
3167,חלום,cielo,nouns,0.65
3168,תחתית,parte superior,nouns,0.6
3169,איבר,riñón,nouns,2.65
3170,חייזר,forastero,nouns,1.85
3171,לקנות,paga,verbs,1.75
3172,לסדוק,romper,verbs,3.0
3173,פסגה,lado,nouns,0.85
3174,לטגן,cocinar,verbs,2.45
3175,מתון,medio,adjectives,2.35
3176,ג'ין,alcohol,nouns,2.25
3177,פשע,robo,nouns,2.7
3178,היסטוריוגרף,historiador,nouns,2.9
3179,תולעת,código malicioso,nouns,1.5
3180,ללבוש,romper,verbs,0.15
3181,לצמצם,descender,verbs,2.0
3182,בקפידה,cautelosamente,adverbs,4.1
3183,שיחה,comunicación,nouns,2.65
3184,עיתון,información,nouns,1.75
3185,מייפל,árbol,nouns,3.15
3186,מקצב,poema,nouns,1.55
3187,יצירתי,innovador,adjectives,3.85
3188,לברר,exigir,verbs,1.4
3189,זהה,similar,adjectives,3.85
3190,לצייר,crear,verbs,1.8
3191,אב,dios,nouns,1.1
3192,גברת,hidalgo,nouns,1.05
3193,ברור,seguramente,adverbs,2.9
3194,שדה תעופה,pieza,nouns,0.1
3195,וריד,brazo,nouns,0.8
3196,שמחה,orgullo,nouns,1.6
3197,להוסיף,multiplicar,verbs,1.3
3198,ספה,béisbol,nouns,0.2
3199,ללכת,permitir,verbs,0.25
3200,ים,tsunami,nouns,1.55
3201,לשחות,reunirse,verbs,0.05
3202,ללמד,castigar,verbs,0.75
3203,אלים,suave,adjectives,0.45
3204,להזכיר,olvidar,verbs,0.55
3205,פשוט,fácil,adjectives,4.0
3206,מעונן,pronóstico,nouns,1.3
3207,גמיש,modesto,adjectives,0.25
3208,לעזוב,ir,verbs,3.1
3209,טקסט,libro,nouns,2.55
3210,בינוני,aburrido,adjectives,1.0
3211,בשקט,pasivamente,adverbs,0.9
3212,הפרה,crimen,nouns,2.6
3213,לפני,después,adverbs,0.55
3214,אינץ',metro,nouns,1.7
3215,לקבל,captura,verbs,0.65
3216,להשתכר,merecer,verbs,0.85
3217,תלותי,inseguro,adjectives,1.0
3218,נמרצות,felizmente,adverbs,0.35
3219,נהר,corriente,nouns,2.0
3220,גרון,lengua,nouns,1.1
3221,להכחיש,aceptar,verbs,0.25
3222,בשלווה,caóticamente,adverbs,0.25
3223,סופה,viento,nouns,1.95
3224,לשלוט,detener,verbs,0.8
3225,כשירות,capacidad,nouns,3.55
3226,חדש,antiguo,adjectives,0.6
3227,לסיים,graduarse,verbs,1.65
3228,כוכב,planeta,nouns,3.25
3229,באופן שולי,aproximadamente,adverbs,0.65
3230,להביא,venir,verbs,0.55
3231,מים,sequía,nouns,0.85
3232,תזמורת,desfile,nouns,1.95
3233,שחיתות,fraude,nouns,3.4
3234,מצעד,multitud,nouns,1.85
3235,טקס,celebracion,nouns,3.65
3236,לרצות,pedir prestado,verbs,0.6
3237,ג'ינס,mujer,nouns,0.45
3238,לבחור,rechazar,verbs,0.3
3239,סירה,árbol,nouns,0.7
3240,מאה,espíritu,nouns,0.05
3241,לאסור,detener,verbs,2.2
3242,להשאיל,mantener,verbs,0.65
3243,סיעור מוחות,telescopio,nouns,0.0
3244,מעוקל,agresivo,adjectives,0.05
3245,זעיר,enorme,adjectives,0.6
3246,מעטפה,decoración,nouns,0.25
3247,דביק,mojado,adjectives,0.95
3248,לגמרי,puramente,adverbs,2.05
3249,בקול רם,suavemente,adverbs,0.3
3250,מעולה,malo,adjectives,0.5
3251,כוכב,asteroide,nouns,2.3
3252,הונאה,corrupción,nouns,3.4
3253,בעצב,emocionalmente,adverbs,1.3
3254,בוגר,inmaduro,adjectives,0.75
3255,נזיר,sacerdote,nouns,3.45
3256,שמח,enfadado,adjectives,0.55
