ID,RUS,SWA,PoS,score
1,слайд,teleza,nouns,0.0
2,покрывало,blanketi,nouns,0.0
3,оплата,malipo,nouns,2.27
4,священник,mungu,nouns,0.8
5,полагать,kufikiri,verbs,1.05
6,нелегальный,haramu,adjectives,0.2
7,глубоко,kwa undani,adverbs,0.2
8,ездить,kuendesha,verbs,0.2
9,наклон,benki,nouns,0.0
10,солдат,mwanajeshi,nouns,0.4
11,получать,kutuma,verbs,0.2
12,график,jedwali,nouns,3.5
13,дорогой,ghali,adjectives,0.0
14,участвовать,kusema,verbs,0.35
15,грубо,takribani,adverbs,0.25
16,становиться,kujitokeza,verbs,0.95
17,ложка,kijiko,nouns,0.15
18,мудрость,akili,nouns,3.7
19,собираться,kuhudhuria,verbs,0.4
20,угождать,kuridhisha,verbs,1.95
21,кобыла,farasi,nouns,4.2
22,нападать,kushambulia,verbs,0.32
23,сфера,mviringo,nouns,1.7
24,святой,mkosaji,nouns,0.2
25,завязать,kuvunga,verbs,0.15
26,мед,asali,nouns,0.1
27,громко,kwa sauti,adverbs,0.2
28,решать,kutoa suluhisho,verbs,1.7
29,иметь,kufyonza,verbs,0.25
30,узкий,mrefu,adjectives,0.25
31,задыхаться,kupumua,verbs,0.3
32,бейсбол,undugu,nouns,0.3
33,дерево,gogo,nouns,3.55
34,отец,mungu,nouns,1.7
35,останавливать,kusimamisha,verbs,1.13
36,ассистировать,kusaidia,verbs,4.8
37,желудок,mwili,nouns,1.15
38,дом,ufunguo,nouns,0.8
39,доверчивый,kukubali kirahisi,adjectives,0.25
40,грязный,mwembamba,adjectives,0.0
41,беспомощный,hoi,adjectives,2.05
42,освобождать,kuondoka,verbs,0.45
43,президент,kamera,nouns,0.1
44,жесткий,mkorofi,adjectives,1.35
45,нос,kinywa,nouns,0.6
46,пациент,mgonjwa,nouns,0.15
47,уверенно,kwa kujiamini,adverbs,0.05
48,ученик,rais,nouns,0.2
49,лошадь,farasi wa kike,nouns,4.2
50,эвакуировать,kuondoka,verbs,0.1
51,корова,mbuzi,nouns,0.5
52,фантазия,uhalisi,nouns,0.3
53,храпеть,kung'orota,verbs,0.2
54,принимать,kuamini,verbs,1.55
55,голодный,kua na njaa,adjectives,0.25
56,идеально,walau,adverbs,0.55
57,ценность,imani,nouns,0.65
58,герцог,mjuzi,nouns,0.15
59,творчески,kiubunifu,adverbs,0.65
60,получать,kushindwa,verbs,0.1
61,мина,machimbo,nouns,0.1
62,приносить,kuja,verbs,0.65
63,спокойный,utulivu,adjectives,1.85
64,злой,mwenye furaha,adjectives,0.15
65,древесина,gogo,nouns,2.8
66,скот,ngombe,nouns,2.65
67,падать,kuanguka,verbs,0.7
68,юбилей,mwaka,nouns,0.95
69,народ,bunduki,nouns,0.1
70,металл,bati,nouns,1.35
71,гость,rafiki,nouns,0.65
72,слушать,kutii,verbs,1.75
73,сплетня,habari,nouns,1.75
74,пассивный,kupooza,adjectives,0.05
75,убивать,ua,verbs,0.25
76,исчезать,kupungua,verbs,0.9
77,мальчик,kijana,nouns,3.3
78,оценивать,kuchanganua,verbs,3.85
79,виноватый,mkweli,adjectives,0.1
80,действие,mwendo,nouns,0.55
81,дважды,mara mbili,adverbs,0.05
82,делать,kuacha,verbs,0.15
83,зубы,mfupa,nouns,0.75
84,шериф,polisi,nouns,4.85
85,фильм,filamu,nouns,2.43
86,тремор,kutetemeka,nouns,1.7
87,горчица,mbegu,nouns,0.75
88,трудный,bila jasho,adjectives,0.05
89,милый,mkorofi,adjectives,0.05
90,находить,pata,verbs,0.65
91,угроза,hatari,nouns,4.6
92,коробка,lifti,nouns,0.35
93,пляж,mchanga,nouns,0.75
94,кухня,mlango,nouns,0.45
95,реальность,njozi,nouns,0.35
96,усталый,choka,adjectives,0.25
97,указатель,kionyeshi,nouns,0.0
98,конгресс,mkutano,nouns,2.25
99,ученый,muuguzi,nouns,0.2
100,отвергать,kukubali,verbs,0.1
101,костюм,sherehe,nouns,0.55
102,атмосфера,hali ya anga,nouns,2.2
103,человек,mlinzi,nouns,0.9
104,изучать,kupeleleza,verbs,5.35
105,мгла,wingu,nouns,1.55
106,отвергать,kuepa,verbs,1.3
107,отрицательно,kwa ubaya,adverbs,0.2
108,требовать,hitaji,verbs,0.45
109,решительно,kiukakamavu,adverbs,0.4
110,кость,meno,nouns,0.75
111,ноль,sufuri,nouns,0.25
112,арифметика,pigo,nouns,0.1
113,пытаться,kutimiza,verbs,1.15
114,собирать,kuchukua,verbs,0.0
115,плечо,mwili,nouns,1.05
116,замечать,kutoa maoni,verbs,0.8
117,мотор,boti,nouns,1.45
118,терять,kupata,verbs,0.1
119,беспокоить,kusumbua,verbs,1.32
120,флот,jeshi la wanamaji,nouns,0.35
121,строчить,kuandika,verbs,2.25
122,сжиматься,kupunguza,verbs,3.3
123,большой,mkubwa sana,adjectives,4.55
124,роза,waridi,nouns,0.35
125,разложение,utengano,nouns,0.65
126,рис,mvulana,nouns,0.0
127,барабан,pembe,nouns,0.45
128,биотоп,ekolojia,nouns,0.65
129,рука,bega,nouns,1.75
130,посылать,kupokea,verbs,0.2
131,гонка,mbio,nouns,0.0
132,провалиться,kushidwa,verbs,0.05
133,контролировать,kudhibiti,verbs,0.7
134,автострада,jukumu,nouns,0.2
135,математик,mwanamahesabu,nouns,0.0
136,меч,sime,nouns,0.1
137,современный,wa kale,adjectives,0.1
138,легкое,ini,nouns,0.6
139,обед,ugali,nouns,1.55
140,герцогство,dukedom,nouns,2.15
141,прочный,ngumu,adjectives,2.9
142,ключ,neno,nouns,0.25
143,принимать,kukana,verbs,0.1
144,рисовать,kuchora,verbs,0.5
145,игра,tendo,nouns,1.5
146,недоразвившийся,kutokomaa,adjectives,0.0
147,часто,mara nyingi,adverbs,0.85
148,грязный,rahisi,adjectives,0.05
149,помолвка,uchumba,nouns,0.85
150,посредственный,mtumba,adjectives,0.75
151,брат,roho ,nouns,0.55
152,брать,kuiba,verbs,0.8
153,госпожа,bwana,nouns,1.1
154,предприятие,kampuni,nouns,3.15
155,петь,kuimba,verbs,0.1
156,бок,juu,nouns,0.45
157,входить,kwenda,verbs,0.6
158,подозревать,kushukia,verbs,0.15
159,беспокоить,kusumbua,verbs,0.3
160,уверенный,ana kujiamini,adjectives,3.0
161,верить,kujua,verbs,0.65
162,объединяться,kushirikiana,verbs,3.15
163,компас,dira,nouns,0.0
164,шляпка,msumari,nouns,0.7
165,строить,kuharibu,verbs,0.05
166,заглавное слово,nenokuu,nouns,0.5
167,виза,mhuri,nouns,0.25
168,диод,diode,nouns,1.45
169,крошечный,mkubwa mno,adjectives,0.05
170,воля,hiari,nouns,1.8
171,век,miaka kumi,nouns,0.35
172,задолжать,kukopesha,verbs,0.9
173,ужасный,poa,adjectives,0.05
174,кровь,nyama,nouns,1.25
175,тяжелый,mzigo,adjectives,2.15
176,вода,maji,nouns,0.45
177,десятилетие,karne,nouns,0.35
178,просить,kuomba,verbs,4.4
179,обвинять,kulaumu,verbs,0.0
180,прибор,chungu,nouns,0.55
181,кокпит,chumba cha rubani,nouns,0.5
182,наслаждаться,kufurahia,verbs,0.0
183,туча,dhoruba,nouns,0.75
184,мужчина,mwanamke,nouns,0.45
185,официально,rasmi,adverbs,0.43
186,намерение,nia,nouns,1.8
187,табуретка,kigoda,nouns,3.0
188,шпиль,kanisa dogo,nouns,0.75
189,тупой,mkubwa mno,adjectives,0.0
190,рука,mshipa,nouns,0.65
191,север,kusini,nouns,0.25
192,окно,mlango,nouns,0.85
193,страница,aya,nouns,0.45
194,подождать,kungoja,verbs,0.1
195,осторожно,kwa utaratibu,adverbs,0.3
196,бутерброд,chakula cha mchana,nouns,1.55
197,телевидение,runinga,nouns,1.77
198,печальный,huzuni,adjectives,0.05
199,мышь,menejimenti,nouns,0.35
200,герой,mwanamke wa shujaa,nouns,2.25
201,удар,pigo,nouns,0.0
202,уменьшаться,kupungua,verbs,1.95
203,хромать,kuchechemea,verbs,1.55
204,писатель,mwandishi,nouns,0.7
205,казаться,kuwa,verbs,0.88
206,честно говоря,kwa kweli,adverbs,0.0
207,напоминать,kusahau,verbs,0.05
208,оптимистически,kwa matuamini,adverbs,0.85
209,кукуруза,nafaka,nouns,3.6
210,покидать,kujitokeza,verbs,0.45
211,пустыня,jangwa,nouns,2.15
212,глаз,chozi,nouns,1.2
213,партнер,mvulana,nouns,0.45
214,находить,kupotea,verbs,0.1
215,беспокоиться,kuwa na wasiwasi,verbs,0.0
216,хранить,kutunza,verbs,2.25
217,цивилизация,ustaarabu,nouns,1.2
218,пытаться,kufanikiwa,verbs,0.6
219,анатомия,biolojia,nouns,0.95
220,театр,ukumbi,nouns,0.4
221,жвачка,fizi,nouns,0.15
222,трава,mzizi,nouns,0.55
223,бутылка,chombo,nouns,0.5
224,предприятие,viwanda,nouns,1.65
225,оценивать,kujifunza,verbs,1.5
226,традиция,utamaduni,nouns,0.35
227,думать,kutafakari,verbs,5.15
228,в принципе,kimsingi,adverbs,0.3
229,колокол,mnara,nouns,0.55
230,скорость,mwendo,nouns,0.0
231,гордый,kujivunia,adjectives,0.05
232,ненормальный,wa kigeni,adjectives,3.8
233,ловить,kudaka,verbs,0.05
234,триумф,ushindi,nouns,4.1
235,благоразумно,kwa siri,adverbs,0.25
236,хаос,mchafuko,nouns,4.55
237,комбинировать,kujumuisha,verbs,2.95
238,бумага,kuni,nouns,0.55
239,искусства,mchoro,nouns,1.0
240,невежественный,mjinga,adjectives,0.05
241,беседа,mawasiliano,nouns,4.85
242,утешать,kufaraja,verbs,0.05
243,нырять,piga mbizi,verbs,0.0
244,парад,bendi,nouns,1.5
245,бумага,kadibodi,nouns,2.25
246,основание,besi,nouns,0.3
247,угол,eneo,nouns,0.25
248,бабочка,kipepeo,nouns,0.35
249,цветок,kichaka,nouns,0.75
250,остров,jukumu,nouns,0.0
251,цветок,chavua,nouns,1.15
252,mинт,minti,nouns,0.0
253,красть,kuchukua,verbs,0.8
254,долина,bonde,nouns,0.0
255,мозг,neva,nouns,0.65
256,мужчина,mpiganaji,nouns,1.15
257,помогать,kusaidia,verbs,0.3
258,окно,kifundo cha mguu,nouns,0.0
259,слабый,dhaifu,adjectives,0.0
260,смешивать,kuchanganya,verbs,2.95
261,источник,chanzo,nouns,0.0
262,начинать,kwenda,verbs,0.2
263,ребенок,mvulana,nouns,1.75
264,сонет,ushairi,nouns,0.05
265,получать,kujipatia,verbs,2.35
266,просить,kuuliza,verbs,0.3
267,образ,kioo,nouns,1.6
268,организованный,kupanga,verbs,0.0
269,шланг,bustani,nouns,0.45
270,тело,neva,nouns,0.7
271,длинный,mwembamba,adjectives,0.25
272,спасти,kuokoa,verbs,0.05
273,защищать,kuua,verbs,0.05
274,бревно,mbao,nouns,2.8
275,дружелюбно,kirafiki,adverbs,0.0
276,насекомое,nyuki,nouns,2.15
277,угождать,kusihi,verbs,0.7
278,зрелый,kukomaa,adjectives,0.2
279,дьявол,mungu,nouns,0.2
280,смешной,inayochekesha,adjectives,0.05
281,важно,bila masihara,adverbs,2.4
282,дорога,barabara,nouns,4.8
283,длинный,mfupi,adjectives,0.1
284,лодыжка,kiwiko,nouns,0.55
285,дорожка,bakuli,nouns,0.05
286,кредит,mkopo,nouns,1.45
287,мягкий,laini,adjectives,0.0
288,бал,mavazi,nouns,0.55
289,флаг,bendera,nouns,1.15
290,работник,mfanyakazi,nouns,0.75
291,верование,fikra,nouns,1.1
292,опасность,ugonjwa,nouns,0.65
293,становиться,kutengeneza,verbs,0.45
294,бедствование,ukiwa,nouns,2.0
295,один раз,mara moja,adverbs,0.05
296,полицейский,polisi,nouns,0.05
297,национальный,kitaifa,adjectives,0.05
298,надёжно,pasipo tu,adverbs,0.0
299,карта,daraja,nouns,0.6
300,волдырь,malengelenge,nouns,0.0
301,ключ,nyumba,nouns,0.8
302,шептать,kunong'oneza,verbs,1.2
303,огорчать,kuchukiza,verbs,0.35
304,помощник,mwalimu,nouns,1.35
305,пена,puto,nouns,1.6
306,площадь,mraba,nouns,0.35
307,ритм,muondoko,nouns,0.15
308,книга,hadithi,nouns,1.45
309,стул,kiti,nouns,3.0
310,диета,matofaa,nouns,0.35
311,север,magharibi,nouns,0.3
312,бог,baba,nouns,1.7
313,кирпич,ukuta,nouns,1.4
314,редакционный,uhariri,nouns,0.65
315,молоток,nyundo,nouns,0.05
316,трезвый,kutolewa,adjectives,0.05
317,безумно,kwa hasira,adverbs,0.6
318,грубый,baridi,adjectives,0.05
319,обсуждать,kueleza,verbs,1.3
320,губа,nyonga,nouns,0.35
321,объяснять,kufafanua,verbs,3.75
322,змея,nyoka,nouns,0.65
323,легко,kiurahisi,adverbs,0.05
324,кусок,kipande,nouns,0.0
325,бейсбол,mpira wa kikapu,nouns,0.6
326,аппара́тное обеспече́ние,kifaa,nouns,0.2
327,база,msingi,nouns,0.0
328,шар,watu,nouns,0.0
329,криптограмма,maandishi ya siri,nouns,1.25
330,проснуться,kuamka,verbs,0.2
331,народ,dola,nouns,0.35
332,отклонять,kukataa,verbs,0.75
333,фраза,neno,nouns,1.8
334,рисование,mchoro,nouns,0.0
335,сжиматься,kupotea,verbs,0.9
336,конденсатор,capacitor,nouns,1.45
337,невероятно,kwa umaradufu,adverbs,1.1
338,старинный,wa kisasa,adjectives,0.1
339,звук,sauti,nouns,3.0
340,приносить,kulalamika,verbs,0.15
341,приходить,kwenda,verbs,0.65
342,бороться,kupigana,verbs,0.3
343,мотор,injini,nouns,1.6
344,цель,jitihada,nouns,0.6
345,вычитать,toa ,verbs,0.2
346,забывать,kupuuza,verbs,1.95
347,иначе,kitofauti,adverbs,0.05
348,масло,ngozi,nouns,0.2
349,тянуть,kuvuta,verbs,0.8
350,щедро,kwa ukarimu,adverbs,0.0
351,офицер,ofisa,nouns,1.35
352,жестокий,katili,adjectives,2.1
353,крыша,sakafu,nouns,0.35
354,молекула,hewa,nouns,0.65
355,народ,senti,nouns,0.0
356,опровергать,kukanusha,verbs,0.05
357,кастрюля,kifaa,nouns,0.55
358,необычно,sio kawaida,adverbs,4.15
359,бренди,kileo,nouns,2.6
360,дождь,mvua,nouns,0.65
361,безопасно,kwa usalama,adverbs,0.2
362,фальшивый,feki,adjectives,0.25
363,баллончик,kopo,nouns,1.45
364,ребенок,msichana,nouns,1.1
365,галактика,giligili,nouns,0.75
366,племянник,shangazi,nouns,0.5
367,смешной,mwenye huzuni,adjectives,0.05
368,берег,pwani,nouns,3.75
369,разъедать,kumomonyoka,verbs,0.55
370,мох,nyasi,nouns,1.5
371,танец,densi,nouns,0.35
372,беспорядочный,kutopangilia,verbs,0.0
373,драться,kupigana,verbs,0.05
374,творческий,mbunifu,adjectives,3.5
375,офис,ofisi,nouns,0.75
376,тканевый,amevaa,adjectives,0.75
377,стейк,nyama,nouns,4.55
378,республика,jamhuri,nouns,0.15
379,хлопок,pamba,nouns,0.5
380,писатель,muandishi,nouns,0.4
381,рука,mguu,nouns,1.1
382,берег,pwani,nouns,0.2
383,дважды,mara mbili,adverbs,0.38
384,масло,kiazi,nouns,0.4
385,парень,rafiki,nouns,0.95
386,размер,ukubwa,nouns,4.8
387,вердикт,kesi,nouns,1.25
388,тупой,bila kufikiri,adjectives,3.35
389,информировать,kujulisha,verbs,4.95
390,отклонять,kukataa,verbs,0.1
391,наставник,rabai,nouns,1.3
392,путешествовать,kutembea umbali mrefu,verbs,0.35
393,прощать,samehea,verbs,4.35
394,выражать,kujielezea,verbs,2.3
395,тупой,wa upuzi,adjectives,4.15
396,спускаться,kushuka,verbs,0.2
397,открытый,bila siri,adjectives,0.3
398,достигать,kujaribu,verbs,1.15
399,камень,mwamba,nouns,0.1
400,открывать,kutokana,verbs,0.15
401,старый,mpya,adjectives,0.15
402,потрясающий,mbaya,adjectives,0.15
403,гробница,kaburi,nouns,1.5
404,грудь,mwili,nouns,1.65
405,облако,wingu,nouns,0.2
406,учитель,mkufunzi,nouns,4.65
407,законный,halali,adjectives,0.2
408,терапия,tiba,nouns,0.4
409,самолет,ndege,nouns,0.0
410,океан,bahari,nouns,2.3
411,ловкий,imara,adjectives,1.0
412,гол,mshindi,nouns,0.2
413,укусить,uma,verbs,0.0
414,мошенничество,uhalifu,nouns,2.5
415,волна,wimbi,nouns,0.65
416,мошенничество,ulaghai,nouns,2.35
417,епископ,askofu,nouns,0.2
418,тоннель,shimo,nouns,0.45
419,гостиница,fleti,nouns,0.7
420,пристуствие,kutokuwepo,nouns,0.4
421,задание,mgawo,nouns,0.45
422,неприличный,haionekani,adjectives,0.05
423,знак,alama,nouns,4.2
424,получать,kuweka,verbs,0.3
425,противодействовать,kuteteleza,verbs,0.35
426,страсть,hisia,nouns,2.55
427,больной,ana wazimu,adjectives,0.95
428,соединение,umoja,nouns,1.8
429,свитер,fulana,nouns,0.5
430,активно,kwa juhudi,adverbs,0.2
431,алюминий,alumini,nouns,2.25
432,шалость,kuoga,nouns,0.0
433,работа,kazi,nouns,1.1
434,трамвай,tramu,nouns,1.9
435,воин,mwanaume,nouns,1.15
436,приносить,kurudisha,verbs,0.7
437,дом,kapeti,nouns,0.5
438,витамин,chuma,nouns,0.4
439,ружье,watu,nouns,0.1
440,рассерженный,mwenye furaha,adjectives,0.15
441,ловить,kukamata,verbs,2.85
442,астероид,kimondo,nouns,2.7
443,одеяло,blanketi,nouns,0.0
444,жениться,kuchumbia,verbs,2.4
445,мусульман,mwislamu,nouns,0.2
446,сын,baba,nouns,0.7
447,юриспруденция,shule,nouns,0.45
448,биолог,mbiolojia,nouns,0.8
449,ружье,mzinga,nouns,1.9
450,коробка,kofia,nouns,0.3
451,завтрак,karamu,nouns,0.55
452,ступня,kichwa,nouns,0.45
453,парень,msichana,nouns,0.15
454,устраивать,kuhitaji,verbs,0.1
455,сержант,mjeshi,nouns,0.75
456,проваливать,kufanikiwa,verbs,0.05
457,встревоженный,ogopa,adjectives,4.0
458,акустика,akustik,nouns,3.0
459,решать,kuhitimisha,verbs,0.75
460,мяч,mpira,nouns,0.9
461,старый,mbivu,adjectives,0.1
462,система,mfumo,nouns,0.05
463,ворота,mlango,nouns,4.35
464,назначение,shughuli,nouns,0.85
465,врач,tabia,nouns,0.15
466,игнорировать,kupuuza,verbs,0.0
467,безответственный,habali,adjectives,0.0
468,точно,hakika,adverbs,3.85
469,гора,mwamba,nouns,1.45
470,ранимый,baridi,adjectives,0.1
471,сказка,hadithi,nouns,0.0
472,таксомотор,motokaa,nouns,3.55
473,посещать,kutuma,verbs,0.1
474,настроение,hasira,nouns,0.75
475,бык,ndama,nouns,2.2
476,путешествие,ushindi,nouns,0.05
477,вода,barafu,nouns,2.4
478,просить,kutazamia,verbs,0.7
479,состояние,mvulana,nouns,0.0
480,полицейский,askari,nouns,4.85
481,нажимать,kuvyombo vya habari,verbs,0.0
482,окружение,mazingira,nouns,0.2
483,рубеж,ukingo,nouns,4.25
484,просить,kusali,verbs,1.2
485,выговаривать,kulaani,verbs,0.25
486,незначительный,vuguvugu,adjectives,0.85
487,жена,mume,nouns,0.55
488,учить,kufundisha,verbs,0.2
489,клетка,kizuizi,nouns,0.5
490,жестокий,mkali,adjectives,1.35
491,рис,maharagwe,nouns,0.55
492,преступление,uhalifu,nouns,0.75
493,энциклопедия,ensaiklopidia,nouns,2.3
494,показ,onyesha,nouns,0.0
495,облако,wingu,nouns,0.2
496,принимать,kukubali,verbs,0.1
497,дурацкий,mpumbavu,adjectives,4.15
498,цветок,subira,nouns,0.0
499,взрослый,mtoto,nouns,0.55
500,история,mada,nouns,0.45
501,кино,sinema,nouns,1.43
502,ацетаминофен,acetaminopheni,nouns,0.55
503,соединять,kujumlisha,verbs,0.95
504,компания,biashara,nouns,3.15
505,участвовать,kushirikiana,verbs,2.7
506,дверь,sakafu,nouns,0.35
507,суд,hukumu,nouns,0.55
508,молодой,mwenye furaha,adjectives,0.2
509,покрытый,funikwa,adjectives,0.15
510,развлекать,kujipendekeza,verbs,0.3
511,кот,sungura,nouns,0.35
512,стул,kiti,nouns,0.0
513,талия,tumbo,nouns,0.75
514,целиться,kulenga,verbs,0.85
515,гудок,gari,nouns,0.75
516,осведомленность,uangalifu,nouns,0.8
517,бог,shetani,nouns,0.2
518,червяк,mnyoo,nouns,0.55
519,мэр,rais,nouns,0.9
520,лед,maji,nouns,2.4
521,желать,kua na hamu,verbs,4.85
522,партия,watu,nouns,0.9
523,выбор,sura,nouns,0.35
524,золото,dhahabu,nouns,0.65
525,художник,msanii,nouns,1.0
526,театр,ukumbi,nouns,0.0
527,сегодня,leo,adverbs,1.4
528,значки,insilia,nouns,0.15
529,ранимый,ikawa hatarini,adjectives,0.75
530,взрослый,mlezi,nouns,1.65
531,море,ufuko,nouns,1.9
532,покрывать,kufunika,verbs,3.05
533,симуляция,onyesho,nouns,0.45
534,теленок,fahali,nouns,2.2
535,печень,kiungo,nouns,2.1
536,ребенок,mvulana,nouns,3.3
537,реальность,ndoto,nouns,0.3
538,голодный,kua na njaa ,adjectives,0.75
539,кость,kiwiko,nouns,0.7
540,история,wimbo,nouns,0.55
541,фонарь,taa,nouns,0.1
542,хороший,salama,adjectives,0.1
543,шланг,gari,nouns,0.4
544,подруга,mama,nouns,0.55
545,вирус,kirusi,nouns,0.65
546,кабель,amari,nouns,0.0
547,зерно,viungo,nouns,0.75
548,информация,kitabu,nouns,1.05
549,активно,kikamilifu,adverbs,0.05
550,танк,tenki,nouns,1.05
551,ум,umaizi,nouns,2.3
552,острый,mbutu,adjectives,0.1
553,спальня,tumbo,nouns,0.0
554,значительный,muhimu,adjectives,0.05
555,парламент,bunge,nouns,2.25
556,посредственный,ya kawaida,adjectives,0.7
557,естественно,kiasili,adverbs,0.05
558,раздражать,kusumbua,verbs,0.17
559,плавать,kuelea,verbs,0.05
560,ладонь,kidole,nouns,1.1
561,комбинация,mjumuiko,nouns,2.35
562,голова,mguu,nouns,0.45
563,гимнастика,mazoezi,nouns,0.2
564,прореха,mapatano,nouns,0.0
565,человек,kaka,nouns,0.55
566,безопасный,salama,adjectives,0.65
567,родитель,baba,nouns,3.9
568,опера,opera,nouns,0.85
569,соглашаться,kukubali,verbs,0.15
570,значительно,sana,adverbs,1.1
571,сноуборд,ubao wa theluji,nouns,2.2
572,говорить,kutamka,verbs,1.2
573,законченный,malizika,adjectives,3.4
574,камера,kamera,nouns,0.0
575,копить,kutumia,verbs,0.25
576,необходимый,muhimu,adjectives,3.15
577,хор,kanisa,nouns,1.4
578,обрезание,tohara,nouns,2.35
579,погода,theluji,nouns,0.85
580,землетрясение,tetemeko la ardhi,nouns,1.7
581,следопыт,njia,nouns,0.3
582,вода,chumvi,nouns,0.35
583,часовня,mnara,nouns,0.75
584,солдат,mvulana,nouns,0.6
585,озеро,ziwa,nouns,0.2
586,ритм,mahadhi,nouns,1.1
587,инфекция,ugonjwa,nouns,3.5
588,пляж,bahari,nouns,1.9
