ID,RUS,SWA,PoS,score
589,обязательство,mkutano,nouns,0.85
590,женщина,jukumu,nouns,0.05
591,сегодня ночью,leo usiku,adverbs,0.2
592,десятилетие,enzi,nouns,0.8
593,жеребенок,farasi,nouns,3.25
594,шея,mfupa,nouns,0.45
595,мотор,injini,nouns,4.85
596,хотеть,kutaka,verbs,4.85
597,приятель,mwenzi,nouns,1.25
598,пожертвование,mchango,nouns,3.45
599,господин,bibi,nouns,1.1
600,гордый,mjasiri,adjectives,0.8
601,княжество,mfalme,nouns,2.15
602,ненадёжный,asiyeaminika,adjectives,1.75
603,худенький,nyembamba,adjectives,4.0
604,бедствие,kifo,nouns,1.55
605,шовинист,chauvinist,nouns,1.75
606,летучая мышь,popo,nouns,0.55
607,большой,rahisi,adjectives,0.05
608,мило,kwa uzuri,adverbs,3.6
609,посещать,kukusanya,verbs,0.4
610,занимать,kupa,verbs,0.85
611,наливать,kumwaga,verbs,0.45
612,охранник,mwanaume,nouns,0.9
613,удивлять,kushangaza,verbs,0.1
614,чашка,kijiko,nouns,0.75
615,изогнутый,pinda,adjectives,5.1
616,тайно,kwa siri,adverbs,0.05
617,министерство,huduma,nouns,0.0
618,героиня,mwanaume wa shujaa,nouns,2.25
619,пассивно,pasipo tu,adverbs,0.05
620,слушать,kujifunza,verbs,0.45
621,звезда,nyota,nouns,2.83
622,возможно,ikiwezekana,adverbs,3.55
623,муравей,chungu,nouns,0.5
624,узкий,mpana,adjectives,0.1
625,идти,kuanza,verbs,0.2
626,бунт,mgomo,nouns,0.0
627,зима,msimu wa joto,nouns,0.4
628,виноватый,mbaya,adjectives,1.1
629,лечить,tibu,verbs,0.1
630,вена,tumbo,nouns,0.4
631,социобиология,jamii,nouns,0.25
632,квартира,hoteli,nouns,0.7
633,обычно,kwa kawaida,adverbs,2.25
634,учить,kujifunza,verbs,0.0
635,слово,ishara,nouns,0.25
636,игнорировать,kufanya utafiti,verbs,0.05
637,скот,kondoo,nouns,3.25
638,плакать,kulia,verbs,2.42
639,огромный,mdogo,adjectives,0.05
640,ванная,chumba cha kulala,nouns,0.45
641,музей,jumba la makumbusho,nouns,0.0
642,тупой,hodari,adjectives,0.15
643,зависеть,kuhitaji,verbs,1.25
644,церковь,kanisa,nouns,4.05
645,давать,kuweka,verbs,0.2
646,заказ,menyu,nouns,0.9
647,оставлять,kuchukua,verbs,0.05
648,начинать,kutokana,verbs,0.65
649,дюна,dune,nouns,2.15
650,следовать,kufuata,verbs,2.4
651,искать,kutafuta,verbs,1.07
652,спальня,baisikeli,nouns,0.0
653,драться,pigana,verbs,0.5
654,шоссе,barabara kuu,nouns,4.8
655,толпа,gwaride,nouns,1.0
656,смешанный,kumbakumba,adjectives,0.0
657,стих,shairi,nouns,1.1
658,забывать,kujua,verbs,0.1
659,спиртное,karne,nouns,0.0
660,выиграть,shinda,verbs,0.4
661,суд,mahakama,nouns,1.8
662,бутылка,kopo,nouns,0.95
663,отделять,kutenganisha,verbs,0.1
664,вселенная,anga,nouns,1.05
665,ящерица,mjusi,nouns,0.33
666,многогранник,pembe zaidi ya sita,nouns,0.0
667,тетрадь,daftari,nouns,0.0
668,письмо,aya,nouns,0.7
669,объединять,kuunganisha,verbs,0.2
670,датчик,gari,nouns,0.5
671,справедливость,haki,nouns,1.8
672,брать,kuchukua,verbs,1.3
673,совершенный,kamili,adjectives,3.4
674,язык,shavu,nouns,0.7
675,пытаться,kufikiria,verbs,0.15
676,словарь,kamusi,nouns,2.3
677,принимать,kukataa,verbs,0.1
678,удовлетворять,kufahamu,verbs,0.2
679,понимать,kusoma,verbs,0.9
680,конечно,kwa hakika,adverbs,3.85
681,кроватка,mlazi,nouns,3.6
682,ужасный,ana hasira,adjectives,0.25
683,решать,kuchagua,verbs,1.95
684,размышлять,kuwaza,verbs,5.15
685,опыление,uchavushi,nouns,1.8
686,боб,wali,nouns,0.55
687,официальный,sahihi,adjectives,1.05
688,позвоночник,shingo,nouns,0.9
689,стройный,mwembamba,adjectives,4.0
690,клетка,gerezani,nouns,1.05
691,глупый,mjinga,adjectives,0.25
692,защищать,kuokoa,verbs,1.05
693,священник,mtawa,nouns,3.15
694,локально,kienyeji,adverbs,0.0
695,объяснять,kujadili,verbs,1.3
696,порядоченный,kwa mpangilio,adjectives,0.15
697,экзамен,mtihani,nouns,0.45
698,облако,hali ya hewa,nouns,1.15
699,возможно,labda,adverbs,3.2
700,арестовывать,kukamatwa,verbs,0.15
701,оплата,malipo,nouns,1.2
702,достоинство,hadhi,nouns,0.15
703,создавать,kuharibu,verbs,0.1
704,депрессия,huzuni,nouns,0.0
705,диета,saladi,nouns,0.6
706,жениться,kujiunga,verbs,0.4
707,разбирательство,wamuzi,nouns,1.25
708,представление,imani,nouns,1.1
709,странно,kiajabu,adverbs,1.05
710,занавеска,nguzo,nouns,0.45
711,правонарушитель,mkosaji,nouns,4.95
712,яблоко,juisi,nouns,1.0
713,нижняя одежда,chupi,nouns,0.15
714,напиток,bia,nouns,3.05
715,коза,ngombe,nouns,0.5
716,сахар,asali,nouns,1.85
717,зубы,meno,nouns,0.05
718,идти,kuruhusu,verbs,0.1
719,включают,kukuhusisha,verbs,2.9
720,особый,maalumu,adjectives,2.35
721,пчела,malkia,nouns,0.8
722,давать,kuweka,verbs,0.35
723,аффикс,kiambishi,nouns,0.6
724,судья,hakimu,nouns,1.85
725,избежать,kujiweka mbali,verbs,0.95
726,печальный,mbovu,adjectives,0.45
727,ходить,kutembea ,verbs,0.15
728,упускать,kukosa,verbs,0.0
729,жена,mama,nouns,2.3
730,общение,mazungumzo,nouns,4.85
731,овца,mifugo,nouns,3.25
732,прощать,kukubali,verbs,0.9
733,обескураживать,kufeli,verbs,0.25
734,класс,ushoroba,nouns,0.4
735,робототехника,roboti,nouns,0.45
736,пушка,mpira,nouns,0.7
737,символ,ishara,nouns,4.2
738,галерея,nyumba ya sanaa,nouns,0.0
739,иллюстрация,katuni,nouns,0.0
740,повредить,kuuma,verbs,0.65
741,невеста,mtoto wa mfalme,nouns,0.25
742,доктор,profesa,nouns,1.2
743,лимон,matofaa,nouns,0.6
744,приходящий,inayoingia,adjectives,0.2
745,сыр,mkate,nouns,0.3
746,сказать,kusema,verbs,0.75
747,операция,moyo,nouns,0.7
748,тяжелый,mkubwa,adjectives,1.85
749,иначе,tofauti,adverbs,1.05
750,телевидение,runinga,nouns,0.65
751,появляться,kuondoka,verbs,0.45
752,гвоздь,kichwa,nouns,0.7
753,план,wazo,nouns,1.35
754,помнить,kukumbuka,verbs,1.2
755,грязь,matope,nouns,4.4
756,работодатель,mwajiriwa,nouns,0.65
757,долина,korongo,nouns,1.15
758,студент,profesa,nouns,0.65
759,сигара,sanduku ,nouns,0.45
760,теория,kanuni,nouns,1.8
761,куб,mchemraba,nouns,0.35
762,делить,kuzidisha,verbs,0.1
763,мальчик,mazingira,nouns,0.0
764,противолежащий,kinyume,adjectives,0.6
765,ладить,kujipendekeza,verbs,0.7
766,нормальный,si wa kawaida,adjectives,0.2
767,рассвет,usiku,nouns,0.4
768,принцесса,kisiwa,nouns,0.0
769,дерево,mti,nouns,0.9
770,необходимый,muhimu,adjectives,3.05
771,маска,maski,nouns,0.4
772,тюрьма,chaguo,nouns,0.1
773,кость,mkono,nouns,0.75
774,девушка,mvulana,nouns,0.15
775,год,mwaka,nouns,0.8
776,учебный план,mtaala,nouns,0.45
777,цифра,tarakimu,nouns,5.1
778,повидло,matofaa,nouns,0.55
779,нюхать,kunusa,verbs,0.0
780,удовлетворять,kujipendekeza,verbs,1.95
781,портить,kuharibu,verbs,0.0
782,красота,umri,nouns,0.4
783,муха,nzi,nouns,0.5
784,ядро,mzinga,nouns,0.7
785,протирать,kupanguza,verbs,0.0
786,механик,mfanyakazi,nouns,1.7
787,теорема,nadharia,nouns,1.8
788,широкий,mwembamba,adjectives,0.1
789,президент,mwanasiasa,nouns,2.65
790,электричество,umeme,nouns,0.3
791,опасность,tishio,nouns,4.6
792,странствовать,kutangatanga,verbs,1.4
793,железо,vitamini,nouns,0.4
794,громкий,yenye sauti,adjectives,0.65
795,переулок,mtaa,nouns,2.35
796,говорить,kutambua,verbs,0.5
797,компетенция,uwezo,nouns,3.4
798,свистеть,mluzi,verbs,0.0
799,конфеты,peremende,nouns,0.35
800,пляж,kisiwa,nouns,0.7
801,стол,meza,nouns,0.0
802,принимать,kutambua,verbs,2.1
803,ружье,kisu,nouns,0.65
804,пистолет,bunduki,nouns,0.75
805,ущелье,bonde,nouns,1.15
806,делить,kujumlisha,verbs,0.25
807,совершенно,kiukamilifu,adverbs,1.4
808,жар,utapiamlo,nouns,0.75
809,избегать,kupuuza,verbs,3.0
810,завтра,kesho,adverbs,0.2
811,приношение,toleo,nouns,3.45
812,чистилище,purigatori,nouns,1.65
813,ванна,mbinu,nouns,0.0
814,служанка,msaidizi,nouns,3.45
815,чувствовать,kuhisi,verbs,0.7
816,монах,padri,nouns,3.15
817,легальный,halali,adjectives,0.65
818,получать,kupokea,verbs,1.68
819,забывать,kujifunza,verbs,0.25
820,грязный,chafu,adjectives,0.0
821,хлеб,unga,nouns,1.25
822,обертка,kanga,nouns,0.1
823,кувшин,kikombe,nouns,0.9
824,честный,ana hatia,adjectives,0.1
825,суд,korti,nouns,1.85
826,стеснительный,aibu,adjectives,0.25
827,идеально,walau,adverbs,0.35
828,вампир,vampire,nouns,0.55
829,карта,ramani,nouns,0.35
830,лгать,kudanganya,verbs,2.7
831,статья,kitabu,nouns,1.1
832,картофель,siagi,nouns,0.4
833,глупый,mpumbavu,adjectives,3.9
834,положительно,vyema,adverbs,0.05
835,ящик,kesi,nouns,0.3
836,бык,farasi,nouns,0.5
837,оркестр,gwaride,nouns,1.5
838,палец,mkono,nouns,1.25
839,старый,mpya,adjectives,0.1
840,рассвет,bunduki,nouns,0.0
841,настроение,hisia,nouns,1.85
842,нетерпеливо,bila subira,adverbs,0.5
843,гибкий,flexibo,adjectives,0.9
844,скорее всего,uwezekano,adverbs,3.55
845,редко,mara chache,adverbs,0.25
846,пожар,moto,nouns,0.55
847,шляпа,koti,nouns,0.6
848,трагедия,kifo,nouns,1.85
849,бог,padri,nouns,0.8
850,президент,meya,nouns,0.9
851,болезнь,hatari,nouns,0.65
852,смиренно,kwa unyenyekevu,adverbs,0.1
853,находить,kujipatia,verbs,0.7
854,детский сад,elimu ya awali,nouns,5.5
855,необычный,si wa kawaida,adjectives,3.8
856,прикреплять,kubandika,verbs,0.0
857,тело,kifua,nouns,1.65
858,терминально,mwishoni,adverbs,0.05
859,липкий,natanata,adjectives,0.65
860,газета,taarifa,nouns,2.15
861,отходить,kurudia,verbs,0.2
862,эмоция,hamu,nouns,2.55
863,объединяться,kujipatia,verbs,0.15
864,история,kitabu,nouns,1.45
865,решать,kuonyesha,verbs,0.55
866,ружье,mbinu,nouns,0.1
867,брат,baba,nouns,0.55
868,дерево,mpera,nouns,3.05
869,автомобиль,gari la farasi,nouns,0.95
870,победитель,uwepo,nouns,0.1
871,соглашение,tundu,nouns,0.0
872,скрипка,chombo,nouns,2.15
873,управление,panya,nouns,0.35
874,сценарист,mwandishi wa filamu,nouns,0.65
875,ужасный,mwenye huzuni,adjectives,0.45
876,агрессивный,dhalimu,adjectives,0.6
877,цент,watu,nouns,0.0
878,багаж,mzigo,nouns,0.5
879,путешествие,mwendo,nouns,3.9
880,изучать,kukagua,verbs,3.7
881,класть,kuning'inia,verbs,0.3
882,фонология,fonolojia,nouns,0.15
883,посещать,kuja,verbs,2.65
884,пялиться,kukondoa macho,verbs,0.5
885,литература,kitabu,nouns,2.2
886,директор,mkurugenzi,nouns,4.25
887,автомобиль,geji,nouns,0.5
888,тарелка,bakuli,nouns,3.2
889,энтропия,kuzorota,nouns,0.05
890,дерево,mbao,nouns,0.0
891,мясо,steki,nouns,4.55
892,синий,bluu,adjectives,0.35
893,тратить,takataka,verbs,0.0
894,родить,kubeba,verbs,0.5
895,бить,kukupiga ngumi,verbs,0.5
896,гибкий,mkubwa sana,adjectives,0.15
897,нигилизм,kutoamini dini,nouns,0.0
898,приложение,programu tumishi,nouns,0.3
899,критичный,muhimu,adjectives,0.25
900,меню,agizo,nouns,0.9
901,кошка,mbwa,nouns,0.4
902,делать,kuwa,verbs,0.45
903,твердо,kwa kidete,adverbs,0.05
904,клуб,jamii,nouns,1.2
905,острый,kali,adjectives,0.0
906,заёмщик,mkopi,nouns,1.45
907,странный,mwerevu,adjectives,0.65
908,организовывать,kuandaa,verbs,4.35
909,признавать,kukubali,verbs,1.12
910,гневный,mkali,adjectives,0.05
911,посылать,kuleta,verbs,0.2
912,встряхивать,kutikisa,verbs,0.9
913,парень,patna,nouns,1.0
914,важно,umuhimu zaidi,adverbs,0.65
915,праздновать,kusherekea,verbs,0.1
916,контейнер,chupa,nouns,0.5
917,электрический,chenye umeme,adjectives,0.0
918,входить,kudaiwa,verbs,0.0
919,проверка,jaribio,nouns,0.55
920,молекула,molekuli,nouns,0.5
921,область,mkoa,nouns,4.3
922,дверь,undugu,nouns,0.0
923,красота,uzuri,nouns,0.05
924,дверь,uwepo,nouns,0.1
925,убегать,kuhepa,verbs,0.0
926,молодой,isiyotulia,adjectives,0.55
927,потерять,kupoteza,verbs,0.2
928,спрашивать,kuwaza,verbs,0.55
929,шторм,theluji,nouns,0.6
930,странствовать,kuondoka,verbs,0.55
931,надежно,kwa kuaminika,adverbs,0.05
932,бедность,utajiri,nouns,0.25
933,сокрушать,kuzidiwa,verbs,0.35
934,хотеть,kuazima,verbs,0.3
935,стыд,huzuni,nouns,0.6
936,облачность,kivuli cha mawingu,nouns,0.75
937,рука,kifundo,nouns,1.05
938,остров,ufuko,nouns,0.7
939,короткий,mrefu,adjectives,0.1
940,молиться,kuuliza,verbs,1.2
941,логика,hesabu,nouns,0.7
942,рука,mkono,nouns,0.15
943,легкий,ngumu,adjectives,0.25
944,мать,rafiki,nouns,0.55
945,машина,gari,nouns,3.4
946,неугомонный,mchanga,adjectives,0.55
947,давать,kupokea,verbs,0.35
948,красть,kupa,verbs,0.0
949,спокойно,kwa utulivu,adverbs,2.48
950,становиться,kufanikisha,verbs,0.75
951,пчела,mdudu,nouns,2.15
952,ежедневно,kila siku,adverbs,2.25
953,плохой,wa dhambi,adjectives,2.25
954,обои,karatasi ya kupamba ukuta,nouns,1.8
955,друг,mgeni,nouns,0.65
956,шлем,helmeti,nouns,0.75
957,терять,kuweka,verbs,0.05
958,забывать,kudumisha,verbs,0.1
959,доставлять,kuchukua,verbs,0.35
960,мягкий,vuguvugu,adjectives,0.0
961,орган,ini,nouns,2.1
962,дюйм,mita,nouns,1.65
963,реалистично,kwelikweli,adverbs,0.0
964,редкий,mpumbavu,adjectives,0.0
965,глава,usiku,nouns,0.0
966,юбка,sketi,nouns,0.1
967,засуха,ukame,nouns,0.45
968,мирно,kwa amani,adverbs,0.1
969,прощать,kusahau,verbs,0.95
970,рука,mfupa,nouns,0.75
971,группа,pombe,nouns,0.2
972,режиссер,mkurugenzi,nouns,0.6
973,делить,kugawanya,verbs,0.2
974,действительно,kiukweli,adverbs,0.2
975,понюхать,kunusia,verbs,1.05
976,одалживать,kupa,verbs,2.1
977,сотрудничать,kujiunga,verbs,3.15
978,компьютер,cd,nouns,0.95
979,кипятить,kuchemsha,verbs,0.85
980,плотно,kwa ukakamavu,adverbs,0.55
981,идея,mpango,nouns,1.35
982,курица,batamzinga,nouns,0.95
983,бездомный,wasio na makazi,nouns,0.05
984,маффин,muffini,nouns,0.1
985,суффикс,fitisha,nouns,0.6
986,коррупция,rushwa,nouns,2.35
987,песня,hadithi,nouns,0.55
988,выход,mlangoni,nouns,2.4
989,сельское хозяйство,kilimo,nouns,1.25
990,правдивый,enye ukweli,adjectives,0.05
991,нечестный,danganyifu,adjectives,0.6
992,именно,kwa usahihi,adverbs,2.15
993,возможно,inawezekana,adverbs,0.85
994,плодовый сад,kiunga,nouns,0.0
995,журнал,kanuni,nouns,0.2
996,ткать,kufuma,verbs,0.05
997,искать,kutafuta,verbs,0.7
998,деньги,lulu,nouns,0.15
999,преступник,mhalifu,nouns,4.95
1000,судить,hakimu,verbs,0.25
1001,дрейфовать,kuteleza,verbs,0.6
1002,лошадь,mbwa,nouns,0.35
1003,тихо,kwa ukimya,adverbs,0.05
1004,братство,mlango,nouns,0.0
1005,год,siku ya kuzaliwa,nouns,0.95
1006,ненормально,sikawaida,adverbs,0.0
1007,фон,mandharinyuma,nouns,1.8
1008,желудок,njia,nouns,0.15
1009,кандидат,mshindi,nouns,0.95
1010,ломать,kuufa,verbs,0.7
1011,подражать,kuiga,verbs,0.0
1012,потрясающий,maradufu,adjectives,0.15
1013,император,mtawala,nouns,0.35
1014,рассерженный,safi,adjectives,0.05
1015,автомобиль,motokaa,nouns,5.75
1016,продвигать,kukuza,verbs,0.65
1017,жить,kuishi,verbs,1.2
1018,информация,gazeti,nouns,2.15
1019,добавлять,kujiunga,verbs,0.95
1020,вишня,cheri,nouns,1.35
1021,курятина,chakula cha usiku,nouns,0.55
1022,хороший,nzuri,adjectives,0.35
1023,исчезать,kutafuta,verbs,0.1
1024,слово,fasihi,nouns,0.85
1025,гордо,kwa jeuri,adverbs,0.1
1026,вечеринка,sherehe,nouns,0.4
1027,держать,kuweka,verbs,1.75
1028,захватывающий,sisimsha,adjectives,0.05
1029,плохой,ana hatia,adjectives,1.1
1030,раввин,mchungaji,nouns,1.5
1031,странный,ya kushangaza,adjectives,0.15
1032,поле,uwanja,nouns,0.5
1033,взрослый,mtoto mchanga,nouns,0.5
1034,жемчуг,hela,nouns,0.15
1035,хор,kiitiko,nouns,0.85
1036,сок,maziwa,nouns,0.4
1037,зрело,kwa utu uzima,adverbs,0.35
1038,джинсы,jinzi,nouns,0.15
1039,стакан,koni,nouns,0.35
1040,колено,mfupa,nouns,0.8
1041,в основном,haswa,adverbs,0.25
1042,жарить,kukaanga,verbs,1.55
1043,ненавидеть,chukia,verbs,0.23
1044,бутылка,chupa,nouns,1.45
1045,уровень,kiwango,nouns,0.1
1046,сообщать,kufahamisha,verbs,4.95
1047,оазис,oasisi,nouns,0.1
1048,алгебра,algebra,nouns,0.0
1049,сделка,maafikiano,nouns,0.1
1050,узнавать,kusahau,verbs,0.25
1051,солома,mke,nouns,0.0
1052,принимать,kuitikia,verbs,2.7
1053,бабник,mvulana,nouns,0.45
1054,знать,kuamini,verbs,0.65
1055,холм,jabali,nouns,2.8
1056,срочно,haraka,adverbs,4.15
1057,достигать,kubaki,verbs,0.1
1058,неотъемлемый,lazima,adjectives,3.05
1059,разлагаться,kuoza,verbs,1.2
1060,виски,jini,nouns,2.25
1061,массивно,kwa ukubwa,adverbs,0.25
1062,мнение,imani,nouns,0.35
1063,дельта,delta,nouns,0.5
1064,смерть,balaa,nouns,1.7
1065,убеждать,kufuatilia,verbs,0.85
1066,вопить,kuguta,verbs,0.2
1067,бронхит,ugonja wa bronchitis,nouns,0.55
1068,серия,sura,nouns,1.65
1069,чай,limau,nouns,0.55
1070,гнаться,kimbiza,verbs,2.4
1071,удивительный,kushangaza,adjectives,0.0
1072,часовня,kanisa ,nouns,0.0
1073,неясный,haijulikani,adjectives,4.45
1074,образ,wazo,nouns,1.4
1075,инструмент,kitendea kazi,nouns,1.1
1076,иллюзия,uhalisi,nouns,0.35
1077,бихевиоризм,somo la tabia,nouns,0.4
1078,тесно,kwa karibu,adverbs,0.1
1079,коробка,sanduku,nouns,0.0
1080,когда,kila wakati,adverbs,0.1
1081,противоречить,kukutokubali,verbs,0.35
1082,дядя,shangazi,nouns,0.65
1083,экзема,uwasho,nouns,3.05
1084,складывать,kuzidisha,verbs,0.5
1085,полоскать,kusuuza,verbs,3.35
1086,слуга,mtumishi,nouns,2.45
1087,движимый,inayo hamishika,adjectives,0.9
1088,присоединиться,kukuunga,verbs,0.0
1089,осуждать,kulaumu,verbs,4.65
1090,умный,mpumbavu,adjectives,0.15
1091,ударять,kupiga,verbs,0.0
1092,свежий,mzee,adjectives,0.1
1093,баллада,wimbo,nouns,3.2
1094,демон,pepo,nouns,0.25
1095,нерегулярно,isivyo kawaida,adverbs,0.05
1096,спектакль,utendaji,nouns,0.55
1097,прибывать,kuja,verbs,3.2
1098,присоединиться,kuoa,verbs,0.4
1099,тупой,mkali,adjectives,0.1
1100,смиренно,kwa unyenyekevu,adverbs,0.0
1101,зрело,kiukomavu,adverbs,0.3
1102,мех,ngozi,nouns,2.4
1103,цунами,sunami,nouns,0.85
1104,невероятно,kwa umaradufu,adverbs,0.55
1105,регион,eneo,nouns,4.3
1106,запрещать,kukataza,verbs,1.55
1107,распадаться,kutenganisha,verbs,0.35
1108,в основном,hasa,adverbs,2.15
1109,матрица,matriksi,nouns,0.97
1110,приходить,kufika,verbs,3.2
1111,мутант,jitu,nouns,0.25
1112,корона,taji,nouns,0.0
1113,доллар,dola,nouns,1.35
1114,отговаривать,kukatisha tamaa,verbs,0.35
1115,варёный,pikwa,adjectives,3.3
1116,покидать,kuingia,verbs,0.05
1117,всегда,mara kwa mara,adverbs,0.3
1118,счастливый,enye bahati,adjectives,0.0
1119,гармония,umoja,nouns,0.25
1120,медаль,medali,nouns,0.45
1121,выходные,wikiendi,nouns,0.0
1122,обижать,kukosea,verbs,0.3
1123,приличный,rasmi,adjectives,1.05
1124,ребенок,mtoto wa kike,nouns,1.45
1125,берег,ufuko,nouns,2.55
1126,доступный,nafuu,adjectives,2.5
1127,йогурт,mgando,nouns,0.2
1128,ступня,mguu,nouns,0.0
1129,кампания,kampeni,nouns,0.0
1130,размешать,koroga,verbs,1.8
1131,матка,nyuki,nouns,0.8
1132,ходить,kutembea,verbs,1.55
1133,поезд,treni,nouns,1.9
1134,помрачение,kichaa,nouns,1.35
1135,значок,baji,nouns,0.0
1136,спасать,kuokoa,verbs,4.55
1137,отговаривать,kutia moyo,verbs,0.15
1138,рамка,fremu,nouns,0.0
1139,атмосфера,uchafuzi,nouns,0.5
1140,рассвет,machweo,nouns,1.25
1141,состояние,hali,nouns,1.9
1142,низ,juu,nouns,0.25
1143,автомобиль,mpira wa maji,nouns,0.4
1144,уверенный,uhakika,adjectives,0.05
1145,выигрывать,kutawala,verbs,1.0
1146,присутствие,mlango,nouns,0.1
1147,укусить,kung'ata,verbs,0.5
1148,певец,mchezaji,nouns,0.75
1149,путешествовать,kusafiri,verbs,2.4
1150,слог,silabu,nouns,0.45
1151,локально,hapa ndani,adverbs,0.1
1152,крыша,paa,nouns,0.5
1153,сильный,wa kujivunia,adjectives,0.55
1154,выбор,chaguo,nouns,2.75
1155,автомобиль,kiwanda,nouns,0.25
1156,злак,ngano,nouns,2.65
1157,грустно,kwa huzuni,adverbs,0.8
1158,тупой,ana akili,adjectives,0.2
1159,хижина,makao,nouns,1.1
1160,усилие,shida,nouns,0.8
1161,месяц,agosti,nouns,2.9
1162,искать,tafuta,verbs,1.4
1163,выступать,kutumbuiza,verbs,0.6
