ID,RUS,SWA,PoS,score
2289,зона,eneo,nouns,4.25
2290,ступня,mguu,nouns,0.0
2291,лыжи,skiing,nouns,2.2
2292,сумасшедший,ana kichaa,adjectives,5.55
2293,цветок,imani,nouns,0.1
2294,фотофон,picha,nouns,0.1
2295,предсказывать,kutabiri,verbs,1.05
2296,выносливость,ua,nouns,0.0
2297,коро́ва,mifugo,nouns,0.2
2298,ванна,chumba,nouns,0.8
2299,продвигаться,kusogea,verbs,0.65
2300,гибкий,rahisi kubadilika,adjectives,0.9
2301,олово,chuma,nouns,1.35
2302,начинаться,kufungua,verbs,1.9
2303,независимо,kwa kujitegemea,adverbs,0.5
2304,неизвестный,haijafichuliwa,adjectives,0.3
2305,размер,senti,nouns,0.35
2306,братство,baseball,nouns,0.3
2307,солнце,anga,nouns,1.05
2308,достигать,kufanikiwa,verbs,2.8
2309,трудный,rahisi,adjectives,0.13
2310,общество,klabu,nouns,1.2
2311,рожок,ngoma,nouns,0.45
2312,сахароза,sukrosi,nouns,1.6
2313,тонко,kijanja,adverbs,0.0
2314,лодка,mota,nouns,1.45
2315,сокол,kozi,nouns,0.8
2316,напуганный,ogopa,adjectives,0.5
2317,занимать,kuuza,verbs,0.05
2318,петь,kuimba,verbs,0.05
2319,бисквит,biskuti,nouns,0.0
2320,кинолента,sinema,nouns,4.45
2321,купить,kununua,verbs,1.8
2322,расстроенный,kasirika,adjectives,0.45
2323,корица,mdalasini,nouns,0.35
2324,плохой,poa,adjectives,0.05
2325,фантастически,kimaajabu,adverbs,3.7
2326,развитие,maendeleo,nouns,0.1
2327,матрица,areyi,nouns,0.9
2328,информация,habari,nouns,0.05
2329,солнце,matofaa,nouns,0.05
2330,бить,kupiga,verbs,0.05
2331,напряжённый,kusisitiza,adjectives,0.05
2332,ужин,supu,nouns,0.7
2333,ярд,inchi,nouns,1.55
2334,электрический,chenye umeme,adjectives,0.15
2335,босс,bosi,nouns,4.25
2336,одежда,kifungo,nouns,0.95
2337,умолять,kusihi,verbs,4.4
2338,клубника,strouberi,nouns,1.35
2339,недорогой,rahisi,adjectives,5.2
2340,товарищ,mvulana,nouns,1.0
2341,минимально,mara kwa mara,adverbs,0.2
2342,исчезать,kutoweka,verbs,5.35
2343,уменьшить,kupunguza,verbs,0.0
2344,абзац,ukurasa,nouns,0.45
2345,грохот,kelele,nouns,4.6
2346,исследовать,kupuuza,verbs,0.05
2347,промышленность,biashara,nouns,1.65
2348,печальный,wa kuchekesha,adjectives,0.05
2349,деликатно,kwa uangalifu,adverbs,0.0
2350,расизм,ubaguzi wa rangi,nouns,3.45
2351,стул,kitanda,nouns,0.4
2352,полиэстер,pamba,nouns,0.2
2353,прогноз,utabiri,nouns,0.75
2354,лёд,barafu,nouns,3.1
2355,приносить,kubeba,verbs,2.25
2356,раввин,mwalimu,nouns,1.3
2357,уничтожить,kuharibu,verbs,0.0
2358,кровь,damu,nouns,0.65
2359,обвинять,kushtaki,verbs,0.1
2360,кисть,ukucha,nouns,0.9
2361,дверь,dirisha,nouns,0.85
2362,дверь,lango,nouns,4.35
2363,ум,hekima,nouns,3.7
2364,изогнутый,yenye pindo,adjectives,0.05
2365,белок,protini,nouns,0.15
2366,рука,misuli,nouns,0.7
2367,норка,manyoya,nouns,2.4
2368,соединение,shirikisho,nouns,2.35
2369,зонтик,mwamvuli,nouns,0.0
2370,политик,rais,nouns,2.65
2371,мука,huzuni,nouns,2.05
2372,шея,uti,nouns,0.9
2373,конь,farasi wa kiume,nouns,3.25
2374,слышать,kusikia,verbs,1.15
2375,выбор,mshipa,nouns,0.05
2376,жестокий,mwema,adjectives,0.05
2377,невеста,bwana arusi,nouns,0.8
2378,фальшивый,bandia,adjectives,4.55
2379,книга,insha,nouns,1.1
2380,опекун,mtu mzima,nouns,1.65
2381,лифт,sanduku,nouns,0.35
2382,тело,mkono,nouns,1.5
2383,голова,bega,nouns,0.7
2384,сохранять,kulinda,verbs,1.05
2385,король,mfalme,nouns,4.35
2386,очевидно,ni wazi,adverbs,0.08
2387,солома,nyimbo,nouns,0.0
2388,одалживать,kudaiwa,verbs,0.9
2389,приобретать,kupata,verbs,1.28
2390,курс,tendo,nouns,0.55
2391,ацетилхолин,acetylcholine,nouns,0.0
2392,метель,theluji kali,nouns,0.65
2393,верх,upande,nouns,0.45
2394,потолок,kanisa kuu,nouns,0.25
2395,медбрат,mwanasayansi,nouns,0.2
2396,мышка,paka,nouns,0.45
2397,вполне,kwa uzima,adverbs,0.3
2398,право,maadili,nouns,0.9
2399,гостиница,hosteli,nouns,3.25
2400,приветствовать,kutoa heshima,verbs,0.6
2401,равномерно,sawa,adverbs,0.05
2402,сноровка,mchezo,nouns,0.7
2403,ужасный,mbaya,adjectives,5.0
2404,понимать,kuridhisha,verbs,0.2
2405,посещать,kuhudhuria,verbs,0.0
2406,странно,ya kustajabisha,adverbs,4.15
2407,значение,thamani,nouns,0.55
2408,отец,mama,nouns,0.8
2409,определять,kutabiri,verbs,0.75
2410,государство,nyumba,nouns,0.35
2411,побеждать,kutawala,verbs,1.55
2412,выселять,kufukuza,verbs,0.55
2413,кролик,paka,nouns,0.35
2414,радар,rada,nouns,0.55
2415,джин,wiski,nouns,2.25
2416,телевидение,mawasiliano,nouns,1.75
2417,угол,tao,nouns,2.05
2418,базилика,basilika,nouns,0.2
2419,завод,gari,nouns,0.25
2420,страус,mbuni,nouns,0.0
2421,тонко,kwa ujanja,adverbs,0.0
2422,философ,mphilisophia,nouns,0.0
2423,планета,mwezi,nouns,1.85
2424,убежище,bandari,nouns,0.1
2425,предсказывать,kudhani,verbs,2.6
2426,тренер,kocha,nouns,0.9
2427,сотрудничать,kushiriki,verbs,2.7
2428,обучение,ada,nouns,1.35
2429,море,bahari,nouns,0.68
2430,синтаксис,sintaksia,nouns,0.5
2431,позволять,kwenda,verbs,0.1
2432,погода,hali ya hewa,nouns,0.65
2433,датчик,sensa,nouns,0.5
2434,отец,kaka,nouns,0.55
2435,кардиган,fulana,nouns,1.25
2436,рука,shingo,nouns,0.45
2437,линза,kamera,nouns,1.6
2438,восстанавливать,kubadilisha,verbs,0.75
2439,профессия,chuo,nouns,0.7
2440,сообразительный,hodari,adjectives,2.9
2441,профессор,mwanafunzi,nouns,0.65
2442,схватывать,kufahamu,verbs,1.88
2443,заниматься,kupeleleza,verbs,3.35
2444,одеяло,kitanda,nouns,1.25
2445,определить,kutambulisha,verbs,0.1
2446,псалом,ushindi,nouns,0.05
2447,мощный,mwenye nguvu,adjectives,0.15
2448,привычка,namna,nouns,4.15
2449,мальчик,wali,nouns,0.0
2450,город,jiji,nouns,4.05
2451,думать,kujaribu,verbs,0.15
2452,диаграмма,chati,nouns,3.5
2453,напоминать,kuuza,verbs,0.05
2454,искренне,kwa ukweli,adverbs,0.3
2455,расстраивать,kufadhaisha,verbs,1.05
2456,легкий,rahisi,adjectives,0.15
2457,здесь,papa hapa,adverbs,1.3
2458,ракетка,raketi,nouns,0.9
2459,ящик,nguo,nouns,0.7
2460,частный,binafsi,adjectives,0.0
2461,бревно,kuni,nouns,3.55
2462,снег,theluji,nouns,3.1
2463,выпускать,kukutolewa,verbs,0.05
2464,арифметика,mantiki,nouns,0.7
2465,контейнер,panya,nouns,0.0
2466,метеор,meteor,nouns,0.1
2467,жидкость,majimaji,nouns,0.0
2468,поездка,safari,nouns,3.9
2469,хотеть,kuchagua,verbs,0.8
2470,представлять,kuumba,verbs,0.25
2471,действие,mchezo,nouns,1.5
2472,чистый,safi,adjectives,0.2
2473,белый,nyeupe,adjectives,0.0
2474,давать,kukopesha,verbs,2.1
2475,изгиб,pembe,nouns,2.05
2476,салат,siki,nouns,0.4
2477,народ,puto,nouns,0.0
2478,вена,mkono,nouns,0.65
2479,известный,julikana,adjectives,2.55
2480,дядя,binamu,nouns,1.0
2481,пассивно,kwa kutegemewa,adverbs,0.0
2482,думать,kutafiti,verbs,0.55
2483,поиск,lengo,nouns,0.6
2484,разрешать,kupa,verbs,1.15
2485,городок,mji,nouns,4.05
2486,зуб,kinywa,nouns,1.05
2487,жених,bibi arusi,nouns,0.8
2488,счастье,amani,nouns,1.75
2489,кость,taya,nouns,0.7
2490,на днях,hivi karibuni,adverbs,3.45
2491,выборы,uchaguzi,nouns,2.75
2492,фотоаппарат,rais,nouns,0.1
2493,шторм,upepo mkali,nouns,0.0
2494,преподаватель,mwalimu,nouns,4.65
2495,цифра,tarakimu,nouns,0.0
2496,песня,tuni,nouns,3.2
2497,молочные продукты,maziwa,nouns,0.1
2498,слово,ukurasa,nouns,0.45
2499,значительно,zaidi,adverbs,0.6
2500,помиловать,kusamehe,verbs,4.35
2501,парад,umati,nouns,1.0
2502,эмоция,hali,nouns,1.85
2503,преуспевать,kutimiza,verbs,2.8
2504,химия,nadharia,nouns,0.7
2505,никогда,kamwe,adverbs,0.0
2506,ужин,chakula,nouns,3.5
2507,всплеск,chubwi,nouns,0.2
2508,быстрый,wa kasi,adjectives,4.5
2509,буря,kimbunga,nouns,4.95
2510,лелеять,kuweka,verbs,2.25
2511,ребенок,mwanaume,nouns,0.5
2512,коммуникация,televisheni,nouns,1.75
2513,строить,kuumba,verbs,3.75
2514,мальчик,patna,nouns,0.45
2515,учиться,kufyonza,verbs,0.15
2516,тайфун,dhoruba,nouns,4.05
2517,покупать,kuiba,verbs,0.0
2518,юрист,mfanyakazi wa benki,nouns,0.65
2519,зарплата,hela,nouns,2.9
2520,телефон,kibanda cha simu,nouns,1.65
2521,ударять,kuchapa,verbs,0.0
2522,душить,kutakata,verbs,0.35
2523,полировать,kung'arisha,verbs,0.0
2524,трюк,saizi,nouns,0.05
2525,август,mwezi,nouns,2.9
2526,спорить,kupinga,verbs,0.2
2527,священный,takatifu,adjectives,1.9
2528,обещать,kuweka ahadi,verbs,3.65
2529,щека,ulimi,nouns,0.7
2530,точный,uhakika,adjectives,0.0
2531,мелодия,muziki,nouns,4.35
2532,встречать,kusalimia,verbs,1.45
2533,давать,kutoa,verbs,0.05
2534,мокрый,lowa,adjectives,0.65
2535,неаккуратно,si kwa usahihi,adverbs,0.0
2536,судно,sitaha,nouns,0.95
2537,очевидно,ni dhahiri,adverbs,3.67
2538,отходить,kuondoka,verbs,0.2
2539,петрушка,pasile,nouns,0.1
2540,день,usiku,nouns,0.3
2541,продавать,kukumbusha,verbs,0.05
2542,вязкость,mnato,nouns,0.2
2543,прибывать,kuondoka,verbs,0.05
2544,мяч,mpira,nouns,1.7
2545,погода,wingu,nouns,1.15
2546,заканчивать,maliza,verbs,0.7
2547,сладость,matofaa,nouns,0.6
2548,девочка,mtoto,nouns,1.1
2549,суп,chakula cha usiku,nouns,0.7
2550,женщина,manyoya,nouns,0.2
2551,домик,nyumba ndogo,nouns,4.2
2552,пристыженный,jisikia aibu,adjectives,0.45
2553,чисто,kweli,adverbs,1.15
2554,курс,tumbo,nouns,0.15
2555,мать,mke,nouns,2.3
2556,луг,nyasi,nouns,2.05
2557,урок,darasa,nouns,0.1
2558,решать,kuamua,verbs,1.95
2559,лагерь,kibanda,nouns,0.85
2560,национальный,kitaifa,adjectives,0.1
2561,мяч,glavu,nouns,0.75
2562,питание,chakula,nouns,0.25
2563,растение,mmea,nouns,1.25
2564,кость,misuli,nouns,0.55
2565,требовать,kutaka,verbs,0.25
2566,завование,safari,nouns,0.05
2567,праведно,kwa ,adverbs,0.3
2568,обнимать,kukumbatia,verbs,0.2
2569,вредоносные программы,programu hatarishi,nouns,0.55
2570,разгон,mbio,nouns,0.0
2571,сталь,feleji,nouns,1.4
2572,сок,juisi,nouns,0.15
2573,спорить,kukubaliana,verbs,0.25
2574,банкротство,kufilisika,nouns,3.45
2575,далеко,ugenini,adverbs,0.1
2576,обычный,kawaida,adjectives,0.0
2577,выживать,kuhimili,verbs,1.2
2578,признание,kanusho,nouns,0.15
2579,печаль,aibu,nouns,0.6
2580,тело,tumbo,nouns,1.15
2581,цент,saizi,nouns,0.35
2582,дождь,manyunyu,nouns,4.45
2583,покидать,kuzurura,verbs,0.55
2584,алфавит,alphabeti,nouns,0.25
2585,грубо,kwa kukadiria,adverbs,0.0
2586,циклон,kimbunga,nouns,4.05
2587,лодыжка,mfupa,nouns,1.5
2588,ленивый,mvivu,adjectives,0.05
2589,теперь,kwa sasa,adverbs,0.0
2590,свобода,uhuru,nouns,0.3
2591,настоящий,halisi,adjectives,0.25
2592,приходить,kuleta,verbs,0.65
2593,меч,panga,nouns,0.2
2594,скоростной,wa haraka,adjectives,4.5
2595,нос,koo,nouns,0.7
2596,богатство,umaarufu,nouns,0.6
2597,кузен,mjomba,nouns,1.0
2598,песня,wimbo,nouns,0.8
2599,жаловаться,kugombana,verbs,0.85
2600,вектор,vector,nouns,1.45
2601,соглашение,pambano,nouns,0.3
2602,палец,ukucha,nouns,1.35
2603,интеллектуальный,mpumbavu,adjectives,0.15
2604,дверь,korido,nouns,0.6
2605,решать,kufikiria,verbs,1.9
2606,инфекция,maambukizo,nouns,0.75
2607,метр,inchi,nouns,1.65
2608,несправедливый,jeuri,adjectives,2.1
2609,бесконечность,usio na mwisho,nouns,0.25
2610,книга,biblia,nouns,2.2
2611,звонок,mlango,nouns,0.65
2612,тетя,mjomba,nouns,0.65
2613,глаз,nyusi,nouns,0.6
2614,мясо,ugali,nouns,0.6
2615,думать,kuamua,verbs,1.9
2616,практически,kimsingi,adverbs,0.55
2617,радость,kiburi,nouns,0.85
2618,ключ,kifunguo,nouns,0.0
2619,крест,msalaba,nouns,0.8
2620,лев,paka,nouns,0.6
2621,ягненок,kondoo,nouns,3.4
2622,ткать,kufuma,verbs,0.15
2623,эмоционально,kwa hisia,adverbs,1.1
2624,душить,kuwa nyororo,verbs,0.3
2625,завершать,kuwa,verbs,0.75
2626,ярко,kwa ukali,adverbs,0.3
2627,соглашаться,kugombana,verbs,0.25
2628,псалом,majani makavu,nouns,0.0
2629,думать,kufikiria,verbs,1.2
2630,радикальный,fikra mpya,adjectives,0.6
2631,никогда,kamwe,adverbs,0.23
2632,умиротворенность,furaha,nouns,1.75
2633,подвал,mlango,nouns,0.3
2634,общаться,kusali,verbs,0.3
2635,облако,mvuke,nouns,1.55
2636,говорить,kusikia,verbs,0.35
2637,игнорировать,kusahau,verbs,1.95
2638,беспорядочный,chafu,adjectives,0.15
2639,разница,tofauti,nouns,1.1
2640,активно,kwa uhai,adverbs,0.05
2641,победитель,bingwa,nouns,5.0
2642,газета,neno,nouns,0.75
2643,вежливо,kwa unyenyekevu,adverbs,0.4
2644,принимать,kupendekeza,verbs,0.5
2645,очевидный,wa kuona,adjectives,2.45
2646,неуверенный,sio salama,adjectives,0.0
2647,комната,kuoga,nouns,0.8
2648,бриллиант,hela,nouns,0.65
2649,поршень,pistoni,nouns,1.6
2650,корова,mifugo,nouns,2.65
2651,непотизм,undugu,nouns,0.15
2652,глотать,meza,verbs,1.95
2653,давать,kuiba,verbs,0.0
2654,быстро,kwa haraka,adverbs,4.15
2655,мыть,kuosha,verbs,3.35
2656,мясо,nyama,nouns,2.9
2657,грубый,jeuri,adjectives,0.45
2658,побережье,ufuko,nouns,3.75
2659,кровать,fanicha,nouns,2.7
2660,сохранять,kubaki,verbs,0.55
2661,ранимый,walio hatarini,adjectives,0.0
2662,рис,kuku,nouns,0.4
2663,ярость,hasira,nouns,4.6
2664,нести,kuleta,verbs,2.25
2665,орган,figo,nouns,2.3
2666,боулинг,bowling,nouns,2.15
2667,игра,mbinu,nouns,0.7
2668,брать,kupeleka,verbs,0.35
2669,покидать,kupuuza,verbs,0.35
2670,умереть,kufariki,verbs,1.35
2671,равнодушный,wa kukwaruza,adjectives,0.05
2672,встретить,kupatana,verbs,0.0
2673,клясться,kuapa,verbs,3.65
2674,политик,mwanasiasa,nouns,0.1
2675,пряный,pilipili,adjectives,0.35
2676,безумно,kwa ghadhabu,adverbs,0.5
2677,драгоценный,yenye thamani,adjectives,0.95
2678,отсутствие,kuwepo,nouns,0.4
2679,создатель,mtengenezaji,nouns,4.55
2680,обострять,kukuza,verbs,0.05
2681,велосипед,chumba cha kulala,nouns,0.0
2682,победитель,mwanaume,nouns,0.45
2683,начинать,kuacha,verbs,0.1
2684,разрушение,ujenzi,nouns,0.2
2685,хвост,bakuli,nouns,0.0
2686,книга,kitabu,nouns,1.7
2687,развлечение,mpira wa miguu,nouns,1.0
2688,лодыжка,dirisha,nouns,0.0
2689,ударять,piga,verbs,0.85
2690,мозг,damu,nouns,0.6
2691,топология,upangilio,nouns,3.05
2692,легкий,mkubwa,adjectives,0.05
2693,темп,kiwango,nouns,0.55
2694,кислота,asidi,nouns,0.3
2695,умереть,kufariki,verbs,0.35
2696,различаться,kukubali,verbs,0.05
2697,простой,ana shida,adjectives,0.05
2698,восстанавливать,kuleta,verbs,0.7
2699,жертва,mungu,nouns,0.15
2700,трескаться,kuvunja,verbs,0.7
2701,рекомендовать,kukubali,verbs,0.5
2702,конверт,bahasha,nouns,0.1
2703,отказывать,kupa,verbs,0.1
2704,слегка,wepesi,adverbs,0.0
2705,мука,mkate,nouns,1.25
2706,наказывать,kuadhibu,verbs,0.1
2707,тело,bega,nouns,1.05
2708,закапывать,kuzikwa,verbs,1.35
2709,учащийся,mwanachuo,nouns,4.9
2710,доминировать,kushinda,verbs,1.27
2711,хлеб,nyama,nouns,0.3
2712,камера,chumba,nouns,0.9
2713,ванна,puto,nouns,0.0
2714,помнить,kusahau,verbs,0.1
2715,вкладывать,kupa,verbs,0.35
2716,челюсть,mfupa,nouns,0.7
2717,ночь,mchana,nouns,0.3
2718,грузовик,lori,nouns,3.2
2719,друг,mvulana,nouns,0.95
2720,возможный,inawezekana,adjectives,0.25
2721,мост,gari,nouns,0.25
2722,коридор,ushoroba,nouns,4.1
2723,анархия,vurugu,nouns,4.55
2724,кухня,bafu,nouns,0.45
2725,свежий,mpana,adjectives,0.0
2726,в основном,zaidi,adverbs,0.2
2727,спиртное,bendi,nouns,0.2
2728,заметный,wazi,adjectives,2.45
2729,запирание,funga,nouns,1.05
2730,находить,kupata,verbs,0.0
2731,высота,urefu,nouns,0.0
2732,сенат,seneti,nouns,0.75
2733,постель,blanketi,nouns,1.25
2734,нуждающийся,uhitaji,adjectives,2.05
2735,невозможный,kutowekana,adjectives,0.25
2736,пианино,kinanda,nouns,0.25
2737,обычный,kawaida,adjectives,0.15
2738,спорить,kupinga,verbs,0.0
2739,проход,korido,nouns,4.1
2740,небо,ulimwengu,nouns,1.05
2741,сила,makadara,nouns,4.0
2742,пожинать,kuvuna,verbs,1.65
2743,лодка,nanga,nouns,0.95
2744,кругосветное плавание,mzunguko,nouns,0.5
2745,испуганный,wa wasiwasi,adjectives,4.0
2746,работник,mwajiri,nouns,0.8
2747,игнорировать,kuepa,verbs,3.0
2748,священник,rabai,nouns,1.5
2749,карета,gari,nouns,0.95
2750,мягко,kwa upole,adverbs,0.0
2751,мяч,kikapu,nouns,0.55
2752,непокрытый,haijafunikwa,adjectives,0.15
2753,дверь,jiko,nouns,0.45
2754,персонаж,mhusika,nouns,2.55
2755,нос,pua,nouns,0.85
2756,гол,alama,nouns,0.1
2757,раздражать,kuongeza,verbs,0.0
2758,беспомощный,mnyonge,adjectives,0.75
2759,ноготь,mkono,nouns,0.9
2760,новость,porojo,nouns,1.75
2761,тренери,wakufunzi,nouns,0.45
2762,наказать,kuadhibu,verbs,0.2
2763,соединять,kuambatisha,verbs,0.95
2764,выносливый,mwerevu,adjectives,1.0
2765,вкладывать,kujiunga,verbs,0.95
2766,внебрачный,nje ya ndoa,adjectives,0.05
2767,отражение,picha,nouns,1.6
2768,правило,tawala,nouns,0.6
2769,попкорн,bisi,nouns,0.6
2770,обручаться,kuoa,verbs,2.4
2771,кровать,kitanda cha mtoto,nouns,4.65
2772,локоть,mfupa,nouns,0.7
2773,мед,sukari,nouns,1.85
2774,спутник,ndugu,nouns,1.25
2775,остаток,baki,nouns,1.1
2776,уведомлять,kutambua,verbs,0.55
2777,отец,mtoto wa kiume,nouns,0.7
2778,важный,lazima,adjectives,3.15
2779,вокалист,mtaalamu wa sauti,nouns,0.15
2780,до,kabla,adverbs,0.05
2781,повязка,subira,nouns,0.0
2782,ухудшать,kuzorota,verbs,0.0
2783,игрушка,kichezeo,nouns,0.35
2784,серьезно,kwa umakini,adverbs,0.55
2785,идти,kuja,verbs,0.65
2786,воды,maji,nouns,0.0
2787,абзац,herufi,nouns,0.7
2788,потолок,sakafu,nouns,0.4
2789,флаг,bendera,nouns,0.7
2790,ужин,kuku,nouns,0.55
2791,одежда,kabati,nouns,0.6
2792,большой,mkubwa mno,adjectives,5.2
2793,нога,mkono,nouns,1.1
2794,держать,kupa,verbs,0.2
2795,материнская плата,bodi mama(mama as central),nouns,4.1
2796,луковица,ua,nouns,1.15
2797,задача,njia kuu,nouns,0.2
2798,механизм,injini,nouns,2.95
2799,интеллект,mantiki,nouns,2.65
2800,рабыня,falahi,nouns,2.45
2801,кушетка,baseball,nouns,0.0
2802,флейта,filimbi,nouns,0.95
2803,работник,mwajiri,nouns,0.65
2804,сообщить,arifu,verbs,0.0
2805,покладистый,mwenye kiasi,adjectives,1.5
2806,капитан,mwanamaji,nouns,1.85
2807,сбор пожертвований,mfadhili,nouns,0.45
2808,допущенный,mkubalika,adjectives,2.65
2809,рвать,kuchana,verbs,0.05
2810,формула,kuzidisha,nouns,0.2
2811,ужин,chakula cha asubuhi,nouns,0.55
2812,бедный,maskini,adjectives,0.05
2813,умножать,kugawanya,verbs,0.1
2814,коронация,kusimikwa ufalme,nouns,0.0
2815,течь,kumtiririko,verbs,0.6
2816,ущипнуть,kufinya,verbs,0.5
2817,регулярно,mara kwa mara,adverbs,0.45
2818,полностью,kwa ukamilifu,adverbs,0.65
2819,миллиардер,bilionea,nouns,0.05
2820,заканчивать,kumaliza,verbs,0.9
2821,пистолет,bunduki,nouns,0.0
2822,утомительный,kulivu,adjectives,0.0
2823,размер,mbinu,nouns,0.05
2824,дерматит,ugonjwa wa ngozi,nouns,3.05
2825,глубоко,kiundani,adverbs,0.4
2826,наверное,uwezekano,adverbs,3.2
2827,проем,mlango,nouns,3.25
2828,обвинять,kushtaki,verbs,2.25
2829,младенец,mtoto wa kike,nouns,1.0
2830,недавно,hivi karibuni,adverbs,0.0
2831,желудок,mshipa,nouns,0.4
2832,избирать,kuteua,verbs,0.1
2833,ежемесячный,kila mwezi,adjectives,0.15
2834,создавать,kuharibu,verbs,0.1
2835,певец,mwimbaji,nouns,0.85
2836,чемпион,mshindi,nouns,5.0
2837,бесформенный,kutobadilishwa,adjectives,0.05
2838,срыгивать,kutapika,verbs,0.0
2839,сопло,pua,nouns,0.0
2840,собрание,mkutano,nouns,4.5
2841,стена,pambo,nouns,0.7
2842,язык,koo,nouns,1.0
2843,слово,sentensi,nouns,1.8
2844,обычно,kwa kawaida,adverbs,0.0
2845,куст,ua,nouns,0.75
2846,начать,kuanza,verbs,1.9
2847,грубо,yenye kukwaruza,adverbs,0.25
2848,парень,mtu mzuri,nouns,0.45
2849,глупый,mpumbavu,adjectives,2.08
2850,мята,mti wa minti,nouns,0.15
2851,рассвет,mchana,nouns,1.1
2852,курятина,steki,nouns,0.75
2853,ураган,dhoruba,nouns,4.95
2854,дорожка,njia,nouns,0.45
2855,противоречить,kataa,verbs,0.15
