ID,SPA,SWA,PoS,score
1,estúpido,mpumbavu,adjectives,4.65
2,años,urembo,nouns,0.35
3,escultor,sonara,nouns,0.35
4,comida,chakula,nouns,0.05
5,lector,mtunzi,nouns,0.5
6,bicicleta,chumba cha kulala,nouns,0.15
7,estrecho,nyembamba,adjectives,2.17
8,libro,insha,nouns,1.0
9,behaviorismo,somo la tabia,nouns,0.6
10,determinar,kutabiri,verbs,1.0
11,virus,kirusi,nouns,0.85
12,comida,chakula cha usiku,nouns,3.8
13,vexilología,elimu ya bendera,nouns,1.2
14,coche,baisikeli,nouns,0.75
15,empatar,kuvunga,verbs,0.1
16,aumentar,kulea,verbs,0.0
17,antes de,kabla,adverbs,0.1
18,herméticamente,kwa mkazo,adverbs,0.5
19,carbohidrato,wanga,nouns,1.55
20,emoción,hamu,nouns,2.95
21,discrepar,kataa,verbs,0.5
22,caso,kesi,nouns,0.17
23,aparente,wazi,adjectives,4.35
24,cuota,malipo,nouns,4.45
25,estrecho,mpana,adjectives,0.15
26,seguro,lindwa,adjectives,0.05
27,carne,ugali,nouns,0.65
28,niño,mazingira,nouns,0.05
29,comunicación,televisheni,nouns,1.5
30,segundo,dakika,nouns,2.65
31,banda,gwaride,nouns,2.0
32,libertad,uhuru,nouns,0.17
33,apertura,kufungua,nouns,2.75
34,inmoral,mbaya,adjectives,2.4
35,colegio,sheria,nouns,0.45
36,levantar,nyanyua,verbs,0.3
37,abogado,mfanyakazi wa benki,nouns,0.95
38,avena,ngano,nouns,0.35
39,privado,faragha,adjectives,3.65
40,mentir,kudanganya,verbs,0.42
41,intención,nia,nouns,1.6
42,crear,kutengeneza,verbs,1.65
43,ensalada,siki,nouns,0.65
44,dividir,kugawanya,verbs,0.25
45,precisamente,kwa usahihi,adverbs,0.38
46,menta,mti wa minti,nouns,0.05
47,miel,sukari,nouns,2.0
48,cierto,uhakika,adjectives,0.05
49,unirse,kukuunga,verbs,0.25
50,cubierta,boti,nouns,0.7
51,marco,fremu,nouns,0.15
52,nacional,kitaifa,adjectives,0.2
53,imposible,kutowekana,adjectives,0.2
54,trigo,nafaka,nouns,2.1
55,detener,kuacha,verbs,0.32
56,visado,mhuri,nouns,0.45
57,aplicación,programu tumishi,nouns,0.1
58,cordero,kondoo,nouns,3.8
59,chisme,habari,nouns,1.6
60,sol,matofaa,nouns,0.3
61,unirse,kushiriki,verbs,3.65
62,melodía,muziki,nouns,4.3
63,eléctrico,chenye umeme,adjectives,0.6
64,dar,kukana,verbs,0.1
65,abeja,malkia,nouns,0.5
66,aleación,aloyi,nouns,1.15
67,cárcel,funga,nouns,0.95
68,organizar,kuwa,verbs,0.2
69,poliedro,pembe zaidi ya sita,nouns,0.0
70,impaciente,ana wasiwasi,adjectives,4.4
71,manzana,sosi,nouns,0.35
72,salir,kufika,verbs,0.25
73,asistir,kujitokeza,verbs,3.15
74,pedir,kusali,verbs,1.0
75,sargento,mjeshi,nouns,0.7
76,tobillo,kiwiko,nouns,0.5
77,béisbol,undugu,nouns,0.15
78,pollo,chakula cha usiku,nouns,1.05
79,presidente,kamera,nouns,0.45
80,entropía,kuzorota,nouns,0.4
81,hervir,kuchemsha,verbs,0.9
82,actor,mwimbaji,nouns,0.65
83,preocuparse,kuwa na wasiwasi,verbs,0.05
84,inferior,kushusha,verbs,1.5
85,plato,bakuli,nouns,2.75
86,enfermedad,saratani,nouns,3.25
87,ratón,menejimenti,nouns,0.0
88,lente,kamera,nouns,2.3
89,entender,kusikiliza,verbs,0.85
90,matar,kukaba,verbs,0.65
91,antiguo,mpya,adjectives,0.2
92,biotopo,ekolojia,nouns,0.8
93,agudo,kali,adjectives,0.25
94,soldado,mvulana,nouns,0.3
95,día,alfajiri,nouns,1.9
96,clima,wingu,nouns,1.1
97,matemático,mwanamahesabu,nouns,0.05
98,triste,mbovu,adjectives,0.4
99,seguro,salama,adjectives,0.75
100,mujer,mwanaume,nouns,1.0
101,casa,kapeti,nouns,0.25
102,completar,kamili,adjectives,3.3
103,diente,kinywa,nouns,1.35
104,teléfono inteligente,simu mahiri,nouns,0.0
105,cubierta,panya,nouns,0.0
106,sociedad,jamii,nouns,1.7
107,pájaro,batamzinga,nouns,3.2
108,té,limau,nouns,0.35
109,sofá,kiti,nouns,3.05
110,garganta,ulimi,nouns,1.15
111,jugador,mchezaji,nouns,0.85
112,ganador,uwepo,nouns,0.25
113,dieta,matofaa,nouns,0.5
114,presencia,kutokuwepo,nouns,0.3
115,corte,korti,nouns,1.5
116,sombrero,sanduku,nouns,0.2
117,creativo,mbunifu,adjectives,4.05
118,barajar,kuchanganya,verbs,0.3
119,atención,ufahamu,nouns,1.1
120,rey,mtoto wa mfalme,nouns,2.35
121,seguro,bila shaka,adjectives,4.0
122,horrible,poa,adjectives,0.15
123,formación,areyi,nouns,0.7
124,tratar,tibu,verbs,0.1
125,dermatitis,ugonjwa wa ngozi,nouns,2.4
126,niño,mwanajeshi,nouns,0.3
127,malgastar,takataka,verbs,0.05
128,cabeza,mguu,nouns,0.4
129,fácil,imara,adjectives,0.15
130,inquieto,mchanga,adjectives,0.2
131,comprar,kununua,verbs,1.75
132,permanecer,kupata,verbs,0.1
133,fácil,ngumu,adjectives,0.3
134,asistir,kutuma,verbs,0.35
135,perla,hela,nouns,0.5
136,aprender,kusikiliza,verbs,0.6
137,planta de semilla,miche,nouns,1.35
138,herramienta,kitendea kazi,nouns,1.1
139,confundir,kuchanganya,verbs,0.1
140,elección,sura,nouns,0.3
141,merecer,kuchuma,verbs,0.9
142,orgulloso,kujivunia,adjectives,0.1
143,palabra,ukurasa,nouns,0.3
144,ejército,kikosi,nouns,3.35
145,fondo,juu,nouns,0.2
146,ensayo,kitabu,nouns,1.0
147,recorrer,kuvuta,verbs,0.3
148,máquina,mashine,nouns,3.35
149,congreso,mkutano,nouns,3.1
150,grande,mpana,adjectives,2.55
151,dar,kukopesha,verbs,2.35
152,fuertemente,kwa nguvu,adverbs,0.0
153,ropa,kitambaa,nouns,2.85
154,hacer,kuharibu,verbs,0.15
155,decir,kuhakikisha,verbs,0.45
156,campana,mlango,nouns,0.3
157,dinosaurio,mijusi ya kale,nouns,0.45
158,héroe,mwanamke wa shujaa,nouns,2.45
159,mortal,hatari sana,adverbs,0.05
160,rechazar,kutoa,verbs,0.65
161,personal,wafanyakazi,nouns,0.4
162,radiador,radiator,nouns,0.9
163,flauta,filimbi,nouns,1.35
164,ducado,dukedom,nouns,2.35
165,grosero,jeuri,adjectives,0.45
166,modesto,ana aibu,adjectives,0.4
167,eléctrico,chenye umeme,adjectives,0.0
168,vena,tumbo,nouns,0.3
169,lado,chini,nouns,0.8
170,juzgar,kuhukumu,verbs,2.45
171,himno,majani makavu,nouns,0.05
172,invierno,msimu wa joto,nouns,0.45
173,lago,bwawa,nouns,2.8
174,cautelosamente,kwa uangalifu,adverbs,5.15
175,princesa,mtoto mke wa mfalme,nouns,0.0
176,juego,mbinu,nouns,1.25
177,béisbol,kochi,nouns,0.1
178,fútbol,burudani,nouns,1.05
179,yegua,farasi,nouns,3.35
180,defender,kulinda,verbs,4.85
181,cocido,pikwa,adjectives,4.3
182,puerta,sela,nouns,0.15
183,copiloto,rubani msaidizi,nouns,0.15
184,asistir,kuhudhuria,verbs,0.1
185,hecho,umaizi,nouns,1.2
186,coro,kanisa,nouns,1.35
187,privado,binafsi,adjectives,0.1
188,raza,mbio,nouns,0.0
189,escucha,kuelewa,verbs,0.85
190,himno,biblia,nouns,0.3
191,después,baada ya,adverbs,0.1
192,discutir,kupinga,verbs,0.45
193,materia,kitabu,nouns,1.05
194,falda,sketi,nouns,0.15
195,manuscrito,muswada,nouns,1.9
196,nariz,koo,nouns,0.55
197,riqueza,umaarufu,nouns,0.95
198,orgulloso,mwenye nguvu,adjectives,0.55
199,profesor,msaidizi,nouns,0.85
200,arma,silaha,nouns,0.9
201,grillo,kriketi,nouns,0.0
202,agonía,huzuni,nouns,3.15
203,tío,mwanaume,nouns,2.4
204,triste,wa kuchosha,adjectives,0.6
205,comprar,kuiba,verbs,0.1
206,clase,darasa,nouns,0.1
207,teatro,ukumbi,nouns,0.5
208,ayuda,saidia,verbs,1.05
209,racismo,ubaguzi wa rangi,nouns,4.3
210,león,paka,nouns,0.9
211,hormiga,chungu,nouns,0.45
212,poner,kupa,verbs,0.6
213,legal,halali,adjectives,0.75
214,escalar,kupanda,verbs,0.55
215,honestamente,kwa kweli,adverbs,1.53
216,fonología,fonolojia,nouns,0.2
217,puro,safi,adjectives,0.3
218,cantar,kuimba,verbs,0.0
219,sombrero,koti,nouns,0.65
220,discutir,kutetea,verbs,0.5
221,sobre,bahasha,nouns,0.05
222,empleado,mwajiri,nouns,0.65
223,acusar,kushtaki,verbs,0.25
224,brecha,uwazi,nouns,2.75
225,oficina,ofisi,nouns,0.4
226,citoplasma,cytoplasm,nouns,0.0
227,café,maharagwe,nouns,0.3
228,mar,bahari,nouns,1.18
229,mañana,kesho,adverbs,0.2
230,perro,farasi,nouns,0.45
231,escuchar,kusikia,verbs,5.05
232,puerta,kengele,nouns,0.3
233,esta noche,usiku huu,adverbs,1.9
234,desierto,jangwa,nouns,2.35
235,mirar,kuangalia,verbs,4.85
236,corona,taji,nouns,0.1
237,estrecho,mrefu,adjectives,0.25
238,deambular,kutangatanga,verbs,5.35
239,beligerancia,ubishani,nouns,3.75
240,orquesta,bendi,nouns,4.6
241,molécula,molekuli,nouns,0.2
242,queso,mkate,nouns,0.3
243,autor,msomaji,nouns,0.5
244,terminalmente,mwisho,adverbs,0.3
245,frágil,baridi,adjectives,0.15
246,pecho,mwili,nouns,1.5
247,diccionario,neno,nouns,1.45
248,terrible,mwenye huzuni,adjectives,0.4
249,puramente,kweli,adverbs,1.7
250,puerta,mlangoni,nouns,2.95
251,smo,mkosaji,nouns,0.05
252,recomendar,kukubali,verbs,0.65
253,discrepar,kukutokubali,verbs,0.6
254,piso,paa,nouns,0.55
255,normalmente,kwa kawaida,adverbs,0.1
256,presionar,kuvyombo vya habari,verbs,0.1
257,jugo,maziwa,nouns,0.65
258,pelota,mzinga,nouns,0.3
259,norte,magharibi,nouns,0.4
260,telescopio,darubini,nouns,0.0
261,desalentar,kutia moyo,verbs,0.25
262,confusión,kichaa,nouns,1.25
263,tarea,njia kuu,nouns,0.15
264,leyenda,hadithi,nouns,0.3
265,hueso,mkono,nouns,0.75
266,verificar,kutetea,verbs,1.05
267,retirarse,kurudia,verbs,0.45
268,reflexión,picha,nouns,1.4
269,crédito,mkopo,nouns,1.7
270,comida,kiuno,nouns,0.25
271,real,halisi,adjectives,0.15
272,será,hiari,nouns,1.6
273,multitud,kikundi,nouns,3.7
274,libro,andiko,nouns,3.05
275,delgado,nyembamba,adjectives,3.85
276,brillantemente,kwa ukali,adverbs,0.07
277,espejismo,uhalisi,nouns,0.15
278,salir,kuzurura,verbs,1.0
279,equipaje,mzigo,nouns,0.55
280,planeta,sayari,nouns,2.95
281,alcohol,brandi,nouns,2.4
282,bonito,nzuri,adjectives,0.25
283,idioma,mawasiliano,nouns,2.15
284,seguramente,pasipo tu,adverbs,0.0
285,discutir,kubisha,verbs,0.6
286,dejar,kuanza,verbs,0.15
287,agravar,kuongeza,verbs,0.5
288,seguramente,kwa kuaminika,adverbs,1.15
289,carta,aya,nouns,0.65
290,realizar,kushinda,verbs,2.65
291,asa,mpini,nouns,0.3
292,botella,chombo,nouns,1.3
293,modesto,pole,adjectives,0.7
294,hoja,jani,nouns,1.2
295,competencia,uelekevu,nouns,2.9
296,conquista,safari,nouns,0.45
297,genio,jini,nouns,0.5
298,átomo,molekuli,nouns,2.6
299,película,filamu,nouns,2.83
300,taxi,gari,nouns,4.05
301,pobre,maskini,adjectives,0.1
302,seguidor,msaidizi,nouns,0.0
303,saber,kupa,verbs,0.25
304,humildemente,kwa unyenyekevu,adverbs,0.05
305,reunir,kukutana,verbs,2.55
306,traductor,mtafsiri,nouns,0.25
307,recoger,kuokoa,verbs,0.65
308,escapar,kutoroka,verbs,4.85
309,instrumento,zeze,nouns,2.35
310,mediocre,mtumba,adjectives,0.4
311,cama,kochi,nouns,1.75
312,cuchillo,bunduki,nouns,0.95
313,pantano,ziwa,nouns,2.8
314,cuerpo,mwili,nouns,0.35
315,locamente,kwa ghadhabu,adverbs,0.7
316,frígido,mdhaifu,adjectives,0.15
317,aburrido,zorota,adjectives,0.1
318,ciclón,kimbunga,nouns,4.6
319,elegir,kuteua,verbs,0.2
320,irregularmente,isivyo kawaida,adverbs,0.3
321,completamente,kwa uzima,adverbs,0.7
322,globalismo,utandawazi,nouns,0.45
323,rezar,kuwasiliana,verbs,0.45
324,derecho,nyooka,adjectives,0.25
325,pareja,jozi,nouns,5.2
326,bucear,piga mbizi,verbs,0.0
327,grosero,jeuri,adjectives,1.45
328,arzobispo,askofu,nouns,3.75
329,carne,damu,nouns,0.95
330,metal,chuma,nouns,2.2
331,apestar,kutoa harufu,verbs,2.2
332,alegría,kiburi,nouns,0.7
333,amenaza,hatari,nouns,4.25
334,mente,akili,nouns,4.45
335,patata,siagi,nouns,0.45
336,abogado,wakili,nouns,3.05
337,azúcar,asali,nouns,2.0
338,restaurar,kuleta,verbs,0.7
339,acantilado,mkia,nouns,0.0
340,saltando,kuruka,nouns,0.2
341,hablar,kutambua,verbs,0.5
342,agosto,mwezi,nouns,3.05
343,instantáneamente,papo hapo,adverbs,1.4
344,destruir,kuua,verbs,1.7
345,hombre,mtoto,nouns,0.55
346,mandíbula,mfupa,nouns,0.7
347,padre,kaka,nouns,0.35
348,baño,jiko,nouns,0.4
349,ayudante,mfanyakazi wa nyumbani,nouns,2.95
350,pistola,watu,nouns,0.1
351,acuerdo,tundu,nouns,0.0
352,mecánico,mfanyakazi,nouns,2.0
353,manguera,bustani,nouns,0.3
354,estar,kusimama,verbs,0.15
355,pegajoso,kunata,adjectives,0.95
356,seriamente,kwa umakini,adverbs,1.8
357,cuidadosamente,kwa umakini,adverbs,5.15
358,extraterrestre,ajabu,nouns,0.75
359,vaso,chembechembe,nouns,0.9
360,sesión,kikao,nouns,0.35
361,dinero,hela,nouns,5.25
362,arquero,mpiga mishale,nouns,0.4
363,arce,mnazi,nouns,1.1
364,gol,mshindi,nouns,0.4
365,biografía,habari za kubuniwa,nouns,0.8
366,pedir prestado,kutaka,verbs,0.8
367,hombre,mjomba,nouns,2.4
368,verificar,kusema,verbs,0.45
369,salvar,kuokoa,verbs,0.05
370,investigar,kuchunguza,verbs,5.05
371,buscar,tafuta,verbs,1.15
372,microscopio,darubini,nouns,0.9
373,confianza,nafsi,nouns,0.75
374,estima,pongezi,nouns,1.55
375,histeria,ghasia,nouns,1.25
376,justificar,kugombana,verbs,0.5
377,beca,ufadhili wa elimu,nouns,1.55
378,espina,shingo,nouns,0.4
379,tormenta,wingu,nouns,0.7
380,gato,simba,nouns,0.9
381,hueso,meno,nouns,0.95
382,amigo,mgeni,nouns,0.85
383,deber,kukopesha,verbs,0.5
384,lógica,akili,nouns,3.15
385,reír,kucheka,verbs,0.15
386,tonto,adimu,adjectives,0.1
387,descubrir,kutambua,verbs,4.9
388,pistola,mzinga,nouns,1.55
389,fácil,rahisi,adjectives,0.4
390,rosa,waridi,nouns,0.2
391,calendario,kalenda,nouns,0.65
392,dígito,tarakimu,nouns,0.0
393,botón,nguo,nouns,1.0
394,secretamente,kwa siri,adverbs,0.6
395,multiplicar,kujumlisha,verbs,1.0
396,agresivo,kua na hasira,adjectives,0.05
397,carbón,atomu,nouns,1.05
398,fielmente,kwa uaminifu,adverbs,2.95
399,decidir,kuamua,verbs,2.7
400,mujer,manyoya,nouns,0.15
401,pavo,kuku,nouns,0.85
402,crimen,kosa,nouns,3.25
403,población,watu,nouns,3.45
404,equipo,jeshi,nouns,1.6
405,múltiple,nyingi zaidi,adverbs,0.95
406,bolígrafo,kalamu,nouns,0.4
407,película,filamu,nouns,0.1
408,murciélago,popo,nouns,1.4
409,cena,chakula,nouns,3.55
410,proteína,protini,nouns,0.3
411,realidad,ndoto,nouns,0.2
412,dígito,tarakimu,nouns,5.25
413,recoger,kukusanya,verbs,1.8
414,templado,vuguvugu,adjectives,0.8
415,desorganizado,kutopangilia,verbs,0.05
416,ministerio,huduma,nouns,0.2
417,apartamento,hoteli,nouns,0.85
418,pistola,alfajiri,nouns,0.0
419,principado,mfalme,nouns,2.35
420,cesta,mpira,nouns,0.3
421,escoba,ufagio,nouns,0.65
422,violento,kigomvi,adjectives,0.1
423,arroz,kuku,nouns,0.35
424,menta,minti,nouns,0.0
425,negar,kupa,verbs,0.1
426,basílica,basilika,nouns,0.25
427,desconocer,kukataliwa,verbs,1.55
428,banda,pombe,nouns,0.3
429,mimar,kuharibu,verbs,0.0
430,madre,rafiki,nouns,0.25
431,año,mwaka,nouns,1.05
432,similar,sawasawa,adjectives,4.15
433,remover,koroga,verbs,2.65
434,cola,sura,nouns,0.05
435,condensador,capacitor,nouns,1.8
436,papel,kuni,nouns,0.65
437,desaparecer,kupungua,verbs,0.65
438,enviar,kuhudhuria,verbs,0.35
439,extrañamente,kiajabu,adverbs,1.15
440,marinero,kapteni,nouns,1.75
441,médico,tabia,nouns,0.15
442,culpar,kulaumu,verbs,0.05
443,actualmente,kwa sasa,adverbs,0.0
444,sucio,bila haki,adverbs,0.0
445,curvo,yenye pindo,adjectives,0.05
446,dominar,kushinda,verbs,1.8
447,habitación,mahabusu,nouns,0.35
448,absorber,kumiliki,verbs,0.55
449,amanecer,mchana,nouns,1.9
450,ruido,sauti,nouns,3.85
451,caramelo,matofaa,nouns,0.45
452,ancho,mwembamba,adjectives,0.15
453,biólogo,mbiolojia,nouns,0.9
454,aparecer,kuhudhuria,verbs,3.15
455,tratar,kutimiza,verbs,0.7
456,cruel,mwema,adjectives,0.1
457,cuadrado,mraba,nouns,0.2
458,dolor,uchungu,nouns,3.15
459,velocidad,mwendo,nouns,0.2
460,crear,kuunda,verbs,4.1
461,ropa interior,chupi,nouns,0.3
462,capítulo,usiku,nouns,0.35
463,obispo,askofu,nouns,0.25
464,dividir,kujumlisha,verbs,0.35
465,comodidad,kufaraja,verbs,0.0
466,guerrero,mwanaume,nouns,0.9
467,rechazar,kukataa,verbs,0.2
468,neurosis,ugonjwa wa neurosis,nouns,1.25
469,cuerpo,mkono,nouns,1.5
470,caer,kuanguka,verbs,0.8
471,torre,kengele,nouns,1.0
472,hermosamente,kwa uzuri,adverbs,1.35
473,hueso,goti,nouns,0.65
474,mascota,paka,nouns,3.25
475,silla,kiti,nouns,3.15
476,caballo,ng'ombe dume,nouns,0.85
477,silla,sofa,nouns,3.05
478,sin peligro,kwa usalama,adverbs,0.35
479,rescatar,okoa,verbs,5.15
480,extramatrimonial,nje ya ndoa,adjectives,0.15
481,tonto,ana akili,adjectives,0.15
482,único,ya pekee,adjectives,0.85
483,víctor,mwanaume,nouns,0.35
484,palanca de mando,joystiki,nouns,0.5
485,tarea,majani makavu,nouns,0.05
486,actualmente,kwa sasa,adverbs,2.5
487,político,rais,nouns,2.65
488,hierba,mzizi,nouns,0.8
489,menú,agizo,nouns,0.9
490,mirar,kutafuta,verbs,1.5
491,prometer,kuweka ahadi,verbs,4.8
492,moral,adili,nouns,0.3
493,pasivamente,pasipo tu,adverbs,0.22
494,campeón,mshindi,nouns,4.95
495,cama,chumba cha kulala,nouns,1.25
496,chico,patna,nouns,0.7
497,cigarro,bomba,nouns,0.2
498,aplazar,kuhairisha,verbs,0.9
499,viscosidad,mnato,nouns,0.45
500,sofá,kitanda,nouns,1.75
501,molestia,kusumbua,verbs,0.8
502,amanecer,usiku,nouns,0.25
503,pulgar,mkono,nouns,1.45
504,idealmente,walau,adverbs,0.4
505,activamente,kwa juhudi,adverbs,0.7
506,robar,kupa,verbs,0.05
507,periódico,neno,nouns,0.65
508,pedir prestado,kuuza,verbs,0.2
509,vocalista,mtaalamu wa sauti,nouns,0.4
510,sospechar,mshukiwa,nouns,0.2
511,nervio,matumbo,nouns,0.5
512,tomar,kuondoka,verbs,0.2
513,olvidar,kupuuza,verbs,2.1
514,hueso,kifundo cha mguu,nouns,1.45
515,confesión,kanusho,nouns,0.7
516,tranquilamente,kwa ukimya,adverbs,0.7
517,sándwich,nyama,nouns,0.65
518,quinto,wa tano,adjectives,0.05
519,examinar,kupeleleza,verbs,5.05
520,escudo,mwepesi,nouns,0.75
521,chico,kijana,nouns,4.1
522,amplio,mbivu,adjectives,0.05
523,par,vitu viwili,nouns,5.2
524,saludar,kukutana,verbs,0.65
525,diamante,hela,nouns,0.6
526,decidir,kufikiria,verbs,1.8
527,sediento,kua na kiu,adjectives,0.8
528,definitivamente,hakika,adverbs,4.05
529,con rapidez,kwa haraka,adverbs,4.5
530,hueso,taya,nouns,0.7
531,libro,makala,nouns,1.1
532,aburrido,boreka,adjectives,1.85
533,ocurrir,kutukia,verbs,4.95
534,raro,mpumbavu,adjectives,0.1
535,recuerda,kukumbuka,verbs,1.7
536,inflexión,inflection,nouns,0.85
537,cuerda,uzi,nouns,0.0
538,juego,tendo,nouns,1.1
539,senado,seneti,nouns,1.1
540,tabaco,sigara,nouns,4.0
541,sencillo,ngumu,adjectives,0.15
542,avergonzado,ana hatia,adjectives,1.05
543,caballo,farasi wa kiume,nouns,3.45
544,correr,kimbia,verbs,0.2
545,xenofobia,ubaguzi,nouns,4.3
546,ayudar,kufadhili,verbs,4.55
547,unir,kuunganisha,verbs,0.25
548,erosionar,kumomonyoka,verbs,0.0
549,playa,kisiwa,nouns,1.3
550,olvidar,kukumbusha,verbs,0.1
551,código,alama,nouns,2.1
552,coche,honi,nouns,0.3
553,frígido,wa kukwaruza,adjectives,0.4
554,llave,nyumba,nouns,0.7
555,museo,jumba la makumbusho,nouns,0.0
556,perder,kupoteza,verbs,0.2
557,gato,mnyama,nouns,3.25
558,autopista,barabara kuu,nouns,4.6
559,profundamente,kwa undani,adverbs,0.9
560,gestionar,kupanga,verbs,4.3
561,omnipotencia,uwezaji,nouns,2.6
562,lema,lemma,nouns,0.5
563,ropa,kifungo,nouns,1.0
564,invierno,msimu,nouns,2.9
565,imaginar,kujifanya,verbs,0.7
566,motor,mashine,nouns,3.25
567,enviar,kwenda,verbs,0.4
568,inteligente,mpumbavu,adjectives,0.15
569,cruzar,msalaba,nouns,0.1
570,ácido,asidi,nouns,0.75
571,cena,kuku,nouns,1.05
572,multiplicación,zidisha,nouns,0.35
573,persuadir,kufuatilia,verbs,0.5
574,montar,endesha,verbs,0.3
575,tomar,kuiba,verbs,1.05
