ID,SPA,SWA,PoS,score
2253,alma,kaka,nouns,0.2
2254,lucha,kupigana,verbs,0.35
2255,permitir,kupa,verbs,0.85
2256,evitar,kupuuza,verbs,2.8
2257,frontera,mpaka,nouns,4.6
2258,complacer,kukubali,verbs,0.6
2259,neblina,wingu,nouns,2.4
2260,reunión,kusanyiko,nouns,4.7
2261,rígido,ngumu,adjectives,0.2
2262,brillar,kuangaza,verbs,3.75
2263,árbol,mpera,nouns,3.4
2264,fuente,chanzo,nouns,0.1
2265,reina,nyuki,nouns,0.5
2266,astuto,mjanja,adjectives,4.5
2267,médico,profesa,nouns,0.9
2268,libro,dhima,nouns,0.45
2269,clase,chuo,nouns,2.05
2270,centavo,mke,nouns,0.15
2271,abogado,mwanasheria,nouns,2.47
2272,banquero,mwanasheria,nouns,0.95
2273,dólar,dola,nouns,1.3
2274,policía,polisi,nouns,0.17
2275,bicicleta,baiskeli,nouns,0.2
2276,aparato,chungu,nouns,0.45
2277,ruidoso,yenye sauti,adjectives,0.45
2278,madera,mbao,nouns,0.05
2279,manuscrito,muswada,nouns,2.35
2280,azul,bluu,adjectives,0.55
2281,truco,bunduki,nouns,0.15
2282,desarrollo,maendeleo,nouns,0.5
2283,dos veces,mara mbili,adverbs,0.25
2284,esclavo,falahi,nouns,2.95
2285,querer,kutaka,verbs,4.35
2286,truco,kuoga,nouns,0.0
2287,desayuno,chakula cha usiku,nouns,0.85
2288,mucama,msaidizi,nouns,2.95
2289,decisión,chaguo,nouns,3.6
2290,callejón,bakuli,nouns,0.05
2291,permitir,kwenda,verbs,0.2
2292,adjuntar,kubandika,verbs,0.05
2293,sofá,baseball,nouns,0.1
2294,malo,mbovu,adjectives,4.95
2295,guitarra,gita,nouns,0.25
2296,herir,kuumia,verbs,0.73
2297,mito,hadithi,nouns,2.2
2298,página,neno,nouns,0.3
2299,emocionalmente,kwa hisia,adverbs,1.55
2300,aceptar,kukataa,verbs,0.15
2301,terrible,mbaya,adjectives,4.95
2302,cuerno,gari,nouns,0.3
2303,silla,kitanda,nouns,1.0
2304,áspero,baridi,adjectives,0.4
2305,maizal,mahindi,nouns,3.55
2306,playa,uwanda wa bahari,nouns,3.05
2307,enorme,mkubwa sana,adjectives,5.3
2308,zona,kona,nouns,0.55
2309,baloncesto,baseball,nouns,0.85
2310,portal,mlango,nouns,2.95
2311,malo,poa,adjectives,0.1
2312,fábrica,gari,nouns,0.25
2313,ahogarse,kuua,verbs,0.65
2314,costa,pwani,nouns,0.45
2315,montar,kuendesha,verbs,0.2
2316,a veces,mara nyingine,adverbs,1.1
2317,raro,haba,adjectives,4.6
2318,zapatillas,wakufunzi,nouns,0.4
2319,duque,mjuzi,nouns,0.1
2320,empezar,kwenda,verbs,0.35
2321,nunca,kamwe,adverbs,0.1
2322,coche,njia kuu,nouns,0.95
2323,dar,kuruhusu,verbs,0.85
2324,catástrofe,kifo,nouns,1.55
2325,empapar,kulowesha,verbs,0.0
2326,carne,steki,nouns,4.25
2327,catedral,dari,nouns,0.3
2328,cargador,chaja,nouns,0.2
2329,negar,kukubali,verbs,0.1
2330,cuchara,kikombe,nouns,0.95
2331,humillar,kuaibisha,verbs,0.0
2332,marca,ishara,nouns,0.45
2333,teléfono móvil,simu ya mkononi,nouns,4.7
2334,capturar,kushika,verbs,0.2
2335,riqueza,umasikini,nouns,0.25
2336,molestar,kusumbua,verbs,1.58
2337,caóticamente,kwa vurugu,adverbs,0.05
2338,sátira,satire,nouns,2.2
2339,nervioso,wasiwasi,adjectives,2.8
2340,capa,nguo,nouns,2.1
2341,calibre,gari,nouns,0.25
2342,asignación,jukumu,nouns,4.3
2343,mediocre,ya kawaida,adjectives,0.45
2344,dieta,saladi,nouns,0.75
2345,macizamente,kwa ukubwa,adverbs,0.2
2346,pareja,mvulana,nouns,0.48
2347,riñón,kiungo,nouns,2.8
2348,montaña,mwamba,nouns,1.15
2349,decidir,kuonyesha,verbs,0.35
2350,ataque,shambulio,nouns,1.35
2351,odiar,chukia,verbs,0.3
2352,noticias,habari,nouns,1.2
2353,elección,jela,nouns,0.25
2354,mujer,jukumu,nouns,0.15
2355,plancha,vitamini,nouns,0.25
2356,lanzar,kuachilia,verbs,0.1
2357,órgano,ini,nouns,2.3
2358,pobreza,utajiri,nouns,0.25
2359,asteroide,kimondo,nouns,3.05
2360,bote,gari,nouns,0.65
2361,objetivo,jitihada,nouns,0.75
2362,ascensor,gari,nouns,0.5
2363,nuevo,wa kale,adjectives,0.2
2364,noticias,vyombo vya habari,nouns,2.05
2365,tormenta,theluji,nouns,0.65
2366,intestino,neva,nouns,0.5
2367,tonto,mkubwa mno,adjectives,0.0
2368,fotófono,picha,nouns,0.4
2369,orgullo,furaha,nouns,0.7
2370,pensar,kufikiria,verbs,1.7
2371,verter,kumwaga,verbs,1.15
2372,inseguro,sio salama,adjectives,0.35
2373,popular,inayofahamika,adjectives,5.0
2374,vector,vector,nouns,1.65
2375,maduro,kiukomavu,adverbs,0.55
2376,forastero,outlander,nouns,0.75
2377,agujero,mke,nouns,0.0
2378,castigar,kuadhibu,verbs,0.45
2379,discusión,mapatano,nouns,0.65
2380,miel,asali,nouns,0.25
2381,electricidad,umeme,nouns,0.0
2382,jurar,kuapa,verbs,4.8
2383,tsunami,sunami,nouns,1.3
2384,tratar,kufanikiwa,verbs,0.7
2385,destruir,kuharibu,verbs,0.05
2386,brazo,bega,nouns,1.55
2387,brandy,kileo,nouns,2.4
2388,orden,menyu,nouns,0.9
2389,recibir,kupa,verbs,0.45
2390,urgentemente,haraka,adverbs,4.5
2391,gato,sungura,nouns,0.65
2392,inteligencia,hekima,nouns,3.8
2393,licenciado en derecho,wakili,nouns,4.85
2394,traer,kulalamika,verbs,0.05
2395,fama,utajiri,nouns,0.95
2396,espíritu,bendi,nouns,0.3
2397,juez,hakimu,nouns,1.5
2398,historia,wimbo,nouns,0.6
2399,pedir,kupuuza,verbs,0.15
2400,unir,kuungana,verbs,1.95
2401,fresco,mzee,adjectives,0.05
2402,cortina,nguzo,nouns,0.25
2403,cuidadosamente,kwa utaratibu,adverbs,0.15
2404,gato,panya,nouns,0.4
2405,amigo,mwalimu,nouns,0.4
2406,perdonar,kuelewa,verbs,0.6
2407,suceder,kutokea,verbs,4.95
2408,volverse,kupanga,verbs,0.2
2409,curva,pembe,nouns,1.8
2410,asustado,kua na uoga,adjectives,0.7
2411,caballo,mbwa,nouns,0.45
2412,posada,hosteli,nouns,2.9
2413,aceptar,kupendekeza,verbs,0.65
2414,armonía,umoja,nouns,0.15
2415,viaje,ushindi,nouns,0.45
2416,nunca,kamwe,adjectives,0.38
2417,vaca,mifugo,nouns,2.7
2418,deambular,kuteleza,verbs,0.35
2419,traer,kutuma,verbs,0.55
2420,clase,ushoroba,nouns,0.15
2421,saludar,kutoa heshima,verbs,0.2
2422,cabeza,kichwa,nouns,0.9
2423,modesto,mnyenyekevu,adjectives,0.3
2424,delito,uhalifu,nouns,1.35
2425,deteriorarse,kuzorota,verbs,0.2
2426,pantalones,jinzi,nouns,0.15
2427,prima,mjomba,nouns,0.55
2428,soneto,ushairi,nouns,0.25
2429,tobillo,dirisha,nouns,0.05
2430,legión,jeshi,nouns,3.35
2431,abrazo,kumbatia,verbs,4.85
2432,seguridad,starehe,nouns,1.4
2433,astuto,mgeni,adjectives,0.15
2434,gusano,mnyoo,nouns,0.7
2435,snowboard,ubao wa theluji,nouns,2.45
2436,manchar,kupaka,verbs,0.55
2437,rápido,wa haraka,adjectives,4.3
2438,dar un puñetazo,kukupiga ngumi,verbs,0.35
2439,con optimismo,kwa matuamini,adverbs,1.05
2440,caballo,farasi wa kike,nouns,3.35
2441,legal,halali,adjectives,0.2
2442,aparecer,kuondoka,verbs,0.7
2443,ir,kuingia,verbs,0.75
2444,salir,kujitokeza,verbs,0.7
2445,justamente,kwa haki,adverbs,0.1
2446,código malicioso,programu hatarishi,nouns,0.7
2447,tarea,kisiwa,nouns,0.05
2448,traqueteo,kelele,nouns,3.85
2449,reunirse,kukutana,verbs,0.0
2450,teclado,kibodi,nouns,0.25
2451,diodo,diode,nouns,1.8
2452,predecir,kudhani,verbs,2.45
2453,coche,boti,nouns,0.65
2454,coche,gari,nouns,3.15
2455,metal,bati,nouns,1.45
2456,recalentamiento,choma,nouns,0.9
2457,mar,mto,nouns,2.4
2458,truco,mchezo,nouns,1.25
2459,minúsculo,mkubwa mno,adjectives,0.15
2460,mano,ukucha,nouns,0.85
2461,entregar,kuchukua,verbs,0.6
2462,triste,huzuni,adjectives,0.05
2463,realidad,njozi,nouns,0.15
2464,disminuir,kukataa,verbs,0.1
2465,llovizna,mvua,nouns,4.5
2466,ventana,dirisha,nouns,0.35
2467,muy,zaidi,adverbs,0.15
2468,muerte,balaa,nouns,1.83
2469,abiertamente,wazi,adverbs,0.2
2470,república,jamhuri,nouns,0.1
2471,división,mgawanyiko,nouns,0.35
2472,entrante,inayoingia,adjectives,0.25
2473,carboncillo,makaa ya mawe,nouns,2.95
2474,derecho,shule,nouns,0.45
2475,vaso,kijiko,nouns,0.95
2476,discutir,kuthibitisha,verbs,0.3
2477,copiloto,rubani msaidizi,nouns,0.65
2478,taxi,basi,nouns,2.2
2479,predecir,kubainisha,verbs,1.0
2480,tropezarse,kugongana,verbs,3.0
2481,fluir,kumtiririko,verbs,0.35
2482,oveja,mifugo,nouns,3.0
2483,flotador,kuelea,verbs,0.0
2484,año,siku ya kuzaliwa,nouns,1.0
2485,ir,kuruhusu,verbs,0.2
2486,dentista,daktari wa meno,nouns,4.5
2487,confiar,tegemea,verbs,0.85
2488,increíblemente,kwa umaradufu,adverbs,0.55
2489,superar,kutawala,verbs,1.8
2490,ágil,wa kasi,adjectives,4.3
2491,conciencia,uangalifu,nouns,1.1
2492,ozono,ozoni,nouns,2.4
2493,ejército,kundi,nouns,1.6
2494,centavo,watu,nouns,0.05
2495,culpable,mbaya,adjectives,1.6
2496,cantante,mwimbaji,nouns,0.95
2497,inteligencia,ujinga,nouns,0.55
2498,examen,mtihani,nouns,0.3
2499,cielo,jua,nouns,1.05
2500,bañera,mbinu,nouns,0.0
2501,radar,rada,nouns,0.5
2502,ofrecimiento,toleo,nouns,3.05
2503,reunión creativa,changamsha bongo,nouns,0.0
2504,coche,kiwanda,nouns,0.25
2505,enjuagar,kusuuza,verbs,3.9
2506,medalla,medali,nouns,0.4
2507,deber,kuingia,verbs,0.0
2508,médico,mtaalamu wa meno,nouns,2.45
2509,ruta,mwendo,nouns,3.55
2510,irritar,kusumbua,verbs,0.3
2511,avergonzado,kua na aibu,adjectives,0.0
2512,juguete,kichezeo,nouns,0.5
2513,joven,isiyotulia,adjectives,0.2
2514,pistón,pistoni,nouns,1.8
2515,hombre,baba,nouns,2.35
2516,aplastar,kuharibu,verbs,2.85
2517,semilla,mbegu,nouns,0.85
2518,felicidad,furaha,nouns,0.5
2519,puesta de sol,machweo,nouns,0.03
2520,siglo,pombe,nouns,0.05
2521,vender,kuazima,verbs,0.2
2522,fórmula,kuzidisha,nouns,0.1
2523,mecánicamente,kwa ustadi,adverbs,0.4
2524,tobillo,mfupa,nouns,1.45
2525,nervioso,kuoga,adjectives,0.05
2526,pelota,mavazi,nouns,0.15
2527,accidente,ajali,nouns,0.1
2528,médico,daktari,nouns,5.25
2529,pensar,kuamua,verbs,1.8
2530,flexible,mkubwa sana,adjectives,0.15
2531,malo,wa dhambi,adjectives,2.4
2532,patear,kupiga,verbs,0.65
2533,pistola,bunduki,nouns,0.05
2534,galleta,biskuti,nouns,0.0
2535,puente,kadi,nouns,0.1
2536,base,besi,nouns,0.75
2537,pan,unga,nouns,1.15
2538,extraño,ya kushangaza,adjectives,0.2
2539,escultura,sanamu,nouns,4.85
2540,vulnerable,walio hatarini,adjectives,0.6
2541,autobús,teksi,nouns,2.2
2542,simple,ana shida,adjectives,0.15
2543,asustado,ogopa,adjectives,2.8
2544,fluido,majimaji,nouns,0.2
2545,morder,uma,verbs,0.0
2546,retirar,kufyonza,verbs,0.9
2547,negar,kupuuzia,verbs,1.55
2548,sala,ukumbi,nouns,0.4
2549,tamaño,ukubwa,nouns,4.95
2550,arrestar,kukamatwa,verbs,0.4
2551,gravedad,mvuto,nouns,0.7
2552,candado,kufuli,nouns,1.8
2553,leer,kufahamu,verbs,1.2
2554,biblia,nyimbo,nouns,0.3
2555,normalmente,kwa kawaida,adverbs,3.1
2556,hombro,kichwa,nouns,1.15
2557,nube,dhoruba,nouns,0.7
2558,ausencia,kuwepo,nouns,0.3
2559,adivinar,kubuni,verbs,0.0
2560,sorprender,kushangaza,verbs,0.5
2561,cámara,kamera,nouns,0.1
2562,cuando,kila wakati,adverbs,0.55
2563,diccionario,kamusi,nouns,2.6
2564,ortodoncista,mtaalamu wa meno,nouns,4.5
2565,atraer,kuvutia,verbs,0.05
2566,hombre,mpiganaji,nouns,0.9
2567,flor,imani,nouns,0.1
2568,creativamente,kiubunifu,adverbs,1.6
2569,morir,kufariki,verbs,1.45
2570,grave,makini,adjectives,0.0
2571,ahorro,kuokoa,nouns,3.3
2572,ola,wimbi,nouns,0.7
2573,ganado,kondoo,nouns,3.0
2574,brillo,nuru,nouns,2.75
2575,ahogar,kuziba,verbs,0.05
2576,ganancia,kufaida,verbs,0.85
2577,cena,chakula cha asubuhi,nouns,0.55
2578,cambiar,kugeuza,verbs,4.75
2579,sabiduría,akili,nouns,3.8
2580,adulto,mtoto mchanga,nouns,0.4
2581,reunirse,kusalimia,verbs,0.65
2582,discutir,kushawishi,verbs,0.75
2583,adquirir,kujiunga,verbs,0.45
2584,noticias,porojo,nouns,1.6
2585,alcalde,rais,nouns,1.45
2586,hueso,kiwiko,nouns,0.65
2587,nervio,mwili,nouns,0.65
2588,sur,kaskazini,nouns,0.3
2589,pretender,kuwazia,verbs,0.7
2590,niña,mfanyakazi wa nyumbani,nouns,0.6
2591,discutir,kupinga,verbs,0.1
2592,pelota,kikapu,nouns,0.3
2593,morir,kufariki,verbs,0.35
2594,analizar,kuchambua,verbs,4.35
2595,suave,laini,adjectives,0.1
2596,tenis,tenisi,nouns,0.25
2597,codo,kifundo cha mguu,nouns,0.5
2598,competencia,uwezo,nouns,3.55
2599,isla,mtoto wa mfalme,nouns,0.05
2600,recompensa,thawabu,nouns,3.85
2601,creencia,fikra,nouns,1.5
2602,básicamente,kimsingi,adverbs,0.7
2603,hacer senderismo,kutembea umbali mrefu,verbs,0.55
2604,retratar,kujulisha,verbs,1.35
2605,feliz,mchanga,adjectives,0.15
2606,difícil,mwerevu,adjectives,0.5
2607,polinización,uchavushi,nouns,1.6
2608,esperar,kusubiri,verbs,2.05
2609,cáncer,maradhi,nouns,3.25
2610,juicio,hukumu,nouns,1.0
2611,estudiante,profesa,nouns,0.6
2612,ginebra,kileo,nouns,2.4
2613,darse cuenta de,kugundua,verbs,4.9
2614,raqueta,raketi,nouns,0.95
2615,brazo,mfupa,nouns,0.75
2616,mollete,muffini,nouns,0.25
2617,isla,kisiwa,nouns,0.65
2618,candidato,mshindi,nouns,1.4
2619,rock,mwamba,nouns,0.0
2620,abeja,sisimizi,nouns,0.7
2621,estúpido,mpumbavu,adjectives,0.8
2622,ligeramente,wepesi,adverbs,0.0
2623,fraternidad,wanaume,nouns,0.95
2624,ratón,paka,nouns,0.4
2625,asistir,kufika,verbs,2.55
2626,silenciosamente,kwa ukimya,adverbs,0.35
2627,leer,kusoma,verbs,0.0
2628,poliéster,pamba,nouns,0.75
2629,mentira,kudanganya,verbs,1.75
2630,mano,kidole gumba,nouns,1.45
2631,esta noche,leo usiku,adverbs,0.2
2632,oro,dhahabu,nouns,1.15
2633,cena,chakula cha asubuhi,nouns,0.85
2634,sueño,ndoto,nouns,0.3
2635,universo,anga,nouns,1.0
2636,brazo,mshipa,nouns,0.5
2637,progenitor,baba,nouns,4.45
2638,obedecer,kutii,verbs,0.5
2639,raramente,nadra,adverbs,0.05
2640,mar,ufuko,nouns,3.0
2641,monje,mtawa,nouns,0.1
2642,nariz,pua,nouns,0.9
2643,mutante,jitu,nouns,0.2
2644,monasterio,monasteri,nouns,0.0
2645,negocio,viwanda,nouns,2.4
2646,matar,ua,verbs,0.35
2647,impotente,hoi,adjectives,1.2
2648,vender,kuuza,verbs,0.45
2649,generosamente,kwa fadhili,adverbs,2.75
2650,automóvil,motokaa,nouns,5.65
2651,ventana,kifundo cha mguu,nouns,0.05
2652,aprender,kujifunza,verbs,0.1
2653,hoja,gombo,nouns,0.0
2654,algodón,plastiki,nouns,0.75
2655,padre,mzazi,nouns,4.45
2656,enojado,mjeuri,adjectives,1.55
2657,arroz,mvulana,nouns,0.0
2658,molino,koboa,nouns,0.85
2659,ahorrador,saver,nouns,3.3
2660,duro,rahisi,adjectives,0.15
2661,gente,senti,nouns,0.05
2662,acetaminofeno,acetaminopheni,nouns,0.55
2663,novia,mtoto wa mfalme,nouns,0.55
2664,buque,mshipa,nouns,0.05
2665,conservar,kusahau,verbs,0.2
2666,perder,kukosa,verbs,0.1
2667,estómago,mshipa,nouns,0.3
2668,hígado,pafu,nouns,0.45
2669,estatua,kinyagu,nouns,4.85
2670,información,kitabu,nouns,0.95
2671,enterrar,kuzikwa,verbs,1.45
2672,filme,sinema,nouns,5.15
2673,renacimiento,zika upya,nouns,0.9
2674,hombres,undugu,nouns,0.95
2675,grande,mzito,adjectives,1.4
2676,taburete,kigoda,nouns,3.15
2677,brazo,kifundo,nouns,0.9
2678,neutral,upande wowote,adjectives,0.55
2679,alegre,mwenye kupendeza,adjectives,1.9
2680,originalmente,ya uhalisia,adverbs,1.6
2681,clima,theluji,nouns,0.75
2682,sacerdote,mtawa,nouns,3.1
2683,participar,kushirikiana,verbs,3.75
2684,altar,ushoroba,nouns,0.25
2685,modesto,nyenyekevu,adjectives,4.6
2686,presidente,mwanasiasa,nouns,2.65
2687,habitación,bafu,nouns,0.7
2688,chauvinista,chauvinist,nouns,1.85
2689,enorme,mpumbavu,adjectives,0.0
2690,matriz,matriksi,nouns,0.92
2691,feliz,mchangamfu,adjectives,5.05
2692,hígado,kiungo,nouns,2.3
2693,sencillo,rahisi,adjectives,4.8
2694,en la zona,kienyeji,adverbs,0.0
2695,hierba,mwani,nouns,1.8
2696,fraternidad,baseball,nouns,0.15
2697,negar,kukana,verbs,1.35
2698,oficial,ofisa,nouns,1.05
2699,llegar,kuondoka,verbs,0.25
2700,peligro,ugonjwa,nouns,0.75
2701,tribunal,mahakama,nouns,2.25
2702,dignidad,hadhi,nouns,0.2
2703,atmósfera,hali ya anga,nouns,2.4
2704,diferentemente,tofauti,adverbs,1.15
2705,sol,anga,nouns,1.05
2706,moderno,wa kale,adjectives,0.15
2707,vagar,kuzurura,verbs,5.35
2708,elegir,kuchagua,verbs,5.75
2709,tocino,maharagwe,nouns,0.25
2710,hablar,kutamka,verbs,1.35
2711,resistencia,ua,nouns,0.05
2712,oír,kuzungumza,verbs,0.55
2713,poema,shairi,nouns,0.9
2714,sinceramente,kwa ukweli,adverbs,0.4
2715,capítulo,chaguo,nouns,0.3
2716,mendigar,kuuliza,verbs,2.75
2717,abrazar,kukumbatia,verbs,0.45
2718,joven,mwenye furaha,adjectives,0.15
2719,ignorar,kuepa,verbs,2.8
2720,jugo,juisi,nouns,0.1
2721,monje,padri,nouns,3.1
2722,demonio,pepo,nouns,0.65
2723,aceptar,kuamini,verbs,1.8
2724,colérico,mkali,adjectives,0.45
2725,dibujo,mchoro,nouns,0.05
2726,continuación,mwendelezo,nouns,0.1
2727,jugo,matofaa,nouns,1.0
2728,mariposa,kipepeo,nouns,0.2
2729,taxi,teksi,nouns,3.35
2730,cuidadosamente,kwa uangalifu,adverbs,3.2
2731,matar,kuharibu,verbs,1.7
2732,ficción,wasifu,nouns,0.8
2733,ratón,sitaha,nouns,0.0
2734,conjunto,iliyojumuishwa,adjectives,2.35
2735,aplastar,kupondwa,verbs,1.35
2736,enviar,nguzo,nouns,0.2
2737,cargar,kutiachaji,verbs,0.6
2738,violación,uhalifu,nouns,3.25
2739,enfermos,ana wazimu,adjectives,0.9
2740,vestir,kuvaa,verbs,0.0
2741,calibre,kaliba,nouns,0.1
2742,herir,uma,verbs,0.6
2743,tocino,chakula cha asubuhi,nouns,0.55
2744,populacho,umati,nouns,3.7
2745,pasivo,kupooza,adjectives,0.1
2746,temporada,msimu wa baridi,nouns,2.9
2747,vitamina,chuma,nouns,0.25
2748,centinela,mwanaume,nouns,0.8
2749,palabra,kamusi,nouns,1.45
2750,reconocer,kuzungumza,verbs,0.5
2751,isla,ufuko,nouns,1.3
2752,sorber,kukunywa,verbs,3.65
2753,recoger,kukusanya,verbs,2.95
2754,diablo,mungu,nouns,0.3
2755,capitán,mwanamaji,nouns,1.75
2756,manta,kitanda,nouns,1.2
2757,empezar,kuacha,verbs,0.15
2758,un pan,chizi,nouns,0.3
2759,desalentar,kufeli,verbs,0.5
2760,lista,orodha,nouns,0.7
2761,combate,pambano,nouns,3.75
2762,crecimiento,ukuaji,nouns,0.45
2763,animar,kukanya,verbs,0.25
2764,cooperar,kujiunga,verbs,3.2
2765,obra de arte,mchoro,nouns,1.2
2766,escaso,adimu,adjectives,4.6
2767,temblar,kutetemeka,verbs,0.5
2768,opuesto,kinyume,adjectives,0.55
2769,cuerpo,tumbo,nouns,1.25
2770,estaño,tini,nouns,1.7
2771,poseer,kufyonza,verbs,0.55
2772,uña,mkono,nouns,0.85
2773,olvidar,kujifunza,verbs,0.2
2774,metro,inchi,nouns,1.75
2775,sobrio,makini,adjectives,0.7
2776,párrafo,herufi,nouns,0.65
2777,democracia,demokrasia,nouns,1.15
2778,fantasía,uhalisi,nouns,0.2
2779,coche,motokaa,nouns,3.35
2780,simulación,onyesho,nouns,0.45
2781,salario,hela,nouns,3.35
2782,cigarrillo,tumbaku,nouns,4.0
2783,descomposición,utengano,nouns,0.65
2784,valores,akiba,nouns,2.75
2785,habitación,kuoga,nouns,0.4
2786,estar de acuerdo,kugombana,verbs,0.4
2787,malo,wa kutisha,adjectives,1.9
2788,renunciar,kukataa,verbs,0.85
2789,chaqueta,sweta,nouns,3.1
2790,silaba,mtaala,nouns,0.3
2791,nieve,dhoruba,nouns,0.65
2792,genial,wa kutisha,adjectives,0.15
2793,discutir,kutofautiana,verbs,3.15
2794,robo,uhalifu,nouns,3.6
2795,separar,kutenganisha,verbs,0.1
2796,sucio,mwembamba,adjectives,0.0
2797,nube,hali ya hewa,nouns,1.1
2798,halcón,ndege,nouns,2.95
2799,pensar,kujaribu,verbs,0.35
2800,tragedia,kifo,nouns,2.1
2801,suavemente,kwa upole,adverbs,0.05
2802,grande,nama,adjectives,0.15
2803,uña,kidole gumba,nouns,1.5
2804,trabajo,mgawo,nouns,0.45
2805,habitación,baisikeli,nouns,0.15
2806,nerviosamente,kwa woga,adverbs,4.5
2807,extraño,wa kawaida,adjectives,0.25
2808,musgo,nyasi,nouns,1.8
2809,carreras,mbio,nouns,0.15
2810,sacudir,kutikisa,verbs,1.43
2811,llorar,kulia,verbs,2.6
