ID,SWA,YUE,PoS,score
580,kinyagu,雕像,nouns,4.43
581,tukio,事件,nouns,0.28
582,asili,大自然,nouns,0.79
583,nyama,麵包,nouns,0.28
584,mwanakondoo,羊,nouns,3.76
585,binamu,叔叔,nouns,1.02
586,kuzungumza,承認,verbs,0.38
587,uchafuzi,總統,nouns,0.1
588,nyumba ndogo,小木屋,nouns,3.54
589,chai,檸檬,nouns,0.24
590,kujaribu,试着,verbs,0.83
591,kutambulisha,確定,verbs,0.0
592,kupendelea,傾向,verbs,3.13
593,dhoruba,雲,nouns,0.97
594,koo,舌頭,nouns,1.1
595,mphilisophia,哲學家,nouns,0.09
596,kileo,威士忌酒,nouns,4.15
597,salama,好,adjectives,0.5
598,hatari,威脅,nouns,4.29
599,oni,選擇,nouns,1.26
600,mpaka,國境,nouns,3.92
601,mwanaume,父親,nouns,2.67
602,uwazi,缺口,nouns,3.21
603,saladi,減肥,nouns,0.53
604,mara chache,不經常,adverbs,0.04
605,oasisi,綠洲,nouns,0.0
606,kuandika,匆匆地寫,verbs,3.02
607,kutembea,步行,verbs,2.42
608,sikawaida,異常地,adverbs,0.0
609,kutota,淹,verbs,0.04
610,kuadhibu,懲罰,verbs,0.14
611,ushindi,聖歌,nouns,0.05
612,strouberi,士多啤梨,nouns,2.27
613,bluu,藍色,adjectives,0.39
614,haijafichuliwa,未公開,adjectives,0.24
615,kupata,留,verbs,0.65
616,chuma,金屬,nouns,2.44
617,mlango,走廊,nouns,0.43
618,stadi ya magonjwa,病理學,nouns,2.77
619,saratani,疾病,nouns,3.62
620,alama,標誌,nouns,3.86
621,mwanamahesabu,數學家,nouns,0.04
622,farasi,小馬,nouns,3.73
623,nyumba ya sanaa,畫廊,nouns,0.0
624,mguu,手臂,nouns,0.98
625,kutoa heshima,敬禮,verbs,0.05
626,juu,下面,nouns,0.1
627,wa dhambi,壞,adjectives,1.6
628,mbaya,內疚,adjectives,1.18
629,mara nyingi,經常,adverbs,0.04
630,mpangilio wa chakula,蘋果,nouns,0.33
631,kaka,兄弟,nouns,1.57
632,kukashifu,得罪,verbs,3.38
633,mara kwa mara,稍微地,adverbs,0.75
634,utendaji,性能,nouns,0.55
635,mbao,木,nouns,0.32
636,kiundani,深度地,adverbs,0.72
637,injini,機器,nouns,2.99
638,kushukia,懷疑,verbs,0.18
639,mwanajeshi,男孩,nouns,0.65
640,dola,人,nouns,0.35
641,kionyeshi,光標,nouns,0.14
642,kubadilisha,恢復,verbs,0.51
643,kukusanya,見面,verbs,1.41
644,kuwa yumba,未定,adjectives,0.46
645,kwa ukaribu,親密,adjectives,0.05
646,ajali,大災難,nouns,2.41
647,mwandishi,作家,nouns,0.43
648,makaa,煤,nouns,3.48
649,hekima,智力,nouns,3.9
650,dada,姊妹,nouns,1.57
651,kuhukumu,判斷,verbs,1.84
652,kukataza,禁止,verbs,2.42
653,shughuli,約定,nouns,0.75
654,kuoa,訂婚,verbs,2.96
655,aya,信,nouns,0.25
656,mungu,獵物,nouns,0.0
657,safi,純,adjectives,0.14
658,tao,角度,nouns,1.65
659,bomba,雪茄,nouns,0.18
660,sheria,學校,nouns,0.23
661,dakika,秒,nouns,2.99
662,umasikini,財富,nouns,0.29
663,pombe,紅酒,nouns,3.69
664,ana kichaa,瘋狂,adjectives,5.53
665,sherehe,人們,nouns,0.56
666,nuru,明亮,nouns,2.67
667,nyooka,直,adjectives,0.24
668,arifu,通知,verbs,0.0
669,mbuni,鴕鳥,nouns,0.0
670,steki,肉,nouns,4.54
671,kileo,白蘭地酒,nouns,3.32
672,kua na hasira,好鬥,adjectives,0.05
673,hali ya hewa,雲,nouns,1.07
674,senti,人,nouns,0.14
675,kibanda,茅屋,nouns,3.54
676,kuondoka,到達,verbs,0.05
677,kunusia,發出氣味,verbs,2.13
678,mchango,募捐,nouns,0.19
679,kwa kweli,誠實地,adverbs,1.87
680,protestanti,新教,nouns,3.93
681,kukuza,加劇,verbs,0.0
682,mvivu,懶,adjectives,0.09
683,kuokoa,保留,verbs,0.04
684,kulowesha,淋透,verbs,0.04
685,kazi za mikono,手工業,nouns,0.28
686,daktari,脾氣,nouns,0.18
687,mzinga,槍,nouns,1.94
688,kupuuza,離開,verbs,0.24
689,falahi,奴隸,nouns,3.55
690,chukia,討厭,verbs,0.21
691,lenzi,相機,nouns,1.51
692,mkakati,策略家,nouns,2.56
693,pafu,肝,nouns,0.48
694,nyimbo,稻草,nouns,0.18
695,haraka,紧急,adverbs,4.26
696,kunyanyua,舉起,verbs,3.31
697,helmeti,頭盔,nouns,1.02
698,kukaba,呼吸,verbs,0.41
699,msimu wa joto,冬天,nouns,0.24
700,gogo,沖涼,nouns,0.0
701,mtazamo,自信,nouns,0.41
702,kiukakamavu,堅固地,adverbs,0.56
703,mfupa,肘,nouns,0.34
704,uwanja,田,nouns,0.41
705,jukumu,女人,nouns,0.1
706,mguu,肢體,nouns,1.83
707,kusoma,讀,verbs,0.09
708,mdogo,次要,adjectives,0.14
709,mpini,柄,nouns,0.2
710,kamera,工作者,nouns,0.18
711,upendeleo,意見,nouns,0.1
712,mshale,目標,nouns,0.85
713,feki,假,adjectives,0.24
714,kushiriki,說,verbs,0.05
715,njia,探路者,nouns,0.04
716,jumba la makumbusho,博物館,nouns,0.04
717,kazi,管理,nouns,0.62
718,kuondoka,出現,verbs,0.45
719,kupanua,成長,verbs,0.66
720,kwa ukimya,靜靜地,adverbs,0.32
721,bila masihara,重要的,adverbs,2.79
722,kileo,葡萄酒,nouns,3.92
723,oni,偏壓,nouns,0.1
724,maadili,權利,nouns,0.57
725,sinema,電影,nouns,1.75
726,laani,譴責,verbs,0.55
727,wa kawaida,不同,adjectives,0.1
728,skiing,滑雪,nouns,1.56
729,kuiba,攞,verbs,0.78
730,rahisi,簡單,adjectives,0.16
731,watu,一分錢,nouns,0.14
732,paka,獅子,nouns,1.12
733,kuunguza,燒傷,verbs,0.23
734,baadae,稍後,adverbs,0.0
735,mpira wa miguu,有趣,nouns,0.63
736,mfalme,親王國,nouns,1.51
737,mtaa,小巷,nouns,2.5
738,kusahau,學習,verbs,0.2
739,uchaguzi,選舉,nouns,2.68
740,rasmi,正式地,adverbs,0.66
741,kisiwa,任務,nouns,0.0
742,kushauri,提議,verbs,4.58
743,wiski,酒,nouns,4.15
744,kitabu,書,nouns,0.0
745,amevaa,穿著衣服的,adjectives,0.53
746,kwa ujanja,巧妙的,adverbs,0.46
747,chakula cha asubuhi,煙肉,nouns,0.63
748,kukataa,宣佈放棄,verbs,0.48
749,nyusi,眼睛,nouns,0.48
750,mpumbavu,巨大,adjectives,0.09
751,mtaalamu wa meno,醫生,nouns,3.04
752,kulipa,付款,verbs,2.93
753,bahati,幸福,nouns,0.56
754,malkia,蜜蜂,nouns,0.1
755,umoja,結合,nouns,0.97
756,tofali,牆,nouns,1.31
757,mshale,遊標,nouns,0.04
758,kulinda,保護,verbs,0.86
759,asiyeaminika,靠不住的,adjectives,1.97
760,kushidwa,失敗,verbs,0.1
761,uwanda wa bahari,海灘,nouns,3.17
762,anga,陽光,nouns,1.01
763,diode,二極管,nouns,1.98
764,mhuri,簽證,nouns,0.23
765,kalenda,日期,nouns,3.71
766,pambo,牆壁,nouns,0.33
767,mwalimu,拉比,nouns,1.2
768,kukamata,抓住,verbs,3.53
769,ufunguo,房屋,nouns,0.58
770,lugha,溝通,nouns,1.88
771,umeme,電,nouns,0.0
772,kila mwezi,每月,adjectives,0.78
773,sayansi,心理學,nouns,1.65
774,bunge,議會,nouns,2.94
775,mpana,窄小,adjectives,0.14
776,lulu,錢,nouns,0.23
777,kataa,不同意,verbs,0.19
778,kupunguza,减少,verbs,0.04
779,kujipatia,加入,verbs,0.05
780,kichwa,肩,nouns,0.68
781,mtoto wa kiume,父親,nouns,1.25
782,sekunde,分鐘,nouns,2.99
783,imara,堅硬,adjectives,2.92
784,agosti,月,nouns,2.73
785,kuacha,做,verbs,0.1
786,mwezi,行星,nouns,1.92
787,kitambaa,衣服,nouns,2.74
788,bia,香檳,nouns,2.91
789,mlango,窗,nouns,0.92
790,mtoto wa kike,孩子,nouns,1.75
791,kuchanganua,評估,verbs,4.28
792,kupumzika,輕鬆,adjectives,0.46
793,ufagio,掃帚,nouns,0.66
794,kutokuwepo,在场,nouns,0.24
795,karatasi ya kupamba ukuta,牆紙,nouns,1.94
796,kuamua,想,verbs,1.32
797,kwenda,開始,verbs,0.05
798,dhaifu,弱,adjectives,0.15
799,eneo,地帶,nouns,4.45
800,mwandishi wa filamu,編劇,nouns,0.56
801,kidole,手掌,nouns,1.38
802,mosaic,馬賽克,nouns,0.05
803,peremende,糖果,nouns,0.33
804,wali,雞,nouns,0.33
805,kufunikwa,冚住,adjectives,0.53
806,bunifu,創新,adjectives,4.08
807,chaguo,監獄,nouns,0.1
808,ngao,小圆盾,nouns,0.18
809,kukubali,運送,verbs,0.0
810,askofu mkuu,主教,nouns,4.29
811,baba,女兒,nouns,0.42
812,namna,字典,nouns,0.55
813,kwa maana,有意義,adverbs,0.72
814,wanamuziki,樂隊,nouns,4.27
815,mwenye nguvu,強大,adjectives,0.15
816,wingu,雲,nouns,0.0
817,dhima,書,nouns,0.23
818,almasi,錢,nouns,0.66
819,pua,喉嚨,nouns,0.48
820,mara chache,偶然,adverbs,0.63
821,gari la farasi,四輪貨運馬車,nouns,3.9
822,picha,光線電話機,nouns,0.0
823,glasi,玻璃,nouns,0.09
824,kriketi,蟋蟀,nouns,0.04
825,kuuliza,祈禱,verbs,0.43
826,mto,溪流,nouns,3.33
827,paa,屋頂,nouns,0.37
828,kuzikwa,埋葬,verbs,1.45
829,mgeni,怪異,adjectives,3.42
830,kukimbia,逃跑,verbs,4.73
831,bati,金屬,nouns,1.69
832,mwepesi,屏蔽,nouns,0.18
833,mpira,大炮,nouns,0.19
834,kuwa na wasiwasi,擔心,verbs,0.0
835,kutopangilia,雜亂無章,verbs,0.04
836,kidole cha mkono,腳趾,nouns,1.07
837,kuruhusu,允許,verbs,0.0
838,kufunga,領帶,verbs,0.15
839,ndama,公牛,nouns,2.78
840,muswada,手稿,nouns,1.35
841,msimbo,符號,nouns,1.41
842,utawala,行政管理,nouns,3.29
843,minti,薄荷,nouns,0.04
844,haki,正義,nouns,1.42
845,wizi,犯罪,nouns,3.77
846,taa,燈,nouns,0.09
847,nyembamba,狹窄,adjectives,0.0
848,neva,腦,nouns,0.7
849,maradhi,癌症,nouns,3.62
850,isivyo kawaida,不定期地,adverbs,0.18
851,vurugu,混亂,nouns,0.0
852,soka,英式足球,nouns,5.59
853,mfalme,王子,nouns,2.63
854,udhibiti,審查,nouns,0.2
855,kiutulivu,冷靜地,adverbs,0.46
856,kimbia,跑,verbs,0.09
857,sisimizi,蜜蜂,nouns,1.12
858,kukubali,贊成,verbs,3.88
859,mshahara,錢,nouns,3.46
860,uhitaji,貧困,adjectives,1.2
861,wakili,律師,nouns,4.17
862,kanisa ,教堂,nouns,0.0
863,kung'ata,咬,verbs,0.38
864,cd,電腦,nouns,0.89
865,maharagwe,咖啡,nouns,0.48
866,mgeni,狡猾,adjectives,0.41
867,taarifa,書,nouns,0.85
868,kupokea,收到,verbs,0.68
869,kusihi,乞求,verbs,4.22
870,jiji,城市,nouns,4.03
871,matofaa,醬,nouns,0.23
872,mvulana,士兵,nouns,0.65
873,kanali,牙醫,nouns,0.1
874,kwa usalama,安全地,adverbs,0.46
875,kirahisi,簡直,adverbs,0.36
876,daktari,大夫,nouns,5.1
877,theluji,天氣,nouns,0.53
878,mlezi,成人,nouns,2.31
879,kungoja,等待,verbs,0.0
880,kufika,來,verbs,2.83
881,mchafuko,混亂,nouns,3.89
882,mchanga,開心,adjectives,0.15
883,uwepo,門,nouns,0.0
884,mhalifu,罪犯,nouns,5.32
885,mwili,身體,nouns,0.44
886,usiku huu,今晚,adverbs,1.02
887,mfupa,頸,nouns,0.47
888,chumba,床,nouns,0.43
889,silaha,武器,nouns,1.02
890,kusahau,原諒,verbs,0.34
891,filimbi,長笛,nouns,1.27
892,kufariki,死,verbs,1.45
893,ushoroba,課堂,nouns,0.04
894,amani,和平,nouns,0.15
895,kwenda,發送,verbs,0.05
896,kuonekana,假扮,verbs,0.33
897,kengele,塔,nouns,0.33
898,kujifunza,評估,verbs,0.45
899,kabla,之前,adverbs,0.1
900,chafu,亂七八糟,adjectives,0.09
901,ni dhahiri,明顯地,adverbs,3.6
902,kufaraja,安慰,verbs,0.0
903,ziwa,湖,nouns,0.23
904,mbao,木,nouns,0.0
905,mwanahabari,記者,nouns,0.24
906,matofaa,飲食,nouns,0.33
907,kuondoka,空出,verbs,0.09
908,mpumbavu,醒目,adjectives,0.38
909,pasipo tu,被動地,adverbs,0.18
910,kuachilia,放開,verbs,0.09
911,kidole gumba,指甲,nouns,1.6
912,sura,章節,nouns,1.35
913,uwanja wa ndege,飛機場,nouns,0.0
914,hadithi,話題,nouns,0.56
915,kuumba,毀滅,verbs,0.1
916,kwa umakini,小心地,adverbs,5.27
917,kawaida,平時,adverbs,0.15
918,uelekevu,才能,nouns,3.41
919,kuondoka,留,verbs,0.1
920,mrefu,短,adjectives,0.18
921,wingi,許多,nouns,3.17
922,kujifanya,似乎,verbs,0.33
923,mbiolojia,生物學家,nouns,0.61
924,kapeti,屋,nouns,0.33
925,fitisha,後綴,nouns,0.14
926,gari,運輸,nouns,1.09
927,kuruhusu,走,verbs,0.0
928,ushindi,凱旋,nouns,3.88
929,divai,酒,nouns,3.69
930,bizi,忙碌,adjectives,0.14
931,mwani,草,nouns,2.02
932,mkopo,信用,nouns,0.64
933,kichochoro,碗,nouns,0.05
934,kupuuza,無視,verbs,0.0
935,usiku,白天,nouns,0.34
936,kufikiria,拗撬,verbs,0.1
937,kukuifungia,阻礙,verbs,0.0
938,shirikisho,結合,nouns,2.69
939,kufanikiwa,節約,verbs,0.05
940,jini,精靈,nouns,0.09
941,zamani,舊,adjectives,0.14
942,kuku,米飯,nouns,0.33
943,chafu,亂,adjectives,0.63
944,kwa kutegemewa,被動地,adverbs,0.0
945,majani makavu,聖歌,nouns,0.18
946,mwezi,八月,nouns,2.73
947,mlango,地窖,nouns,0.09
948,karne,酒,nouns,0.04
949,mtindo wa maisha,生活方式,nouns,1.12
950,mwigizaji,演員,nouns,0.25
951,kwa ukali,明亮地,adverbs,0.32
952,mkufunzi,老師,nouns,3.64
953,usiku,黎明,nouns,0.28
954,mifugo,羊,nouns,2.6
955,bila furaha,激氣,adjectives,3.04
956,kurudisha,恢復,verbs,0.69
957,kupanguza,抹,verbs,0.09
958,kaka,男孩,nouns,2.81
959,kutuma,接收,verbs,0.2
960,mtoto wa mfalme,新娘,nouns,0.28
961,kesho,明天,adverbs,0.14
962,kitanda,睡房,nouns,1.38
963,kuokoa,保護,verbs,0.78
964,hematolojia,血液學,nouns,2.77
965,umri,美人,nouns,0.15
966,mlango,門口,nouns,3.66
967,pole,謙虛,adjectives,0.69
968,uzi,線,nouns,0.0
969,shati,衫,nouns,2.35
970,mazishi,死亡,nouns,2.83
971,hoteli,汽車旅館,nouns,2.66
972,hakimu mkuu,法官,nouns,4.64
973,kuwasiliana,祈禱,verbs,0.29
974,yenye kukwaruza,粗糙地,adverbs,0.72
975,orodha,名單,nouns,1.08
976,nyumbani,在家裡,adverbs,0.09
977,ya uhalisia,本來,adverbs,0.74
978,waridi,花朵,nouns,3.87
979,kuumia,傷害,verbs,0.43
980,mwenye furaha,年輕,adjectives,0.15
981,gerezani,單身牢房,nouns,1.25
982,molekuli,分子,nouns,0.46
983,kuelewa,知道,verbs,4.06
984,panya,容器,nouns,0.0
985,mfanyakazi,機器匠,nouns,1.75
986,mwanaume,勝利者,nouns,0.18
987,kitanda,幼兒床,nouns,4.03
988,kuamini,相信,verbs,0.39
989,mpana,大,adjectives,3.06
990,sentensi,字,nouns,1.65
991,kamili,完結,adjectives,4.03
992,mwenye pupa,幼稚,adjectives,0.09
993,ana hakika,確定,adjectives,4.84
994,kukaanga,炒,verbs,2.08
995,kwa uangalifu,小心地,adverbs,2.84
996,mtumba,平庸,adjectives,0.15
997,meya,首領,nouns,2.41
998,giza kuingia,傍晚,nouns,4.86
999,kujaribu,想,verbs,0.36
1000,matofaa,糖果,nouns,0.29
1001,peni,便士,nouns,0.09
1002,kufinya,捏,verbs,0.47
1003,baba,家長,nouns,3.55
1004,muda mwingine,有時,adverbs,0.02
1005,fanicha,公寓,nouns,0.23
1006,kimbiza,追逐,verbs,2.28
1007,kwa uangalifu,微妙地,adverbs,0.18
1008,mchana,黎明,nouns,1.88
1009,mlevi,醉酒,adjectives,0.09
1010,kuharibu,殺,verbs,1.98
1011,kuwepo,缺席,nouns,0.24
1012,kamwe,從未,adverbs,0.0
1013,kukusanya,出席,verbs,0.47
1014,nyama ya nguruwe,早餐,nouns,0.63
1015,teremka,降落,verbs,0.4
1016,mjinga,笨,adjectives,4.83
1017,kwa siri,不顯眼地,adverbs,0.04
1018,kukubaliana,拗撬,verbs,0.15
1019,chaguo,章,nouns,0.1
1020,kuchagua,想,verbs,0.54
1021,kupinga,拗撬,verbs,0.4
1022,yenye thamani,珍貴,adjectives,0.69
1023,kichwa,腳,nouns,0.29
1024,kuonekana,變成,verbs,0.56
1025,chombo,靜脈,nouns,0.28
1026,tundu,妻子,nouns,0.0
1027,ngoma,喇叭,nouns,0.38
1028,hamu,情緒,nouns,2.44
1029,msichana,男人,nouns,0.42
1030,mshindi,存在,nouns,0.1
1031,kukutokubali,不同意,verbs,0.1
1032,kubeba,攞,verbs,3.42
1033,mwanamke,任務,nouns,0.1
1034,kiambishi,詞綴,nouns,0.14
1035,shina,樹枝,nouns,0.0
1036,mjusi,蜥蜴,nouns,2.25
1037,kahawa,豆,nouns,0.48
1038,hakika,肯定地,adverbs,1.8
1039,kukataa,避免,verbs,0.79
1040,mtakatifu,罪人,nouns,0.1
1041,kutaka,選擇,verbs,0.54
1042,ukumbi,大廳,nouns,0.1
1043,okoa,救援,verbs,5.08
1044,klabu,社會,nouns,0.34
1045,uangalifu,興趣,nouns,0.76
1046,mwili,肩,nouns,0.71
1047,kitabu,資料,nouns,0.85
1048,haki ya upigaji kura,選舉權,nouns,0.04
1049,panya,管理,nouns,0.04
1050,mzazi,父親,nouns,3.55
1051,malipo,付款,nouns,0.88
1052,mpya,古老,adjectives,0.19
1053,kusikia,聽,verbs,0.71
1054,cytoplasm,細胞質,nouns,0.0
1055,runinga,電視,nouns,1.76
1056,kali,尖,adjectives,0.0
1057,ana hatia,壞,adjectives,1.18
1058,kulaani,訓斥,verbs,0.0
1059,mitishamba,大麻,nouns,1.44
1060,kambi,艙,nouns,0.43
1061,kutetemeka,發抖,verbs,0.05
1062,kutoa,給,verbs,0.1
1063,chakula cha usiku,餐,nouns,3.46
1064,blanketi,床,nouns,0.74
1065,siku ya kuzaliwa,日期,nouns,1.65
1066,daktari wa meno,牙醫,nouns,4.87
1067,maskini,貧窮,adjectives,0.0
1068,kuunda,創建,verbs,4.01
1069,mjomba,姨媽,nouns,0.43
1070,oni,信念,nouns,0.5
1071,endesha,駕駛,verbs,0.04
1072,samaki,鱒魚,nouns,0.0
1073,maridadi,精彩,adjectives,0.71
1074,sio rahisi,不會,adverbs,0.0
1075,kujiunga,結婚,verbs,0.1
1076,kusamehe,接受,verbs,0.57
1077,kumwaga,倒,verbs,0.71
1078,nje ya ndoa,婚外,adjectives,0.23
1079,mfanyakazi,工作者,nouns,0.48
1080,magharibi,北,nouns,0.2
1081,kudaka,捕獲,verbs,3.53
1082,mchezaji,女演員,nouns,3.77
1083,gari,軟管,nouns,0.09
1084,haramu,不道德,adjectives,2.62
1085,kutokea kwenye onyesho,客串角色,nouns,0.55
1086,kemia,理論,nouns,0.29
1087,hela,珍珠,nouns,0.23
1088,kuchuma,做,verbs,0.2
1089,kawaida,普通,adjectives,0.0
1090,kuamini,接受,verbs,2.56
1091,chakula cha usiku,雞,nouns,0.39
1092,ulaghai,騙局,nouns,1.41
1093,wiki,週末,nouns,2.26
1094,ukurasa,詞,nouns,0.33
1095,mkubwa sana,柔韌,adjectives,0.2
1096,kutoweka,消逝,verbs,5.07
1097,jicho,眼淚,nouns,1.02
1098,kwa ulazima,必然,adverbs,0.47
1099,kuvunja,裂開,verbs,0.5
1100,maliza,完成,verbs,0.7
1101,lazima,重要,adjectives,2.99
1102,mwenye furaha,快樂,adjectives,4.9
1103,kuonyesha,決定,verbs,0.05
1104,kutapika,嘔吐,verbs,0.0
1105,si wa kawaida,奇怪,adjectives,3.42
1106,mfalme,公主,nouns,2.5
1107,mzito,大,adjectives,1.32
1108,lengo,尋求,nouns,0.29
1109,kuharibu,建造,verbs,0.28
1110,uwanja wa ndege,飛機,nouns,1.17
1111,mkubwa mno,笨,adjectives,0.09
1112,windo,神,nouns,0.0
1113,nyani,猴子,nouns,0.09
1114,kubandika,連接,verbs,0.0
1115,injini,發動機,nouns,1.06
1116,mfupa,肌肉,nouns,0.43
1117,mkimbiaji,賽跑運動員,nouns,4.65
1118,mwembamba,長,adjectives,0.42
1119,kutaka,想要,verbs,3.82
1120,nyembamba,瘦,adjectives,4.71
1121,kwa ukubwa,大規模,adverbs,0.33
1122,mwanamke,毛,nouns,0.0
1123,motokaa,車,nouns,5.9
1124,natanata,黏,adjectives,1.02
1125,kupunguza,收縮,verbs,3.25
1126,kwa akili,巧妙,adverbs,0.34
1127,hali,憤怒,nouns,0.33
1128,kifundo cha mguu,骨頭,nouns,1.13
1129,mdogo,巨大,adjectives,0.1
1130,kujua,相信,verbs,0.63
1131,wa kitoto,傻,adjectives,3.13
1132,kuacha,開始,verbs,0.1
1133,rais,政治家,nouns,3.04
1134,mhitaji,黏人,adjectives,0.23
1135,kutafiti,需要,verbs,0.1
1136,besi,鹼,nouns,1.07
1137,mbwa,貓,nouns,0.52
1138,mlezi,母親,nouns,3.25
1139,kufikiria,決定,verbs,1.32
1140,inayojulikana,聞名,adjectives,0.5
1141,kikombe,匙羹,nouns,0.85
1142,barafu,水,nouns,2.34
1143,kwa haki,公平,adverbs,0.1
1144,sakafu,天花板,nouns,0.28
1145,mkate,小麥粉,nouns,0.92
1146,mkristo,基督教,nouns,3.93
1147,kusisitiza,強調,adjectives,0.18
