ID,SWA,YUE,PoS,score
1705,ukweli,證明,nouns,1.35
1706,huzuni,傷心,adjectives,0.0
1707,kutumbuiza,演出,verbs,0.05
1708,paa,地板,nouns,0.18
1709,chumba,房間,nouns,0.58
1710,asiye na hatia,天,adjectives,0.09
1711,sime,劍,nouns,0.0
1712,mkokoteni,容器,nouns,0.04
1713,kofia,大褸,nouns,0.43
1714,kununua,購買,verbs,2.93
1715,mwembamba,髒,adjectives,0.0
1716,mshahara,費用,nouns,0.74
1717,kukanusha,反駁,verbs,0.0
1718,kusihi,請,verbs,0.43
1719,fora,勝利,nouns,3.88
1720,rabai,老師,nouns,1.2
1721,kutoroka,逃走,verbs,4.73
1722,kikao,複診,nouns,0.32
1723,kitanda cha mtoto,床,nouns,4.03
1724,ngano,燕麥,nouns,0.41
1725,kuchora,畫,verbs,0.28
1726,msumari,頭,nouns,0.15
1727,kujulisha,通知,verbs,5.29
1728,peremende,蘋果,nouns,0.29
1729,kisiwa,島,nouns,0.77
1730,tegemea,依靠,verbs,0.1
1731,dhaifu,弱,adjectives,0.04
1732,fulana,開襟衫,nouns,2.35
1733,kwa usahihi,準確地,adverbs,0.75
1734,kwa ubaya,糟糕,adverbs,0.14
1735,dari,地板,nouns,0.28
1736,pwani,海岸,nouns,0.15
1737,kwa karibu,緊密地,adverbs,0.0
1738,kibinafsi,個人,adjectives,0.05
1739,kuchambua,學習,verbs,0.45
1740,mvua,毛毛雨,nouns,4.43
1741,kutengeneza,毀滅,verbs,0.18
1742,kuchanganya,迷惑,verbs,0.0
1743,jeshi la wanamaji,海軍,nouns,0.0
1744,filamu,電影,nouns,4.67
1745,nyumba,州,nouns,0.15
1746,mara kwa mara,頻繁,adjectives,0.04
1747,kwa umuhimu,重要地,adverbs,0.23
1748,kopo,罐,nouns,2.13
1749,kuchanganya,混合,verbs,0.07
1750,mtaalamu wa sauti,歌手,nouns,0.33
1751,muwa,甘蔗,nouns,0.0
1752,machweo,傍晚,nouns,4.88
1753,ngombe,家牛,nouns,3.44
1754,mvulana,女孩,nouns,0.42
1755,kuzidisha,除,verbs,0.14
1756,pwani,濱,nouns,3.5
1757,kukataa,退出,verbs,0.04
1758,kijana,女兒,nouns,1.75
1759,ndoto,現實,nouns,0.41
1760,molekuli,空氣,nouns,0.52
1761,kupendekeza,接受,verbs,0.25
1762,kihalisia,現實地,adverbs,0.39
1763,uzio,籬笆,nouns,0.0
1764,kisasa,複雜,adjectives,0.28
1765,kuburudisha,使滿意,verbs,0.04
1766,waridi,玫瑰,nouns,0.1
1767,kuharibu,毀滅,verbs,0.04
1768,kuweka,給,verbs,0.19
1769,mpumbavu,傻,adjectives,4.77
1770,uhalifu,犯罪,nouns,0.96
1771,penseli,鉛筆,nouns,0.0
1772,kabati,衣服,nouns,0.57
1773,enye ukweli,真實,adjectives,0.1
1774,mkono,腳,nouns,1.31
1775,mvulana,米飯,nouns,0.04
1776,mkono,膝蓋,nouns,0.38
1777,upande wowote,中性,adjectives,0.37
1778,nguo,大褸,nouns,2.58
1779,kuuza,走,verbs,0.04
1780,kukondoa macho,怒視,verbs,0.2
1781,hasi,否定,adjectives,0.6
1782,jeuri,無禮貌,adjectives,0.71
1783,mama,爸爸,nouns,1.11
1784,kukataa,否認,verbs,0.18
1785,kusamehe,明白,verbs,0.28
1786,kwa uwajibikaji,負責可靠地,adverbs,1.14
1787,kusumbua,刺激,verbs,0.18
1788,kushindana,競爭,verbs,0.19
1789,dirisha,窗口,nouns,0.37
1790,utulivu,冷靜,adjectives,0.51
1791,kurudisha,代替,verbs,0.51
1792,chini,上面,nouns,0.1
1793,mkubwa,寬廣,adjectives,3.06
1794,kuzorota,惡化,verbs,0.09
1795,bodi kuu,主板,nouns,4.17
1796,kutokomaa,未成熟的,adjectives,0.2
1797,mluzi,哨,verbs,0.14
1798,mtoto wa mfalme,國王,nouns,2.63
1799,chaguo,意見,nouns,1.26
1800,nyenyekevu,謙虛,adjectives,5.18
1801,kutoa,退出,verbs,0.38
1802,chaguo,靜脈,nouns,0.1
1803,kupuuza,探索,verbs,0.05
1804,mwanga wa jua,蘋果,nouns,0.05
1805,mwanajeshi,士兵,nouns,0.15
1806,mawasiliano,語言,nouns,1.88
1807,utambuzi,視力,nouns,1.45
1808,bendera,旗,nouns,1.01
1809,mpya,舊,adjectives,0.14
1810,ya zamani,新,adjectives,0.14
1811,kaka,靈魂,nouns,0.05
1812,akustik,聲學,nouns,3.13
1813,mjinga,無知,adjectives,0.04
1814,kulinda,保持,verbs,0.38
1815,kuni,原木,nouns,4.22
1816,kiti,椅子,nouns,3.73
1817,kuondoka,徘徊,verbs,0.44
1818,msimu wa baridi,季節,nouns,2.63
1819,mwendo,行動,nouns,0.48
1820,kuchunguza,檢查,verbs,4.58
1821,ushahidi,事實,nouns,1.35
1822,kwa uangalifu,謹慎地,adverbs,5.27
1823,maski,面具,nouns,0.18
1824,nyumba,大廈,nouns,0.0
1825,malengelenge,起泡,nouns,0.04
1826,kuwa nyororo,扼殺,verbs,0.04
1827,kunusa,聞,verbs,0.0
1828,rahisi,大,adjectives,0.05
1829,jeuri,無禮貌,adjectives,0.3
1830,jaketi,衣服,nouns,3.56
1831,kwa sauti,大聲地,adverbs,0.46
1832,mashine,引擎,nouns,2.99
1833,tini,錫,nouns,2.29
1834,mwanasheria,律師,nouns,0.0
1835,juisi,牛奶,nouns,0.57
1836,kuhakikisha,辯解,verbs,0.24
1837,mwerevu,堅固,adjectives,0.35
1838,jiko,洗手間,nouns,0.28
1839,gitaa,吉他,nouns,0.0
1840,plastiki,棉,nouns,0.28
1841,insilia,徽章,nouns,0.28
1842,poa,精彩,adjectives,0.88
1843,mita,碼,nouns,2.64
1844,asali,糖,nouns,2.48
1845,ana wasiwasi,不耐煩,adjectives,3.98
1846,mwenye furaha,瘋狂,adjectives,0.6
1847,mwimbaji,歌手,nouns,0.46
1848,mada,書,nouns,0.2
1849,shingo,手臂,nouns,0.43
1850,bunduki,大炮,nouns,1.94
1851,manyoya,槍,nouns,0.04
1852,wimbi,波浪,nouns,0.45
1853,mchezaji,播放機,nouns,0.6
1854,mlangoni,門,nouns,3.66
1855,kusimamisha,停止,verbs,1.57
1856,mgando,乳酪,nouns,0.23
1857,nadhifu,乾淨,adjectives,4.83
1858,kukutana,打招呼,verbs,0.86
1859,picha,主意,nouns,0.6
1860,mwalimu,教練,nouns,3.64
1861,kizuizi,籠子,nouns,0.72
1862,ukame,乾旱,nouns,0.2
1863,kuondoka,無視,verbs,0.24
1864,katoni,艙,nouns,0.15
1865,kutikisa,搖動,verbs,0.0
1866,kuua,絞刑,verbs,3.74
1867,msaidizi,老師,nouns,0.53
1868,mkorofi,和藹,adjectives,0.05
1869,pigana,搏鬥,verbs,0.38
1870,mbegu,種子,nouns,0.24
1871,meli ya vita,小炮艦,nouns,0.15
1872,mkosaji,犯罪者,nouns,5.32
1873,hakika,自己,nouns,0.47
1874,mkubwa mno,小,adjectives,0.1
1875,mwalimu,朋友,nouns,0.66
1876,kuoga,房間,nouns,0.33
1877,kutoa,拒絕,verbs,0.04
1878,honi,車,nouns,0.39
1879,mwaka,年,nouns,0.81
1880,kujumlisha,除,verbs,0.56
1881,kichochoro,街,nouns,2.5
1882,kwa ukimya,悄悄地,adverbs,0.28
1883,wa kukwaruza,冷淡,adjectives,0.04
1884,wa kutisha,偉大,adjectives,0.14
1885,ufuko,海岸,nouns,3.33
1886,fungu,人群,nouns,0.05
1887,akili,邏輯,nouns,2.86
1888,sakafu,屋頂,nouns,0.18
1889,kugombana,證明,verbs,0.0
1890,mara mbili,兩次,adverbs,0.36
1891,jioni,黃昏,nouns,4.86
1892,wingu,天氣,nouns,1.07
1893,mwislamu,穆斯林,nouns,0.14
1894,kaanga,炒,verbs,0.72
1895,nje ya mwili,無實體,adjectives,0.81
1896,walau,理想地,adverbs,0.48
1897,furaha,幸福,nouns,0.19
1898,kujifanya,假設,verbs,0.33
1899,kupotea,消失,verbs,5.07
1900,skrini,螢幕,nouns,0.23
1901,kujielezea,表達,verbs,2.23
1902,kijiko,杯子,nouns,0.85
1903,kuoga,原木,nouns,0.0
1904,kikamilifu,積極地,adverbs,0.46
1905,mshipa,肚,nouns,0.24
1906,kujulisha,承認,verbs,0.57
1907,paka,寵物,nouns,2.96
1908,kufadhili,援助,verbs,4.54
1909,reli,籬笆,nouns,0.0
1910,habari,媒介,nouns,2.46
1911,ndege,機場,nouns,1.17
1912,ugali,午飯,nouns,1.46
1913,kwa jeuri,自豪的,adverbs,0.14
1914,atomu,分子,nouns,2.49
1915,kitendea kazi,工具,nouns,0.83
1916,kwa amani,和平地,adverbs,0.0
1917,kijiko,匙羹,nouns,0.18
1918,kugawanya,乘,verbs,0.14
1919,fulana,冷衫,nouns,0.38
1920,jitu,突變體,nouns,0.14
1921,ono,信念,nouns,0.33
1922,kwa ,正直地,adverbs,0.14
1923,kuoa,加入,verbs,0.1
1924,mwamba,岩石,nouns,0.46
1925,jiko,門,nouns,0.23
1926,mraba,廣場,nouns,0.18
1927,serikali,政府,nouns,0.04
1928,habali,不負責任,adjectives,0.36
1929,mpira wa maji,汽車,nouns,0.09
1930,kuleta,抱怨,verbs,0.05
1931,ndezi,老鼠,nouns,4.31
1932,kudumisha,忘記,verbs,0.1
1933,kwa uweledi,關鍵地,adverbs,0.57
1934,kamata,抓住,verbs,0.68
1935,kaskazini,南,nouns,0.69
1936,funikwa,冚住,adjectives,0.15
1937,kujifanya,想像,verbs,0.14
1938,kiti,椅子,nouns,0.04
1939,chungwa,橙子,nouns,5.5
1940,mpana,新鮮,adjectives,0.0
1941,kwa kawaida,通常,adverbs,2.99
1942,kufuma,編織,verbs,0.65
1943,mkia,懸崖,nouns,0.04
1944,kua na uoga,受驚,adjectives,0.53
1945,neno,頁,nouns,0.33
1946,mvuke,雲,nouns,2.17
1947,kutukana,侮辱,verbs,3.38
1948,chakula cha usiku,湯,nouns,0.79
1949,ziada,豐富,nouns,3.17
1950,lemma,詞元,nouns,0.66
1951,muuguzi,科學家,nouns,0.2
1952,pua,嘴巴,nouns,0.34
1953,dari,屋頂,nouns,3.79
1954,kuweka,給,verbs,0.32
1955,kutembea ,步行,verbs,0.23
1956,mkondo,河,nouns,3.33
1957,kwa haraka,立即,adverbs,0.32
1958,mtoto,男孩,nouns,1.64
1959,programu tumishi,應用程式,nouns,0.0
1960,haionekani,不宜說出口的,adjectives,0.23
1961,kukubali,不同,verbs,0.1
1962,kusamehe,忘記,verbs,0.34
1963,kigoda,凳子,nouns,3.73
1964,mwanafunzi,教授,nouns,0.43
1965,walio hatarini,脆弱,adjectives,0.18
1966,mjasiri,自豪,adjectives,0.93
1967,machweo,日出,nouns,1.27
1968,kuleta,發送,verbs,0.14
1969,gari,喇叭,nouns,0.39
1970,rahisi,困難,adjectives,0.24
1971,maambukizo,感染,nouns,0.84
1972,jaketi,針織套衫,nouns,3.21
1973,mlango,地板,nouns,0.23
1974,kugawanya,劃分,verbs,0.15
1975,kujumlisha,建立,verbs,0.42
1976,kujivunia,自豪,adjectives,0.0
1977,kujifunza,忘記,verbs,0.2
1978,kochi,床,nouns,2.06
1979,mkanda,環,nouns,1.89
1980,bongo,大腦,nouns,4.88
1981,kitabu,書,nouns,1.35
1982,mto,大海,nouns,2.29
1983,rais,相機,nouns,0.0
1984,theluji,雪,nouns,2.83
1985,wikiendi,週末,nouns,0.0
1986,nyuki,昆蟲,nouns,2.88
1987,safi,整齊,adjectives,4.83
1988,kuoza,腐爛,verbs,1.13
1989,tendo,遊戲,nouns,0.77
1990,mwewe,鳥,nouns,3.53
1991,imara,狡猾,adjectives,0.35
1992,theluji,雪,nouns,3.67
1993,kujiunga,連接,verbs,0.86
1994,anga,宇宙,nouns,1.44
1995,sigara,煙草,nouns,4.02
1996,kujadili,說明,verbs,1.16
1997,msaidizi,支持者,nouns,0.04
1998,kudanganya,說謊,verbs,0.16
1999,sanduku,小亭,nouns,0.05
2000,kufungua,開口,nouns,3.21
2001,kirusi,病毒,nouns,0.53
2002,kwa mpangilio,井然有序,adjectives,0.09
2003,nafsi,自信,nouns,0.47
2004,kubaki,得到,verbs,0.65
2005,wa upuzi,孩子氣,adjectives,3.13
2006,kurekebisha,修理,verbs,0.69
2007,umaizi,智力,nouns,2.63
2008,kwa nguvu,強烈地,adverbs,0.32
2009,subira,花朵,nouns,0.04
2010,kugombana,辯解,verbs,0.33
2011,nguo,褸,nouns,3.56
2012,juu,最佳,adjectives,0.09
2013,mti,樹,nouns,0.77
2014,kanuni,日誌,nouns,0.0
2015,hakimu,法官,nouns,1.51
2016,kurudisha,帶來,verbs,0.83
2017,mti wa minti,薄荷,nouns,0.18
2018,chumba,沖涼,nouns,0.33
2019,vumbi,灰塵,nouns,0.66
2020,kwa maana,有意義地,adverbs,1.56
2021,hela,鑽石,nouns,0.66
2022,kuchapisha,打印,verbs,0.0
2023,fanicha,床,nouns,2.81
2024,miaka kumi,時代,nouns,0.25
2025,ustadi,能力,nouns,3.41
2026,ensaiklopidia,百科全書,nouns,2.58
2027,kuzidiwa,制服,verbs,0.23
2028,kugombana,抱怨,verbs,0.59
2029,urembo,年齡,nouns,0.15
2030,mapatano,並行性,nouns,0.0
2031,kuamka,醒覺,verbs,0.05
2032,ndege,平面,nouns,0.36
2033,wazo,形象,nouns,0.6
2034,mtu mzima,監護人,nouns,2.31
2035,kamusi,字,nouns,1.21
2036,saikolojia,科學,nouns,1.65
2037,kukataa,謝絕,verbs,0.1
2038,mwanasiasa,政治家,nouns,0.04
2039,gari,汽車,nouns,3.31
2040,ua,忍耐力,nouns,0.04
2041,mvulana,合作夥伴,nouns,0.33
2042,kufanikiwa,贏,verbs,4.59
2043,mdhaifu,冷淡,adjectives,0.1
2044,papa hapa,這裡,adverbs,0.93
2045,tiba,治療,nouns,0.15
2046,sukrosi,蔗糖,nouns,1.69
2047,chemchemi ya maji ya moto,噴泉,nouns,3.08
2048,kiubunifu,創造性地,adverbs,0.74
2049,machweo,日落,nouns,0.0
2050,kiwiko,骨頭,nouns,0.34
2051,ada,學費,nouns,1.31
2052,chumba cha kulala,廁所,nouns,0.42
2053,kikombe,錐形蛋筒,nouns,0.15
2054,kupata,失去,verbs,0.15
2055,kitabu,話題,nouns,0.2
2056,ugonjwa,危險,nouns,0.71
2057,kiupole,好心地,adverbs,2.83
2058,kiwambo,屏幕,nouns,0.15
2059,kupa,放,verbs,0.32
2060,kuvaa,穿,verbs,0.14
2061,kuendesha,騎,verbs,0.09
2062,jicho,眉頭,nouns,0.48
2063,karibuni,不久,adverbs,0.32
2064,kumgongano,碰撞,verbs,3.89
2065,msaidizi,女僕,nouns,2.79
2066,ukucha,手,nouns,0.66
2067,kofia,盒子,nouns,0.05
2068,menejimenti,工作,nouns,0.62
2069,baisikeli,汽車,nouns,1.23
2070,nzuri,好,adjectives,0.04
2071,mara kwa mara,輕微,adverbs,0.15
2072,kiti,座位,nouns,0.0
2073,mbaya,不道德,adjectives,1.6
2074,kujadili,拗撬,verbs,0.04
2075,kufeli,成功,verbs,0.05
2076,gari,船,nouns,0.57
2077,ushoroba,走廊,nouns,4.2
2078,rafiki,老師,nouns,0.66
2079,nadra,很少地,adverbs,0.04
2080,mpenzi,伴侶,nouns,4.38
2081,uongofu,換算,nouns,0.04
2082,kinanda,鋼琴,nouns,0.32
2083,matriksi,基質,nouns,0.46
2084,kutofautiana,同意,verbs,0.1
2085,ngumu,容易,adjectives,0.24
2086,kitanda,傢俱,nouns,2.81
2087,mtu mzima,小孩,nouns,0.43
2088,neva,身體,nouns,0.68
2089,kompyuta,電腦,nouns,2.81
2090,batamzinga,母雞,nouns,1.54
2091,mpana,狹窄,adjectives,0.18
2092,ni wazi,明顯地,adverbs,0.23
2093,uwezekano,大概,adverbs,3.25
2094,benki,銀行,nouns,0.0
2095,mafuta,貂,nouns,0.04
2096,mjomba,表哥,nouns,1.02
2097,si wa kawaida,正常,adjectives,0.24
2098,tumbo,課程,nouns,0.05
2099,si kwa usahihi,不準確地,adverbs,0.04
2100,kuja,出席,verbs,2.91
2101,kuacha,停,verbs,0.11
2102,sigara,盒子,nouns,0.04
2103,angahewa,污染,nouns,0.42
2104,watu,氣球,nouns,0.0
2105,mdudu,蜜蜂,nouns,2.88
2106,vijidudu,病菌,nouns,2.46
2107,kuteleza,漂移,verbs,0.82
2108,mkopi,借款人,nouns,0.64
2109,uchafuzi,大氣層,nouns,0.42
2110,furushi,郵包,nouns,0.09
2111,umati,遊行,nouns,0.75
2112,mnyoo,蠕蟲,nouns,0.14
2113,salama,安全,adjectives,0.46
2114,sonara,雕塑家,nouns,0.0
2115,sitasita,猶豫,adjectives,0.18
2116,bunduki,戲法,nouns,0.05
2117,lifti,盒子,nouns,0.04
2118,mwanahistoria,史學家,nouns,5.76
2119,kutambua,通知,verbs,0.57
2120,vurugu,無政府,nouns,3.89
2121,mlango,廚房,nouns,0.23
2122,hela,錢,nouns,5.54
2123,utamaduni,傳統,nouns,0.28
2124,kocha,教練,nouns,0.6
2125,nguo,布,nouns,2.74
2126,mwisho,末期,adverbs,0.15
2127,kuchukua,偷,verbs,0.78
2128,sura,晚上,nouns,0.0
2129,darasa,類別,nouns,0.0
2130,changamsha bongo,頭腦風暴,nouns,0.04
2131,kukosea,得罪,verbs,0.05
2132,kuchemsha,煮沸,verbs,0.72
2133,kwa ukakamavu,緊緊地,adverbs,0.69
2134,nyororo,平滑,adjectives,0.0
2135,kuogelea,游泳,verbs,0.04
2136,kufahamu,讀,verbs,0.77
2137,mwanamke,女人,nouns,0.09
2138,kuelea,浮動,verbs,0.0
2139,kila wakati,每當,adverbs,0.28
2140,wasifu,小說,nouns,1.27
2141,koti,衣服,nouns,2.58
2142,mchanga,沙漠,nouns,0.04
2143,mkubwa sana,瘋狂,adjectives,0.0
2144,kwa ustadi,機械地,adverbs,0.48
2145,kumiliki,保持,verbs,0.98
2146,mahali ya kutokea,出口,nouns,0.04
2147,bendera,旗,nouns,0.71
2148,mchafu,狹窄,adjectives,0.0
2149,akili,神經,nouns,0.7
2150,wazi,顯然,adjectives,5.0
2151,fleti,酒店,nouns,1.25
2152,asali,蜜糖,nouns,0.14
2153,sanduku,盒子,nouns,0.04
2154,kutowekana,不可能,adjectives,0.19
2155,danganyifu,不誠實,adjectives,0.6
2156,steki,雞,nouns,0.24
2157,kuingia,離開,verbs,0.1
2158,piga mbizi,潛水,verbs,0.04
2159,goti,骨頭,nouns,0.66
2160,kuania,打算,verbs,0.83
2161,mvulana,狀態,nouns,0.04
2162,kibanda,盒子,nouns,0.05
2163,kinyume,相反,adjectives,0.09
2164,mkubwa,容易,adjectives,0.05
2165,kushangaza,非常好,adjectives,0.0
2166,mnara,教堂,nouns,0.42
2167,wastani,平均,adjectives,0.34
2168,zeze,樂器,nouns,1.85
2169,maharagwe,米飯,nouns,0.53
2170,kupa,收到,verbs,0.48
2171,mvulana,哥哥,nouns,2.81
2172,kua na hamu,慾望,verbs,3.82
2173,dondoka,滴,verbs,0.71
2174,kazi ya ziada,功課,nouns,1.01
2175,sitaha,地板,nouns,0.23
2176,chubwi,濺,nouns,0.0
2177,kujivunia,自豪,adjectives,0.0
2178,kusikiliza,聽見,verbs,4.5
2179,safari,旅行,nouns,4.21
2180,umaizi,事實,nouns,1.27
2181,kuchagua,決定,verbs,1.47
2182,chupi,底衫褲,nouns,0.36
2183,sio wa lazima,必須,adjectives,0.1
2184,sayari,行星,nouns,2.7
2185,mara mbili,兩次,adverbs,0.09
2186,haijatumika,沒用過,adjectives,4.68
2187,mwanariadha,運動員,nouns,4.65
2188,muhimu,批評,adjectives,0.32
2189,programu hatarishi,惡意軟件,nouns,0.14
2190,kitanda,椅子,nouns,1.21
2191,kuchanganya,混合,verbs,1.63
2192,kufahamisha,通知,verbs,5.29
2193,furaha,運氣,nouns,0.56
2194,kuonyesha,模仿,verbs,1.5
2195,mwenzi,情人,nouns,4.38
2196,sherehe,派對,nouns,0.18
2197,mchezaji wa kike,演員,nouns,3.77
2198,mwenye huzuni,搞笑,adjectives,0.1
2199,mwili,脊柱,nouns,0.48
2200,utabiri,預測,nouns,0.24
2201,makini,嚴肅,adjectives,0.09
2202,kushawishi,說服,verbs,0.28
2203,kuumba,建立,verbs,4.01
2204,njia,方式,nouns,4.53
2205,inayotoka,向外,adjectives,0.2
2206,masilahi,注意,nouns,0.76
2207,ua,信念,nouns,0.05
2208,ndoto,夢想,nouns,0.05
2209,chumba cha kulala,床,nouns,1.38
2210,mwaka,生日,nouns,0.71
2211,kutoa machozi,哭泣,verbs,5.43
2212,kuuza,借,verbs,0.04
2213,purigatori,煉獄,nouns,0.74
2214,mapatano,洞,nouns,0.0
2215,mjomba,男人,nouns,2.38
2216,kudaiwa,借,verbs,0.47
2217,rahisi,髒,adjectives,0.33
2218,kwa undani,深深地,adverbs,0.61
2219,kukubali,承認,verbs,0.15
2220,baseball,兄弟會,nouns,0.14
2221,pasipo tu,可靠地,adverbs,0.0
2222,burudani,足球,nouns,0.63
2223,nyingi zaidi,多,adverbs,0.34
2224,injini,摩打,nouns,4.67
2225,vuguvugu,溫和,adjectives,0.0
2226,kutimiza,完成,verbs,4.59
2227,densi,舞蹈,nouns,0.0
2228,hisia,激情,nouns,2.44
2229,kampuni,商業,nouns,3.3
2230,kukua,擴大,verbs,0.66
2231,kutaka,借,verbs,0.39
2232,mwendo,旅程,nouns,4.21
2233,kidole cha mguu,手指,nouns,1.07
2234,mfumo,系統,nouns,0.04
2235,mama,朋友,nouns,0.28
2236,mwembamba,苗條,adjectives,4.71
2237,kusaidia,幫忙,verbs,0.2
2238,kaboni,原子,nouns,1.04
2239,pembe,鼓,nouns,0.38
2240,mazingira,協議,nouns,0.83
2241,kulaumu,責怪,verbs,0.23
2242,si asili,非自然,adverbs,0.38
2243,baridi,粗暴,adjectives,0.04
2244,kuiga,模仿,verbs,0.0
2245,kwa furaha,高高興興,adverbs,0.46
2246,lengo,箭頭,nouns,0.85
2247,kwa uzima,充分,adverbs,0.36
2248,kwenda,進入,verbs,0.46
2249,kuanza,走,verbs,0.05
2250,kipepeo,蝴蝶,nouns,0.1
2251,wa kasi,快,adjectives,5.08
2252,mlango,大門,nouns,5.32
2253,kuondoka,撤離,verbs,0.0
2254,kipakatio,手提電腦,nouns,0.41
2255,bendi,酒,nouns,0.05
2256,mji,城鎮,nouns,4.03
2257,malizika,完成,adjectives,4.03
